# _root_ L' empresa Formigons_Montcau desmantellarà la_seva fàbrica de Sabadell , situada al barri d' Hostafrancs i envoltada de vivendes , en un termini de tres anys .
#goldHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,4,22,20,22,25,23,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,6,22,20,22,25,23,4,
(13,19),0.986695 # DEPENDENCYPART_ARC
(13,20),-0.209557 # DEPENDENCYPART_ARC
(13,21),-2.92609 # DEPENDENCYPART_ARC
(13,22),-1.6254 # DEPENDENCYPART_ARC
(13,23),-0.661999 # DEPENDENCYPART_ARC
(13,24),-2.2255 # DEPENDENCYPART_ARC
(13,25),-2.49796 # DEPENDENCYPART_ARC
(13,26),-0.321602 # DEPENDENCYPART_ARC
(14,1),-4.67083 # DEPENDENCYPART_ARC
(14,2),-2.39999 # DEPENDENCYPART_ARC
(14,3),-2.0251 # DEPENDENCYPART_ARC
(14,4),-1.95167 # DEPENDENCYPART_ARC
(14,5),-1.96099 # DEPENDENCYPART_ARC
(14,6),-1.71872 # DEPENDENCYPART_ARC
(14,7),-0.882105 # DEPENDENCYPART_ARC
(14,8),-1.12195 # DEPENDENCYPART_ARC
(14,9),-0.913087 # DEPENDENCYPART_ARC
(14,10),-1.31433 # DEPENDENCYPART_ARC
(14,11),-0.0425171 # DEPENDENCYPART_ARC
(14,12),0.428876 # DEPENDENCYPART_ARC
(14,13),1.83883 # DEPENDENCYPART_ARC
(14,15),1.04623 # DEPENDENCYPART_ARC
(14,16),0.650569 # DEPENDENCYPART_ARC
(14,17),1.01784 # DEPENDENCYPART_ARC
(14,18),0.66426 # DEPENDENCYPART_ARC
(14,19),-1.30889 # DEPENDENCYPART_ARC
(14,20),-1.31254 # DEPENDENCYPART_ARC
(14,21),-1.96201 # DEPENDENCYPART_ARC
(14,22),-0.709145 # DEPENDENCYPART_ARC
(14,23),-0.900612 # DEPENDENCYPART_ARC
(14,24),-2.26201 # DEPENDENCYPART_ARC
(14,25),-0.649486 # DEPENDENCYPART_ARC
(14,26),-0.109365 # DEPENDENCYPART_ARC
(15,3),-4.00189 # DEPENDENCYPART_ARC
(15,8),-3.47458 # DEPENDENCYPART_ARC
(15,9),-2.94133 # DEPENDENCYPART_ARC
(15,14),-1.40158 # DEPENDENCYPART_ARC
(15,19),-1.2084 # DEPENDENCYPART_ARC
(16,1),-2.3613 # DEPENDENCYPART_ARC
(16,2),-1.96695 # DEPENDENCYPART_ARC
(16,3),-2.32528 # DEPENDENCYPART_ARC
(16,4),-1.94586 # DEPENDENCYPART_ARC
(16,5),-2.08945 # DEPENDENCYPART_ARC
(16,6),-1.24826 # DEPENDENCYPART_ARC
(16,7),0.263745 # DEPENDENCYPART_ARC
(16,8),-1.55086 # DEPENDENCYPART_ARC
(16,9),0.524025 # DEPENDENCYPART_ARC
(16,10),0.208657 # DEPENDENCYPART_ARC
(16,11),-0.220047 # DEPENDENCYPART_ARC
(16,12),-0.712664 # DEPENDENCYPART_ARC
(16,13),1.68071 # DEPENDENCYPART_ARC
(16,14),0.192849 # DEPENDENCYPART_ARC
(16,15),1.85988 # DEPENDENCYPART_ARC
(16,17),2.7485 # DEPENDENCYPART_ARC
(16,18),1.11894 # DEPENDENCYPART_ARC
(16,19),1.18886 # DEPENDENCYPART_ARC
(16,20),0.686043 # DEPENDENCYPART_ARC
(16,21),-2.37207 # DEPENDENCYPART_ARC
(16,22),0.313724 # DEPENDENCYPART_ARC
(16,23),-0.545748 # DEPENDENCYPART_ARC
(16,24),-2.673 # DEPENDENCYPART_ARC
(16,25),0.619222 # DEPENDENCYPART_ARC
(16,26),0.169 # DEPENDENCYPART_ARC
(17,1),-2.2556 # DEPENDENCYPART_ARC
(17,2),-1.98146 # DEPENDENCYPART_ARC
(17,3),-2.3524 # DEPENDENCYPART_ARC
(17,4),-1.49039 # DEPENDENCYPART_ARC
(17,6),-1.62125 # DEPENDENCYPART_ARC
(17,7),-1.04992 # DEPENDENCYPART_ARC
(17,8),-1.82065 # DEPENDENCYPART_ARC
(17,9),-1.24537 # DEPENDENCYPART_ARC
(17,10),-1.13317 # DEPENDENCYPART_ARC
(17,11),-0.750565 # DEPENDENCYPART_ARC
(17,12),-0.937465 # DEPENDENCYPART_ARC
(17,13),-0.196985 # DEPENDENCYPART_ARC
(17,14),-0.465964 # DEPENDENCYPART_ARC
(17,15),0.11495 # DEPENDENCYPART_ARC
(17,16),0.74556 # DEPENDENCYPART_ARC
(17,18),4.84574 # DEPENDENCYPART_ARC
(17,19),0.404479 # DEPENDENCYPART_ARC
(17,20),-0.794799 # DEPENDENCYPART_ARC
(17,21),-2.78432 # DEPENDENCYPART_ARC
(17,22),-0.200866 # DEPENDENCYPART_ARC
(17,23),-0.61578 # DEPENDENCYPART_ARC
(17,24),-2.46174 # DEPENDENCYPART_ARC
(17,25),-2.20958 # DEPENDENCYPART_ARC
(17,26),-1.08704 # DEPENDENCYPART_ARC
(18,1),-4.78464 # DEPENDENCYPART_ARC
(18,2),-2.56873 # DEPENDENCYPART_ARC
(18,3),-2.16513 # DEPENDENCYPART_ARC
(18,4),-0.793465 # DEPENDENCYPART_ARC
(18,5),-1.34391 # DEPENDENCYPART_ARC
(18,6),-2.15018 # DEPENDENCYPART_ARC
(18,7),-1.73103 # DEPENDENCYPART_ARC
(18,8),-0.999298 # DEPENDENCYPART_ARC
(18,9),-0.783409 # DEPENDENCYPART_ARC
(18,10),-1.9479 # DEPENDENCYPART_ARC
(18,11),-1.59451 # DEPENDENCYPART_ARC
(18,12),-0.937348 # DEPENDENCYPART_ARC
(18,13),-0.614511 # DEPENDENCYPART_ARC
(18,14),-0.294242 # DEPENDENCYPART_ARC
(18,15),-0.350866 # DEPENDENCYPART_ARC
(18,16),-0.663193 # DEPENDENCYPART_ARC
(18,17),0.86379 # DEPENDENCYPART_ARC
(18,19),-0.432345 # DEPENDENCYPART_ARC
(18,20),-0.169827 # DEPENDENCYPART_ARC
(18,21),-2.62985 # DEPENDENCYPART_ARC
(18,22),-0.758436 # DEPENDENCYPART_ARC
(18,23),0.094915 # DEPENDENCYPART_ARC
(18,24),-2.00801 # DEPENDENCYPART_ARC
(18,25),-0.250951 # DEPENDENCYPART_ARC
(18,26),-0.353525 # DEPENDENCYPART_ARC
(19,2),-3.5359 # DEPENDENCYPART_ARC
(19,6),-3.21767 # DEPENDENCYPART_ARC
(19,9),-1.01322 # DEPENDENCYPART_ARC
(19,10),-2.10379 # DEPENDENCYPART_ARC
(19,12),-2.66757 # DEPENDENCYPART_ARC
(19,16),-1.60055 # DEPENDENCYPART_ARC
(19,18),-1.11359 # DEPENDENCYPART_ARC
(19,22),-1.24628 # DEPENDENCYPART_ARC
(19,25),-1.63695 # DEPENDENCYPART_ARC
(20,1),-3.34581 # DEPENDENCYPART_ARC
(20,2),-3.21602 # DEPENDENCYPART_ARC
(20,3),-3.34881 # DEPENDENCYPART_ARC
(20,4),-1.76162 # DEPENDENCYPART_ARC
(20,6),-2.8921 # DEPENDENCYPART_ARC
(20,7),-2.49843 # DEPENDENCYPART_ARC
(20,8),-3.02037 # DEPENDENCYPART_ARC
(20,9),-1.58791 # DEPENDENCYPART_ARC
(20,10),-1.51174 # DEPENDENCYPART_ARC
(20,11),-2.20939 # DEPENDENCYPART_ARC
(20,12),-2.29564 # DEPENDENCYPART_ARC
(20,13),-1.75086 # DEPENDENCYPART_ARC
(20,14),-2.06344 # DEPENDENCYPART_ARC
(20,15),-1.43151 # DEPENDENCYPART_ARC
(20,16),-0.999307 # DEPENDENCYPART_ARC
(20,17),-0.77305 # DEPENDENCYPART_ARC
(20,18),-1.156 # DEPENDENCYPART_ARC
(20,19),2.01655 # DEPENDENCYPART_ARC
(20,21),-0.0593163 # DEPENDENCYPART_ARC
(20,22),4.22236 # DEPENDENCYPART_ARC
(20,23),-0.390209 # DEPENDENCYPART_ARC
(20,24),-1.20826 # DEPENDENCYPART_ARC
(20,25),1.43539 # DEPENDENCYPART_ARC
(20,26),0.46813 # DEPENDENCYPART_ARC
(21,2),-4.46998 # DEPENDENCYPART_ARC
(21,6),-3.86457 # DEPENDENCYPART_ARC
(21,7),-3.73267 # DEPENDENCYPART_ARC
(21,10),-4.21417 # DEPENDENCYPART_ARC
(21,11),-3.08005 # DEPENDENCYPART_ARC
(21,12),-3.31841 # DEPENDENCYPART_ARC
(21,13),-2.47152 # DEPENDENCYPART_ARC
(21,15),-2.60302 # DEPENDENCYPART_ARC
(21,16),-3.70058 # DEPENDENCYPART_ARC
(21,17),-2.37246 # DEPENDENCYPART_ARC
(21,18),-3.24711 # DEPENDENCYPART_ARC
(21,20),-0.545226 # DEPENDENCYPART_ARC
(21,22),3.27014 # DEPENDENCYPART_ARC
(21,23),0.855531 # DEPENDENCYPART_ARC
(21,24),1.29874 # DEPENDENCYPART_ARC
(21,25),-1.7383 # DEPENDENCYPART_ARC
(22,1),-6.48607 # DEPENDENCYPART_ARC
(22,2),-2.80314 # DEPENDENCYPART_ARC
(22,3),-2.52788 # DEPENDENCYPART_ARC
(22,4),-1.84545 # DEPENDENCYPART_ARC
(22,5),-3.59612 # DEPENDENCYPART_ARC
(22,6),-2.36639 # DEPENDENCYPART_ARC
(22,7),-2.20006 # DEPENDENCYPART_ARC
(22,8),-1.97858 # DEPENDENCYPART_ARC
(22,9),-0.858802 # DEPENDENCYPART_ARC
(22,10),-1.70435 # DEPENDENCYPART_ARC
(22,11),-2.1207 # DEPENDENCYPART_ARC
(22,12),-1.38509 # DEPENDENCYPART_ARC
(22,13),-1.1407 # DEPENDENCYPART_ARC
(22,14),-1.1461 # DEPENDENCYPART_ARC
(22,15),-0.669914 # DEPENDENCYPART_ARC
(22,16),-1.86481 # DEPENDENCYPART_ARC
(22,17),-0.921467 # DEPENDENCYPART_ARC
(22,18),-1.4641 # DEPENDENCYPART_ARC
(22,19),0.300844 # DEPENDENCYPART_ARC
(22,20),1.26101 # DEPENDENCYPART_ARC
(22,21),4.17015 # DEPENDENCYPART_ARC
(22,23),2.87183 # DEPENDENCYPART_ARC
(22,24),-1.19974 # DEPENDENCYPART_ARC
(22,25),0.984842 # DEPENDENCYPART_ARC
(22,26),0.757909 # DEPENDENCYPART_ARC
(23,1),-3.54995 # DEPENDENCYPART_ARC
(23,2),-3.5154 # DEPENDENCYPART_ARC
(23,3),-3.44026 # DEPENDENCYPART_ARC
(23,4),-2.57737 # DEPENDENCYPART_ARC
(23,6),-3.01953 # DEPENDENCYPART_ARC
(23,7),-2.35585 # DEPENDENCYPART_ARC
(23,8),-2.95296 # DEPENDENCYPART_ARC
(23,9),-2.28786 # DEPENDENCYPART_ARC
(23,10),-1.93755 # DEPENDENCYPART_ARC
(23,11),-2.05425 # DEPENDENCYPART_ARC
(23,12),-2.41504 # DEPENDENCYPART_ARC
(23,13),-1.83713 # DEPENDENCYPART_ARC
(23,14),-2.22128 # DEPENDENCYPART_ARC
(23,15),-1.79265 # DEPENDENCYPART_ARC
(23,16),-1.77601 # DEPENDENCYPART_ARC
(23,17),-1.50093 # DEPENDENCYPART_ARC
(23,18),-1.92097 # DEPENDENCYPART_ARC
(23,19),-0.173199 # DEPENDENCYPART_ARC
(23,20),-0.361993 # DEPENDENCYPART_ARC
(23,21),0.093285 # DEPENDENCYPART_ARC
(23,22),-0.287146 # DEPENDENCYPART_ARC
(23,24),0.50866 # DEPENDENCYPART_ARC
(23,25),5.13915 # DEPENDENCYPART_ARC
(23,26),-0.402046 # DEPENDENCYPART_ARC
(24,2),-2.53647 # DEPENDENCYPART_ARC
(24,4),-0.935624 # DEPENDENCYPART_ARC
(24,6),-1.88307 # DEPENDENCYPART_ARC
(24,7),-1.36962 # DEPENDENCYPART_ARC
(24,10),-2.01853 # DEPENDENCYPART_ARC
(24,11),-1.37675 # DEPENDENCYPART_ARC
(24,12),-1.2645 # DEPENDENCYPART_ARC
(24,13),-0.431125 # DEPENDENCYPART_ARC
(24,15),-1.14181 # DEPENDENCYPART_ARC
(24,16),-1.67435 # DEPENDENCYPART_ARC
(24,17),-0.648454 # DEPENDENCYPART_ARC
(24,18),-0.962734 # DEPENDENCYPART_ARC
