# _root_ Dues dones s' abracen a Miami , ahir , després de conèixer la decisió del tribunal d' Atlanta .
#goldHeads=2,4,4,0,4,5,8,4,10,4,10,11,14,12,14,15,16,17,4,
#predictedHeads=2,4,4,0,4,5,8,4,10,4,10,11,14,12,14,15,16,17,4,
(9,2),-3.66359 # DEPENDENCYPART_ARC
(9,3),-3.20696 # DEPENDENCYPART_ARC
(9,4),-3.25631 # DEPENDENCYPART_ARC
(9,5),-2.23047 # DEPENDENCYPART_ARC
(9,6),-2.83454 # DEPENDENCYPART_ARC
(9,7),-1.57913 # DEPENDENCYPART_ARC
(9,8),-1.59053 # DEPENDENCYPART_ARC
(9,10),-1.26508 # DEPENDENCYPART_ARC
(9,11),-1.86514 # DEPENDENCYPART_ARC
(9,12),-1.4551 # DEPENDENCYPART_ARC
(9,13),-2.85519 # DEPENDENCYPART_ARC
(9,14),-2.40225 # DEPENDENCYPART_ARC
(9,15),-2.38495 # DEPENDENCYPART_ARC
(9,16),-2.54476 # DEPENDENCYPART_ARC
(9,17),-2.48742 # DEPENDENCYPART_ARC
(9,18),-2.69775 # DEPENDENCYPART_ARC
(9,19),-1.94445 # DEPENDENCYPART_ARC
(10,1),-1.50208 # DEPENDENCYPART_ARC
(10,2),-1.75762 # DEPENDENCYPART_ARC
(10,3),-1.14503 # DEPENDENCYPART_ARC
(10,4),-1.18202 # DEPENDENCYPART_ARC
(10,5),-0.0811909 # DEPENDENCYPART_ARC
(10,6),-1.00431 # DEPENDENCYPART_ARC
(10,7),1.11095 # DEPENDENCYPART_ARC
(10,8),0.314915 # DEPENDENCYPART_ARC
(10,9),2.86666 # DEPENDENCYPART_ARC
(10,11),3.98641 # DEPENDENCYPART_ARC
(10,12),2.09347 # DEPENDENCYPART_ARC
(10,13),0.3593 # DEPENDENCYPART_ARC
(10,14),0.168564 # DEPENDENCYPART_ARC
(10,15),0.514377 # DEPENDENCYPART_ARC
(10,16),-0.278539 # DEPENDENCYPART_ARC
(10,17),-0.312464 # DEPENDENCYPART_ARC
(10,18),-0.105108 # DEPENDENCYPART_ARC
(10,19),0.312252 # DEPENDENCYPART_ARC
(11,1),-1.58161 # DEPENDENCYPART_ARC
(11,2),-2.69266 # DEPENDENCYPART_ARC
(11,3),-2.23578 # DEPENDENCYPART_ARC
(11,4),-0.967195 # DEPENDENCYPART_ARC
(11,5),-1.77822 # DEPENDENCYPART_ARC
(11,6),-2.28825 # DEPENDENCYPART_ARC
(11,7),0.0861533 # DEPENDENCYPART_ARC
(11,8),-0.448946 # DEPENDENCYPART_ARC
(11,9),0.761224 # DEPENDENCYPART_ARC
(11,10),1.01712 # DEPENDENCYPART_ARC
(11,12),4.90075 # DEPENDENCYPART_ARC
(11,13),0.185432 # DEPENDENCYPART_ARC
(11,14),1.08524 # DEPENDENCYPART_ARC
(11,15),0.538207 # DEPENDENCYPART_ARC
(11,16),-0.602937 # DEPENDENCYPART_ARC
(11,17),0.575024 # DEPENDENCYPART_ARC
(11,18),-1.8811 # DEPENDENCYPART_ARC
(11,19),1.22476 # DEPENDENCYPART_ARC
(12,1),-1.08107 # DEPENDENCYPART_ARC
(12,2),0.186206 # DEPENDENCYPART_ARC
(12,3),1.10798 # DEPENDENCYPART_ARC
(12,4),1.75808 # DEPENDENCYPART_ARC
(12,5),0.327017 # DEPENDENCYPART_ARC
(12,6),-0.205199 # DEPENDENCYPART_ARC
(12,7),0.113891 # DEPENDENCYPART_ARC
(12,8),1.0493 # DEPENDENCYPART_ARC
(12,9),0.484712 # DEPENDENCYPART_ARC
(12,10),1.66096 # DEPENDENCYPART_ARC
(12,11),2.00794 # DEPENDENCYPART_ARC
(12,13),-0.716552 # DEPENDENCYPART_ARC
(12,14),3.91663 # DEPENDENCYPART_ARC
(12,15),0.679098 # DEPENDENCYPART_ARC
(12,16),1.66702 # DEPENDENCYPART_ARC
(12,17),0.618183 # DEPENDENCYPART_ARC
(12,18),0.672604 # DEPENDENCYPART_ARC
(12,19),1.73781 # DEPENDENCYPART_ARC
(13,1),-3.26034 # DEPENDENCYPART_ARC
(13,2),-3.91595 # DEPENDENCYPART_ARC
(13,3),-2.75714 # DEPENDENCYPART_ARC
(13,4),-3.59359 # DEPENDENCYPART_ARC
(13,5),-3.15617 # DEPENDENCYPART_ARC
(13,6),-2.94542 # DEPENDENCYPART_ARC
(13,7),-2.46686 # DEPENDENCYPART_ARC
(13,8),-2.53143 # DEPENDENCYPART_ARC
(13,9),-2.09173 # DEPENDENCYPART_ARC
(13,10),-2.00493 # DEPENDENCYPART_ARC
(13,11),-1.24493 # DEPENDENCYPART_ARC
(13,12),-0.996668 # DEPENDENCYPART_ARC
(13,14),2.59843 # DEPENDENCYPART_ARC
(13,15),0.579303 # DEPENDENCYPART_ARC
(13,16),-0.942968 # DEPENDENCYPART_ARC
(13,17),-0.723963 # DEPENDENCYPART_ARC
(13,18),-2.03279 # DEPENDENCYPART_ARC
(13,19),-2.18325 # DEPENDENCYPART_ARC
(14,1),-4.14695 # DEPENDENCYPART_ARC
(14,2),-1.94636 # DEPENDENCYPART_ARC
(14,3),0.112174 # DEPENDENCYPART_ARC
(14,4),-2.22313 # DEPENDENCYPART_ARC
(14,5),-1.92792 # DEPENDENCYPART_ARC
(14,6),-1.69306 # DEPENDENCYPART_ARC
(14,7),-0.184229 # DEPENDENCYPART_ARC
(14,8),-0.646527 # DEPENDENCYPART_ARC
(14,9),-0.365628 # DEPENDENCYPART_ARC
(14,10),0.0159104 # DEPENDENCYPART_ARC
(14,11),-0.431785 # DEPENDENCYPART_ARC
(14,12),0.843737 # DEPENDENCYPART_ARC
(14,13),4.75523 # DEPENDENCYPART_ARC
(14,15),3.31505 # DEPENDENCYPART_ARC
(14,16),0.721378 # DEPENDENCYPART_ARC
(14,17),2.24257 # DEPENDENCYPART_ARC
(14,18),0.449401 # DEPENDENCYPART_ARC
(14,19),0.752491 # DEPENDENCYPART_ARC
(15,1),-2.18477 # DEPENDENCYPART_ARC
(15,2),-3.43807 # DEPENDENCYPART_ARC
(15,3),-2.34621 # DEPENDENCYPART_ARC
(15,4),-3.30106 # DEPENDENCYPART_ARC
(15,5),-2.22478 # DEPENDENCYPART_ARC
(15,6),-2.56068 # DEPENDENCYPART_ARC
(15,7),-0.766648 # DEPENDENCYPART_ARC
(15,8),-1.71593 # DEPENDENCYPART_ARC
(15,9),-0.659191 # DEPENDENCYPART_ARC
(15,10),-1.0867 # DEPENDENCYPART_ARC
(15,11),-0.863943 # DEPENDENCYPART_ARC
(15,12),-0.661476 # DEPENDENCYPART_ARC
(15,13),1.08753 # DEPENDENCYPART_ARC
(15,14),0.56245 # DEPENDENCYPART_ARC
(15,16),4.20764 # DEPENDENCYPART_ARC
(15,17),0.241843 # DEPENDENCYPART_ARC
(15,18),0.889102 # DEPENDENCYPART_ARC
(15,19),-0.353135 # DEPENDENCYPART_ARC
(16,1),-5.42122 # DEPENDENCYPART_ARC
(16,2),-3.14868 # DEPENDENCYPART_ARC
(16,3),-1.01212 # DEPENDENCYPART_ARC
(16,4),-3.50786 # DEPENDENCYPART_ARC
(16,5),-2.25972 # DEPENDENCYPART_ARC
(16,6),-1.85113 # DEPENDENCYPART_ARC
(16,7),-0.768276 # DEPENDENCYPART_ARC
(16,8),-1.32551 # DEPENDENCYPART_ARC
(16,9),-0.830525 # DEPENDENCYPART_ARC
(16,10),-1.08219 # DEPENDENCYPART_ARC
(16,11),-0.786531 # DEPENDENCYPART_ARC
(16,12),-1.23305 # DEPENDENCYPART_ARC
(16,13),2.19551 # DEPENDENCYPART_ARC
(16,14),-0.30894 # DEPENDENCYPART_ARC
(16,15),0.983539 # DEPENDENCYPART_ARC
(16,17),3.44084 # DEPENDENCYPART_ARC
(16,18),1.46637 # DEPENDENCYPART_ARC
(16,19),0.46242 # DEPENDENCYPART_ARC
(17,1),-1.18148 # DEPENDENCYPART_ARC
(17,2),-2.38118 # DEPENDENCYPART_ARC
(17,3),-1.91484 # DEPENDENCYPART_ARC
(17,4),-1.1495 # DEPENDENCYPART_ARC
(17,5),-2.57783 # DEPENDENCYPART_ARC
(17,6),-2.26096 # DEPENDENCYPART_ARC
(17,7),-0.795798 # DEPENDENCYPART_ARC
(17,8),-1.3582 # DEPENDENCYPART_ARC
(17,9),-0.729294 # DEPENDENCYPART_ARC
(17,10),-0.920844 # DEPENDENCYPART_ARC
(17,11),-1.44214 # DEPENDENCYPART_ARC
(17,12),-0.175948 # DEPENDENCYPART_ARC
(17,13),0.455077 # DEPENDENCYPART_ARC
(17,14),-0.423082 # DEPENDENCYPART_ARC
(17,15),0.223237 # DEPENDENCYPART_ARC
(17,16),1.16421 # DEPENDENCYPART_ARC
(17,18),4.16935 # DEPENDENCYPART_ARC
(17,19),-0.113367 # DEPENDENCYPART_ARC
(18,1),-4.66275 # DEPENDENCYPART_ARC
(18,2),-2.39248 # DEPENDENCYPART_ARC
(18,3),-1.44881 # DEPENDENCYPART_ARC
(18,4),-2.76395 # DEPENDENCYPART_ARC
(18,5),-2.11143 # DEPENDENCYPART_ARC
(18,6),-1.32023 # DEPENDENCYPART_ARC
(18,7),-0.957692 # DEPENDENCYPART_ARC
(18,8),-1.31609 # DEPENDENCYPART_ARC
(18,9),-0.833178 # DEPENDENCYPART_ARC
(18,10),-1.27807 # DEPENDENCYPART_ARC
(18,11),-0.985347 # DEPENDENCYPART_ARC
(18,12),-0.686943 # DEPENDENCYPART_ARC
(18,13),1.55015 # DEPENDENCYPART_ARC
(18,14),-0.968314 # DEPENDENCYPART_ARC
(18,15),0.0198524 # DEPENDENCYPART_ARC
(18,16),0.981319 # DEPENDENCYPART_ARC
(18,17),1.78466 # DEPENDENCYPART_ARC
(18,19),-0.49657 # DEPENDENCYPART_ARC
(19,1),-4.69243 # DEPENDENCYPART_ARC
(19,2),-4.75817 # DEPENDENCYPART_ARC
(19,3),-4.09477 # DEPENDENCYPART_ARC
(19,4),-4.44834 # DEPENDENCYPART_ARC
(19,5),-3.70939 # DEPENDENCYPART_ARC
(19,6),-4.66342 # DEPENDENCYPART_ARC
(19,7),-3.68864 # DEPENDENCYPART_ARC
(19,8),-4.21526 # DEPENDENCYPART_ARC
(19,9),-3.48408 # DEPENDENCYPART_ARC
(19,10),-4.04877 # DEPENDENCYPART_ARC
(19,11),-3.42434 # DEPENDENCYPART_ARC
(19,12),-3.9464 # DEPENDENCYPART_ARC
(19,13),-3.80511 # DEPENDENCYPART_ARC
(19,14),-3.88552 # DEPENDENCYPART_ARC
(19,15),-2.66464 # DEPENDENCYPART_ARC
(19,16),-3.33909 # DEPENDENCYPART_ARC
(19,17),-2.19351 # DEPENDENCYPART_ARC
(19,18),-2.22003 # DEPENDENCYPART_ARC
