# _root_ Fidel a la_seva filosofia , no utilitza frac ni esmòquing , l' uniforme oficial d' un director .
#goldHeads=7,1,4,2,1,7,0,7,8,8,13,13,8,13,13,17,15,7,
#predictedHeads=7,1,4,2,1,7,0,7,8,8,1,13,8,13,13,17,15,7,
(3,16),-3.93348 # DEPENDENCYPART_ARC
(3,17),-5.30679 # DEPENDENCYPART_ARC
(3,18),-3.90397 # DEPENDENCYPART_ARC
(4,1),0.101868 # DEPENDENCYPART_ARC
(4,2),0.486631 # DEPENDENCYPART_ARC
(4,3),5.46431 # DEPENDENCYPART_ARC
(4,5),0.691195 # DEPENDENCYPART_ARC
(4,6),-0.249829 # DEPENDENCYPART_ARC
(4,7),1.76364 # DEPENDENCYPART_ARC
(4,8),-0.0822877 # DEPENDENCYPART_ARC
(4,9),0.652044 # DEPENDENCYPART_ARC
(4,10),0.514964 # DEPENDENCYPART_ARC
(4,11),0.523229 # DEPENDENCYPART_ARC
(4,12),-1.84158 # DEPENDENCYPART_ARC
(4,13),0.0271711 # DEPENDENCYPART_ARC
(4,14),0.579017 # DEPENDENCYPART_ARC
(4,15),-0.988908 # DEPENDENCYPART_ARC
(4,16),-2.14888 # DEPENDENCYPART_ARC
(4,17),0.290054 # DEPENDENCYPART_ARC
(4,18),1.17623 # DEPENDENCYPART_ARC
(5,1),-1.69516 # DEPENDENCYPART_ARC
(5,2),-1.24279 # DEPENDENCYPART_ARC
(5,3),-0.847217 # DEPENDENCYPART_ARC
(5,4),-1.06544 # DEPENDENCYPART_ARC
(5,6),-0.997883 # DEPENDENCYPART_ARC
(5,7),-1.14177 # DEPENDENCYPART_ARC
(5,8),-1.85492 # DEPENDENCYPART_ARC
(5,9),-1.30405 # DEPENDENCYPART_ARC
(5,10),-2.03009 # DEPENDENCYPART_ARC
(5,11),-1.49575 # DEPENDENCYPART_ARC
(5,12),-2.60077 # DEPENDENCYPART_ARC
(5,13),-2.14353 # DEPENDENCYPART_ARC
(5,14),-2.15825 # DEPENDENCYPART_ARC
(5,15),-2.05627 # DEPENDENCYPART_ARC
(5,16),-2.65378 # DEPENDENCYPART_ARC
(5,17),-2.26819 # DEPENDENCYPART_ARC
(5,18),-1.74532 # DEPENDENCYPART_ARC
(6,1),-1.88636 # DEPENDENCYPART_ARC
(6,2),-1.4542 # DEPENDENCYPART_ARC
(6,3),-1.6737 # DEPENDENCYPART_ARC
(6,4),-2.06406 # DEPENDENCYPART_ARC
(6,5),-0.0953246 # DEPENDENCYPART_ARC
(6,7),0.393393 # DEPENDENCYPART_ARC
(6,8),-0.700261 # DEPENDENCYPART_ARC
(6,9),-1.06734 # DEPENDENCYPART_ARC
(6,10),-1.08902 # DEPENDENCYPART_ARC
(6,11),-0.27628 # DEPENDENCYPART_ARC
(6,12),-2.12571 # DEPENDENCYPART_ARC
(6,13),-1.88655 # DEPENDENCYPART_ARC
(6,14),-2.09687 # DEPENDENCYPART_ARC
(6,15),-2.17139 # DEPENDENCYPART_ARC
(6,16),-2.4304 # DEPENDENCYPART_ARC
(6,17),-1.75272 # DEPENDENCYPART_ARC
(6,18),-0.405886 # DEPENDENCYPART_ARC
(7,1),1.01971 # DEPENDENCYPART_ARC
(7,2),1.18816 # DEPENDENCYPART_ARC
(7,3),0.101359 # DEPENDENCYPART_ARC
(7,4),2.20253 # DEPENDENCYPART_ARC
(7,5),1.82363 # DEPENDENCYPART_ARC
(7,6),4.57432 # DEPENDENCYPART_ARC
(7,8),4.42051 # DEPENDENCYPART_ARC
(7,9),1.80644 # DEPENDENCYPART_ARC
(7,10),1.22806 # DEPENDENCYPART_ARC
(7,11),1.42081 # DEPENDENCYPART_ARC
(7,12),-1.00398 # DEPENDENCYPART_ARC
(7,13),0.452937 # DEPENDENCYPART_ARC
(7,14),0.603297 # DEPENDENCYPART_ARC
(7,15),0.392121 # DEPENDENCYPART_ARC
(7,16),-2.40233 # DEPENDENCYPART_ARC
(7,17),-0.176423 # DEPENDENCYPART_ARC
(7,18),4.4421 # DEPENDENCYPART_ARC
(8,1),-1.11171 # DEPENDENCYPART_ARC
(8,2),-0.439798 # DEPENDENCYPART_ARC
(8,3),-0.324569 # DEPENDENCYPART_ARC
(8,4),-1.6078 # DEPENDENCYPART_ARC
(8,5),-0.4508 # DEPENDENCYPART_ARC
(8,6),1.19861 # DEPENDENCYPART_ARC
(8,7),0.91497 # DEPENDENCYPART_ARC
(8,9),3.21049 # DEPENDENCYPART_ARC
(8,10),2.908 # DEPENDENCYPART_ARC
(8,11),0.71884 # DEPENDENCYPART_ARC
(8,12),-0.41203 # DEPENDENCYPART_ARC
(8,13),1.40692 # DEPENDENCYPART_ARC
(8,14),1.98407 # DEPENDENCYPART_ARC
(8,15),0.915125 # DEPENDENCYPART_ARC
(8,16),-0.558309 # DEPENDENCYPART_ARC
(8,17),1.38627 # DEPENDENCYPART_ARC
(8,18),0.890475 # DEPENDENCYPART_ARC
(9,1),-3.09422 # DEPENDENCYPART_ARC
(9,2),-2.25038 # DEPENDENCYPART_ARC
(9,3),-2.95774 # DEPENDENCYPART_ARC
(9,4),-2.98775 # DEPENDENCYPART_ARC
(9,5),-1.89537 # DEPENDENCYPART_ARC
(9,6),-1.79714 # DEPENDENCYPART_ARC
(9,7),-1.54122 # DEPENDENCYPART_ARC
(9,8),-0.973197 # DEPENDENCYPART_ARC
(9,10),0.386666 # DEPENDENCYPART_ARC
(9,11),-1.04411 # DEPENDENCYPART_ARC
(9,12),-2.70589 # DEPENDENCYPART_ARC
(9,13),-2.23251 # DEPENDENCYPART_ARC
(9,14),-1.91961 # DEPENDENCYPART_ARC
(9,15),-2.47779 # DEPENDENCYPART_ARC
(9,16),-3.38366 # DEPENDENCYPART_ARC
(9,17),-3.35089 # DEPENDENCYPART_ARC
(9,18),-1.81377 # DEPENDENCYPART_ARC
(10,1),-1.02258 # DEPENDENCYPART_ARC
(10,2),-1.08724 # DEPENDENCYPART_ARC
(10,3),-1.38708 # DEPENDENCYPART_ARC
(10,4),-1.84435 # DEPENDENCYPART_ARC
(10,5),-0.493059 # DEPENDENCYPART_ARC
(10,6),0.0800029 # DEPENDENCYPART_ARC
(10,7),-0.149068 # DEPENDENCYPART_ARC
(10,8),0.145877 # DEPENDENCYPART_ARC
(10,9),1.52011 # DEPENDENCYPART_ARC
(10,11),0.398219 # DEPENDENCYPART_ARC
(10,12),-0.323498 # DEPENDENCYPART_ARC
(10,13),0.97255 # DEPENDENCYPART_ARC
(10,14),1.35513 # DEPENDENCYPART_ARC
(10,15),0.643386 # DEPENDENCYPART_ARC
(10,16),-0.920088 # DEPENDENCYPART_ARC
(10,17),1.03773 # DEPENDENCYPART_ARC
(10,18),0.882252 # DEPENDENCYPART_ARC
(11,1),-2.57646 # DEPENDENCYPART_ARC
(11,2),-2.55673 # DEPENDENCYPART_ARC
(11,3),-3.11428 # DEPENDENCYPART_ARC
(11,4),-3.39768 # DEPENDENCYPART_ARC
(11,5),-2.04926 # DEPENDENCYPART_ARC
(11,6),-2.67261 # DEPENDENCYPART_ARC
(11,7),-2.48455 # DEPENDENCYPART_ARC
(11,8),-2.336 # DEPENDENCYPART_ARC
(11,9),-1.27764 # DEPENDENCYPART_ARC
(11,10),-1.4047 # DEPENDENCYPART_ARC
(11,12),-1.13303 # DEPENDENCYPART_ARC
(11,13),-1.15455 # DEPENDENCYPART_ARC
(11,14),-1.50361 # DEPENDENCYPART_ARC
(11,15),-1.74494 # DEPENDENCYPART_ARC
(11,16),-2.34578 # DEPENDENCYPART_ARC
(11,17),-1.94185 # DEPENDENCYPART_ARC
(11,18),-0.98553 # DEPENDENCYPART_ARC
(12,1),-3.19178 # DEPENDENCYPART_ARC
(12,2),-2.32718 # DEPENDENCYPART_ARC
(12,3),-2.00015 # DEPENDENCYPART_ARC
(12,4),-3.00823 # DEPENDENCYPART_ARC
(12,5),-2.12765 # DEPENDENCYPART_ARC
(12,6),-2.53505 # DEPENDENCYPART_ARC
(12,7),-1.50791 # DEPENDENCYPART_ARC
(12,8),-1.96035 # DEPENDENCYPART_ARC
(12,9),-1.35317 # DEPENDENCYPART_ARC
(12,10),-1.38821 # DEPENDENCYPART_ARC
(12,11),-0.225624 # DEPENDENCYPART_ARC
(12,13),-0.377651 # DEPENDENCYPART_ARC
(12,14),-0.862192 # DEPENDENCYPART_ARC
(12,15),-1.72775 # DEPENDENCYPART_ARC
(12,16),-0.487173 # DEPENDENCYPART_ARC
(12,17),-3.0474 # DEPENDENCYPART_ARC
(12,18),-2.56279 # DEPENDENCYPART_ARC
(13,1),-0.95318 # DEPENDENCYPART_ARC
(13,2),-0.607868 # DEPENDENCYPART_ARC
(13,3),-1.51557 # DEPENDENCYPART_ARC
(13,4),-1.97268 # DEPENDENCYPART_ARC
(13,5),-0.338028 # DEPENDENCYPART_ARC
(13,6),0.199246 # DEPENDENCYPART_ARC
(13,7),-0.1365 # DEPENDENCYPART_ARC
(13,8),-0.827158 # DEPENDENCYPART_ARC
(13,9),0.859394 # DEPENDENCYPART_ARC
(13,10),-0.574826 # DEPENDENCYPART_ARC
(13,11),1.57337 # DEPENDENCYPART_ARC
(13,12),5.10779 # DEPENDENCYPART_ARC
(13,14),4.18403 # DEPENDENCYPART_ARC
(13,15),2.69288 # DEPENDENCYPART_ARC
(13,16),0.0832591 # DEPENDENCYPART_ARC
(13,17),2.08274 # DEPENDENCYPART_ARC
(13,18),1.26594 # DEPENDENCYPART_ARC
(14,1),-3.55295 # DEPENDENCYPART_ARC
(14,2),-2.30491 # DEPENDENCYPART_ARC
(14,3),-2.0962 # DEPENDENCYPART_ARC
(14,4),-2.50475 # DEPENDENCYPART_ARC
(14,5),-1.61433 # DEPENDENCYPART_ARC
(14,6),-1.57838 # DEPENDENCYPART_ARC
(14,7),-2.09136 # DEPENDENCYPART_ARC
(14,8),-2.17829 # DEPENDENCYPART_ARC
(14,9),-0.456616 # DEPENDENCYPART_ARC
(14,10),-1.86596 # DEPENDENCYPART_ARC
(14,11),0.688008 # DEPENDENCYPART_ARC
(14,12),1.35753 # DEPENDENCYPART_ARC
(14,13),0.254293 # DEPENDENCYPART_ARC
(14,15),0.946131 # DEPENDENCYPART_ARC
(14,16),-1.17502 # DEPENDENCYPART_ARC
(14,17),0.00395841 # DEPENDENCYPART_ARC
(14,18),-0.18371 # DEPENDENCYPART_ARC
(15,1),-1.81235 # DEPENDENCYPART_ARC
(15,2),-2.95316 # DEPENDENCYPART_ARC
(15,3),-1.92961 # DEPENDENCYPART_ARC
(15,4),-2.24245 # DEPENDENCYPART_ARC
(15,5),-2.16733 # DEPENDENCYPART_ARC
(15,6),-0.772777 # DEPENDENCYPART_ARC
(15,7),-0.350332 # DEPENDENCYPART_ARC
(15,8),-1.49 # DEPENDENCYPART_ARC
(15,9),-0.20445 # DEPENDENCYPART_ARC
(15,10),-1.70758 # DEPENDENCYPART_ARC
(15,11),-0.424117 # DEPENDENCYPART_ARC
(15,12),-0.043994 # DEPENDENCYPART_ARC
(15,13),-0.438898 # DEPENDENCYPART_ARC
(15,14),0.513573 # DEPENDENCYPART_ARC
(15,16),0.4939 # DEPENDENCYPART_ARC
(15,17),4.90038 # DEPENDENCYPART_ARC
(15,18),0.0898699 # DEPENDENCYPART_ARC
(16,1),-3.33236 # DEPENDENCYPART_ARC
(16,2),-2.16685 # DEPENDENCYPART_ARC
(16,3),-3.64245 # DEPENDENCYPART_ARC
(16,4),-3.31165 # DEPENDENCYPART_ARC
(16,5),-1.82515 # DEPENDENCYPART_ARC
(16,6),-2.06876 # DEPENDENCYPART_ARC
(16,7),-3.06291 # DEPENDENCYPART_ARC
(16,8),-2.43241 # DEPENDENCYPART_ARC
(16,9),-1.59274 # DEPENDENCYPART_ARC
(16,10),-2.4143 # DEPENDENCYPART_ARC
(16,11),-1.27981 # DEPENDENCYPART_ARC
(16,12),-2.33472 # DEPENDENCYPART_ARC
(16,13),-1.70642 # DEPENDENCYPART_ARC
(16,14),-1.31499 # DEPENDENCYPART_ARC
(16,15),1.11209 # DEPENDENCYPART_ARC
(16,17),1.09023 # DEPENDENCYPART_ARC
(16,18),-1.41495 # DEPENDENCYPART_ARC
(17,1),-1.15851 # DEPENDENCYPART_ARC
(17,2),-0.854056 # DEPENDENCYPART_ARC
(17,3),-2.23021 # DEPENDENCYPART_ARC
(17,4),-2.13746 # DEPENDENCYPART_ARC
(17,5),-0.0549792 # DEPENDENCYPART_ARC
(17,6),0.042067 # DEPENDENCYPART_ARC
(17,7),-0.00370922 # DEPENDENCYPART_ARC
(17,8),-1.11683 # DEPENDENCYPART_ARC
(17,9),0.629117 # DEPENDENCYPART_ARC
(17,10),-0.938648 # DEPENDENCYPART_ARC
(17,11),0.866467 # DEPENDENCYPART_ARC
(17,12),1.74072 # DEPENDENCYPART_ARC
(17,13),-0.782163 # DEPENDENCYPART_ARC
(17,14),0.237672 # DEPENDENCYPART_ARC
(17,15),1.63359 # DEPENDENCYPART_ARC
(17,16),5.15508 # DEPENDENCYPART_ARC
(17,18),1.15641 # DEPENDENCYPART_ARC
(18,1),-3.82388 # DEPENDENCYPART_ARC
(18,2),-3.609 # DEPENDENCYPART_ARC
(18,3),-4.28032 # DEPENDENCYPART_ARC
(18,4),-4.558 # DEPENDENCYPART_ARC
(18,5),-3.41899 # DEPENDENCYPART_ARC
(18,6),-4.00227 # DEPENDENCYPART_ARC
(18,7),-4.01826 # DEPENDENCYPART_ARC
(18,8),-3.87952 # DEPENDENCYPART_ARC
(18,9),-3.27296 # DEPENDENCYPART_ARC
(18,10),-4.08733 # DEPENDENCYPART_ARC
(18,11),-3.00956 # DEPENDENCYPART_ARC
(18,12),-3.79462 # DEPENDENCYPART_ARC
(18,13),-3.78846 # DEPENDENCYPART_ARC
(18,14),-3.06116 # DEPENDENCYPART_ARC
(18,15),-2.38946 # DEPENDENCYPART_ARC
(18,16),-2.08634 # DEPENDENCYPART_ARC
(18,17),-2.30741 # DEPENDENCYPART_ARC
