# _root_ En l' obra s' hi pot veure un cert paral·lelisme amb la vida de l' autor , s' hi veu reflectida la_seva sensibilitat , les_seves inquietuds i els_seus dubtes .
#goldHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,7,20,20,7,20,23,20,23,26,23,23,29,23,7,
#predictedHeads=7,3,1,7,7,7,0,10,8,7,7,13,11,13,16,14,20,20,20,16,20,23,20,23,26,23,23,29,26,7,
(1,5),-0.229032 # DEPENDENCYPART_ARC
(1,6),1.08928 # DEPENDENCYPART_ARC
(1,7),0.0902076 # DEPENDENCYPART_ARC
(1,8),-2.1956 # DEPENDENCYPART_ARC
(1,9),-1.68001 # DEPENDENCYPART_ARC
(1,10),-4.75967 # DEPENDENCYPART_ARC
(1,11),-1.23164 # DEPENDENCYPART_ARC
(1,12),-2.17293 # DEPENDENCYPART_ARC
(1,13),-6.49612 # DEPENDENCYPART_ARC
(1,14),-2.96897 # DEPENDENCYPART_ARC
(1,15),-1.55505 # DEPENDENCYPART_ARC
(1,16),-8.6775 # DEPENDENCYPART_ARC
(1,17),0.942134 # DEPENDENCYPART_ARC
(1,18),-3.88914 # DEPENDENCYPART_ARC
(1,19),-3.87349 # DEPENDENCYPART_ARC
(1,20),-2.32317 # DEPENDENCYPART_ARC
(1,21),-3.04221 # DEPENDENCYPART_ARC
(1,22),-1.74639 # DEPENDENCYPART_ARC
(1,23),-14.4149 # DEPENDENCYPART_ARC
(1,24),-0.0282422 # DEPENDENCYPART_ARC
(1,25),-1.6859 # DEPENDENCYPART_ARC
(1,26),-18.0314 # DEPENDENCYPART_ARC
(1,27),-2.41592 # DEPENDENCYPART_ARC
(1,28),-1.41343 # DEPENDENCYPART_ARC
(1,29),-20.9536 # DEPENDENCYPART_ARC
(1,30),-0.91867 # DEPENDENCYPART_ARC
(2,1),-1.16766 # DEPENDENCYPART_ARC
(2,3),1.10899 # DEPENDENCYPART_ARC
(2,4),-0.320274 # DEPENDENCYPART_ARC
(2,5),-2.07048 # DEPENDENCYPART_ARC
(2,6),-1.82652 # DEPENDENCYPART_ARC
(2,7),-1.94664 # DEPENDENCYPART_ARC
(2,8),-2.61605 # DEPENDENCYPART_ARC
(2,9),-1.49877 # DEPENDENCYPART_ARC
(2,10),-2.32 # DEPENDENCYPART_ARC
(2,11),-3.61738 # DEPENDENCYPART_ARC
(2,12),-2.14368 # DEPENDENCYPART_ARC
(2,13),-2.23639 # DEPENDENCYPART_ARC
(2,14),-3.68125 # DEPENDENCYPART_ARC
(2,15),-2.29998 # DEPENDENCYPART_ARC
(2,16),-4.26144 # DEPENDENCYPART_ARC
(2,17),-3.63241 # DEPENDENCYPART_ARC
(2,18),-3.30279 # DEPENDENCYPART_ARC
(2,19),-3.92728 # DEPENDENCYPART_ARC
(2,20),-3.85453 # DEPENDENCYPART_ARC
(2,21),-4.03556 # DEPENDENCYPART_ARC
(2,22),-4.35327 # DEPENDENCYPART_ARC
(2,23),-4.4162 # DEPENDENCYPART_ARC
(2,24),-4.06443 # DEPENDENCYPART_ARC
(2,25),-4.96658 # DEPENDENCYPART_ARC
(2,26),-5.10575 # DEPENDENCYPART_ARC
(2,27),-3.60123 # DEPENDENCYPART_ARC
(2,28),-5.45813 # DEPENDENCYPART_ARC
(2,29),-6.07622 # DEPENDENCYPART_ARC
(2,30),-4.24119 # DEPENDENCYPART_ARC
(3,1),0.279201 # DEPENDENCYPART_ARC
(3,2),4.19536 # DEPENDENCYPART_ARC
(3,4),-0.417299 # DEPENDENCYPART_ARC
(3,5),-3.486 # DEPENDENCYPART_ARC
(3,6),1.2565 # DEPENDENCYPART_ARC
(3,7),1.05345 # DEPENDENCYPART_ARC
(3,8),-3.90324 # DEPENDENCYPART_ARC
(3,9),-3.92268 # DEPENDENCYPART_ARC
(3,10),-2.5743 # DEPENDENCYPART_ARC
(3,11),-2.07854 # DEPENDENCYPART_ARC
(3,12),-3.82545 # DEPENDENCYPART_ARC
(3,13),-2.4027 # DEPENDENCYPART_ARC
(3,14),-2.40169 # DEPENDENCYPART_ARC
(3,15),-4.35699 # DEPENDENCYPART_ARC
(3,16),-3.00924 # DEPENDENCYPART_ARC
(3,17),-3.85719 # DEPENDENCYPART_ARC
(3,18),-3.50573 # DEPENDENCYPART_ARC
(3,19),-6.08003 # DEPENDENCYPART_ARC
(3,20),1.24979 # DEPENDENCYPART_ARC
(3,21),-2.99519 # DEPENDENCYPART_ARC
(3,22),-2.251 # DEPENDENCYPART_ARC
(3,23),-2.46457 # DEPENDENCYPART_ARC
(3,24),-3.95459 # DEPENDENCYPART_ARC
(3,25),-2.93228 # DEPENDENCYPART_ARC
(3,26),-2.94549 # DEPENDENCYPART_ARC
(3,27),-1.76128 # DEPENDENCYPART_ARC
(3,28),-3.98206 # DEPENDENCYPART_ARC
(3,29),-2.55041 # DEPENDENCYPART_ARC
(3,30),0.191316 # DEPENDENCYPART_ARC
(4,1),-0.916909 # DEPENDENCYPART_ARC
(4,2),0.0748752 # DEPENDENCYPART_ARC
(4,3),-0.95121 # DEPENDENCYPART_ARC
(4,5),-0.138506 # DEPENDENCYPART_ARC
(4,6),1.05792 # DEPENDENCYPART_ARC
(4,7),0.774594 # DEPENDENCYPART_ARC
(4,8),-1.94893 # DEPENDENCYPART_ARC
(4,9),-1.97624 # DEPENDENCYPART_ARC
(4,10),-1.23108 # DEPENDENCYPART_ARC
(4,11),-2.02781 # DEPENDENCYPART_ARC
(4,12),-2.58327 # DEPENDENCYPART_ARC
(4,13),-1.41646 # DEPENDENCYPART_ARC
(4,14),-2.21516 # DEPENDENCYPART_ARC
(4,15),-2.83632 # DEPENDENCYPART_ARC
(4,16),-1.72343 # DEPENDENCYPART_ARC
(4,17),-1.95944 # DEPENDENCYPART_ARC
(4,18),-2.71832 # DEPENDENCYPART_ARC
(4,19),-3.05518 # DEPENDENCYPART_ARC
(4,20),-0.806657 # DEPENDENCYPART_ARC
(4,21),-2.80772 # DEPENDENCYPART_ARC
(4,22),-3.10478 # DEPENDENCYPART_ARC
(4,23),-2.17771 # DEPENDENCYPART_ARC
(4,24),-2.43203 # DEPENDENCYPART_ARC
(4,25),-3.34791 # DEPENDENCYPART_ARC
(4,26),-2.5165 # DEPENDENCYPART_ARC
(4,27),-2.11032 # DEPENDENCYPART_ARC
(4,28),-3.51963 # DEPENDENCYPART_ARC
(4,29),-2.50848 # DEPENDENCYPART_ARC
(4,30),0.399674 # DEPENDENCYPART_ARC
(5,1),-0.975086 # DEPENDENCYPART_ARC
(5,2),-1.97339 # DEPENDENCYPART_ARC
(5,3),-2.19996 # DEPENDENCYPART_ARC
(5,4),-0.0368833 # DEPENDENCYPART_ARC
(5,6),-0.0922691 # DEPENDENCYPART_ARC
(5,7),-0.508681 # DEPENDENCYPART_ARC
(5,8),-0.565141 # DEPENDENCYPART_ARC
(5,9),-0.661533 # DEPENDENCYPART_ARC
(5,10),-2.20831 # DEPENDENCYPART_ARC
(5,11),-2.08632 # DEPENDENCYPART_ARC
(5,12),-1.49419 # DEPENDENCYPART_ARC
(5,13),-2.01564 # DEPENDENCYPART_ARC
(5,14),-2.31765 # DEPENDENCYPART_ARC
(5,15),-2.00631 # DEPENDENCYPART_ARC
(5,16),-2.82017 # DEPENDENCYPART_ARC
(5,17),-2.00777 # DEPENDENCYPART_ARC
(5,18),-2.44738 # DEPENDENCYPART_ARC
(5,19),-3.40662 # DEPENDENCYPART_ARC
(5,20),-2.71615 # DEPENDENCYPART_ARC
(5,21),-1.73863 # DEPENDENCYPART_ARC
(5,22),-2.20921 # DEPENDENCYPART_ARC
(5,23),-2.61726 # DEPENDENCYPART_ARC
(5,24),-2.54199 # DEPENDENCYPART_ARC
(5,25),-2.21114 # DEPENDENCYPART_ARC
(5,26),-1.95621 # DEPENDENCYPART_ARC
(5,27),-1.96431 # DEPENDENCYPART_ARC
(5,28),-2.59965 # DEPENDENCYPART_ARC
(5,29),-2.53049 # DEPENDENCYPART_ARC
(5,30),0.118155 # DEPENDENCYPART_ARC
(6,1),0.966257 # DEPENDENCYPART_ARC
(6,2),-1.30507 # DEPENDENCYPART_ARC
(6,3),-0.1254 # DEPENDENCYPART_ARC
(6,4),2.16829 # DEPENDENCYPART_ARC
(6,5),2.71018 # DEPENDENCYPART_ARC
(6,7),2.39605 # DEPENDENCYPART_ARC
(6,8),-3.42887 # DEPENDENCYPART_ARC
(6,9),-4.07235 # DEPENDENCYPART_ARC
(6,10),-0.120374 # DEPENDENCYPART_ARC
(6,11),-0.188484 # DEPENDENCYPART_ARC
(6,12),-4.27515 # DEPENDENCYPART_ARC
(6,13),-0.683742 # DEPENDENCYPART_ARC
(6,14),-2.16063 # DEPENDENCYPART_ARC
(6,15),-3.64573 # DEPENDENCYPART_ARC
(6,16),-1.00491 # DEPENDENCYPART_ARC
(6,17),-0.332041 # DEPENDENCYPART_ARC
(6,18),-1.85923 # DEPENDENCYPART_ARC
(6,19),-3.29358 # DEPENDENCYPART_ARC
(6,20),-0.726794 # DEPENDENCYPART_ARC
(6,21),-0.937193 # DEPENDENCYPART_ARC
(6,22),-4.0633 # DEPENDENCYPART_ARC
(6,23),-1.53815 # DEPENDENCYPART_ARC
(6,24),-1.15562 # DEPENDENCYPART_ARC
(6,25),-4.3833 # DEPENDENCYPART_ARC
(6,26),-1.95125 # DEPENDENCYPART_ARC
(6,27),-0.640328 # DEPENDENCYPART_ARC
(6,28),-4.28093 # DEPENDENCYPART_ARC
(6,29),-2.63781 # DEPENDENCYPART_ARC
(6,30),3.48045 # DEPENDENCYPART_ARC
(7,1),3.42065 # DEPENDENCYPART_ARC
(7,2),-0.0140339 # DEPENDENCYPART_ARC
(7,3),1.51197 # DEPENDENCYPART_ARC
(7,4),3.84912 # DEPENDENCYPART_ARC
(7,5),4.48011 # DEPENDENCYPART_ARC
(7,6),5.51784 # DEPENDENCYPART_ARC
(7,8),-0.423472 # DEPENDENCYPART_ARC
(7,9),-0.676074 # DEPENDENCYPART_ARC
(7,10),2.40054 # DEPENDENCYPART_ARC
(7,11),2.48025 # DEPENDENCYPART_ARC
(7,12),-1.6266 # DEPENDENCYPART_ARC
(7,13),1.56621 # DEPENDENCYPART_ARC
(7,14),0.680843 # DEPENDENCYPART_ARC
(7,15),-1.86789 # DEPENDENCYPART_ARC
(7,16),0.92738 # DEPENDENCYPART_ARC
(7,17),1.02645 # DEPENDENCYPART_ARC
(7,18),-0.119979 # DEPENDENCYPART_ARC
(7,19),0.55033 # DEPENDENCYPART_ARC
(7,20),1.66431 # DEPENDENCYPART_ARC
(7,21),1.20897 # DEPENDENCYPART_ARC
(7,22),-2.30364 # DEPENDENCYPART_ARC
(7,23),-0.0963791 # DEPENDENCYPART_ARC
(7,24),0.529202 # DEPENDENCYPART_ARC
(7,25),-2.19368 # DEPENDENCYPART_ARC
(7,26),-0.335922 # DEPENDENCYPART_ARC
(7,27),0.278916 # DEPENDENCYPART_ARC
(7,28),-2.05116 # DEPENDENCYPART_ARC
(7,29),-1.13107 # DEPENDENCYPART_ARC
(7,30),6.81639 # DEPENDENCYPART_ARC
(8,1),-2.61229 # DEPENDENCYPART_ARC
(8,2),-3.95025 # DEPENDENCYPART_ARC
(8,3),-3.54539 # DEPENDENCYPART_ARC
(8,4),-2.31114 # DEPENDENCYPART_ARC
(8,5),-2.38742 # DEPENDENCYPART_ARC
(8,6),-2.66081 # DEPENDENCYPART_ARC
(8,7),-1.6291 # DEPENDENCYPART_ARC
(8,9),6.0478 # DEPENDENCYPART_ARC
(8,10),2.06314 # DEPENDENCYPART_ARC
(8,11),0.511552 # DEPENDENCYPART_ARC
(8,12),1.78252 # DEPENDENCYPART_ARC
(8,13),0.131582 # DEPENDENCYPART_ARC
(8,14),-0.191116 # DEPENDENCYPART_ARC
(8,15),1.03073 # DEPENDENCYPART_ARC
(8,16),-1.46791 # DEPENDENCYPART_ARC
(8,17),-1.28478 # DEPENDENCYPART_ARC
(8,18),-0.756114 # DEPENDENCYPART_ARC
(8,19),-2.06932 # DEPENDENCYPART_ARC
(8,20),-1.33917 # DEPENDENCYPART_ARC
(8,21),-2.90856 # DEPENDENCYPART_ARC
(8,22),-1.03744 # DEPENDENCYPART_ARC
(8,23),-2.6855 # DEPENDENCYPART_ARC
(8,24),-2.23656 # DEPENDENCYPART_ARC
(8,25),-1.391 # DEPENDENCYPART_ARC
(8,26),-3.57384 # DEPENDENCYPART_ARC
(8,27),-1.55288 # DEPENDENCYPART_ARC
(8,28),-2.10534 # DEPENDENCYPART_ARC
(8,29),-4.03736 # DEPENDENCYPART_ARC
(8,30),-2.74977 # DEPENDENCYPART_ARC
(9,1),-1.82212 # DEPENDENCYPART_ARC
(9,2),-2.37229 # DEPENDENCYPART_ARC
(9,3),-2.44306 # DEPENDENCYPART_ARC
(9,4),-1.26779 # DEPENDENCYPART_ARC
(9,5),-1.37942 # DEPENDENCYPART_ARC
(9,6),-1.96934 # DEPENDENCYPART_ARC
(9,7),-1.14141 # DEPENDENCYPART_ARC
(9,8),2.20277 # DEPENDENCYPART_ARC
(9,10),1.68889 # DEPENDENCYPART_ARC
(9,11),0.0472578 # DEPENDENCYPART_ARC
(9,12),-0.13206 # DEPENDENCYPART_ARC
(9,13),-0.915196 # DEPENDENCYPART_ARC
(9,14),-0.794708 # DEPENDENCYPART_ARC
(9,15),-1.1804 # DEPENDENCYPART_ARC
(9,16),-2.55168 # DEPENDENCYPART_ARC
(9,17),-2.15526 # DEPENDENCYPART_ARC
(9,18),-2.01423 # DEPENDENCYPART_ARC
(9,19),-3.31426 # DEPENDENCYPART_ARC
(9,20),-2.67542 # DEPENDENCYPART_ARC
(9,21),-3.89134 # DEPENDENCYPART_ARC
(9,22),-3.51589 # DEPENDENCYPART_ARC
(9,23),-3.5952 # DEPENDENCYPART_ARC
(9,24),-2.89468 # DEPENDENCYPART_ARC
(9,25),-3.93491 # DEPENDENCYPART_ARC
(9,26),-4.32098 # DEPENDENCYPART_ARC
(9,27),-2.75501 # DEPENDENCYPART_ARC
(9,28),-4.51517 # DEPENDENCYPART_ARC
(9,29),-4.75287 # DEPENDENCYPART_ARC
(9,30),-3.06181 # DEPENDENCYPART_ARC
(10,1),-0.103559 # DEPENDENCYPART_ARC
(10,2),-0.951375 # DEPENDENCYPART_ARC
(10,3),-1.4175 # DEPENDENCYPART_ARC
(10,4),-0.549555 # DEPENDENCYPART_ARC
(10,5),0.721403 # DEPENDENCYPART_ARC
(10,6),-0.553543 # DEPENDENCYPART_ARC
(10,7),-0.153191 # DEPENDENCYPART_ARC
(10,8),3.26533 # DEPENDENCYPART_ARC
(10,9),3.67634 # DEPENDENCYPART_ARC
(10,11),1.98716 # DEPENDENCYPART_ARC
(10,12),-1.10034 # DEPENDENCYPART_ARC
(10,13),1.09014 # DEPENDENCYPART_ARC
(10,14),1.5731 # DEPENDENCYPART_ARC
(10,15),-1.6038 # DEPENDENCYPART_ARC
(10,16),0.457003 # DEPENDENCYPART_ARC
(10,17),-0.0331523 # DEPENDENCYPART_ARC
(10,18),-0.0406007 # DEPENDENCYPART_ARC
(10,19),-2.1232 # DEPENDENCYPART_ARC
(10,20),3.06684 # DEPENDENCYPART_ARC
(10,21),-2.04808 # DEPENDENCYPART_ARC
(10,22),-0.578098 # DEPENDENCYPART_ARC
(10,23),-0.689701 # DEPENDENCYPART_ARC
(10,24),-0.0700524 # DEPENDENCYPART_ARC
(10,25),-1.10146 # DEPENDENCYPART_ARC
(10,26),-0.599172 # DEPENDENCYPART_ARC
(10,27),1.43854 # DEPENDENCYPART_ARC
(10,28),-1.3589 # DEPENDENCYPART_ARC
(10,29),-0.183608 # DEPENDENCYPART_ARC
(10,30),1.55688 # DEPENDENCYPART_ARC
(11,1),-1.73918 # DEPENDENCYPART_ARC
(11,2),-2.11772 # DEPENDENCYPART_ARC
(11,3),-2.03579 # DEPENDENCYPART_ARC
(11,4),-1.41871 # DEPENDENCYPART_ARC
(11,5),-1.75728 # DEPENDENCYPART_ARC
(11,6),-0.808735 # DEPENDENCYPART_ARC
(11,7),-0.870277 # DEPENDENCYPART_ARC
(11,8),-0.41489 # DEPENDENCYPART_ARC
(11,9),0.332078 # DEPENDENCYPART_ARC
(11,10),-0.210115 # DEPENDENCYPART_ARC
(11,12),-0.0661188 # DEPENDENCYPART_ARC
(11,13),5.07654 # DEPENDENCYPART_ARC
(11,14),-0.0540806 # DEPENDENCYPART_ARC
(11,15),-1.26356 # DEPENDENCYPART_ARC
(11,16),1.692 # DEPENDENCYPART_ARC
(11,17),-0.0313833 # DEPENDENCYPART_ARC
(11,18),-2.27149 # DEPENDENCYPART_ARC
(11,19),-1.9609 # DEPENDENCYPART_ARC
(11,20),0.312261 # DEPENDENCYPART_ARC
(11,21),-1.58738 # DEPENDENCYPART_ARC
(11,22),-2.32174 # DEPENDENCYPART_ARC
(11,23),-4.72814 # DEPENDENCYPART_ARC
(11,24),-1.08422 # DEPENDENCYPART_ARC
(11,25),-2.24473 # DEPENDENCYPART_ARC
(11,26),-7.94772 # DEPENDENCYPART_ARC
(11,27),0.280623 # DEPENDENCYPART_ARC
(11,28),-1.96783 # DEPENDENCYPART_ARC
(11,29),-10.4196 # DEPENDENCYPART_ARC
(11,30),-0.775081 # DEPENDENCYPART_ARC
(12,1),-3.45401 # DEPENDENCYPART_ARC
(12,2),-3.99136 # DEPENDENCYPART_ARC
(12,3),-3.60134 # DEPENDENCYPART_ARC
(12,4),-2.77164 # DEPENDENCYPART_ARC
(12,5),-2.67632 # DEPENDENCYPART_ARC
(12,6),-3.42066 # DEPENDENCYPART_ARC
(12,7),-2.97763 # DEPENDENCYPART_ARC
(12,8),-1.28165 # DEPENDENCYPART_ARC
(12,9),-1.24272 # DEPENDENCYPART_ARC
(12,10),-1.90141 # DEPENDENCYPART_ARC
(12,11),-0.465983 # DEPENDENCYPART_ARC
(12,13),3.54527 # DEPENDENCYPART_ARC
(12,14),0.857152 # DEPENDENCYPART_ARC
(12,15),1.777 # DEPENDENCYPART_ARC
(12,16),-1.57493 # DEPENDENCYPART_ARC
(12,17),-1.6166 # DEPENDENCYPART_ARC
(12,18),-1.64232 # DEPENDENCYPART_ARC
(12,19),-2.90621 # DEPENDENCYPART_ARC
(12,20),-2.37164 # DEPENDENCYPART_ARC
(12,21),-2.98241 # DEPENDENCYPART_ARC
(12,22),-1.54252 # DEPENDENCYPART_ARC
(12,23),-2.81092 # DEPENDENCYPART_ARC
(12,24),-2.68766 # DEPENDENCYPART_ARC
(12,25),-2.08679 # DEPENDENCYPART_ARC
(12,26),-3.60571 # DEPENDENCYPART_ARC
(12,27),-2.82613 # DEPENDENCYPART_ARC
(12,28),-2.67446 # DEPENDENCYPART_ARC
(12,29),-4.84397 # DEPENDENCYPART_ARC
(12,30),-2.83258 # DEPENDENCYPART_ARC
(13,1),-1.71703 # DEPENDENCYPART_ARC
(13,2),-3.13177 # DEPENDENCYPART_ARC
(13,3),-1.8555 # DEPENDENCYPART_ARC
(13,4),-1.76241 # DEPENDENCYPART_ARC
(13,5),-0.0482708 # DEPENDENCYPART_ARC
(13,6),-1.73052 # DEPENDENCYPART_ARC
(13,7),-1.02487 # DEPENDENCYPART_ARC
(13,8),0.234711 # DEPENDENCYPART_ARC
(13,9),-0.0681139 # DEPENDENCYPART_ARC
(13,10),-1.19619 # DEPENDENCYPART_ARC
(13,11),0.0520832 # DEPENDENCYPART_ARC
(13,12),4.70687 # DEPENDENCYPART_ARC
(13,14),2.70757 # DEPENDENCYPART_ARC
(13,15),-0.521922 # DEPENDENCYPART_ARC
(13,16),0.940214 # DEPENDENCYPART_ARC
(13,17),0.0822352 # DEPENDENCYPART_ARC
(13,18),0.206176 # DEPENDENCYPART_ARC
(13,19),-2.39493 # DEPENDENCYPART_ARC
(13,20),3.07663 # DEPENDENCYPART_ARC
(13,21),0.215845 # DEPENDENCYPART_ARC
(13,22),0.547124 # DEPENDENCYPART_ARC
(13,23),-0.112195 # DEPENDENCYPART_ARC
(13,24),0.209152 # DEPENDENCYPART_ARC
(13,25),-0.132767 # DEPENDENCYPART_ARC
(13,26),0.0522637 # DEPENDENCYPART_ARC
(13,27),2.03858 # DEPENDENCYPART_ARC
(13,28),-1.06825 # DEPENDENCYPART_ARC
(13,29),0.397414 # DEPENDENCYPART_ARC
(13,30),1.69312 # DEPENDENCYPART_ARC
(14,1),-2.45522 # DEPENDENCYPART_ARC
(14,2),-2.2608 # DEPENDENCYPART_ARC
(14,3),-2.31567 # DEPENDENCYPART_ARC
(14,4),-1.51602 # DEPENDENCYPART_ARC
(14,5),-1.98643 # DEPENDENCYPART_ARC
(14,6),-1.29471 # DEPENDENCYPART_ARC
(14,7),-1.4582 # DEPENDENCYPART_ARC
(14,8),-1.50969 # DEPENDENCYPART_ARC
(14,9),-1.00358 # DEPENDENCYPART_ARC
(14,10),-1.75076 # DEPENDENCYPART_ARC
(14,11),-0.433401 # DEPENDENCYPART_ARC
(14,12),1.00278 # DEPENDENCYPART_ARC
(14,13),-0.0366592 # DEPENDENCYPART_ARC
(14,15),0.874599 # DEPENDENCYPART_ARC
(14,16),4.73745 # DEPENDENCYPART_ARC
(14,17),0.0591964 # DEPENDENCYPART_ARC
(14,18),-1.41149 # DEPENDENCYPART_ARC
(14,19),-1.19927 # DEPENDENCYPART_ARC
(14,20),0.813812 # DEPENDENCYPART_ARC
(14,21),-0.885331 # DEPENDENCYPART_ARC
(14,22),-2.1962 # DEPENDENCYPART_ARC
(14,23),-3.18173 # DEPENDENCYPART_ARC
(14,24),-0.563506 # DEPENDENCYPART_ARC
(14,25),-2.04645 # DEPENDENCYPART_ARC
(14,26),-5.89975 # DEPENDENCYPART_ARC
(14,27),0.139727 # DEPENDENCYPART_ARC
(14,28),-1.80357 # DEPENDENCYPART_ARC
(14,29),-8.19954 # DEPENDENCYPART_ARC
(14,30),-0.710472 # DEPENDENCYPART_ARC
(15,1),-2.46124 # DEPENDENCYPART_ARC
(15,2),-3.18827 # DEPENDENCYPART_ARC
(15,3),-2.88188 # DEPENDENCYPART_ARC
(15,4),-2.11968 # DEPENDENCYPART_ARC
(15,5),-1.88419 # DEPENDENCYPART_ARC
(15,6),-1.84393 # DEPENDENCYPART_ARC
(15,7),-2.66275 # DEPENDENCYPART_ARC
(15,8),-0.971874 # DEPENDENCYPART_ARC
(15,9),-1.01933 # DEPENDENCYPART_ARC
(15,10),-1.74252 # DEPENDENCYPART_ARC
(15,11),-0.786297 # DEPENDENCYPART_ARC
(15,12),0.240858 # DEPENDENCYPART_ARC
(15,13),-0.82907 # DEPENDENCYPART_ARC
(15,14),0.505631 # DEPENDENCYPART_ARC
(15,16),-0.200781 # DEPENDENCYPART_ARC
(15,17),-1.95407 # DEPENDENCYPART_ARC
(15,18),-2.17413 # DEPENDENCYPART_ARC
(15,19),-2.98173 # DEPENDENCYPART_ARC
(15,20),-2.69218 # DEPENDENCYPART_ARC
(15,21),-4.10527 # DEPENDENCYPART_ARC
(15,22),-2.61174 # DEPENDENCYPART_ARC
(15,23),-3.51308 # DEPENDENCYPART_ARC
(15,24),-3.46757 # DEPENDENCYPART_ARC
(15,25),-3.19121 # DEPENDENCYPART_ARC
(15,26),-4.18148 # DEPENDENCYPART_ARC
(15,27),-3.19017 # DEPENDENCYPART_ARC
(15,28),-3.7338 # DEPENDENCYPART_ARC
(15,29),-5.17322 # DEPENDENCYPART_ARC
(15,30),-3.80859 # DEPENDENCYPART_ARC
(16,1),-1.3176 # DEPENDENCYPART_ARC
(16,2),-3.61443 # DEPENDENCYPART_ARC
(16,3),-2.47984 # DEPENDENCYPART_ARC
(16,4),-1.53164 # DEPENDENCYPART_ARC
(16,5),-0.44751 # DEPENDENCYPART_ARC
(16,6),-1.60692 # DEPENDENCYPART_ARC
(16,7),-1.12851 # DEPENDENCYPART_ARC
(16,8),-0.79169 # DEPENDENCYPART_ARC
(16,9),-1.61759 # DEPENDENCYPART_ARC
(16,10),-1.7532 # DEPENDENCYPART_ARC
(16,11),-0.60155 # DEPENDENCYPART_ARC
(16,12),2.15501 # DEPENDENCYPART_ARC
(16,13),-1.02164 # DEPENDENCYPART_ARC
(16,14),1.01558 # DEPENDENCYPART_ARC
(16,15),5.02941 # DEPENDENCYPART_ARC
(16,17),0.488222 # DEPENDENCYPART_ARC
(16,18),1.36272 # DEPENDENCYPART_ARC
(16,19),-1.25577 # DEPENDENCYPART_ARC
(16,20),3.48654 # DEPENDENCYPART_ARC
(16,21),-0.66358 # DEPENDENCYPART_ARC
(16,22),0.74669 # DEPENDENCYPART_ARC
(16,23),0.531485 # DEPENDENCYPART_ARC
(16,24),1.00031 # DEPENDENCYPART_ARC
(16,25),0.0660219 # DEPENDENCYPART_ARC
(16,26),0.501006 # DEPENDENCYPART_ARC
(16,27),2.22077 # DEPENDENCYPART_ARC
(16,28),-0.245696 # DEPENDENCYPART_ARC
(16,29),0.81893 # DEPENDENCYPART_ARC
(16,30),2.46001 # DEPENDENCYPART_ARC
(17,1),-3.2764 # DEPENDENCYPART_ARC
(17,2),-3.77675 # DEPENDENCYPART_ARC
(17,3),-4.07355 # DEPENDENCYPART_ARC
(17,4),-3.37397 # DEPENDENCYPART_ARC
(17,5),-3.32555 # DEPENDENCYPART_ARC
(17,6),-3.65982 # DEPENDENCYPART_ARC
(17,7),-3.39318 # DEPENDENCYPART_ARC
(17,8),-3.3327 # DEPENDENCYPART_ARC
(17,9),-3.21661 # DEPENDENCYPART_ARC
(17,10),-3.41625 # DEPENDENCYPART_ARC
(17,11),-2.34607 # DEPENDENCYPART_ARC
