# _root_ Per intentar el rècord , l' embarcació catalana participarà en el rànquing ' World_Sailing_Record ' , l' entitat que estableix la legalitat de les marques .
#goldHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
#predictedHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
(3,24),-7.86963 # DEPENDENCYPART_ARC
(3,25),-6.66313 # DEPENDENCYPART_ARC
(4,1),-0.401624 # DEPENDENCYPART_ARC
(4,2),0.646451 # DEPENDENCYPART_ARC
(4,3),3.74554 # DEPENDENCYPART_ARC
(4,5),1.16754 # DEPENDENCYPART_ARC
(4,6),-0.186545 # DEPENDENCYPART_ARC
(4,7),1.65588 # DEPENDENCYPART_ARC
(4,8),0.624188 # DEPENDENCYPART_ARC
(4,9),1.40455 # DEPENDENCYPART_ARC
(4,10),-1.08454 # DEPENDENCYPART_ARC
(4,11),-1.69852 # DEPENDENCYPART_ARC
(4,12),0.470735 # DEPENDENCYPART_ARC
(4,13),0.645732 # DEPENDENCYPART_ARC
(4,14),0.393442 # DEPENDENCYPART_ARC
(4,15),-0.621983 # DEPENDENCYPART_ARC
(4,16),-0.19312 # DEPENDENCYPART_ARC
(4,17),-2.18916 # DEPENDENCYPART_ARC
(4,18),-0.22863 # DEPENDENCYPART_ARC
(4,19),-3.93696 # DEPENDENCYPART_ARC
(4,20),0.347868 # DEPENDENCYPART_ARC
(4,21),-3.03902 # DEPENDENCYPART_ARC
(4,22),0.125039 # DEPENDENCYPART_ARC
(4,23),-1.19688 # DEPENDENCYPART_ARC
(4,24),-3.88019 # DEPENDENCYPART_ARC
(4,25),0.235319 # DEPENDENCYPART_ARC
(4,26),0.152994 # DEPENDENCYPART_ARC
(5,4),-1.56747 # DEPENDENCYPART_ARC
(5,7),-0.938975 # DEPENDENCYPART_ARC
(5,8),-1.17554 # DEPENDENCYPART_ARC
(5,12),-2.14403 # DEPENDENCYPART_ARC
(5,16),-1.35857 # DEPENDENCYPART_ARC
(5,18),-2.25247 # DEPENDENCYPART_ARC
(5,22),-2.38926 # DEPENDENCYPART_ARC
(5,25),-2.52775 # DEPENDENCYPART_ARC
(6,1),-2.20615 # DEPENDENCYPART_ARC
(6,3),-0.617537 # DEPENDENCYPART_ARC
(6,4),-1.41068 # DEPENDENCYPART_ARC
(6,7),-0.0909668 # DEPENDENCYPART_ARC
(6,8),-1.1161 # DEPENDENCYPART_ARC
(6,10),-3.09864 # DEPENDENCYPART_ARC
(6,11),-2.5268 # DEPENDENCYPART_ARC
(6,12),-4.19246 # DEPENDENCYPART_ARC
(6,14),-4.41812 # DEPENDENCYPART_ARC
(6,17),-4.28447 # DEPENDENCYPART_ARC
(6,18),-4.56966 # DEPENDENCYPART_ARC
(6,19),-4.11959 # DEPENDENCYPART_ARC
(6,21),-5.88663 # DEPENDENCYPART_ARC
(6,22),-4.44014 # DEPENDENCYPART_ARC
(6,23),-4.98983 # DEPENDENCYPART_ARC
(6,24),-5.85573 # DEPENDENCYPART_ARC
(6,25),-5.9955 # DEPENDENCYPART_ARC
(7,1),-1.5883 # DEPENDENCYPART_ARC
(7,2),-1.09754 # DEPENDENCYPART_ARC
(7,3),-0.361036 # DEPENDENCYPART_ARC
(7,4),-1.57115 # DEPENDENCYPART_ARC
(7,5),0.681429 # DEPENDENCYPART_ARC
(7,6),3.59788 # DEPENDENCYPART_ARC
(7,8),4.2753 # DEPENDENCYPART_ARC
(7,9),0.83235 # DEPENDENCYPART_ARC
(7,10),-1.0285 # DEPENDENCYPART_ARC
(7,11),-2.37258 # DEPENDENCYPART_ARC
(7,12),-0.690336 # DEPENDENCYPART_ARC
(7,13),0.26931 # DEPENDENCYPART_ARC
(7,14),-0.334787 # DEPENDENCYPART_ARC
(7,15),-0.688857 # DEPENDENCYPART_ARC
(7,16),-1.00816 # DEPENDENCYPART_ARC
(7,17),-2.39582 # DEPENDENCYPART_ARC
(7,18),-1.16689 # DEPENDENCYPART_ARC
(7,19),-4.36747 # DEPENDENCYPART_ARC
(7,20),0.259299 # DEPENDENCYPART_ARC
(7,21),-2.68248 # DEPENDENCYPART_ARC
(7,22),-0.958707 # DEPENDENCYPART_ARC
(7,23),-1.67925 # DEPENDENCYPART_ARC
(7,24),-3.48368 # DEPENDENCYPART_ARC
(7,25),-0.867238 # DEPENDENCYPART_ARC
(7,26),-0.215923 # DEPENDENCYPART_ARC
(8,1),-2.58843 # DEPENDENCYPART_ARC
(8,2),-2.73641 # DEPENDENCYPART_ARC
(8,3),-1.30338 # DEPENDENCYPART_ARC
(8,4),-2.33617 # DEPENDENCYPART_ARC
(8,5),-0.464907 # DEPENDENCYPART_ARC
(8,6),0.164564 # DEPENDENCYPART_ARC
(8,7),-0.113673 # DEPENDENCYPART_ARC
(8,9),0.35621 # DEPENDENCYPART_ARC
(8,10),-1.67686 # DEPENDENCYPART_ARC
(8,11),-3.39672 # DEPENDENCYPART_ARC
(8,12),-0.998477 # DEPENDENCYPART_ARC
(8,13),-1.45132 # DEPENDENCYPART_ARC
(8,14),-1.44102 # DEPENDENCYPART_ARC
(8,15),-1.79796 # DEPENDENCYPART_ARC
(8,16),-2.2492 # DEPENDENCYPART_ARC
(8,17),-3.67438 # DEPENDENCYPART_ARC
(8,18),-2.56475 # DEPENDENCYPART_ARC
(8,19),-4.55943 # DEPENDENCYPART_ARC
(8,20),-2.2665 # DEPENDENCYPART_ARC
(8,21),-3.88234 # DEPENDENCYPART_ARC
(8,22),-2.91662 # DEPENDENCYPART_ARC
(8,23),-4.50562 # DEPENDENCYPART_ARC
(8,24),-4.27342 # DEPENDENCYPART_ARC
(8,25),-3.08626 # DEPENDENCYPART_ARC
(8,26),-2.62422 # DEPENDENCYPART_ARC
(9,1),1.59077 # DEPENDENCYPART_ARC
(9,2),-0.315957 # DEPENDENCYPART_ARC
(9,3),-1.2971 # DEPENDENCYPART_ARC
(9,4),1.54968 # DEPENDENCYPART_ARC
(9,5),0.601666 # DEPENDENCYPART_ARC
(9,6),-0.161977 # DEPENDENCYPART_ARC
(9,7),2.51471 # DEPENDENCYPART_ARC
(9,8),1.50748 # DEPENDENCYPART_ARC
(9,10),3.28351 # DEPENDENCYPART_ARC
(9,11),-1.7262 # DEPENDENCYPART_ARC
(9,12),2.09894 # DEPENDENCYPART_ARC
(9,13),0.692359 # DEPENDENCYPART_ARC
(9,14),0.609066 # DEPENDENCYPART_ARC
(9,15),0.734459 # DEPENDENCYPART_ARC
(9,16),0.376548 # DEPENDENCYPART_ARC
(9,17),-2.02056 # DEPENDENCYPART_ARC
(9,18),0.171602 # DEPENDENCYPART_ARC
(9,19),-2.10313 # DEPENDENCYPART_ARC
(9,20),0.344894 # DEPENDENCYPART_ARC
(9,21),-3.89327 # DEPENDENCYPART_ARC
(9,22),-0.586236 # DEPENDENCYPART_ARC
(9,23),-1.98077 # DEPENDENCYPART_ARC
(9,24),-4.00135 # DEPENDENCYPART_ARC
(9,25),-0.54278 # DEPENDENCYPART_ARC
(9,26),3.23821 # DEPENDENCYPART_ARC
(10,1),-3.03893 # DEPENDENCYPART_ARC
(10,2),-3.04754 # DEPENDENCYPART_ARC
(10,3),-3.14652 # DEPENDENCYPART_ARC
(10,4),-3.3419 # DEPENDENCYPART_ARC
(10,5),-2.00388 # DEPENDENCYPART_ARC
(10,6),-2.34004 # DEPENDENCYPART_ARC
(10,7),-2.34072 # DEPENDENCYPART_ARC
(10,8),-1.24438 # DEPENDENCYPART_ARC
(10,9),-0.409192 # DEPENDENCYPART_ARC
(10,11),-0.15744 # DEPENDENCYPART_ARC
(10,12),4.84176 # DEPENDENCYPART_ARC
(10,13),-0.168558 # DEPENDENCYPART_ARC
(10,14),0.152806 # DEPENDENCYPART_ARC
(10,15),-1.23946 # DEPENDENCYPART_ARC
(10,16),-0.594546 # DEPENDENCYPART_ARC
(10,17),-1.61837 # DEPENDENCYPART_ARC
(10,18),-3.93641 # DEPENDENCYPART_ARC
(10,19),-3.06346 # DEPENDENCYPART_ARC
(10,20),-1.56642 # DEPENDENCYPART_ARC
(10,21),-2.69795 # DEPENDENCYPART_ARC
(10,22),-8.98694 # DEPENDENCYPART_ARC
(10,23),-3.71087 # DEPENDENCYPART_ARC
(10,24),-2.73967 # DEPENDENCYPART_ARC
(10,25),-10.651 # DEPENDENCYPART_ARC
(10,26),-2.82853 # DEPENDENCYPART_ARC
(11,1),-3.89681 # DEPENDENCYPART_ARC
(11,3),-4.13551 # DEPENDENCYPART_ARC
(11,4),-3.99962 # DEPENDENCYPART_ARC
(11,6),-4.08993 # DEPENDENCYPART_ARC
(11,7),-3.54834 # DEPENDENCYPART_ARC
(11,8),-3.34121 # DEPENDENCYPART_ARC
(11,10),-1.17955 # DEPENDENCYPART_ARC
(11,12),-0.222965 # DEPENDENCYPART_ARC
(11,14),-2.75022 # DEPENDENCYPART_ARC
(11,17),-2.45121 # DEPENDENCYPART_ARC
(11,18),-3.69508 # DEPENDENCYPART_ARC
(11,19),-4.33793 # DEPENDENCYPART_ARC
(11,21),-5.03364 # DEPENDENCYPART_ARC
(11,22),-3.56837 # DEPENDENCYPART_ARC
(11,23),-4.28349 # DEPENDENCYPART_ARC
(11,24),-5.21184 # DEPENDENCYPART_ARC
(11,25),-5.71921 # DEPENDENCYPART_ARC
(12,1),-3.0112 # DEPENDENCYPART_ARC
(12,2),-2.52864 # DEPENDENCYPART_ARC
(12,3),-4.64122 # DEPENDENCYPART_ARC
(12,4),-3.65686 # DEPENDENCYPART_ARC
(12,5),-2.07801 # DEPENDENCYPART_ARC
(12,6),-2.55047 # DEPENDENCYPART_ARC
(12,7),-3.1517 # DEPENDENCYPART_ARC
(12,8),-2.83309 # DEPENDENCYPART_ARC
(12,9),-1.86491 # DEPENDENCYPART_ARC
(12,10),-0.146238 # DEPENDENCYPART_ARC
(12,11),3.00759 # DEPENDENCYPART_ARC
(12,13),1.74599 # DEPENDENCYPART_ARC
(12,14),2.14773 # DEPENDENCYPART_ARC
(12,15),0.860619 # DEPENDENCYPART_ARC
(12,16),0.993282 # DEPENDENCYPART_ARC
(12,17),-1.0254 # DEPENDENCYPART_ARC
(12,18),0.905844 # DEPENDENCYPART_ARC
(12,19),-2.40785 # DEPENDENCYPART_ARC
(12,20),2.45414 # DEPENDENCYPART_ARC
(12,21),-2.33771 # DEPENDENCYPART_ARC
(12,22),0.180629 # DEPENDENCYPART_ARC
(12,23),-0.00440863 # DEPENDENCYPART_ARC
(12,24),-3.29953 # DEPENDENCYPART_ARC
(12,25),0.319739 # DEPENDENCYPART_ARC
(12,26),0.931041 # DEPENDENCYPART_ARC
(14,1),-1.21929 # DEPENDENCYPART_ARC
(14,2),-1.53826 # DEPENDENCYPART_ARC
(14,3),-4.49538 # DEPENDENCYPART_ARC
(14,4),-1.72136 # DEPENDENCYPART_ARC
(14,5),-0.424796 # DEPENDENCYPART_ARC
(14,6),-2.39886 # DEPENDENCYPART_ARC
(14,7),-1.32445 # DEPENDENCYPART_ARC
(14,8),-1.71942 # DEPENDENCYPART_ARC
(14,9),-1.00463 # DEPENDENCYPART_ARC
(14,10),0.628426 # DEPENDENCYPART_ARC
(14,11),0.900431 # DEPENDENCYPART_ARC
(14,12),0.369678 # DEPENDENCYPART_ARC
(14,13),4.17107 # DEPENDENCYPART_ARC
(14,15),3.28415 # DEPENDENCYPART_ARC
(14,16),0.340115 # DEPENDENCYPART_ARC
(14,17),-1.1425 # DEPENDENCYPART_ARC
(14,18),0.147705 # DEPENDENCYPART_ARC
(14,19),-1.36927 # DEPENDENCYPART_ARC
(14,20),1.36109 # DEPENDENCYPART_ARC
(14,21),-2.13198 # DEPENDENCYPART_ARC
(14,22),-0.689911 # DEPENDENCYPART_ARC
(14,23),-1.16856 # DEPENDENCYPART_ARC
(14,24),-2.33155 # DEPENDENCYPART_ARC
(14,25),-0.940372 # DEPENDENCYPART_ARC
(14,26),0.397112 # DEPENDENCYPART_ARC
(16,4),-3.0728 # DEPENDENCYPART_ARC
(16,5),-1.46301 # DEPENDENCYPART_ARC
(16,7),-2.76036 # DEPENDENCYPART_ARC
(16,8),-1.99437 # DEPENDENCYPART_ARC
(16,12),-2.17058 # DEPENDENCYPART_ARC
(16,18),-0.654358 # DEPENDENCYPART_ARC
(16,22),-1.76956 # DEPENDENCYPART_ARC
(16,25),-1.92937 # DEPENDENCYPART_ARC
(17,1),-3.71366 # DEPENDENCYPART_ARC
(17,3),-3.64524 # DEPENDENCYPART_ARC
(17,4),-3.6752 # DEPENDENCYPART_ARC
(17,6),-4.32369 # DEPENDENCYPART_ARC
(17,7),-3.38432 # DEPENDENCYPART_ARC
(17,8),-2.87904 # DEPENDENCYPART_ARC
(17,10),-2.51099 # DEPENDENCYPART_ARC
(17,11),-1.91299 # DEPENDENCYPART_ARC
(17,12),-2.62458 # DEPENDENCYPART_ARC
(17,14),-2.11415 # DEPENDENCYPART_ARC
(17,18),-0.33967 # DEPENDENCYPART_ARC
(17,19),-1.30972 # DEPENDENCYPART_ARC
(17,21),-2.28958 # DEPENDENCYPART_ARC
(17,22),-2.4873 # DEPENDENCYPART_ARC
(17,23),-3.28502 # DEPENDENCYPART_ARC
(17,24),-3.1963 # DEPENDENCYPART_ARC
(17,25),-4.68838 # DEPENDENCYPART_ARC
(18,1),-1.64062 # DEPENDENCYPART_ARC
(18,2),-1.14138 # DEPENDENCYPART_ARC
(18,3),-5.84656 # DEPENDENCYPART_ARC
(18,4),-2.17783 # DEPENDENCYPART_ARC
(18,5),0.242897 # DEPENDENCYPART_ARC
(18,6),-3.07092 # DEPENDENCYPART_ARC
(18,7),-1.24425 # DEPENDENCYPART_ARC
(18,8),-1.10207 # DEPENDENCYPART_ARC
(18,9),-1.22768 # DEPENDENCYPART_ARC
(18,10),0.0494282 # DEPENDENCYPART_ARC
(18,11),-1.43938 # DEPENDENCYPART_ARC
(18,12),-1.07427 # DEPENDENCYPART_ARC
(18,13),1.04011 # DEPENDENCYPART_ARC
(18,14),-0.525665 # DEPENDENCYPART_ARC
(18,15),1.86139 # DEPENDENCYPART_ARC
(18,16),2.24136 # DEPENDENCYPART_ARC
(18,17),4.90454 # DEPENDENCYPART_ARC
(18,19),0.496052 # DEPENDENCYPART_ARC
(18,20),4.19074 # DEPENDENCYPART_ARC
(18,21),-0.10991 # DEPENDENCYPART_ARC
(18,22),0.926931 # DEPENDENCYPART_ARC
(18,23),1.55133 # DEPENDENCYPART_ARC
(18,24),-1.35016 # DEPENDENCYPART_ARC
(18,25),1.11053 # DEPENDENCYPART_ARC
(18,26),1.94076 # DEPENDENCYPART_ARC
(19,1),-2.91913 # DEPENDENCYPART_ARC
(19,2),-3.85398 # DEPENDENCYPART_ARC
(19,3),-6.60061 # DEPENDENCYPART_ARC
(19,4),-4.5546 # DEPENDENCYPART_ARC
(19,6),-5.2625 # DEPENDENCYPART_ARC
(19,7),-4.23701 # DEPENDENCYPART_ARC
(19,8),-3.91041 # DEPENDENCYPART_ARC
(19,9),-2.76604 # DEPENDENCYPART_ARC
(19,10),-2.13581 # DEPENDENCYPART_ARC
(19,11),-4.80617 # DEPENDENCYPART_ARC
(19,12),-3.93615 # DEPENDENCYPART_ARC
(19,17),-1.70054 # DEPENDENCYPART_ARC
(19,18),-1.70893 # DEPENDENCYPART_ARC
(19,20),0.815423 # DEPENDENCYPART_ARC
(19,21),-1.48189 # DEPENDENCYPART_ARC
(19,22),-1.69428 # DEPENDENCYPART_ARC
(19,23),-0.848106 # DEPENDENCYPART_ARC
(19,24),-1.9574 # DEPENDENCYPART_ARC
(19,25),-1.48952 # DEPENDENCYPART_ARC
(20,1),-0.280229 # DEPENDENCYPART_ARC
(20,2),-2.09026 # DEPENDENCYPART_ARC
(20,3),-3.21633 # DEPENDENCYPART_ARC
(20,4),-0.927204 # DEPENDENCYPART_ARC
(20,5),-2.32033 # DEPENDENCYPART_ARC
(20,6),-3.19008 # DEPENDENCYPART_ARC
(20,7),-0.365695 # DEPENDENCYPART_ARC
(20,8),-1.95664 # DEPENDENCYPART_ARC
(20,9),-1.32567 # DEPENDENCYPART_ARC
(20,10),-0.00407292 # DEPENDENCYPART_ARC
(20,11),-2.10609 # DEPENDENCYPART_ARC
(20,12),-0.70549 # DEPENDENCYPART_ARC
(20,13),0.000756362 # DEPENDENCYPART_ARC
(20,14),-0.998023 # DEPENDENCYPART_ARC
(20,15),0.204367 # DEPENDENCYPART_ARC
(20,16),0.580591 # DEPENDENCYPART_ARC
(20,17),-0.554683 # DEPENDENCYPART_ARC
(20,18),1.2181 # DEPENDENCYPART_ARC
(20,19),4.69815 # DEPENDENCYPART_ARC
(20,21),-1.51177 # DEPENDENCYPART_ARC
(20,22),3.19027 # DEPENDENCYPART_ARC
(20,23),0.675823 # DEPENDENCYPART_ARC
(20,24),-3.286 # DEPENDENCYPART_ARC
(20,25),1.59937 # DEPENDENCYPART_ARC
(20,26),2.50061 # DEPENDENCYPART_ARC
(21,1),-4.67191 # DEPENDENCYPART_ARC
(21,3),-5.05362 # DEPENDENCYPART_ARC
(21,4),-4.23904 # DEPENDENCYPART_ARC
(21,6),-5.2913 # DEPENDENCYPART_ARC
(21,7),-3.89276 # DEPENDENCYPART_ARC
(21,8),-3.47251 # DEPENDENCYPART_ARC
(21,10),-3.81676 # DEPENDENCYPART_ARC
(21,11),-3.62789 # DEPENDENCYPART_ARC
(21,12),-3.75492 # DEPENDENCYPART_ARC
(21,14),-3.20918 # DEPENDENCYPART_ARC
(21,17),-3.0245 # DEPENDENCYPART_ARC
(21,18),-2.44152 # DEPENDENCYPART_ARC
(21,19),-2.15953 # DEPENDENCYPART_ARC
(21,22),2.48733 # DEPENDENCYPART_ARC
(21,23),0.270585 # DEPENDENCYPART_ARC
(21,24),0.893567 # DEPENDENCYPART_ARC
(21,25),-1.9522 # DEPENDENCYPART_ARC
(22,1),-3.13823 # DEPENDENCYPART_ARC
(22,2),-1.95308 # DEPENDENCYPART_ARC
(22,3),-8.18407 # DEPENDENCYPART_ARC
(22,4),-3.18965 # DEPENDENCYPART_ARC
(22,5),-1.7767 # DEPENDENCYPART_ARC
(22,6),-5.17246 # DEPENDENCYPART_ARC
(22,7),-2.11594 # DEPENDENCYPART_ARC
(22,8),-2.47161 # DEPENDENCYPART_ARC
(22,9),-2.27948 # DEPENDENCYPART_ARC
(22,10),-1.06008 # DEPENDENCYPART_ARC
(22,11),-4.7559 # DEPENDENCYPART_ARC
(22,12),-2.39689 # DEPENDENCYPART_ARC
(22,13),-0.964837 # DEPENDENCYPART_ARC
(22,14),-2.17285 # DEPENDENCYPART_ARC
(22,15),-0.469089 # DEPENDENCYPART_ARC
(22,16),-0.857147 # DEPENDENCYPART_ARC
(22,17),-0.430472 # DEPENDENCYPART_ARC
(22,18),-0.918205 # DEPENDENCYPART_ARC
(22,19),0.586527 # DEPENDENCYPART_ARC
(22,20),0.144959 # DEPENDENCYPART_ARC
(22,21),4.46072 # DEPENDENCYPART_ARC
(22,23),3.08207 # DEPENDENCYPART_ARC
(22,24),-0.897113 # DEPENDENCYPART_ARC
(22,25),1.70122 # DEPENDENCYPART_ARC
(22,26),1.1204 # DEPENDENCYPART_ARC
(23,1),-3.98229 # DEPENDENCYPART_ARC
(23,2),-3.88259 # DEPENDENCYPART_ARC
(23,3),-3.73775 # DEPENDENCYPART_ARC
(23,4),-3.76532 # DEPENDENCYPART_ARC
(23,5),-3.56837 # DEPENDENCYPART_ARC
(23,6),-3.28237 # DEPENDENCYPART_ARC
(23,7),-3.18156 # DEPENDENCYPART_ARC
(23,8),-2.43076 # DEPENDENCYPART_ARC
(23,9),-2.7895 # DEPENDENCYPART_ARC
(23,10),-2.36455 # DEPENDENCYPART_ARC
(23,11),-2.90152 # DEPENDENCYPART_ARC
(23,12),-3.20336 # DEPENDENCYPART_ARC
(23,13),-2.2409 # DEPENDENCYPART_ARC
(23,14),-3.07657 # DEPENDENCYPART_ARC
(23,15),-1.95974 # DEPENDENCYPART_ARC
(23,16),-1.97874 # DEPENDENCYPART_ARC
(23,17),-2.2788 # DEPENDENCYPART_ARC
(23,18),-1.93635 # DEPENDENCYPART_ARC
(23,19),-1.16208 # DEPENDENCYPART_ARC
(23,20),-0.304978 # DEPENDENCYPART_ARC
(23,21),0.410347 # DEPENDENCYPART_ARC
(23,22),-0.140887 # DEPENDENCYPART_ARC
(23,24),-0.110258 # DEPENDENCYPART_ARC
(23,25),5.16239 # DEPENDENCYPART_ARC
(23,26),-0.381625 # DEPENDENCYPART_ARC
(24,1),-4.28213 # DEPENDENCYPART_ARC
(24,3),-4.23531 # DEPENDENCYPART_ARC
(24,4),-3.44424 # DEPENDENCYPART_ARC
(24,6),-5.39999 # DEPENDENCYPART_ARC
(24,7),-3.15849 # DEPENDENCYPART_ARC
(24,8),-3.07441 # DEPENDENCYPART_ARC
(24,10),-3.39947 # DEPENDENCYPART_ARC
(24,11),-3.00306 # DEPENDENCYPART_ARC
(24,12),-3.07791 # DEPENDENCYPART_ARC
(24,14),-2.60168 # DEPENDENCYPART_ARC
(24,17),-3.85553 # DEPENDENCYPART_ARC
(24,18),-2.25573 # DEPENDENCYPART_ARC
(24,19),-2.33181 # DEPENDENCYPART_ARC
(24,21),-0.06251 # DEPENDENCYPART_ARC
(24,22),-0.734009 # DEPENDENCYPART_ARC
(24,23),-0.105363 # DEPENDENCYPART_ARC
(24,25),0.376668 # DEPENDENCYPART_ARC
(25,1),-3.53152 # DEPENDENCYPART_ARC
(25,2),-2.06901 # DEPENDENCYPART_ARC
(25,3),-9.33466 # DEPENDENCYPART_ARC
(25,4),-4.06882 # DEPENDENCYPART_ARC
(25,5),-2.2078 # DEPENDENCYPART_ARC
(25,6),-7.05438 # DEPENDENCYPART_ARC
(25,7),-3.27546 # DEPENDENCYPART_ARC
(25,8),-4.39969 # DEPENDENCYPART_ARC
(25,9),-1.65347 # DEPENDENCYPART_ARC
(25,10),-1.85456 # DEPENDENCYPART_ARC
(25,11),-5.70998 # DEPENDENCYPART_ARC
(25,12),-3.31804 # DEPENDENCYPART_ARC
(25,13),-2.01327 # DEPENDENCYPART_ARC
(25,14),-2.72578 # DEPENDENCYPART_ARC
(25,15),-1.48286 # DEPENDENCYPART_ARC
(25,16),-1.5856 # DEPENDENCYPART_ARC
(25,17),-3.18228 # DEPENDENCYPART_ARC
(25,18),-2.31425 # DEPENDENCYPART_ARC
(25,19),-0.105425 # DEPENDENCYPART_ARC
(25,20),-0.146379 # DEPENDENCYPART_ARC
(25,21),1.48461 # DEPENDENCYPART_ARC
(25,22),-1.23638 # DEPENDENCYPART_ARC
(25,23),0.294186 # DEPENDENCYPART_ARC
(25,24),4.85446 # DEPENDENCYPART_ARC
(25,26),0.368115 # DEPENDENCYPART_ARC
