# _root_ Els antecedents dels Pastorets de l' Ametlla_de_Merola es remunten a l' any_1878 , quan a iniciativa de les Germanes_Dominiques , van començar les representacions durant la Missa_del_Gall .
#goldHeads=2,9,2,3,4,7,5,9,0,9,12,10,22,22,22,15,16,19,17,15,22,12,24,22,22,27,25,9,
#predictedHeads=2,9,2,3,2,7,5,9,0,9,12,10,12,22,14,15,16,19,17,9,22,4,24,22,22,27,25,9,
(2,15),-0.276535 # DEPENDENCYPART_ARC
(2,16),-1.48035 # DEPENDENCYPART_ARC
(2,17),-1.34779 # DEPENDENCYPART_ARC
(2,18),-3.20841 # DEPENDENCYPART_ARC
(2,19),-0.808389 # DEPENDENCYPART_ARC
(2,20),-0.18242 # DEPENDENCYPART_ARC
(2,21),-0.487712 # DEPENDENCYPART_ARC
(2,22),0.113384 # DEPENDENCYPART_ARC
(2,23),-3.66846 # DEPENDENCYPART_ARC
(2,24),-0.585128 # DEPENDENCYPART_ARC
(2,25),-1.04933 # DEPENDENCYPART_ARC
(2,26),-4.89595 # DEPENDENCYPART_ARC
(2,27),-1.46961 # DEPENDENCYPART_ARC
(2,28),1.28166 # DEPENDENCYPART_ARC
(3,1),0.502245 # DEPENDENCYPART_ARC
(3,2),-0.783211 # DEPENDENCYPART_ARC
(3,4),3.44959 # DEPENDENCYPART_ARC
(3,5),0.399141 # DEPENDENCYPART_ARC
(3,6),-2.08574 # DEPENDENCYPART_ARC
(3,7),-0.0997609 # DEPENDENCYPART_ARC
(3,8),-3.06919 # DEPENDENCYPART_ARC
(3,9),0.258195 # DEPENDENCYPART_ARC
(3,10),-1.59022 # DEPENDENCYPART_ARC
(3,11),-3.16105 # DEPENDENCYPART_ARC
(3,12),-2.71134 # DEPENDENCYPART_ARC
(3,13),-1.01101 # DEPENDENCYPART_ARC
(3,14),-4.72646 # DEPENDENCYPART_ARC
(3,15),-1.94427 # DEPENDENCYPART_ARC
(3,16),-6.5566 # DEPENDENCYPART_ARC
(3,17),-1.26398 # DEPENDENCYPART_ARC
(3,18),-3.92303 # DEPENDENCYPART_ARC
(3,19),-7.44692 # DEPENDENCYPART_ARC
(3,20),-1.43516 # DEPENDENCYPART_ARC
(3,21),-1.63882 # DEPENDENCYPART_ARC
(3,22),-2.94038 # DEPENDENCYPART_ARC
(3,23),-3.91455 # DEPENDENCYPART_ARC
(3,24),-10.3779 # DEPENDENCYPART_ARC
(3,25),-3.29606 # DEPENDENCYPART_ARC
(3,26),-4.87278 # DEPENDENCYPART_ARC
(3,27),-12.2766 # DEPENDENCYPART_ARC
(3,28),-2.00199 # DEPENDENCYPART_ARC
(4,1),0.790025 # DEPENDENCYPART_ARC
(4,2),-0.681354 # DEPENDENCYPART_ARC
(4,3),0.848164 # DEPENDENCYPART_ARC
(4,5),2.28958 # DEPENDENCYPART_ARC
(4,6),-0.659584 # DEPENDENCYPART_ARC
(4,7),0.743548 # DEPENDENCYPART_ARC
(4,9),1.6074 # DEPENDENCYPART_ARC
(4,10),-0.953289 # DEPENDENCYPART_ARC
(4,11),-2.15962 # DEPENDENCYPART_ARC
(4,12),-0.860194 # DEPENDENCYPART_ARC
(4,13),-0.987781 # DEPENDENCYPART_ARC
(4,14),-1.69138 # DEPENDENCYPART_ARC
(4,15),-0.996545 # DEPENDENCYPART_ARC
(4,16),-1.483 # DEPENDENCYPART_ARC
(4,17),-1.56469 # DEPENDENCYPART_ARC
(4,18),-2.8643 # DEPENDENCYPART_ARC
(4,19),-1.66308 # DEPENDENCYPART_ARC
(4,20),-0.854273 # DEPENDENCYPART_ARC
(4,21),-1.26673 # DEPENDENCYPART_ARC
(4,22),0.196607 # DEPENDENCYPART_ARC
(4,23),-3.17873 # DEPENDENCYPART_ARC
(4,24),-2.04264 # DEPENDENCYPART_ARC
(4,25),-1.85352 # DEPENDENCYPART_ARC
(4,26),-3.91386 # DEPENDENCYPART_ARC
(4,27),-2.33686 # DEPENDENCYPART_ARC
(4,28),0.248088 # DEPENDENCYPART_ARC
(5,1),-0.824759 # DEPENDENCYPART_ARC
(5,2),-1.65101 # DEPENDENCYPART_ARC
(5,3),-0.311687 # DEPENDENCYPART_ARC
(5,4),-0.00409242 # DEPENDENCYPART_ARC
(5,6),0.407586 # DEPENDENCYPART_ARC
(5,7),4.29393 # DEPENDENCYPART_ARC
(5,8),-0.942004 # DEPENDENCYPART_ARC
(5,9),1.23047 # DEPENDENCYPART_ARC
(5,10),-1.33619 # DEPENDENCYPART_ARC
(5,11),-2.41824 # DEPENDENCYPART_ARC
(5,12),-0.937772 # DEPENDENCYPART_ARC
(5,13),-0.817781 # DEPENDENCYPART_ARC
(5,14),-3.65679 # DEPENDENCYPART_ARC
(5,15),-1.90431 # DEPENDENCYPART_ARC
(5,16),-3.54565 # DEPENDENCYPART_ARC
(5,17),-1.0075 # DEPENDENCYPART_ARC
(5,18),-3.08678 # DEPENDENCYPART_ARC
(5,19),-4.81073 # DEPENDENCYPART_ARC
(5,20),-1.42568 # DEPENDENCYPART_ARC
(5,21),-1.31956 # DEPENDENCYPART_ARC
(5,22),-2.28276 # DEPENDENCYPART_ARC
(5,23),-2.93683 # DEPENDENCYPART_ARC
(5,24),-7.49872 # DEPENDENCYPART_ARC
(5,25),-3.41057 # DEPENDENCYPART_ARC
(5,26),-3.44615 # DEPENDENCYPART_ARC
(5,27),-9.47253 # DEPENDENCYPART_ARC
(5,28),-1.75704 # DEPENDENCYPART_ARC
(6,1),-2.4353 # DEPENDENCYPART_ARC
(6,2),-2.30387 # DEPENDENCYPART_ARC
(6,3),-1.77851 # DEPENDENCYPART_ARC
(6,4),-0.830273 # DEPENDENCYPART_ARC
(6,5),0.0207795 # DEPENDENCYPART_ARC
(6,7),0.0720092 # DEPENDENCYPART_ARC
(6,10),-3.34515 # DEPENDENCYPART_ARC
(6,11),-2.53414 # DEPENDENCYPART_ARC
(6,12),-2.60197 # DEPENDENCYPART_ARC
(6,14),-3.39573 # DEPENDENCYPART_ARC
(6,15),-4.06122 # DEPENDENCYPART_ARC
(6,16),-2.95216 # DEPENDENCYPART_ARC
(6,17),-4.4498 # DEPENDENCYPART_ARC
(6,18),-3.90947 # DEPENDENCYPART_ARC
(6,19),-4.5207 # DEPENDENCYPART_ARC
(6,23),-5.52413 # DEPENDENCYPART_ARC
(6,24),-4.09522 # DEPENDENCYPART_ARC
(6,25),-5.92206 # DEPENDENCYPART_ARC
(6,26),-6.11861 # DEPENDENCYPART_ARC
(6,27),-5.4908 # DEPENDENCYPART_ARC
(7,1),-1.56741 # DEPENDENCYPART_ARC
(7,2),-2.17442 # DEPENDENCYPART_ARC
(7,3),-1.06216 # DEPENDENCYPART_ARC
(7,4),-1.18819 # DEPENDENCYPART_ARC
(7,5),-0.0304821 # DEPENDENCYPART_ARC
(7,6),3.18257 # DEPENDENCYPART_ARC
(7,9),0.129267 # DEPENDENCYPART_ARC
(7,10),-3.27076 # DEPENDENCYPART_ARC
(7,11),-3.85937 # DEPENDENCYPART_ARC
(7,12),-2.55992 # DEPENDENCYPART_ARC
(7,13),-2.84346 # DEPENDENCYPART_ARC
(7,14),-3.44274 # DEPENDENCYPART_ARC
(7,15),-3.6661 # DEPENDENCYPART_ARC
(7,16),-3.75343 # DEPENDENCYPART_ARC
(7,17),-3.58457 # DEPENDENCYPART_ARC
(7,18),-4.79424 # DEPENDENCYPART_ARC
(7,19),-3.50118 # DEPENDENCYPART_ARC
(7,20),-2.77394 # DEPENDENCYPART_ARC
(7,21),-2.99097 # DEPENDENCYPART_ARC
(7,22),-1.832 # DEPENDENCYPART_ARC
(7,23),-5.12456 # DEPENDENCYPART_ARC
(7,24),-4.15277 # DEPENDENCYPART_ARC
(7,25),-4.28724 # DEPENDENCYPART_ARC
(7,26),-5.68371 # DEPENDENCYPART_ARC
(7,27),-3.91784 # DEPENDENCYPART_ARC
(7,28),-1.05573 # DEPENDENCYPART_ARC
(9,1),-0.274553 # DEPENDENCYPART_ARC
(9,2),2.3167 # DEPENDENCYPART_ARC
(9,3),-0.301502 # DEPENDENCYPART_ARC
(9,4),1.00793 # DEPENDENCYPART_ARC
(9,5),0.928752 # DEPENDENCYPART_ARC
(9,6),-0.224464 # DEPENDENCYPART_ARC
(9,7),2.22592 # DEPENDENCYPART_ARC
(9,8),4.51618 # DEPENDENCYPART_ARC
(9,10),3.29698 # DEPENDENCYPART_ARC
(9,11),-0.875249 # DEPENDENCYPART_ARC
(9,12),1.44846 # DEPENDENCYPART_ARC
(9,13),0.772906 # DEPENDENCYPART_ARC
(9,14),-0.644878 # DEPENDENCYPART_ARC
(9,15),0.814919 # DEPENDENCYPART_ARC
(9,16),-0.77385 # DEPENDENCYPART_ARC
(9,17),-0.340195 # DEPENDENCYPART_ARC
(9,18),-3.28308 # DEPENDENCYPART_ARC
(9,19),0.246533 # DEPENDENCYPART_ARC
(9,20),0.820485 # DEPENDENCYPART_ARC
(9,21),0.526872 # DEPENDENCYPART_ARC
(9,22),-0.126329 # DEPENDENCYPART_ARC
(9,23),-3.84903 # DEPENDENCYPART_ARC
(9,24),0.00763492 # DEPENDENCYPART_ARC
(9,25),-0.13645 # DEPENDENCYPART_ARC
(9,26),-4.46666 # DEPENDENCYPART_ARC
(9,27),-0.796003 # DEPENDENCYPART_ARC
(9,28),5.36436 # DEPENDENCYPART_ARC
(10,1),-2.78697 # DEPENDENCYPART_ARC
(10,2),-3.40979 # DEPENDENCYPART_ARC
(10,3),-3.03739 # DEPENDENCYPART_ARC
(10,4),-3.08871 # DEPENDENCYPART_ARC
(10,5),-2.22707 # DEPENDENCYPART_ARC
(10,6),-1.97623 # DEPENDENCYPART_ARC
(10,7),-2.44623 # DEPENDENCYPART_ARC
(10,8),-1.17269 # DEPENDENCYPART_ARC
(10,9),-0.136338 # DEPENDENCYPART_ARC
(10,11),0.227532 # DEPENDENCYPART_ARC
(10,12),3.57351 # DEPENDENCYPART_ARC
(10,13),0.630215 # DEPENDENCYPART_ARC
(10,14),-1.15564 # DEPENDENCYPART_ARC
(10,15),0.368553 # DEPENDENCYPART_ARC
(10,16),0.826786 # DEPENDENCYPART_ARC
(10,17),-1.23082 # DEPENDENCYPART_ARC
(10,18),-2.54994 # DEPENDENCYPART_ARC
(10,19),-0.899577 # DEPENDENCYPART_ARC
(10,20),-0.660945 # DEPENDENCYPART_ARC
(10,21),-1.09115 # DEPENDENCYPART_ARC
(10,22),-1.28864 # DEPENDENCYPART_ARC
(10,23),-2.78617 # DEPENDENCYPART_ARC
(10,24),-4.74062 # DEPENDENCYPART_ARC
(10,25),-2.24803 # DEPENDENCYPART_ARC
(10,26),-3.4042 # DEPENDENCYPART_ARC
(10,27),-6.8981 # DEPENDENCYPART_ARC
(10,28),-1.98818 # DEPENDENCYPART_ARC
(11,1),-3.85756 # DEPENDENCYPART_ARC
(11,2),-3.3014 # DEPENDENCYPART_ARC
(11,3),-3.11055 # DEPENDENCYPART_ARC
(11,4),-2.45381 # DEPENDENCYPART_ARC
(11,5),-2.42503 # DEPENDENCYPART_ARC
(11,6),-2.49826 # DEPENDENCYPART_ARC
(11,7),-2.07791 # DEPENDENCYPART_ARC
(11,10),-0.128454 # DEPENDENCYPART_ARC
(11,12),1.17115 # DEPENDENCYPART_ARC
(11,14),-1.46571 # DEPENDENCYPART_ARC
(11,15),-1.94577 # DEPENDENCYPART_ARC
(11,16),-1.24861 # DEPENDENCYPART_ARC
(11,17),-2.60933 # DEPENDENCYPART_ARC
(11,18),-1.91086 # DEPENDENCYPART_ARC
(11,19),-3.13276 # DEPENDENCYPART_ARC
(11,23),-3.98206 # DEPENDENCYPART_ARC
(11,24),-3.64078 # DEPENDENCYPART_ARC
(11,25),-4.68033 # DEPENDENCYPART_ARC
(11,26),-4.96032 # DEPENDENCYPART_ARC
(11,27),-4.47015 # DEPENDENCYPART_ARC
(12,1),-1.07796 # DEPENDENCYPART_ARC
(12,2),-1.9338 # DEPENDENCYPART_ARC
(12,3),-0.922439 # DEPENDENCYPART_ARC
(12,4),-1.67718 # DEPENDENCYPART_ARC
(12,5),-0.559406 # DEPENDENCYPART_ARC
(12,6),-0.551352 # DEPENDENCYPART_ARC
(12,7),-1.23806 # DEPENDENCYPART_ARC
(12,9),-0.474112 # DEPENDENCYPART_ARC
(12,10),1.49691 # DEPENDENCYPART_ARC
(12,11),3.80852 # DEPENDENCYPART_ARC
(12,13),1.38731 # DEPENDENCYPART_ARC
(12,14),0.606958 # DEPENDENCYPART_ARC
(12,15),0.260296 # DEPENDENCYPART_ARC
(12,16),0.83738 # DEPENDENCYPART_ARC
(12,17),-0.00231649 # DEPENDENCYPART_ARC
(12,18),-0.876181 # DEPENDENCYPART_ARC
(12,19),-0.332192 # DEPENDENCYPART_ARC
(12,20),0.289806 # DEPENDENCYPART_ARC
(12,21),0.417749 # DEPENDENCYPART_ARC
(12,22),-0.0958711 # DEPENDENCYPART_ARC
(12,23),-1.5613 # DEPENDENCYPART_ARC
(12,24),-0.529003 # DEPENDENCYPART_ARC
(12,25),-1.35071 # DEPENDENCYPART_ARC
(12,26),-1.66 # DEPENDENCYPART_ARC
(12,27),-1.01876 # DEPENDENCYPART_ARC
(12,28),-0.232659 # DEPENDENCYPART_ARC
(13,2),-3.27174 # DEPENDENCYPART_ARC
(13,16),-1.21052 # DEPENDENCYPART_ARC
(13,20),-0.662398 # DEPENDENCYPART_ARC
(13,24),-2.09833 # DEPENDENCYPART_ARC
(14,1),-3.03545 # DEPENDENCYPART_ARC
(14,2),-2.44674 # DEPENDENCYPART_ARC
(14,3),-1.06833 # DEPENDENCYPART_ARC
(14,5),-0.840405 # DEPENDENCYPART_ARC
(14,6),-1.73414 # DEPENDENCYPART_ARC
(14,9),-1.15447 # DEPENDENCYPART_ARC
(14,10),-0.0739294 # DEPENDENCYPART_ARC
(14,11),0.119141 # DEPENDENCYPART_ARC
(14,15),1.02705 # DEPENDENCYPART_ARC
(14,16),1.16718 # DEPENDENCYPART_ARC
(14,17),0.577296 # DEPENDENCYPART_ARC
(14,18),-0.989978 # DEPENDENCYPART_ARC
(14,22),-0.62663 # DEPENDENCYPART_ARC
(14,23),-1.98713 # DEPENDENCYPART_ARC
(14,24),-0.828271 # DEPENDENCYPART_ARC
(14,25),-2.26782 # DEPENDENCYPART_ARC
(14,26),-2.37863 # DEPENDENCYPART_ARC
(15,1),-2.75073 # DEPENDENCYPART_ARC
(15,2),-3.21043 # DEPENDENCYPART_ARC
(15,3),-3.03522 # DEPENDENCYPART_ARC
(15,4),-3.00717 # DEPENDENCYPART_ARC
(15,5),-2.35264 # DEPENDENCYPART_ARC
(15,6),-2.4601 # DEPENDENCYPART_ARC
(15,7),-2.7566 # DEPENDENCYPART_ARC
(15,8),-2.19052 # DEPENDENCYPART_ARC
(15,9),-1.27191 # DEPENDENCYPART_ARC
(15,10),-1.28 # DEPENDENCYPART_ARC
(15,11),-1.11963 # DEPENDENCYPART_ARC
(15,12),-1.37582 # DEPENDENCYPART_ARC
(15,13),-0.0549282 # DEPENDENCYPART_ARC
(15,14),0.0700417 # DEPENDENCYPART_ARC
(15,16),4.32956 # DEPENDENCYPART_ARC
(15,17),-0.363304 # DEPENDENCYPART_ARC
(15,18),-2.46172 # DEPENDENCYPART_ARC
(15,19),0.291725 # DEPENDENCYPART_ARC
(15,20),-0.0829983 # DEPENDENCYPART_ARC
(15,21),-1.55077 # DEPENDENCYPART_ARC
(15,22),-1.73139 # DEPENDENCYPART_ARC
(15,23),-3.50329 # DEPENDENCYPART_ARC
(15,24),-4.45436 # DEPENDENCYPART_ARC
(15,25),-2.41093 # DEPENDENCYPART_ARC
(15,26),-3.89969 # DEPENDENCYPART_ARC
(15,27),-6.30864 # DEPENDENCYPART_ARC
(15,28),-2.07362 # DEPENDENCYPART_ARC
(16,1),-6.0321 # DEPENDENCYPART_ARC
(16,2),-3.29658 # DEPENDENCYPART_ARC
(16,3),-1.92662 # DEPENDENCYPART_ARC
(16,4),-2.62344 # DEPENDENCYPART_ARC
(16,5),-1.82006 # DEPENDENCYPART_ARC
(16,6),-3.42227 # DEPENDENCYPART_ARC
(16,7),-2.74028 # DEPENDENCYPART_ARC
(16,9),-2.66944 # DEPENDENCYPART_ARC
(16,10),-1.44533 # DEPENDENCYPART_ARC
(16,11),-0.661133 # DEPENDENCYPART_ARC
(16,12),-1.68916 # DEPENDENCYPART_ARC
(16,13),-0.715496 # DEPENDENCYPART_ARC
(16,14),-0.708798 # DEPENDENCYPART_ARC
(16,15),0.0937227 # DEPENDENCYPART_ARC
(16,17),2.53488 # DEPENDENCYPART_ARC
(16,18),-1.30205 # DEPENDENCYPART_ARC
(16,19),0.362061 # DEPENDENCYPART_ARC
(16,20),-0.249043 # DEPENDENCYPART_ARC
(16,21),-0.543365 # DEPENDENCYPART_ARC
(16,22),-0.194068 # DEPENDENCYPART_ARC
(16,23),-2.74948 # DEPENDENCYPART_ARC
(16,24),-1.15974 # DEPENDENCYPART_ARC
(16,25),-0.248373 # DEPENDENCYPART_ARC
(16,26),-2.66231 # DEPENDENCYPART_ARC
(16,27),-1.65867 # DEPENDENCYPART_ARC
(16,28),-0.832754 # DEPENDENCYPART_ARC
(17,1),-2.42301 # DEPENDENCYPART_ARC
(17,2),-3.01453 # DEPENDENCYPART_ARC
(17,3),-2.36699 # DEPENDENCYPART_ARC
(17,4),-2.74919 # DEPENDENCYPART_ARC
(17,5),-1.67849 # DEPENDENCYPART_ARC
(17,6),-2.32274 # DEPENDENCYPART_ARC
(17,7),-2.5696 # DEPENDENCYPART_ARC
(17,8),-1.72365 # DEPENDENCYPART_ARC
(17,9),-1.30811 # DEPENDENCYPART_ARC
(17,10),-0.929994 # DEPENDENCYPART_ARC
(17,11),-1.41345 # DEPENDENCYPART_ARC
(17,12),-1.27374 # DEPENDENCYPART_ARC
(17,13),-0.517272 # DEPENDENCYPART_ARC
(17,14),-0.620145 # DEPENDENCYPART_ARC
(17,15),-0.112749 # DEPENDENCYPART_ARC
(17,16),0.462136 # DEPENDENCYPART_ARC
(17,18),-0.0708453 # DEPENDENCYPART_ARC
(17,19),4.46317 # DEPENDENCYPART_ARC
(17,20),-0.057529 # DEPENDENCYPART_ARC
(17,21),-0.406419 # DEPENDENCYPART_ARC
(17,22),-0.951941 # DEPENDENCYPART_ARC
(17,23),-2.57403 # DEPENDENCYPART_ARC
(17,24),-1.19719 # DEPENDENCYPART_ARC
(17,25),-2.13659 # DEPENDENCYPART_ARC
(17,26),-3.16301 # DEPENDENCYPART_ARC
(17,27),-3.38841 # DEPENDENCYPART_ARC
(17,28),-1.48236 # DEPENDENCYPART_ARC
(18,1),-3.41847 # DEPENDENCYPART_ARC
(18,2),-2.45478 # DEPENDENCYPART_ARC
(18,3),-3.33384 # DEPENDENCYPART_ARC
(18,4),-2.70789 # DEPENDENCYPART_ARC
(18,5),-3.41255 # DEPENDENCYPART_ARC
(18,6),-4.68824 # DEPENDENCYPART_ARC
(18,7),-2.75383 # DEPENDENCYPART_ARC
(18,10),-2.49563 # DEPENDENCYPART_ARC
(18,11),-3.38721 # DEPENDENCYPART_ARC
(18,12),-2.02238 # DEPENDENCYPART_ARC
(18,14),-1.47608 # DEPENDENCYPART_ARC
(18,15),-1.46768 # DEPENDENCYPART_ARC
(18,16),-0.768621 # DEPENDENCYPART_ARC
(18,17),-0.218993 # DEPENDENCYPART_ARC
(18,19),0.28761 # DEPENDENCYPART_ARC
(18,23),-0.960611 # DEPENDENCYPART_ARC
(18,24),-2.21356 # DEPENDENCYPART_ARC
(18,25),-4.03239 # DEPENDENCYPART_ARC
(18,26),-3.554 # DEPENDENCYPART_ARC
(18,27),-3.85991 # DEPENDENCYPART_ARC
(19,1),-5.69065 # DEPENDENCYPART_ARC
(19,2),-3.0155 # DEPENDENCYPART_ARC
(19,3),-1.44768 # DEPENDENCYPART_ARC
(19,4),-1.9575 # DEPENDENCYPART_ARC
(19,5),-1.28925 # DEPENDENCYPART_ARC
(19,6),-3.78015 # DEPENDENCYPART_ARC
(19,7),-2.72053 # DEPENDENCYPART_ARC
(19,9),-2.15491 # DEPENDENCYPART_ARC
(19,10),-1.02214 # DEPENDENCYPART_ARC
(19,11),-1.90473 # DEPENDENCYPART_ARC
(19,12),-1.60751 # DEPENDENCYPART_ARC
(19,13),-0.802113 # DEPENDENCYPART_ARC
(19,14),-1.34685 # DEPENDENCYPART_ARC
(19,15),-0.825844 # DEPENDENCYPART_ARC
(19,16),-0.168899 # DEPENDENCYPART_ARC
(19,17),0.672362 # DEPENDENCYPART_ARC
(19,18),4.01773 # DEPENDENCYPART_ARC
(19,20),0.251762 # DEPENDENCYPART_ARC
(19,21),-0.06287 # DEPENDENCYPART_ARC
(19,22),-0.155523 # DEPENDENCYPART_ARC
(19,23),-2.17888 # DEPENDENCYPART_ARC
(19,24),-0.874884 # DEPENDENCYPART_ARC
(19,25),-1.60606 # DEPENDENCYPART_ARC
(19,26),-2.88018 # DEPENDENCYPART_ARC
(19,27),-0.586527 # DEPENDENCYPART_ARC
(19,28),-0.0434698 # DEPENDENCYPART_ARC
(20,2),-4.13324 # DEPENDENCYPART_ARC
(20,13),-1.69585 # DEPENDENCYPART_ARC
(20,16),-2.76231 # DEPENDENCYPART_ARC
(20,24),-2.10575 # DEPENDENCYPART_ARC
(21,1),-4.00563 # DEPENDENCYPART_ARC
(21,2),-1.48635 # DEPENDENCYPART_ARC
(21,3),-3.9833 # DEPENDENCYPART_ARC
(21,4),-2.72918 # DEPENDENCYPART_ARC
(21,5),-4.59714 # DEPENDENCYPART_ARC
(21,6),-5.46049 # DEPENDENCYPART_ARC
(21,7),-2.24185 # DEPENDENCYPART_ARC
(21,8),-1.9197 # DEPENDENCYPART_ARC
(21,9),-2.55983 # DEPENDENCYPART_ARC
(21,10),-2.19901 # DEPENDENCYPART_ARC
(21,11),-4.49222 # DEPENDENCYPART_ARC
(21,12),-2.49914 # DEPENDENCYPART_ARC
(21,13),-0.645136 # DEPENDENCYPART_ARC
(21,14),-0.101894 # DEPENDENCYPART_ARC
(21,15),-0.887722 # DEPENDENCYPART_ARC
(21,16),-2.01517 # DEPENDENCYPART_ARC
(21,17),-2.5876 # DEPENDENCYPART_ARC
(21,18),-1.64326 # DEPENDENCYPART_ARC
(21,19),-0.852433 # DEPENDENCYPART_ARC
(21,20),-1.51307 # DEPENDENCYPART_ARC
(21,22),0.818073 # DEPENDENCYPART_ARC
(21,23),-3.66175 # DEPENDENCYPART_ARC
(21,24),0.118049 # DEPENDENCYPART_ARC
(21,25),0.192416 # DEPENDENCYPART_ARC
(21,26),-5.28652 # DEPENDENCYPART_ARC
(21,27),-1.14319 # DEPENDENCYPART_ARC
(21,28),1.52278 # DEPENDENCYPART_ARC
(22,1),-2.34634 # DEPENDENCYPART_ARC
(22,2),0.413243 # DEPENDENCYPART_ARC
(22,3),-2.30763 # DEPENDENCYPART_ARC
(22,4),-0.978309 # DEPENDENCYPART_ARC
(22,5),-2.78765 # DEPENDENCYPART_ARC
(22,6),-2.79221 # DEPENDENCYPART_ARC
(22,7),0.16105 # DEPENDENCYPART_ARC
(22,8),-0.690933 # DEPENDENCYPART_ARC
(22,9),-0.609715 # DEPENDENCYPART_ARC
(22,10),0.11535 # DEPENDENCYPART_ARC
(22,11),-1.92644 # DEPENDENCYPART_ARC
(22,12),0.0303744 # DEPENDENCYPART_ARC
(22,13),0.562812 # DEPENDENCYPART_ARC
(22,14),1.58053 # DEPENDENCYPART_ARC
(22,15),0.821292 # DEPENDENCYPART_ARC
(22,16),0.0541901 # DEPENDENCYPART_ARC
(22,17),-0.91867 # DEPENDENCYPART_ARC
(22,18),-0.17869 # DEPENDENCYPART_ARC
(22,19),1.09224 # DEPENDENCYPART_ARC
(22,20),-0.3484 # DEPENDENCYPART_ARC
(22,21),5.00728 # DEPENDENCYPART_ARC
(22,23),-0.884871 # DEPENDENCYPART_ARC
(22,24),3.8238 # DEPENDENCYPART_ARC
(22,25),2.35568 # DEPENDENCYPART_ARC
(22,26),-2.4576 # DEPENDENCYPART_ARC
(22,27),0.928076 # DEPENDENCYPART_ARC
(22,28),3.80723 # DEPENDENCYPART_ARC
(23,1),-4.96078 # DEPENDENCYPART_ARC
(23,2),-4.08941 # DEPENDENCYPART_ARC
(23,3),-4.84506 # DEPENDENCYPART_ARC
(23,4),-4.14697 # DEPENDENCYPART_ARC
(23,5),-5.0451 # DEPENDENCYPART_ARC
(23,6),-6.05875 # DEPENDENCYPART_ARC
(23,7),-4.14667 # DEPENDENCYPART_ARC
(23,10),-4.31016 # DEPENDENCYPART_ARC
(23,11),-5.20958 # DEPENDENCYPART_ARC
(23,12),-3.64987 # DEPENDENCYPART_ARC
(23,14),-3.41307 # DEPENDENCYPART_ARC
