# _root_ ' Amor_,_Prozac_i_dubtes ' és la tercera obra de la companyia , i segona vegada que adapten un text literari .
#goldHeads=2,4,2,0,7,7,4,7,10,8,7,7,14,7,16,14,18,16,18,4,
#predictedHeads=2,4,2,0,7,7,4,7,10,8,4,4,14,7,16,14,18,16,18,4,
(8,6),-0.644741 # DEPENDENCYPART_ARC
(8,7),-0.25172 # DEPENDENCYPART_ARC
(8,9),0.212743 # DEPENDENCYPART_ARC
(8,10),4.94157 # DEPENDENCYPART_ARC
(8,11),0.587075 # DEPENDENCYPART_ARC
(8,12),0.390028 # DEPENDENCYPART_ARC
(8,13),-0.0159217 # DEPENDENCYPART_ARC
(8,14),0.522312 # DEPENDENCYPART_ARC
(8,15),-2.033 # DEPENDENCYPART_ARC
(8,16),0.0849171 # DEPENDENCYPART_ARC
(8,17),-2.21167 # DEPENDENCYPART_ARC
(8,18),-4.93729 # DEPENDENCYPART_ARC
(8,19),-2.15005 # DEPENDENCYPART_ARC
(8,20),-0.250631 # DEPENDENCYPART_ARC
(9,1),-1.42618 # DEPENDENCYPART_ARC
(9,2),-1.93648 # DEPENDENCYPART_ARC
(9,3),-1.31323 # DEPENDENCYPART_ARC
(9,4),-1.98806 # DEPENDENCYPART_ARC
(9,5),-0.169418 # DEPENDENCYPART_ARC
(9,6),-0.794966 # DEPENDENCYPART_ARC
(9,7),-0.621219 # DEPENDENCYPART_ARC
(9,8),0.624124 # DEPENDENCYPART_ARC
(9,10),0.62122 # DEPENDENCYPART_ARC
(9,11),-1.79216 # DEPENDENCYPART_ARC
(9,12),-1.65921 # DEPENDENCYPART_ARC
(9,13),-2.19736 # DEPENDENCYPART_ARC
(9,14),-2.0493 # DEPENDENCYPART_ARC
(9,15),-3.47265 # DEPENDENCYPART_ARC
(9,16),-3.48869 # DEPENDENCYPART_ARC
(9,17),-3.25061 # DEPENDENCYPART_ARC
(9,18),-3.8551 # DEPENDENCYPART_ARC
(9,19),-4.8099 # DEPENDENCYPART_ARC
(9,20),-3.25672 # DEPENDENCYPART_ARC
(10,1),-1.35081 # DEPENDENCYPART_ARC
(10,2),-2.22717 # DEPENDENCYPART_ARC
(10,3),-0.468795 # DEPENDENCYPART_ARC
(10,4),-0.658692 # DEPENDENCYPART_ARC
(10,5),1.28227 # DEPENDENCYPART_ARC
(10,6),0.248769 # DEPENDENCYPART_ARC
(10,7),-0.499031 # DEPENDENCYPART_ARC
(10,8),0.263638 # DEPENDENCYPART_ARC
(10,9),5.12336 # DEPENDENCYPART_ARC
(10,11),0.749582 # DEPENDENCYPART_ARC
(10,12),0.675297 # DEPENDENCYPART_ARC
(10,13),1.26012 # DEPENDENCYPART_ARC
(10,14),0.556357 # DEPENDENCYPART_ARC
(10,15),-2.50911 # DEPENDENCYPART_ARC
(10,16),0.968299 # DEPENDENCYPART_ARC
(10,17),-2.21348 # DEPENDENCYPART_ARC
(10,18),-0.303952 # DEPENDENCYPART_ARC
(10,19),-1.32435 # DEPENDENCYPART_ARC
(10,20),0.905251 # DEPENDENCYPART_ARC
(11,1),-2.42946 # DEPENDENCYPART_ARC
(11,2),-3.45206 # DEPENDENCYPART_ARC
(11,3),-2.32046 # DEPENDENCYPART_ARC
(11,4),-2.92601 # DEPENDENCYPART_ARC
(11,5),-2.77329 # DEPENDENCYPART_ARC
(11,6),-2.09319 # DEPENDENCYPART_ARC
(11,7),-2.63197 # DEPENDENCYPART_ARC
(11,8),-1.5059 # DEPENDENCYPART_ARC
(11,9),-1.06502 # DEPENDENCYPART_ARC
(11,10),-1.37221 # DEPENDENCYPART_ARC
(11,12),-0.215973 # DEPENDENCYPART_ARC
(11,13),-0.672783 # DEPENDENCYPART_ARC
(11,14),-1.15575 # DEPENDENCYPART_ARC
(11,15),-1.62805 # DEPENDENCYPART_ARC
(11,16),-1.1266 # DEPENDENCYPART_ARC
(11,17),-2.2718 # DEPENDENCYPART_ARC
(11,18),-1.87415 # DEPENDENCYPART_ARC
(11,19),-1.93135 # DEPENDENCYPART_ARC
(11,20),-1.3431 # DEPENDENCYPART_ARC
(12,1),-3.49832 # DEPENDENCYPART_ARC
(12,2),-3.85893 # DEPENDENCYPART_ARC
(12,3),-3.27183 # DEPENDENCYPART_ARC
(12,4),-3.40897 # DEPENDENCYPART_ARC
(12,5),-3.28194 # DEPENDENCYPART_ARC
(12,6),-3.20304 # DEPENDENCYPART_ARC
(12,7),-3.24516 # DEPENDENCYPART_ARC
(12,8),-1.96542 # DEPENDENCYPART_ARC
(12,9),-2.22047 # DEPENDENCYPART_ARC
(12,10),-2.31589 # DEPENDENCYPART_ARC
(12,11),-0.580938 # DEPENDENCYPART_ARC
(12,13),-0.890965 # DEPENDENCYPART_ARC
(12,14),-0.989979 # DEPENDENCYPART_ARC
(12,15),-1.96627 # DEPENDENCYPART_ARC
(12,16),-1.42611 # DEPENDENCYPART_ARC
(12,17),-3.57212 # DEPENDENCYPART_ARC
(12,18),-3.31988 # DEPENDENCYPART_ARC
(12,19),-3.15575 # DEPENDENCYPART_ARC
(12,20),-1.6886 # DEPENDENCYPART_ARC
(13,1),-2.82622 # DEPENDENCYPART_ARC
(13,2),-3.09237 # DEPENDENCYPART_ARC
(13,3),-2.06538 # DEPENDENCYPART_ARC
(13,4),-2.37516 # DEPENDENCYPART_ARC
(13,5),-1.11665 # DEPENDENCYPART_ARC
(13,6),-1.10693 # DEPENDENCYPART_ARC
(13,7),-1.80858 # DEPENDENCYPART_ARC
(13,8),0.0829348 # DEPENDENCYPART_ARC
(13,9),0.117916 # DEPENDENCYPART_ARC
(13,10),-0.934343 # DEPENDENCYPART_ARC
(13,11),0.663781 # DEPENDENCYPART_ARC
(13,12),0.770402 # DEPENDENCYPART_ARC
(13,14),0.460701 # DEPENDENCYPART_ARC
(13,15),-2.39418 # DEPENDENCYPART_ARC
(13,16),-0.291266 # DEPENDENCYPART_ARC
(13,17),-3.00447 # DEPENDENCYPART_ARC
(13,18),-1.19235 # DEPENDENCYPART_ARC
(13,19),-2.89222 # DEPENDENCYPART_ARC
(13,20),-0.59766 # DEPENDENCYPART_ARC
(14,1),-1.00074 # DEPENDENCYPART_ARC
(14,2),-1.38868 # DEPENDENCYPART_ARC
(14,3),-0.138855 # DEPENDENCYPART_ARC
(14,4),0.211946 # DEPENDENCYPART_ARC
(14,5),1.16135 # DEPENDENCYPART_ARC
(14,6),2.67877 # DEPENDENCYPART_ARC
(14,7),0.189595 # DEPENDENCYPART_ARC
(14,8),0.244881 # DEPENDENCYPART_ARC
(14,9),2.60119 # DEPENDENCYPART_ARC
(14,10),0.203545 # DEPENDENCYPART_ARC
(14,11),1.06428 # DEPENDENCYPART_ARC
(14,12),1.13543 # DEPENDENCYPART_ARC
(14,13),3.98377 # DEPENDENCYPART_ARC
(14,15),-0.520727 # DEPENDENCYPART_ARC
(14,16),2.75423 # DEPENDENCYPART_ARC
(14,17),-1.3941 # DEPENDENCYPART_ARC
(14,18),-0.954159 # DEPENDENCYPART_ARC
(14,19),-1.21121 # DEPENDENCYPART_ARC
(14,20),1.1183 # DEPENDENCYPART_ARC
(15,1),-2.23413 # DEPENDENCYPART_ARC
(15,2),-3.50543 # DEPENDENCYPART_ARC
(15,3),-2.30343 # DEPENDENCYPART_ARC
(15,4),-2.1831 # DEPENDENCYPART_ARC
(15,5),-3.84477 # DEPENDENCYPART_ARC
(15,6),-3.3829 # DEPENDENCYPART_ARC
(15,7),-3.45053 # DEPENDENCYPART_ARC
(15,8),-1.33382 # DEPENDENCYPART_ARC
(15,9),-2.85202 # DEPENDENCYPART_ARC
(15,10),-3.33104 # DEPENDENCYPART_ARC
(15,11),-2.18781 # DEPENDENCYPART_ARC
(15,12),-1.58417 # DEPENDENCYPART_ARC
(15,13),-2.10118 # DEPENDENCYPART_ARC
(15,14),-1.69456 # DEPENDENCYPART_ARC
(15,16),1.77237 # DEPENDENCYPART_ARC
(15,17),-1.01924 # DEPENDENCYPART_ARC
(15,18),-1.76721 # DEPENDENCYPART_ARC
(15,19),-1.23422 # DEPENDENCYPART_ARC
(15,20),-0.295846 # DEPENDENCYPART_ARC
(16,1),-1.45922 # DEPENDENCYPART_ARC
(16,2),-1.56314 # DEPENDENCYPART_ARC
(16,3),-2.14993 # DEPENDENCYPART_ARC
(16,4),-0.298777 # DEPENDENCYPART_ARC
(16,5),-1.94171 # DEPENDENCYPART_ARC
(16,6),-1.49996 # DEPENDENCYPART_ARC
(16,7),-1.18676 # DEPENDENCYPART_ARC
(16,8),-1.25198 # DEPENDENCYPART_ARC
(16,9),-1.74126 # DEPENDENCYPART_ARC
(16,10),-0.63991 # DEPENDENCYPART_ARC
(16,11),-0.478635 # DEPENDENCYPART_ARC
(16,12),-0.321636 # DEPENDENCYPART_ARC
(16,13),-1.1057 # DEPENDENCYPART_ARC
(16,14),0.354915 # DEPENDENCYPART_ARC
(16,15),5.40263 # DEPENDENCYPART_ARC
(16,17),-1.5919 # DEPENDENCYPART_ARC
(16,18),3.14527 # DEPENDENCYPART_ARC
(16,19),0.16792 # DEPENDENCYPART_ARC
(16,20),2.59896 # DEPENDENCYPART_ARC
(17,1),-2.53919 # DEPENDENCYPART_ARC
(17,2),-3.62975 # DEPENDENCYPART_ARC
(17,3),-2.59016 # DEPENDENCYPART_ARC
(17,4),-4.56162 # DEPENDENCYPART_ARC
(17,5),-4.0217 # DEPENDENCYPART_ARC
(17,6),-3.75827 # DEPENDENCYPART_ARC
(17,7),-3.62407 # DEPENDENCYPART_ARC
(17,8),-2.39633 # DEPENDENCYPART_ARC
(17,9),-3.22605 # DEPENDENCYPART_ARC
(17,10),-3.56544 # DEPENDENCYPART_ARC
(17,11),-2.31945 # DEPENDENCYPART_ARC
(17,12),-2.36279 # DEPENDENCYPART_ARC
(17,13),-2.88697 # DEPENDENCYPART_ARC
(17,14),-2.79617 # DEPENDENCYPART_ARC
(17,15),-2.06838 # DEPENDENCYPART_ARC
(17,16),-1.84945 # DEPENDENCYPART_ARC
(17,18),1.49833 # DEPENDENCYPART_ARC
(17,19),-0.0212598 # DEPENDENCYPART_ARC
(17,20),-1.21377 # DEPENDENCYPART_ARC
(18,1),-1.4657 # DEPENDENCYPART_ARC
(18,2),-2.08955 # DEPENDENCYPART_ARC
(18,3),-0.612034 # DEPENDENCYPART_ARC
(18,4),-0.475254 # DEPENDENCYPART_ARC
(18,5),-2.59537 # DEPENDENCYPART_ARC
(18,6),-0.541052 # DEPENDENCYPART_ARC
(18,7),-1.35455 # DEPENDENCYPART_ARC
(18,8),0.422256 # DEPENDENCYPART_ARC
(18,9),-1.06069 # DEPENDENCYPART_ARC
(18,10),-1.64285 # DEPENDENCYPART_ARC
(18,11),-0.411148 # DEPENDENCYPART_ARC
(18,12),-0.307185 # DEPENDENCYPART_ARC
(18,13),-0.468185 # DEPENDENCYPART_ARC
(18,14),-0.777753 # DEPENDENCYPART_ARC
(18,15),1.37127 # DEPENDENCYPART_ARC
(18,16),-0.143275 # DEPENDENCYPART_ARC
(18,17),4.65884 # DEPENDENCYPART_ARC
(18,19),3.93922 # DEPENDENCYPART_ARC
(18,20),0.907753 # DEPENDENCYPART_ARC
(19,1),-3.63065 # DEPENDENCYPART_ARC
(19,2),-3.54017 # DEPENDENCYPART_ARC
(19,3),-2.96033 # DEPENDENCYPART_ARC
(19,4),-2.5091 # DEPENDENCYPART_ARC
(19,5),-2.21245 # DEPENDENCYPART_ARC
(19,6),-3.01169 # DEPENDENCYPART_ARC
(19,7),-2.84826 # DEPENDENCYPART_ARC
(19,8),-1.2134 # DEPENDENCYPART_ARC
(19,9),-1.88847 # DEPENDENCYPART_ARC
(19,10),-2.42713 # DEPENDENCYPART_ARC
(19,11),-2.18949 # DEPENDENCYPART_ARC
(19,12),-1.55259 # DEPENDENCYPART_ARC
(19,13),-2.50386 # DEPENDENCYPART_ARC
(19,14),-1.66006 # DEPENDENCYPART_ARC
(19,15),-0.518578 # DEPENDENCYPART_ARC
(19,16),-2.04995 # DEPENDENCYPART_ARC
(19,17),0.571305 # DEPENDENCYPART_ARC
(19,18),0.214905 # DEPENDENCYPART_ARC
(19,20),-0.0875906 # DEPENDENCYPART_ARC
(20,1),-3.06156 # DEPENDENCYPART_ARC
(20,2),-3.90732 # DEPENDENCYPART_ARC
(20,3),-2.98557 # DEPENDENCYPART_ARC
(20,4),-3.79845 # DEPENDENCYPART_ARC
(20,5),-3.71762 # DEPENDENCYPART_ARC
(20,6),-3.17863 # DEPENDENCYPART_ARC
(20,7),-3.58346 # DEPENDENCYPART_ARC
(20,8),-2.97654 # DEPENDENCYPART_ARC
(20,9),-3.67045 # DEPENDENCYPART_ARC
(20,10),-3.50423 # DEPENDENCYPART_ARC
(20,11),-2.53096 # DEPENDENCYPART_ARC
(20,12),-2.83168 # DEPENDENCYPART_ARC
(20,13),-3.0387 # DEPENDENCYPART_ARC
(20,14),-3.28467 # DEPENDENCYPART_ARC
(20,15),-2.85829 # DEPENDENCYPART_ARC
(20,16),-2.94308 # DEPENDENCYPART_ARC
(20,17),-2.27617 # DEPENDENCYPART_ARC
(20,18),-2.22889 # DEPENDENCYPART_ARC
(20,19),-1.00402 # DEPENDENCYPART_ARC
