# _root_ La dona va aparcar i va mirar d' agafar un taxi , moment en el qual l' acusat ' la va agafar pels cabells , va iniciar un forcejament i una persecució fins a introduir -la de_nou en el cotxe ' .
#goldHeads=2,4,4,0,4,9,9,9,4,11,9,13,9,22,16,14,18,22,22,22,22,13,22,23,22,27,22,29,27,29,32,29,27,33,34,35,35,35,40,38,22,4,
#predictedHeads=2,4,4,0,4,9,9,9,4,11,9,13,11,9,16,14,18,14,22,22,22,18,22,23,22,27,4,29,27,29,32,29,27,33,34,35,35,35,40,38,27,4,
(1,40),-7.77617 # DEPENDENCYPART_ARC
(1,41),-5.07126 # DEPENDENCYPART_ARC
(1,42),-5.44359 # DEPENDENCYPART_ARC
(2,1),4.79589 # DEPENDENCYPART_ARC
(2,3),0.829675 # DEPENDENCYPART_ARC
(2,4),0.0393406 # DEPENDENCYPART_ARC
(2,5),-1.02874 # DEPENDENCYPART_ARC
(2,6),-3.08776 # DEPENDENCYPART_ARC
(2,7),-3.19286 # DEPENDENCYPART_ARC
(2,8),-1.97832 # DEPENDENCYPART_ARC
(2,9),-4.1919 # DEPENDENCYPART_ARC
(2,10),-2.82718 # DEPENDENCYPART_ARC
(2,11),-1.25228 # DEPENDENCYPART_ARC
(2,12),-1.70324 # DEPENDENCYPART_ARC
(2,13),-1.64177 # DEPENDENCYPART_ARC
(2,14),-2.59533 # DEPENDENCYPART_ARC
(2,15),-3.22635 # DEPENDENCYPART_ARC
(2,16),-2.74233 # DEPENDENCYPART_ARC
(2,17),-2.80597 # DEPENDENCYPART_ARC
(2,18),-1.00816 # DEPENDENCYPART_ARC
(2,19),-1.48362 # DEPENDENCYPART_ARC
(2,20),-3.36713 # DEPENDENCYPART_ARC
(2,21),-5.84952 # DEPENDENCYPART_ARC
(2,22),-5.42377 # DEPENDENCYPART_ARC
(2,23),-4.34562 # DEPENDENCYPART_ARC
(2,24),-2.19438 # DEPENDENCYPART_ARC
(2,25),-2.73133 # DEPENDENCYPART_ARC
(2,26),-8.28319 # DEPENDENCYPART_ARC
(2,27),-7.08204 # DEPENDENCYPART_ARC
(2,28),-4.26351 # DEPENDENCYPART_ARC
(2,29),-2.90649 # DEPENDENCYPART_ARC
(2,30),-4.51943 # DEPENDENCYPART_ARC
(2,31),-4.40267 # DEPENDENCYPART_ARC
(2,32),-3.26206 # DEPENDENCYPART_ARC
(2,33),-5.16897 # DEPENDENCYPART_ARC
(2,34),-6.22045 # DEPENDENCYPART_ARC
(2,35),-9.54318 # DEPENDENCYPART_ARC
(2,36),-5.80894 # DEPENDENCYPART_ARC
(2,37),-4.08724 # DEPENDENCYPART_ARC
(2,38),-6.40694 # DEPENDENCYPART_ARC
(2,39),-5.80358 # DEPENDENCYPART_ARC
(2,40),-4.08056 # DEPENDENCYPART_ARC
(2,41),-3.52126 # DEPENDENCYPART_ARC
(2,42),0.277562 # DEPENDENCYPART_ARC
(3,1),-0.794855 # DEPENDENCYPART_ARC
(3,2),0.694086 # DEPENDENCYPART_ARC
(3,4),1.21478 # DEPENDENCYPART_ARC
(3,5),0.983564 # DEPENDENCYPART_ARC
(3,6),-0.557703 # DEPENDENCYPART_ARC
(3,7),-0.882674 # DEPENDENCYPART_ARC
(3,8),-0.992945 # DEPENDENCYPART_ARC
(3,9),-1.62186 # DEPENDENCYPART_ARC
(3,10),-4.61976 # DEPENDENCYPART_ARC
(3,11),-1.33233 # DEPENDENCYPART_ARC
(3,12),-0.948328 # DEPENDENCYPART_ARC
(3,13),-2.12118 # DEPENDENCYPART_ARC
(3,14),-1.44961 # DEPENDENCYPART_ARC
(3,15),-4.94322 # DEPENDENCYPART_ARC
(3,16),-3.74262 # DEPENDENCYPART_ARC
(3,17),-3.79422 # DEPENDENCYPART_ARC
(3,18),-1.54996 # DEPENDENCYPART_ARC
(3,19),-1.56802 # DEPENDENCYPART_ARC
(3,20),-2.59782 # DEPENDENCYPART_ARC
(3,21),-3.73567 # DEPENDENCYPART_ARC
(3,22),-2.92873 # DEPENDENCYPART_ARC
(3,23),-2.64628 # DEPENDENCYPART_ARC
(3,24),-3.0972 # DEPENDENCYPART_ARC
(3,25),-1.8627 # DEPENDENCYPART_ARC
(3,26),-4.14319 # DEPENDENCYPART_ARC
(3,27),-2.58754 # DEPENDENCYPART_ARC
(3,28),-4.7793 # DEPENDENCYPART_ARC
(3,29),-2.87589 # DEPENDENCYPART_ARC
(3,30),-3.07494 # DEPENDENCYPART_ARC
(3,31),-5.1803 # DEPENDENCYPART_ARC
(3,32),-4.25824 # DEPENDENCYPART_ARC
(3,33),-3.32148 # DEPENDENCYPART_ARC
(3,34),-5.87843 # DEPENDENCYPART_ARC
(3,35),-4.14603 # DEPENDENCYPART_ARC
(3,36),-3.41973 # DEPENDENCYPART_ARC
(3,37),-5.00923 # DEPENDENCYPART_ARC
(3,38),-6.29943 # DEPENDENCYPART_ARC
(3,39),-5.9525 # DEPENDENCYPART_ARC
(3,40),-4.98983 # DEPENDENCYPART_ARC
(3,41),-2.65852 # DEPENDENCYPART_ARC
(3,42),1.71031 # DEPENDENCYPART_ARC
(4,1),1.54408 # DEPENDENCYPART_ARC
(4,2),2.95156 # DEPENDENCYPART_ARC
(4,3),5.96266 # DEPENDENCYPART_ARC
(4,5),4.26307 # DEPENDENCYPART_ARC
(4,6),3.2956 # DEPENDENCYPART_ARC
(4,7),3.05255 # DEPENDENCYPART_ARC
(4,8),1.00961 # DEPENDENCYPART_ARC
(4,9),2.15059 # DEPENDENCYPART_ARC
(4,10),-2.03937 # DEPENDENCYPART_ARC
(4,11),0.683344 # DEPENDENCYPART_ARC
(4,12),0.696491 # DEPENDENCYPART_ARC
(4,13),-0.0643092 # DEPENDENCYPART_ARC
(4,14),1.10528 # DEPENDENCYPART_ARC
(4,15),-2.26638 # DEPENDENCYPART_ARC
(4,16),-1.95614 # DEPENDENCYPART_ARC
(4,17),-2.02792 # DEPENDENCYPART_ARC
(4,18),0.373087 # DEPENDENCYPART_ARC
(4,19),0.109147 # DEPENDENCYPART_ARC
(4,20),-0.00754587 # DEPENDENCYPART_ARC
(4,21),-0.258412 # DEPENDENCYPART_ARC
(4,22),0.973723 # DEPENDENCYPART_ARC
(4,23),0.0867131 # DEPENDENCYPART_ARC
(4,24),-0.807072 # DEPENDENCYPART_ARC
(4,25),0.224911 # DEPENDENCYPART_ARC
(4,26),-1.07129 # DEPENDENCYPART_ARC
(4,27),1.48319 # DEPENDENCYPART_ARC
(4,28),-2.22536 # DEPENDENCYPART_ARC
(4,29),-0.46462 # DEPENDENCYPART_ARC
(4,30),-0.404077 # DEPENDENCYPART_ARC
(4,31),-2.69234 # DEPENDENCYPART_ARC
(4,32),-1.96782 # DEPENDENCYPART_ARC
(4,33),-1.3877 # DEPENDENCYPART_ARC
(4,34),-3.66539 # DEPENDENCYPART_ARC
(4,35),0.019992 # DEPENDENCYPART_ARC
(4,36),-0.129723 # DEPENDENCYPART_ARC
(4,37),-2.72085 # DEPENDENCYPART_ARC
(4,38),-3.19909 # DEPENDENCYPART_ARC
(4,39),-3.02284 # DEPENDENCYPART_ARC
(4,40),-2.66632 # DEPENDENCYPART_ARC
(4,41),-0.7302 # DEPENDENCYPART_ARC
(4,42),6.45485 # DEPENDENCYPART_ARC
(5,1),-3.77523 # DEPENDENCYPART_ARC
(5,2),-3.96748 # DEPENDENCYPART_ARC
(5,3),-3.23262 # DEPENDENCYPART_ARC
(5,4),-2.2926 # DEPENDENCYPART_ARC
(5,6),-0.196603 # DEPENDENCYPART_ARC
(5,7),-1.6461 # DEPENDENCYPART_ARC
(5,8),-2.11835 # DEPENDENCYPART_ARC
(5,9),-2.26434 # DEPENDENCYPART_ARC
(5,10),-3.99726 # DEPENDENCYPART_ARC
(5,11),-3.84824 # DEPENDENCYPART_ARC
(5,12),-2.53564 # DEPENDENCYPART_ARC
(5,13),-4.4771 # DEPENDENCYPART_ARC
(5,14),-3.22673 # DEPENDENCYPART_ARC
(5,15),-4.43305 # DEPENDENCYPART_ARC
(5,16),-4.39042 # DEPENDENCYPART_ARC
(5,17),-4.50012 # DEPENDENCYPART_ARC
(5,18),-5.31273 # DEPENDENCYPART_ARC
(5,19),-2.89957 # DEPENDENCYPART_ARC
(5,20),-3.87654 # DEPENDENCYPART_ARC
(5,21),-3.60208 # DEPENDENCYPART_ARC
(5,22),-3.58133 # DEPENDENCYPART_ARC
(5,23),-3.33704 # DEPENDENCYPART_ARC
(5,24),-5.75971 # DEPENDENCYPART_ARC
(5,25),-3.32594 # DEPENDENCYPART_ARC
(5,26),-4.19468 # DEPENDENCYPART_ARC
(5,27),-4.37005 # DEPENDENCYPART_ARC
(5,28),-4.90638 # DEPENDENCYPART_ARC
(5,29),-6.73551 # DEPENDENCYPART_ARC
(5,30),-2.69641 # DEPENDENCYPART_ARC
(5,31),-4.76573 # DEPENDENCYPART_ARC
(5,32),-7.33315 # DEPENDENCYPART_ARC
(5,33),-4.09389 # DEPENDENCYPART_ARC
(5,34),-3.75123 # DEPENDENCYPART_ARC
(5,35),-5.11598 # DEPENDENCYPART_ARC
(5,36),-4.54039 # DEPENDENCYPART_ARC
(5,37),-4.80064 # DEPENDENCYPART_ARC
(5,38),-4.517 # DEPENDENCYPART_ARC
(5,39),-5.12352 # DEPENDENCYPART_ARC
(5,40),-7.85868 # DEPENDENCYPART_ARC
(5,41),-4.0836 # DEPENDENCYPART_ARC
(5,42),-2.91637 # DEPENDENCYPART_ARC
(6,1),-4.09478 # DEPENDENCYPART_ARC
(6,2),-2.33165 # DEPENDENCYPART_ARC
(6,3),-1.24019 # DEPENDENCYPART_ARC
(6,4),-2.76589 # DEPENDENCYPART_ARC
(6,5),-1.02399 # DEPENDENCYPART_ARC
(6,7),0.147549 # DEPENDENCYPART_ARC
(6,8),-0.817343 # DEPENDENCYPART_ARC
(6,9),-1.83311 # DEPENDENCYPART_ARC
(6,10),-5.46379 # DEPENDENCYPART_ARC
(6,11),-1.87957 # DEPENDENCYPART_ARC
(6,12),-1.53485 # DEPENDENCYPART_ARC
(6,13),-2.93414 # DEPENDENCYPART_ARC
(6,14),-1.56182 # DEPENDENCYPART_ARC
(6,15),-6.01295 # DEPENDENCYPART_ARC
(6,16),-4.83567 # DEPENDENCYPART_ARC
(6,17),-4.83511 # DEPENDENCYPART_ARC
(6,18),-2.75659 # DEPENDENCYPART_ARC
(6,19),-2.18661 # DEPENDENCYPART_ARC
(6,20),-3.4142 # DEPENDENCYPART_ARC
(6,21),-4.5112 # DEPENDENCYPART_ARC
(6,22),-3.64302 # DEPENDENCYPART_ARC
(6,23),-3.28739 # DEPENDENCYPART_ARC
(6,24),-4.09706 # DEPENDENCYPART_ARC
(6,25),-2.41372 # DEPENDENCYPART_ARC
(6,26),-5.37787 # DEPENDENCYPART_ARC
(6,27),-3.50453 # DEPENDENCYPART_ARC
(6,28),-5.8574 # DEPENDENCYPART_ARC
(6,29),-3.79545 # DEPENDENCYPART_ARC
(6,30),-3.98173 # DEPENDENCYPART_ARC
(6,31),-6.09339 # DEPENDENCYPART_ARC
(6,32),-4.35478 # DEPENDENCYPART_ARC
(6,33),-3.42933 # DEPENDENCYPART_ARC
(6,34),-5.31341 # DEPENDENCYPART_ARC
(6,35),-4.21925 # DEPENDENCYPART_ARC
(6,36),-3.87621 # DEPENDENCYPART_ARC
(6,37),-5.16225 # DEPENDENCYPART_ARC
(6,38),-6.13223 # DEPENDENCYPART_ARC
(6,39),-6.6876 # DEPENDENCYPART_ARC
(6,40),-5.2324 # DEPENDENCYPART_ARC
(6,41),-3.3686 # DEPENDENCYPART_ARC
(6,42),-0.745687 # DEPENDENCYPART_ARC
(7,1),-1.94607 # DEPENDENCYPART_ARC
(7,2),0.144388 # DEPENDENCYPART_ARC
(7,3),1.46515 # DEPENDENCYPART_ARC
(7,4),-0.863399 # DEPENDENCYPART_ARC
(7,5),0.7978 # DEPENDENCYPART_ARC
(7,6),5.13802 # DEPENDENCYPART_ARC
(7,8),2.31989 # DEPENDENCYPART_ARC
(7,9),1.25742 # DEPENDENCYPART_ARC
(7,10),-2.49066 # DEPENDENCYPART_ARC
(7,11),1.5817 # DEPENDENCYPART_ARC
(7,12),0.377501 # DEPENDENCYPART_ARC
(7,13),-0.102627 # DEPENDENCYPART_ARC
(7,14),0.750841 # DEPENDENCYPART_ARC
(7,15),-3.10661 # DEPENDENCYPART_ARC
(7,16),-2.73783 # DEPENDENCYPART_ARC
(7,17),-2.82596 # DEPENDENCYPART_ARC
(7,18),0.58228 # DEPENDENCYPART_ARC
(7,19),-0.109369 # DEPENDENCYPART_ARC
(7,20),-0.211645 # DEPENDENCYPART_ARC
(7,21),-1.43031 # DEPENDENCYPART_ARC
(7,22),-0.358915 # DEPENDENCYPART_ARC
(7,23),-0.430907 # DEPENDENCYPART_ARC
(7,24),-1.35029 # DEPENDENCYPART_ARC
(7,25),1.08731 # DEPENDENCYPART_ARC
(7,26),-2.63979 # DEPENDENCYPART_ARC
(7,27),-0.466685 # DEPENDENCYPART_ARC
(7,28),-3.11907 # DEPENDENCYPART_ARC
(7,29),-0.634808 # DEPENDENCYPART_ARC
(7,30),-0.100751 # DEPENDENCYPART_ARC
(7,31),-3.38083 # DEPENDENCYPART_ARC
(7,32),-1.19722 # DEPENDENCYPART_ARC
(7,33),-1.23291 # DEPENDENCYPART_ARC
(7,34),-3.11107 # DEPENDENCYPART_ARC
(7,35),-1.48416 # DEPENDENCYPART_ARC
(7,36),-0.612858 # DEPENDENCYPART_ARC
(7,37),-2.90518 # DEPENDENCYPART_ARC
(7,38),-3.12298 # DEPENDENCYPART_ARC
(7,39),-3.83809 # DEPENDENCYPART_ARC
(7,40),-1.92163 # DEPENDENCYPART_ARC
(7,41),0.0139728 # DEPENDENCYPART_ARC
(7,42),5.93684 # DEPENDENCYPART_ARC
(8,1),-1.49751 # DEPENDENCYPART_ARC
(8,2),-2.45127 # DEPENDENCYPART_ARC
(8,3),-1.97875 # DEPENDENCYPART_ARC
(8,4),-1.99966 # DEPENDENCYPART_ARC
(8,5),-1.45208 # DEPENDENCYPART_ARC
(8,6),-0.794501 # DEPENDENCYPART_ARC
(8,7),-0.199516 # DEPENDENCYPART_ARC
(8,9),3.21562 # DEPENDENCYPART_ARC
(8,10),-0.696125 # DEPENDENCYPART_ARC
(8,11),0.979868 # DEPENDENCYPART_ARC
(8,12),0.146783 # DEPENDENCYPART_ARC
(8,13),-1.73782 # DEPENDENCYPART_ARC
(8,14),-1.59921 # DEPENDENCYPART_ARC
(8,15),-2.67908 # DEPENDENCYPART_ARC
(8,16),-0.972401 # DEPENDENCYPART_ARC
(8,17),-1.51371 # DEPENDENCYPART_ARC
(8,18),-4.71226 # DEPENDENCYPART_ARC
(8,19),-1.79524 # DEPENDENCYPART_ARC
(8,20),-3.5684 # DEPENDENCYPART_ARC
(8,21),-2.52999 # DEPENDENCYPART_ARC
(8,22),-2.07136 # DEPENDENCYPART_ARC
(8,23),-2.77825 # DEPENDENCYPART_ARC
(8,24),-6.75333 # DEPENDENCYPART_ARC
(8,25),-3.44799 # DEPENDENCYPART_ARC
(8,26),-5.04377 # DEPENDENCYPART_ARC
(8,27),-3.27231 # DEPENDENCYPART_ARC
(8,28),-2.71152 # DEPENDENCYPART_ARC
(8,29),-10.5332 # DEPENDENCYPART_ARC
(8,30),-1.6943 # DEPENDENCYPART_ARC
(8,31),-2.23785 # DEPENDENCYPART_ARC
(8,32),-12.7455 # DEPENDENCYPART_ARC
(8,33),-2.96783 # DEPENDENCYPART_ARC
(8,34),-2.32203 # DEPENDENCYPART_ARC
(8,35),-4.90821 # DEPENDENCYPART_ARC
(8,36),-6.87291 # DEPENDENCYPART_ARC
(8,37),-2.49581 # DEPENDENCYPART_ARC
(8,38),-4.41962 # DEPENDENCYPART_ARC
(8,39),-2.94983 # DEPENDENCYPART_ARC
(8,40),-13.8975 # DEPENDENCYPART_ARC
(8,41),-4.28328 # DEPENDENCYPART_ARC
(8,42),-1.56326 # DEPENDENCYPART_ARC
(9,1),-0.527923 # DEPENDENCYPART_ARC
(9,2),1.92604 # DEPENDENCYPART_ARC
(9,3),4.27426 # DEPENDENCYPART_ARC
(9,4),0.640213 # DEPENDENCYPART_ARC
(9,5),0.891314 # DEPENDENCYPART_ARC
(9,6),5.65791 # DEPENDENCYPART_ARC
(9,7),3.86756 # DEPENDENCYPART_ARC
(9,8),4.41877 # DEPENDENCYPART_ARC
(9,10),-0.15024 # DEPENDENCYPART_ARC
(9,11),4.37567 # DEPENDENCYPART_ARC
(9,12),1.07727 # DEPENDENCYPART_ARC
(9,13),1.87207 # DEPENDENCYPART_ARC
(9,14),3.0661 # DEPENDENCYPART_ARC
(9,15),-1.91881 # DEPENDENCYPART_ARC
(9,16),-1.61531 # DEPENDENCYPART_ARC
(9,17),-1.70249 # DEPENDENCYPART_ARC
(9,18),1.52759 # DEPENDENCYPART_ARC
(9,19),0.00938813 # DEPENDENCYPART_ARC
(9,20),1.33386 # DEPENDENCYPART_ARC
(9,21),-0.0220436 # DEPENDENCYPART_ARC
(9,22),0.61694 # DEPENDENCYPART_ARC
(9,23),1.34012 # DEPENDENCYPART_ARC
(9,24),0.454463 # DEPENDENCYPART_ARC
(9,25),0.31799 # DEPENDENCYPART_ARC
(9,26),-1.21769 # DEPENDENCYPART_ARC
(9,27),0.462566 # DEPENDENCYPART_ARC
(9,28),-2.35944 # DEPENDENCYPART_ARC
(9,29),-0.0453736 # DEPENDENCYPART_ARC
(9,30),0.445345 # DEPENDENCYPART_ARC
(9,31),-2.41636 # DEPENDENCYPART_ARC
(9,32),-0.384512 # DEPENDENCYPART_ARC
(9,33),1.30239 # DEPENDENCYPART_ARC
(9,34),-0.901203 # DEPENDENCYPART_ARC
(9,35),0.663448 # DEPENDENCYPART_ARC
(9,36),0.747433 # DEPENDENCYPART_ARC
(9,37),-1.9094 # DEPENDENCYPART_ARC
(9,38),-0.860693 # DEPENDENCYPART_ARC
(9,39),-2.91947 # DEPENDENCYPART_ARC
(9,40),-0.988532 # DEPENDENCYPART_ARC
(9,41),-0.646407 # DEPENDENCYPART_ARC
(9,42),4.71837 # DEPENDENCYPART_ARC
(10,1),-3.52849 # DEPENDENCYPART_ARC
(10,2),-3.60154 # DEPENDENCYPART_ARC
(10,3),-3.88803 # DEPENDENCYPART_ARC
(10,4),-3.70882 # DEPENDENCYPART_ARC
(10,5),-2.54972 # DEPENDENCYPART_ARC
(10,6),-3.32161 # DEPENDENCYPART_ARC
(10,7),-2.90569 # DEPENDENCYPART_ARC
(10,8),-0.782991 # DEPENDENCYPART_ARC
(10,9),-1.33106 # DEPENDENCYPART_ARC
(10,11),1.12609 # DEPENDENCYPART_ARC
(10,12),-1.16073 # DEPENDENCYPART_ARC
(10,13),-0.371941 # DEPENDENCYPART_ARC
(10,14),-2.16423 # DEPENDENCYPART_ARC
(10,15),-1.22068 # DEPENDENCYPART_ARC
(10,16),-1.06406 # DEPENDENCYPART_ARC
(10,17),-0.966787 # DEPENDENCYPART_ARC
(10,18),-2.88391 # DEPENDENCYPART_ARC
(10,19),-2.84056 # DEPENDENCYPART_ARC
(10,20),-2.85811 # DEPENDENCYPART_ARC
(10,21),-2.96313 # DEPENDENCYPART_ARC
(10,22),-2.70819 # DEPENDENCYPART_ARC
(10,23),-4.1106 # DEPENDENCYPART_ARC
(10,24),-4.50568 # DEPENDENCYPART_ARC
(10,25),-4.28891 # DEPENDENCYPART_ARC
(10,26),-3.69038 # DEPENDENCYPART_ARC
(10,27),-3.05087 # DEPENDENCYPART_ARC
(10,28),-4.09598 # DEPENDENCYPART_ARC
(10,29),-4.27633 # DEPENDENCYPART_ARC
(10,30),-3.49215 # DEPENDENCYPART_ARC
(10,31),-4.62714 # DEPENDENCYPART_ARC
(10,32),-3.95993 # DEPENDENCYPART_ARC
(10,33),-6.63243 # DEPENDENCYPART_ARC
(10,34),-7.35223 # DEPENDENCYPART_ARC
(10,35),-3.57576 # DEPENDENCYPART_ARC
(10,36),-3.68615 # DEPENDENCYPART_ARC
(10,37),-3.4431 # DEPENDENCYPART_ARC
(10,38),-8.65534 # DEPENDENCYPART_ARC
(10,39),-6.53056 # DEPENDENCYPART_ARC
(10,40),-5.76875 # DEPENDENCYPART_ARC
(10,41),-6.07758 # DEPENDENCYPART_ARC
(10,42),-5.80685 # DEPENDENCYPART_ARC
(11,1),-2.98703 # DEPENDENCYPART_ARC
(11,2),-2.924 # DEPENDENCYPART_ARC
(11,3),-2.01436 # DEPENDENCYPART_ARC
(11,4),-2.16436 # DEPENDENCYPART_ARC
(11,5),-1.26344 # DEPENDENCYPART_ARC
(11,6),-1.68494 # DEPENDENCYPART_ARC
(11,7),-1.94122 # DEPENDENCYPART_ARC
(11,8),-0.507902 # DEPENDENCYPART_ARC
(11,9),0.368924 # DEPENDENCYPART_ARC
(11,10),3.54538 # DEPENDENCYPART_ARC
(11,12),1.52801 # DEPENDENCYPART_ARC
(11,13),2.12079 # DEPENDENCYPART_ARC
(11,14),1.10643 # DEPENDENCYPART_ARC
(11,15),-0.439195 # DEPENDENCYPART_ARC
(11,16),-0.585673 # DEPENDENCYPART_ARC
(11,17),-0.776546 # DEPENDENCYPART_ARC
(11,18),1.95083 # DEPENDENCYPART_ARC
(11,19),0.38391 # DEPENDENCYPART_ARC
(11,20),-0.676845 # DEPENDENCYPART_ARC
(11,21),1.55929 # DEPENDENCYPART_ARC
(11,22),1.33658 # DEPENDENCYPART_ARC
(11,23),-0.659234 # DEPENDENCYPART_ARC
(11,24),-0.219601 # DEPENDENCYPART_ARC
(11,25),-0.0991879 # DEPENDENCYPART_ARC
(11,26),-1.75391 # DEPENDENCYPART_ARC
(11,27),-0.878818 # DEPENDENCYPART_ARC
(11,28),-1.67671 # DEPENDENCYPART_ARC
(11,29),0.0822665 # DEPENDENCYPART_ARC
(11,30),1.15498 # DEPENDENCYPART_ARC
(11,31),-2.79231 # DEPENDENCYPART_ARC
(11,32),-0.272674 # DEPENDENCYPART_ARC
(11,33),-1.31605 # DEPENDENCYPART_ARC
(11,34),-2.2477 # DEPENDENCYPART_ARC
(11,35),-3.53699 # DEPENDENCYPART_ARC
(11,36),-2.78541 # DEPENDENCYPART_ARC
(11,37),-2.12491 # DEPENDENCYPART_ARC
(11,38),-2.64276 # DEPENDENCYPART_ARC
(11,39),-3.40591 # DEPENDENCYPART_ARC
(11,40),-0.876222 # DEPENDENCYPART_ARC
(11,41),-1.20784 # DEPENDENCYPART_ARC
(11,42),1.60074 # DEPENDENCYPART_ARC
(12,1),-3.53083 # DEPENDENCYPART_ARC
(12,2),-3.53252 # DEPENDENCYPART_ARC
(12,3),-3.49552 # DEPENDENCYPART_ARC
(12,4),-3.40802 # DEPENDENCYPART_ARC
(12,5),-2.73209 # DEPENDENCYPART_ARC
(12,6),-3.24677 # DEPENDENCYPART_ARC
(12,7),-3.10725 # DEPENDENCYPART_ARC
