# _root_ El primer , de 21 quilòmetres , sortirà de la plaça Fra_Bernadí de Manlleu a les set_del_matí .
#goldHeads=2,8,4,2,6,4,4,0,8,11,9,11,11,13,8,17,15,8,
#predictedHeads=2,8,4,2,6,4,4,0,8,11,9,11,11,13,8,17,15,8,
(6,17),-0.936019 # DEPENDENCYPART_ARC
(6,18),0.833202 # DEPENDENCYPART_ARC
(7,1),-3.12095 # DEPENDENCYPART_ARC
(7,2),-2.55554 # DEPENDENCYPART_ARC
(7,3),-1.95327 # DEPENDENCYPART_ARC
(7,4),-1.79517 # DEPENDENCYPART_ARC
(7,5),-1.82301 # DEPENDENCYPART_ARC
(7,6),-1.54418 # DEPENDENCYPART_ARC
(7,8),-0.849961 # DEPENDENCYPART_ARC
(7,9),-2.20345 # DEPENDENCYPART_ARC
(7,10),-2.68412 # DEPENDENCYPART_ARC
(7,11),-2.30924 # DEPENDENCYPART_ARC
(7,12),-2.44062 # DEPENDENCYPART_ARC
(7,13),-2.33876 # DEPENDENCYPART_ARC
(7,14),-2.59005 # DEPENDENCYPART_ARC
(7,15),-2.48376 # DEPENDENCYPART_ARC
(7,16),-3.06961 # DEPENDENCYPART_ARC
(7,17),-2.28462 # DEPENDENCYPART_ARC
(7,18),-1.79677 # DEPENDENCYPART_ARC
(8,1),-1.28475 # DEPENDENCYPART_ARC
(8,2),0.315106 # DEPENDENCYPART_ARC
(8,3),0.491459 # DEPENDENCYPART_ARC
(8,4),0.280077 # DEPENDENCYPART_ARC
(8,5),0.724036 # DEPENDENCYPART_ARC
(8,6),0.997297 # DEPENDENCYPART_ARC
(8,7),1.16039 # DEPENDENCYPART_ARC
(8,9),2.77095 # DEPENDENCYPART_ARC
(8,10),-0.844218 # DEPENDENCYPART_ARC
(8,11),2.8158 # DEPENDENCYPART_ARC
(8,12),2.47633 # DEPENDENCYPART_ARC
(8,13),1.10479 # DEPENDENCYPART_ARC
(8,14),0.649868 # DEPENDENCYPART_ARC
(8,15),2.15864 # DEPENDENCYPART_ARC
(8,16),-2.4176 # DEPENDENCYPART_ARC
(8,17),1.7588 # DEPENDENCYPART_ARC
(8,18),4.34285 # DEPENDENCYPART_ARC
(9,1),-2.27482 # DEPENDENCYPART_ARC
(9,2),-2.7726 # DEPENDENCYPART_ARC
(9,3),-2.09528 # DEPENDENCYPART_ARC
(9,4),-2.04461 # DEPENDENCYPART_ARC
(9,5),-2.05362 # DEPENDENCYPART_ARC
(9,6),-2.63658 # DEPENDENCYPART_ARC
(9,7),-0.989708 # DEPENDENCYPART_ARC
(9,8),-0.193128 # DEPENDENCYPART_ARC
(9,10),0.279661 # DEPENDENCYPART_ARC
(9,11),4.46849 # DEPENDENCYPART_ARC
(9,12),0.763352 # DEPENDENCYPART_ARC
(9,13),0.406906 # DEPENDENCYPART_ARC
(9,14),-0.143526 # DEPENDENCYPART_ARC
(9,15),-1.21973 # DEPENDENCYPART_ARC
(9,16),-2.11269 # DEPENDENCYPART_ARC
(9,17),-0.846833 # DEPENDENCYPART_ARC
(9,18),0.0106969 # DEPENDENCYPART_ARC
(10,1),-2.46356 # DEPENDENCYPART_ARC
(10,2),-2.23145 # DEPENDENCYPART_ARC
(10,3),-1.47074 # DEPENDENCYPART_ARC
(10,4),-1.48347 # DEPENDENCYPART_ARC
(10,5),-0.926534 # DEPENDENCYPART_ARC
(10,6),-1.9998 # DEPENDENCYPART_ARC
(10,7),-0.843047 # DEPENDENCYPART_ARC
(10,8),-1.07233 # DEPENDENCYPART_ARC
(10,9),0.550637 # DEPENDENCYPART_ARC
(10,11),1.41801 # DEPENDENCYPART_ARC
(10,12),0.161541 # DEPENDENCYPART_ARC
(10,13),-0.283224 # DEPENDENCYPART_ARC
(10,14),-1.47173 # DEPENDENCYPART_ARC
(10,15),-2.82759 # DEPENDENCYPART_ARC
(10,16),-0.495767 # DEPENDENCYPART_ARC
(10,17),-2.08131 # DEPENDENCYPART_ARC
(10,18),-2.68854 # DEPENDENCYPART_ARC
(11,1),-3.59757 # DEPENDENCYPART_ARC
(11,2),-2.07002 # DEPENDENCYPART_ARC
(11,3),-1.01562 # DEPENDENCYPART_ARC
(11,4),-0.479891 # DEPENDENCYPART_ARC
(11,5),-0.699902 # DEPENDENCYPART_ARC
(11,6),-1.52927 # DEPENDENCYPART_ARC
(11,7),-0.300939 # DEPENDENCYPART_ARC
(11,8),-0.739898 # DEPENDENCYPART_ARC
(11,9),1.14465 # DEPENDENCYPART_ARC
(11,10),5.29891 # DEPENDENCYPART_ARC
(11,12),3.30301 # DEPENDENCYPART_ARC
(11,13),2.70787 # DEPENDENCYPART_ARC
(11,14),1.06212 # DEPENDENCYPART_ARC
(11,15),1.1299 # DEPENDENCYPART_ARC
(11,16),-1.43936 # DEPENDENCYPART_ARC
(11,17),0.441815 # DEPENDENCYPART_ARC
(11,18),1.19481 # DEPENDENCYPART_ARC
(12,1),-4.31924 # DEPENDENCYPART_ARC
(12,2),-2.31851 # DEPENDENCYPART_ARC
(12,3),-1.28824 # DEPENDENCYPART_ARC
(12,4),-0.644691 # DEPENDENCYPART_ARC
(12,5),-1.11286 # DEPENDENCYPART_ARC
(12,6),-1.75085 # DEPENDENCYPART_ARC
(12,7),-0.547953 # DEPENDENCYPART_ARC
(12,8),-0.917199 # DEPENDENCYPART_ARC
(12,9),0.457848 # DEPENDENCYPART_ARC
(12,10),2.61883 # DEPENDENCYPART_ARC
(12,11),1.1114 # DEPENDENCYPART_ARC
(12,13),1.70597 # DEPENDENCYPART_ARC
(12,14),0.918701 # DEPENDENCYPART_ARC
(12,15),0.275281 # DEPENDENCYPART_ARC
(12,16),-1.23362 # DEPENDENCYPART_ARC
(12,17),0.187283 # DEPENDENCYPART_ARC
(12,18),0.911175 # DEPENDENCYPART_ARC
(13,1),-2.29539 # DEPENDENCYPART_ARC
(13,2),-2.2073 # DEPENDENCYPART_ARC
(13,3),-1.96266 # DEPENDENCYPART_ARC
(13,4),-2.21844 # DEPENDENCYPART_ARC
(13,5),-1.39541 # DEPENDENCYPART_ARC
(13,6),-2.36452 # DEPENDENCYPART_ARC
(13,7),-1.33519 # DEPENDENCYPART_ARC
(13,8),-0.95103 # DEPENDENCYPART_ARC
(13,9),-0.858837 # DEPENDENCYPART_ARC
(13,10),0.114743 # DEPENDENCYPART_ARC
(13,11),-0.462833 # DEPENDENCYPART_ARC
(13,12),0.1881 # DEPENDENCYPART_ARC
(13,14),3.83495 # DEPENDENCYPART_ARC
(13,15),-0.230486 # DEPENDENCYPART_ARC
(13,16),-2.08719 # DEPENDENCYPART_ARC
(13,17),-0.623356 # DEPENDENCYPART_ARC
(13,18),-0.750318 # DEPENDENCYPART_ARC
(14,1),-4.8364 # DEPENDENCYPART_ARC
(14,2),-2.64377 # DEPENDENCYPART_ARC
(14,3),-1.67607 # DEPENDENCYPART_ARC
(14,4),-0.740124 # DEPENDENCYPART_ARC
(14,5),-1.42581 # DEPENDENCYPART_ARC
(14,6),-1.70028 # DEPENDENCYPART_ARC
(14,7),-0.910307 # DEPENDENCYPART_ARC
(14,8),-0.93504 # DEPENDENCYPART_ARC
(14,9),-0.131557 # DEPENDENCYPART_ARC
(14,10),1.63722 # DEPENDENCYPART_ARC
(14,11),-0.475738 # DEPENDENCYPART_ARC
(14,12),0.442466 # DEPENDENCYPART_ARC
(14,13),1.60334 # DEPENDENCYPART_ARC
(14,15),0.818261 # DEPENDENCYPART_ARC
(14,16),-0.793925 # DEPENDENCYPART_ARC
(14,17),-0.233155 # DEPENDENCYPART_ARC
(14,18),-0.0298176 # DEPENDENCYPART_ARC
(15,1),-2.32894 # DEPENDENCYPART_ARC
(15,2),-1.94694 # DEPENDENCYPART_ARC
(15,3),-1.36342 # DEPENDENCYPART_ARC
(15,4),-2.77242 # DEPENDENCYPART_ARC
(15,5),-1.17789 # DEPENDENCYPART_ARC
(15,6),-2.70207 # DEPENDENCYPART_ARC
(15,7),-1.06628 # DEPENDENCYPART_ARC
(15,8),-0.430494 # DEPENDENCYPART_ARC
(15,9),-1.46758 # DEPENDENCYPART_ARC
(15,10),-0.682265 # DEPENDENCYPART_ARC
(15,11),-1.34112 # DEPENDENCYPART_ARC
(15,12),-1.37914 # DEPENDENCYPART_ARC
(15,13),-0.0113629 # DEPENDENCYPART_ARC
(15,14),0.206605 # DEPENDENCYPART_ARC
(15,16),0.267665 # DEPENDENCYPART_ARC
(15,17),3.42314 # DEPENDENCYPART_ARC
(15,18),0.00345374 # DEPENDENCYPART_ARC
(16,1),-3.51676 # DEPENDENCYPART_ARC
(16,2),-3.29243 # DEPENDENCYPART_ARC
(16,3),-2.44202 # DEPENDENCYPART_ARC
(16,4),-3.17394 # DEPENDENCYPART_ARC
(16,5),-2.24089 # DEPENDENCYPART_ARC
(16,6),-2.52336 # DEPENDENCYPART_ARC
(16,7),-2.25064 # DEPENDENCYPART_ARC
(16,8),-2.10747 # DEPENDENCYPART_ARC
(16,9),-2.40071 # DEPENDENCYPART_ARC
(16,10),-1.66203 # DEPENDENCYPART_ARC
(16,11),-2.35403 # DEPENDENCYPART_ARC
(16,12),-1.76283 # DEPENDENCYPART_ARC
(16,13),-1.46445 # DEPENDENCYPART_ARC
(16,14),-0.924832 # DEPENDENCYPART_ARC
(16,15),-0.244091 # DEPENDENCYPART_ARC
(16,17),1.66288 # DEPENDENCYPART_ARC
(16,18),-0.22179 # DEPENDENCYPART_ARC
(17,1),-1.28604 # DEPENDENCYPART_ARC
(17,2),-1.84985 # DEPENDENCYPART_ARC
(17,3),-1.56211 # DEPENDENCYPART_ARC
(17,4),-1.6182 # DEPENDENCYPART_ARC
(17,5),-1.52374 # DEPENDENCYPART_ARC
(17,6),-2.4142 # DEPENDENCYPART_ARC
(17,7),-0.902196 # DEPENDENCYPART_ARC
(17,8),-1.78205 # DEPENDENCYPART_ARC
(17,9),-0.203458 # DEPENDENCYPART_ARC
(17,10),-0.451167 # DEPENDENCYPART_ARC
(17,11),-1.58867 # DEPENDENCYPART_ARC
(17,12),-1.29994 # DEPENDENCYPART_ARC
(17,13),-0.242342 # DEPENDENCYPART_ARC
(17,14),-0.745672 # DEPENDENCYPART_ARC
(17,15),0.642445 # DEPENDENCYPART_ARC
(17,16),3.75584 # DEPENDENCYPART_ARC
(17,18),0.38639 # DEPENDENCYPART_ARC
(18,1),-4.36439 # DEPENDENCYPART_ARC
(18,2),-3.90107 # DEPENDENCYPART_ARC
(18,3),-3.54335 # DEPENDENCYPART_ARC
(18,4),-3.61986 # DEPENDENCYPART_ARC
(18,5),-3.89861 # DEPENDENCYPART_ARC
(18,6),-4.29438 # DEPENDENCYPART_ARC
(18,7),-3.48712 # DEPENDENCYPART_ARC
(18,8),-3.89021 # DEPENDENCYPART_ARC
(18,9),-3.15191 # DEPENDENCYPART_ARC
(18,10),-3.7721 # DEPENDENCYPART_ARC
(18,11),-3.7426 # DEPENDENCYPART_ARC
(18,12),-3.60527 # DEPENDENCYPART_ARC
(18,13),-2.72423 # DEPENDENCYPART_ARC
(18,14),-3.31992 # DEPENDENCYPART_ARC
(18,15),-2.21258 # DEPENDENCYPART_ARC
(18,16),-1.90984 # DEPENDENCYPART_ARC
(18,17),-1.52968 # DEPENDENCYPART_ARC
