# _root_ El PSC vol , a_més_a_més , que es demani l' adhesió de la Unesco .
#goldHeads=2,3,0,5,3,5,9,9,3,11,9,11,14,12,3,
#predictedHeads=2,3,0,5,3,5,9,9,3,11,9,11,14,12,3,
(10,14),-1.86974 # DEPENDENCYPART_ARC
(10,15),-1.62478 # DEPENDENCYPART_ARC
(11,1),-3.00213 # DEPENDENCYPART_ARC
(11,2),-1.99363 # DEPENDENCYPART_ARC
(11,3),-1.6749 # DEPENDENCYPART_ARC
(11,4),-0.0104567 # DEPENDENCYPART_ARC
(11,5),-0.488434 # DEPENDENCYPART_ARC
(11,6),-0.983083 # DEPENDENCYPART_ARC
(11,7),0.488893 # DEPENDENCYPART_ARC
(11,8),0.00311445 # DEPENDENCYPART_ARC
(11,9),0.341976 # DEPENDENCYPART_ARC
(11,10),4.2447 # DEPENDENCYPART_ARC
(11,12),3.26838 # DEPENDENCYPART_ARC
(11,13),0.184965 # DEPENDENCYPART_ARC
(11,14),1.64056 # DEPENDENCYPART_ARC
(11,15),1.32034 # DEPENDENCYPART_ARC
(12,1),-2.10829 # DEPENDENCYPART_ARC
(12,2),-2.76938 # DEPENDENCYPART_ARC
(12,3),-1.04513 # DEPENDENCYPART_ARC
(12,4),-1.12976 # DEPENDENCYPART_ARC
(12,5),-1.36263 # DEPENDENCYPART_ARC
(12,6),-1.61698 # DEPENDENCYPART_ARC
(12,7),-0.159942 # DEPENDENCYPART_ARC
(12,8),-0.946152 # DEPENDENCYPART_ARC
(12,9),-0.457046 # DEPENDENCYPART_ARC
(12,10),0.281765 # DEPENDENCYPART_ARC
(12,11),-0.0431538 # DEPENDENCYPART_ARC
(12,13),0.154423 # DEPENDENCYPART_ARC
(12,14),4.54143 # DEPENDENCYPART_ARC
(12,15),-0.180381 # DEPENDENCYPART_ARC
(13,1),-2.85423 # DEPENDENCYPART_ARC
(13,2),-2.54016 # DEPENDENCYPART_ARC
(13,3),-2.69527 # DEPENDENCYPART_ARC
(13,4),-1.82643 # DEPENDENCYPART_ARC
(13,5),-2.17266 # DEPENDENCYPART_ARC
(13,6),-1.60175 # DEPENDENCYPART_ARC
(13,7),-1.63627 # DEPENDENCYPART_ARC
(13,8),-1.34349 # DEPENDENCYPART_ARC
(13,9),-1.98969 # DEPENDENCYPART_ARC
(13,10),-1.23098 # DEPENDENCYPART_ARC
(13,11),-0.81463 # DEPENDENCYPART_ARC
(13,12),0.484101 # DEPENDENCYPART_ARC
(13,14),0.120954 # DEPENDENCYPART_ARC
(13,15),-1.6254 # DEPENDENCYPART_ARC
(14,1),-4.90514 # DEPENDENCYPART_ARC
(14,2),-2.7482 # DEPENDENCYPART_ARC
(14,3),-2.21726 # DEPENDENCYPART_ARC
(14,4),-0.484253 # DEPENDENCYPART_ARC
(14,5),-1.35866 # DEPENDENCYPART_ARC
(14,6),-1.51225 # DEPENDENCYPART_ARC
(14,7),-0.213988 # DEPENDENCYPART_ARC
(14,8),-0.870391 # DEPENDENCYPART_ARC
(14,9),-1.2152 # DEPENDENCYPART_ARC
(14,10),0.721667 # DEPENDENCYPART_ARC
(14,11),-1.13356 # DEPENDENCYPART_ARC
(14,12),0.732775 # DEPENDENCYPART_ARC
(14,13),4.68941 # DEPENDENCYPART_ARC
(14,15),0.360249 # DEPENDENCYPART_ARC
(15,1),-4.59624 # DEPENDENCYPART_ARC
(15,2),-4.6607 # DEPENDENCYPART_ARC
(15,3),-4.46761 # DEPENDENCYPART_ARC
(15,4),-3.69596 # DEPENDENCYPART_ARC
(15,5),-4.1172 # DEPENDENCYPART_ARC
(15,6),-3.56606 # DEPENDENCYPART_ARC
(15,7),-3.42403 # DEPENDENCYPART_ARC
(15,8),-3.74158 # DEPENDENCYPART_ARC
(15,9),-3.87575 # DEPENDENCYPART_ARC
(15,10),-3.33397 # DEPENDENCYPART_ARC
(15,11),-3.68452 # DEPENDENCYPART_ARC
(15,12),-2.45889 # DEPENDENCYPART_ARC
(15,13),-2.12679 # DEPENDENCYPART_ARC
(15,14),-2.34785 # DEPENDENCYPART_ARC
