# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,21,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(5,24),-2.40821 # DEPENDENCYPART_ARC
(5,25),-2.63416 # DEPENDENCYPART_ARC
(5,27),-4.47482 # DEPENDENCYPART_ARC
(5,28),-1.72068 # DEPENDENCYPART_ARC
(5,30),-5.08927 # DEPENDENCYPART_ARC
(5,31),-1.97209 # DEPENDENCYPART_ARC
(5,33),-5.64003 # DEPENDENCYPART_ARC
(5,34),-1.92033 # DEPENDENCYPART_ARC
(5,36),-5.96222 # DEPENDENCYPART_ARC
(5,37),-1.40263 # DEPENDENCYPART_ARC
(5,39),-6.3703 # DEPENDENCYPART_ARC
(5,40),0.353289 # DEPENDENCYPART_ARC
(6,1),-2.21081 # DEPENDENCYPART_ARC
(6,7),0.124628 # DEPENDENCYPART_ARC
(6,8),0.0152285 # DEPENDENCYPART_ARC
(6,9),-0.939277 # DEPENDENCYPART_ARC
(6,10),-0.497672 # DEPENDENCYPART_ARC
(6,11),-2.30022 # DEPENDENCYPART_ARC
(6,14),-3.32886 # DEPENDENCYPART_ARC
(6,15),-3.66367 # DEPENDENCYPART_ARC
(6,16),-2.29128 # DEPENDENCYPART_ARC
(6,17),-3.55537 # DEPENDENCYPART_ARC
(6,18),-4.16669 # DEPENDENCYPART_ARC
(6,19),-3.81969 # DEPENDENCYPART_ARC
(6,22),-4.22535 # DEPENDENCYPART_ARC
(6,23),-2.93083 # DEPENDENCYPART_ARC
(6,26),-5.73844 # DEPENDENCYPART_ARC
(6,27),-4.18816 # DEPENDENCYPART_ARC
(6,28),-5.22734 # DEPENDENCYPART_ARC
(6,29),-7.11451 # DEPENDENCYPART_ARC
(6,30),-5.07648 # DEPENDENCYPART_ARC
(6,31),-5.54188 # DEPENDENCYPART_ARC
(6,32),-7.37877 # DEPENDENCYPART_ARC
(6,33),-5.06675 # DEPENDENCYPART_ARC
(6,34),-6.71474 # DEPENDENCYPART_ARC
(6,35),-7.79055 # DEPENDENCYPART_ARC
(6,36),-6.02102 # DEPENDENCYPART_ARC
(6,37),-4.05803 # DEPENDENCYPART_ARC
(6,38),-8.10966 # DEPENDENCYPART_ARC
(6,39),-6.39762 # DEPENDENCYPART_ARC
(7,1),-1.84228 # DEPENDENCYPART_ARC
(7,2),-2.57241 # DEPENDENCYPART_ARC
(7,3),-0.546045 # DEPENDENCYPART_ARC
(7,4),-0.606502 # DEPENDENCYPART_ARC
(7,5),-0.116782 # DEPENDENCYPART_ARC
(7,6),1.02058 # DEPENDENCYPART_ARC
(7,8),1.22621 # DEPENDENCYPART_ARC
(7,9),-0.650965 # DEPENDENCYPART_ARC
(7,10),-1.85537 # DEPENDENCYPART_ARC
(7,11),-0.0242306 # DEPENDENCYPART_ARC
(7,12),0.385697 # DEPENDENCYPART_ARC
(7,13),-0.617929 # DEPENDENCYPART_ARC
(7,14),-2.2978 # DEPENDENCYPART_ARC
(7,15),-1.24041 # DEPENDENCYPART_ARC
(7,16),-0.564803 # DEPENDENCYPART_ARC
(7,17),-3.39208 # DEPENDENCYPART_ARC
(7,18),-2.92636 # DEPENDENCYPART_ARC
(7,19),-1.61686 # DEPENDENCYPART_ARC
(7,20),-1.46425 # DEPENDENCYPART_ARC
(7,21),-1.42172 # DEPENDENCYPART_ARC
(7,22),-4.85145 # DEPENDENCYPART_ARC
(7,23),-1.75387 # DEPENDENCYPART_ARC
(7,24),-2.08885 # DEPENDENCYPART_ARC
(7,25),-2.14377 # DEPENDENCYPART_ARC
(7,26),-3.20617 # DEPENDENCYPART_ARC
(7,27),-2.39603 # DEPENDENCYPART_ARC
(7,28),-3.9382 # DEPENDENCYPART_ARC
(7,29),-3.97381 # DEPENDENCYPART_ARC
(7,30),-2.3145 # DEPENDENCYPART_ARC
(7,31),-6.63638 # DEPENDENCYPART_ARC
(7,32),-3.56388 # DEPENDENCYPART_ARC
(7,33),-2.60752 # DEPENDENCYPART_ARC
(7,34),-4.88832 # DEPENDENCYPART_ARC
(7,35),-4.00549 # DEPENDENCYPART_ARC
(7,36),-3.2482 # DEPENDENCYPART_ARC
(7,37),-2.25153 # DEPENDENCYPART_ARC
(7,38),-4.10411 # DEPENDENCYPART_ARC
(7,39),-2.86221 # DEPENDENCYPART_ARC
(7,40),-2.29183 # DEPENDENCYPART_ARC
(8,1),-0.626254 # DEPENDENCYPART_ARC
(8,2),-1.0514 # DEPENDENCYPART_ARC
(8,3),0.430048 # DEPENDENCYPART_ARC
(8,4),0.253685 # DEPENDENCYPART_ARC
(8,5),0.22142 # DEPENDENCYPART_ARC
(8,6),3.74015 # DEPENDENCYPART_ARC
(8,7),4.90822 # DEPENDENCYPART_ARC
(8,9),3.75105 # DEPENDENCYPART_ARC
(8,10),0.196461 # DEPENDENCYPART_ARC
(8,11),1.54856 # DEPENDENCYPART_ARC
(8,12),1.42439 # DEPENDENCYPART_ARC
(8,13),1.43064 # DEPENDENCYPART_ARC
(8,14),0.819756 # DEPENDENCYPART_ARC
(8,15),-0.143239 # DEPENDENCYPART_ARC
(8,16),-0.830819 # DEPENDENCYPART_ARC
(8,17),-0.815912 # DEPENDENCYPART_ARC
(8,18),-1.57463 # DEPENDENCYPART_ARC
(8,19),0.214892 # DEPENDENCYPART_ARC
(8,20),-1.18549 # DEPENDENCYPART_ARC
(8,21),-0.70241 # DEPENDENCYPART_ARC
(8,22),-1.29109 # DEPENDENCYPART_ARC
(8,23),-1.0037 # DEPENDENCYPART_ARC
(8,24),-1.43032 # DEPENDENCYPART_ARC
(8,25),-0.304721 # DEPENDENCYPART_ARC
(8,26),-2.06399 # DEPENDENCYPART_ARC
(8,27),-0.832316 # DEPENDENCYPART_ARC
(8,28),0.9466 # DEPENDENCYPART_ARC
(8,29),-3.26434 # DEPENDENCYPART_ARC
(8,30),-1.06961 # DEPENDENCYPART_ARC
(8,31),-3.3261 # DEPENDENCYPART_ARC
(8,32),-3.00224 # DEPENDENCYPART_ARC
(8,33),-0.974154 # DEPENDENCYPART_ARC
(8,34),-0.705046 # DEPENDENCYPART_ARC
(8,35),-3.76513 # DEPENDENCYPART_ARC
(8,36),-1.08214 # DEPENDENCYPART_ARC
(8,37),-2.09185 # DEPENDENCYPART_ARC
(8,38),-3.67838 # DEPENDENCYPART_ARC
(8,39),-1.44476 # DEPENDENCYPART_ARC
(8,40),0.963063 # DEPENDENCYPART_ARC
(9,1),-1.29152 # DEPENDENCYPART_ARC
(9,2),-1.09931 # DEPENDENCYPART_ARC
(9,3),-0.389101 # DEPENDENCYPART_ARC
(9,4),-0.790001 # DEPENDENCYPART_ARC
(9,5),-0.624523 # DEPENDENCYPART_ARC
(9,6),-0.590533 # DEPENDENCYPART_ARC
(9,7),-0.437233 # DEPENDENCYPART_ARC
(9,8),-0.141779 # DEPENDENCYPART_ARC
(9,10),0.363481 # DEPENDENCYPART_ARC
(9,11),4.73157 # DEPENDENCYPART_ARC
(9,12),-0.694673 # DEPENDENCYPART_ARC
(9,13),-0.306986 # DEPENDENCYPART_ARC
(9,14),-0.978214 # DEPENDENCYPART_ARC
(9,15),-1.03782 # DEPENDENCYPART_ARC
(9,16),1.22701 # DEPENDENCYPART_ARC
(9,17),0.963883 # DEPENDENCYPART_ARC
(9,18),-3.15519 # DEPENDENCYPART_ARC
(9,19),-1.95912 # DEPENDENCYPART_ARC
(9,20),-1.61998 # DEPENDENCYPART_ARC
(9,21),-3.90022 # DEPENDENCYPART_ARC
(9,22),-0.754859 # DEPENDENCYPART_ARC
(9,23),-1.07632 # DEPENDENCYPART_ARC
(9,24),-3.3755 # DEPENDENCYPART_ARC
(9,25),-2.95248 # DEPENDENCYPART_ARC
(9,26),-2.99768 # DEPENDENCYPART_ARC
(9,27),-5.66596 # DEPENDENCYPART_ARC
(9,28),-2.53781 # DEPENDENCYPART_ARC
(9,29),-3.31922 # DEPENDENCYPART_ARC
(9,30),-7.39209 # DEPENDENCYPART_ARC
(9,31),-2.00007 # DEPENDENCYPART_ARC
(9,32),-3.3081 # DEPENDENCYPART_ARC
(9,33),-8.92355 # DEPENDENCYPART_ARC
(9,34),-3.48752 # DEPENDENCYPART_ARC
(9,35),-3.08157 # DEPENDENCYPART_ARC
(9,36),-10.5657 # DEPENDENCYPART_ARC
(9,37),-2.22685 # DEPENDENCYPART_ARC
(9,38),-2.70681 # DEPENDENCYPART_ARC
(9,39),-12.6768 # DEPENDENCYPART_ARC
(9,40),-0.976845 # DEPENDENCYPART_ARC
(10,1),-2.38912 # DEPENDENCYPART_ARC
(10,6),-1.83846 # DEPENDENCYPART_ARC
(10,7),-1.42723 # DEPENDENCYPART_ARC
(10,8),-0.946091 # DEPENDENCYPART_ARC
(10,9),0.0635881 # DEPENDENCYPART_ARC
(10,11),0.693481 # DEPENDENCYPART_ARC
(10,14),-2.86157 # DEPENDENCYPART_ARC
(10,15),-2.77556 # DEPENDENCYPART_ARC
(10,16),-2.62091 # DEPENDENCYPART_ARC
(10,17),-3.57 # DEPENDENCYPART_ARC
(10,18),-3.01493 # DEPENDENCYPART_ARC
(10,19),-3.41512 # DEPENDENCYPART_ARC
(10,22),-4.63397 # DEPENDENCYPART_ARC
(10,23),-3.33384 # DEPENDENCYPART_ARC
(10,26),-5.24456 # DEPENDENCYPART_ARC
(10,27),-2.98788 # DEPENDENCYPART_ARC
(10,28),-5.37453 # DEPENDENCYPART_ARC
(10,29),-5.99796 # DEPENDENCYPART_ARC
(10,30),-3.82956 # DEPENDENCYPART_ARC
(10,31),-5.65444 # DEPENDENCYPART_ARC
(10,32),-6.27578 # DEPENDENCYPART_ARC
(10,33),-3.77505 # DEPENDENCYPART_ARC
(10,34),-6.89485 # DEPENDENCYPART_ARC
(10,35),-6.66754 # DEPENDENCYPART_ARC
(10,36),-5.50646 # DEPENDENCYPART_ARC
(10,37),-4.17004 # DEPENDENCYPART_ARC
(10,38),-7.5189 # DEPENDENCYPART_ARC
(10,39),-6.17968 # DEPENDENCYPART_ARC
(11,1),-1.49964 # DEPENDENCYPART_ARC
(11,2),-2.21076 # DEPENDENCYPART_ARC
(11,3),-0.738339 # DEPENDENCYPART_ARC
(11,4),-1.43801 # DEPENDENCYPART_ARC
(11,5),-1.04273 # DEPENDENCYPART_ARC
(11,6),-0.389439 # DEPENDENCYPART_ARC
(11,7),-1.3069 # DEPENDENCYPART_ARC
(11,8),-1.11873 # DEPENDENCYPART_ARC
(11,9),0.336535 # DEPENDENCYPART_ARC
(11,10),3.49143 # DEPENDENCYPART_ARC
(11,12),-0.315661 # DEPENDENCYPART_ARC
(11,13),-0.84768 # DEPENDENCYPART_ARC
(11,14),-1.58956 # DEPENDENCYPART_ARC
(11,15),-1.63351 # DEPENDENCYPART_ARC
(11,16),-2.09286 # DEPENDENCYPART_ARC
(11,17),-3.00027 # DEPENDENCYPART_ARC
(11,18),-3.27299 # DEPENDENCYPART_ARC
(11,19),-1.3622 # DEPENDENCYPART_ARC
(11,20),-2.33834 # DEPENDENCYPART_ARC
(11,21),-1.90345 # DEPENDENCYPART_ARC
(11,22),-3.4869 # DEPENDENCYPART_ARC
(11,23),-2.61465 # DEPENDENCYPART_ARC
(11,24),-4.43126 # DEPENDENCYPART_ARC
(11,25),-3.58412 # DEPENDENCYPART_ARC
(11,26),-3.83673 # DEPENDENCYPART_ARC
(11,27),-2.619 # DEPENDENCYPART_ARC
(11,28),-2.29085 # DEPENDENCYPART_ARC
(11,29),-4.14842 # DEPENDENCYPART_ARC
(11,30),-2.5609 # DEPENDENCYPART_ARC
(11,31),-5.67478 # DEPENDENCYPART_ARC
(11,32),-4.6562 # DEPENDENCYPART_ARC
(11,33),-2.7493 # DEPENDENCYPART_ARC
(11,34),-3.88366 # DEPENDENCYPART_ARC
(11,35),-4.83 # DEPENDENCYPART_ARC
(11,36),-2.84645 # DEPENDENCYPART_ARC
(11,37),-2.94282 # DEPENDENCYPART_ARC
(11,38),-4.8835 # DEPENDENCYPART_ARC
(11,39),-2.92028 # DEPENDENCYPART_ARC
(11,40),0.415117 # DEPENDENCYPART_ARC
(12,1),-2.4176 # DEPENDENCYPART_ARC
(12,2),-2.78451 # DEPENDENCYPART_ARC
(12,3),0.374961 # DEPENDENCYPART_ARC
(12,4),0.276263 # DEPENDENCYPART_ARC
(12,5),0.343759 # DEPENDENCYPART_ARC
(12,6),-3.85727 # DEPENDENCYPART_ARC
(12,7),-2.49603 # DEPENDENCYPART_ARC
(12,8),-0.796435 # DEPENDENCYPART_ARC
(12,9),-2.38481 # DEPENDENCYPART_ARC
(12,10),-1.86172 # DEPENDENCYPART_ARC
(12,11),-0.118714 # DEPENDENCYPART_ARC
(12,13),0.168756 # DEPENDENCYPART_ARC
(12,14),-1.02636 # DEPENDENCYPART_ARC
(12,15),-1.25737 # DEPENDENCYPART_ARC
(12,16),-0.831083 # DEPENDENCYPART_ARC
(12,17),-2.52252 # DEPENDENCYPART_ARC
(12,18),-4.98052 # DEPENDENCYPART_ARC
(12,19),-1.91003 # DEPENDENCYPART_ARC
(12,20),-1.07517 # DEPENDENCYPART_ARC
(12,22),-2.2946 # DEPENDENCYPART_ARC
(12,23),-3.20317 # DEPENDENCYPART_ARC
(12,24),-1.63566 # DEPENDENCYPART_ARC
(12,25),-2.55155 # DEPENDENCYPART_ARC
(12,26),-5.54753 # DEPENDENCYPART_ARC
(12,27),-2.81911 # DEPENDENCYPART_ARC
(12,28),-1.84632 # DEPENDENCYPART_ARC
(12,29),-5.62216 # DEPENDENCYPART_ARC
(12,30),-3.52478 # DEPENDENCYPART_ARC
(12,31),-3.62734 # DEPENDENCYPART_ARC
(12,32),-5.67301 # DEPENDENCYPART_ARC
(12,33),-3.13236 # DEPENDENCYPART_ARC
(12,34),-3.44788 # DEPENDENCYPART_ARC
(12,35),-5.95414 # DEPENDENCYPART_ARC
(12,36),-3.15509 # DEPENDENCYPART_ARC
(12,37),-2.50186 # DEPENDENCYPART_ARC
(12,38),-5.97615 # DEPENDENCYPART_ARC
(12,39),-4.73986 # DEPENDENCYPART_ARC
(12,40),3.01668 # DEPENDENCYPART_ARC
(13,1),0.842977 # DEPENDENCYPART_ARC
(13,2),0.367904 # DEPENDENCYPART_ARC
(13,3),3.02942 # DEPENDENCYPART_ARC
(13,4),3.21241 # DEPENDENCYPART_ARC
(13,5),2.65237 # DEPENDENCYPART_ARC
(13,6),-0.579107 # DEPENDENCYPART_ARC
(13,7),0.732238 # DEPENDENCYPART_ARC
(13,8),1.47796 # DEPENDENCYPART_ARC
(13,9),0.581058 # DEPENDENCYPART_ARC
(13,10),0.892089 # DEPENDENCYPART_ARC
(13,11),2.88137 # DEPENDENCYPART_ARC
(13,12),5.75949 # DEPENDENCYPART_ARC
(13,14),2.65995 # DEPENDENCYPART_ARC
(13,15),2.65121 # DEPENDENCYPART_ARC
(13,16),1.44837 # DEPENDENCYPART_ARC
(13,17),-0.133794 # DEPENDENCYPART_ARC
(13,18),-1.92165 # DEPENDENCYPART_ARC
(13,19),1.06866 # DEPENDENCYPART_ARC
(13,20),0.637858 # DEPENDENCYPART_ARC
(13,21),-0.139025 # DEPENDENCYPART_ARC
(13,22),0.0814571 # DEPENDENCYPART_ARC
(13,23),-1.32598 # DEPENDENCYPART_ARC
(13,24),0.893092 # DEPENDENCYPART_ARC
(13,25),-0.0114382 # DEPENDENCYPART_ARC
(13,26),-2.94772 # DEPENDENCYPART_ARC
(13,27),-0.0277758 # DEPENDENCYPART_ARC
(13,28),0.573857 # DEPENDENCYPART_ARC
(13,29),-3.13527 # DEPENDENCYPART_ARC
(13,30),-0.825524 # DEPENDENCYPART_ARC
(13,31),-1.19959 # DEPENDENCYPART_ARC
(13,32),-3.04126 # DEPENDENCYPART_ARC
(13,33),-0.775785 # DEPENDENCYPART_ARC
(13,34),-0.907462 # DEPENDENCYPART_ARC
(13,35),-2.81815 # DEPENDENCYPART_ARC
(13,36),-0.423791 # DEPENDENCYPART_ARC
(13,37),-1.61115 # DEPENDENCYPART_ARC
(13,38),-2.88836 # DEPENDENCYPART_ARC
(13,39),-2.11073 # DEPENDENCYPART_ARC
(13,40),7.60131 # DEPENDENCYPART_ARC
(14,1),-2.71728 # DEPENDENCYPART_ARC
(14,2),-3.873 # DEPENDENCYPART_ARC
(14,3),-1.8423 # DEPENDENCYPART_ARC
(14,4),-2.85379 # DEPENDENCYPART_ARC
(14,5),-2.31542 # DEPENDENCYPART_ARC
(14,6),-2.84034 # DEPENDENCYPART_ARC
(14,7),-2.78344 # DEPENDENCYPART_ARC
(14,8),-2.65269 # DEPENDENCYPART_ARC
(14,9),-2.17687 # DEPENDENCYPART_ARC
(14,10),-1.78607 # DEPENDENCYPART_ARC
(14,11),-2.33816 # DEPENDENCYPART_ARC
(14,12),-2.11018 # DEPENDENCYPART_ARC
(14,13),-0.865622 # DEPENDENCYPART_ARC
(14,15),5.29052 # DEPENDENCYPART_ARC
(14,16),2.29026 # DEPENDENCYPART_ARC
(14,17),1.56505 # DEPENDENCYPART_ARC
(14,18),-2.45124 # DEPENDENCYPART_ARC
(14,19),-0.434345 # DEPENDENCYPART_ARC
(14,20),-0.347685 # DEPENDENCYPART_ARC
(14,21),-3.46035 # DEPENDENCYPART_ARC
(14,22),-0.594193 # DEPENDENCYPART_ARC
(14,23),-0.461265 # DEPENDENCYPART_ARC
(14,24),-1.57429 # DEPENDENCYPART_ARC
(14,25),-1.22094 # DEPENDENCYPART_ARC
(14,26),-3.34328 # DEPENDENCYPART_ARC
(14,27),-5.89479 # DEPENDENCYPART_ARC
(14,28),-1.85971 # DEPENDENCYPART_ARC
(14,29),-2.99333 # DEPENDENCYPART_ARC
(14,30),-7.1069 # DEPENDENCYPART_ARC
(14,31),-1.44951 # DEPENDENCYPART_ARC
(14,32),-3.50473 # DEPENDENCYPART_ARC
(14,33),-9.66739 # DEPENDENCYPART_ARC
(14,34),-2.70624 # DEPENDENCYPART_ARC
(14,35),-3.9348 # DEPENDENCYPART_ARC
(14,36),-11.6997 # DEPENDENCYPART_ARC
(14,37),-2.09648 # DEPENDENCYPART_ARC
(14,38),-3.68877 # DEPENDENCYPART_ARC
(14,39),-14.2636 # DEPENDENCYPART_ARC
(14,40),0.432004 # DEPENDENCYPART_ARC
(15,1),-2.37176 # DEPENDENCYPART_ARC
(15,2),-2.95832 # DEPENDENCYPART_ARC
(15,3),-1.29036 # DEPENDENCYPART_ARC
(15,4),-2.59742 # DEPENDENCYPART_ARC
(15,5),-1.76043 # DEPENDENCYPART_ARC
(15,6),-3.41933 # DEPENDENCYPART_ARC
(15,7),-1.93123 # DEPENDENCYPART_ARC
(15,8),-2.62889 # DEPENDENCYPART_ARC
(15,9),-1.00784 # DEPENDENCYPART_ARC
(15,10),-1.20261 # DEPENDENCYPART_ARC
(15,11),-2.03913 # DEPENDENCYPART_ARC
(15,12),-1.86041 # DEPENDENCYPART_ARC
(15,13),-1.01555 # DEPENDENCYPART_ARC
(15,14),0.581491 # DEPENDENCYPART_ARC
(15,16),0.0879922 # DEPENDENCYPART_ARC
(15,17),0.131621 # DEPENDENCYPART_ARC
(15,18),-2.02334 # DEPENDENCYPART_ARC
(15,19),0.568624 # DEPENDENCYPART_ARC
(15,20),-1.32294 # DEPENDENCYPART_ARC
(15,21),-1.00969 # DEPENDENCYPART_ARC
(15,22),-0.572581 # DEPENDENCYPART_ARC
(15,23),-1.47124 # DEPENDENCYPART_ARC
(15,24),-0.459331 # DEPENDENCYPART_ARC
(15,25),-0.340169 # DEPENDENCYPART_ARC
(15,26),-3.3884 # DEPENDENCYPART_ARC
(15,27),-2.16178 # DEPENDENCYPART_ARC
(15,28),-0.455386 # DEPENDENCYPART_ARC
(15,29),-3.10643 # DEPENDENCYPART_ARC
(15,30),-2.07674 # DEPENDENCYPART_ARC
(15,31),-2.78592 # DEPENDENCYPART_ARC
(15,32),-3.98835 # DEPENDENCYPART_ARC
(15,33),-2.21053 # DEPENDENCYPART_ARC
(15,34),-1.57442 # DEPENDENCYPART_ARC
