# _root_ El diari també informa que l' executiu i la top , que fa poc va despatxar el_seu festeig amb el playboy Tim_Jeffries , van passar la nit de Cap_d'_Any al Palast-Hotel de Saint_Moritz .
#goldHeads=2,4,4,0,25,7,25,7,10,7,16,16,14,16,16,10,18,16,16,21,19,21,16,25,4,27,25,27,28,25,30,31,32,4,
#predictedHeads=2,4,4,0,16,7,4,7,10,7,4,16,4,16,16,4,18,16,16,21,19,21,16,25,21,27,25,27,28,25,30,31,32,4,
(3,27),-3.18645 # DEPENDENCYPART_ARC
(3,28),-5.50626 # DEPENDENCYPART_ARC
(3,29),-3.15967 # DEPENDENCYPART_ARC
(3,30),-4.73345 # DEPENDENCYPART_ARC
(3,31),-3.26206 # DEPENDENCYPART_ARC
(3,32),-6.18301 # DEPENDENCYPART_ARC
(3,33),-2.96179 # DEPENDENCYPART_ARC
(3,34),-2.1042 # DEPENDENCYPART_ARC
(4,1),0.665828 # DEPENDENCYPART_ARC
(4,2),2.51544 # DEPENDENCYPART_ARC
(4,3),3.14603 # DEPENDENCYPART_ARC
(4,5),1.19449 # DEPENDENCYPART_ARC
(4,6),0.43791 # DEPENDENCYPART_ARC
(4,7),1.3487 # DEPENDENCYPART_ARC
(4,8),2.15344 # DEPENDENCYPART_ARC
(4,9),-1.22173 # DEPENDENCYPART_ARC
(4,10),-0.359304 # DEPENDENCYPART_ARC
(4,11),1.9525 # DEPENDENCYPART_ARC
(4,12),-1.36332 # DEPENDENCYPART_ARC
(4,13),3.41917 # DEPENDENCYPART_ARC
(4,14),-0.206915 # DEPENDENCYPART_ARC
(4,15),2.26318 # DEPENDENCYPART_ARC
(4,16),2.25685 # DEPENDENCYPART_ARC
(4,17),-1.67061 # DEPENDENCYPART_ARC
(4,18),-1.24178 # DEPENDENCYPART_ARC
(4,19),-0.378196 # DEPENDENCYPART_ARC
(4,20),-2.54416 # DEPENDENCYPART_ARC
(4,21),-1.521 # DEPENDENCYPART_ARC
(4,22),-1.89456 # DEPENDENCYPART_ARC
(4,23),0.998688 # DEPENDENCYPART_ARC
(4,24),1.09307 # DEPENDENCYPART_ARC
(4,25),0.15035 # DEPENDENCYPART_ARC
(4,26),-2.43553 # DEPENDENCYPART_ARC
(4,27),-1.72108 # DEPENDENCYPART_ARC
(4,28),-2.49113 # DEPENDENCYPART_ARC
(4,29),-2.6444 # DEPENDENCYPART_ARC
(4,30),-1.95469 # DEPENDENCYPART_ARC
(4,31),-2.80684 # DEPENDENCYPART_ARC
(4,32),-2.9104 # DEPENDENCYPART_ARC
(4,33),-3.21527 # DEPENDENCYPART_ARC
(4,34),7.35668 # DEPENDENCYPART_ARC
(5,1),-2.96895 # DEPENDENCYPART_ARC
(5,2),-3.01095 # DEPENDENCYPART_ARC
(5,3),-1.91961 # DEPENDENCYPART_ARC
(5,4),-1.38145 # DEPENDENCYPART_ARC
(5,6),-1.09113 # DEPENDENCYPART_ARC
(5,7),-0.794458 # DEPENDENCYPART_ARC
(5,8),-0.000299947 # DEPENDENCYPART_ARC
(5,9),-2.35435 # DEPENDENCYPART_ARC
(5,10),-2.27259 # DEPENDENCYPART_ARC
(5,11),-0.935017 # DEPENDENCYPART_ARC
(5,12),-1.82076 # DEPENDENCYPART_ARC
(5,13),-0.598647 # DEPENDENCYPART_ARC
(5,14),-2.44126 # DEPENDENCYPART_ARC
(5,15),-1.33524 # DEPENDENCYPART_ARC
(5,16),-1.35925 # DEPENDENCYPART_ARC
(5,17),-3.2118 # DEPENDENCYPART_ARC
(5,18),-4.38755 # DEPENDENCYPART_ARC
(5,19),-1.69714 # DEPENDENCYPART_ARC
(5,20),-3.32829 # DEPENDENCYPART_ARC
(5,21),-4.90585 # DEPENDENCYPART_ARC
(5,22),-4.79333 # DEPENDENCYPART_ARC
(5,23),-1.99635 # DEPENDENCYPART_ARC
(5,24),-2.1366 # DEPENDENCYPART_ARC
(5,25),-1.73312 # DEPENDENCYPART_ARC
(5,26),-3.54945 # DEPENDENCYPART_ARC
(5,27),-5.87949 # DEPENDENCYPART_ARC
(5,28),-2.14481 # DEPENDENCYPART_ARC
(5,29),-6.04414 # DEPENDENCYPART_ARC
(5,30),-1.29204 # DEPENDENCYPART_ARC
(5,31),-6.27065 # DEPENDENCYPART_ARC
(5,32),-2.4898 # DEPENDENCYPART_ARC
(5,33),-6.34809 # DEPENDENCYPART_ARC
(5,34),-1.57835 # DEPENDENCYPART_ARC
(6,1),-0.53277 # DEPENDENCYPART_ARC
(6,2),-1.9574 # DEPENDENCYPART_ARC
(6,3),-1.36862 # DEPENDENCYPART_ARC
(6,4),-0.18473 # DEPENDENCYPART_ARC
(6,5),0.131072 # DEPENDENCYPART_ARC
(6,7),0.0267977 # DEPENDENCYPART_ARC
(6,8),-0.466043 # DEPENDENCYPART_ARC
(6,9),0.0923804 # DEPENDENCYPART_ARC
(6,10),-1.87902 # DEPENDENCYPART_ARC
(6,11),-1.99096 # DEPENDENCYPART_ARC
(6,12),-2.59338 # DEPENDENCYPART_ARC
(6,13),-2.56409 # DEPENDENCYPART_ARC
(6,14),-2.64364 # DEPENDENCYPART_ARC
(6,15),-3.09765 # DEPENDENCYPART_ARC
(6,16),-2.71527 # DEPENDENCYPART_ARC
(6,17),-2.90328 # DEPENDENCYPART_ARC
(6,18),-3.59131 # DEPENDENCYPART_ARC
(6,19),-4.11477 # DEPENDENCYPART_ARC
(6,20),-4.09114 # DEPENDENCYPART_ARC
(6,21),-4.33742 # DEPENDENCYPART_ARC
(6,22),-4.74465 # DEPENDENCYPART_ARC
(6,23),-3.72514 # DEPENDENCYPART_ARC
(6,24),-4.04756 # DEPENDENCYPART_ARC
(6,25),-3.43063 # DEPENDENCYPART_ARC
(6,26),-5.16929 # DEPENDENCYPART_ARC
(6,27),-4.08139 # DEPENDENCYPART_ARC
(6,28),-4.09653 # DEPENDENCYPART_ARC
(6,29),-4.86886 # DEPENDENCYPART_ARC
(6,30),-5.83704 # DEPENDENCYPART_ARC
(6,31),-5.12582 # DEPENDENCYPART_ARC
(6,32),-4.88956 # DEPENDENCYPART_ARC
(6,33),-5.86724 # DEPENDENCYPART_ARC
(6,34),-4.74371 # DEPENDENCYPART_ARC
(7,1),-1.14274 # DEPENDENCYPART_ARC
(7,2),-1.3355 # DEPENDENCYPART_ARC
(7,3),0.878832 # DEPENDENCYPART_ARC
(7,4),-0.0614714 # DEPENDENCYPART_ARC
(7,5),1.9777 # DEPENDENCYPART_ARC
(7,6),4.51453 # DEPENDENCYPART_ARC
(7,8),3.03611 # DEPENDENCYPART_ARC
(7,9),-0.112025 # DEPENDENCYPART_ARC
(7,10),2.53058 # DEPENDENCYPART_ARC
(7,11),0.639783 # DEPENDENCYPART_ARC
(7,12),-0.631591 # DEPENDENCYPART_ARC
(7,13),1.77055 # DEPENDENCYPART_ARC
(7,14),-0.171984 # DEPENDENCYPART_ARC
(7,15),-0.0336278 # DEPENDENCYPART_ARC
(7,16),0.402622 # DEPENDENCYPART_ARC
(7,17),0.51359 # DEPENDENCYPART_ARC
(7,18),0.435557 # DEPENDENCYPART_ARC
(7,19),0.091155 # DEPENDENCYPART_ARC
(7,20),-1.70766 # DEPENDENCYPART_ARC
(7,21),0.355974 # DEPENDENCYPART_ARC
(7,22),0.778558 # DEPENDENCYPART_ARC
(7,23),0.163376 # DEPENDENCYPART_ARC
(7,24),-3.19582 # DEPENDENCYPART_ARC
(7,25),-2.44664 # DEPENDENCYPART_ARC
(7,26),-2.45636 # DEPENDENCYPART_ARC
(7,27),-0.180261 # DEPENDENCYPART_ARC
(7,28),-2.51655 # DEPENDENCYPART_ARC
(7,29),-0.534592 # DEPENDENCYPART_ARC
(7,30),-1.74903 # DEPENDENCYPART_ARC
(7,31),-0.657521 # DEPENDENCYPART_ARC
(7,32),-3.71693 # DEPENDENCYPART_ARC
(7,33),-0.258483 # DEPENDENCYPART_ARC
(7,34),2.78226 # DEPENDENCYPART_ARC
(8,1),-3.56069 # DEPENDENCYPART_ARC
(8,2),-3.56491 # DEPENDENCYPART_ARC
(8,3),-2.84433 # DEPENDENCYPART_ARC
(8,4),-2.96455 # DEPENDENCYPART_ARC
(8,5),-1.95679 # DEPENDENCYPART_ARC
(8,6),-1.40888 # DEPENDENCYPART_ARC
(8,7),-1.52886 # DEPENDENCYPART_ARC
(8,9),-2.29125 # DEPENDENCYPART_ARC
(8,10),-1.20221 # DEPENDENCYPART_ARC
(8,11),-1.6086 # DEPENDENCYPART_ARC
(8,12),-2.30812 # DEPENDENCYPART_ARC
(8,13),-1.58096 # DEPENDENCYPART_ARC
(8,14),-3.52449 # DEPENDENCYPART_ARC
(8,15),-2.74314 # DEPENDENCYPART_ARC
(8,16),-2.97341 # DEPENDENCYPART_ARC
(8,17),-4.39976 # DEPENDENCYPART_ARC
(8,18),-4.30325 # DEPENDENCYPART_ARC
(8,19),-3.62764 # DEPENDENCYPART_ARC
(8,20),-4.55577 # DEPENDENCYPART_ARC
(8,21),-4.81256 # DEPENDENCYPART_ARC
(8,22),-4.77955 # DEPENDENCYPART_ARC
(8,23),-2.66571 # DEPENDENCYPART_ARC
(8,24),-3.71236 # DEPENDENCYPART_ARC
(8,25),-3.47593 # DEPENDENCYPART_ARC
(8,26),-4.67522 # DEPENDENCYPART_ARC
(8,27),-5.80725 # DEPENDENCYPART_ARC
(8,28),-4.11745 # DEPENDENCYPART_ARC
(8,29),-5.92669 # DEPENDENCYPART_ARC
(8,30),-3.78792 # DEPENDENCYPART_ARC
(8,31),-6.1876 # DEPENDENCYPART_ARC
(8,32),-4.62132 # DEPENDENCYPART_ARC
(8,33),-6.26891 # DEPENDENCYPART_ARC
(8,34),-2.48291 # DEPENDENCYPART_ARC
(9,1),-1.98803 # DEPENDENCYPART_ARC
(9,2),-2.78736 # DEPENDENCYPART_ARC
(9,3),-2.51987 # DEPENDENCYPART_ARC
(9,4),-2.43591 # DEPENDENCYPART_ARC
(9,5),-1.43324 # DEPENDENCYPART_ARC
(9,6),-0.989352 # DEPENDENCYPART_ARC
(9,7),-1.31524 # DEPENDENCYPART_ARC
(9,8),0.074923 # DEPENDENCYPART_ARC
(9,10),-0.581974 # DEPENDENCYPART_ARC
(9,11),-1.96006 # DEPENDENCYPART_ARC
(9,12),-2.9214 # DEPENDENCYPART_ARC
(9,13),-2.746 # DEPENDENCYPART_ARC
(9,14),-2.77044 # DEPENDENCYPART_ARC
(9,15),-3.82536 # DEPENDENCYPART_ARC
(9,16),-3.40218 # DEPENDENCYPART_ARC
(9,17),-2.94321 # DEPENDENCYPART_ARC
(9,18),-4.10616 # DEPENDENCYPART_ARC
(9,19),-4.11616 # DEPENDENCYPART_ARC
(9,20),-4.50636 # DEPENDENCYPART_ARC
(9,21),-5.1028 # DEPENDENCYPART_ARC
(9,22),-5.33671 # DEPENDENCYPART_ARC
(9,23),-4.48354 # DEPENDENCYPART_ARC
(9,24),-5.05961 # DEPENDENCYPART_ARC
(9,25),-4.22971 # DEPENDENCYPART_ARC
(9,26),-4.4147 # DEPENDENCYPART_ARC
(9,27),-4.91656 # DEPENDENCYPART_ARC
(9,28),-3.95388 # DEPENDENCYPART_ARC
(9,29),-5.69009 # DEPENDENCYPART_ARC
(9,30),-5.68408 # DEPENDENCYPART_ARC
(9,31),-5.93443 # DEPENDENCYPART_ARC
(9,32),-4.70649 # DEPENDENCYPART_ARC
(9,33),-6.85338 # DEPENDENCYPART_ARC
(9,34),-5.69207 # DEPENDENCYPART_ARC
(10,1),-2.11782 # DEPENDENCYPART_ARC
(10,2),-1.60105 # DEPENDENCYPART_ARC
(10,3),0.190234 # DEPENDENCYPART_ARC
(10,4),-0.482775 # DEPENDENCYPART_ARC
(10,5),1.08253 # DEPENDENCYPART_ARC
(10,6),1.55111 # DEPENDENCYPART_ARC
(10,7),-0.496789 # DEPENDENCYPART_ARC
(10,8),1.13335 # DEPENDENCYPART_ARC
(10,9),5.18748 # DEPENDENCYPART_ARC
(10,11),0.625242 # DEPENDENCYPART_ARC
(10,12),-0.224665 # DEPENDENCYPART_ARC
(10,13),2.32741 # DEPENDENCYPART_ARC
(10,14),0.0193248 # DEPENDENCYPART_ARC
(10,15),0.536844 # DEPENDENCYPART_ARC
(10,16),0.940212 # DEPENDENCYPART_ARC
(10,17),-0.0773546 # DEPENDENCYPART_ARC
(10,18),-0.115512 # DEPENDENCYPART_ARC
(10,19),-0.0796623 # DEPENDENCYPART_ARC
(10,20),-1.91246 # DEPENDENCYPART_ARC
(10,21),-0.0611923 # DEPENDENCYPART_ARC
(10,22),0.31391 # DEPENDENCYPART_ARC
(10,23),0.153477 # DEPENDENCYPART_ARC
(10,24),-2.93521 # DEPENDENCYPART_ARC
(10,25),-1.94493 # DEPENDENCYPART_ARC
(10,26),-2.26147 # DEPENDENCYPART_ARC
(10,27),-0.867588 # DEPENDENCYPART_ARC
(10,28),-2.26199 # DEPENDENCYPART_ARC
(10,29),-0.854667 # DEPENDENCYPART_ARC
(10,30),-1.8374 # DEPENDENCYPART_ARC
(10,31),-1.07517 # DEPENDENCYPART_ARC
(10,32),-3.57483 # DEPENDENCYPART_ARC
(10,33),-0.848016 # DEPENDENCYPART_ARC
(10,34),1.08273 # DEPENDENCYPART_ARC
(11,1),-2.72108 # DEPENDENCYPART_ARC
(11,2),-2.95392 # DEPENDENCYPART_ARC
(11,3),-2.44187 # DEPENDENCYPART_ARC
(11,4),-2.44451 # DEPENDENCYPART_ARC
(11,5),-1.59609 # DEPENDENCYPART_ARC
(11,6),-1.79039 # DEPENDENCYPART_ARC
(11,7),-2.23638 # DEPENDENCYPART_ARC
(11,8),-1.25159 # DEPENDENCYPART_ARC
(11,9),-0.743219 # DEPENDENCYPART_ARC
(11,10),-1.03403 # DEPENDENCYPART_ARC
(11,12),0.309527 # DEPENDENCYPART_ARC
(11,13),-0.133356 # DEPENDENCYPART_ARC
(11,14),-0.937407 # DEPENDENCYPART_ARC
(11,15),-0.691046 # DEPENDENCYPART_ARC
(11,16),-0.919822 # DEPENDENCYPART_ARC
(11,17),-1.69924 # DEPENDENCYPART_ARC
(11,18),-1.22361 # DEPENDENCYPART_ARC
(11,19),-1.32228 # DEPENDENCYPART_ARC
(11,20),-1.87186 # DEPENDENCYPART_ARC
(11,21),-1.34229 # DEPENDENCYPART_ARC
(11,22),-1.38275 # DEPENDENCYPART_ARC
(11,23),-1.32439 # DEPENDENCYPART_ARC
(11,24),-1.18192 # DEPENDENCYPART_ARC
(11,25),-1.18411 # DEPENDENCYPART_ARC
(11,26),-1.97393 # DEPENDENCYPART_ARC
(11,27),-1.43263 # DEPENDENCYPART_ARC
(11,28),-1.45883 # DEPENDENCYPART_ARC
(11,29),-1.53981 # DEPENDENCYPART_ARC
(11,30),-1.51406 # DEPENDENCYPART_ARC
(11,31),-1.64304 # DEPENDENCYPART_ARC
(11,32),-1.6462 # DEPENDENCYPART_ARC
(11,33),-1.76614 # DEPENDENCYPART_ARC
(11,34),-1.75505 # DEPENDENCYPART_ARC
(12,1),-4.57903 # DEPENDENCYPART_ARC
(12,2),-3.57706 # DEPENDENCYPART_ARC
(12,3),-2.50783 # DEPENDENCYPART_ARC
(12,4),-1.63618 # DEPENDENCYPART_ARC
(12,5),-0.982643 # DEPENDENCYPART_ARC
(12,6),-2.94189 # DEPENDENCYPART_ARC
(12,7),-3.16596 # DEPENDENCYPART_ARC
(12,8),-1.35662 # DEPENDENCYPART_ARC
(12,9),-1.5637 # DEPENDENCYPART_ARC
(12,10),-2.39655 # DEPENDENCYPART_ARC
(12,11),-0.0175889 # DEPENDENCYPART_ARC
(12,13),1.53129 # DEPENDENCYPART_ARC
(12,14),-0.452558 # DEPENDENCYPART_ARC
(12,15),0.333201 # DEPENDENCYPART_ARC
(12,16),-0.422643 # DEPENDENCYPART_ARC
(12,17),-1.31433 # DEPENDENCYPART_ARC
(12,18),-1.8674 # DEPENDENCYPART_ARC
(12,19),-0.346 # DEPENDENCYPART_ARC
(12,20),-1.76206 # DEPENDENCYPART_ARC
(12,21),-2.16474 # DEPENDENCYPART_ARC
(12,22),-1.0584 # DEPENDENCYPART_ARC
(12,23),-0.968406 # DEPENDENCYPART_ARC
(12,24),-1.43426 # DEPENDENCYPART_ARC
(12,25),-2.13092 # DEPENDENCYPART_ARC
(12,26),-2.00408 # DEPENDENCYPART_ARC
(12,27),-2.44199 # DEPENDENCYPART_ARC
(12,28),-1.32046 # DEPENDENCYPART_ARC
(12,29),-1.76451 # DEPENDENCYPART_ARC
(12,30),-2.31622 # DEPENDENCYPART_ARC
(12,31),-1.88966 # DEPENDENCYPART_ARC
(12,32),-1.42136 # DEPENDENCYPART_ARC
(12,33),-1.84423 # DEPENDENCYPART_ARC
(12,34),-0.181108 # DEPENDENCYPART_ARC
(13,1),-3.6958 # DEPENDENCYPART_ARC
(13,2),-1.53342 # DEPENDENCYPART_ARC
(13,3),-2.03421 # DEPENDENCYPART_ARC
(13,4),-2.72521 # DEPENDENCYPART_ARC
(13,5),0.737564 # DEPENDENCYPART_ARC
(13,6),-2.78314 # DEPENDENCYPART_ARC
(13,7),-0.448846 # DEPENDENCYPART_ARC
(13,8),-1.81094 # DEPENDENCYPART_ARC
(13,9),-1.35941 # DEPENDENCYPART_ARC
(13,10),-0.354304 # DEPENDENCYPART_ARC
(13,11),0.302344 # DEPENDENCYPART_ARC
(13,12),3.00545 # DEPENDENCYPART_ARC
(13,14),1.21745 # DEPENDENCYPART_ARC
(13,15),0.839204 # DEPENDENCYPART_ARC
(13,16),0.487324 # DEPENDENCYPART_ARC
(13,17),-3.21216 # DEPENDENCYPART_ARC
(13,18),-0.195639 # DEPENDENCYPART_ARC
(13,19),0.692705 # DEPENDENCYPART_ARC
(13,20),-4.3618 # DEPENDENCYPART_ARC
(13,21),-1.15137 # DEPENDENCYPART_ARC
(13,22),-1.20098 # DEPENDENCYPART_ARC
(13,23),0.442833 # DEPENDENCYPART_ARC
(13,24),-1.00803 # DEPENDENCYPART_ARC
(13,25),-1.42774 # DEPENDENCYPART_ARC
(13,26),-4.26492 # DEPENDENCYPART_ARC
(13,27),-1.40939 # DEPENDENCYPART_ARC
(13,28),-2.67952 # DEPENDENCYPART_ARC
(13,29),-2.27942 # DEPENDENCYPART_ARC
(13,30),-1.09907 # DEPENDENCYPART_ARC
(13,31),-2.36995 # DEPENDENCYPART_ARC
(13,32),-2.79343 # DEPENDENCYPART_ARC
(13,33),-2.30944 # DEPENDENCYPART_ARC
(13,34),1.02169 # DEPENDENCYPART_ARC
(14,1),-1.79703 # DEPENDENCYPART_ARC
(14,2),-1.76606 # DEPENDENCYPART_ARC
(14,3),-1.07889 # DEPENDENCYPART_ARC
(14,4),-1.20795 # DEPENDENCYPART_ARC
(14,5),-0.475212 # DEPENDENCYPART_ARC
(14,6),-1.26902 # DEPENDENCYPART_ARC
(14,7),-1.35756 # DEPENDENCYPART_ARC
(14,8),-0.667074 # DEPENDENCYPART_ARC
(14,9),-0.872448 # DEPENDENCYPART_ARC
(14,10),-1.17973 # DEPENDENCYPART_ARC
(14,11),-0.16033 # DEPENDENCYPART_ARC
(14,12),0.158326 # DEPENDENCYPART_ARC
(14,13),1.65716 # DEPENDENCYPART_ARC
(14,15),0.369929 # DEPENDENCYPART_ARC
(14,16),-1.01648 # DEPENDENCYPART_ARC
(14,17),-1.54802 # DEPENDENCYPART_ARC
(14,18),-1.59427 # DEPENDENCYPART_ARC
(14,19),-2.07213 # DEPENDENCYPART_ARC
(14,20),-2.20925 # DEPENDENCYPART_ARC
(14,21),-1.88253 # DEPENDENCYPART_ARC
(14,22),-1.61969 # DEPENDENCYPART_ARC
(14,23),-2.01947 # DEPENDENCYPART_ARC
(14,24),-2.30026 # DEPENDENCYPART_ARC
(14,25),-2.81203 # DEPENDENCYPART_ARC
(14,26),-2.28351 # DEPENDENCYPART_ARC
(14,27),-2.3153 # DEPENDENCYPART_ARC
(14,28),-3.83725 # DEPENDENCYPART_ARC
(14,29),-2.37855 # DEPENDENCYPART_ARC
(14,30),-3.61868 # DEPENDENCYPART_ARC
(14,31),-2.40174 # DEPENDENCYPART_ARC
(14,32),-4.46565 # DEPENDENCYPART_ARC
(14,33),-2.07093 # DEPENDENCYPART_ARC
(14,34),-2.36965 # DEPENDENCYPART_ARC
(15,1),-4.46215 # DEPENDENCYPART_ARC
(15,2),-2.5743 # DEPENDENCYPART_ARC
(15,3),-3.01326 # DEPENDENCYPART_ARC
(15,4),-2.83969 # DEPENDENCYPART_ARC
(15,5),0.547749 # DEPENDENCYPART_ARC
(15,6),-3.46255 # DEPENDENCYPART_ARC
