# _root_ Escolti , jo no vull anar a rentar -me les mans , vull anar a orinar .
#goldHeads=0,5,5,5,1,5,6,7,8,11,8,5,5,13,14,15,1,
#predictedHeads=16,5,5,5,16,5,6,7,8,11,8,8,0,13,14,15,16,
(12,5),-3.50123 # DEPENDENCYPART_ARC
(12,6),-3.37845 # DEPENDENCYPART_ARC
(12,7),-2.46883 # DEPENDENCYPART_ARC
(12,8),-2.82948 # DEPENDENCYPART_ARC
(12,9),-2.12448 # DEPENDENCYPART_ARC
(12,10),-1.38576 # DEPENDENCYPART_ARC
(12,11),-1.63149 # DEPENDENCYPART_ARC
(12,13),-0.43153 # DEPENDENCYPART_ARC
(12,14),-1.51176 # DEPENDENCYPART_ARC
(12,15),-1.91601 # DEPENDENCYPART_ARC
(12,16),-1.75009 # DEPENDENCYPART_ARC
(12,17),-1.74368 # DEPENDENCYPART_ARC
(13,1),-0.277076 # DEPENDENCYPART_ARC
(13,2),-0.406075 # DEPENDENCYPART_ARC
(13,3),-0.0926982 # DEPENDENCYPART_ARC
(13,4),0.312177 # DEPENDENCYPART_ARC
(13,5),0.459687 # DEPENDENCYPART_ARC
(13,6),-0.826416 # DEPENDENCYPART_ARC
(13,7),0.584344 # DEPENDENCYPART_ARC
(13,8),0.169053 # DEPENDENCYPART_ARC
(13,9),1.16677 # DEPENDENCYPART_ARC
(13,10),0.761245 # DEPENDENCYPART_ARC
(13,11),1.07941 # DEPENDENCYPART_ARC
(13,12),0.90567 # DEPENDENCYPART_ARC
(13,14),3.35231 # DEPENDENCYPART_ARC
(13,15),2.26161 # DEPENDENCYPART_ARC
(13,16),1.18561 # DEPENDENCYPART_ARC
(13,17),2.66981 # DEPENDENCYPART_ARC
(14,1),-1.57575 # DEPENDENCYPART_ARC
(14,2),-2.49042 # DEPENDENCYPART_ARC
(14,3),-1.86032 # DEPENDENCYPART_ARC
(14,4),-0.857534 # DEPENDENCYPART_ARC
(14,5),-0.638361 # DEPENDENCYPART_ARC
(14,6),-2.31898 # DEPENDENCYPART_ARC
(14,7),-0.325658 # DEPENDENCYPART_ARC
(14,8),-1.20178 # DEPENDENCYPART_ARC
(14,9),-0.0117015 # DEPENDENCYPART_ARC
(14,10),-0.8637 # DEPENDENCYPART_ARC
(14,11),0.49449 # DEPENDENCYPART_ARC
(14,12),-1.56975 # DEPENDENCYPART_ARC
(14,13),3.15642 # DEPENDENCYPART_ARC
(14,15),4.12325 # DEPENDENCYPART_ARC
(14,16),1.10939 # DEPENDENCYPART_ARC
(14,17),2.27731 # DEPENDENCYPART_ARC
(15,1),-1.4732 # DEPENDENCYPART_ARC
(15,2),-1.88997 # DEPENDENCYPART_ARC
(15,3),-2.14078 # DEPENDENCYPART_ARC
(15,4),-0.947526 # DEPENDENCYPART_ARC
(15,5),-1.04398 # DEPENDENCYPART_ARC
(15,6),-1.60124 # DEPENDENCYPART_ARC
(15,7),-1.52587 # DEPENDENCYPART_ARC
(15,8),-0.896193 # DEPENDENCYPART_ARC
(15,9),-1.42559 # DEPENDENCYPART_ARC
(15,10),-0.0366621 # DEPENDENCYPART_ARC
(15,11),-1.17631 # DEPENDENCYPART_ARC
(15,12),-0.189701 # DEPENDENCYPART_ARC
(15,13),0.660938 # DEPENDENCYPART_ARC
(15,14),1.2431 # DEPENDENCYPART_ARC
(15,16),3.98702 # DEPENDENCYPART_ARC
(15,17),1.00962 # DEPENDENCYPART_ARC
(16,1),0.933163 # DEPENDENCYPART_ARC
(16,2),-1.42242 # DEPENDENCYPART_ARC
(16,3),0.0365538 # DEPENDENCYPART_ARC
(16,4),1.34252 # DEPENDENCYPART_ARC
(16,5),2.82399 # DEPENDENCYPART_ARC
(16,6),0.838211 # DEPENDENCYPART_ARC
(16,7),1.33435 # DEPENDENCYPART_ARC
(16,8),1.06641 # DEPENDENCYPART_ARC
(16,9),1.29977 # DEPENDENCYPART_ARC
(16,10),-0.0188875 # DEPENDENCYPART_ARC
(16,11),1.31093 # DEPENDENCYPART_ARC
(16,12),0.15949 # DEPENDENCYPART_ARC
(16,13),4.32048 # DEPENDENCYPART_ARC
(16,14),3.67038 # DEPENDENCYPART_ARC
(16,15),4.78806 # DEPENDENCYPART_ARC
(16,17),2.76968 # DEPENDENCYPART_ARC
(17,1),-5.33739 # DEPENDENCYPART_ARC
(17,2),-4.53539 # DEPENDENCYPART_ARC
(17,3),-4.71323 # DEPENDENCYPART_ARC
(17,4),-4.92192 # DEPENDENCYPART_ARC
(17,5),-5.06552 # DEPENDENCYPART_ARC
(17,6),-5.15903 # DEPENDENCYPART_ARC
(17,7),-4.10497 # DEPENDENCYPART_ARC
(17,8),-5.03885 # DEPENDENCYPART_ARC
(17,9),-4.43587 # DEPENDENCYPART_ARC
(17,10),-4.77684 # DEPENDENCYPART_ARC
(17,11),-4.74928 # DEPENDENCYPART_ARC
(17,12),-3.95691 # DEPENDENCYPART_ARC
(17,13),-4.27101 # DEPENDENCYPART_ARC
(17,14),-4.03382 # DEPENDENCYPART_ARC
(17,15),-2.88572 # DEPENDENCYPART_ARC
(17,16),-2.44306 # DEPENDENCYPART_ARC
