# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(2,20),-2.00731 # DEPENDENCYPART_ARC
(3,1),-0.421967 # DEPENDENCYPART_ARC
(3,4),-0.0381939 # DEPENDENCYPART_ARC
(3,5),-0.615639 # DEPENDENCYPART_ARC
(3,6),-0.757296 # DEPENDENCYPART_ARC
(3,7),-2.76189 # DEPENDENCYPART_ARC
(3,8),-1.84924 # DEPENDENCYPART_ARC
(3,9),-3.71746 # DEPENDENCYPART_ARC
(3,11),-4.33813 # DEPENDENCYPART_ARC
(3,12),-4.28509 # DEPENDENCYPART_ARC
(3,13),-4.79091 # DEPENDENCYPART_ARC
(3,15),-3.34292 # DEPENDENCYPART_ARC
(3,16),-3.26211 # DEPENDENCYPART_ARC
(3,17),-4.11248 # DEPENDENCYPART_ARC
(3,18),-5.29283 # DEPENDENCYPART_ARC
(3,19),-4.56172 # DEPENDENCYPART_ARC
(3,20),-5.4252 # DEPENDENCYPART_ARC
(4,1),0.26018 # DEPENDENCYPART_ARC
(4,2),0.950493 # DEPENDENCYPART_ARC
(4,3),3.4399 # DEPENDENCYPART_ARC
(4,5),2.39439 # DEPENDENCYPART_ARC
(4,6),0.132183 # DEPENDENCYPART_ARC
(4,7),1.22515 # DEPENDENCYPART_ARC
(4,8),1.24509 # DEPENDENCYPART_ARC
(4,10),0.851627 # DEPENDENCYPART_ARC
(4,11),-0.138337 # DEPENDENCYPART_ARC
(4,12),-1.58593 # DEPENDENCYPART_ARC
(4,13),0.179182 # DEPENDENCYPART_ARC
(4,14),0.21524 # DEPENDENCYPART_ARC
(4,15),-1.20946 # DEPENDENCYPART_ARC
(4,16),-1.36814 # DEPENDENCYPART_ARC
(4,17),-1.09308 # DEPENDENCYPART_ARC
(4,18),-1.87581 # DEPENDENCYPART_ARC
(4,19),-0.713253 # DEPENDENCYPART_ARC
(4,20),-0.42325 # DEPENDENCYPART_ARC
(4,21),0.560001 # DEPENDENCYPART_ARC
(5,1),-0.744362 # DEPENDENCYPART_ARC
(5,2),-0.140547 # DEPENDENCYPART_ARC
(5,3),0.271309 # DEPENDENCYPART_ARC
(5,4),-0.151117 # DEPENDENCYPART_ARC
(5,6),-0.196986 # DEPENDENCYPART_ARC
(5,7),4.18533 # DEPENDENCYPART_ARC
(5,8),-0.0767562 # DEPENDENCYPART_ARC
(5,9),1.32153 # DEPENDENCYPART_ARC
(5,10),-0.521649 # DEPENDENCYPART_ARC
(5,11),-1.95729 # DEPENDENCYPART_ARC
(5,12),-3.11683 # DEPENDENCYPART_ARC
(5,13),-1.71792 # DEPENDENCYPART_ARC
(5,14),-1.05733 # DEPENDENCYPART_ARC
(5,15),-1.71396 # DEPENDENCYPART_ARC
(5,16),-1.82089 # DEPENDENCYPART_ARC
(5,17),-1.26809 # DEPENDENCYPART_ARC
(5,18),-2.85003 # DEPENDENCYPART_ARC
(5,19),-1.4078 # DEPENDENCYPART_ARC
(5,20),-3.6685 # DEPENDENCYPART_ARC
(5,21),-1.02863 # DEPENDENCYPART_ARC
(6,1),-0.667162 # DEPENDENCYPART_ARC
(6,3),0.0768872 # DEPENDENCYPART_ARC
(6,4),0.331666 # DEPENDENCYPART_ARC
(6,5),1.16764 # DEPENDENCYPART_ARC
(6,7),3.1122 # DEPENDENCYPART_ARC
(6,8),0.87195 # DEPENDENCYPART_ARC
(6,9),-1.11252 # DEPENDENCYPART_ARC
(6,11),-2.81031 # DEPENDENCYPART_ARC
(6,12),-0.93036 # DEPENDENCYPART_ARC
(6,13),-2.6716 # DEPENDENCYPART_ARC
(6,15),-2.60116 # DEPENDENCYPART_ARC
(6,16),-2.43746 # DEPENDENCYPART_ARC
(6,17),-2.63415 # DEPENDENCYPART_ARC
(6,18),-2.75346 # DEPENDENCYPART_ARC
(6,19),-3.03726 # DEPENDENCYPART_ARC
(6,20),-3.8429 # DEPENDENCYPART_ARC
(7,1),-1.1366 # DEPENDENCYPART_ARC
(7,2),-0.389145 # DEPENDENCYPART_ARC
(7,3),-0.0357078 # DEPENDENCYPART_ARC
(7,4),-0.834618 # DEPENDENCYPART_ARC
(7,5),0.253844 # DEPENDENCYPART_ARC
(7,6),4.42047 # DEPENDENCYPART_ARC
(7,8),3.45555 # DEPENDENCYPART_ARC
(7,9),1.2165 # DEPENDENCYPART_ARC
(7,10),1.36384 # DEPENDENCYPART_ARC
(7,11),-0.398803 # DEPENDENCYPART_ARC
(7,12),-1.88495 # DEPENDENCYPART_ARC
(7,13),0.19531 # DEPENDENCYPART_ARC
(7,14),-0.431022 # DEPENDENCYPART_ARC
(7,15),-1.11437 # DEPENDENCYPART_ARC
(7,16),-0.3465 # DEPENDENCYPART_ARC
(7,17),-2.14726 # DEPENDENCYPART_ARC
(7,18),-2.499 # DEPENDENCYPART_ARC
(7,19),-0.344746 # DEPENDENCYPART_ARC
(7,20),0.0396012 # DEPENDENCYPART_ARC
(7,21),0.782784 # DEPENDENCYPART_ARC
(8,1),-1.56393 # DEPENDENCYPART_ARC
(8,2),-0.64079 # DEPENDENCYPART_ARC
(8,3),-1.24261 # DEPENDENCYPART_ARC
(8,4),-1.49216 # DEPENDENCYPART_ARC
(8,5),-0.715602 # DEPENDENCYPART_ARC
(8,6),0.711854 # DEPENDENCYPART_ARC
(8,7),0.388983 # DEPENDENCYPART_ARC
(8,9),3.85881 # DEPENDENCYPART_ARC
(8,10),-0.679671 # DEPENDENCYPART_ARC
(8,11),-2.13987 # DEPENDENCYPART_ARC
(8,12),-3.76272 # DEPENDENCYPART_ARC
(8,13),-1.13638 # DEPENDENCYPART_ARC
(8,14),-1.47961 # DEPENDENCYPART_ARC
(8,15),-2.3205 # DEPENDENCYPART_ARC
(8,16),-2.69077 # DEPENDENCYPART_ARC
(8,17),-1.56634 # DEPENDENCYPART_ARC
(8,18),-3.6881 # DEPENDENCYPART_ARC
(8,19),-2.7328 # DEPENDENCYPART_ARC
(8,20),-3.70956 # DEPENDENCYPART_ARC
(8,21),-1.87252 # DEPENDENCYPART_ARC
(9,1),-1.64345 # DEPENDENCYPART_ARC
(9,2),-1.3592 # DEPENDENCYPART_ARC
(9,3),-2.18123 # DEPENDENCYPART_ARC
(9,4),-1.6604 # DEPENDENCYPART_ARC
(9,5),-0.592426 # DEPENDENCYPART_ARC
(9,6),1.68521 # DEPENDENCYPART_ARC
(9,7),-0.204777 # DEPENDENCYPART_ARC
(9,8),1.47676 # DEPENDENCYPART_ARC
(9,10),-0.115271 # DEPENDENCYPART_ARC
(9,11),-2.77708 # DEPENDENCYPART_ARC
(9,12),-2.88582 # DEPENDENCYPART_ARC
(9,13),-1.87533 # DEPENDENCYPART_ARC
(9,14),-2.42369 # DEPENDENCYPART_ARC
(9,15),-2.26334 # DEPENDENCYPART_ARC
(9,16),-1.7423 # DEPENDENCYPART_ARC
(9,17),-3.86289 # DEPENDENCYPART_ARC
(9,18),-3.50717 # DEPENDENCYPART_ARC
(9,19),-2.731 # DEPENDENCYPART_ARC
(9,20),-2.27632 # DEPENDENCYPART_ARC
(9,21),-1.48476 # DEPENDENCYPART_ARC
(10,1),1.78036 # DEPENDENCYPART_ARC
(10,2),0.32617 # DEPENDENCYPART_ARC
(10,3),-1.24048 # DEPENDENCYPART_ARC
(10,4),1.05034 # DEPENDENCYPART_ARC
(10,5),-0.401421 # DEPENDENCYPART_ARC
(10,6),-0.0775737 # DEPENDENCYPART_ARC
(10,7),2.6011 # DEPENDENCYPART_ARC
(10,8),0.21305 # DEPENDENCYPART_ARC
(10,9),1.84042 # DEPENDENCYPART_ARC
(10,11),3.93944 # DEPENDENCYPART_ARC
(10,12),-1.23963 # DEPENDENCYPART_ARC
(10,13),2.82587 # DEPENDENCYPART_ARC
(10,14),1.04019 # DEPENDENCYPART_ARC
(10,15),0.872444 # DEPENDENCYPART_ARC
(10,16),1.85679 # DEPENDENCYPART_ARC
(10,17),-0.672526 # DEPENDENCYPART_ARC
(10,18),-1.4694 # DEPENDENCYPART_ARC
(10,19),0.0219301 # DEPENDENCYPART_ARC
(10,20),1.10904 # DEPENDENCYPART_ARC
(10,21),2.7553 # DEPENDENCYPART_ARC
(11,1),-2.49348 # DEPENDENCYPART_ARC
(11,2),-2.16783 # DEPENDENCYPART_ARC
(11,3),-3.12655 # DEPENDENCYPART_ARC
(11,4),-2.7884 # DEPENDENCYPART_ARC
(11,5),-2.84745 # DEPENDENCYPART_ARC
(11,6),-1.98831 # DEPENDENCYPART_ARC
(11,7),-2.77251 # DEPENDENCYPART_ARC
(11,8),-1.94868 # DEPENDENCYPART_ARC
(11,9),-2.06925 # DEPENDENCYPART_ARC
(11,10),-0.211336 # DEPENDENCYPART_ARC
(11,12),0.178911 # DEPENDENCYPART_ARC
(11,13),5.34027 # DEPENDENCYPART_ARC
(11,14),0.873961 # DEPENDENCYPART_ARC
(11,15),-0.236322 # DEPENDENCYPART_ARC
(11,16),-0.326357 # DEPENDENCYPART_ARC
(11,17),0.0730512 # DEPENDENCYPART_ARC
(11,18),-1.89239 # DEPENDENCYPART_ARC
(11,19),-0.324563 # DEPENDENCYPART_ARC
(11,20),0.444466 # DEPENDENCYPART_ARC
(11,21),-0.019632 # DEPENDENCYPART_ARC
(12,1),-3.94848 # DEPENDENCYPART_ARC
(12,3),-4.51214 # DEPENDENCYPART_ARC
(12,4),-3.33185 # DEPENDENCYPART_ARC
(12,5),-3.63089 # DEPENDENCYPART_ARC
(12,6),-3.68606 # DEPENDENCYPART_ARC
(12,7),-3.35708 # DEPENDENCYPART_ARC
(12,8),-3.242 # DEPENDENCYPART_ARC
(12,9),-2.83092 # DEPENDENCYPART_ARC
(12,11),-1.40719 # DEPENDENCYPART_ARC
(12,13),0.633376 # DEPENDENCYPART_ARC
(12,15),-1.833 # DEPENDENCYPART_ARC
(12,16),-1.82211 # DEPENDENCYPART_ARC
(12,17),-1.27664 # DEPENDENCYPART_ARC
(12,18),-1.61625 # DEPENDENCYPART_ARC
(12,19),-3.06849 # DEPENDENCYPART_ARC
(12,20),-3.31731 # DEPENDENCYPART_ARC
(13,1),-2.10586 # DEPENDENCYPART_ARC
(13,2),-1.35778 # DEPENDENCYPART_ARC
(13,3),-4.7724 # DEPENDENCYPART_ARC
(13,4),-3.01576 # DEPENDENCYPART_ARC
(13,5),-1.71864 # DEPENDENCYPART_ARC
(13,6),-0.811126 # DEPENDENCYPART_ARC
(13,7),-1.70757 # DEPENDENCYPART_ARC
(13,8),-1.50632 # DEPENDENCYPART_ARC
(13,9),-0.845219 # DEPENDENCYPART_ARC
(13,10),-1.16238 # DEPENDENCYPART_ARC
(13,11),0.522846 # DEPENDENCYPART_ARC
(13,12),4.7119 # DEPENDENCYPART_ARC
(13,14),0.29562 # DEPENDENCYPART_ARC
(13,15),-0.466069 # DEPENDENCYPART_ARC
(13,16),-0.0557449 # DEPENDENCYPART_ARC
(13,17),-0.145549 # DEPENDENCYPART_ARC
(13,18),-1.68776 # DEPENDENCYPART_ARC
(13,19),0.793681 # DEPENDENCYPART_ARC
(13,20),0.572958 # DEPENDENCYPART_ARC
(13,21),0.970707 # DEPENDENCYPART_ARC
(14,2),-1.8832 # DEPENDENCYPART_ARC
(14,7),-3.0521 # DEPENDENCYPART_ARC
(14,13),-1.11968 # DEPENDENCYPART_ARC
(14,20),-1.43413 # DEPENDENCYPART_ARC
(15,1),-2.62343 # DEPENDENCYPART_ARC
(15,2),-2.03041 # DEPENDENCYPART_ARC
(15,3),-2.98593 # DEPENDENCYPART_ARC
(15,4),-2.58673 # DEPENDENCYPART_ARC
(15,5),-2.43842 # DEPENDENCYPART_ARC
(15,6),-2.90876 # DEPENDENCYPART_ARC
(15,7),-3.05131 # DEPENDENCYPART_ARC
(15,8),-2.15355 # DEPENDENCYPART_ARC
(15,9),-2.63128 # DEPENDENCYPART_ARC
(15,10),-2.11067 # DEPENDENCYPART_ARC
(15,11),-1.05177 # DEPENDENCYPART_ARC
(15,12),-1.42398 # DEPENDENCYPART_ARC
(15,13),-1.32235 # DEPENDENCYPART_ARC
(15,14),0.392296 # DEPENDENCYPART_ARC
(15,16),0.348363 # DEPENDENCYPART_ARC
(15,17),0.130074 # DEPENDENCYPART_ARC
(15,18),-1.47211 # DEPENDENCYPART_ARC
(15,20),-0.814196 # DEPENDENCYPART_ARC
(15,21),-0.566213 # DEPENDENCYPART_ARC
(16,1),-0.748834 # DEPENDENCYPART_ARC
(16,2),-0.107756 # DEPENDENCYPART_ARC
(16,3),-1.49032 # DEPENDENCYPART_ARC
(16,4),-1.151 # DEPENDENCYPART_ARC
(16,5),-0.560672 # DEPENDENCYPART_ARC
(16,6),-1.36204 # DEPENDENCYPART_ARC
(16,7),-1.39584 # DEPENDENCYPART_ARC
(16,8),-0.390002 # DEPENDENCYPART_ARC
(16,9),-1.06365 # DEPENDENCYPART_ARC
(16,10),-0.82938 # DEPENDENCYPART_ARC
(16,11),0.777733 # DEPENDENCYPART_ARC
(16,12),-0.15722 # DEPENDENCYPART_ARC
(16,13),0.0480398 # DEPENDENCYPART_ARC
(16,14),2.13896 # DEPENDENCYPART_ARC
(16,15),2.16877 # DEPENDENCYPART_ARC
(16,17),3.39485 # DEPENDENCYPART_ARC
(16,18),0.838387 # DEPENDENCYPART_ARC
(16,20),0.592825 # DEPENDENCYPART_ARC
(16,21),0.376088 # DEPENDENCYPART_ARC
(17,1),-2.10019 # DEPENDENCYPART_ARC
(17,2),-1.78893 # DEPENDENCYPART_ARC
(17,3),-2.87301 # DEPENDENCYPART_ARC
(17,4),-2.23131 # DEPENDENCYPART_ARC
(17,5),-2.8411 # DEPENDENCYPART_ARC
(17,6),-2.1921 # DEPENDENCYPART_ARC
(17,7),-2.5534 # DEPENDENCYPART_ARC
(17,8),-2.53709 # DEPENDENCYPART_ARC
(17,9),-2.49033 # DEPENDENCYPART_ARC
(17,10),-0.705202 # DEPENDENCYPART_ARC
(17,11),-1.24424 # DEPENDENCYPART_ARC
(17,12),-0.767853 # DEPENDENCYPART_ARC
(17,13),-1.71242 # DEPENDENCYPART_ARC
(17,14),0.500349 # DEPENDENCYPART_ARC
(17,15),0.95308 # DEPENDENCYPART_ARC
(17,16),0.693069 # DEPENDENCYPART_ARC
(17,18),0.785522 # DEPENDENCYPART_ARC
(17,19),2.63089 # DEPENDENCYPART_ARC
(17,20),3.49051 # DEPENDENCYPART_ARC
(17,21),0.722149 # DEPENDENCYPART_ARC
(18,1),-2.78156 # DEPENDENCYPART_ARC
(18,3),-2.8901 # DEPENDENCYPART_ARC
(18,4),-2.12329 # DEPENDENCYPART_ARC
(18,5),-2.91755 # DEPENDENCYPART_ARC
(18,6),-2.57803 # DEPENDENCYPART_ARC
(18,7),-2.53535 # DEPENDENCYPART_ARC
(18,8),-2.55433 # DEPENDENCYPART_ARC
(18,9),-2.29339 # DEPENDENCYPART_ARC
(18,11),-1.69414 # DEPENDENCYPART_ARC
(18,12),-1.0727 # DEPENDENCYPART_ARC
(18,13),-1.7489 # DEPENDENCYPART_ARC
(18,15),-0.722258 # DEPENDENCYPART_ARC
(18,16),-0.264256 # DEPENDENCYPART_ARC
(18,17),0.724516 # DEPENDENCYPART_ARC
(18,19),0.429287 # DEPENDENCYPART_ARC
(18,20),0.207341 # DEPENDENCYPART_ARC
(19,1),-3.27479 # DEPENDENCYPART_ARC
(19,2),-2.40394 # DEPENDENCYPART_ARC
(19,3),-2.43366 # DEPENDENCYPART_ARC
(19,4),-2.08687 # DEPENDENCYPART_ARC
(19,5),-3.54612 # DEPENDENCYPART_ARC
(19,6),-1.97006 # DEPENDENCYPART_ARC
(19,7),-2.81502 # DEPENDENCYPART_ARC
(19,8),-3.00457 # DEPENDENCYPART_ARC
(19,9),-2.60937 # DEPENDENCYPART_ARC
(19,10),-2.89506 # DEPENDENCYPART_ARC
(19,11),-1.32382 # DEPENDENCYPART_ARC
(19,12),-1.17414 # DEPENDENCYPART_ARC
(19,13),-1.89593 # DEPENDENCYPART_ARC
(19,14),0.0424524 # DEPENDENCYPART_ARC
(19,15),-0.0936836 # DEPENDENCYPART_ARC
(19,16),-0.10813 # DEPENDENCYPART_ARC
(19,17),-0.244661 # DEPENDENCYPART_ARC
(19,18),1.5944 # DEPENDENCYPART_ARC
(19,20),1.47834 # DEPENDENCYPART_ARC
(19,21),-0.955483 # DEPENDENCYPART_ARC
(20,1),-1.49524 # DEPENDENCYPART_ARC
(20,2),-0.870311 # DEPENDENCYPART_ARC
(20,3),-6.03898 # DEPENDENCYPART_ARC
(20,4),-3.21049 # DEPENDENCYPART_ARC
(20,5),-2.15797 # DEPENDENCYPART_ARC
(20,6),-2.40554 # DEPENDENCYPART_ARC
(20,7),-1.87343 # DEPENDENCYPART_ARC
(20,8),-2.00555 # DEPENDENCYPART_ARC
(20,9),-1.18061 # DEPENDENCYPART_ARC
(20,10),-1.77637 # DEPENDENCYPART_ARC
(20,11),-0.887928 # DEPENDENCYPART_ARC
(20,12),0.167282 # DEPENDENCYPART_ARC
(20,13),-0.986676 # DEPENDENCYPART_ARC
(20,14),0.433904 # DEPENDENCYPART_ARC
(20,15),0.613073 # DEPENDENCYPART_ARC
(20,16),0.128807 # DEPENDENCYPART_ARC
(20,17),0.237504 # DEPENDENCYPART_ARC
(20,18),3.56533 # DEPENDENCYPART_ARC
(20,19),5.03098 # DEPENDENCYPART_ARC
(20,21),0.295579 # DEPENDENCYPART_ARC
