# _root_ ' Si no volen participar , almenys que aportin els_seus estudis ' , ha explicat Fabra .
#goldHeads=9,4,4,9,4,4,9,9,15,11,9,9,9,15,0,15,15,
#predictedHeads=4,4,4,15,4,7,9,9,15,11,9,9,9,15,0,15,15,
(2,6),0.0196511 # DEPENDENCYPART_ARC
(2,7),-1.77069 # DEPENDENCYPART_ARC
(2,8),-0.0389942 # DEPENDENCYPART_ARC
(2,9),-1.28364 # DEPENDENCYPART_ARC
(2,10),-2.63816 # DEPENDENCYPART_ARC
(2,11),-2.08692 # DEPENDENCYPART_ARC
(2,12),-0.432353 # DEPENDENCYPART_ARC
(2,13),-0.171729 # DEPENDENCYPART_ARC
(2,14),-1.85209 # DEPENDENCYPART_ARC
(2,15),-1.90292 # DEPENDENCYPART_ARC
(2,16),-2.81817 # DEPENDENCYPART_ARC
(2,17),0.0589447 # DEPENDENCYPART_ARC
(3,1),-1.39341 # DEPENDENCYPART_ARC
(3,2),0.538347 # DEPENDENCYPART_ARC
(3,4),0.902423 # DEPENDENCYPART_ARC
(3,5),-0.465415 # DEPENDENCYPART_ARC
(3,6),0.182909 # DEPENDENCYPART_ARC
(3,7),-1.45639 # DEPENDENCYPART_ARC
(3,8),-1.36571 # DEPENDENCYPART_ARC
(3,9),-1.3562 # DEPENDENCYPART_ARC
(3,10),-1.8738 # DEPENDENCYPART_ARC
(3,11),-1.71502 # DEPENDENCYPART_ARC
(3,12),-0.985559 # DEPENDENCYPART_ARC
(3,13),-0.94952 # DEPENDENCYPART_ARC
(3,14),-2.22427 # DEPENDENCYPART_ARC
(3,15),-2.45262 # DEPENDENCYPART_ARC
(3,16),-2.06193 # DEPENDENCYPART_ARC
(3,17),0.742634 # DEPENDENCYPART_ARC
(4,1),2.922 # DEPENDENCYPART_ARC
(4,2),2.45378 # DEPENDENCYPART_ARC
(4,3),3.30624 # DEPENDENCYPART_ARC
(4,5),3.36964 # DEPENDENCYPART_ARC
(4,6),1.6748 # DEPENDENCYPART_ARC
(4,7),0.826271 # DEPENDENCYPART_ARC
(4,8),0.019046 # DEPENDENCYPART_ARC
(4,9),1.73905 # DEPENDENCYPART_ARC
(4,10),-2.48397 # DEPENDENCYPART_ARC
(4,11),-0.662706 # DEPENDENCYPART_ARC
(4,12),1.36301 # DEPENDENCYPART_ARC
(4,13),1.55496 # DEPENDENCYPART_ARC
(4,14),0.0159655 # DEPENDENCYPART_ARC
(4,15),0.153078 # DEPENDENCYPART_ARC
(4,16),-1.71134 # DEPENDENCYPART_ARC
(4,17),2.63233 # DEPENDENCYPART_ARC
(5,1),2.58848 # DEPENDENCYPART_ARC
(5,2),1.03728 # DEPENDENCYPART_ARC
(5,3),2.21669 # DEPENDENCYPART_ARC
(5,4),3.26071 # DEPENDENCYPART_ARC
(5,6),0.832477 # DEPENDENCYPART_ARC
(5,7),1.26682 # DEPENDENCYPART_ARC
(5,8),0.183657 # DEPENDENCYPART_ARC
(5,9),1.79132 # DEPENDENCYPART_ARC
(5,10),-2.32627 # DEPENDENCYPART_ARC
(5,11),-0.31764 # DEPENDENCYPART_ARC
(5,12),0.816135 # DEPENDENCYPART_ARC
(5,13),1.09029 # DEPENDENCYPART_ARC
(5,14),-0.370264 # DEPENDENCYPART_ARC
(5,15),-0.48841 # DEPENDENCYPART_ARC
(5,16),-1.89684 # DEPENDENCYPART_ARC
(5,17),2.44137 # DEPENDENCYPART_ARC
(6,1),-2.70813 # DEPENDENCYPART_ARC
(6,2),-2.49105 # DEPENDENCYPART_ARC
(6,3),-2.7107 # DEPENDENCYPART_ARC
(6,4),-2.31456 # DEPENDENCYPART_ARC
(6,5),-1.41361 # DEPENDENCYPART_ARC
(6,7),-1.18973 # DEPENDENCYPART_ARC
(6,8),-1.30175 # DEPENDENCYPART_ARC
(6,9),-1.35076 # DEPENDENCYPART_ARC
(6,10),-2.73738 # DEPENDENCYPART_ARC
(6,11),-2.31234 # DEPENDENCYPART_ARC
(6,12),-1.55978 # DEPENDENCYPART_ARC
(6,13),-1.90754 # DEPENDENCYPART_ARC
(6,14),-2.14634 # DEPENDENCYPART_ARC
(6,15),-2.21081 # DEPENDENCYPART_ARC
(6,16),-2.60018 # DEPENDENCYPART_ARC
(6,17),-2.14197 # DEPENDENCYPART_ARC
(7,1),-1.68311 # DEPENDENCYPART_ARC
(7,2),-0.491507 # DEPENDENCYPART_ARC
(7,3),-0.803537 # DEPENDENCYPART_ARC
(7,4),-0.887044 # DEPENDENCYPART_ARC
(7,5),-0.224576 # DEPENDENCYPART_ARC
(7,6),2.4487 # DEPENDENCYPART_ARC
(7,8),1.0957 # DEPENDENCYPART_ARC
(7,9),2.40434 # DEPENDENCYPART_ARC
(7,10),-0.144539 # DEPENDENCYPART_ARC
(7,11),0.468713 # DEPENDENCYPART_ARC
(7,12),0.950888 # DEPENDENCYPART_ARC
(7,13),1.42547 # DEPENDENCYPART_ARC
(7,14),0.428629 # DEPENDENCYPART_ARC
(7,15),0.0821774 # DEPENDENCYPART_ARC
(7,16),-0.471324 # DEPENDENCYPART_ARC
(7,17),1.46747 # DEPENDENCYPART_ARC
(8,1),-2.77794 # DEPENDENCYPART_ARC
(8,2),-2.25955 # DEPENDENCYPART_ARC
(8,3),-2.24886 # DEPENDENCYPART_ARC
(8,4),-2.69287 # DEPENDENCYPART_ARC
(8,5),-2.2593 # DEPENDENCYPART_ARC
(8,6),-1.10702 # DEPENDENCYPART_ARC
(8,7),-0.532448 # DEPENDENCYPART_ARC
(8,9),1.21461 # DEPENDENCYPART_ARC
(8,10),-1.48134 # DEPENDENCYPART_ARC
(8,11),-1.40514 # DEPENDENCYPART_ARC
(8,12),-0.64557 # DEPENDENCYPART_ARC
(8,13),-0.840388 # DEPENDENCYPART_ARC
(8,14),-1.12268 # DEPENDENCYPART_ARC
(8,15),-1.23868 # DEPENDENCYPART_ARC
(8,16),-2.93891 # DEPENDENCYPART_ARC
(8,17),-0.593573 # DEPENDENCYPART_ARC
(9,1),2.51694 # DEPENDENCYPART_ARC
(9,2),-0.356857 # DEPENDENCYPART_ARC
(9,3),1.04585 # DEPENDENCYPART_ARC
(9,4),0.691597 # DEPENDENCYPART_ARC
(9,5),-0.715409 # DEPENDENCYPART_ARC
(9,6),1.26974 # DEPENDENCYPART_ARC
(9,7),1.9727 # DEPENDENCYPART_ARC
(9,8),4.06456 # DEPENDENCYPART_ARC
(9,10),0.407302 # DEPENDENCYPART_ARC
(9,11),4.22673 # DEPENDENCYPART_ARC
(9,12),2.07245 # DEPENDENCYPART_ARC
(9,13),2.23382 # DEPENDENCYPART_ARC
(9,14),1.67944 # DEPENDENCYPART_ARC
(9,15),1.28777 # DEPENDENCYPART_ARC
(9,16),0.826915 # DEPENDENCYPART_ARC
(9,17),1.6429 # DEPENDENCYPART_ARC
(10,1),-2.74731 # DEPENDENCYPART_ARC
(10,2),-2.68684 # DEPENDENCYPART_ARC
(10,3),-2.70075 # DEPENDENCYPART_ARC
(10,4),-1.75136 # DEPENDENCYPART_ARC
(10,5),-3.01264 # DEPENDENCYPART_ARC
(10,6),-2.07524 # DEPENDENCYPART_ARC
(10,7),-1.69118 # DEPENDENCYPART_ARC
(10,8),-1.26521 # DEPENDENCYPART_ARC
(10,9),-0.0554155 # DEPENDENCYPART_ARC
(10,11),-0.475316 # DEPENDENCYPART_ARC
(10,12),-1.06945 # DEPENDENCYPART_ARC
(10,13),-1.42643 # DEPENDENCYPART_ARC
(10,14),-2.88617 # DEPENDENCYPART_ARC
(10,15),-2.95042 # DEPENDENCYPART_ARC
(10,16),-3.31404 # DEPENDENCYPART_ARC
(10,17),-2.62221 # DEPENDENCYPART_ARC
(11,1),-1.65514 # DEPENDENCYPART_ARC
(11,2),-1.03196 # DEPENDENCYPART_ARC
(11,3),-0.370303 # DEPENDENCYPART_ARC
(11,4),-0.869549 # DEPENDENCYPART_ARC
(11,5),-1.54586 # DEPENDENCYPART_ARC
(11,6),0.0655229 # DEPENDENCYPART_ARC
(11,7),0.186197 # DEPENDENCYPART_ARC
(11,8),1.62313 # DEPENDENCYPART_ARC
(11,9),0.77948 # DEPENDENCYPART_ARC
(11,10),4.60049 # DEPENDENCYPART_ARC
(11,12),0.896614 # DEPENDENCYPART_ARC
(11,13),-0.0734042 # DEPENDENCYPART_ARC
(11,14),0.393182 # DEPENDENCYPART_ARC
(11,15),0.52478 # DEPENDENCYPART_ARC
(11,16),-0.418621 # DEPENDENCYPART_ARC
(11,17),0.0868776 # DEPENDENCYPART_ARC
(12,1),-2.95506 # DEPENDENCYPART_ARC
(12,2),-2.67072 # DEPENDENCYPART_ARC
(12,3),-3.26585 # DEPENDENCYPART_ARC
(12,4),-3.2597 # DEPENDENCYPART_ARC
(12,5),-3.2114 # DEPENDENCYPART_ARC
(12,6),-2.25127 # DEPENDENCYPART_ARC
(12,7),-2.57821 # DEPENDENCYPART_ARC
(12,8),-2.01589 # DEPENDENCYPART_ARC
(12,9),-2.25541 # DEPENDENCYPART_ARC
(12,10),-1.08159 # DEPENDENCYPART_ARC
(12,11),-1.27006 # DEPENDENCYPART_ARC
(12,13),0.107035 # DEPENDENCYPART_ARC
(12,14),-0.484668 # DEPENDENCYPART_ARC
(12,15),-0.885387 # DEPENDENCYPART_ARC
(12,16),-1.448 # DEPENDENCYPART_ARC
(12,17),-1.12282 # DEPENDENCYPART_ARC
(13,1),-2.73806 # DEPENDENCYPART_ARC
(13,2),-2.44977 # DEPENDENCYPART_ARC
(13,3),-2.99582 # DEPENDENCYPART_ARC
(13,4),-3.0539 # DEPENDENCYPART_ARC
(13,5),-2.93356 # DEPENDENCYPART_ARC
(13,6),-2.02441 # DEPENDENCYPART_ARC
(13,7),-2.52117 # DEPENDENCYPART_ARC
(13,8),-1.94338 # DEPENDENCYPART_ARC
(13,9),-2.1962 # DEPENDENCYPART_ARC
(13,10),-1.50963 # DEPENDENCYPART_ARC
(13,11),-1.68001 # DEPENDENCYPART_ARC
(13,12),-0.211721 # DEPENDENCYPART_ARC
(13,14),-1.21396 # DEPENDENCYPART_ARC
(13,15),-2.26706 # DEPENDENCYPART_ARC
(13,16),-2.59791 # DEPENDENCYPART_ARC
(13,17),-2.45466 # DEPENDENCYPART_ARC
(14,1),-0.127916 # DEPENDENCYPART_ARC
(14,2),-3.28569 # DEPENDENCYPART_ARC
(14,3),-2.56128 # DEPENDENCYPART_ARC
(14,4),-1.27352 # DEPENDENCYPART_ARC
(14,5),-2.89595 # DEPENDENCYPART_ARC
(14,6),-2.82506 # DEPENDENCYPART_ARC
(14,7),-1.60592 # DEPENDENCYPART_ARC
(14,8),0.762451 # DEPENDENCYPART_ARC
(14,9),-0.289261 # DEPENDENCYPART_ARC
(14,10),-2.82072 # DEPENDENCYPART_ARC
(14,11),-1.46565 # DEPENDENCYPART_ARC
(14,12),-0.779933 # DEPENDENCYPART_ARC
(14,13),-1.42019 # DEPENDENCYPART_ARC
(14,15),0.987321 # DEPENDENCYPART_ARC
(14,16),1.55691 # DEPENDENCYPART_ARC
(14,17),2.16395 # DEPENDENCYPART_ARC
(15,1),2.0957 # DEPENDENCYPART_ARC
(15,2),-1.06076 # DEPENDENCYPART_ARC
(15,3),-0.381834 # DEPENDENCYPART_ARC
(15,4),2.37306 # DEPENDENCYPART_ARC
(15,5),0.0363868 # DEPENDENCYPART_ARC
(15,6),-0.159932 # DEPENDENCYPART_ARC
(15,7),0.656368 # DEPENDENCYPART_ARC
(15,8),2.68494 # DEPENDENCYPART_ARC
(15,9),2.11913 # DEPENDENCYPART_ARC
(15,10),0.651004 # DEPENDENCYPART_ARC
(15,11),1.26239 # DEPENDENCYPART_ARC
(15,12),1.41899 # DEPENDENCYPART_ARC
(15,13),1.01915 # DEPENDENCYPART_ARC
(15,14),7.05655 # DEPENDENCYPART_ARC
(15,16),4.19698 # DEPENDENCYPART_ARC
(15,17),4.24609 # DEPENDENCYPART_ARC
(16,1),-3.08984 # DEPENDENCYPART_ARC
(16,2),-1.52831 # DEPENDENCYPART_ARC
(16,3),-1.66602 # DEPENDENCYPART_ARC
(16,4),-3.33984 # DEPENDENCYPART_ARC
(16,5),-3.01306 # DEPENDENCYPART_ARC
(16,6),-0.863059 # DEPENDENCYPART_ARC
(16,7),-1.50767 # DEPENDENCYPART_ARC
(16,8),-0.124987 # DEPENDENCYPART_ARC
(16,9),-2.04264 # DEPENDENCYPART_ARC
(16,10),-2.49525 # DEPENDENCYPART_ARC
(16,11),-2.02401 # DEPENDENCYPART_ARC
(16,12),-0.378015 # DEPENDENCYPART_ARC
(16,13),-0.498287 # DEPENDENCYPART_ARC
(16,14),-0.816521 # DEPENDENCYPART_ARC
(16,15),0.285816 # DEPENDENCYPART_ARC
(16,17),0.161278 # DEPENDENCYPART_ARC
(17,1),-4.02783 # DEPENDENCYPART_ARC
(17,2),-3.72184 # DEPENDENCYPART_ARC
(17,3),-4.40605 # DEPENDENCYPART_ARC
(17,4),-4.63426 # DEPENDENCYPART_ARC
(17,5),-4.66051 # DEPENDENCYPART_ARC
(17,6),-3.84851 # DEPENDENCYPART_ARC
(17,7),-4.18855 # DEPENDENCYPART_ARC
(17,8),-3.69414 # DEPENDENCYPART_ARC
(17,9),-4.24606 # DEPENDENCYPART_ARC
(17,10),-4.13352 # DEPENDENCYPART_ARC
(17,11),-4.2784 # DEPENDENCYPART_ARC
(17,12),-3.38716 # DEPENDENCYPART_ARC
(17,13),-3.02731 # DEPENDENCYPART_ARC
(17,14),-3.4474 # DEPENDENCYPART_ARC
(17,15),-2.73524 # DEPENDENCYPART_ARC
(17,16),-2.18614 # DEPENDENCYPART_ARC
