# _root_ On hi ha varietat de flora , però , el Seneci_del_Cap és rebutjat tant pels animals de pastura com per les abelles .
#goldHeads=3,3,13,3,4,5,8,13,8,11,13,13,0,15,13,15,16,17,15,15,22,20,13,
#predictedHeads=3,3,0,3,4,5,8,13,8,11,13,13,4,13,13,15,16,17,15,15,22,20,13,
(2,20),-5.10688 # DEPENDENCYPART_ARC
(2,21),-3.02742 # DEPENDENCYPART_ARC
(2,22),-2.3041 # DEPENDENCYPART_ARC
(2,23),-1.66999 # DEPENDENCYPART_ARC
(3,1),3.96717 # DEPENDENCYPART_ARC
(3,2),4.1211 # DEPENDENCYPART_ARC
(3,4),4.01116 # DEPENDENCYPART_ARC
(3,5),0.445912 # DEPENDENCYPART_ARC
(3,6),0.742752 # DEPENDENCYPART_ARC
(3,7),0.866194 # DEPENDENCYPART_ARC
(3,8),0.860735 # DEPENDENCYPART_ARC
(3,9),0.16279 # DEPENDENCYPART_ARC
(3,10),-3.70655 # DEPENDENCYPART_ARC
(3,11),-0.656056 # DEPENDENCYPART_ARC
(3,12),0.734377 # DEPENDENCYPART_ARC
(3,13),-0.787037 # DEPENDENCYPART_ARC
(3,14),-1.59926 # DEPENDENCYPART_ARC
(3,15),-0.871761 # DEPENDENCYPART_ARC
(3,16),-1.93676 # DEPENDENCYPART_ARC
(3,17),-2.31809 # DEPENDENCYPART_ARC
(3,18),-1.87079 # DEPENDENCYPART_ARC
(3,19),-1.74261 # DEPENDENCYPART_ARC
(3,20),-3.18242 # DEPENDENCYPART_ARC
(3,21),-4.13632 # DEPENDENCYPART_ARC
(3,22),-3.06201 # DEPENDENCYPART_ARC
(3,23),2.61723 # DEPENDENCYPART_ARC
(4,1),-0.635308 # DEPENDENCYPART_ARC
(4,2),1.77972 # DEPENDENCYPART_ARC
(4,3),0.466746 # DEPENDENCYPART_ARC
(4,5),3.78112 # DEPENDENCYPART_ARC
(4,6),1.60653 # DEPENDENCYPART_ARC
(4,7),0.632742 # DEPENDENCYPART_ARC
(4,8),0.439143 # DEPENDENCYPART_ARC
(4,9),0.79289 # DEPENDENCYPART_ARC
(4,10),-1.12152 # DEPENDENCYPART_ARC
(4,11),0.656192 # DEPENDENCYPART_ARC
(4,12),1.39929 # DEPENDENCYPART_ARC
(4,13),0.405445 # DEPENDENCYPART_ARC
(4,14),-0.602455 # DEPENDENCYPART_ARC
(4,15),-0.962895 # DEPENDENCYPART_ARC
(4,16),-0.675066 # DEPENDENCYPART_ARC
(4,17),-1.38088 # DEPENDENCYPART_ARC
(4,18),-0.702771 # DEPENDENCYPART_ARC
(4,19),-1.53853 # DEPENDENCYPART_ARC
(4,20),-1.94768 # DEPENDENCYPART_ARC
(4,21),-2.43101 # DEPENDENCYPART_ARC
(4,22),-1.55561 # DEPENDENCYPART_ARC
(4,23),1.01765 # DEPENDENCYPART_ARC
(5,1),-0.694417 # DEPENDENCYPART_ARC
(5,2),-0.822852 # DEPENDENCYPART_ARC
(5,3),0.648681 # DEPENDENCYPART_ARC
(5,4),0.902988 # DEPENDENCYPART_ARC
(5,6),4.66549 # DEPENDENCYPART_ARC
(5,7),0.448715 # DEPENDENCYPART_ARC
(5,8),-0.185107 # DEPENDENCYPART_ARC
(5,9),-0.125619 # DEPENDENCYPART_ARC
(5,10),-2.11713 # DEPENDENCYPART_ARC
(5,11),-1.02119 # DEPENDENCYPART_ARC
(5,12),-2.19224 # DEPENDENCYPART_ARC
(5,13),-1.33509 # DEPENDENCYPART_ARC
(5,14),-1.70044 # DEPENDENCYPART_ARC
(5,15),-1.04321 # DEPENDENCYPART_ARC
(5,16),-3.59421 # DEPENDENCYPART_ARC
(5,17),-1.74895 # DEPENDENCYPART_ARC
(5,18),-4.62106 # DEPENDENCYPART_ARC
(5,19),0.0258088 # DEPENDENCYPART_ARC
(5,20),-2.43426 # DEPENDENCYPART_ARC
(5,21),-3.07411 # DEPENDENCYPART_ARC
(5,22),-6.22275 # DEPENDENCYPART_ARC
(5,23),-0.834314 # DEPENDENCYPART_ARC
(6,1),-0.711819 # DEPENDENCYPART_ARC
(6,2),1.50007 # DEPENDENCYPART_ARC
(6,3),-0.86828 # DEPENDENCYPART_ARC
(6,4),0.89576 # DEPENDENCYPART_ARC
(6,5),1.53568 # DEPENDENCYPART_ARC
(6,7),0.18602 # DEPENDENCYPART_ARC
(6,8),-0.105874 # DEPENDENCYPART_ARC
(6,9),0.679069 # DEPENDENCYPART_ARC
(6,10),-1.50905 # DEPENDENCYPART_ARC
(6,11),0.185378 # DEPENDENCYPART_ARC
(6,12),0.962809 # DEPENDENCYPART_ARC
(6,13),-0.51964 # DEPENDENCYPART_ARC
(6,14),-1.17722 # DEPENDENCYPART_ARC
(6,15),-1.29822 # DEPENDENCYPART_ARC
(6,16),-1.01386 # DEPENDENCYPART_ARC
(6,17),-1.47066 # DEPENDENCYPART_ARC
(6,18),-0.453581 # DEPENDENCYPART_ARC
(6,19),-1.79778 # DEPENDENCYPART_ARC
(6,20),-2.67887 # DEPENDENCYPART_ARC
(6,21),-2.97756 # DEPENDENCYPART_ARC
(6,22),-1.48607 # DEPENDENCYPART_ARC
(6,23),0.36732 # DEPENDENCYPART_ARC
(7,1),-2.58515 # DEPENDENCYPART_ARC
(7,2),-2.39701 # DEPENDENCYPART_ARC
(7,3),-2.42568 # DEPENDENCYPART_ARC
(7,4),-2.26654 # DEPENDENCYPART_ARC
(7,5),-1.19551 # DEPENDENCYPART_ARC
(7,6),-1.10748 # DEPENDENCYPART_ARC
(7,8),-1.00777 # DEPENDENCYPART_ARC
(7,9),-1.03972 # DEPENDENCYPART_ARC
(7,10),-1.94593 # DEPENDENCYPART_ARC
(7,11),-1.52083 # DEPENDENCYPART_ARC
(7,12),-1.34941 # DEPENDENCYPART_ARC
(7,13),-1.69345 # DEPENDENCYPART_ARC
(7,14),-2.25849 # DEPENDENCYPART_ARC
(7,15),-2.16067 # DEPENDENCYPART_ARC
(7,16),-2.21229 # DEPENDENCYPART_ARC
(7,17),-2.17664 # DEPENDENCYPART_ARC
(7,18),-2.31522 # DEPENDENCYPART_ARC
(7,19),-1.3142 # DEPENDENCYPART_ARC
(7,20),-2.26958 # DEPENDENCYPART_ARC
(7,21),-2.83784 # DEPENDENCYPART_ARC
(7,22),-2.47488 # DEPENDENCYPART_ARC
(7,23),-1.87247 # DEPENDENCYPART_ARC
(8,1),-1.6673 # DEPENDENCYPART_ARC
(8,2),-1.56144 # DEPENDENCYPART_ARC
(8,3),-1.5318 # DEPENDENCYPART_ARC
(8,4),-1.57256 # DEPENDENCYPART_ARC
(8,5),-0.463589 # DEPENDENCYPART_ARC
(8,6),-0.94062 # DEPENDENCYPART_ARC
(8,7),3.16585 # DEPENDENCYPART_ARC
(8,9),3.30552 # DEPENDENCYPART_ARC
(8,10),-0.403979 # DEPENDENCYPART_ARC
(8,11),-0.699579 # DEPENDENCYPART_ARC
(8,12),-0.0297693 # DEPENDENCYPART_ARC
(8,13),-0.687947 # DEPENDENCYPART_ARC
(8,14),-1.34553 # DEPENDENCYPART_ARC
(8,15),-1.85383 # DEPENDENCYPART_ARC
(8,16),-1.99331 # DEPENDENCYPART_ARC
(8,17),-2.49048 # DEPENDENCYPART_ARC
(8,18),-2.01193 # DEPENDENCYPART_ARC
(8,19),-1.08742 # DEPENDENCYPART_ARC
(8,20),-2.48643 # DEPENDENCYPART_ARC
(8,21),-2.10295 # DEPENDENCYPART_ARC
(8,22),-1.80201 # DEPENDENCYPART_ARC
(8,23),0.816159 # DEPENDENCYPART_ARC
(9,1),-2.62256 # DEPENDENCYPART_ARC
(9,2),-2.56423 # DEPENDENCYPART_ARC
(9,3),-2.64146 # DEPENDENCYPART_ARC
(9,4),-2.59982 # DEPENDENCYPART_ARC
(9,5),-1.53497 # DEPENDENCYPART_ARC
(9,6),-2.17173 # DEPENDENCYPART_ARC
(9,7),-0.872522 # DEPENDENCYPART_ARC
(9,8),-0.77902 # DEPENDENCYPART_ARC
(9,10),-0.981523 # DEPENDENCYPART_ARC
(9,11),-0.955706 # DEPENDENCYPART_ARC
(9,12),-0.978233 # DEPENDENCYPART_ARC
(9,13),-1.57094 # DEPENDENCYPART_ARC
(9,14),-2.19213 # DEPENDENCYPART_ARC
(9,15),-2.03608 # DEPENDENCYPART_ARC
(9,16),-2.12779 # DEPENDENCYPART_ARC
(9,17),-2.156 # DEPENDENCYPART_ARC
(9,18),-2.31882 # DEPENDENCYPART_ARC
(9,19),-1.22151 # DEPENDENCYPART_ARC
(9,20),-2.19323 # DEPENDENCYPART_ARC
(9,21),-2.80131 # DEPENDENCYPART_ARC
(9,22),-2.44422 # DEPENDENCYPART_ARC
(9,23),-1.7253 # DEPENDENCYPART_ARC
(10,1),-2.438 # DEPENDENCYPART_ARC
(10,2),-2.6443 # DEPENDENCYPART_ARC
(10,3),-3.30637 # DEPENDENCYPART_ARC
(10,4),-2.87125 # DEPENDENCYPART_ARC
(10,5),-1.73575 # DEPENDENCYPART_ARC
(10,6),-2.57584 # DEPENDENCYPART_ARC
(10,7),-1.39839 # DEPENDENCYPART_ARC
(10,8),-0.925078 # DEPENDENCYPART_ARC
(10,9),-0.0604296 # DEPENDENCYPART_ARC
(10,11),-0.325051 # DEPENDENCYPART_ARC
(10,12),-1.65579 # DEPENDENCYPART_ARC
(10,13),-2.43318 # DEPENDENCYPART_ARC
(10,14),-1.98371 # DEPENDENCYPART_ARC
(10,15),-2.16442 # DEPENDENCYPART_ARC
(10,16),-3.88175 # DEPENDENCYPART_ARC
(10,17),-2.58963 # DEPENDENCYPART_ARC
(10,18),-3.8586 # DEPENDENCYPART_ARC
(10,19),-3.1154 # DEPENDENCYPART_ARC
(10,20),-4.46378 # DEPENDENCYPART_ARC
(10,21),-3.53291 # DEPENDENCYPART_ARC
(10,22),-5.20342 # DEPENDENCYPART_ARC
(10,23),-3.70171 # DEPENDENCYPART_ARC
(11,1),-1.84843 # DEPENDENCYPART_ARC
(11,2),-1.67678 # DEPENDENCYPART_ARC
(11,3),-2.07966 # DEPENDENCYPART_ARC
(11,4),-1.20295 # DEPENDENCYPART_ARC
(11,5),-0.958201 # DEPENDENCYPART_ARC
(11,6),-1.02208 # DEPENDENCYPART_ARC
(11,7),-0.122575 # DEPENDENCYPART_ARC
(11,8),-0.0303631 # DEPENDENCYPART_ARC
(11,9),0.527192 # DEPENDENCYPART_ARC
(11,10),4.14845 # DEPENDENCYPART_ARC
(11,12),0.172978 # DEPENDENCYPART_ARC
(11,13),-0.669082 # DEPENDENCYPART_ARC
(11,14),-1.24696 # DEPENDENCYPART_ARC
(11,15),-2.18504 # DEPENDENCYPART_ARC
(11,16),-1.92093 # DEPENDENCYPART_ARC
(11,17),-1.72421 # DEPENDENCYPART_ARC
(11,18),-1.90187 # DEPENDENCYPART_ARC
(11,19),-2.35262 # DEPENDENCYPART_ARC
(11,20),-3.23964 # DEPENDENCYPART_ARC
(11,21),-3.23762 # DEPENDENCYPART_ARC
(11,22),-2.50209 # DEPENDENCYPART_ARC
(11,23),-0.0891769 # DEPENDENCYPART_ARC
(12,1),1.63276 # DEPENDENCYPART_ARC
(12,2),-0.242434 # DEPENDENCYPART_ARC
(12,3),-0.0879004 # DEPENDENCYPART_ARC
(12,4),0.325399 # DEPENDENCYPART_ARC
(12,5),-2.14797 # DEPENDENCYPART_ARC
(12,6),-0.138845 # DEPENDENCYPART_ARC
(12,7),-0.831603 # DEPENDENCYPART_ARC
(12,8),0.999463 # DEPENDENCYPART_ARC
(12,9),-0.328578 # DEPENDENCYPART_ARC
(12,10),0.182718 # DEPENDENCYPART_ARC
(12,11),1.71027 # DEPENDENCYPART_ARC
(12,13),2.36586 # DEPENDENCYPART_ARC
(12,14),0.296415 # DEPENDENCYPART_ARC
(12,15),0.554935 # DEPENDENCYPART_ARC
(12,16),-0.206236 # DEPENDENCYPART_ARC
(12,17),-0.418806 # DEPENDENCYPART_ARC
(12,18),-0.441923 # DEPENDENCYPART_ARC
(12,19),-0.302217 # DEPENDENCYPART_ARC
(12,20),-1.11381 # DEPENDENCYPART_ARC
(12,21),-3.74359 # DEPENDENCYPART_ARC
(12,22),-1.40222 # DEPENDENCYPART_ARC
(12,23),5.13622 # DEPENDENCYPART_ARC
(13,1),2.25623 # DEPENDENCYPART_ARC
(13,2),1.07598 # DEPENDENCYPART_ARC
(13,3),0.961423 # DEPENDENCYPART_ARC
(13,4),0.294568 # DEPENDENCYPART_ARC
(13,5),-1.70124 # DEPENDENCYPART_ARC
(13,6),-0.278553 # DEPENDENCYPART_ARC
(13,7),-0.444979 # DEPENDENCYPART_ARC
(13,8),1.09589 # DEPENDENCYPART_ARC
(13,9),0.220294 # DEPENDENCYPART_ARC
(13,10),0.647067 # DEPENDENCYPART_ARC
(13,11),2.37798 # DEPENDENCYPART_ARC
(13,12),4.15798 # DEPENDENCYPART_ARC
(13,14),2.47033 # DEPENDENCYPART_ARC
(13,15),2.74613 # DEPENDENCYPART_ARC
(13,16),1.89615 # DEPENDENCYPART_ARC
(13,17),0.870158 # DEPENDENCYPART_ARC
(13,18),1.93493 # DEPENDENCYPART_ARC
(13,19),0.892486 # DEPENDENCYPART_ARC
(13,20),0.237386 # DEPENDENCYPART_ARC
(13,21),-1.92393 # DEPENDENCYPART_ARC
(13,22),0.81086 # DEPENDENCYPART_ARC
(13,23),5.56322 # DEPENDENCYPART_ARC
(14,1),-2.9427 # DEPENDENCYPART_ARC
(14,2),-2.88883 # DEPENDENCYPART_ARC
(14,3),-3.11953 # DEPENDENCYPART_ARC
(14,4),-3.26926 # DEPENDENCYPART_ARC
(14,5),-2.62105 # DEPENDENCYPART_ARC
(14,6),-3.2046 # DEPENDENCYPART_ARC
(14,7),-1.99076 # DEPENDENCYPART_ARC
(14,8),-2.36209 # DEPENDENCYPART_ARC
(14,9),-1.61224 # DEPENDENCYPART_ARC
(14,10),-1.92968 # DEPENDENCYPART_ARC
(14,11),-2.08694 # DEPENDENCYPART_ARC
(14,12),-1.39885 # DEPENDENCYPART_ARC
(14,13),-0.533327 # DEPENDENCYPART_ARC
(14,15),0.0644379 # DEPENDENCYPART_ARC
(14,16),-0.187748 # DEPENDENCYPART_ARC
(14,17),-1.10352 # DEPENDENCYPART_ARC
(14,18),-0.941126 # DEPENDENCYPART_ARC
(14,19),-0.294283 # DEPENDENCYPART_ARC
(14,20),-1.31018 # DEPENDENCYPART_ARC
(14,21),-1.73774 # DEPENDENCYPART_ARC
(14,22),-1.18715 # DEPENDENCYPART_ARC
(14,23),-1.2483 # DEPENDENCYPART_ARC
(15,1),-1.18628 # DEPENDENCYPART_ARC
(15,2),-1.65115 # DEPENDENCYPART_ARC
(15,3),-1.16532 # DEPENDENCYPART_ARC
(15,4),-1.40296 # DEPENDENCYPART_ARC
(15,5),-1.17236 # DEPENDENCYPART_ARC
(15,6),-1.23302 # DEPENDENCYPART_ARC
(15,7),0.856691 # DEPENDENCYPART_ARC
(15,8),-0.0366465 # DEPENDENCYPART_ARC
(15,9),0.483607 # DEPENDENCYPART_ARC
(15,10),0.804103 # DEPENDENCYPART_ARC
(15,11),-0.645423 # DEPENDENCYPART_ARC
(15,12),0.28115 # DEPENDENCYPART_ARC
(15,13),-0.13101 # DEPENDENCYPART_ARC
(15,14),2.0298 # DEPENDENCYPART_ARC
(15,16),5.34247 # DEPENDENCYPART_ARC
(15,17),1.94171 # DEPENDENCYPART_ARC
(15,18),1.42511 # DEPENDENCYPART_ARC
(15,19),2.88584 # DEPENDENCYPART_ARC
(15,20),2.51154 # DEPENDENCYPART_ARC
(15,21),-1.46576 # DEPENDENCYPART_ARC
(15,22),-0.574935 # DEPENDENCYPART_ARC
(15,23),2.28234 # DEPENDENCYPART_ARC
(16,1),-3.35328 # DEPENDENCYPART_ARC
(16,2),-2.37822 # DEPENDENCYPART_ARC
(16,3),-3.45209 # DEPENDENCYPART_ARC
(16,4),-3.37475 # DEPENDENCYPART_ARC
(16,5),-2.9699 # DEPENDENCYPART_ARC
(16,6),-2.92392 # DEPENDENCYPART_ARC
(16,7),-1.69601 # DEPENDENCYPART_ARC
(16,8),-2.2719 # DEPENDENCYPART_ARC
(16,9),-2.03253 # DEPENDENCYPART_ARC
(16,10),-2.05136 # DEPENDENCYPART_ARC
(16,11),-2.65896 # DEPENDENCYPART_ARC
(16,12),-2.0172 # DEPENDENCYPART_ARC
(16,13),-2.99693 # DEPENDENCYPART_ARC
(16,14),0.23492 # DEPENDENCYPART_ARC
(16,15),0.254273 # DEPENDENCYPART_ARC
(16,17),3.80314 # DEPENDENCYPART_ARC
(16,18),1.50936 # DEPENDENCYPART_ARC
(16,19),0.430348 # DEPENDENCYPART_ARC
(16,20),-0.466065 # DEPENDENCYPART_ARC
(16,21),-1.1875 # DEPENDENCYPART_ARC
(16,22),0.551586 # DEPENDENCYPART_ARC
(16,23),1.20276 # DEPENDENCYPART_ARC
(17,1),-1.94337 # DEPENDENCYPART_ARC
(17,2),-2.24706 # DEPENDENCYPART_ARC
(17,3),-1.75066 # DEPENDENCYPART_ARC
(17,4),-2.42111 # DEPENDENCYPART_ARC
(17,5),-2.47383 # DEPENDENCYPART_ARC
(17,6),-2.18443 # DEPENDENCYPART_ARC
(17,7),-0.893639 # DEPENDENCYPART_ARC
(17,8),-0.973541 # DEPENDENCYPART_ARC
(17,9),-1.37137 # DEPENDENCYPART_ARC
(17,10),-1.47597 # DEPENDENCYPART_ARC
(17,11),-1.85861 # DEPENDENCYPART_ARC
(17,12),-0.497258 # DEPENDENCYPART_ARC
(17,13),-0.977714 # DEPENDENCYPART_ARC
(17,14),0.349519 # DEPENDENCYPART_ARC
(17,15),0.355564 # DEPENDENCYPART_ARC
(17,16),0.736848 # DEPENDENCYPART_ARC
(17,18),4.38151 # DEPENDENCYPART_ARC
(17,19),1.48407 # DEPENDENCYPART_ARC
(17,20),-0.19334 # DEPENDENCYPART_ARC
(17,21),-2.20499 # DEPENDENCYPART_ARC
(17,22),0.505569 # DEPENDENCYPART_ARC
(17,23),-0.290653 # DEPENDENCYPART_ARC
(18,1),-2.18213 # DEPENDENCYPART_ARC
(18,2),-0.527274 # DEPENDENCYPART_ARC
(18,3),-2.815 # DEPENDENCYPART_ARC
(18,4),-1.50196 # DEPENDENCYPART_ARC
(18,5),-1.88809 # DEPENDENCYPART_ARC
(18,6),-1.22914 # DEPENDENCYPART_ARC
(18,7),-1.39982 # DEPENDENCYPART_ARC
(18,8),-1.31898 # DEPENDENCYPART_ARC
(18,9),-1.34643 # DEPENDENCYPART_ARC
(18,10),-2.74518 # DEPENDENCYPART_ARC
(18,11),-1.51535 # DEPENDENCYPART_ARC
(18,12),-1.34448 # DEPENDENCYPART_ARC
(18,13),-1.76408 # DEPENDENCYPART_ARC
(18,14),0.477063 # DEPENDENCYPART_ARC
(18,15),0.320453 # DEPENDENCYPART_ARC
(18,16),0.855092 # DEPENDENCYPART_ARC
(18,17),1.85155 # DEPENDENCYPART_ARC
(18,19),-0.338923 # DEPENDENCYPART_ARC
(18,20),-1.32375 # DEPENDENCYPART_ARC
(18,21),-1.88606 # DEPENDENCYPART_ARC
(18,22),-0.509642 # DEPENDENCYPART_ARC
(18,23),-0.552503 # DEPENDENCYPART_ARC
(19,1),-2.2366 # DEPENDENCYPART_ARC
(19,2),-2.15188 # DEPENDENCYPART_ARC
(19,3),-2.41768 # DEPENDENCYPART_ARC
(19,4),-2.78328 # DEPENDENCYPART_ARC
(19,5),-1.88177 # DEPENDENCYPART_ARC
(19,6),-2.73653 # DEPENDENCYPART_ARC
(19,7),-0.97673 # DEPENDENCYPART_ARC
(19,8),-1.85736 # DEPENDENCYPART_ARC
(19,9),-0.649019 # DEPENDENCYPART_ARC
(19,10),-2.17407 # DEPENDENCYPART_ARC
(19,11),-2.21706 # DEPENDENCYPART_ARC
(19,12),-1.942 # DEPENDENCYPART_ARC
(19,13),-1.66709 # DEPENDENCYPART_ARC
(19,14),-1.13494 # DEPENDENCYPART_ARC
(19,15),-0.47766 # DEPENDENCYPART_ARC
(19,16),-1.1837 # DEPENDENCYPART_ARC
(19,17),0.139448 # DEPENDENCYPART_ARC
(19,18),0.162995 # DEPENDENCYPART_ARC
(19,20),0.667207 # DEPENDENCYPART_ARC
(19,21),-0.0845018 # DEPENDENCYPART_ARC
(19,22),1.50859 # DEPENDENCYPART_ARC
(19,23),0.867018 # DEPENDENCYPART_ARC
(20,1),-1.48268 # DEPENDENCYPART_ARC
(20,2),-1.87082 # DEPENDENCYPART_ARC
(20,3),-1.27823 # DEPENDENCYPART_ARC
(20,4),-2.25687 # DEPENDENCYPART_ARC
(20,5),-1.75357 # DEPENDENCYPART_ARC
(20,6),-2.10039 # DEPENDENCYPART_ARC
(20,7),-0.321078 # DEPENDENCYPART_ARC
(20,8),-0.773339 # DEPENDENCYPART_ARC
(20,9),-0.477829 # DEPENDENCYPART_ARC
(20,10),-1.20933 # DEPENDENCYPART_ARC
(20,11),-1.81989 # DEPENDENCYPART_ARC
(20,12),-0.0805066 # DEPENDENCYPART_ARC
(20,13),-0.7497 # DEPENDENCYPART_ARC
(20,14),0.273584 # DEPENDENCYPART_ARC
(20,15),-0.277227 # DEPENDENCYPART_ARC
(20,16),-0.889668 # DEPENDENCYPART_ARC
(20,17),0.579326 # DEPENDENCYPART_ARC
(20,18),0.437916 # DEPENDENCYPART_ARC
(20,19),1.63249 # DEPENDENCYPART_ARC
(20,21),0.758383 # DEPENDENCYPART_ARC
(20,22),5.59353 # DEPENDENCYPART_ARC
(20,23),1.73566 # DEPENDENCYPART_ARC
(21,1),-4.19376 # DEPENDENCYPART_ARC
(21,2),-4.35343 # DEPENDENCYPART_ARC
(21,3),-3.97649 # DEPENDENCYPART_ARC
(21,4),-5.01604 # DEPENDENCYPART_ARC
(21,5),-4.93614 # DEPENDENCYPART_ARC
(21,6),-4.93713 # DEPENDENCYPART_ARC
(21,7),-3.98619 # DEPENDENCYPART_ARC
(21,8),-4.34457 # DEPENDENCYPART_ARC
(21,9),-3.86475 # DEPENDENCYPART_ARC
(21,10),-4.23089 # DEPENDENCYPART_ARC
(21,11),-4.26412 # DEPENDENCYPART_ARC
(21,12),-3.2825 # DEPENDENCYPART_ARC
(21,13),-3.67162 # DEPENDENCYPART_ARC
(21,14),-3.07575 # DEPENDENCYPART_ARC
(21,15),-2.78229 # DEPENDENCYPART_ARC
(21,16),-3.59661 # DEPENDENCYPART_ARC
(21,17),-3.06369 # DEPENDENCYPART_ARC
(21,18),-3.0668 # DEPENDENCYPART_ARC
(21,19),-2.09039 # DEPENDENCYPART_ARC
(21,20),-1.20977 # DEPENDENCYPART_ARC
(21,22),0.922299 # DEPENDENCYPART_ARC
(21,23),-0.736039 # DEPENDENCYPART_ARC
(22,1),-3.15016 # DEPENDENCYPART_ARC
(22,2),-1.34134 # DEPENDENCYPART_ARC
(22,3),-2.27854 # DEPENDENCYPART_ARC
(22,4),-2.9028 # DEPENDENCYPART_ARC
(22,5),-3.13833 # DEPENDENCYPART_ARC
(22,6),-2.33846 # DEPENDENCYPART_ARC
(22,7),-1.5304 # DEPENDENCYPART_ARC
(22,8),-2.5889 # DEPENDENCYPART_ARC
(22,9),-1.64048 # DEPENDENCYPART_ARC
(22,10),-4.12159 # DEPENDENCYPART_ARC
(22,11),-2.91393 # DEPENDENCYPART_ARC
(22,12),-0.81577 # DEPENDENCYPART_ARC
(22,13),-2.23373 # DEPENDENCYPART_ARC
(22,14),-1.14738 # DEPENDENCYPART_ARC
(22,15),-1.7167 # DEPENDENCYPART_ARC
(22,16),-0.482843 # DEPENDENCYPART_ARC
(22,17),-1.24829 # DEPENDENCYPART_ARC
(22,18),-0.789883 # DEPENDENCYPART_ARC
(22,19),-0.244579 # DEPENDENCYPART_ARC
(22,20),0.698823 # DEPENDENCYPART_ARC
(22,21),5.42647 # DEPENDENCYPART_ARC
(22,23),0.499321 # DEPENDENCYPART_ARC
(23,1),-4.37122 # DEPENDENCYPART_ARC
(23,2),-4.39025 # DEPENDENCYPART_ARC
(23,3),-4.62523 # DEPENDENCYPART_ARC
