# _root_ Les coses han canviat molt des_d' aleshores : en_vigílies dels comicis del 1977 , el PSUC podia mirar de_tu_a_tu un partit socialista constituït recentment ; avui , Iniciativa lluita per la_seva supervivència i el PSC ocupa una posició hegemònica .
#goldHeads=2,4,4,0,4,4,6,18,18,9,10,11,12,9,16,18,18,4,18,21,18,21,21,23,18,29,26,29,18,29,32,30,29,35,36,29,38,36,38,4,
#predictedHeads=2,4,4,18,4,4,6,18,18,9,10,11,12,9,16,18,18,29,18,21,18,21,21,23,18,29,26,29,0,29,32,30,32,35,32,29,38,36,38,29,
(2,30),-4.09165 # DEPENDENCYPART_ARC
(2,31),-3.42746 # DEPENDENCYPART_ARC
(2,32),-2.8126 # DEPENDENCYPART_ARC
(2,33),-2.52921 # DEPENDENCYPART_ARC
(2,34),-5.59583 # DEPENDENCYPART_ARC
(2,35),-2.93071 # DEPENDENCYPART_ARC
(2,36),-9.2574 # DEPENDENCYPART_ARC
(2,37),-5.25884 # DEPENDENCYPART_ARC
(2,38),-2.50317 # DEPENDENCYPART_ARC
(2,39),-3.95532 # DEPENDENCYPART_ARC
(2,40),1.76972 # DEPENDENCYPART_ARC
(3,1),-1.71696 # DEPENDENCYPART_ARC
(3,2),-0.0910393 # DEPENDENCYPART_ARC
(3,4),-0.542604 # DEPENDENCYPART_ARC
(3,5),-2.26376 # DEPENDENCYPART_ARC
(3,6),-1.85584 # DEPENDENCYPART_ARC
(3,7),-2.57642 # DEPENDENCYPART_ARC
(3,8),-3.25746 # DEPENDENCYPART_ARC
(3,9),-2.7487 # DEPENDENCYPART_ARC
(3,10),-4.41547 # DEPENDENCYPART_ARC
(3,11),-2.96129 # DEPENDENCYPART_ARC
(3,12),-3.99321 # DEPENDENCYPART_ARC
(3,13),-3.11309 # DEPENDENCYPART_ARC
(3,14),-2.64515 # DEPENDENCYPART_ARC
(3,15),-6.94937 # DEPENDENCYPART_ARC
(3,16),-3.0022 # DEPENDENCYPART_ARC
(3,17),-3.53009 # DEPENDENCYPART_ARC
(3,18),-3.14307 # DEPENDENCYPART_ARC
(3,19),-3.85583 # DEPENDENCYPART_ARC
(3,20),-6.92953 # DEPENDENCYPART_ARC
(3,21),-3.20044 # DEPENDENCYPART_ARC
(3,22),-5.06603 # DEPENDENCYPART_ARC
(3,23),-4.97545 # DEPENDENCYPART_ARC
(3,24),-4.30523 # DEPENDENCYPART_ARC
(3,26),-4.2721 # DEPENDENCYPART_ARC
(3,27),-3.92614 # DEPENDENCYPART_ARC
(3,28),-4.7026 # DEPENDENCYPART_ARC
(3,29),-3.67518 # DEPENDENCYPART_ARC
(3,30),-4.54877 # DEPENDENCYPART_ARC
(3,32),-4.2944 # DEPENDENCYPART_ARC
(3,33),-3.15796 # DEPENDENCYPART_ARC
(3,34),-7.63809 # DEPENDENCYPART_ARC
(3,35),-5.03838 # DEPENDENCYPART_ARC
(3,36),-4.05093 # DEPENDENCYPART_ARC
(3,37),-7.39769 # DEPENDENCYPART_ARC
(3,38),-5.23503 # DEPENDENCYPART_ARC
(3,39),-6.22575 # DEPENDENCYPART_ARC
(3,40),-0.0304038 # DEPENDENCYPART_ARC
(4,1),0.472339 # DEPENDENCYPART_ARC
(4,2),2.12008 # DEPENDENCYPART_ARC
(4,3),5.44972 # DEPENDENCYPART_ARC
(4,5),1.92627 # DEPENDENCYPART_ARC
(4,6),2.39504 # DEPENDENCYPART_ARC
(4,7),1.0559 # DEPENDENCYPART_ARC
(4,8),0.208619 # DEPENDENCYPART_ARC
(4,9),0.801916 # DEPENDENCYPART_ARC
(4,10),-0.168655 # DEPENDENCYPART_ARC
(4,11),0.748127 # DEPENDENCYPART_ARC
(4,12),-0.171305 # DEPENDENCYPART_ARC
(4,13),0.349205 # DEPENDENCYPART_ARC
(4,14),0.509641 # DEPENDENCYPART_ARC
(4,15),-2.45011 # DEPENDENCYPART_ARC
(4,16),0.549024 # DEPENDENCYPART_ARC
(4,17),0.670376 # DEPENDENCYPART_ARC
(4,18),0.226531 # DEPENDENCYPART_ARC
(4,19),-0.400586 # DEPENDENCYPART_ARC
(4,21),0.502359 # DEPENDENCYPART_ARC
(4,22),-1.03534 # DEPENDENCYPART_ARC
(4,23),-0.802081 # DEPENDENCYPART_ARC
(4,24),-0.712611 # DEPENDENCYPART_ARC
(4,25),0.776844 # DEPENDENCYPART_ARC
(4,26),-1.05509 # DEPENDENCYPART_ARC
(4,27),-0.615084 # DEPENDENCYPART_ARC
(4,28),-1.74699 # DEPENDENCYPART_ARC
(4,29),-0.689086 # DEPENDENCYPART_ARC
(4,30),-0.423154 # DEPENDENCYPART_ARC
(4,32),-0.750723 # DEPENDENCYPART_ARC
(4,33),-1.99033 # DEPENDENCYPART_ARC
(4,34),-3.50326 # DEPENDENCYPART_ARC
(4,35),-2.21722 # DEPENDENCYPART_ARC
(4,36),-1.38366 # DEPENDENCYPART_ARC
(4,38),-1.91993 # DEPENDENCYPART_ARC
(4,39),-1.71937 # DEPENDENCYPART_ARC
(4,40),4.26497 # DEPENDENCYPART_ARC
(5,1),-1.95255 # DEPENDENCYPART_ARC
(5,2),-1.84707 # DEPENDENCYPART_ARC
(5,3),-1.30639 # DEPENDENCYPART_ARC
(5,4),-0.425944 # DEPENDENCYPART_ARC
(5,6),0.570853 # DEPENDENCYPART_ARC
(5,7),0.262462 # DEPENDENCYPART_ARC
(5,8),-0.996566 # DEPENDENCYPART_ARC
(5,9),-0.419097 # DEPENDENCYPART_ARC
(5,10),-0.543094 # DEPENDENCYPART_ARC
(5,11),-1.58274 # DEPENDENCYPART_ARC
(5,12),-0.851334 # DEPENDENCYPART_ARC
(5,13),-1.05208 # DEPENDENCYPART_ARC
(5,14),-0.607297 # DEPENDENCYPART_ARC
(5,15),-2.00442 # DEPENDENCYPART_ARC
(5,16),-1.85761 # DEPENDENCYPART_ARC
(5,17),-1.545 # DEPENDENCYPART_ARC
(5,18),-2.48324 # DEPENDENCYPART_ARC
(5,19),-1.63937 # DEPENDENCYPART_ARC
(5,20),-2.48567 # DEPENDENCYPART_ARC
(5,21),-2.37671 # DEPENDENCYPART_ARC
(5,22),-1.97133 # DEPENDENCYPART_ARC
(5,23),-2.01654 # DEPENDENCYPART_ARC
(5,24),-2.15653 # DEPENDENCYPART_ARC
(5,26),-2.58777 # DEPENDENCYPART_ARC
(5,27),-2.6817 # DEPENDENCYPART_ARC
(5,28),-2.97571 # DEPENDENCYPART_ARC
(5,29),-3.62451 # DEPENDENCYPART_ARC
(5,30),-4.29584 # DEPENDENCYPART_ARC
(5,32),-3.28898 # DEPENDENCYPART_ARC
(5,33),-1.71957 # DEPENDENCYPART_ARC
(5,34),-3.20698 # DEPENDENCYPART_ARC
(5,35),-3.30614 # DEPENDENCYPART_ARC
(5,36),-4.66158 # DEPENDENCYPART_ARC
(5,37),-3.13054 # DEPENDENCYPART_ARC
(5,38),-3.18343 # DEPENDENCYPART_ARC
(5,39),-2.72229 # DEPENDENCYPART_ARC
(5,40),-0.798466 # DEPENDENCYPART_ARC
(6,1),-0.1428 # DEPENDENCYPART_ARC
(6,2),-0.977058 # DEPENDENCYPART_ARC
(6,3),0.446463 # DEPENDENCYPART_ARC
(6,4),0.198168 # DEPENDENCYPART_ARC
(6,5),1.43596 # DEPENDENCYPART_ARC
(6,7),2.88851 # DEPENDENCYPART_ARC
(6,8),0.792808 # DEPENDENCYPART_ARC
(6,9),0.295183 # DEPENDENCYPART_ARC
(6,10),0.829295 # DEPENDENCYPART_ARC
(6,11),1.53618 # DEPENDENCYPART_ARC
(6,12),0.0558527 # DEPENDENCYPART_ARC
(6,13),-0.483715 # DEPENDENCYPART_ARC
(6,14),0.0501919 # DEPENDENCYPART_ARC
(6,15),-2.42055 # DEPENDENCYPART_ARC
(6,16),-2.32806 # DEPENDENCYPART_ARC
(6,17),-1.3576 # DEPENDENCYPART_ARC
(6,18),-0.911673 # DEPENDENCYPART_ARC
(6,19),-1.34299 # DEPENDENCYPART_ARC
(6,20),-2.97491 # DEPENDENCYPART_ARC
(6,21),-5.73207 # DEPENDENCYPART_ARC
(6,22),-2.11504 # DEPENDENCYPART_ARC
(6,23),-2.00726 # DEPENDENCYPART_ARC
(6,24),-1.62945 # DEPENDENCYPART_ARC
(6,25),-1.54818 # DEPENDENCYPART_ARC
(6,26),-1.25274 # DEPENDENCYPART_ARC
(6,27),-3.0342 # DEPENDENCYPART_ARC
(6,28),-9.36746 # DEPENDENCYPART_ARC
(6,29),-4.24107 # DEPENDENCYPART_ARC
(6,30),-2.63527 # DEPENDENCYPART_ARC
(6,32),-10.6966 # DEPENDENCYPART_ARC
(6,33),-2.14294 # DEPENDENCYPART_ARC
(6,34),-3.01865 # DEPENDENCYPART_ARC
(6,35),-14.1081 # DEPENDENCYPART_ARC
(6,36),-5.59163 # DEPENDENCYPART_ARC
(6,37),-3.07448 # DEPENDENCYPART_ARC
(6,38),-15.6429 # DEPENDENCYPART_ARC
(6,39),-3.89388 # DEPENDENCYPART_ARC
(6,40),-2.21216 # DEPENDENCYPART_ARC
(7,1),-2.81863 # DEPENDENCYPART_ARC
(7,2),-2.6934 # DEPENDENCYPART_ARC
(7,3),-2.35455 # DEPENDENCYPART_ARC
(7,4),-1.94144 # DEPENDENCYPART_ARC
(7,5),-0.315776 # DEPENDENCYPART_ARC
(7,6),-0.303184 # DEPENDENCYPART_ARC
(7,8),0.297813 # DEPENDENCYPART_ARC
(7,9),0.27953 # DEPENDENCYPART_ARC
(7,10),0.446843 # DEPENDENCYPART_ARC
(7,11),-0.820647 # DEPENDENCYPART_ARC
(7,12),-0.176785 # DEPENDENCYPART_ARC
(7,13),-0.459133 # DEPENDENCYPART_ARC
(7,14),-0.22429 # DEPENDENCYPART_ARC
(7,15),-1.65666 # DEPENDENCYPART_ARC
(7,16),-1.46119 # DEPENDENCYPART_ARC
(7,17),-0.646393 # DEPENDENCYPART_ARC
(7,18),-1.45401 # DEPENDENCYPART_ARC
(7,19),-1.57607 # DEPENDENCYPART_ARC
(7,20),-2.12338 # DEPENDENCYPART_ARC
(7,21),-1.93301 # DEPENDENCYPART_ARC
(7,22),-1.546 # DEPENDENCYPART_ARC
(7,23),-1.53893 # DEPENDENCYPART_ARC
(7,24),-1.89749 # DEPENDENCYPART_ARC
(7,26),-2.24206 # DEPENDENCYPART_ARC
(7,27),-1.49326 # DEPENDENCYPART_ARC
(7,28),-2.62774 # DEPENDENCYPART_ARC
(7,29),-2.4545 # DEPENDENCYPART_ARC
(7,30),-3.46751 # DEPENDENCYPART_ARC
(7,32),-2.89797 # DEPENDENCYPART_ARC
(7,33),-1.27434 # DEPENDENCYPART_ARC
(7,34),-2.7493 # DEPENDENCYPART_ARC
(7,35),-2.90076 # DEPENDENCYPART_ARC
(7,36),-3.52559 # DEPENDENCYPART_ARC
(7,37),-2.58548 # DEPENDENCYPART_ARC
(7,38),-2.68074 # DEPENDENCYPART_ARC
(7,39),-2.19 # DEPENDENCYPART_ARC
(7,40),0.161455 # DEPENDENCYPART_ARC
(8,6),0.161742 # DEPENDENCYPART_ARC
(8,10),-0.0025207 # DEPENDENCYPART_ARC
(8,12),-0.158282 # DEPENDENCYPART_ARC
(8,14),0.606116 # DEPENDENCYPART_ARC
(8,16),-0.634785 # DEPENDENCYPART_ARC
(8,25),-0.267915 # DEPENDENCYPART_ARC
(8,27),-0.668238 # DEPENDENCYPART_ARC
(8,28),-0.795148 # DEPENDENCYPART_ARC
(8,30),-1.67713 # DEPENDENCYPART_ARC
(8,33),-0.67115 # DEPENDENCYPART_ARC
(8,35),-0.545588 # DEPENDENCYPART_ARC
(9,1),-2.20543 # DEPENDENCYPART_ARC
(9,2),-2.10528 # DEPENDENCYPART_ARC
(9,3),-1.95689 # DEPENDENCYPART_ARC
(9,4),-1.7426 # DEPENDENCYPART_ARC
(9,5),-0.442533 # DEPENDENCYPART_ARC
(9,6),-0.348631 # DEPENDENCYPART_ARC
(9,7),-0.268448 # DEPENDENCYPART_ARC
(9,8),1.383 # DEPENDENCYPART_ARC
(9,10),2.32111 # DEPENDENCYPART_ARC
(9,11),1.29567 # DEPENDENCYPART_ARC
(9,12),1.05451 # DEPENDENCYPART_ARC
(9,13),0.784966 # DEPENDENCYPART_ARC
(9,14),2.09502 # DEPENDENCYPART_ARC
(9,15),-0.575884 # DEPENDENCYPART_ARC
(9,16),-0.0409853 # DEPENDENCYPART_ARC
(9,17),0.396713 # DEPENDENCYPART_ARC
(9,18),-0.476727 # DEPENDENCYPART_ARC
(9,19),-0.464814 # DEPENDENCYPART_ARC
(9,20),-1.15327 # DEPENDENCYPART_ARC
(9,21),-0.672156 # DEPENDENCYPART_ARC
(9,22),-0.561273 # DEPENDENCYPART_ARC
(9,23),-0.56647 # DEPENDENCYPART_ARC
(9,24),-0.963319 # DEPENDENCYPART_ARC
(9,26),-1.15974 # DEPENDENCYPART_ARC
(9,27),1.21934 # DEPENDENCYPART_ARC
(9,28),-1.27537 # DEPENDENCYPART_ARC
(9,29),-1.35459 # DEPENDENCYPART_ARC
(9,30),-2.81716 # DEPENDENCYPART_ARC
(9,32),-1.44579 # DEPENDENCYPART_ARC
(9,33),-0.476819 # DEPENDENCYPART_ARC
(9,34),-1.73476 # DEPENDENCYPART_ARC
(9,35),-1.46493 # DEPENDENCYPART_ARC
(9,36),-2.45901 # DEPENDENCYPART_ARC
(9,37),-1.64163 # DEPENDENCYPART_ARC
(9,38),-1.42837 # DEPENDENCYPART_ARC
(9,39),-0.996383 # DEPENDENCYPART_ARC
(9,40),1.58787 # DEPENDENCYPART_ARC
(10,1),-1.18884 # DEPENDENCYPART_ARC
(10,2),-1.94377 # DEPENDENCYPART_ARC
(10,3),-1.29494 # DEPENDENCYPART_ARC
(10,4),-2.11825 # DEPENDENCYPART_ARC
(10,5),-1.07042 # DEPENDENCYPART_ARC
(10,6),-0.535608 # DEPENDENCYPART_ARC
(10,7),-0.556935 # DEPENDENCYPART_ARC
(10,8),0.887173 # DEPENDENCYPART_ARC
(10,9),1.2403 # DEPENDENCYPART_ARC
(10,11),4.45113 # DEPENDENCYPART_ARC
(10,12),0.471059 # DEPENDENCYPART_ARC
(10,13),-0.143229 # DEPENDENCYPART_ARC
(10,14),0.7058 # DEPENDENCYPART_ARC
(10,15),-2.61539 # DEPENDENCYPART_ARC
(10,16),-2.13105 # DEPENDENCYPART_ARC
(10,17),-2.35561 # DEPENDENCYPART_ARC
(10,18),-1.60567 # DEPENDENCYPART_ARC
(10,19),-1.76944 # DEPENDENCYPART_ARC
(10,20),-3.46748 # DEPENDENCYPART_ARC
(10,21),-5.68158 # DEPENDENCYPART_ARC
(10,22),-3.88413 # DEPENDENCYPART_ARC
(10,23),-3.46227 # DEPENDENCYPART_ARC
(10,24),-2.22746 # DEPENDENCYPART_ARC
(10,25),-1.25339 # DEPENDENCYPART_ARC
(10,26),-1.8955 # DEPENDENCYPART_ARC
(10,27),-1.62581 # DEPENDENCYPART_ARC
(10,28),-9.05175 # DEPENDENCYPART_ARC
(10,29),-5.45913 # DEPENDENCYPART_ARC
(10,30),-3.44412 # DEPENDENCYPART_ARC
(10,32),-11.4191 # DEPENDENCYPART_ARC
(10,33),-2.30831 # DEPENDENCYPART_ARC
(10,34),-3.54335 # DEPENDENCYPART_ARC
(10,35),-13.8024 # DEPENDENCYPART_ARC
(10,36),-6.62346 # DEPENDENCYPART_ARC
(10,37),-4.08016 # DEPENDENCYPART_ARC
(10,38),-16.4961 # DEPENDENCYPART_ARC
(10,39),-6.83783 # DEPENDENCYPART_ARC
(10,40),-0.643419 # DEPENDENCYPART_ARC
(11,1),-2.79601 # DEPENDENCYPART_ARC
(11,2),-3.04375 # DEPENDENCYPART_ARC
(11,3),-2.64821 # DEPENDENCYPART_ARC
(11,4),-3.91879 # DEPENDENCYPART_ARC
(11,5),-1.45841 # DEPENDENCYPART_ARC
(11,6),-0.939875 # DEPENDENCYPART_ARC
(11,7),-0.770628 # DEPENDENCYPART_ARC
(11,8),0.201727 # DEPENDENCYPART_ARC
(11,9),-0.21914 # DEPENDENCYPART_ARC
(11,10),0.218684 # DEPENDENCYPART_ARC
(11,12),2.40012 # DEPENDENCYPART_ARC
(11,13),0.672712 # DEPENDENCYPART_ARC
(11,14),0.371712 # DEPENDENCYPART_ARC
(11,15),-1.94074 # DEPENDENCYPART_ARC
(11,16),-0.217794 # DEPENDENCYPART_ARC
(11,17),0.180226 # DEPENDENCYPART_ARC
(11,18),-0.42253 # DEPENDENCYPART_ARC
(11,19),-1.0376 # DEPENDENCYPART_ARC
(11,20),-2.46426 # DEPENDENCYPART_ARC
(11,21),-1.90705 # DEPENDENCYPART_ARC
(11,22),-1.33818 # DEPENDENCYPART_ARC
(11,23),-1.61598 # DEPENDENCYPART_ARC
(11,24),-1.19519 # DEPENDENCYPART_ARC
(11,25),-0.984027 # DEPENDENCYPART_ARC
(11,26),-1.59643 # DEPENDENCYPART_ARC
(11,27),0.03248 # DEPENDENCYPART_ARC
(11,28),-1.36855 # DEPENDENCYPART_ARC
(11,29),-2.71352 # DEPENDENCYPART_ARC
(11,30),-1.99937 # DEPENDENCYPART_ARC
(11,31),-2.59196 # DEPENDENCYPART_ARC
(11,32),-2.40601 # DEPENDENCYPART_ARC
(11,33),-0.553916 # DEPENDENCYPART_ARC
(11,34),-3.8175 # DEPENDENCYPART_ARC
(11,35),-2.61104 # DEPENDENCYPART_ARC
(11,36),-5.99027 # DEPENDENCYPART_ARC
(11,37),-4.67632 # DEPENDENCYPART_ARC
(11,38),-2.20923 # DEPENDENCYPART_ARC
(11,39),-4.23947 # DEPENDENCYPART_ARC
(11,40),-0.203539 # DEPENDENCYPART_ARC
(12,1),-2.25081 # DEPENDENCYPART_ARC
(12,2),-2.65426 # DEPENDENCYPART_ARC
(12,3),-2.27107 # DEPENDENCYPART_ARC
(12,4),-2.49659 # DEPENDENCYPART_ARC
(12,5),-0.925058 # DEPENDENCYPART_ARC
(12,6),-0.5807 # DEPENDENCYPART_ARC
(12,7),-0.712186 # DEPENDENCYPART_ARC
(12,8),-0.0933152 # DEPENDENCYPART_ARC
(12,9),-0.0870751 # DEPENDENCYPART_ARC
(12,10),-0.536006 # DEPENDENCYPART_ARC
(12,11),-0.641865 # DEPENDENCYPART_ARC
(12,13),3.61178 # DEPENDENCYPART_ARC
(12,14),-0.390113 # DEPENDENCYPART_ARC
(12,15),-1.73009 # DEPENDENCYPART_ARC
(12,16),-0.125237 # DEPENDENCYPART_ARC
(12,17),-0.597 # DEPENDENCYPART_ARC
(12,18),-1.25007 # DEPENDENCYPART_ARC
(12,19),-1.41737 # DEPENDENCYPART_ARC
(12,20),-2.84094 # DEPENDENCYPART_ARC
(12,21),-4.30781 # DEPENDENCYPART_ARC
(12,22),-2.4248 # DEPENDENCYPART_ARC
(12,23),-2.37157 # DEPENDENCYPART_ARC
(12,24),-1.89097 # DEPENDENCYPART_ARC
(12,25),-1.74596 # DEPENDENCYPART_ARC
(12,26),-1.57983 # DEPENDENCYPART_ARC
(12,27),-1.98548 # DEPENDENCYPART_ARC
(12,28),-7.80363 # DEPENDENCYPART_ARC
(12,29),-4.9983 # DEPENDENCYPART_ARC
(12,30),-4.5959 # DEPENDENCYPART_ARC
(12,32),-10.2846 # DEPENDENCYPART_ARC
(12,33),-2.68158 # DEPENDENCYPART_ARC
(12,34),-2.81562 # DEPENDENCYPART_ARC
(12,35),-12.6296 # DEPENDENCYPART_ARC
(12,36),-6.62763 # DEPENDENCYPART_ARC
(12,37),-3.32438 # DEPENDENCYPART_ARC
(12,38),-15.4024 # DEPENDENCYPART_ARC
(12,39),-4.99224 # DEPENDENCYPART_ARC
(12,40),-0.820487 # DEPENDENCYPART_ARC
(13,1),-1.83697 # DEPENDENCYPART_ARC
(13,2),-2.86959 # DEPENDENCYPART_ARC
(13,3),-2.23734 # DEPENDENCYPART_ARC
(13,4),-2.18003 # DEPENDENCYPART_ARC
(13,5),-0.901183 # DEPENDENCYPART_ARC
(13,6),-0.84556 # DEPENDENCYPART_ARC
(13,7),-0.896204 # DEPENDENCYPART_ARC
(13,8),-0.0575874 # DEPENDENCYPART_ARC
(13,9),-0.22775 # DEPENDENCYPART_ARC
(13,10),-0.257827 # DEPENDENCYPART_ARC
(13,11),-0.488631 # DEPENDENCYPART_ARC
(13,12),1.11201 # DEPENDENCYPART_ARC
(13,14),0.613599 # DEPENDENCYPART_ARC
(13,15),-0.2084 # DEPENDENCYPART_ARC
(13,16),-0.142209 # DEPENDENCYPART_ARC
(13,17),0.492133 # DEPENDENCYPART_ARC
(13,18),-0.178461 # DEPENDENCYPART_ARC
(13,19),-1.44433 # DEPENDENCYPART_ARC
(13,20),-1.83604 # DEPENDENCYPART_ARC
(13,21),-1.19084 # DEPENDENCYPART_ARC
(13,22),-0.967665 # DEPENDENCYPART_ARC
(13,23),-0.992275 # DEPENDENCYPART_ARC
(13,24),-1.72752 # DEPENDENCYPART_ARC
(13,25),-0.752818 # DEPENDENCYPART_ARC
(13,26),-1.94486 # DEPENDENCYPART_ARC
(13,27),-1.32109 # DEPENDENCYPART_ARC
(13,28),-1.26222 # DEPENDENCYPART_ARC
(13,29),-0.917586 # DEPENDENCYPART_ARC
(13,30),-2.2338 # DEPENDENCYPART_ARC
(13,32),-1.59086 # DEPENDENCYPART_ARC
(13,33),-1.25591 # DEPENDENCYPART_ARC
(13,34),-2.31159 # DEPENDENCYPART_ARC
(13,35),-1.70447 # DEPENDENCYPART_ARC
(13,36),-1.23856 # DEPENDENCYPART_ARC
(13,37),-2.3743 # DEPENDENCYPART_ARC
(13,38),-1.73556 # DEPENDENCYPART_ARC
(13,39),-1.94849 # DEPENDENCYPART_ARC
(13,40),-1.63179 # DEPENDENCYPART_ARC
(14,2),-3.28968 # DEPENDENCYPART_ARC
(14,11),-1.99448 # DEPENDENCYPART_ARC
(14,21),-2.04454 # DEPENDENCYPART_ARC
(14,22),-2.05306 # DEPENDENCYPART_ARC
(14,23),-2.05315 # DEPENDENCYPART_ARC
(14,27),-1.66952 # DEPENDENCYPART_ARC
(14,32),-2.35544 # DEPENDENCYPART_ARC
(14,38),-2.2969 # DEPENDENCYPART_ARC
(14,39),-2.54695 # DEPENDENCYPART_ARC
(15,1),-4.58634 # DEPENDENCYPART_ARC
(15,2),-4.18046 # DEPENDENCYPART_ARC
(15,5),-2.11552 # DEPENDENCYPART_ARC
(15,6),-2.10542 # DEPENDENCYPART_ARC
(15,7),-2.10689 # DEPENDENCYPART_ARC
(15,9),-2.19906 # DEPENDENCYPART_ARC
(15,10),-1.78005 # DEPENDENCYPART_ARC
(15,11),-2.67568 # DEPENDENCYPART_ARC
(15,12),-1.33116 # DEPENDENCYPART_ARC
