# _root_ Avui , en aquesta població , hi ha afectades ni_més_ni_menys_que 14 hectàrees d' una urbanització .
#goldHeads=8,1,8,5,3,3,8,0,8,12,12,8,12,15,13,8,
#predictedHeads=8,1,8,5,3,3,8,0,8,11,12,8,12,15,13,8,
(2,15),-2.22711 # DEPENDENCYPART_ARC
(2,16),-1.53302 # DEPENDENCYPART_ARC
(3,1),0.108946 # DEPENDENCYPART_ARC
(3,2),1.96851 # DEPENDENCYPART_ARC
(3,4),0.746484 # DEPENDENCYPART_ARC
(3,5),5.12225 # DEPENDENCYPART_ARC
(3,6),2.73143 # DEPENDENCYPART_ARC
(3,7),0.415346 # DEPENDENCYPART_ARC
(3,8),0.71371 # DEPENDENCYPART_ARC
(3,9),-0.495999 # DEPENDENCYPART_ARC
(3,10),-0.803125 # DEPENDENCYPART_ARC
(3,11),-1.65157 # DEPENDENCYPART_ARC
(3,12),-2.63524 # DEPENDENCYPART_ARC
(3,13),-1.91409 # DEPENDENCYPART_ARC
(3,14),-2.18259 # DEPENDENCYPART_ARC
(3,15),-4.78395 # DEPENDENCYPART_ARC
(3,16),0.168171 # DEPENDENCYPART_ARC
(4,1),-1.44686 # DEPENDENCYPART_ARC
(4,2),-1.31728 # DEPENDENCYPART_ARC
(4,3),-0.558868 # DEPENDENCYPART_ARC
(4,5),0.506444 # DEPENDENCYPART_ARC
(4,6),-1.6641 # DEPENDENCYPART_ARC
(4,7),-3.08978 # DEPENDENCYPART_ARC
(4,8),-2.4824 # DEPENDENCYPART_ARC
(4,9),-3.93462 # DEPENDENCYPART_ARC
(4,10),-2.80569 # DEPENDENCYPART_ARC
(4,11),-1.61508 # DEPENDENCYPART_ARC
(4,12),-3.07271 # DEPENDENCYPART_ARC
(4,13),-3.47379 # DEPENDENCYPART_ARC
(4,14),-1.95139 # DEPENDENCYPART_ARC
(4,15),-3.65944 # DEPENDENCYPART_ARC
(4,16),-3.48511 # DEPENDENCYPART_ARC
(5,1),-0.247264 # DEPENDENCYPART_ARC
(5,2),0.505986 # DEPENDENCYPART_ARC
(5,3),1.06718 # DEPENDENCYPART_ARC
(5,4),5.06044 # DEPENDENCYPART_ARC
(5,6),-0.0361966 # DEPENDENCYPART_ARC
(5,7),-1.49739 # DEPENDENCYPART_ARC
(5,8),1.83328 # DEPENDENCYPART_ARC
(5,9),-0.687934 # DEPENDENCYPART_ARC
(5,10),-0.850246 # DEPENDENCYPART_ARC
(5,11),-0.882621 # DEPENDENCYPART_ARC
(5,12),-0.593377 # DEPENDENCYPART_ARC
(5,13),-0.671085 # DEPENDENCYPART_ARC
(5,14),-1.77316 # DEPENDENCYPART_ARC
(5,15),0.226427 # DEPENDENCYPART_ARC
(5,16),1.15734 # DEPENDENCYPART_ARC
(6,1),-2.93001 # DEPENDENCYPART_ARC
(6,2),-2.08916 # DEPENDENCYPART_ARC
(6,3),-1.85926 # DEPENDENCYPART_ARC
(6,4),-1.47858 # DEPENDENCYPART_ARC
(6,5),-1.76334 # DEPENDENCYPART_ARC
(6,7),-1.77912 # DEPENDENCYPART_ARC
(6,8),-2.27827 # DEPENDENCYPART_ARC
(6,9),-2.94447 # DEPENDENCYPART_ARC
(6,10),-3.27037 # DEPENDENCYPART_ARC
(6,11),-2.89019 # DEPENDENCYPART_ARC
(6,12),-3.2081 # DEPENDENCYPART_ARC
(6,13),-3.27518 # DEPENDENCYPART_ARC
(6,14),-3.8751 # DEPENDENCYPART_ARC
(6,15),-3.42782 # DEPENDENCYPART_ARC
(6,16),-2.65671 # DEPENDENCYPART_ARC
(7,1),-1.18585 # DEPENDENCYPART_ARC
(7,2),-0.795004 # DEPENDENCYPART_ARC
(7,3),-0.539699 # DEPENDENCYPART_ARC
(7,4),-1.42094 # DEPENDENCYPART_ARC
(7,5),-1.8903 # DEPENDENCYPART_ARC
(7,6),0.940159 # DEPENDENCYPART_ARC
(7,8),-0.315907 # DEPENDENCYPART_ARC
(7,9),0.534804 # DEPENDENCYPART_ARC
(7,10),-1.32166 # DEPENDENCYPART_ARC
(7,11),-1.29492 # DEPENDENCYPART_ARC
(7,12),-0.684658 # DEPENDENCYPART_ARC
(7,13),-2.2921 # DEPENDENCYPART_ARC
(7,14),-1.77111 # DEPENDENCYPART_ARC
(7,15),-2.06583 # DEPENDENCYPART_ARC
(7,16),-0.113561 # DEPENDENCYPART_ARC
(8,1),1.75979 # DEPENDENCYPART_ARC
(8,2),1.27805 # DEPENDENCYPART_ARC
(8,3),2.5603 # DEPENDENCYPART_ARC
(8,4),0.541331 # DEPENDENCYPART_ARC
(8,5),1.05173 # DEPENDENCYPART_ARC
(8,6),2.18879 # DEPENDENCYPART_ARC
(8,7),4.22341 # DEPENDENCYPART_ARC
(8,9),3.79268 # DEPENDENCYPART_ARC
(8,10),1.61027 # DEPENDENCYPART_ARC
(8,11),0.411102 # DEPENDENCYPART_ARC
(8,12),2.13639 # DEPENDENCYPART_ARC
(8,13),0.203863 # DEPENDENCYPART_ARC
(8,14),-2.55465 # DEPENDENCYPART_ARC
(8,15),1.60461 # DEPENDENCYPART_ARC
(8,16),3.47369 # DEPENDENCYPART_ARC
(9,1),-1.814 # DEPENDENCYPART_ARC
(9,2),-1.51746 # DEPENDENCYPART_ARC
(9,3),-0.0744799 # DEPENDENCYPART_ARC
(9,4),-0.539229 # DEPENDENCYPART_ARC
(9,5),-0.819675 # DEPENDENCYPART_ARC
(9,6),-0.398256 # DEPENDENCYPART_ARC
(9,7),0.617558 # DEPENDENCYPART_ARC
(9,8),0.471084 # DEPENDENCYPART_ARC
(9,10),1.36362 # DEPENDENCYPART_ARC
(9,11),0.379949 # DEPENDENCYPART_ARC
(9,12),0.237321 # DEPENDENCYPART_ARC
(9,13),0.911507 # DEPENDENCYPART_ARC
(9,14),-2.49088 # DEPENDENCYPART_ARC
(9,15),-0.752917 # DEPENDENCYPART_ARC
(9,16),-0.0412648 # DEPENDENCYPART_ARC
(10,1),-1.15317 # DEPENDENCYPART_ARC
(10,2),-0.593307 # DEPENDENCYPART_ARC
(10,3),-0.657669 # DEPENDENCYPART_ARC
(10,4),-1.30959 # DEPENDENCYPART_ARC
(10,5),-1.48525 # DEPENDENCYPART_ARC
(10,6),-0.298383 # DEPENDENCYPART_ARC
(10,7),-0.509913 # DEPENDENCYPART_ARC
(10,8),0.0787478 # DEPENDENCYPART_ARC
(10,9),1.02796 # DEPENDENCYPART_ARC
(10,11),1.55112 # DEPENDENCYPART_ARC
(10,12),0.649848 # DEPENDENCYPART_ARC
(10,13),-0.174847 # DEPENDENCYPART_ARC
(10,14),-0.618788 # DEPENDENCYPART_ARC
(10,15),-0.0275215 # DEPENDENCYPART_ARC
(10,16),-0.745072 # DEPENDENCYPART_ARC
(11,1),-1.22218 # DEPENDENCYPART_ARC
(11,2),-1.46989 # DEPENDENCYPART_ARC
(11,3),-0.523449 # DEPENDENCYPART_ARC
(11,4),-1.0429 # DEPENDENCYPART_ARC
(11,5),-1.67437 # DEPENDENCYPART_ARC
(11,6),-0.906972 # DEPENDENCYPART_ARC
(11,7),-0.4527 # DEPENDENCYPART_ARC
(11,8),-0.811968 # DEPENDENCYPART_ARC
(11,9),0.784307 # DEPENDENCYPART_ARC
(11,10),2.16027 # DEPENDENCYPART_ARC
(11,12),1.16426 # DEPENDENCYPART_ARC
(11,13),0.624224 # DEPENDENCYPART_ARC
(11,14),-0.721803 # DEPENDENCYPART_ARC
(11,15),0.0625444 # DEPENDENCYPART_ARC
(11,16),0.00227816 # DEPENDENCYPART_ARC
(12,1),-0.869415 # DEPENDENCYPART_ARC
(12,2),-0.425077 # DEPENDENCYPART_ARC
(12,3),-0.495474 # DEPENDENCYPART_ARC
(12,4),-0.362535 # DEPENDENCYPART_ARC
(12,5),-1.56657 # DEPENDENCYPART_ARC
(12,6),0.120905 # DEPENDENCYPART_ARC
(12,7),0.767281 # DEPENDENCYPART_ARC
(12,8),0.264281 # DEPENDENCYPART_ARC
(12,9),1.00096 # DEPENDENCYPART_ARC
(12,10),1.55284 # DEPENDENCYPART_ARC
(12,11),3.19695 # DEPENDENCYPART_ARC
(12,13),2.6575 # DEPENDENCYPART_ARC
(12,14),-0.277051 # DEPENDENCYPART_ARC
(12,15),1.25549 # DEPENDENCYPART_ARC
(12,16),1.22402 # DEPENDENCYPART_ARC
(13,1),-1.70205 # DEPENDENCYPART_ARC
(13,2),-2.02424 # DEPENDENCYPART_ARC
(13,3),-1.94178 # DEPENDENCYPART_ARC
(13,4),-1.31181 # DEPENDENCYPART_ARC
(13,5),-2.086 # DEPENDENCYPART_ARC
(13,6),-1.60519 # DEPENDENCYPART_ARC
(13,7),-1.59494 # DEPENDENCYPART_ARC
(13,8),-0.232887 # DEPENDENCYPART_ARC
(13,9),-0.694105 # DEPENDENCYPART_ARC
(13,10),-0.19598 # DEPENDENCYPART_ARC
(13,11),0.118704 # DEPENDENCYPART_ARC
(13,12),0.346304 # DEPENDENCYPART_ARC
(13,14),0.496912 # DEPENDENCYPART_ARC
(13,15),5.13589 # DEPENDENCYPART_ARC
(13,16),-0.0308179 # DEPENDENCYPART_ARC
(14,1),-1.81168 # DEPENDENCYPART_ARC
(14,2),-1.61462 # DEPENDENCYPART_ARC
(14,3),-2.1076 # DEPENDENCYPART_ARC
(14,4),-2.23195 # DEPENDENCYPART_ARC
(14,5),-2.65009 # DEPENDENCYPART_ARC
(14,6),-1.40733 # DEPENDENCYPART_ARC
(14,7),-1.65696 # DEPENDENCYPART_ARC
(14,8),-2.09509 # DEPENDENCYPART_ARC
(14,9),-1.4388 # DEPENDENCYPART_ARC
(14,10),-0.219453 # DEPENDENCYPART_ARC
(14,11),-0.492659 # DEPENDENCYPART_ARC
(14,12),-0.911607 # DEPENDENCYPART_ARC
(14,13),0.932173 # DEPENDENCYPART_ARC
(14,15),1.32662 # DEPENDENCYPART_ARC
(14,16),-0.950388 # DEPENDENCYPART_ARC
(15,1),-1.78786 # DEPENDENCYPART_ARC
(15,2),-1.09514 # DEPENDENCYPART_ARC
(15,3),-1.02265 # DEPENDENCYPART_ARC
(15,4),-1.57943 # DEPENDENCYPART_ARC
(15,5),-1.72165 # DEPENDENCYPART_ARC
(15,6),-0.835083 # DEPENDENCYPART_ARC
(15,7),0.594629 # DEPENDENCYPART_ARC
(15,8),-1.63504 # DEPENDENCYPART_ARC
(15,9),-0.621016 # DEPENDENCYPART_ARC
(15,10),0.0169297 # DEPENDENCYPART_ARC
(15,11),-0.171968 # DEPENDENCYPART_ARC
(15,12),-0.0166011 # DEPENDENCYPART_ARC
(15,13),0.751402 # DEPENDENCYPART_ARC
(15,14),5.06646 # DEPENDENCYPART_ARC
(15,16),0.895932 # DEPENDENCYPART_ARC
(16,1),-4.21038 # DEPENDENCYPART_ARC
(16,2),-3.60426 # DEPENDENCYPART_ARC
(16,3),-3.61795 # DEPENDENCYPART_ARC
(16,4),-4.37553 # DEPENDENCYPART_ARC
(16,5),-4.57335 # DEPENDENCYPART_ARC
(16,6),-3.33166 # DEPENDENCYPART_ARC
(16,7),-3.83916 # DEPENDENCYPART_ARC
(16,8),-3.95376 # DEPENDENCYPART_ARC
(16,9),-3.38982 # DEPENDENCYPART_ARC
(16,10),-3.54384 # DEPENDENCYPART_ARC
(16,11),-3.27958 # DEPENDENCYPART_ARC
(16,12),-3.54173 # DEPENDENCYPART_ARC
(16,13),-2.35863 # DEPENDENCYPART_ARC
(16,14),-2.07047 # DEPENDENCYPART_ARC
(16,15),-2.27945 # DEPENDENCYPART_ARC
