# _root_ ' Carpe_Diem ' és un homenatge a la vida : ' aprofita el temps al màxim , que la vida sigui extraordinària , que cada moment sigui únic ' .
#goldHeads=2,4,2,0,6,4,6,9,7,12,12,6,14,12,12,15,12,21,20,21,12,21,12,27,26,27,12,27,12,4,
#predictedHeads=2,4,2,12,6,4,6,9,7,12,12,0,14,12,12,15,12,21,20,21,12,21,27,27,26,27,21,27,27,12,
(4,6),3.686 # DEPENDENCYPART_ARC
(4,7),2.18154 # DEPENDENCYPART_ARC
(4,8),-2.53164 # DEPENDENCYPART_ARC
(4,9),1.96496 # DEPENDENCYPART_ARC
(4,10),1.93037 # DEPENDENCYPART_ARC
(4,11),1.9566 # DEPENDENCYPART_ARC
(4,12),1.55982 # DEPENDENCYPART_ARC
(4,13),-3.6345 # DEPENDENCYPART_ARC
(4,14),0.199145 # DEPENDENCYPART_ARC
(4,15),0.831569 # DEPENDENCYPART_ARC
(4,16),0.121158 # DEPENDENCYPART_ARC
(4,17),0.627363 # DEPENDENCYPART_ARC
(4,18),-0.164616 # DEPENDENCYPART_ARC
(4,19),-3.56122 # DEPENDENCYPART_ARC
(4,20),-0.998707 # DEPENDENCYPART_ARC
(4,21),-0.107152 # DEPENDENCYPART_ARC
(4,22),0.0289623 # DEPENDENCYPART_ARC
(4,23),0.177018 # DEPENDENCYPART_ARC
(4,24),-0.597533 # DEPENDENCYPART_ARC
(4,25),-2.40091 # DEPENDENCYPART_ARC
(4,26),-2.57572 # DEPENDENCYPART_ARC
(4,27),-1.04557 # DEPENDENCYPART_ARC
(4,28),-0.800444 # DEPENDENCYPART_ARC
(4,29),-0.133385 # DEPENDENCYPART_ARC
(4,30),5.39328 # DEPENDENCYPART_ARC
(5,1),-2.10806 # DEPENDENCYPART_ARC
(5,3),-1.39763 # DEPENDENCYPART_ARC
(5,6),3.28099 # DEPENDENCYPART_ARC
(5,7),0.344754 # DEPENDENCYPART_ARC
(5,9),-0.619954 # DEPENDENCYPART_ARC
(5,11),-1.03139 # DEPENDENCYPART_ARC
(5,14),-2.09027 # DEPENDENCYPART_ARC
(5,15),-3.0577 # DEPENDENCYPART_ARC
(5,16),-2.32096 # DEPENDENCYPART_ARC
(5,20),-2.884 # DEPENDENCYPART_ARC
(5,22),-3.47923 # DEPENDENCYPART_ARC
(5,25),-3.87425 # DEPENDENCYPART_ARC
(5,26),-3.66411 # DEPENDENCYPART_ARC
(5,28),-3.01464 # DEPENDENCYPART_ARC
(5,29),-3.56945 # DEPENDENCYPART_ARC
(6,1),-0.0508349 # DEPENDENCYPART_ARC
(6,2),-1.14203 # DEPENDENCYPART_ARC
(6,3),1.30179 # DEPENDENCYPART_ARC
(6,4),1.194 # DEPENDENCYPART_ARC
(6,5),4.35202 # DEPENDENCYPART_ARC
(6,7),2.58221 # DEPENDENCYPART_ARC
(6,8),-0.960689 # DEPENDENCYPART_ARC
(6,9),1.49005 # DEPENDENCYPART_ARC
(6,10),0.286721 # DEPENDENCYPART_ARC
(6,11),0.579316 # DEPENDENCYPART_ARC
(6,12),1.01072 # DEPENDENCYPART_ARC
(6,13),-1.74837 # DEPENDENCYPART_ARC
(6,14),-0.0415606 # DEPENDENCYPART_ARC
(6,15),0.182776 # DEPENDENCYPART_ARC
(6,16),-0.203229 # DEPENDENCYPART_ARC
(6,17),0.485674 # DEPENDENCYPART_ARC
(6,18),-0.927304 # DEPENDENCYPART_ARC
(6,19),-3.04939 # DEPENDENCYPART_ARC
(6,20),-0.757181 # DEPENDENCYPART_ARC
(6,21),-1.46177 # DEPENDENCYPART_ARC
(6,22),-3.36682 # DEPENDENCYPART_ARC
(6,23),0.0405179 # DEPENDENCYPART_ARC
(6,24),-1.68077 # DEPENDENCYPART_ARC
(6,25),-2.65363 # DEPENDENCYPART_ARC
(6,26),-1.76774 # DEPENDENCYPART_ARC
(6,27),-3.30362 # DEPENDENCYPART_ARC
(6,28),-3.19554 # DEPENDENCYPART_ARC
(6,29),-1.46203 # DEPENDENCYPART_ARC
(6,30),0.546602 # DEPENDENCYPART_ARC
(7,1),-1.89318 # DEPENDENCYPART_ARC
(7,2),-2.79629 # DEPENDENCYPART_ARC
(7,3),-1.47706 # DEPENDENCYPART_ARC
(7,4),-0.112531 # DEPENDENCYPART_ARC
(7,5),-0.378909 # DEPENDENCYPART_ARC
(7,6),-0.510048 # DEPENDENCYPART_ARC
(7,8),-0.292612 # DEPENDENCYPART_ARC
(7,9),5.15392 # DEPENDENCYPART_ARC
(7,10),-0.0636714 # DEPENDENCYPART_ARC
(7,11),-0.595421 # DEPENDENCYPART_ARC
(7,12),-0.671324 # DEPENDENCYPART_ARC
(7,13),-2.78504 # DEPENDENCYPART_ARC
(7,14),-1.60876 # DEPENDENCYPART_ARC
(7,15),-1.83116 # DEPENDENCYPART_ARC
(7,16),-3.84593 # DEPENDENCYPART_ARC
(7,17),-1.03249 # DEPENDENCYPART_ARC
(7,18),-2.74189 # DEPENDENCYPART_ARC
(7,19),-3.01966 # DEPENDENCYPART_ARC
(7,20),-5.67898 # DEPENDENCYPART_ARC
(7,21),-2.54967 # DEPENDENCYPART_ARC
(7,22),-2.24442 # DEPENDENCYPART_ARC
(7,23),-2.34104 # DEPENDENCYPART_ARC
(7,24),-3.89805 # DEPENDENCYPART_ARC
(7,25),-2.24585 # DEPENDENCYPART_ARC
(7,26),-10.3256 # DEPENDENCYPART_ARC
(7,27),-4.68023 # DEPENDENCYPART_ARC
(7,28),-3.65625 # DEPENDENCYPART_ARC
(7,29),-3.64153 # DEPENDENCYPART_ARC
(7,30),-1.87654 # DEPENDENCYPART_ARC
(8,2),-2.46582 # DEPENDENCYPART_ARC
(8,5),-1.27901 # DEPENDENCYPART_ARC
(8,6),-1.13414 # DEPENDENCYPART_ARC
(8,7),-0.254144 # DEPENDENCYPART_ARC
(8,9),0.633699 # DEPENDENCYPART_ARC
(8,13),-2.47592 # DEPENDENCYPART_ARC
(8,14),-3.50233 # DEPENDENCYPART_ARC
(8,15),-3.3518 # DEPENDENCYPART_ARC
(8,16),-4.15066 # DEPENDENCYPART_ARC
(8,19),-3.38611 # DEPENDENCYPART_ARC
(8,20),-3.84094 # DEPENDENCYPART_ARC
(8,22),-3.92359 # DEPENDENCYPART_ARC
(8,25),-4.61315 # DEPENDENCYPART_ARC
(8,26),-5.31627 # DEPENDENCYPART_ARC
(8,28),-5.49504 # DEPENDENCYPART_ARC
(9,1),-1.40212 # DEPENDENCYPART_ARC
(9,2),-2.10416 # DEPENDENCYPART_ARC
(9,3),-0.480672 # DEPENDENCYPART_ARC
(9,4),-0.758402 # DEPENDENCYPART_ARC
(9,5),0.608963 # DEPENDENCYPART_ARC
(9,6),-1.23571 # DEPENDENCYPART_ARC
(9,7),0.239675 # DEPENDENCYPART_ARC
(9,8),4.72376 # DEPENDENCYPART_ARC
(9,10),-0.495639 # DEPENDENCYPART_ARC
(9,11),-0.779862 # DEPENDENCYPART_ARC
(9,12),0.348057 # DEPENDENCYPART_ARC
(9,13),-3.03868 # DEPENDENCYPART_ARC
(9,14),-1.8244 # DEPENDENCYPART_ARC
(9,15),-1.57796 # DEPENDENCYPART_ARC
(9,16),-1.46263 # DEPENDENCYPART_ARC
(9,17),-1.43926 # DEPENDENCYPART_ARC
(9,18),-2.28945 # DEPENDENCYPART_ARC
(9,19),-3.19974 # DEPENDENCYPART_ARC
(9,20),-1.98485 # DEPENDENCYPART_ARC
(9,21),-2.39552 # DEPENDENCYPART_ARC
(9,22),-1.71253 # DEPENDENCYPART_ARC
(9,23),-1.792 # DEPENDENCYPART_ARC
(9,24),-3.17255 # DEPENDENCYPART_ARC
(9,25),-3.56448 # DEPENDENCYPART_ARC
(9,26),-3.31511 # DEPENDENCYPART_ARC
(9,27),-4.10105 # DEPENDENCYPART_ARC
(9,28),-4.58752 # DEPENDENCYPART_ARC
(9,29),-2.64963 # DEPENDENCYPART_ARC
(9,30),-0.618032 # DEPENDENCYPART_ARC
(10,2),-2.84999 # DEPENDENCYPART_ARC
(10,7),-0.544665 # DEPENDENCYPART_ARC
(10,15),-0.867907 # DEPENDENCYPART_ARC
(10,17),-0.155388 # DEPENDENCYPART_ARC
(10,23),-0.597518 # DEPENDENCYPART_ARC
(12,1),0.81082 # DEPENDENCYPART_ARC
(12,2),0.139069 # DEPENDENCYPART_ARC
(12,3),-0.0622937 # DEPENDENCYPART_ARC
(12,4),1.50083 # DEPENDENCYPART_ARC
(12,6),1.01793 # DEPENDENCYPART_ARC
(12,7),0.198217 # DEPENDENCYPART_ARC
(12,8),0.167691 # DEPENDENCYPART_ARC
(12,9),1.9488 # DEPENDENCYPART_ARC
(12,10),2.74483 # DEPENDENCYPART_ARC
(12,11),2.72445 # DEPENDENCYPART_ARC
(12,13),-0.736445 # DEPENDENCYPART_ARC
(12,14),3.54357 # DEPENDENCYPART_ARC
(12,15),3.04956 # DEPENDENCYPART_ARC
(12,16),1.79649 # DEPENDENCYPART_ARC
(12,17),1.90938 # DEPENDENCYPART_ARC
(12,18),0.639633 # DEPENDENCYPART_ARC
(12,19),-2.65543 # DEPENDENCYPART_ARC
(12,20),0.0498773 # DEPENDENCYPART_ARC
(12,21),1.77986 # DEPENDENCYPART_ARC
(12,22),0.0158769 # DEPENDENCYPART_ARC
(12,23),1.43965 # DEPENDENCYPART_ARC
(12,24),-0.394232 # DEPENDENCYPART_ARC
(12,26),-2.16986 # DEPENDENCYPART_ARC
(12,27),0.584317 # DEPENDENCYPART_ARC
(12,28),-0.477249 # DEPENDENCYPART_ARC
(12,29),1.43106 # DEPENDENCYPART_ARC
(12,30),5.51184 # DEPENDENCYPART_ARC
(13,2),-3.68919 # DEPENDENCYPART_ARC
(13,5),-3.53352 # DEPENDENCYPART_ARC
(13,6),-3.38828 # DEPENDENCYPART_ARC
(13,7),-2.98734 # DEPENDENCYPART_ARC
(13,8),-2.32547 # DEPENDENCYPART_ARC
(13,9),-3.1375 # DEPENDENCYPART_ARC
(13,14),0.970165 # DEPENDENCYPART_ARC
(13,15),-0.262705 # DEPENDENCYPART_ARC
(13,16),-1.77361 # DEPENDENCYPART_ARC
(13,19),-2.54642 # DEPENDENCYPART_ARC
(13,20),-2.81924 # DEPENDENCYPART_ARC
(13,22),-3.83465 # DEPENDENCYPART_ARC
(13,25),-4.18124 # DEPENDENCYPART_ARC
(13,26),-3.86846 # DEPENDENCYPART_ARC
(13,28),-3.27122 # DEPENDENCYPART_ARC
(14,1),-2.11767 # DEPENDENCYPART_ARC
(14,2),-2.49492 # DEPENDENCYPART_ARC
(14,3),-1.13973 # DEPENDENCYPART_ARC
(14,4),0.53729 # DEPENDENCYPART_ARC
(14,5),-1.85357 # DEPENDENCYPART_ARC
(14,6),-1.98386 # DEPENDENCYPART_ARC
(14,7),-0.781794 # DEPENDENCYPART_ARC
(14,8),-1.23449 # DEPENDENCYPART_ARC
(14,9),-2.06443 # DEPENDENCYPART_ARC
(14,10),0.752757 # DEPENDENCYPART_ARC
(14,11),0.924448 # DEPENDENCYPART_ARC
(14,12),2.49963 # DEPENDENCYPART_ARC
(14,13),4.28807 # DEPENDENCYPART_ARC
(14,15),1.61049 # DEPENDENCYPART_ARC
(14,16),0.353553 # DEPENDENCYPART_ARC
(14,17),0.474306 # DEPENDENCYPART_ARC
(14,18),0.0248474 # DEPENDENCYPART_ARC
(14,19),-2.21355 # DEPENDENCYPART_ARC
(14,20),-0.420882 # DEPENDENCYPART_ARC
(14,21),-0.300162 # DEPENDENCYPART_ARC
(14,22),-2.33319 # DEPENDENCYPART_ARC
(14,23),-0.97435 # DEPENDENCYPART_ARC
(14,24),-1.60002 # DEPENDENCYPART_ARC
(14,25),-2.39812 # DEPENDENCYPART_ARC
(14,26),-2.8131 # DEPENDENCYPART_ARC
(14,27),-2.77128 # DEPENDENCYPART_ARC
(14,28),-1.75958 # DEPENDENCYPART_ARC
(14,29),-1.11622 # DEPENDENCYPART_ARC
(14,30),-0.0604065 # DEPENDENCYPART_ARC
(15,1),-1.76516 # DEPENDENCYPART_ARC
(15,2),-3.25258 # DEPENDENCYPART_ARC
(15,3),-1.57916 # DEPENDENCYPART_ARC
(15,4),-2.3762 # DEPENDENCYPART_ARC
(15,5),-2.44692 # DEPENDENCYPART_ARC
(15,6),-3.0728 # DEPENDENCYPART_ARC
(15,7),-2.06398 # DEPENDENCYPART_ARC
(15,8),-1.38643 # DEPENDENCYPART_ARC
(15,9),-1.97674 # DEPENDENCYPART_ARC
(15,10),-1.06343 # DEPENDENCYPART_ARC
(15,11),-1.2186 # DEPENDENCYPART_ARC
(15,12),-0.913183 # DEPENDENCYPART_ARC
(15,13),0.0769932 # DEPENDENCYPART_ARC
(15,14),-0.480846 # DEPENDENCYPART_ARC
(15,16),4.91775 # DEPENDENCYPART_ARC
(15,17),1.35844 # DEPENDENCYPART_ARC
(15,18),-0.0522638 # DEPENDENCYPART_ARC
(15,19),-2.0377 # DEPENDENCYPART_ARC
(15,20),-0.904333 # DEPENDENCYPART_ARC
(15,21),-1.30008 # DEPENDENCYPART_ARC
(15,22),-2.47681 # DEPENDENCYPART_ARC
(15,23),-0.286681 # DEPENDENCYPART_ARC
(15,24),-1.66273 # DEPENDENCYPART_ARC
(15,25),-1.5885 # DEPENDENCYPART_ARC
(15,26),-5.49638 # DEPENDENCYPART_ARC
(15,27),-2.83309 # DEPENDENCYPART_ARC
(15,28),-3.0842 # DEPENDENCYPART_ARC
(15,29),-1.71129 # DEPENDENCYPART_ARC
(15,30),-0.457086 # DEPENDENCYPART_ARC
(16,1),-4.51302 # DEPENDENCYPART_ARC
(16,2),-4.21014 # DEPENDENCYPART_ARC
(16,3),-3.96252 # DEPENDENCYPART_ARC
(16,4),-3.57402 # DEPENDENCYPART_ARC
(16,5),-4.68093 # DEPENDENCYPART_ARC
(16,6),-4.11938 # DEPENDENCYPART_ARC
(16,7),-3.04933 # DEPENDENCYPART_ARC
(16,8),-4.06621 # DEPENDENCYPART_ARC
(16,9),-3.80736 # DEPENDENCYPART_ARC
(16,10),-2.13123 # DEPENDENCYPART_ARC
(16,11),-2.19482 # DEPENDENCYPART_ARC
(16,12),-2.36632 # DEPENDENCYPART_ARC
(16,13),-0.562735 # DEPENDENCYPART_ARC
(16,14),-1.80652 # DEPENDENCYPART_ARC
(16,15),-0.354152 # DEPENDENCYPART_ARC
(16,17),0.05171 # DEPENDENCYPART_ARC
(16,18),-0.995224 # DEPENDENCYPART_ARC
(16,19),-2.44881 # DEPENDENCYPART_ARC
(16,20),-1.20767 # DEPENDENCYPART_ARC
(16,21),-0.353091 # DEPENDENCYPART_ARC
(16,22),-2.55383 # DEPENDENCYPART_ARC
(16,23),-1.81505 # DEPENDENCYPART_ARC
(16,24),-2.78909 # DEPENDENCYPART_ARC
(16,25),-2.82301 # DEPENDENCYPART_ARC
(16,26),-3.54565 # DEPENDENCYPART_ARC
(16,27),-2.64351 # DEPENDENCYPART_ARC
(16,28),-2.07059 # DEPENDENCYPART_ARC
(16,29),-1.98508 # DEPENDENCYPART_ARC
(16,30),-0.693982 # DEPENDENCYPART_ARC
(17,6),-3.45769 # DEPENDENCYPART_ARC
(17,9),-3.39216 # DEPENDENCYPART_ARC
(17,14),-2.29426 # DEPENDENCYPART_ARC
(17,16),-1.0586 # DEPENDENCYPART_ARC
(17,20),-1.50761 # DEPENDENCYPART_ARC
(17,22),-2.05568 # DEPENDENCYPART_ARC
(17,23),-1.39455 # DEPENDENCYPART_ARC
(17,26),-2.28112 # DEPENDENCYPART_ARC
(17,28),-2.36845 # DEPENDENCYPART_ARC
(18,1),-2.87586 # DEPENDENCYPART_ARC
(18,2),-3.90888 # DEPENDENCYPART_ARC
(18,3),-2.69183 # DEPENDENCYPART_ARC
(18,4),-3.59774 # DEPENDENCYPART_ARC
(18,5),-3.39465 # DEPENDENCYPART_ARC
(18,6),-3.71863 # DEPENDENCYPART_ARC
(18,7),-2.86707 # DEPENDENCYPART_ARC
(18,9),-3.60983 # DEPENDENCYPART_ARC
(18,11),-2.3119 # DEPENDENCYPART_ARC
(18,12),-2.98564 # DEPENDENCYPART_ARC
(18,14),-2.71173 # DEPENDENCYPART_ARC
(18,15),-1.36789 # DEPENDENCYPART_ARC
(18,16),-1.91192 # DEPENDENCYPART_ARC
(18,17),0.437425 # DEPENDENCYPART_ARC
(18,20),-0.936896 # DEPENDENCYPART_ARC
(18,21),-0.329461 # DEPENDENCYPART_ARC
(18,22),-1.69513 # DEPENDENCYPART_ARC
(18,23),-1.17732 # DEPENDENCYPART_ARC
(18,24),-1.01233 # DEPENDENCYPART_ARC
(18,25),-3.25195 # DEPENDENCYPART_ARC
(18,26),-3.8316 # DEPENDENCYPART_ARC
(18,27),-1.86115 # DEPENDENCYPART_ARC
(18,28),-2.34306 # DEPENDENCYPART_ARC
(18,29),-1.41739 # DEPENDENCYPART_ARC
(18,30),-1.03502 # DEPENDENCYPART_ARC
(19,2),-3.22563 # DEPENDENCYPART_ARC
(19,5),-3.89453 # DEPENDENCYPART_ARC
(19,6),-3.17812 # DEPENDENCYPART_ARC
(19,7),-3.07339 # DEPENDENCYPART_ARC
(19,8),-2.7387 # DEPENDENCYPART_ARC
(19,9),-2.84541 # DEPENDENCYPART_ARC
(19,13),-2.17474 # DEPENDENCYPART_ARC
(19,14),-2.04837 # DEPENDENCYPART_ARC
(19,15),-1.12333 # DEPENDENCYPART_ARC
(19,16),-1.71078 # DEPENDENCYPART_ARC
(19,20),1.29449 # DEPENDENCYPART_ARC
(19,22),-1.88651 # DEPENDENCYPART_ARC
(19,25),-1.86547 # DEPENDENCYPART_ARC
(19,26),-3.29938 # DEPENDENCYPART_ARC
(19,28),-4.28503 # DEPENDENCYPART_ARC
(20,1),-4.65534 # DEPENDENCYPART_ARC
(20,2),-3.2601 # DEPENDENCYPART_ARC
(20,3),-3.63215 # DEPENDENCYPART_ARC
(20,4),-2.16822 # DEPENDENCYPART_ARC
(20,5),-4.40587 # DEPENDENCYPART_ARC
(20,6),-2.79794 # DEPENDENCYPART_ARC
(20,7),-2.47153 # DEPENDENCYPART_ARC
(20,8),-3.1501 # DEPENDENCYPART_ARC
(20,9),-2.43562 # DEPENDENCYPART_ARC
(20,10),-1.87345 # DEPENDENCYPART_ARC
(20,11),-1.76138 # DEPENDENCYPART_ARC
(20,12),-1.28504 # DEPENDENCYPART_ARC
(20,13),-2.21755 # DEPENDENCYPART_ARC
(20,14),-1.22234 # DEPENDENCYPART_ARC
(20,15),-1.34335 # DEPENDENCYPART_ARC
(20,16),-1.13377 # DEPENDENCYPART_ARC
(20,17),-0.923666 # DEPENDENCYPART_ARC
(20,18),1.16747 # DEPENDENCYPART_ARC
(20,19),4.44232 # DEPENDENCYPART_ARC
(20,21),0.0270585 # DEPENDENCYPART_ARC
(20,22),-0.147901 # DEPENDENCYPART_ARC
(20,23),-1.53194 # DEPENDENCYPART_ARC
(20,24),-2.34112 # DEPENDENCYPART_ARC
(20,25),-2.88994 # DEPENDENCYPART_ARC
(20,26),-2.73262 # DEPENDENCYPART_ARC
(20,27),-2.78193 # DEPENDENCYPART_ARC
(20,28),-3.94032 # DEPENDENCYPART_ARC
(20,29),-1.53589 # DEPENDENCYPART_ARC
(20,30),-1.29087 # DEPENDENCYPART_ARC
(21,1),-0.473276 # DEPENDENCYPART_ARC
(21,2),-1.68658 # DEPENDENCYPART_ARC
(21,3),-1.44057 # DEPENDENCYPART_ARC
(21,4),0.377486 # DEPENDENCYPART_ARC
(21,5),-2.07916 # DEPENDENCYPART_ARC
(21,6),0.14662 # DEPENDENCYPART_ARC
(21,7),-2.41013 # DEPENDENCYPART_ARC
(21,8),-1.80801 # DEPENDENCYPART_ARC
(21,9),-0.701708 # DEPENDENCYPART_ARC
(21,10),1.3948 # DEPENDENCYPART_ARC
(21,11),0.121883 # DEPENDENCYPART_ARC
(21,12),0.308056 # DEPENDENCYPART_ARC
(21,13),-0.871881 # DEPENDENCYPART_ARC
(21,14),1.08029 # DEPENDENCYPART_ARC
(21,15),-0.413265 # DEPENDENCYPART_ARC
(21,16),-0.31621 # DEPENDENCYPART_ARC
(21,17),1.77473 # DEPENDENCYPART_ARC
(21,18),4.09946 # DEPENDENCYPART_ARC
(21,19),1.19523 # DEPENDENCYPART_ARC
(21,20),3.21142 # DEPENDENCYPART_ARC
(21,22),3.05291 # DEPENDENCYPART_ARC
(21,23),1.04068 # DEPENDENCYPART_ARC
(21,24),-0.00833124 # DEPENDENCYPART_ARC
(21,25),-1.89522 # DEPENDENCYPART_ARC
(21,26),-0.696739 # DEPENDENCYPART_ARC
(21,27),2.16123 # DEPENDENCYPART_ARC
(21,28),-0.233433 # DEPENDENCYPART_ARC
(21,29),0.604128 # DEPENDENCYPART_ARC
(21,30),3.3928 # DEPENDENCYPART_ARC
(22,1),-4.66265 # DEPENDENCYPART_ARC
(22,2),-3.99604 # DEPENDENCYPART_ARC
(22,3),-4.01151 # DEPENDENCYPART_ARC
(22,4),-3.64752 # DEPENDENCYPART_ARC
(22,5),-3.45441 # DEPENDENCYPART_ARC
(22,6),-3.77004 # DEPENDENCYPART_ARC
(22,7),-3.68151 # DEPENDENCYPART_ARC
(22,8),-2.6354 # DEPENDENCYPART_ARC
(22,9),-3.23963 # DEPENDENCYPART_ARC
(22,10),-2.6695 # DEPENDENCYPART_ARC
(22,11),-2.91203 # DEPENDENCYPART_ARC
(22,12),-3.16448 # DEPENDENCYPART_ARC
(22,13),-2.34123 # DEPENDENCYPART_ARC
(22,14),-2.84463 # DEPENDENCYPART_ARC
(22,15),-1.84505 # DEPENDENCYPART_ARC
(22,16),-2.67768 # DEPENDENCYPART_ARC
(22,17),-1.61762 # DEPENDENCYPART_ARC
(22,18),-0.588493 # DEPENDENCYPART_ARC
(22,19),-0.222795 # DEPENDENCYPART_ARC
(22,20),-0.80412 # DEPENDENCYPART_ARC
(22,21),-0.773737 # DEPENDENCYPART_ARC
(22,23),0.64537 # DEPENDENCYPART_ARC
(22,24),-0.773741 # DEPENDENCYPART_ARC
(22,25),-2.06056 # DEPENDENCYPART_ARC
(22,26),-0.918286 # DEPENDENCYPART_ARC
(22,27),0.0471148 # DEPENDENCYPART_ARC
(22,28),-1.82843 # DEPENDENCYPART_ARC
(22,29),-0.557605 # DEPENDENCYPART_ARC
(22,30),-1.17057 # DEPENDENCYPART_ARC
(23,6),-3.17099 # DEPENDENCYPART_ARC
(23,9),-3.16729 # DEPENDENCYPART_ARC
(23,14),-2.76045 # DEPENDENCYPART_ARC
(23,16),-2.5449 # DEPENDENCYPART_ARC
(23,17),-1.03262 # DEPENDENCYPART_ARC
(23,20),-1.87774 # DEPENDENCYPART_ARC
(23,22),0.0387055 # DEPENDENCYPART_ARC
(23,26),-1.03598 # DEPENDENCYPART_ARC
(23,28),-1.65613 # DEPENDENCYPART_ARC
(24,1),-3.41537 # DEPENDENCYPART_ARC
(24,2),-4.52135 # DEPENDENCYPART_ARC
(24,3),-3.34212 # DEPENDENCYPART_ARC
(24,4),-3.82931 # DEPENDENCYPART_ARC
(24,5),-3.66957 # DEPENDENCYPART_ARC
(24,6),-4.14231 # DEPENDENCYPART_ARC
(24,7),-3.32483 # DEPENDENCYPART_ARC
(24,9),-3.99622 # DEPENDENCYPART_ARC
(24,11),-2.84835 # DEPENDENCYPART_ARC
(24,12),-3.58922 # DEPENDENCYPART_ARC
(24,14),-3.58507 # DEPENDENCYPART_ARC
(24,15),-2.6872 # DEPENDENCYPART_ARC
(24,16),-3.46484 # DEPENDENCYPART_ARC
(24,17),-2.11553 # DEPENDENCYPART_ARC
(24,18),-2.36986 # DEPENDENCYPART_ARC
(24,20),-2.99474 # DEPENDENCYPART_ARC
(24,21),-2.45673 # DEPENDENCYPART_ARC
(24,22),-1.80682 # DEPENDENCYPART_ARC
(24,23),0.364261 # DEPENDENCYPART_ARC
(24,25),-0.872122 # DEPENDENCYPART_ARC
(24,26),-0.929593 # DEPENDENCYPART_ARC
(24,27),-0.309635 # DEPENDENCYPART_ARC
(24,28),-1.67531 # DEPENDENCYPART_ARC
(24,29),-1.13394 # DEPENDENCYPART_ARC
(24,30),-0.955516 # DEPENDENCYPART_ARC
(25,1),-2.52378 # DEPENDENCYPART_ARC
(25,3),-2.43275 # DEPENDENCYPART_ARC
(25,5),-3.36352 # DEPENDENCYPART_ARC
(25,6),-2.89697 # DEPENDENCYPART_ARC
(25,7),-2.81017 # DEPENDENCYPART_ARC
(25,9),-3.01889 # DEPENDENCYPART_ARC
(25,11),-1.97775 # DEPENDENCYPART_ARC
(25,14),-2.58868 # DEPENDENCYPART_ARC
(25,15),-2.06445 # DEPENDENCYPART_ARC
(25,16),-2.30133 # DEPENDENCYPART_ARC
