# _root_ El pelatge d' aquesta espècie , format en cada exemplar per taques diferents , actua com un carnet d' identitat .
#goldHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
#predictedHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
(3,8),-0.92128 # DEPENDENCYPART_ARC
(3,9),-1.2149 # DEPENDENCYPART_ARC
(3,10),0.294222 # DEPENDENCYPART_ARC
(3,11),-1.49905 # DEPENDENCYPART_ARC
(3,12),-0.550039 # DEPENDENCYPART_ARC
(3,13),-1.42717 # DEPENDENCYPART_ARC
(3,14),-1.15754 # DEPENDENCYPART_ARC
(3,15),-2.10292 # DEPENDENCYPART_ARC
(3,16),-1.21123 # DEPENDENCYPART_ARC
(3,17),-2.31068 # DEPENDENCYPART_ARC
(3,18),-5.15185 # DEPENDENCYPART_ARC
(3,19),-1.81758 # DEPENDENCYPART_ARC
(3,20),-5.56205 # DEPENDENCYPART_ARC
(3,21),-1.04685 # DEPENDENCYPART_ARC
(4,1),-0.566589 # DEPENDENCYPART_ARC
(4,2),-0.755114 # DEPENDENCYPART_ARC
(4,3),0.71057 # DEPENDENCYPART_ARC
(4,5),0.488463 # DEPENDENCYPART_ARC
(4,6),-1.72267 # DEPENDENCYPART_ARC
(4,7),-4.13153 # DEPENDENCYPART_ARC
(4,8),-2.63311 # DEPENDENCYPART_ARC
(4,9),-0.232585 # DEPENDENCYPART_ARC
(4,10),-2.49647 # DEPENDENCYPART_ARC
(4,11),-3.17629 # DEPENDENCYPART_ARC
(4,12),-3.74368 # DEPENDENCYPART_ARC
(4,13),-4.11822 # DEPENDENCYPART_ARC
(4,14),-3.09591 # DEPENDENCYPART_ARC
(4,15),-3.58201 # DEPENDENCYPART_ARC
(4,16),-3.17068 # DEPENDENCYPART_ARC
(4,17),-4.50362 # DEPENDENCYPART_ARC
(4,18),-3.81411 # DEPENDENCYPART_ARC
(4,19),-4.12103 # DEPENDENCYPART_ARC
(4,20),-4.6205 # DEPENDENCYPART_ARC
(4,21),-3.93549 # DEPENDENCYPART_ARC
(5,1),0.33758 # DEPENDENCYPART_ARC
(5,2),-1.25511 # DEPENDENCYPART_ARC
(5,3),0.438605 # DEPENDENCYPART_ARC
(5,4),4.73652 # DEPENDENCYPART_ARC
(5,6),0.357714 # DEPENDENCYPART_ARC
(5,7),1.06937 # DEPENDENCYPART_ARC
(5,8),0.0724187 # DEPENDENCYPART_ARC
(5,9),-1.38351 # DEPENDENCYPART_ARC
(5,10),-0.155434 # DEPENDENCYPART_ARC
(5,11),0.228688 # DEPENDENCYPART_ARC
(5,12),-0.319589 # DEPENDENCYPART_ARC
(5,13),-0.802125 # DEPENDENCYPART_ARC
(5,14),-0.442937 # DEPENDENCYPART_ARC
(5,15),0.624257 # DEPENDENCYPART_ARC
(5,16),-0.434283 # DEPENDENCYPART_ARC
(5,17),-2.71675 # DEPENDENCYPART_ARC
(5,18),-2.62736 # DEPENDENCYPART_ARC
(5,19),-2.65441 # DEPENDENCYPART_ARC
(5,20),-2.65149 # DEPENDENCYPART_ARC
(5,21),0.350732 # DEPENDENCYPART_ARC
(6,1),-2.25818 # DEPENDENCYPART_ARC
(6,2),-2.66465 # DEPENDENCYPART_ARC
(6,3),-1.4097 # DEPENDENCYPART_ARC
(6,4),-1.04136 # DEPENDENCYPART_ARC
(6,5),-1.27718 # DEPENDENCYPART_ARC
(6,7),-0.637605 # DEPENDENCYPART_ARC
(6,8),-1.65656 # DEPENDENCYPART_ARC
(6,9),-2.1725 # DEPENDENCYPART_ARC
(6,10),-1.89161 # DEPENDENCYPART_ARC
(6,11),-1.98111 # DEPENDENCYPART_ARC
(6,12),-2.10932 # DEPENDENCYPART_ARC
(6,13),-2.07574 # DEPENDENCYPART_ARC
(6,14),-1.61073 # DEPENDENCYPART_ARC
(6,15),-1.76887 # DEPENDENCYPART_ARC
(6,16),-1.37448 # DEPENDENCYPART_ARC
(6,17),-2.99089 # DEPENDENCYPART_ARC
(6,18),-2.61328 # DEPENDENCYPART_ARC
(6,19),-2.49775 # DEPENDENCYPART_ARC
(6,20),-2.73044 # DEPENDENCYPART_ARC
(6,21),-2.07772 # DEPENDENCYPART_ARC
(7,1),0.0976747 # DEPENDENCYPART_ARC
(7,2),-0.804106 # DEPENDENCYPART_ARC
(7,3),1.27725 # DEPENDENCYPART_ARC
(7,4),0.586449 # DEPENDENCYPART_ARC
(7,5),0.469413 # DEPENDENCYPART_ARC
(7,6),3.54955 # DEPENDENCYPART_ARC
(7,8),4.27043 # DEPENDENCYPART_ARC
(7,9),-0.540269 # DEPENDENCYPART_ARC
(7,10),1.56062 # DEPENDENCYPART_ARC
(7,11),2.63417 # DEPENDENCYPART_ARC
(7,12),0.891639 # DEPENDENCYPART_ARC
(7,13),-0.64594 # DEPENDENCYPART_ARC
(7,14),3.27712 # DEPENDENCYPART_ARC
(7,15),0.740429 # DEPENDENCYPART_ARC
(7,16),0.197066 # DEPENDENCYPART_ARC
(7,17),-2.02795 # DEPENDENCYPART_ARC
(7,18),0.0236028 # DEPENDENCYPART_ARC
(7,19),-1.37379 # DEPENDENCYPART_ARC
(7,20),-0.205688 # DEPENDENCYPART_ARC
(7,21),0.736259 # DEPENDENCYPART_ARC
(8,1),-1.82557 # DEPENDENCYPART_ARC
(8,2),-2.36751 # DEPENDENCYPART_ARC
(8,3),-1.14644 # DEPENDENCYPART_ARC
(8,4),-0.584194 # DEPENDENCYPART_ARC
(8,5),-1.59217 # DEPENDENCYPART_ARC
(8,6),0.760582 # DEPENDENCYPART_ARC
(8,7),0.266985 # DEPENDENCYPART_ARC
(8,9),1.28912 # DEPENDENCYPART_ARC
(8,10),4.67887 # DEPENDENCYPART_ARC
(8,11),-0.413299 # DEPENDENCYPART_ARC
(8,12),1.84596 # DEPENDENCYPART_ARC
(8,13),-0.333954 # DEPENDENCYPART_ARC
(8,14),0.30244 # DEPENDENCYPART_ARC
(8,15),-0.77729 # DEPENDENCYPART_ARC
(8,16),-0.505861 # DEPENDENCYPART_ARC
(8,17),-2.31761 # DEPENDENCYPART_ARC
(8,18),-4.3855 # DEPENDENCYPART_ARC
(8,19),-2.58991 # DEPENDENCYPART_ARC
(8,20),-5.41258 # DEPENDENCYPART_ARC
(8,21),-0.915996 # DEPENDENCYPART_ARC
(9,1),-3.39339 # DEPENDENCYPART_ARC
(9,2),-3.42651 # DEPENDENCYPART_ARC
(9,3),-2.32105 # DEPENDENCYPART_ARC
(9,4),-1.79407 # DEPENDENCYPART_ARC
(9,5),-3.12653 # DEPENDENCYPART_ARC
(9,6),-2.28687 # DEPENDENCYPART_ARC
(9,7),-1.70327 # DEPENDENCYPART_ARC
(9,8),-0.545958 # DEPENDENCYPART_ARC
(9,10),3.14592 # DEPENDENCYPART_ARC
(9,11),0.326426 # DEPENDENCYPART_ARC
(9,12),-0.776096 # DEPENDENCYPART_ARC
(9,13),-1.5802 # DEPENDENCYPART_ARC
(9,14),-1.17725 # DEPENDENCYPART_ARC
(9,15),-1.71786 # DEPENDENCYPART_ARC
(9,16),-1.34395 # DEPENDENCYPART_ARC
(9,17),-1.51693 # DEPENDENCYPART_ARC
(9,18),-1.52629 # DEPENDENCYPART_ARC
(9,19),-2.24263 # DEPENDENCYPART_ARC
(9,20),-2.54184 # DEPENDENCYPART_ARC
(9,21),-2.4269 # DEPENDENCYPART_ARC
(10,1),-2.35185 # DEPENDENCYPART_ARC
(10,2),-1.98601 # DEPENDENCYPART_ARC
(10,3),-0.513266 # DEPENDENCYPART_ARC
(10,4),-0.0817037 # DEPENDENCYPART_ARC
(10,5),-1.95869 # DEPENDENCYPART_ARC
(10,6),0.338612 # DEPENDENCYPART_ARC
(10,7),-0.47696 # DEPENDENCYPART_ARC
(10,8),1.09167 # DEPENDENCYPART_ARC
(10,9),4.18675 # DEPENDENCYPART_ARC
(10,11),2.14162 # DEPENDENCYPART_ARC
(10,12),0.496962 # DEPENDENCYPART_ARC
(10,13),-0.0774525 # DEPENDENCYPART_ARC
(10,14),0.285301 # DEPENDENCYPART_ARC
(10,15),0.735915 # DEPENDENCYPART_ARC
(10,16),0.289156 # DEPENDENCYPART_ARC
(10,17),-1.97377 # DEPENDENCYPART_ARC
(10,18),-1.41189 # DEPENDENCYPART_ARC
(10,19),-0.75617 # DEPENDENCYPART_ARC
(10,20),-2.12364 # DEPENDENCYPART_ARC
(10,21),0.214581 # DEPENDENCYPART_ARC
(11,1),-1.91092 # DEPENDENCYPART_ARC
(11,2),-2.22009 # DEPENDENCYPART_ARC
(11,3),-1.20137 # DEPENDENCYPART_ARC
(11,4),-1.11569 # DEPENDENCYPART_ARC
(11,5),-1.76619 # DEPENDENCYPART_ARC
(11,6),0.0160266 # DEPENDENCYPART_ARC
(11,7),-1.23831 # DEPENDENCYPART_ARC
(11,8),-0.0744226 # DEPENDENCYPART_ARC
(11,9),0.459937 # DEPENDENCYPART_ARC
(11,10),0.341806 # DEPENDENCYPART_ARC
(11,12),4.72802 # DEPENDENCYPART_ARC
(11,13),0.775322 # DEPENDENCYPART_ARC
(11,14),0.654133 # DEPENDENCYPART_ARC
(11,15),-0.674984 # DEPENDENCYPART_ARC
(11,16),-0.608643 # DEPENDENCYPART_ARC
(11,17),-3.06581 # DEPENDENCYPART_ARC
(11,18),-3.16707 # DEPENDENCYPART_ARC
(11,19),-2.58275 # DEPENDENCYPART_ARC
(11,20),-3.67411 # DEPENDENCYPART_ARC
(11,21),-0.304595 # DEPENDENCYPART_ARC
(12,1),-4.60577 # DEPENDENCYPART_ARC
(12,2),-4.1915 # DEPENDENCYPART_ARC
(12,3),-2.48386 # DEPENDENCYPART_ARC
(12,4),-2.22055 # DEPENDENCYPART_ARC
(12,5),-3.76873 # DEPENDENCYPART_ARC
(12,6),-2.22216 # DEPENDENCYPART_ARC
(12,7),-4.57111 # DEPENDENCYPART_ARC
(12,8),-1.98865 # DEPENDENCYPART_ARC
(12,9),-0.79022 # DEPENDENCYPART_ARC
(12,10),-2.31473 # DEPENDENCYPART_ARC
(12,11),-0.424456 # DEPENDENCYPART_ARC
(12,13),4.44001 # DEPENDENCYPART_ARC
(12,14),0.162032 # DEPENDENCYPART_ARC
(12,15),0.936719 # DEPENDENCYPART_ARC
(12,16),0.112057 # DEPENDENCYPART_ARC
(12,17),-1.93802 # DEPENDENCYPART_ARC
(12,18),-1.97172 # DEPENDENCYPART_ARC
(12,19),0.0290681 # DEPENDENCYPART_ARC
(12,20),-1.06451 # DEPENDENCYPART_ARC
(12,21),-0.172746 # DEPENDENCYPART_ARC
(13,1),-0.947276 # DEPENDENCYPART_ARC
(13,2),-2.83539 # DEPENDENCYPART_ARC
(13,3),-0.582723 # DEPENDENCYPART_ARC
(13,4),-0.99796 # DEPENDENCYPART_ARC
(13,5),-1.77563 # DEPENDENCYPART_ARC
(13,6),-0.117854 # DEPENDENCYPART_ARC
(13,7),-1.58946 # DEPENDENCYPART_ARC
(13,8),0.587243 # DEPENDENCYPART_ARC
(13,9),-0.775025 # DEPENDENCYPART_ARC
(13,10),-1.11586 # DEPENDENCYPART_ARC
(13,11),0.958472 # DEPENDENCYPART_ARC
(13,12),0.945926 # DEPENDENCYPART_ARC
(13,14),0.353779 # DEPENDENCYPART_ARC
(13,15),-0.649235 # DEPENDENCYPART_ARC
(13,16),-0.257011 # DEPENDENCYPART_ARC
(13,17),-2.71121 # DEPENDENCYPART_ARC
(13,18),-1.26521 # DEPENDENCYPART_ARC
(13,19),-1.56501 # DEPENDENCYPART_ARC
(13,20),-1.0935 # DEPENDENCYPART_ARC
(13,21),-1.21411 # DEPENDENCYPART_ARC
(14,1),-2.93062 # DEPENDENCYPART_ARC
(14,2),-2.92147 # DEPENDENCYPART_ARC
(14,3),-2.15165 # DEPENDENCYPART_ARC
(14,4),-2.68365 # DEPENDENCYPART_ARC
(14,5),-2.7928 # DEPENDENCYPART_ARC
(14,6),-1.21006 # DEPENDENCYPART_ARC
(14,7),-1.84158 # DEPENDENCYPART_ARC
(14,8),-1.72551 # DEPENDENCYPART_ARC
(14,9),-1.96272 # DEPENDENCYPART_ARC
(14,10),-2.2121 # DEPENDENCYPART_ARC
(14,11),-1.11633 # DEPENDENCYPART_ARC
(14,12),-1.43317 # DEPENDENCYPART_ARC
(14,13),-0.109561 # DEPENDENCYPART_ARC
(14,15),-0.596344 # DEPENDENCYPART_ARC
(14,16),-1.501 # DEPENDENCYPART_ARC
(14,17),-2.45999 # DEPENDENCYPART_ARC
(14,18),-1.98889 # DEPENDENCYPART_ARC
(14,19),-2.35527 # DEPENDENCYPART_ARC
(14,20),-2.24235 # DEPENDENCYPART_ARC
(14,21),-1.58893 # DEPENDENCYPART_ARC
(15,1),-1.97307 # DEPENDENCYPART_ARC
(15,2),0.834196 # DEPENDENCYPART_ARC
(15,3),-0.501677 # DEPENDENCYPART_ARC
(15,4),-1.36529 # DEPENDENCYPART_ARC
(15,5),1.52793 # DEPENDENCYPART_ARC
(15,6),-0.0924453 # DEPENDENCYPART_ARC
(15,7),0.475967 # DEPENDENCYPART_ARC
(15,8),0.820853 # DEPENDENCYPART_ARC
(15,9),-0.814068 # DEPENDENCYPART_ARC
(15,10),1.5993 # DEPENDENCYPART_ARC
(15,11),0.673703 # DEPENDENCYPART_ARC
(15,12),0.813143 # DEPENDENCYPART_ARC
(15,13),0.847892 # DEPENDENCYPART_ARC
(15,14),1.31861 # DEPENDENCYPART_ARC
(15,16),1.59766 # DEPENDENCYPART_ARC
(15,17),-1.6503 # DEPENDENCYPART_ARC
(15,18),0.422645 # DEPENDENCYPART_ARC
(15,19),0.375955 # DEPENDENCYPART_ARC
(15,20),-0.628927 # DEPENDENCYPART_ARC
(15,21),4.93062 # DEPENDENCYPART_ARC
(16,1),-2.87404 # DEPENDENCYPART_ARC
(16,2),-3.37525 # DEPENDENCYPART_ARC
(16,3),-2.33095 # DEPENDENCYPART_ARC
(16,4),-2.81733 # DEPENDENCYPART_ARC
(16,5),-3.19822 # DEPENDENCYPART_ARC
(16,6),-0.894942 # DEPENDENCYPART_ARC
(16,7),-2.59797 # DEPENDENCYPART_ARC
(16,8),-1.71168 # DEPENDENCYPART_ARC
(16,9),-2.47364 # DEPENDENCYPART_ARC
(16,10),-2.55876 # DEPENDENCYPART_ARC
(16,11),-1.42632 # DEPENDENCYPART_ARC
(16,12),-2.16832 # DEPENDENCYPART_ARC
(16,13),-1.81116 # DEPENDENCYPART_ARC
(16,14),0.727134 # DEPENDENCYPART_ARC
(16,15),-0.134204 # DEPENDENCYPART_ARC
(16,17),0.714748 # DEPENDENCYPART_ARC
(16,18),2.25238 # DEPENDENCYPART_ARC
(16,19),1.4888 # DEPENDENCYPART_ARC
(16,20),1.26552 # DEPENDENCYPART_ARC
(16,21),1.35572 # DEPENDENCYPART_ARC
(17,1),-3.84909 # DEPENDENCYPART_ARC
(17,2),-2.91826 # DEPENDENCYPART_ARC
(17,3),-1.31404 # DEPENDENCYPART_ARC
(17,4),-2.76749 # DEPENDENCYPART_ARC
(17,5),-3.06166 # DEPENDENCYPART_ARC
(17,6),-1.57515 # DEPENDENCYPART_ARC
(17,7),-2.66048 # DEPENDENCYPART_ARC
(17,8),-1.29113 # DEPENDENCYPART_ARC
(17,9),-2.98887 # DEPENDENCYPART_ARC
(17,10),-2.31385 # DEPENDENCYPART_ARC
(17,11),-0.995804 # DEPENDENCYPART_ARC
(17,12),-2.43437 # DEPENDENCYPART_ARC
(17,13),-1.98952 # DEPENDENCYPART_ARC
(17,14),-0.715162 # DEPENDENCYPART_ARC
(17,15),-1.11692 # DEPENDENCYPART_ARC
(17,16),0.683177 # DEPENDENCYPART_ARC
(17,18),2.5719 # DEPENDENCYPART_ARC
(17,19),2.12226 # DEPENDENCYPART_ARC
(17,20),-0.286186 # DEPENDENCYPART_ARC
(17,21),-1.08609 # DEPENDENCYPART_ARC
(18,1),-5.36915 # DEPENDENCYPART_ARC
(18,2),-2.17175 # DEPENDENCYPART_ARC
(18,3),-0.819503 # DEPENDENCYPART_ARC
(18,4),-2.46475 # DEPENDENCYPART_ARC
(18,5),-2.34696 # DEPENDENCYPART_ARC
(18,6),-0.272849 # DEPENDENCYPART_ARC
(18,7),-1.54255 # DEPENDENCYPART_ARC
(18,8),-0.379378 # DEPENDENCYPART_ARC
(18,9),-0.852025 # DEPENDENCYPART_ARC
(18,10),-1.38046 # DEPENDENCYPART_ARC
(18,11),-0.729555 # DEPENDENCYPART_ARC
(18,12),-1.16064 # DEPENDENCYPART_ARC
(18,13),-0.898625 # DEPENDENCYPART_ARC
(18,14),0.191382 # DEPENDENCYPART_ARC
(18,15),0.478276 # DEPENDENCYPART_ARC
(18,16),1.1174 # DEPENDENCYPART_ARC
(18,17),4.82318 # DEPENDENCYPART_ARC
(18,19),4.48486 # DEPENDENCYPART_ARC
(18,20),1.97013 # DEPENDENCYPART_ARC
(18,21),2.06747 # DEPENDENCYPART_ARC
(19,1),-2.27371 # DEPENDENCYPART_ARC
(19,2),-2.82198 # DEPENDENCYPART_ARC
(19,3),-2.73726 # DEPENDENCYPART_ARC
(19,4),-1.39919 # DEPENDENCYPART_ARC
(19,5),-2.55456 # DEPENDENCYPART_ARC
(19,6),-2.52031 # DEPENDENCYPART_ARC
(19,7),-1.92686 # DEPENDENCYPART_ARC
(19,8),-2.37161 # DEPENDENCYPART_ARC
(19,9),-1.45491 # DEPENDENCYPART_ARC
(19,10),-2.09781 # DEPENDENCYPART_ARC
(19,11),-1.64953 # DEPENDENCYPART_ARC
(19,12),-1.48954 # DEPENDENCYPART_ARC
(19,13),-1.20144 # DEPENDENCYPART_ARC
(19,14),-1.42431 # DEPENDENCYPART_ARC
(19,15),0.0293862 # DEPENDENCYPART_ARC
(19,16),-0.269687 # DEPENDENCYPART_ARC
(19,17),0.909725 # DEPENDENCYPART_ARC
(19,18),0.672064 # DEPENDENCYPART_ARC
(19,20),4.53001 # DEPENDENCYPART_ARC
(19,21),-0.251866 # DEPENDENCYPART_ARC
(20,1),-6.92031 # DEPENDENCYPART_ARC
(20,2),-2.8401 # DEPENDENCYPART_ARC
(20,3),-1.37805 # DEPENDENCYPART_ARC
(20,4),-3.28284 # DEPENDENCYPART_ARC
(20,5),-2.0147 # DEPENDENCYPART_ARC
(20,6),-1.36254 # DEPENDENCYPART_ARC
(20,7),-2.75425 # DEPENDENCYPART_ARC
(20,8),-1.65609 # DEPENDENCYPART_ARC
(20,9),-2.39941 # DEPENDENCYPART_ARC
(20,10),-2.02386 # DEPENDENCYPART_ARC
(20,11),-1.41977 # DEPENDENCYPART_ARC
(20,12),-0.413434 # DEPENDENCYPART_ARC
(20,13),-1.04592 # DEPENDENCYPART_ARC
(20,14),-0.578186 # DEPENDENCYPART_ARC
(20,15),-0.758581 # DEPENDENCYPART_ARC
(20,16),0.0671934 # DEPENDENCYPART_ARC
(20,17),1.80742 # DEPENDENCYPART_ARC
(20,18),0.0248507 # DEPENDENCYPART_ARC
(20,19),1.61241 # DEPENDENCYPART_ARC
(20,21),-0.909474 # DEPENDENCYPART_ARC
(21,1),-4.54132 # DEPENDENCYPART_ARC
(21,2),-4.66985 # DEPENDENCYPART_ARC
(21,3),-3.79383 # DEPENDENCYPART_ARC
(21,4),-4.47227 # DEPENDENCYPART_ARC
(21,5),-4.68821 # DEPENDENCYPART_ARC
(21,6),-3.40071 # DEPENDENCYPART_ARC
(21,7),-3.8665 # DEPENDENCYPART_ARC
(21,8),-3.60205 # DEPENDENCYPART_ARC
(21,9),-4.3445 # DEPENDENCYPART_ARC
(21,10),-4.44903 # DEPENDENCYPART_ARC
(21,11),-3.36687 # DEPENDENCYPART_ARC
(21,12),-4.19846 # DEPENDENCYPART_ARC
(21,13),-3.66916 # DEPENDENCYPART_ARC
(21,14),-3.26039 # DEPENDENCYPART_ARC
(21,15),-3.77477 # DEPENDENCYPART_ARC
(21,16),-2.9232 # DEPENDENCYPART_ARC
(21,17),-3.02185 # DEPENDENCYPART_ARC
(21,18),-3.3353 # DEPENDENCYPART_ARC
(21,19),-2.12401 # DEPENDENCYPART_ARC
(21,20),-2.15054 # DEPENDENCYPART_ARC
