# _root_ L' Ajuntament_de_Girona està preparant la redacció d' un nou Pla_General que , segons ha explicat l' alcalde , podria estar llest a finals del 2001 .
#goldHeads=2,4,4,0,6,4,6,10,10,7,20,15,15,15,20,17,15,15,20,10,20,20,22,23,24,4,
#predictedHeads=2,4,4,0,6,4,6,10,10,7,10,15,15,15,10,17,15,15,20,15,20,20,22,23,24,4,
(2,12),-1.31254 # DEPENDENCYPART_ARC
(2,13),-2.42541 # DEPENDENCYPART_ARC
(2,14),-3.09077 # DEPENDENCYPART_ARC
(2,15),-3.25931 # DEPENDENCYPART_ARC
(2,16),-2.81799 # DEPENDENCYPART_ARC
(2,17),-1.93765 # DEPENDENCYPART_ARC
(2,18),-1.95221 # DEPENDENCYPART_ARC
(2,19),-4.86775 # DEPENDENCYPART_ARC
(2,20),-4.44154 # DEPENDENCYPART_ARC
(2,21),-2.65742 # DEPENDENCYPART_ARC
(2,22),-3.86272 # DEPENDENCYPART_ARC
(2,23),-3.6917 # DEPENDENCYPART_ARC
(2,24),-6.34116 # DEPENDENCYPART_ARC
(2,25),-2.41498 # DEPENDENCYPART_ARC
(2,26),-0.324816 # DEPENDENCYPART_ARC
(3,1),-0.0221482 # DEPENDENCYPART_ARC
(3,2),1.51101 # DEPENDENCYPART_ARC
(3,4),2.27331 # DEPENDENCYPART_ARC
(3,5),-2.42049 # DEPENDENCYPART_ARC
(3,6),0.983125 # DEPENDENCYPART_ARC
(3,7),-0.67097 # DEPENDENCYPART_ARC
(3,8),-3.64113 # DEPENDENCYPART_ARC
(3,9),-1.23521 # DEPENDENCYPART_ARC
(3,10),-0.309471 # DEPENDENCYPART_ARC
(3,11),-2.05981 # DEPENDENCYPART_ARC
(3,12),0.598508 # DEPENDENCYPART_ARC
(3,13),1.29725 # DEPENDENCYPART_ARC
(3,14),0.088938 # DEPENDENCYPART_ARC
(3,15),0.0618234 # DEPENDENCYPART_ARC
(3,16),-3.24829 # DEPENDENCYPART_ARC
(3,17),-2.32405 # DEPENDENCYPART_ARC
(3,18),0.387903 # DEPENDENCYPART_ARC
(3,19),-0.947853 # DEPENDENCYPART_ARC
(3,20),-0.932602 # DEPENDENCYPART_ARC
(3,21),-1.46022 # DEPENDENCYPART_ARC
(3,22),-2.91426 # DEPENDENCYPART_ARC
(3,23),-3.37801 # DEPENDENCYPART_ARC
(3,24),-4.87216 # DEPENDENCYPART_ARC
(3,25),-2.14868 # DEPENDENCYPART_ARC
(3,26),4.38214 # DEPENDENCYPART_ARC
(4,1),1.82817 # DEPENDENCYPART_ARC
(4,2),3.7349 # DEPENDENCYPART_ARC
(4,3),6.05023 # DEPENDENCYPART_ARC
(4,5),-0.318949 # DEPENDENCYPART_ARC
(4,6),3.7265 # DEPENDENCYPART_ARC
(4,7),1.32386 # DEPENDENCYPART_ARC
(4,8),-1.55933 # DEPENDENCYPART_ARC
(4,9),-0.200272 # DEPENDENCYPART_ARC
(4,10),1.1882 # DEPENDENCYPART_ARC
(4,11),-0.0454001 # DEPENDENCYPART_ARC
(4,12),1.00352 # DEPENDENCYPART_ARC
(4,13),1.66629 # DEPENDENCYPART_ARC
(4,14),1.67742 # DEPENDENCYPART_ARC
(4,15),0.689904 # DEPENDENCYPART_ARC
(4,16),-2.43749 # DEPENDENCYPART_ARC
(4,17),-1.42038 # DEPENDENCYPART_ARC
(4,18),1.2122 # DEPENDENCYPART_ARC
(4,19),-0.454092 # DEPENDENCYPART_ARC
(4,20),-0.536953 # DEPENDENCYPART_ARC
(4,21),-0.531916 # DEPENDENCYPART_ARC
(4,22),-1.25327 # DEPENDENCYPART_ARC
(4,23),-2.09992 # DEPENDENCYPART_ARC
(4,24),-3.83402 # DEPENDENCYPART_ARC
(4,25),-1.0343 # DEPENDENCYPART_ARC
(4,26),5.7837 # DEPENDENCYPART_ARC
(5,1),-2.50815 # DEPENDENCYPART_ARC
(5,2),-2.21246 # DEPENDENCYPART_ARC
(5,3),-2.06878 # DEPENDENCYPART_ARC
(5,4),-0.843433 # DEPENDENCYPART_ARC
(5,6),3.06176 # DEPENDENCYPART_ARC
(5,7),0.532006 # DEPENDENCYPART_ARC
(5,8),0.27076 # DEPENDENCYPART_ARC
(5,9),-2.18052 # DEPENDENCYPART_ARC
(5,10),-1.70845 # DEPENDENCYPART_ARC
(5,11),-2.3983 # DEPENDENCYPART_ARC
(5,12),-1.57773 # DEPENDENCYPART_ARC
(5,13),-1.43232 # DEPENDENCYPART_ARC
(5,14),-2.1595 # DEPENDENCYPART_ARC
(5,15),-2.52476 # DEPENDENCYPART_ARC
(5,16),-1.79011 # DEPENDENCYPART_ARC
(5,17),-3.52728 # DEPENDENCYPART_ARC
(5,18),-2.57653 # DEPENDENCYPART_ARC
(5,19),-2.75058 # DEPENDENCYPART_ARC
(5,20),-2.61344 # DEPENDENCYPART_ARC
(5,21),-3.73108 # DEPENDENCYPART_ARC
(5,22),-3.82481 # DEPENDENCYPART_ARC
(5,23),-4.02637 # DEPENDENCYPART_ARC
(5,24),-3.87994 # DEPENDENCYPART_ARC
(5,25),-2.42446 # DEPENDENCYPART_ARC
(5,26),-2.84092 # DEPENDENCYPART_ARC
(6,1),-0.115258 # DEPENDENCYPART_ARC
(6,2),-1.26828 # DEPENDENCYPART_ARC
(6,3),-1.00178 # DEPENDENCYPART_ARC
(6,4),0.725382 # DEPENDENCYPART_ARC
(6,5),4.921 # DEPENDENCYPART_ARC
(6,7),3.3087 # DEPENDENCYPART_ARC
(6,8),-0.363119 # DEPENDENCYPART_ARC
(6,9),-0.111944 # DEPENDENCYPART_ARC
(6,10),1.08478 # DEPENDENCYPART_ARC
(6,11),-1.53862 # DEPENDENCYPART_ARC
(6,12),0.502263 # DEPENDENCYPART_ARC
(6,13),-0.437428 # DEPENDENCYPART_ARC
(6,14),0.733937 # DEPENDENCYPART_ARC
(6,15),0.519915 # DEPENDENCYPART_ARC
(6,16),-1.64296 # DEPENDENCYPART_ARC
(6,17),-1.11627 # DEPENDENCYPART_ARC
(6,18),-0.418547 # DEPENDENCYPART_ARC
(6,19),-2.10376 # DEPENDENCYPART_ARC
(6,20),-1.62651 # DEPENDENCYPART_ARC
(6,21),-2.37223 # DEPENDENCYPART_ARC
(6,22),-1.08809 # DEPENDENCYPART_ARC
(6,23),-2.43736 # DEPENDENCYPART_ARC
(6,24),-2.36026 # DEPENDENCYPART_ARC
(6,25),-1.07395 # DEPENDENCYPART_ARC
(6,26),1.2078 # DEPENDENCYPART_ARC
(7,1),-1.52459 # DEPENDENCYPART_ARC
(7,2),-2.11028 # DEPENDENCYPART_ARC
(7,3),-0.44771 # DEPENDENCYPART_ARC
(7,4),0.0607213 # DEPENDENCYPART_ARC
(7,5),1.0478 # DEPENDENCYPART_ARC
(7,6),0.0801933 # DEPENDENCYPART_ARC
(7,8),0.369108 # DEPENDENCYPART_ARC
(7,9),1.72862 # DEPENDENCYPART_ARC
(7,10),3.51348 # DEPENDENCYPART_ARC
(7,11),0.164148 # DEPENDENCYPART_ARC
(7,12),0.959873 # DEPENDENCYPART_ARC
(7,13),-0.00235166 # DEPENDENCYPART_ARC
(7,14),-0.984823 # DEPENDENCYPART_ARC
(7,15),-0.384494 # DEPENDENCYPART_ARC
(7,16),-1.20128 # DEPENDENCYPART_ARC
(7,17),-2.53224 # DEPENDENCYPART_ARC
(7,18),-1.85123 # DEPENDENCYPART_ARC
(7,19),-3.09429 # DEPENDENCYPART_ARC
(7,20),-2.71061 # DEPENDENCYPART_ARC
(7,21),-1.73423 # DEPENDENCYPART_ARC
(7,22),-2.94038 # DEPENDENCYPART_ARC
(7,23),-5.47028 # DEPENDENCYPART_ARC
(7,24),-3.23328 # DEPENDENCYPART_ARC
(7,25),-1.86353 # DEPENDENCYPART_ARC
(7,26),-0.716003 # DEPENDENCYPART_ARC
(8,1),-3.76551 # DEPENDENCYPART_ARC
(8,2),-2.24832 # DEPENDENCYPART_ARC
(8,3),-2.81135 # DEPENDENCYPART_ARC
(8,4),-2.02729 # DEPENDENCYPART_ARC
(8,5),-1.40357 # DEPENDENCYPART_ARC
(8,6),-1.33675 # DEPENDENCYPART_ARC
(8,7),0.803851 # DEPENDENCYPART_ARC
(8,9),0.924458 # DEPENDENCYPART_ARC
(8,10),0.393528 # DEPENDENCYPART_ARC
(8,11),-1.67877 # DEPENDENCYPART_ARC
(8,12),-1.1278 # DEPENDENCYPART_ARC
(8,13),-0.945681 # DEPENDENCYPART_ARC
(8,14),-1.81416 # DEPENDENCYPART_ARC
(8,15),-2.00688 # DEPENDENCYPART_ARC
(8,16),-1.53713 # DEPENDENCYPART_ARC
(8,17),-2.43257 # DEPENDENCYPART_ARC
(8,18),-2.81587 # DEPENDENCYPART_ARC
(8,19),-2.42739 # DEPENDENCYPART_ARC
(8,20),-1.62593 # DEPENDENCYPART_ARC
(8,21),-2.64351 # DEPENDENCYPART_ARC
(8,22),-3.63499 # DEPENDENCYPART_ARC
(8,23),-3.25786 # DEPENDENCYPART_ARC
(8,24),-4.59936 # DEPENDENCYPART_ARC
(8,25),-2.35798 # DEPENDENCYPART_ARC
(8,26),-3.22094 # DEPENDENCYPART_ARC
(9,1),-1.83513 # DEPENDENCYPART_ARC
(9,2),-2.71628 # DEPENDENCYPART_ARC
(9,3),-2.45733 # DEPENDENCYPART_ARC
(9,4),-1.82473 # DEPENDENCYPART_ARC
(9,5),-0.305248 # DEPENDENCYPART_ARC
(9,6),-1.21309 # DEPENDENCYPART_ARC
(9,7),0.178079 # DEPENDENCYPART_ARC
(9,8),1.45285 # DEPENDENCYPART_ARC
(9,10),1.29643 # DEPENDENCYPART_ARC
(9,11),-1.79886 # DEPENDENCYPART_ARC
(9,12),0.127104 # DEPENDENCYPART_ARC
(9,13),-0.139722 # DEPENDENCYPART_ARC
(9,14),0.0902475 # DEPENDENCYPART_ARC
(9,15),-0.344743 # DEPENDENCYPART_ARC
(9,16),-2.56783 # DEPENDENCYPART_ARC
(9,17),-1.39991 # DEPENDENCYPART_ARC
(9,18),-1.11897 # DEPENDENCYPART_ARC
(9,19),-1.13298 # DEPENDENCYPART_ARC
(9,20),-1.79879 # DEPENDENCYPART_ARC
(9,21),-1.85653 # DEPENDENCYPART_ARC
(9,22),-2.67674 # DEPENDENCYPART_ARC
(9,23),-2.3312 # DEPENDENCYPART_ARC
(9,24),-4.18599 # DEPENDENCYPART_ARC
(9,25),-1.81521 # DEPENDENCYPART_ARC
(9,26),-1.28325 # DEPENDENCYPART_ARC
(10,1),-1.62081 # DEPENDENCYPART_ARC
(10,2),-1.24125 # DEPENDENCYPART_ARC
(10,3),-1.26604 # DEPENDENCYPART_ARC
(10,4),-0.495159 # DEPENDENCYPART_ARC
(10,5),2.0356 # DEPENDENCYPART_ARC
(10,6),-0.316631 # DEPENDENCYPART_ARC
(10,7),1.18248 # DEPENDENCYPART_ARC
(10,8),4.13608 # DEPENDENCYPART_ARC
(10,9),4.29275 # DEPENDENCYPART_ARC
(10,11),2.0207 # DEPENDENCYPART_ARC
(10,12),1.31411 # DEPENDENCYPART_ARC
(10,13),0.772277 # DEPENDENCYPART_ARC
(10,14),1.80081 # DEPENDENCYPART_ARC
(10,15),1.64339 # DEPENDENCYPART_ARC
(10,16),-0.666824 # DEPENDENCYPART_ARC
(10,17),-0.362898 # DEPENDENCYPART_ARC
(10,18),0.372763 # DEPENDENCYPART_ARC
(10,19),-0.81316 # DEPENDENCYPART_ARC
(10,20),-0.48742 # DEPENDENCYPART_ARC
(10,21),-0.42513 # DEPENDENCYPART_ARC
(10,22),-1.73532 # DEPENDENCYPART_ARC
(10,23),-1.46037 # DEPENDENCYPART_ARC
(10,24),-2.84164 # DEPENDENCYPART_ARC
(10,25),-0.265555 # DEPENDENCYPART_ARC
(10,26),2.16815 # DEPENDENCYPART_ARC
(11,1),-4.26576 # DEPENDENCYPART_ARC
(11,2),-3.25082 # DEPENDENCYPART_ARC
(11,3),-2.08586 # DEPENDENCYPART_ARC
(11,4),-2.04807 # DEPENDENCYPART_ARC
(11,5),-3.24834 # DEPENDENCYPART_ARC
(11,6),-3.2738 # DEPENDENCYPART_ARC
(11,7),-0.975171 # DEPENDENCYPART_ARC
(11,8),-2.16344 # DEPENDENCYPART_ARC
(11,9),-2.12894 # DEPENDENCYPART_ARC
(11,10),-0.983051 # DEPENDENCYPART_ARC
(11,12),-0.643935 # DEPENDENCYPART_ARC
(11,13),-0.36756 # DEPENDENCYPART_ARC
(11,14),0.304384 # DEPENDENCYPART_ARC
(11,15),-0.817475 # DEPENDENCYPART_ARC
(11,16),-2.02605 # DEPENDENCYPART_ARC
(11,17),-2.73818 # DEPENDENCYPART_ARC
(11,18),-1.7041 # DEPENDENCYPART_ARC
(11,19),-2.95759 # DEPENDENCYPART_ARC
(11,20),-2.08046 # DEPENDENCYPART_ARC
(11,21),-2.46561 # DEPENDENCYPART_ARC
(11,22),-2.16087 # DEPENDENCYPART_ARC
(11,23),-2.69177 # DEPENDENCYPART_ARC
(11,24),-2.67077 # DEPENDENCYPART_ARC
(11,25),-2.44428 # DEPENDENCYPART_ARC
(11,26),-0.745111 # DEPENDENCYPART_ARC
(12,1),-4.09331 # DEPENDENCYPART_ARC
(12,2),-3.98405 # DEPENDENCYPART_ARC
(12,3),-3.96848 # DEPENDENCYPART_ARC
(12,4),-3.6865 # DEPENDENCYPART_ARC
(12,5),-3.51842 # DEPENDENCYPART_ARC
(12,6),-3.49736 # DEPENDENCYPART_ARC
(12,7),-2.58392 # DEPENDENCYPART_ARC
(12,8),-2.72109 # DEPENDENCYPART_ARC
(12,9),-2.34289 # DEPENDENCYPART_ARC
(12,10),-2.52356 # DEPENDENCYPART_ARC
(12,11),-1.24311 # DEPENDENCYPART_ARC
(12,13),-1.22106 # DEPENDENCYPART_ARC
(12,14),-1.80675 # DEPENDENCYPART_ARC
(12,15),-2.23326 # DEPENDENCYPART_ARC
(12,16),-3.25108 # DEPENDENCYPART_ARC
(12,17),-2.84907 # DEPENDENCYPART_ARC
(12,18),-2.38653 # DEPENDENCYPART_ARC
(12,19),-2.60163 # DEPENDENCYPART_ARC
(12,20),-2.76755 # DEPENDENCYPART_ARC
(12,21),-3.01971 # DEPENDENCYPART_ARC
(12,22),-3.09619 # DEPENDENCYPART_ARC
(12,23),-3.04272 # DEPENDENCYPART_ARC
(12,24),-3.13404 # DEPENDENCYPART_ARC
(12,25),-2.83067 # DEPENDENCYPART_ARC
(12,26),-2.59176 # DEPENDENCYPART_ARC
(13,1),-3.11724 # DEPENDENCYPART_ARC
(13,2),-3.27957 # DEPENDENCYPART_ARC
(13,3),-2.95017 # DEPENDENCYPART_ARC
(13,4),-2.71078 # DEPENDENCYPART_ARC
(13,5),-2.61475 # DEPENDENCYPART_ARC
(13,6),-2.68193 # DEPENDENCYPART_ARC
(13,7),-1.63971 # DEPENDENCYPART_ARC
(13,8),-1.90382 # DEPENDENCYPART_ARC
(13,9),-2.11591 # DEPENDENCYPART_ARC
(13,10),-1.95432 # DEPENDENCYPART_ARC
(13,11),-0.870638 # DEPENDENCYPART_ARC
(13,12),0.511829 # DEPENDENCYPART_ARC
(13,14),0.36697 # DEPENDENCYPART_ARC
(13,15),-1.0108 # DEPENDENCYPART_ARC
(13,16),-2.558 # DEPENDENCYPART_ARC
(13,17),-1.62732 # DEPENDENCYPART_ARC
(13,18),-0.439889 # DEPENDENCYPART_ARC
(13,19),-1.68723 # DEPENDENCYPART_ARC
(13,20),-1.96863 # DEPENDENCYPART_ARC
(13,21),-1.90498 # DEPENDENCYPART_ARC
(13,22),-2.07859 # DEPENDENCYPART_ARC
(13,23),-2.82491 # DEPENDENCYPART_ARC
(13,24),-2.10828 # DEPENDENCYPART_ARC
(13,25),-2.51329 # DEPENDENCYPART_ARC
(13,26),-0.975955 # DEPENDENCYPART_ARC
(14,1),-4.67742 # DEPENDENCYPART_ARC
(14,2),-3.57703 # DEPENDENCYPART_ARC
(14,3),-2.32433 # DEPENDENCYPART_ARC
(14,4),-3.18843 # DEPENDENCYPART_ARC
(14,5),-2.7425 # DEPENDENCYPART_ARC
(14,6),-2.92341 # DEPENDENCYPART_ARC
(14,7),-2.32854 # DEPENDENCYPART_ARC
(14,8),-3.5634 # DEPENDENCYPART_ARC
(14,9),-2.00052 # DEPENDENCYPART_ARC
(14,10),-2.89811 # DEPENDENCYPART_ARC
(14,11),0.163391 # DEPENDENCYPART_ARC
(14,12),0.51 # DEPENDENCYPART_ARC
(14,13),2.23134 # DEPENDENCYPART_ARC
(14,15),0.894725 # DEPENDENCYPART_ARC
(14,16),-2.49933 # DEPENDENCYPART_ARC
(14,17),-0.481463 # DEPENDENCYPART_ARC
(14,18),0.0687952 # DEPENDENCYPART_ARC
(14,19),-1.37469 # DEPENDENCYPART_ARC
(14,20),-1.46491 # DEPENDENCYPART_ARC
(14,21),-1.74351 # DEPENDENCYPART_ARC
(14,22),-1.16752 # DEPENDENCYPART_ARC
(14,23),-2.56366 # DEPENDENCYPART_ARC
(14,24),-3.72189 # DEPENDENCYPART_ARC
(14,25),-1.71112 # DEPENDENCYPART_ARC
(14,26),-0.761393 # DEPENDENCYPART_ARC
(15,1),-2.38665 # DEPENDENCYPART_ARC
(15,2),-0.412177 # DEPENDENCYPART_ARC
(15,3),0.384182 # DEPENDENCYPART_ARC
(15,4),-1.15103 # DEPENDENCYPART_ARC
(15,5),-0.918097 # DEPENDENCYPART_ARC
(15,6),-0.766849 # DEPENDENCYPART_ARC
(15,7),-1.4863 # DEPENDENCYPART_ARC
(15,8),-1.66568 # DEPENDENCYPART_ARC
(15,9),-0.16497 # DEPENDENCYPART_ARC
(15,10),-0.387005 # DEPENDENCYPART_ARC
(15,11),2.01176 # DEPENDENCYPART_ARC
(15,12),2.78849 # DEPENDENCYPART_ARC
(15,13),4.06294 # DEPENDENCYPART_ARC
(15,14),6.50719 # DEPENDENCYPART_ARC
(15,16),-0.605848 # DEPENDENCYPART_ARC
(15,17),3.13454 # DEPENDENCYPART_ARC
(15,18),2.49067 # DEPENDENCYPART_ARC
(15,19),1.5299 # DEPENDENCYPART_ARC
(15,20),0.539446 # DEPENDENCYPART_ARC
(15,21),0.065466 # DEPENDENCYPART_ARC
(15,22),0.684872 # DEPENDENCYPART_ARC
(15,23),-0.118075 # DEPENDENCYPART_ARC
(15,24),-1.50783 # DEPENDENCYPART_ARC
(15,25),-0.0551462 # DEPENDENCYPART_ARC
(15,26),3.35486 # DEPENDENCYPART_ARC
(16,1),-4.21352 # DEPENDENCYPART_ARC
(16,2),-3.99571 # DEPENDENCYPART_ARC
(16,3),-3.4261 # DEPENDENCYPART_ARC
(16,4),-4.12472 # DEPENDENCYPART_ARC
(16,5),-2.87322 # DEPENDENCYPART_ARC
(16,6),-3.58469 # DEPENDENCYPART_ARC
(16,7),-2.63987 # DEPENDENCYPART_ARC
(16,8),-1.8117 # DEPENDENCYPART_ARC
(16,9),-2.69737 # DEPENDENCYPART_ARC
(16,10),-3.13866 # DEPENDENCYPART_ARC
(16,11),-3.21172 # DEPENDENCYPART_ARC
(16,12),-2.24748 # DEPENDENCYPART_ARC
(16,13),-2.11311 # DEPENDENCYPART_ARC
(16,14),-1.19528 # DEPENDENCYPART_ARC
(16,15),-1.41809 # DEPENDENCYPART_ARC
(16,17),-0.146672 # DEPENDENCYPART_ARC
(16,18),-1.64915 # DEPENDENCYPART_ARC
(16,19),-1.93054 # DEPENDENCYPART_ARC
(16,20),-2.24391 # DEPENDENCYPART_ARC
(16,21),-2.96478 # DEPENDENCYPART_ARC
(16,22),-3.34563 # DEPENDENCYPART_ARC
(16,23),-3.661 # DEPENDENCYPART_ARC
(16,24),-4.3377 # DEPENDENCYPART_ARC
(16,25),-2.99276 # DEPENDENCYPART_ARC
(16,26),-3.16698 # DEPENDENCYPART_ARC
(17,1),-3.89131 # DEPENDENCYPART_ARC
(17,2),-2.18961 # DEPENDENCYPART_ARC
(17,3),-1.81224 # DEPENDENCYPART_ARC
(17,4),-1.19129 # DEPENDENCYPART_ARC
(17,5),-2.23847 # DEPENDENCYPART_ARC
(17,6),-1.90603 # DEPENDENCYPART_ARC
(17,7),-0.108274 # DEPENDENCYPART_ARC
(17,8),-1.28849 # DEPENDENCYPART_ARC
(17,9),0.174172 # DEPENDENCYPART_ARC
(17,10),-1.04605 # DEPENDENCYPART_ARC
(17,11),0.545275 # DEPENDENCYPART_ARC
(17,12),-0.00478687 # DEPENDENCYPART_ARC
(17,13),0.498432 # DEPENDENCYPART_ARC
(17,14),0.0498012 # DEPENDENCYPART_ARC
(17,15),0.283234 # DEPENDENCYPART_ARC
(17,16),5.20687 # DEPENDENCYPART_ARC
(17,18),0.657404 # DEPENDENCYPART_ARC
(17,19),0.389904 # DEPENDENCYPART_ARC
(17,20),0.253915 # DEPENDENCYPART_ARC
(17,21),0.484668 # DEPENDENCYPART_ARC
(17,22),-0.170426 # DEPENDENCYPART_ARC
(17,23),-0.758835 # DEPENDENCYPART_ARC
(17,24),-0.700529 # DEPENDENCYPART_ARC
(17,25),-0.529187 # DEPENDENCYPART_ARC
(17,26),0.611354 # DEPENDENCYPART_ARC
(18,1),-4.0567 # DEPENDENCYPART_ARC
(18,2),-4.20399 # DEPENDENCYPART_ARC
(18,3),-3.9766 # DEPENDENCYPART_ARC
(18,4),-3.90894 # DEPENDENCYPART_ARC
(18,5),-3.8244 # DEPENDENCYPART_ARC
(18,6),-3.94132 # DEPENDENCYPART_ARC
(18,7),-3.0837 # DEPENDENCYPART_ARC
(18,8),-3.59311 # DEPENDENCYPART_ARC
(18,9),-3.04016 # DEPENDENCYPART_ARC
(18,10),-3.60641 # DEPENDENCYPART_ARC
(18,11),-3.17588 # DEPENDENCYPART_ARC
(18,12),-2.53456 # DEPENDENCYPART_ARC
(18,13),-2.64511 # DEPENDENCYPART_ARC
(18,14),-3.0384 # DEPENDENCYPART_ARC
(18,15),-2.62249 # DEPENDENCYPART_ARC
(18,16),-1.40251 # DEPENDENCYPART_ARC
(18,17),-1.65646 # DEPENDENCYPART_ARC
(18,19),-1.00335 # DEPENDENCYPART_ARC
(18,20),-2.07383 # DEPENDENCYPART_ARC
(18,21),-2.41588 # DEPENDENCYPART_ARC
(18,22),-2.64194 # DEPENDENCYPART_ARC
(18,23),-2.74415 # DEPENDENCYPART_ARC
(18,24),-2.64511 # DEPENDENCYPART_ARC
(18,25),-2.42199 # DEPENDENCYPART_ARC
(18,26),-2.0354 # DEPENDENCYPART_ARC
(19,1),-4.69454 # DEPENDENCYPART_ARC
(19,2),-3.24421 # DEPENDENCYPART_ARC
(19,3),-2.18609 # DEPENDENCYPART_ARC
(19,4),-2.8537 # DEPENDENCYPART_ARC
(19,5),-2.90778 # DEPENDENCYPART_ARC
(19,6),-2.96391 # DEPENDENCYPART_ARC
(19,7),-4.03294 # DEPENDENCYPART_ARC
(19,8),-4.18818 # DEPENDENCYPART_ARC
(19,9),-2.40242 # DEPENDENCYPART_ARC
(19,10),-2.95873 # DEPENDENCYPART_ARC
(19,11),-0.701241 # DEPENDENCYPART_ARC
(19,12),-1.40326 # DEPENDENCYPART_ARC
(19,13),-0.0804969 # DEPENDENCYPART_ARC
(19,14),1.5577 # DEPENDENCYPART_ARC
(19,15),-0.471258 # DEPENDENCYPART_ARC
(19,16),-0.648489 # DEPENDENCYPART_ARC
(19,17),-0.477091 # DEPENDENCYPART_ARC
(19,18),-0.883313 # DEPENDENCYPART_ARC
(19,20),1.7272 # DEPENDENCYPART_ARC
(19,21),-0.0966869 # DEPENDENCYPART_ARC
(19,22),-0.100918 # DEPENDENCYPART_ARC
(19,23),-1.52105 # DEPENDENCYPART_ARC
(19,24),-2.20424 # DEPENDENCYPART_ARC
(19,25),-1.48535 # DEPENDENCYPART_ARC
(19,26),1.25482 # DEPENDENCYPART_ARC
(20,1),-2.28137 # DEPENDENCYPART_ARC
(20,2),0.0528437 # DEPENDENCYPART_ARC
(20,3),-0.264845 # DEPENDENCYPART_ARC
(20,4),-1.27673 # DEPENDENCYPART_ARC
(20,5),-0.656572 # DEPENDENCYPART_ARC
(20,6),-0.272965 # DEPENDENCYPART_ARC
