# _root_ Si l' objectiu és que el_nostre programa de quatre anys es pugui aconseguir , que el finançament de l' Estat arribi millor del que està arribant , ho hem de saber explicar .
#goldHeads=4,3,4,31,13,7,13,7,10,8,13,13,4,13,21,17,21,17,20,18,13,21,22,26,26,23,26,31,31,31,0,31,31,
#predictedHeads=4,3,4,0,13,7,13,7,10,8,13,13,4,21,21,17,21,17,20,18,4,21,22,26,26,23,26,31,31,31,23,31,4,
(2,3),0.15611 # DEPENDENCYPART_ARC
(2,4),-1.17959 # DEPENDENCYPART_ARC
(2,5),-1.48724 # DEPENDENCYPART_ARC
(2,6),-0.96787 # DEPENDENCYPART_ARC
(2,7),-2.53306 # DEPENDENCYPART_ARC
(2,8),-2.71532 # DEPENDENCYPART_ARC
(2,9),-2.01883 # DEPENDENCYPART_ARC
(2,10),-4.7488 # DEPENDENCYPART_ARC
(2,11),-3.23598 # DEPENDENCYPART_ARC
(2,12),-3.34549 # DEPENDENCYPART_ARC
(2,13),-3.14779 # DEPENDENCYPART_ARC
(2,14),-3.48931 # DEPENDENCYPART_ARC
(2,15),-2.91409 # DEPENDENCYPART_ARC
(2,16),-4.44913 # DEPENDENCYPART_ARC
(2,17),-4.3395 # DEPENDENCYPART_ARC
(2,18),-4.29166 # DEPENDENCYPART_ARC
(2,19),-3.57601 # DEPENDENCYPART_ARC
(2,20),-5.03695 # DEPENDENCYPART_ARC
(2,21),-4.0849 # DEPENDENCYPART_ARC
(2,22),-3.32095 # DEPENDENCYPART_ARC
(2,23),-5.38489 # DEPENDENCYPART_ARC
(2,24),-4.12996 # DEPENDENCYPART_ARC
(2,25),-4.39274 # DEPENDENCYPART_ARC
(2,26),-4.13107 # DEPENDENCYPART_ARC
(2,27),-4.462 # DEPENDENCYPART_ARC
(2,28),-4.63257 # DEPENDENCYPART_ARC
(2,29),-4.80294 # DEPENDENCYPART_ARC
(2,30),-6.25733 # DEPENDENCYPART_ARC
(2,31),-4.43026 # DEPENDENCYPART_ARC
(2,32),-4.3489 # DEPENDENCYPART_ARC
(2,33),-4.59414 # DEPENDENCYPART_ARC
(3,1),0.796481 # DEPENDENCYPART_ARC
(3,2),4.73019 # DEPENDENCYPART_ARC
(3,4),0.512113 # DEPENDENCYPART_ARC
(3,5),-2.01474 # DEPENDENCYPART_ARC
(3,6),-1.36787 # DEPENDENCYPART_ARC
(3,7),-2.40405 # DEPENDENCYPART_ARC
(3,8),-0.922375 # DEPENDENCYPART_ARC
(3,9),-3.31424 # DEPENDENCYPART_ARC
(3,10),-3.56059 # DEPENDENCYPART_ARC
(3,11),-2.24666 # DEPENDENCYPART_ARC
(3,12),-1.59388 # DEPENDENCYPART_ARC
(3,13),-1.76276 # DEPENDENCYPART_ARC
(3,14),-1.90977 # DEPENDENCYPART_ARC
(3,15),-3.56113 # DEPENDENCYPART_ARC
(3,16),-3.72094 # DEPENDENCYPART_ARC
(3,17),-4.14303 # DEPENDENCYPART_ARC
(3,18),-3.36108 # DEPENDENCYPART_ARC
(3,19),-3.95389 # DEPENDENCYPART_ARC
(3,20),-4.99848 # DEPENDENCYPART_ARC
(3,21),-4.52793 # DEPENDENCYPART_ARC
(3,22),-3.20768 # DEPENDENCYPART_ARC
(3,23),-5.69969 # DEPENDENCYPART_ARC
(3,24),-6.24403 # DEPENDENCYPART_ARC
(3,25),-4.88119 # DEPENDENCYPART_ARC
(3,26),-4.95537 # DEPENDENCYPART_ARC
(3,27),-3.70345 # DEPENDENCYPART_ARC
(3,28),-5.59503 # DEPENDENCYPART_ARC
(3,29),-5.57757 # DEPENDENCYPART_ARC
(3,30),-8.08982 # DEPENDENCYPART_ARC
(3,31),-6.75849 # DEPENDENCYPART_ARC
(3,32),-7.59955 # DEPENDENCYPART_ARC
(3,33),2.48695 # DEPENDENCYPART_ARC
(4,1),4.29098 # DEPENDENCYPART_ARC
(4,2),1.03462 # DEPENDENCYPART_ARC
(4,3),3.40743 # DEPENDENCYPART_ARC
(4,5),1.08232 # DEPENDENCYPART_ARC
(4,6),-1.47869 # DEPENDENCYPART_ARC
(4,7),0.360327 # DEPENDENCYPART_ARC
(4,8),0.46921 # DEPENDENCYPART_ARC
(4,9),-1.60741 # DEPENDENCYPART_ARC
(4,10),-0.691575 # DEPENDENCYPART_ARC
(4,11),-0.394268 # DEPENDENCYPART_ARC
(4,12),1.64979 # DEPENDENCYPART_ARC
(4,13),2.34062 # DEPENDENCYPART_ARC
(4,14),1.18057 # DEPENDENCYPART_ARC
(4,15),0.2284 # DEPENDENCYPART_ARC
(4,16),-3.46868 # DEPENDENCYPART_ARC
(4,17),-3.0781 # DEPENDENCYPART_ARC
(4,18),-1.30697 # DEPENDENCYPART_ARC
(4,19),-2.3945 # DEPENDENCYPART_ARC
(4,20),-3.24045 # DEPENDENCYPART_ARC
(4,21),2.14139 # DEPENDENCYPART_ARC
(4,22),-0.768431 # DEPENDENCYPART_ARC
(4,23),-5.60998 # DEPENDENCYPART_ARC
(4,24),-2.31197 # DEPENDENCYPART_ARC
(4,25),-0.101713 # DEPENDENCYPART_ARC
(4,26),1.41089 # DEPENDENCYPART_ARC
(4,27),-0.111906 # DEPENDENCYPART_ARC
(4,28),-1.85826 # DEPENDENCYPART_ARC
(4,29),0.0525641 # DEPENDENCYPART_ARC
(4,30),-2.71204 # DEPENDENCYPART_ARC
(4,31),-0.248465 # DEPENDENCYPART_ARC
(4,32),0.136592 # DEPENDENCYPART_ARC
(4,33),7.23418 # DEPENDENCYPART_ARC
(5,1),-2.80176 # DEPENDENCYPART_ARC
(5,2),-2.94153 # DEPENDENCYPART_ARC
(5,3),-2.83591 # DEPENDENCYPART_ARC
(5,4),-1.67548 # DEPENDENCYPART_ARC
(5,6),-0.796849 # DEPENDENCYPART_ARC
(5,7),-0.610693 # DEPENDENCYPART_ARC
(5,8),-0.57982 # DEPENDENCYPART_ARC
(5,9),-2.0779 # DEPENDENCYPART_ARC
(5,10),-2.10705 # DEPENDENCYPART_ARC
(5,11),-1.60182 # DEPENDENCYPART_ARC
(5,12),-0.335139 # DEPENDENCYPART_ARC
(5,13),-1.08529 # DEPENDENCYPART_ARC
(5,14),-1.54122 # DEPENDENCYPART_ARC
(5,15),-0.832956 # DEPENDENCYPART_ARC
(5,16),-3.24833 # DEPENDENCYPART_ARC
(5,17),-4.04574 # DEPENDENCYPART_ARC
(5,18),-1.87601 # DEPENDENCYPART_ARC
(5,19),-3.1448 # DEPENDENCYPART_ARC
(5,20),-4.77019 # DEPENDENCYPART_ARC
(5,21),-1.53641 # DEPENDENCYPART_ARC
(5,22),-2.71464 # DEPENDENCYPART_ARC
(5,23),-1.66394 # DEPENDENCYPART_ARC
(5,24),-2.65047 # DEPENDENCYPART_ARC
(5,25),-1.72089 # DEPENDENCYPART_ARC
(5,26),-1.80849 # DEPENDENCYPART_ARC
(5,27),-2.2996 # DEPENDENCYPART_ARC
(5,28),-2.86758 # DEPENDENCYPART_ARC
(5,29),-1.77312 # DEPENDENCYPART_ARC
(5,30),-1.90383 # DEPENDENCYPART_ARC
(5,31),-2.16364 # DEPENDENCYPART_ARC
(5,32),-2.26645 # DEPENDENCYPART_ARC
(5,33),-1.14436 # DEPENDENCYPART_ARC
(6,1),-1.30714 # DEPENDENCYPART_ARC
(6,2),-1.4969 # DEPENDENCYPART_ARC
(6,3),-1.37925 # DEPENDENCYPART_ARC
(6,4),-0.445186 # DEPENDENCYPART_ARC
(6,5),0.76122 # DEPENDENCYPART_ARC
(6,7),0.837652 # DEPENDENCYPART_ARC
(6,8),0.0594612 # DEPENDENCYPART_ARC
(6,9),1.35974 # DEPENDENCYPART_ARC
(6,10),-2.94376 # DEPENDENCYPART_ARC
(6,11),-1.33157 # DEPENDENCYPART_ARC
(6,12),-2.48166 # DEPENDENCYPART_ARC
(6,13),-2.20374 # DEPENDENCYPART_ARC
(6,14),-2.26214 # DEPENDENCYPART_ARC
(6,15),-1.86682 # DEPENDENCYPART_ARC
(6,16),-3.03418 # DEPENDENCYPART_ARC
(6,17),-3.52208 # DEPENDENCYPART_ARC
(6,18),-3.43836 # DEPENDENCYPART_ARC
(6,19),-2.41538 # DEPENDENCYPART_ARC
(6,20),-3.68321 # DEPENDENCYPART_ARC
(6,21),-3.63382 # DEPENDENCYPART_ARC
(6,22),-2.37212 # DEPENDENCYPART_ARC
(6,23),-4.8611 # DEPENDENCYPART_ARC
(6,24),-3.75868 # DEPENDENCYPART_ARC
(6,25),-4.19219 # DEPENDENCYPART_ARC
(6,26),-3.05014 # DEPENDENCYPART_ARC
(6,27),-3.27659 # DEPENDENCYPART_ARC
(6,28),-4.35683 # DEPENDENCYPART_ARC
(6,29),-4.12033 # DEPENDENCYPART_ARC
(6,30),-5.40222 # DEPENDENCYPART_ARC
(6,31),-3.4486 # DEPENDENCYPART_ARC
(6,32),-3.51429 # DEPENDENCYPART_ARC
(6,33),-3.20452 # DEPENDENCYPART_ARC
(7,1),-0.511514 # DEPENDENCYPART_ARC
(7,2),0.472496 # DEPENDENCYPART_ARC
(7,3),-1.27041 # DEPENDENCYPART_ARC
(7,4),-0.446704 # DEPENDENCYPART_ARC
(7,5),1.56456 # DEPENDENCYPART_ARC
(7,6),4.84138 # DEPENDENCYPART_ARC
(7,8),3.28996 # DEPENDENCYPART_ARC
(7,9),-0.650143 # DEPENDENCYPART_ARC
(7,10),1.08834 # DEPENDENCYPART_ARC
(7,11),0.535763 # DEPENDENCYPART_ARC
(7,12),2.05714 # DEPENDENCYPART_ARC
(7,13),1.50275 # DEPENDENCYPART_ARC
(7,14),-0.101266 # DEPENDENCYPART_ARC
(7,15),-0.989284 # DEPENDENCYPART_ARC
(7,16),-1.88986 # DEPENDENCYPART_ARC
(7,17),-0.909222 # DEPENDENCYPART_ARC
(7,18),0.188589 # DEPENDENCYPART_ARC
(7,19),-2.31792 # DEPENDENCYPART_ARC
(7,20),-1.86598 # DEPENDENCYPART_ARC
(7,21),-1.72861 # DEPENDENCYPART_ARC
(7,22),-1.38709 # DEPENDENCYPART_ARC
(7,23),-3.68294 # DEPENDENCYPART_ARC
(7,24),-3.94837 # DEPENDENCYPART_ARC
(7,25),-2.25425 # DEPENDENCYPART_ARC
(7,26),-2.17428 # DEPENDENCYPART_ARC
(7,27),-1.92687 # DEPENDENCYPART_ARC
(7,28),-3.67056 # DEPENDENCYPART_ARC
(7,29),-3.19001 # DEPENDENCYPART_ARC
(7,30),-4.16355 # DEPENDENCYPART_ARC
(7,31),-4.50575 # DEPENDENCYPART_ARC
(7,32),-5.0638 # DEPENDENCYPART_ARC
(7,33),1.29523 # DEPENDENCYPART_ARC
(8,1),-0.693598 # DEPENDENCYPART_ARC
(8,2),-1.51085 # DEPENDENCYPART_ARC
(8,3),-1.80677 # DEPENDENCYPART_ARC
(8,4),-0.171801 # DEPENDENCYPART_ARC
(8,5),0.613692 # DEPENDENCYPART_ARC
(8,6),0.618999 # DEPENDENCYPART_ARC
(8,7),-0.11044 # DEPENDENCYPART_ARC
(8,9),1.07092 # DEPENDENCYPART_ARC
(8,10),5.11645 # DEPENDENCYPART_ARC
(8,11),-0.738793 # DEPENDENCYPART_ARC
(8,12),1.17389 # DEPENDENCYPART_ARC
(8,13),0.894783 # DEPENDENCYPART_ARC
(8,14),-0.256365 # DEPENDENCYPART_ARC
(8,15),-1.57623 # DEPENDENCYPART_ARC
(8,16),-2.41305 # DEPENDENCYPART_ARC
(8,17),-3.195 # DEPENDENCYPART_ARC
(8,18),-1.36308 # DEPENDENCYPART_ARC
(8,19),-1.96799 # DEPENDENCYPART_ARC
(8,20),-4.25516 # DEPENDENCYPART_ARC
(8,21),-2.82836 # DEPENDENCYPART_ARC
(8,22),-1.53958 # DEPENDENCYPART_ARC
(8,23),-1.59279 # DEPENDENCYPART_ARC
(8,24),-3.83132 # DEPENDENCYPART_ARC
(8,25),-2.44269 # DEPENDENCYPART_ARC
(8,26),-2.82787 # DEPENDENCYPART_ARC
(8,27),-2.40614 # DEPENDENCYPART_ARC
(8,28),-4.17128 # DEPENDENCYPART_ARC
(8,29),-2.69445 # DEPENDENCYPART_ARC
(8,30),-3.02724 # DEPENDENCYPART_ARC
(8,31),-3.50977 # DEPENDENCYPART_ARC
(8,32),-4.74223 # DEPENDENCYPART_ARC
(8,33),-0.463295 # DEPENDENCYPART_ARC
(9,1),-1.35089 # DEPENDENCYPART_ARC
(9,2),-2.53355 # DEPENDENCYPART_ARC
(9,3),-1.45787 # DEPENDENCYPART_ARC
(9,4),0.685765 # DEPENDENCYPART_ARC
(9,5),-0.667517 # DEPENDENCYPART_ARC
(9,6),0.58983 # DEPENDENCYPART_ARC
(9,7),-0.0114387 # DEPENDENCYPART_ARC
(9,8),1.62948 # DEPENDENCYPART_ARC
(9,10),0.474714 # DEPENDENCYPART_ARC
(9,11),-0.396659 # DEPENDENCYPART_ARC
(9,12),-1.8157 # DEPENDENCYPART_ARC
(9,13),-1.73608 # DEPENDENCYPART_ARC
(9,14),-2.39567 # DEPENDENCYPART_ARC
(9,15),-1.90288 # DEPENDENCYPART_ARC
(9,16),-3.5584 # DEPENDENCYPART_ARC
(9,17),-2.57577 # DEPENDENCYPART_ARC
(9,18),-3.03872 # DEPENDENCYPART_ARC
(9,19),-2.33969 # DEPENDENCYPART_ARC
(9,20),-3.20341 # DEPENDENCYPART_ARC
(9,21),-3.5219 # DEPENDENCYPART_ARC
(9,22),-2.83573 # DEPENDENCYPART_ARC
(9,23),-4.80148 # DEPENDENCYPART_ARC
(9,24),-3.41982 # DEPENDENCYPART_ARC
(9,25),-3.65697 # DEPENDENCYPART_ARC
(9,26),-2.9034 # DEPENDENCYPART_ARC
(9,27),-3.93644 # DEPENDENCYPART_ARC
(9,28),-4.01248 # DEPENDENCYPART_ARC
(9,29),-2.93968 # DEPENDENCYPART_ARC
(9,30),-4.89012 # DEPENDENCYPART_ARC
(9,31),-3.15101 # DEPENDENCYPART_ARC
(9,32),-3.29222 # DEPENDENCYPART_ARC
(9,33),-4.3723 # DEPENDENCYPART_ARC
(10,1),-1.21599 # DEPENDENCYPART_ARC
(10,2),-2.0524 # DEPENDENCYPART_ARC
(10,3),-2.61636 # DEPENDENCYPART_ARC
(10,4),0.10349 # DEPENDENCYPART_ARC
(10,5),0.141608 # DEPENDENCYPART_ARC
(10,6),1.94942 # DEPENDENCYPART_ARC
(10,7),-1.40177 # DEPENDENCYPART_ARC
(10,8),0.656951 # DEPENDENCYPART_ARC
(10,9),3.36831 # DEPENDENCYPART_ARC
(10,11),-0.605564 # DEPENDENCYPART_ARC
(10,12),-1.01545 # DEPENDENCYPART_ARC
(10,13),-0.646952 # DEPENDENCYPART_ARC
(10,14),-2.46898 # DEPENDENCYPART_ARC
(10,15),-3.60715 # DEPENDENCYPART_ARC
(10,16),-4.65462 # DEPENDENCYPART_ARC
(10,17),-4.35712 # DEPENDENCYPART_ARC
(10,18),-2.53755 # DEPENDENCYPART_ARC
(10,19),-4.81562 # DEPENDENCYPART_ARC
(10,20),-5.01433 # DEPENDENCYPART_ARC
(10,21),-4.7937 # DEPENDENCYPART_ARC
(10,22),-3.61198 # DEPENDENCYPART_ARC
(10,23),-6.36739 # DEPENDENCYPART_ARC
(10,24),-5.65002 # DEPENDENCYPART_ARC
(10,25),-5.87046 # DEPENDENCYPART_ARC
(10,26),-5.0125 # DEPENDENCYPART_ARC
(10,27),-4.31583 # DEPENDENCYPART_ARC
(10,28),-5.05806 # DEPENDENCYPART_ARC
(10,29),-5.74656 # DEPENDENCYPART_ARC
(10,30),-7.1063 # DEPENDENCYPART_ARC
(10,31),-7.70022 # DEPENDENCYPART_ARC
(10,32),-7.94197 # DEPENDENCYPART_ARC
(10,33),-0.987546 # DEPENDENCYPART_ARC
(11,1),-1.94379 # DEPENDENCYPART_ARC
(11,2),-2.92528 # DEPENDENCYPART_ARC
(11,3),-2.83982 # DEPENDENCYPART_ARC
(11,4),-2.28525 # DEPENDENCYPART_ARC
(11,5),-0.956241 # DEPENDENCYPART_ARC
(11,6),-1.64565 # DEPENDENCYPART_ARC
(11,7),-2.30081 # DEPENDENCYPART_ARC
(11,8),-0.477558 # DEPENDENCYPART_ARC
(11,9),0.225859 # DEPENDENCYPART_ARC
(11,10),-0.78069 # DEPENDENCYPART_ARC
(11,12),0.265788 # DEPENDENCYPART_ARC
(11,13),-0.853205 # DEPENDENCYPART_ARC
(11,14),-1.14781 # DEPENDENCYPART_ARC
(11,15),-0.895844 # DEPENDENCYPART_ARC
(11,16),-2.25858 # DEPENDENCYPART_ARC
(11,17),-1.53197 # DEPENDENCYPART_ARC
(11,18),-2.15322 # DEPENDENCYPART_ARC
(11,19),-2.68529 # DEPENDENCYPART_ARC
(11,20),-1.84344 # DEPENDENCYPART_ARC
(11,21),-2.76697 # DEPENDENCYPART_ARC
(11,22),-2.64033 # DEPENDENCYPART_ARC
(11,23),-3.0124 # DEPENDENCYPART_ARC
(11,24),-2.93121 # DEPENDENCYPART_ARC
(11,25),-3.76469 # DEPENDENCYPART_ARC
(11,26),-3.48971 # DEPENDENCYPART_ARC
(11,27),-3.06398 # DEPENDENCYPART_ARC
(11,28),-2.87413 # DEPENDENCYPART_ARC
(11,29),-4.03949 # DEPENDENCYPART_ARC
(11,30),-3.79074 # DEPENDENCYPART_ARC
(11,31),-4.81402 # DEPENDENCYPART_ARC
(11,32),-5.05443 # DEPENDENCYPART_ARC
(11,33),-0.713468 # DEPENDENCYPART_ARC
(12,1),-0.268616 # DEPENDENCYPART_ARC
(12,2),-3.232 # DEPENDENCYPART_ARC
(12,3),-1.66326 # DEPENDENCYPART_ARC
(12,4),-2.748 # DEPENDENCYPART_ARC
(12,5),1.04984 # DEPENDENCYPART_ARC
(12,6),-4.01758 # DEPENDENCYPART_ARC
(12,7),-0.50848 # DEPENDENCYPART_ARC
(12,8),-1.35923 # DEPENDENCYPART_ARC
(12,9),-1.14848 # DEPENDENCYPART_ARC
(12,10),-1.18118 # DEPENDENCYPART_ARC
(12,11),2.88949 # DEPENDENCYPART_ARC
(12,13),1.17302 # DEPENDENCYPART_ARC
(12,14),-0.649301 # DEPENDENCYPART_ARC
(12,15),-2.035 # DEPENDENCYPART_ARC
(12,16),-4.71993 # DEPENDENCYPART_ARC
(12,17),-2.67625 # DEPENDENCYPART_ARC
(12,18),-2.785 # DEPENDENCYPART_ARC
(12,19),-4.081 # DEPENDENCYPART_ARC
(12,20),-3.56836 # DEPENDENCYPART_ARC
(12,21),-0.374192 # DEPENDENCYPART_ARC
(12,22),-2.36117 # DEPENDENCYPART_ARC
(12,23),-5.26343 # DEPENDENCYPART_ARC
(12,24),-4.57651 # DEPENDENCYPART_ARC
(12,25),-2.41497 # DEPENDENCYPART_ARC
(12,26),-1.31457 # DEPENDENCYPART_ARC
(12,27),-1.64458 # DEPENDENCYPART_ARC
(12,28),-3.45038 # DEPENDENCYPART_ARC
(12,29),-3.26134 # DEPENDENCYPART_ARC
(12,30),-3.90285 # DEPENDENCYPART_ARC
(12,31),-3.19646 # DEPENDENCYPART_ARC
(12,32),-2.70544 # DEPENDENCYPART_ARC
(12,33),1.02633 # DEPENDENCYPART_ARC
(13,1),1.60193 # DEPENDENCYPART_ARC
(13,2),-1.1428 # DEPENDENCYPART_ARC
(13,3),0.333684 # DEPENDENCYPART_ARC
(13,4),-0.0292809 # DEPENDENCYPART_ARC
(13,5),3.24297 # DEPENDENCYPART_ARC
(13,6),-0.250374 # DEPENDENCYPART_ARC
(13,7),1.48117 # DEPENDENCYPART_ARC
(13,8),0.306933 # DEPENDENCYPART_ARC
(13,9),0.962351 # DEPENDENCYPART_ARC
(13,10),2.24576 # DEPENDENCYPART_ARC
(13,11),5.06304 # DEPENDENCYPART_ARC
(13,12),5.91952 # DEPENDENCYPART_ARC
(13,14),1.38505 # DEPENDENCYPART_ARC
(13,15),0.349213 # DEPENDENCYPART_ARC
(13,16),-1.77702 # DEPENDENCYPART_ARC
(13,17),0.515523 # DEPENDENCYPART_ARC
(13,18),0.38546 # DEPENDENCYPART_ARC
(13,19),-1.96638 # DEPENDENCYPART_ARC
(13,20),-1.0272 # DEPENDENCYPART_ARC
(13,21),1.69047 # DEPENDENCYPART_ARC
(13,22),0.239308 # DEPENDENCYPART_ARC
(13,23),-2.94659 # DEPENDENCYPART_ARC
(13,24),-1.47076 # DEPENDENCYPART_ARC
(13,25),0.503831 # DEPENDENCYPART_ARC
(13,26),0.763294 # DEPENDENCYPART_ARC
(13,27),0.0690939 # DEPENDENCYPART_ARC
(13,28),-0.14365 # DEPENDENCYPART_ARC
(13,29),-0.12769 # DEPENDENCYPART_ARC
(13,30),-2.76364 # DEPENDENCYPART_ARC
(13,31),0.118419 # DEPENDENCYPART_ARC
(13,32),-0.161469 # DEPENDENCYPART_ARC
(13,33),3.86372 # DEPENDENCYPART_ARC
(14,1),-3.98461 # DEPENDENCYPART_ARC
(14,2),-4.73586 # DEPENDENCYPART_ARC
(14,3),-4.85098 # DEPENDENCYPART_ARC
(14,4),-4.51838 # DEPENDENCYPART_ARC
(14,5),-3.75905 # DEPENDENCYPART_ARC
(14,6),-4.3358 # DEPENDENCYPART_ARC
(14,7),-4.39862 # DEPENDENCYPART_ARC
(14,8),-3.57505 # DEPENDENCYPART_ARC
(14,9),-3.6928 # DEPENDENCYPART_ARC
(14,10),-3.98665 # DEPENDENCYPART_ARC
(14,11),-3.23975 # DEPENDENCYPART_ARC
(14,12),-3.07902 # DEPENDENCYPART_ARC
(14,13),-2.19915 # DEPENDENCYPART_ARC
(14,15),-0.773039 # DEPENDENCYPART_ARC
(14,16),-1.92829 # DEPENDENCYPART_ARC
(14,17),-1.71025 # DEPENDENCYPART_ARC
(14,18),-1.98699 # DEPENDENCYPART_ARC
(14,19),-2.50941 # DEPENDENCYPART_ARC
(14,20),-2.05003 # DEPENDENCYPART_ARC
(14,21),-1.69603 # DEPENDENCYPART_ARC
(14,22),-2.56257 # DEPENDENCYPART_ARC
(14,23),-2.48218 # DEPENDENCYPART_ARC
(14,24),-2.85824 # DEPENDENCYPART_ARC
(14,25),-2.22525 # DEPENDENCYPART_ARC
(14,26),-2.35366 # DEPENDENCYPART_ARC
(14,27),-2.48922 # DEPENDENCYPART_ARC
(14,28),-2.94887 # DEPENDENCYPART_ARC
(14,29),-2.5565 # DEPENDENCYPART_ARC
(14,30),-2.7733 # DEPENDENCYPART_ARC
(14,31),-2.52593 # DEPENDENCYPART_ARC
(14,32),-2.64368 # DEPENDENCYPART_ARC
(14,33),-2.52355 # DEPENDENCYPART_ARC
(15,1),-2.51297 # DEPENDENCYPART_ARC
(15,2),-3.56248 # DEPENDENCYPART_ARC
(15,3),-3.58925 # DEPENDENCYPART_ARC
(15,4),-3.31296 # DEPENDENCYPART_ARC
(15,5),-2.25579 # DEPENDENCYPART_ARC
(15,6),-3.21447 # DEPENDENCYPART_ARC
(15,7),-3.14608 # DEPENDENCYPART_ARC
(15,8),-2.1297 # DEPENDENCYPART_ARC
(15,9),-2.96343 # DEPENDENCYPART_ARC
(15,10),-2.86565 # DEPENDENCYPART_ARC
(15,11),-2.1033 # DEPENDENCYPART_ARC
(15,12),-2.27316 # DEPENDENCYPART_ARC
(15,13),-1.44309 # DEPENDENCYPART_ARC
(15,14),0.495642 # DEPENDENCYPART_ARC
(15,16),-1.2495 # DEPENDENCYPART_ARC
(15,17),-0.602123 # DEPENDENCYPART_ARC
(15,18),-0.847315 # DEPENDENCYPART_ARC
(15,19),-2.32024 # DEPENDENCYPART_ARC
(15,20),-2.18688 # DEPENDENCYPART_ARC
(15,21),-0.807837 # DEPENDENCYPART_ARC
(15,22),-2.46434 # DEPENDENCYPART_ARC
(15,23),-1.63616 # DEPENDENCYPART_ARC
(15,24),-2.41273 # DEPENDENCYPART_ARC
(15,25),-1.57281 # DEPENDENCYPART_ARC
