# _root_ A_més_a_més_de presó , reclama la clausura de l' empresa durant dos anys , la inhabilitació durant cinc anys per exercir com_a industrial i una multa .
#goldHeads=4,1,1,0,6,4,6,9,7,6,12,10,6,15,6,15,18,16,15,19,20,21,6,25,6,4,
#predictedHeads=4,1,1,0,6,4,6,9,7,4,12,10,15,15,6,15,18,16,4,19,20,21,4,25,20,4,
(2,11),-4.73041 # DEPENDENCYPART_ARC
(2,12),-2.4361 # DEPENDENCYPART_ARC
(2,13),-1.27045 # DEPENDENCYPART_ARC
(2,14),-3.70822 # DEPENDENCYPART_ARC
(2,15),-2.06964 # DEPENDENCYPART_ARC
(2,16),-1.84656 # DEPENDENCYPART_ARC
(2,17),-4.6442 # DEPENDENCYPART_ARC
(2,18),-3.52999 # DEPENDENCYPART_ARC
(2,19),-2.39374 # DEPENDENCYPART_ARC
(2,20),-2.09859 # DEPENDENCYPART_ARC
(2,21),-2.05432 # DEPENDENCYPART_ARC
(2,22),-2.4325 # DEPENDENCYPART_ARC
(2,23),-1.24678 # DEPENDENCYPART_ARC
(2,24),-4.83194 # DEPENDENCYPART_ARC
(2,25),-1.07825 # DEPENDENCYPART_ARC
(2,26),-1.10997 # DEPENDENCYPART_ARC
(3,2),-1.5147 # DEPENDENCYPART_ARC
(3,6),-1.91288 # DEPENDENCYPART_ARC
(3,9),-2.27693 # DEPENDENCYPART_ARC
(3,12),-2.44842 # DEPENDENCYPART_ARC
(3,13),-1.5498 # DEPENDENCYPART_ARC
(3,15),-2.50372 # DEPENDENCYPART_ARC
(3,18),-2.57573 # DEPENDENCYPART_ARC
(3,22),-2.743 # DEPENDENCYPART_ARC
(3,25),-2.63337 # DEPENDENCYPART_ARC
(4,1),2.75054 # DEPENDENCYPART_ARC
(4,2),1.56317 # DEPENDENCYPART_ARC
(4,3),1.34219 # DEPENDENCYPART_ARC
(4,5),-1.32746 # DEPENDENCYPART_ARC
(4,6),3.4741 # DEPENDENCYPART_ARC
(4,7),0.609608 # DEPENDENCYPART_ARC
(4,8),-1.53821 # DEPENDENCYPART_ARC
(4,9),1.24051 # DEPENDENCYPART_ARC
(4,10),1.84452 # DEPENDENCYPART_ARC
(4,12),0.527851 # DEPENDENCYPART_ARC
(4,13),0.456961 # DEPENDENCYPART_ARC
(4,14),-3.40723 # DEPENDENCYPART_ARC
(4,15),0.416694 # DEPENDENCYPART_ARC
(4,16),1.23097 # DEPENDENCYPART_ARC
(4,18),-0.0585298 # DEPENDENCYPART_ARC
(4,19),1.88418 # DEPENDENCYPART_ARC
(4,20),1.11409 # DEPENDENCYPART_ARC
(4,21),0.28792 # DEPENDENCYPART_ARC
(4,22),-1.14049 # DEPENDENCYPART_ARC
(4,23),1.39511 # DEPENDENCYPART_ARC
(4,25),-0.591063 # DEPENDENCYPART_ARC
(4,26),6.39864 # DEPENDENCYPART_ARC
(5,1),-2.58799 # DEPENDENCYPART_ARC
(5,2),-2.50934 # DEPENDENCYPART_ARC
(5,6),2.51961 # DEPENDENCYPART_ARC
(5,7),0.299742 # DEPENDENCYPART_ARC
(5,8),0.59086 # DEPENDENCYPART_ARC
(5,9),-0.539005 # DEPENDENCYPART_ARC
(5,10),-2.06028 # DEPENDENCYPART_ARC
(5,11),-1.52581 # DEPENDENCYPART_ARC
(5,12),-3.75244 # DEPENDENCYPART_ARC
(5,14),-1.82809 # DEPENDENCYPART_ARC
(5,15),-2.34875 # DEPENDENCYPART_ARC
(5,16),-3.6493 # DEPENDENCYPART_ARC
(5,17),-3.18756 # DEPENDENCYPART_ARC
(5,18),-4.0948 # DEPENDENCYPART_ARC
(5,19),-4.34037 # DEPENDENCYPART_ARC
(5,21),-4.37514 # DEPENDENCYPART_ARC
(5,22),-4.92133 # DEPENDENCYPART_ARC
(5,23),-4.00678 # DEPENDENCYPART_ARC
(5,24),-5.00621 # DEPENDENCYPART_ARC
(5,25),-4.89604 # DEPENDENCYPART_ARC
(6,1),-1.54715 # DEPENDENCYPART_ARC
(6,2),-0.690773 # DEPENDENCYPART_ARC
(6,3),0.041358 # DEPENDENCYPART_ARC
(6,4),0.62359 # DEPENDENCYPART_ARC
(6,5),4.47436 # DEPENDENCYPART_ARC
(6,7),3.07518 # DEPENDENCYPART_ARC
(6,8),-0.484475 # DEPENDENCYPART_ARC
(6,9),1.47869 # DEPENDENCYPART_ARC
(6,10),1.2555 # DEPENDENCYPART_ARC
(6,11),-2.62786 # DEPENDENCYPART_ARC
(6,12),0.558833 # DEPENDENCYPART_ARC
(6,13),0.748883 # DEPENDENCYPART_ARC
(6,14),-1.63592 # DEPENDENCYPART_ARC
(6,15),1.1597 # DEPENDENCYPART_ARC
(6,16),1.03071 # DEPENDENCYPART_ARC
(6,17),-2.78264 # DEPENDENCYPART_ARC
(6,18),-0.0848057 # DEPENDENCYPART_ARC
(6,19),0.86199 # DEPENDENCYPART_ARC
(6,20),0.748129 # DEPENDENCYPART_ARC
(6,21),-0.215455 # DEPENDENCYPART_ARC
(6,22),-1.43304 # DEPENDENCYPART_ARC
(6,23),0.630425 # DEPENDENCYPART_ARC
(6,24),-3.00629 # DEPENDENCYPART_ARC
(6,25),0.718975 # DEPENDENCYPART_ARC
(6,26),1.12836 # DEPENDENCYPART_ARC
(7,1),-1.79537 # DEPENDENCYPART_ARC
(7,2),-2.04938 # DEPENDENCYPART_ARC
(7,3),-1.17065 # DEPENDENCYPART_ARC
(7,4),-0.1622 # DEPENDENCYPART_ARC
(7,5),0.388124 # DEPENDENCYPART_ARC
(7,6),-0.163111 # DEPENDENCYPART_ARC
(7,8),0.379108 # DEPENDENCYPART_ARC
(7,9),4.72047 # DEPENDENCYPART_ARC
(7,10),-0.63076 # DEPENDENCYPART_ARC
(7,11),-1.99929 # DEPENDENCYPART_ARC
(7,12),1.43406 # DEPENDENCYPART_ARC
(7,13),-0.522137 # DEPENDENCYPART_ARC
(7,14),-2.35616 # DEPENDENCYPART_ARC
(7,15),-1.69894 # DEPENDENCYPART_ARC
(7,16),-1.84929 # DEPENDENCYPART_ARC
(7,17),-1.71484 # DEPENDENCYPART_ARC
(7,18),-3.97969 # DEPENDENCYPART_ARC
(7,19),-3.12427 # DEPENDENCYPART_ARC
(7,20),-0.599793 # DEPENDENCYPART_ARC
(7,21),-2.53217 # DEPENDENCYPART_ARC
(7,22),-6.27906 # DEPENDENCYPART_ARC
(7,23),-0.596355 # DEPENDENCYPART_ARC
(7,24),-2.51286 # DEPENDENCYPART_ARC
(7,25),-7.52463 # DEPENDENCYPART_ARC
(7,26),-1.10108 # DEPENDENCYPART_ARC
(8,1),-1.96097 # DEPENDENCYPART_ARC
(8,2),-2.17249 # DEPENDENCYPART_ARC
(8,5),-0.194225 # DEPENDENCYPART_ARC
(8,6),-0.618588 # DEPENDENCYPART_ARC
(8,7),0.397206 # DEPENDENCYPART_ARC
(8,9),2.71332 # DEPENDENCYPART_ARC
(8,10),-0.766379 # DEPENDENCYPART_ARC
(8,11),0.315597 # DEPENDENCYPART_ARC
(8,12),-2.47945 # DEPENDENCYPART_ARC
(8,14),-2.03546 # DEPENDENCYPART_ARC
(8,15),-1.5897 # DEPENDENCYPART_ARC
(8,16),-3.37872 # DEPENDENCYPART_ARC
(8,17),-2.31246 # DEPENDENCYPART_ARC
(8,18),-2.92647 # DEPENDENCYPART_ARC
(8,19),-4.19653 # DEPENDENCYPART_ARC
(8,21),-4.33101 # DEPENDENCYPART_ARC
(8,22),-3.92417 # DEPENDENCYPART_ARC
(8,23),-2.83217 # DEPENDENCYPART_ARC
(8,24),-5.09218 # DEPENDENCYPART_ARC
(8,25),-4.07223 # DEPENDENCYPART_ARC
(9,1),-2.18398 # DEPENDENCYPART_ARC
(9,2),-1.38639 # DEPENDENCYPART_ARC
(9,3),-0.649908 # DEPENDENCYPART_ARC
(9,4),-0.717813 # DEPENDENCYPART_ARC
(9,5),1.62675 # DEPENDENCYPART_ARC
(9,6),-0.48417 # DEPENDENCYPART_ARC
(9,7),0.433639 # DEPENDENCYPART_ARC
(9,8),3.84132 # DEPENDENCYPART_ARC
(9,10),1.08414 # DEPENDENCYPART_ARC
(9,11),-1.75617 # DEPENDENCYPART_ARC
(9,12),1.11293 # DEPENDENCYPART_ARC
(9,13),0.645119 # DEPENDENCYPART_ARC
(9,14),-1.43487 # DEPENDENCYPART_ARC
(9,15),1.1087 # DEPENDENCYPART_ARC
(9,16),0.460488 # DEPENDENCYPART_ARC
(9,17),-2.72705 # DEPENDENCYPART_ARC
(9,18),-0.0378122 # DEPENDENCYPART_ARC
(9,19),0.28257 # DEPENDENCYPART_ARC
(9,20),0.510233 # DEPENDENCYPART_ARC
(9,21),-0.829253 # DEPENDENCYPART_ARC
(9,22),-1.59006 # DEPENDENCYPART_ARC
(9,23),-0.169549 # DEPENDENCYPART_ARC
(9,24),-2.93676 # DEPENDENCYPART_ARC
(9,25),0.246453 # DEPENDENCYPART_ARC
(9,26),0.201829 # DEPENDENCYPART_ARC
(10,1),-2.60002 # DEPENDENCYPART_ARC
(10,2),-2.45339 # DEPENDENCYPART_ARC
(10,3),-1.20001 # DEPENDENCYPART_ARC
(10,4),-0.822268 # DEPENDENCYPART_ARC
(10,5),-1.35052 # DEPENDENCYPART_ARC
(10,6),-1.84878 # DEPENDENCYPART_ARC
(10,7),-0.780815 # DEPENDENCYPART_ARC
(10,8),-0.294056 # DEPENDENCYPART_ARC
(10,9),-0.26058 # DEPENDENCYPART_ARC
(10,11),-0.216513 # DEPENDENCYPART_ARC
(10,12),5.26608 # DEPENDENCYPART_ARC
(10,13),0.248654 # DEPENDENCYPART_ARC
(10,14),-2.00885 # DEPENDENCYPART_ARC
(10,15),0.21854 # DEPENDENCYPART_ARC
(10,16),-1.27268 # DEPENDENCYPART_ARC
(10,17),-1.81233 # DEPENDENCYPART_ARC
(10,18),-1.17003 # DEPENDENCYPART_ARC
(10,19),-1.99251 # DEPENDENCYPART_ARC
(10,20),-0.565293 # DEPENDENCYPART_ARC
(10,21),-1.96585 # DEPENDENCYPART_ARC
(10,22),-4.0382 # DEPENDENCYPART_ARC
(10,23),-1.32662 # DEPENDENCYPART_ARC
(10,24),-2.63233 # DEPENDENCYPART_ARC
(10,25),-5.15592 # DEPENDENCYPART_ARC
(10,26),-0.70132 # DEPENDENCYPART_ARC
(11,1),-2.78939 # DEPENDENCYPART_ARC
(11,2),-3.47324 # DEPENDENCYPART_ARC
(11,4),-1.62663 # DEPENDENCYPART_ARC
(11,6),-2.58209 # DEPENDENCYPART_ARC
(11,7),-1.83637 # DEPENDENCYPART_ARC
(11,9),-1.50444 # DEPENDENCYPART_ARC
(11,10),-0.0820871 # DEPENDENCYPART_ARC
(11,12),0.0243798 # DEPENDENCYPART_ARC
(11,15),-1.53379 # DEPENDENCYPART_ARC
(11,16),-2.43192 # DEPENDENCYPART_ARC
(11,17),-0.261828 # DEPENDENCYPART_ARC
(11,18),-2.30519 # DEPENDENCYPART_ARC
(11,19),-3.63958 # DEPENDENCYPART_ARC
(11,20),-1.72541 # DEPENDENCYPART_ARC
(11,21),-3.73693 # DEPENDENCYPART_ARC
(11,22),-4.37062 # DEPENDENCYPART_ARC
(11,23),-2.46215 # DEPENDENCYPART_ARC
(11,24),-5.41843 # DEPENDENCYPART_ARC
(11,25),-4.56756 # DEPENDENCYPART_ARC
(12,1),-2.45812 # DEPENDENCYPART_ARC
(12,2),-2.26513 # DEPENDENCYPART_ARC
(12,3),-1.43936 # DEPENDENCYPART_ARC
(12,4),0.691735 # DEPENDENCYPART_ARC
(12,5),-0.432998 # DEPENDENCYPART_ARC
(12,6),-2.3786 # DEPENDENCYPART_ARC
(12,7),-0.58672 # DEPENDENCYPART_ARC
(12,8),0.678589 # DEPENDENCYPART_ARC
(12,9),-1.61531 # DEPENDENCYPART_ARC
(12,10),0.676617 # DEPENDENCYPART_ARC
(12,11),3.58724 # DEPENDENCYPART_ARC
(12,13),0.857497 # DEPENDENCYPART_ARC
(12,14),-1.94029 # DEPENDENCYPART_ARC
(12,15),0.412885 # DEPENDENCYPART_ARC
(12,16),0.0905223 # DEPENDENCYPART_ARC
(12,17),-1.4929 # DEPENDENCYPART_ARC
(12,18),0.739279 # DEPENDENCYPART_ARC
(12,19),-0.0304646 # DEPENDENCYPART_ARC
(12,20),0.595472 # DEPENDENCYPART_ARC
(12,21),-1.28252 # DEPENDENCYPART_ARC
(12,22),-1.33008 # DEPENDENCYPART_ARC
(12,23),0.952361 # DEPENDENCYPART_ARC
(12,24),-4.06568 # DEPENDENCYPART_ARC
(12,25),0.873667 # DEPENDENCYPART_ARC
(12,26),0.486132 # DEPENDENCYPART_ARC
(13,2),-3.7642 # DEPENDENCYPART_ARC
(13,3),-2.03947 # DEPENDENCYPART_ARC
(13,6),-3.23088 # DEPENDENCYPART_ARC
(13,9),-2.80622 # DEPENDENCYPART_ARC
(13,12),-1.55524 # DEPENDENCYPART_ARC
(13,15),-1.11915 # DEPENDENCYPART_ARC
(13,18),-1.87405 # DEPENDENCYPART_ARC
(13,22),-2.31433 # DEPENDENCYPART_ARC
(13,25),-2.34598 # DEPENDENCYPART_ARC
(14,1),-3.39528 # DEPENDENCYPART_ARC
(14,2),-3.11785 # DEPENDENCYPART_ARC
(14,5),-2.77583 # DEPENDENCYPART_ARC
(14,6),-2.40339 # DEPENDENCYPART_ARC
(14,7),-2.47979 # DEPENDENCYPART_ARC
(14,8),-3.223 # DEPENDENCYPART_ARC
(14,9),-2.09976 # DEPENDENCYPART_ARC
(14,10),-1.64655 # DEPENDENCYPART_ARC
(14,11),-1.52492 # DEPENDENCYPART_ARC
(14,12),-1.80904 # DEPENDENCYPART_ARC
(14,15),1.51098 # DEPENDENCYPART_ARC
(14,16),-0.238177 # DEPENDENCYPART_ARC
(14,17),0.268118 # DEPENDENCYPART_ARC
(14,18),-2.34137 # DEPENDENCYPART_ARC
(14,19),-2.02601 # DEPENDENCYPART_ARC
(14,21),-2.91384 # DEPENDENCYPART_ARC
(14,22),-3.53306 # DEPENDENCYPART_ARC
(14,23),-2.77932 # DEPENDENCYPART_ARC
(14,24),-2.54284 # DEPENDENCYPART_ARC
(14,25),-3.7747 # DEPENDENCYPART_ARC
(15,1),-2.75567 # DEPENDENCYPART_ARC
(15,2),-1.76401 # DEPENDENCYPART_ARC
(15,3),-1.06898 # DEPENDENCYPART_ARC
(15,4),-0.957877 # DEPENDENCYPART_ARC
(15,5),-0.92816 # DEPENDENCYPART_ARC
(15,6),-1.26758 # DEPENDENCYPART_ARC
(15,7),-0.907502 # DEPENDENCYPART_ARC
(15,8),-0.932537 # DEPENDENCYPART_ARC
(15,9),-0.851035 # DEPENDENCYPART_ARC
(15,10),-0.554703 # DEPENDENCYPART_ARC
(15,11),-0.31392 # DEPENDENCYPART_ARC
(15,12),-0.937953 # DEPENDENCYPART_ARC
(15,13),1.17345 # DEPENDENCYPART_ARC
(15,14),4.94401 # DEPENDENCYPART_ARC
(15,16),1.91557 # DEPENDENCYPART_ARC
(15,17),-1.00846 # DEPENDENCYPART_ARC
(15,18),1.26759 # DEPENDENCYPART_ARC
(15,19),1.87884 # DEPENDENCYPART_ARC
(15,20),1.37391 # DEPENDENCYPART_ARC
(15,21),0.235188 # DEPENDENCYPART_ARC
(15,22),-1.04038 # DEPENDENCYPART_ARC
(15,23),0.64302 # DEPENDENCYPART_ARC
(15,24),-1.97135 # DEPENDENCYPART_ARC
(15,25),0.574671 # DEPENDENCYPART_ARC
(15,26),1.19581 # DEPENDENCYPART_ARC
(16,1),-3.07518 # DEPENDENCYPART_ARC
(16,2),-2.77145 # DEPENDENCYPART_ARC
(16,3),-1.41396 # DEPENDENCYPART_ARC
(16,4),-1.13427 # DEPENDENCYPART_ARC
(16,5),-2.26616 # DEPENDENCYPART_ARC
(16,6),-2.37205 # DEPENDENCYPART_ARC
(16,7),-2.09515 # DEPENDENCYPART_ARC
(16,8),-2.28088 # DEPENDENCYPART_ARC
(16,9),-2.135 # DEPENDENCYPART_ARC
(16,10),-1.29696 # DEPENDENCYPART_ARC
(16,11),-0.962015 # DEPENDENCYPART_ARC
(16,12),-2.00438 # DEPENDENCYPART_ARC
(16,13),0.194029 # DEPENDENCYPART_ARC
(16,14),0.427596 # DEPENDENCYPART_ARC
(16,15),-0.0186497 # DEPENDENCYPART_ARC
(16,17),0.334531 # DEPENDENCYPART_ARC
(16,18),4.78864 # DEPENDENCYPART_ARC
(16,19),-0.801098 # DEPENDENCYPART_ARC
(16,20),0.60966 # DEPENDENCYPART_ARC
(16,21),-1.28023 # DEPENDENCYPART_ARC
(16,22),-0.173528 # DEPENDENCYPART_ARC
(16,23),-0.623539 # DEPENDENCYPART_ARC
(16,24),-2.8457 # DEPENDENCYPART_ARC
(16,25),-1.33237 # DEPENDENCYPART_ARC
(16,26),-0.385289 # DEPENDENCYPART_ARC
(17,1),-3.38076 # DEPENDENCYPART_ARC
(17,2),-3.26204 # DEPENDENCYPART_ARC
(17,4),-1.51742 # DEPENDENCYPART_ARC
(17,6),-2.77063 # DEPENDENCYPART_ARC
(17,7),-2.67083 # DEPENDENCYPART_ARC
(17,9),-2.46836 # DEPENDENCYPART_ARC
(17,10),-2.0046 # DEPENDENCYPART_ARC
(17,11),-1.47547 # DEPENDENCYPART_ARC
(17,12),-1.82316 # DEPENDENCYPART_ARC
(17,15),-1.07494 # DEPENDENCYPART_ARC
(17,16),0.277098 # DEPENDENCYPART_ARC
(17,18),2.526 # DEPENDENCYPART_ARC
(17,19),-0.613943 # DEPENDENCYPART_ARC
(17,20),-0.131623 # DEPENDENCYPART_ARC
(17,21),-1.81561 # DEPENDENCYPART_ARC
(17,22),-1.96149 # DEPENDENCYPART_ARC
(17,23),-1.2374 # DEPENDENCYPART_ARC
(17,24),-3.08618 # DEPENDENCYPART_ARC
(17,25),-2.92478 # DEPENDENCYPART_ARC
(18,1),-3.87558 # DEPENDENCYPART_ARC
(18,2),-3.60402 # DEPENDENCYPART_ARC
(18,3),-2.29177 # DEPENDENCYPART_ARC
(18,4),-0.224205 # DEPENDENCYPART_ARC
(18,5),-2.29618 # DEPENDENCYPART_ARC
(18,6),-3.23982 # DEPENDENCYPART_ARC
(18,7),-1.96167 # DEPENDENCYPART_ARC
(18,8),-2.35172 # DEPENDENCYPART_ARC
(18,9),-2.84655 # DEPENDENCYPART_ARC
(18,10),-1.57821 # DEPENDENCYPART_ARC
(18,11),-1.15869 # DEPENDENCYPART_ARC
(18,12),-2.15197 # DEPENDENCYPART_ARC
(18,13),-0.805303 # DEPENDENCYPART_ARC
(18,14),1.1096 # DEPENDENCYPART_ARC
(18,15),-1.68063 # DEPENDENCYPART_ARC
(18,16),0.46211 # DEPENDENCYPART_ARC
(18,17),2.64886 # DEPENDENCYPART_ARC
(18,19),1.17937 # DEPENDENCYPART_ARC
(18,20),0.91585 # DEPENDENCYPART_ARC
(18,21),-0.600648 # DEPENDENCYPART_ARC
(18,22),-1.64961 # DEPENDENCYPART_ARC
(18,23),0.676075 # DEPENDENCYPART_ARC
(18,24),-3.48436 # DEPENDENCYPART_ARC
(18,25),-0.1366 # DEPENDENCYPART_ARC
(18,26),0.296483 # DEPENDENCYPART_ARC
(19,1),-3.51513 # DEPENDENCYPART_ARC
(19,2),-3.09682 # DEPENDENCYPART_ARC
(19,3),-1.4558 # DEPENDENCYPART_ARC
(19,4),-2.051 # DEPENDENCYPART_ARC
(19,5),-2.78311 # DEPENDENCYPART_ARC
(19,6),-2.80199 # DEPENDENCYPART_ARC
(19,7),-2.65665 # DEPENDENCYPART_ARC
(19,8),-2.86406 # DEPENDENCYPART_ARC
(19,9),-2.51723 # DEPENDENCYPART_ARC
(19,10),-1.94674 # DEPENDENCYPART_ARC
(19,11),-1.94597 # DEPENDENCYPART_ARC
(19,12),-2.67199 # DEPENDENCYPART_ARC
(19,13),-0.486887 # DEPENDENCYPART_ARC
(19,14),-1.31454 # DEPENDENCYPART_ARC
(19,15),-1.7682 # DEPENDENCYPART_ARC
(19,16),-0.615853 # DEPENDENCYPART_ARC
(19,17),-0.0421503 # DEPENDENCYPART_ARC
(19,18),-0.448966 # DEPENDENCYPART_ARC
(19,20),3.66248 # DEPENDENCYPART_ARC
(19,21),0.0454668 # DEPENDENCYPART_ARC
(19,22),0.713103 # DEPENDENCYPART_ARC
(19,23),0.290529 # DEPENDENCYPART_ARC
(19,24),-2.44456 # DEPENDENCYPART_ARC
(19,25),-1.21506 # DEPENDENCYPART_ARC
(19,26),0.287014 # DEPENDENCYPART_ARC
(20,1),-0.408839 # DEPENDENCYPART_ARC
(20,2),-2.76599 # DEPENDENCYPART_ARC
(20,3),-3.45172 # DEPENDENCYPART_ARC
(20,4),-1.57967 # DEPENDENCYPART_ARC
(20,5),-3.01448 # DEPENDENCYPART_ARC
(20,6),-1.83719 # DEPENDENCYPART_ARC
(20,7),-4.30527 # DEPENDENCYPART_ARC
(20,8),-3.40882 # DEPENDENCYPART_ARC
(20,9),-1.85443 # DEPENDENCYPART_ARC
(20,10),-1.90958 # DEPENDENCYPART_ARC
(20,12),-1.49903 # DEPENDENCYPART_ARC
(20,13),-1.76221 # DEPENDENCYPART_ARC
(20,14),-2.33058 # DEPENDENCYPART_ARC
(20,15),-1.19948 # DEPENDENCYPART_ARC
(20,16),-1.39304 # DEPENDENCYPART_ARC
(20,18),-0.772677 # DEPENDENCYPART_ARC
(20,19),-0.090029 # DEPENDENCYPART_ARC
(20,21),3.17468 # DEPENDENCYPART_ARC
(20,22),2.23952 # DEPENDENCYPART_ARC
(20,23),0.790704 # DEPENDENCYPART_ARC
(20,25),1.55741 # DEPENDENCYPART_ARC
(20,26),2.73957 # DEPENDENCYPART_ARC
(21,1),-4.13997 # DEPENDENCYPART_ARC
(21,2),-3.53277 # DEPENDENCYPART_ARC
(21,3),-2.15043 # DEPENDENCYPART_ARC
(21,4),-2.31481 # DEPENDENCYPART_ARC
(21,5),-2.89243 # DEPENDENCYPART_ARC
(21,6),-3.09262 # DEPENDENCYPART_ARC
(21,7),-3.60007 # DEPENDENCYPART_ARC
(21,8),-3.02184 # DEPENDENCYPART_ARC
(21,9),-2.97385 # DEPENDENCYPART_ARC
(21,10),-2.91396 # DEPENDENCYPART_ARC
(21,11),-2.11015 # DEPENDENCYPART_ARC
(21,12),-3.21357 # DEPENDENCYPART_ARC
(21,13),-1.44487 # DEPENDENCYPART_ARC
(21,14),-2.03063 # DEPENDENCYPART_ARC
(21,15),-2.36324 # DEPENDENCYPART_ARC
(21,16),-1.8903 # DEPENDENCYPART_ARC
(21,17),-1.28314 # DEPENDENCYPART_ARC
(21,18),-2.0702 # DEPENDENCYPART_ARC
(21,19),-0.500899 # DEPENDENCYPART_ARC
(21,20),-0.0978432 # DEPENDENCYPART_ARC
(21,22),5.12149 # DEPENDENCYPART_ARC
(21,23),1.1106 # DEPENDENCYPART_ARC
(21,24),-1.62744 # DEPENDENCYPART_ARC
(21,25),0.182413 # DEPENDENCYPART_ARC
(21,26),0.491651 # DEPENDENCYPART_ARC
(22,1),-4.56864 # DEPENDENCYPART_ARC
(22,2),-3.6947 # DEPENDENCYPART_ARC
(22,3),-4.01904 # DEPENDENCYPART_ARC
(22,4),-4.01554 # DEPENDENCYPART_ARC
(22,5),-5.14391 # DEPENDENCYPART_ARC
(22,6),-3.83562 # DEPENDENCYPART_ARC
(22,7),-2.84878 # DEPENDENCYPART_ARC
(22,8),-6.1002 # DEPENDENCYPART_ARC
(22,9),-3.62965 # DEPENDENCYPART_ARC
(22,10),-2.93829 # DEPENDENCYPART_ARC
(22,11),-6.08943 # DEPENDENCYPART_ARC
(22,12),-3.9053 # DEPENDENCYPART_ARC
(22,13),-3.22208 # DEPENDENCYPART_ARC
(22,14),-2.56055 # DEPENDENCYPART_ARC
(22,15),-2.91645 # DEPENDENCYPART_ARC
(22,16),-1.86851 # DEPENDENCYPART_ARC
(22,17),-2.69228 # DEPENDENCYPART_ARC
(22,18),-2.89469 # DEPENDENCYPART_ARC
(22,19),-1.27513 # DEPENDENCYPART_ARC
(22,20),-1.4825 # DEPENDENCYPART_ARC
(22,21),0.459659 # DEPENDENCYPART_ARC
(22,23),1.39334 # DEPENDENCYPART_ARC
(22,24),-1.10296 # DEPENDENCYPART_ARC
(22,25),1.28973 # DEPENDENCYPART_ARC
(22,26),0.200537 # DEPENDENCYPART_ARC
(23,3),-3.91438 # DEPENDENCYPART_ARC
(23,13),-3.29019 # DEPENDENCYPART_ARC
(24,1),-3.80453 # DEPENDENCYPART_ARC
(24,2),-3.42495 # DEPENDENCYPART_ARC
(24,6),-3.00166 # DEPENDENCYPART_ARC
(24,7),-3.34103 # DEPENDENCYPART_ARC
(24,9),-2.77109 # DEPENDENCYPART_ARC
