# _root_ - La moció de censura , plantejada amb tant de temps , és un interrogant de com sortirà .
#goldHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
#predictedHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,15,13,
(15,3),-2.07962 # DEPENDENCYPART_ARC
(15,4),-1.84287 # DEPENDENCYPART_ARC
(15,5),-1.61621 # DEPENDENCYPART_ARC
(15,6),-0.259563 # DEPENDENCYPART_ARC
(15,7),-1.8965 # DEPENDENCYPART_ARC
(15,8),-0.6855 # DEPENDENCYPART_ARC
(15,9),0.448996 # DEPENDENCYPART_ARC
(15,10),-0.639899 # DEPENDENCYPART_ARC
(15,11),-0.709927 # DEPENDENCYPART_ARC
(15,12),0.367332 # DEPENDENCYPART_ARC
(15,13),1.10111 # DEPENDENCYPART_ARC
(15,14),4.23648 # DEPENDENCYPART_ARC
(15,16),2.47353 # DEPENDENCYPART_ARC
(15,18),3.14988 # DEPENDENCYPART_ARC
(15,19),1.29378 # DEPENDENCYPART_ARC
(16,1),-2.3261 # DEPENDENCYPART_ARC
(16,2),-2.74492 # DEPENDENCYPART_ARC
(16,3),-3.11854 # DEPENDENCYPART_ARC
(16,4),-2.77213 # DEPENDENCYPART_ARC
(16,5),-2.77201 # DEPENDENCYPART_ARC
(16,6),-2.22929 # DEPENDENCYPART_ARC
(16,7),-2.34925 # DEPENDENCYPART_ARC
(16,8),-2.26825 # DEPENDENCYPART_ARC
(16,9),-1.22893 # DEPENDENCYPART_ARC
(16,10),-2.00356 # DEPENDENCYPART_ARC
(16,11),-2.17485 # DEPENDENCYPART_ARC
(16,12),-1.48399 # DEPENDENCYPART_ARC
(16,13),-0.387729 # DEPENDENCYPART_ARC
(16,14),-0.0185258 # DEPENDENCYPART_ARC
(16,15),-0.176513 # DEPENDENCYPART_ARC
(16,17),2.67798 # DEPENDENCYPART_ARC
(16,18),2.12217 # DEPENDENCYPART_ARC
(16,19),-0.679433 # DEPENDENCYPART_ARC
(17,3),-2.37761 # DEPENDENCYPART_ARC
(17,4),-1.70429 # DEPENDENCYPART_ARC
(17,5),-2.2864 # DEPENDENCYPART_ARC
(17,8),-1.47726 # DEPENDENCYPART_ARC
(17,9),-1.34805 # DEPENDENCYPART_ARC
(17,10),-0.988302 # DEPENDENCYPART_ARC
(17,11),-1.76555 # DEPENDENCYPART_ARC
(17,15),-0.537859 # DEPENDENCYPART_ARC
(17,16),1.08568 # DEPENDENCYPART_ARC
(17,18),1.35881 # DEPENDENCYPART_ARC
(18,1),0.390904 # DEPENDENCYPART_ARC
(18,2),-2.5804 # DEPENDENCYPART_ARC
(18,3),0.78086 # DEPENDENCYPART_ARC
(18,4),-2.58945 # DEPENDENCYPART_ARC
(18,5),-0.935934 # DEPENDENCYPART_ARC
(18,6),-0.925831 # DEPENDENCYPART_ARC
(18,7),0.436692 # DEPENDENCYPART_ARC
(18,8),-0.633042 # DEPENDENCYPART_ARC
(18,9),-1.47825 # DEPENDENCYPART_ARC
(18,10),-1.62674 # DEPENDENCYPART_ARC
(18,11),-0.666636 # DEPENDENCYPART_ARC
(18,12),-0.313045 # DEPENDENCYPART_ARC
(18,13),0.740663 # DEPENDENCYPART_ARC
(18,15),1.38581 # DEPENDENCYPART_ARC
(18,16),1.99966 # DEPENDENCYPART_ARC
(18,17),4.60689 # DEPENDENCYPART_ARC
(18,19),2.53179 # DEPENDENCYPART_ARC
