# _root_ Aquesta iniciativa , que analitzarà el directori de l' FMI , neix de l' experiència i dels resultats de les liberalitzacions totals .
#goldHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
#predictedHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
(6,17),-2.9995 # DEPENDENCYPART_ARC
(6,18),-3.97154 # DEPENDENCYPART_ARC
(6,19),-3.87144 # DEPENDENCYPART_ARC
(6,20),-5.20766 # DEPENDENCYPART_ARC
(6,21),-4.79484 # DEPENDENCYPART_ARC
(6,22),-3.86705 # DEPENDENCYPART_ARC
(7,1),-1.60517 # DEPENDENCYPART_ARC
(7,2),-1.94446 # DEPENDENCYPART_ARC
(7,3),-0.592473 # DEPENDENCYPART_ARC
(7,4),0.233432 # DEPENDENCYPART_ARC
(7,5),0.216164 # DEPENDENCYPART_ARC
(7,6),3.83726 # DEPENDENCYPART_ARC
(7,8),3.08007 # DEPENDENCYPART_ARC
(7,9),-0.398231 # DEPENDENCYPART_ARC
(7,10),1.41719 # DEPENDENCYPART_ARC
(7,11),0.75877 # DEPENDENCYPART_ARC
(7,12),1.07095 # DEPENDENCYPART_ARC
(7,13),-0.26989 # DEPENDENCYPART_ARC
(7,14),-2.00921 # DEPENDENCYPART_ARC
(7,15),-0.252423 # DEPENDENCYPART_ARC
(7,16),-0.7489 # DEPENDENCYPART_ARC
(7,17),-1.52482 # DEPENDENCYPART_ARC
(7,18),-0.918319 # DEPENDENCYPART_ARC
(7,19),-1.23288 # DEPENDENCYPART_ARC
(7,20),-3.71432 # DEPENDENCYPART_ARC
(7,21),-0.286436 # DEPENDENCYPART_ARC
(7,22),-1.93545 # DEPENDENCYPART_ARC
(7,23),1.34483 # DEPENDENCYPART_ARC
(8,2),-2.32155 # DEPENDENCYPART_ARC
(8,3),-1.69239 # DEPENDENCYPART_ARC
(8,4),-1.22274 # DEPENDENCYPART_ARC
(8,5),-0.577614 # DEPENDENCYPART_ARC
(8,6),-0.0975127 # DEPENDENCYPART_ARC
(8,7),-0.353182 # DEPENDENCYPART_ARC
(8,9),0.389061 # DEPENDENCYPART_ARC
(8,10),4.38968 # DEPENDENCYPART_ARC
(8,11),-0.131025 # DEPENDENCYPART_ARC
(8,12),-0.635452 # DEPENDENCYPART_ARC
(8,13),-0.737823 # DEPENDENCYPART_ARC
(8,14),-2.46252 # DEPENDENCYPART_ARC
(8,15),-0.954326 # DEPENDENCYPART_ARC
(8,16),1.35905 # DEPENDENCYPART_ARC
(8,17),1.05251 # DEPENDENCYPART_ARC
(8,18),-2.75044 # DEPENDENCYPART_ARC
(8,19),-0.783718 # DEPENDENCYPART_ARC
(8,20),-2.89411 # DEPENDENCYPART_ARC
(8,21),-3.65521 # DEPENDENCYPART_ARC
(8,22),-2.30987 # DEPENDENCYPART_ARC
(8,23),-0.746187 # DEPENDENCYPART_ARC
(9,1),-2.07396 # DEPENDENCYPART_ARC
(9,2),-2.56235 # DEPENDENCYPART_ARC
(9,4),-2.686 # DEPENDENCYPART_ARC
(9,6),-0.42806 # DEPENDENCYPART_ARC
(9,7),-0.703181 # DEPENDENCYPART_ARC
(9,8),0.166827 # DEPENDENCYPART_ARC
(9,10),-0.246702 # DEPENDENCYPART_ARC
(9,13),-2.77681 # DEPENDENCYPART_ARC
(9,14),-1.71161 # DEPENDENCYPART_ARC
(9,15),-3.20276 # DEPENDENCYPART_ARC
(9,16),-2.89985 # DEPENDENCYPART_ARC
(9,17),-3.85205 # DEPENDENCYPART_ARC
(9,18),-3.92367 # DEPENDENCYPART_ARC
(9,19),-4.30741 # DEPENDENCYPART_ARC
(9,20),-3.80375 # DEPENDENCYPART_ARC
(9,21),-4.4613 # DEPENDENCYPART_ARC
(9,22),-4.44376 # DEPENDENCYPART_ARC
(10,1),-3.0198 # DEPENDENCYPART_ARC
(10,2),-2.2415 # DEPENDENCYPART_ARC
(10,3),-1.27338 # DEPENDENCYPART_ARC
(10,4),-0.401573 # DEPENDENCYPART_ARC
(10,5),-1.22627 # DEPENDENCYPART_ARC
(10,6),0.120777 # DEPENDENCYPART_ARC
(10,7),-0.973818 # DEPENDENCYPART_ARC
(10,8),0.780008 # DEPENDENCYPART_ARC
(10,9),4.11901 # DEPENDENCYPART_ARC
(10,11),0.217385 # DEPENDENCYPART_ARC
(10,12),0.497565 # DEPENDENCYPART_ARC
(10,13),-1.10899 # DEPENDENCYPART_ARC
(10,14),-2.33571 # DEPENDENCYPART_ARC
(10,15),-0.479928 # DEPENDENCYPART_ARC
(10,16),-1.08523 # DEPENDENCYPART_ARC
(10,17),-2.5639 # DEPENDENCYPART_ARC
(10,18),-1.21348 # DEPENDENCYPART_ARC
(10,19),-2.23639 # DEPENDENCYPART_ARC
(10,20),-2.99252 # DEPENDENCYPART_ARC
(10,21),-0.964931 # DEPENDENCYPART_ARC
(10,22),-1.25411 # DEPENDENCYPART_ARC
(10,23),0.475263 # DEPENDENCYPART_ARC
(11,2),-3.96031 # DEPENDENCYPART_ARC
(11,3),-2.22056 # DEPENDENCYPART_ARC
(11,7),-3.04251 # DEPENDENCYPART_ARC
(11,15),-1.99284 # DEPENDENCYPART_ARC
(11,18),-2.06985 # DEPENDENCYPART_ARC
(11,21),-2.20235 # DEPENDENCYPART_ARC
(11,22),-2.16468 # DEPENDENCYPART_ARC
(12,1),-1.9505 # DEPENDENCYPART_ARC
(12,2),1.34682 # DEPENDENCYPART_ARC
(12,3),0.025653 # DEPENDENCYPART_ARC
(12,4),2.07362 # DEPENDENCYPART_ARC
(12,5),-0.65097 # DEPENDENCYPART_ARC
(12,6),-1.0926 # DEPENDENCYPART_ARC
(12,7),1.28064 # DEPENDENCYPART_ARC
(12,8),-0.713536 # DEPENDENCYPART_ARC
(12,9),-0.138367 # DEPENDENCYPART_ARC
(12,10),1.66294 # DEPENDENCYPART_ARC
(12,11),0.679596 # DEPENDENCYPART_ARC
(12,13),1.97764 # DEPENDENCYPART_ARC
(12,14),-0.352636 # DEPENDENCYPART_ARC
(12,15),2.26559 # DEPENDENCYPART_ARC
(12,16),1.51987 # DEPENDENCYPART_ARC
(12,17),-0.957944 # DEPENDENCYPART_ARC
(12,18),-0.369802 # DEPENDENCYPART_ARC
(12,19),0.321707 # DEPENDENCYPART_ARC
(12,20),-3.13547 # DEPENDENCYPART_ARC
(12,21),0.751786 # DEPENDENCYPART_ARC
(12,22),-0.249984 # DEPENDENCYPART_ARC
(12,23),5.24203 # DEPENDENCYPART_ARC
(13,2),-3.58447 # DEPENDENCYPART_ARC
(13,3),-3.22332 # DEPENDENCYPART_ARC
(13,4),-2.82971 # DEPENDENCYPART_ARC
(13,5),-2.89405 # DEPENDENCYPART_ARC
(13,6),-2.84449 # DEPENDENCYPART_ARC
(13,7),-3.16435 # DEPENDENCYPART_ARC
(13,8),-2.14119 # DEPENDENCYPART_ARC
(13,9),-1.80959 # DEPENDENCYPART_ARC
(13,10),-2.75075 # DEPENDENCYPART_ARC
(13,11),-1.08013 # DEPENDENCYPART_ARC
(13,12),0.0997201 # DEPENDENCYPART_ARC
(13,14),0.735343 # DEPENDENCYPART_ARC
(13,15),4.64869 # DEPENDENCYPART_ARC
(13,16),2.2013 # DEPENDENCYPART_ARC
(13,17),1.92632 # DEPENDENCYPART_ARC
(13,18),1.59839 # DEPENDENCYPART_ARC
(13,19),0.618801 # DEPENDENCYPART_ARC
(13,20),-2.08445 # DEPENDENCYPART_ARC
(13,21),-0.269328 # DEPENDENCYPART_ARC
(13,22),-0.655082 # DEPENDENCYPART_ARC
(13,23),0.424334 # DEPENDENCYPART_ARC
(14,1),-2.86656 # DEPENDENCYPART_ARC
(14,2),-3.06372 # DEPENDENCYPART_ARC
(14,4),-3.22616 # DEPENDENCYPART_ARC
(14,6),-2.4206 # DEPENDENCYPART_ARC
(14,7),-2.24855 # DEPENDENCYPART_ARC
(14,8),-2.20448 # DEPENDENCYPART_ARC
(14,9),-2.42396 # DEPENDENCYPART_ARC
(14,10),-1.97375 # DEPENDENCYPART_ARC
(14,13),0.0874551 # DEPENDENCYPART_ARC
(14,15),0.983207 # DEPENDENCYPART_ARC
(14,16),-0.717072 # DEPENDENCYPART_ARC
(14,17),-1.57572 # DEPENDENCYPART_ARC
(14,18),-1.92218 # DEPENDENCYPART_ARC
(14,19),-2.17471 # DEPENDENCYPART_ARC
(14,20),-1.44407 # DEPENDENCYPART_ARC
(14,21),-3.07554 # DEPENDENCYPART_ARC
(14,22),-3.47698 # DEPENDENCYPART_ARC
(15,1),-4.79921 # DEPENDENCYPART_ARC
(15,2),-2.93073 # DEPENDENCYPART_ARC
(15,3),-2.50548 # DEPENDENCYPART_ARC
(15,4),-1.3424 # DEPENDENCYPART_ARC
(15,5),-2.35008 # DEPENDENCYPART_ARC
(15,6),-4.74051 # DEPENDENCYPART_ARC
(15,7),-2.55158 # DEPENDENCYPART_ARC
(15,8),-1.44728 # DEPENDENCYPART_ARC
(15,9),-2.20353 # DEPENDENCYPART_ARC
(15,10),-2.35648 # DEPENDENCYPART_ARC
(15,11),-1.29519 # DEPENDENCYPART_ARC
(15,12),-0.822047 # DEPENDENCYPART_ARC
(15,13),0.429277 # DEPENDENCYPART_ARC
(15,14),3.31346 # DEPENDENCYPART_ARC
(15,16),1.08444 # DEPENDENCYPART_ARC
(15,17),0.838342 # DEPENDENCYPART_ARC
(15,18),0.974257 # DEPENDENCYPART_ARC
(15,19),1.24436 # DEPENDENCYPART_ARC
(15,20),-1.92359 # DEPENDENCYPART_ARC
(15,21),1.39247 # DEPENDENCYPART_ARC
(15,22),0.125104 # DEPENDENCYPART_ARC
(15,23),1.48419 # DEPENDENCYPART_ARC
(16,3),-4.03184 # DEPENDENCYPART_ARC
(16,10),-3.72509 # DEPENDENCYPART_ARC
(16,11),-3.3461 # DEPENDENCYPART_ARC
(17,2),-2.47574 # DEPENDENCYPART_ARC
(17,3),-2.30309 # DEPENDENCYPART_ARC
(17,4),-2.43336 # DEPENDENCYPART_ARC
(17,5),-1.97445 # DEPENDENCYPART_ARC
(17,6),-1.66829 # DEPENDENCYPART_ARC
(17,7),-2.80665 # DEPENDENCYPART_ARC
(17,8),-1.81364 # DEPENDENCYPART_ARC
(17,9),-2.02343 # DEPENDENCYPART_ARC
(17,10),-2.23934 # DEPENDENCYPART_ARC
(17,11),-1.45263 # DEPENDENCYPART_ARC
(17,12),-0.848506 # DEPENDENCYPART_ARC
(17,13),-0.588909 # DEPENDENCYPART_ARC
(17,14),-0.585592 # DEPENDENCYPART_ARC
(17,15),-0.126753 # DEPENDENCYPART_ARC
(17,16),0.449078 # DEPENDENCYPART_ARC
(17,18),4.3761 # DEPENDENCYPART_ARC
(17,19),0.621459 # DEPENDENCYPART_ARC
(17,20),-2.83956 # DEPENDENCYPART_ARC
(17,21),0.00428378 # DEPENDENCYPART_ARC
(17,22),-1.13725 # DEPENDENCYPART_ARC
(17,23),-0.13085 # DEPENDENCYPART_ARC
(18,1),-5.75542 # DEPENDENCYPART_ARC
(18,2),-4.43039 # DEPENDENCYPART_ARC
(18,3),-3.0734 # DEPENDENCYPART_ARC
(18,4),-2.50387 # DEPENDENCYPART_ARC
(18,5),-1.70591 # DEPENDENCYPART_ARC
(18,6),-4.85312 # DEPENDENCYPART_ARC
(18,7),-3.77379 # DEPENDENCYPART_ARC
(18,8),-2.16978 # DEPENDENCYPART_ARC
(18,9),-3.84199 # DEPENDENCYPART_ARC
(18,10),-3.2056 # DEPENDENCYPART_ARC
(18,11),-2.19578 # DEPENDENCYPART_ARC
(18,12),-0.223267 # DEPENDENCYPART_ARC
(18,13),-1.08799 # DEPENDENCYPART_ARC
(18,14),-0.206337 # DEPENDENCYPART_ARC
(18,15),-2.21507 # DEPENDENCYPART_ARC
(18,16),-0.630752 # DEPENDENCYPART_ARC
(18,17),0.26176 # DEPENDENCYPART_ARC
(18,19),2.37346 # DEPENDENCYPART_ARC
(18,20),-1.4207 # DEPENDENCYPART_ARC
(18,21),0.930049 # DEPENDENCYPART_ARC
(18,22),2.10106 # DEPENDENCYPART_ARC
(18,23),-0.0929475 # DEPENDENCYPART_ARC
(19,2),-2.8104 # DEPENDENCYPART_ARC
(19,3),-2.82619 # DEPENDENCYPART_ARC
(19,4),-2.01791 # DEPENDENCYPART_ARC
(19,5),-2.19611 # DEPENDENCYPART_ARC
(19,6),-2.72466 # DEPENDENCYPART_ARC
(19,7),-2.64425 # DEPENDENCYPART_ARC
(19,8),-2.02982 # DEPENDENCYPART_ARC
(19,9),-2.23079 # DEPENDENCYPART_ARC
(19,10),-2.60759 # DEPENDENCYPART_ARC
(19,11),-1.64397 # DEPENDENCYPART_ARC
(19,12),-0.777581 # DEPENDENCYPART_ARC
(19,13),-0.903323 # DEPENDENCYPART_ARC
(19,14),-1.1641 # DEPENDENCYPART_ARC
(19,15),-1.13368 # DEPENDENCYPART_ARC
(19,16),-0.70579 # DEPENDENCYPART_ARC
(19,17),-0.232488 # DEPENDENCYPART_ARC
(19,18),0.124667 # DEPENDENCYPART_ARC
(19,20),-0.2772 # DEPENDENCYPART_ARC
(19,21),4.62355 # DEPENDENCYPART_ARC
(19,22),0.403372 # DEPENDENCYPART_ARC
(19,23),-0.563815 # DEPENDENCYPART_ARC
(20,1),-3.04914 # DEPENDENCYPART_ARC
(20,2),-3.0402 # DEPENDENCYPART_ARC
(20,4),-2.92751 # DEPENDENCYPART_ARC
(20,6),-3.20815 # DEPENDENCYPART_ARC
(20,7),-2.68216 # DEPENDENCYPART_ARC
(20,8),-3.02729 # DEPENDENCYPART_ARC
(20,9),-4.3658 # DEPENDENCYPART_ARC
(20,10),-2.37437 # DEPENDENCYPART_ARC
(20,13),-2.10391 # DEPENDENCYPART_ARC
(20,14),-3.2143 # DEPENDENCYPART_ARC
(20,15),-1.68429 # DEPENDENCYPART_ARC
(20,16),-1.22793 # DEPENDENCYPART_ARC
(20,17),-1.17925 # DEPENDENCYPART_ARC
(20,18),-0.171033 # DEPENDENCYPART_ARC
(20,19),-0.0543986 # DEPENDENCYPART_ARC
(20,21),0.770341 # DEPENDENCYPART_ARC
(20,22),-0.334515 # DEPENDENCYPART_ARC
(21,1),-6.00003 # DEPENDENCYPART_ARC
(21,2),-3.84389 # DEPENDENCYPART_ARC
(21,3),-3.0416 # DEPENDENCYPART_ARC
(21,4),-1.81813 # DEPENDENCYPART_ARC
(21,5),-1.57917 # DEPENDENCYPART_ARC
(21,6),-6.42997 # DEPENDENCYPART_ARC
(21,7),-3.55155 # DEPENDENCYPART_ARC
(21,8),-2.21571 # DEPENDENCYPART_ARC
(21,9),-4.67386 # DEPENDENCYPART_ARC
(21,10),-3.34988 # DEPENDENCYPART_ARC
(21,11),-1.97966 # DEPENDENCYPART_ARC
(21,12),-0.173374 # DEPENDENCYPART_ARC
(21,13),-1.02355 # DEPENDENCYPART_ARC
(21,14),-1.94729 # DEPENDENCYPART_ARC
(21,15),-2.19235 # DEPENDENCYPART_ARC
(21,16),-1.26919 # DEPENDENCYPART_ARC
(21,17),-0.533015 # DEPENDENCYPART_ARC
(21,18),-0.217968 # DEPENDENCYPART_ARC
(21,19),0.32492 # DEPENDENCYPART_ARC
(21,20),4.28672 # DEPENDENCYPART_ARC
(21,22),4.83456 # DEPENDENCYPART_ARC
(21,23),1.04317 # DEPENDENCYPART_ARC
(22,1),-2.84012 # DEPENDENCYPART_ARC
(22,2),-3.30187 # DEPENDENCYPART_ARC
(22,3),-3.92505 # DEPENDENCYPART_ARC
(22,4),-1.9669 # DEPENDENCYPART_ARC
(22,5),-2.91174 # DEPENDENCYPART_ARC
(22,6),-2.32954 # DEPENDENCYPART_ARC
(22,7),-3.47797 # DEPENDENCYPART_ARC
(22,8),-2.07581 # DEPENDENCYPART_ARC
(22,9),-3.47877 # DEPENDENCYPART_ARC
(22,10),-3.34965 # DEPENDENCYPART_ARC
(22,11),-2.67149 # DEPENDENCYPART_ARC
(22,12),-2.39847 # DEPENDENCYPART_ARC
(22,13),-0.643184 # DEPENDENCYPART_ARC
(22,14),-2.62504 # DEPENDENCYPART_ARC
(22,15),-1.87515 # DEPENDENCYPART_ARC
(22,16),-1.59765 # DEPENDENCYPART_ARC
(22,17),-2.00717 # DEPENDENCYPART_ARC
(22,18),-1.87317 # DEPENDENCYPART_ARC
(22,19),0.365273 # DEPENDENCYPART_ARC
(22,20),0.905059 # DEPENDENCYPART_ARC
(22,21),0.458876 # DEPENDENCYPART_ARC
(22,23),-0.923932 # DEPENDENCYPART_ARC
(23,16),-1.38548 # DEPENDENCYPART_ARC
