# _root_ Juergen_Schrempp , copresident de Daimler-Chrysler , a l' assemblea del Fòrum_Econòmic_Mundial .
#goldHeads=0,3,1,3,4,7,1,9,7,9,10,1,
#predictedHeads=0,3,1,3,4,7,1,9,7,9,10,1,
(4,3),0.237165 # DEPENDENCYPART_ARC
(4,5),3.97314 # DEPENDENCYPART_ARC
(4,6),0.785677 # DEPENDENCYPART_ARC
(4,7),-0.0873214 # DEPENDENCYPART_ARC
(4,8),-2.05724 # DEPENDENCYPART_ARC
(4,9),0.116498 # DEPENDENCYPART_ARC
(4,10),-0.517397 # DEPENDENCYPART_ARC
(4,11),-1.62888 # DEPENDENCYPART_ARC
(4,12),-0.940351 # DEPENDENCYPART_ARC
(5,1),-0.83459 # DEPENDENCYPART_ARC
(5,2),0.219362 # DEPENDENCYPART_ARC
(5,3),0.229423 # DEPENDENCYPART_ARC
(5,4),1.59757 # DEPENDENCYPART_ARC
(5,6),-0.166433 # DEPENDENCYPART_ARC
(5,7),-0.252707 # DEPENDENCYPART_ARC
(5,8),-1.68987 # DEPENDENCYPART_ARC
(5,9),0.117084 # DEPENDENCYPART_ARC
(5,10),-0.0010752 # DEPENDENCYPART_ARC
(5,11),0.343796 # DEPENDENCYPART_ARC
(5,12),-0.131607 # DEPENDENCYPART_ARC
(6,2),-1.14186 # DEPENDENCYPART_ARC
(6,3),-2.3408 # DEPENDENCYPART_ARC
(6,9),-1.20522 # DEPENDENCYPART_ARC
(7,1),-2.78009 # DEPENDENCYPART_ARC
(7,2),-0.699746 # DEPENDENCYPART_ARC
(7,3),-2.04301 # DEPENDENCYPART_ARC
(7,4),-0.686705 # DEPENDENCYPART_ARC
(7,5),-1.28272 # DEPENDENCYPART_ARC
(7,6),1.64196 # DEPENDENCYPART_ARC
(7,8),0.306068 # DEPENDENCYPART_ARC
(7,9),4.11044 # DEPENDENCYPART_ARC
(7,10),-0.504807 # DEPENDENCYPART_ARC
(7,11),0.965355 # DEPENDENCYPART_ARC
(7,12),0.622482 # DEPENDENCYPART_ARC
(8,1),-2.32982 # DEPENDENCYPART_ARC
(8,3),-1.90681 # DEPENDENCYPART_ARC
(8,4),-1.7318 # DEPENDENCYPART_ARC
(8,5),-1.57204 # DEPENDENCYPART_ARC
(8,7),0.105443 # DEPENDENCYPART_ARC
(8,9),2.52446 # DEPENDENCYPART_ARC
(8,10),-0.828249 # DEPENDENCYPART_ARC
(8,11),-1.97558 # DEPENDENCYPART_ARC
(9,1),-2.2349 # DEPENDENCYPART_ARC
(9,2),-0.773853 # DEPENDENCYPART_ARC
(9,3),-1.85709 # DEPENDENCYPART_ARC
(9,4),-1.71536 # DEPENDENCYPART_ARC
(9,5),-1.26453 # DEPENDENCYPART_ARC
(9,6),-0.019115 # DEPENDENCYPART_ARC
(9,7),0.368582 # DEPENDENCYPART_ARC
(9,8),3.5472 # DEPENDENCYPART_ARC
(9,10),3.32798 # DEPENDENCYPART_ARC
(9,11),0.891863 # DEPENDENCYPART_ARC
(9,12),0.739819 # DEPENDENCYPART_ARC
(10,1),-2.7805 # DEPENDENCYPART_ARC
(10,2),-0.773261 # DEPENDENCYPART_ARC
(10,3),-2.82186 # DEPENDENCYPART_ARC
(10,4),-1.1131 # DEPENDENCYPART_ARC
(10,5),-1.96466 # DEPENDENCYPART_ARC
(10,6),-0.0740484 # DEPENDENCYPART_ARC
(10,7),-0.579202 # DEPENDENCYPART_ARC
(10,8),0.152622 # DEPENDENCYPART_ARC
(10,9),0.598356 # DEPENDENCYPART_ARC
(10,11),3.79469 # DEPENDENCYPART_ARC
(10,12),-0.577507 # DEPENDENCYPART_ARC
(11,1),-2.02267 # DEPENDENCYPART_ARC
(11,2),-1.21299 # DEPENDENCYPART_ARC
(11,3),-1.85343 # DEPENDENCYPART_ARC
(11,4),-1.42662 # DEPENDENCYPART_ARC
(11,5),-1.00665 # DEPENDENCYPART_ARC
(11,6),-1.01735 # DEPENDENCYPART_ARC
(11,7),-0.413688 # DEPENDENCYPART_ARC
(11,8),0.935344 # DEPENDENCYPART_ARC
(11,9),-0.426384 # DEPENDENCYPART_ARC
(11,10),1.21852 # DEPENDENCYPART_ARC
(11,12),-0.427734 # DEPENDENCYPART_ARC
