# _root_ I si a això hi sumem l' esgotament a què està arribant CiU , al costat dels conflictes interns que viu la formació , jo crec que de tot això n' ha de treure un benefici electoral ERC .
#goldHeads=26,6,6,3,6,26,8,6,12,9,12,8,12,15,6,15,16,17,18,21,18,23,21,6,26,0,34,34,30,28,34,34,34,26,36,34,36,34,26,
#predictedHeads=6,6,6,3,6,12,8,6,12,9,12,0,12,15,12,15,16,17,18,21,18,23,21,34,26,23,34,34,30,28,34,34,34,26,36,34,36,34,12,
(4,16),-2.88285 # DEPENDENCYPART_ARC
(4,17),-2.97902 # DEPENDENCYPART_ARC
(4,18),-2.6278 # DEPENDENCYPART_ARC
(4,19),-3.08723 # DEPENDENCYPART_ARC
(4,21),-1.38194 # DEPENDENCYPART_ARC
(4,23),-2.89184 # DEPENDENCYPART_ARC
(4,24),-2.39898 # DEPENDENCYPART_ARC
(4,26),-1.99703 # DEPENDENCYPART_ARC
(4,27),-2.72739 # DEPENDENCYPART_ARC
(4,28),-3.71113 # DEPENDENCYPART_ARC
(4,29),-3.47452 # DEPENDENCYPART_ARC
(4,32),-2.85861 # DEPENDENCYPART_ARC
(4,33),-4.32843 # DEPENDENCYPART_ARC
(4,34),-3.8469 # DEPENDENCYPART_ARC
(4,35),-4.60859 # DEPENDENCYPART_ARC
(4,36),-4.14506 # DEPENDENCYPART_ARC
(4,37),-3.39438 # DEPENDENCYPART_ARC
(4,38),-3.66261 # DEPENDENCYPART_ARC
(4,39),1.98527 # DEPENDENCYPART_ARC
(5,1),-1.79176 # DEPENDENCYPART_ARC
(5,2),-1.43801 # DEPENDENCYPART_ARC
(5,3),-0.835551 # DEPENDENCYPART_ARC
(5,6),0.588145 # DEPENDENCYPART_ARC
(5,8),-1.93262 # DEPENDENCYPART_ARC
(5,9),-1.91172 # DEPENDENCYPART_ARC
(5,11),-1.79827 # DEPENDENCYPART_ARC
(5,12),-1.75122 # DEPENDENCYPART_ARC
(5,13),-1.28567 # DEPENDENCYPART_ARC
(5,14),-1.84183 # DEPENDENCYPART_ARC
(5,15),-4.92526 # DEPENDENCYPART_ARC
(5,16),-3.22099 # DEPENDENCYPART_ARC
(5,17),-3.89532 # DEPENDENCYPART_ARC
(5,18),-2.2499 # DEPENDENCYPART_ARC
(5,19),-2.68887 # DEPENDENCYPART_ARC
(5,21),-3.22715 # DEPENDENCYPART_ARC
(5,23),-2.58385 # DEPENDENCYPART_ARC
(5,24),-2.97895 # DEPENDENCYPART_ARC
(5,26),-3.78845 # DEPENDENCYPART_ARC
(5,27),-2.24307 # DEPENDENCYPART_ARC
(5,28),-4.69189 # DEPENDENCYPART_ARC
(5,29),-2.78159 # DEPENDENCYPART_ARC
(5,33),-5.24425 # DEPENDENCYPART_ARC
(5,34),-3.73923 # DEPENDENCYPART_ARC
(5,35),-3.75411 # DEPENDENCYPART_ARC
(5,36),-4.6804 # DEPENDENCYPART_ARC
(5,37),-3.92879 # DEPENDENCYPART_ARC
(5,38),-3.19631 # DEPENDENCYPART_ARC
(5,39),-1.44538 # DEPENDENCYPART_ARC
(6,1),1.61793 # DEPENDENCYPART_ARC
(6,2),3.47944 # DEPENDENCYPART_ARC
(6,3),4.01671 # DEPENDENCYPART_ARC
(6,4),1.81583 # DEPENDENCYPART_ARC
(6,5),4.09958 # DEPENDENCYPART_ARC
(6,7),0.0439956 # DEPENDENCYPART_ARC
(6,8),3.12454 # DEPENDENCYPART_ARC
(6,9),1.98472 # DEPENDENCYPART_ARC
(6,10),-1.02176 # DEPENDENCYPART_ARC
(6,11),1.8758 # DEPENDENCYPART_ARC
(6,12),1.13142 # DEPENDENCYPART_ARC
(6,13),1.05222 # DEPENDENCYPART_ARC
(6,14),0.673431 # DEPENDENCYPART_ARC
(6,15),0.340471 # DEPENDENCYPART_ARC
(6,16),-0.575653 # DEPENDENCYPART_ARC
(6,17),-1.19623 # DEPENDENCYPART_ARC
(6,18),0.135317 # DEPENDENCYPART_ARC
(6,19),0.178921 # DEPENDENCYPART_ARC
(6,20),-2.01598 # DEPENDENCYPART_ARC
(6,21),0.631902 # DEPENDENCYPART_ARC
(6,22),-4.23183 # DEPENDENCYPART_ARC
(6,23),-0.706023 # DEPENDENCYPART_ARC
(6,24),0.194015 # DEPENDENCYPART_ARC
(6,25),-2.71156 # DEPENDENCYPART_ARC
(6,26),1.15978 # DEPENDENCYPART_ARC
(6,27),-2.05473 # DEPENDENCYPART_ARC
(6,28),-3.62127 # DEPENDENCYPART_ARC
(6,30),-0.160049 # DEPENDENCYPART_ARC
(6,31),-2.51623 # DEPENDENCYPART_ARC
(6,32),-0.0522308 # DEPENDENCYPART_ARC
(6,33),-2.98219 # DEPENDENCYPART_ARC
(6,34),-0.972604 # DEPENDENCYPART_ARC
(6,36),-3.12321 # DEPENDENCYPART_ARC
(6,37),-2.94637 # DEPENDENCYPART_ARC
(6,38),-1.81264 # DEPENDENCYPART_ARC
(6,39),3.83984 # DEPENDENCYPART_ARC
(7,1),-2.84965 # DEPENDENCYPART_ARC
(7,3),-2.36461 # DEPENDENCYPART_ARC
(7,8),1.89078 # DEPENDENCYPART_ARC
(7,9),-0.819098 # DEPENDENCYPART_ARC
(7,10),-1.73002 # DEPENDENCYPART_ARC
(7,13),-3.00971 # DEPENDENCYPART_ARC
(7,15),-3.56038 # DEPENDENCYPART_ARC
(7,16),-2.67625 # DEPENDENCYPART_ARC
(7,17),-3.25251 # DEPENDENCYPART_ARC
(7,18),-3.98262 # DEPENDENCYPART_ARC
(7,19),-3.82387 # DEPENDENCYPART_ARC
(7,20),-3.49298 # DEPENDENCYPART_ARC
(7,22),-5.47586 # DEPENDENCYPART_ARC
(7,23),-3.6624 # DEPENDENCYPART_ARC
(7,28),-5.36117 # DEPENDENCYPART_ARC
(7,29),-7.18509 # DEPENDENCYPART_ARC
(7,33),-6.11935 # DEPENDENCYPART_ARC
(7,35),-9.19229 # DEPENDENCYPART_ARC
(7,36),-5.07278 # DEPENDENCYPART_ARC
(7,37),-3.94384 # DEPENDENCYPART_ARC
(7,38),-5.58689 # DEPENDENCYPART_ARC
(8,1),-1.23194 # DEPENDENCYPART_ARC
(8,2),-0.715431 # DEPENDENCYPART_ARC
(8,3),0.621227 # DEPENDENCYPART_ARC
(8,4),-1.25734 # DEPENDENCYPART_ARC
(8,5),0.480491 # DEPENDENCYPART_ARC
(8,6),-1.3956 # DEPENDENCYPART_ARC
(8,7),3.90143 # DEPENDENCYPART_ARC
(8,9),1.05937 # DEPENDENCYPART_ARC
(8,10),-0.372607 # DEPENDENCYPART_ARC
(8,11),2.17152 # DEPENDENCYPART_ARC
(8,12),1.29043 # DEPENDENCYPART_ARC
(8,13),-0.453866 # DEPENDENCYPART_ARC
(8,14),-0.382666 # DEPENDENCYPART_ARC
(8,15),-0.692425 # DEPENDENCYPART_ARC
(8,16),-1.3307 # DEPENDENCYPART_ARC
(8,17),-0.0858672 # DEPENDENCYPART_ARC
(8,18),-1.28937 # DEPENDENCYPART_ARC
(8,19),-1.3583 # DEPENDENCYPART_ARC
(8,20),-3.86515 # DEPENDENCYPART_ARC
(8,21),0.484937 # DEPENDENCYPART_ARC
(8,22),-3.27146 # DEPENDENCYPART_ARC
(8,23),-1.61583 # DEPENDENCYPART_ARC
(8,24),-0.925862 # DEPENDENCYPART_ARC
(8,25),-1.58992 # DEPENDENCYPART_ARC
(8,26),0.0124458 # DEPENDENCYPART_ARC
(8,27),-3.97594 # DEPENDENCYPART_ARC
(8,28),-4.51081 # DEPENDENCYPART_ARC
(8,29),-3.47784 # DEPENDENCYPART_ARC
(8,30),-3.36545 # DEPENDENCYPART_ARC
(8,31),-4.96141 # DEPENDENCYPART_ARC
(8,32),-0.865007 # DEPENDENCYPART_ARC
(8,33),-4.99225 # DEPENDENCYPART_ARC
(8,34),-0.700281 # DEPENDENCYPART_ARC
(8,35),-3.86879 # DEPENDENCYPART_ARC
(8,36),-2.84489 # DEPENDENCYPART_ARC
(8,37),-2.2167 # DEPENDENCYPART_ARC
(8,38),-4.45333 # DEPENDENCYPART_ARC
(8,39),1.77001 # DEPENDENCYPART_ARC
(9,1),-2.35142 # DEPENDENCYPART_ARC
(9,2),-2.01138 # DEPENDENCYPART_ARC
(9,3),-2.66468 # DEPENDENCYPART_ARC
(9,4),-3.295 # DEPENDENCYPART_ARC
(9,5),-2.67139 # DEPENDENCYPART_ARC
(9,6),-1.28539 # DEPENDENCYPART_ARC
(9,7),-1.13386 # DEPENDENCYPART_ARC
(9,8),-1.01139 # DEPENDENCYPART_ARC
(9,10),4.96817 # DEPENDENCYPART_ARC
(9,11),1.58416 # DEPENDENCYPART_ARC
(9,12),0.395606 # DEPENDENCYPART_ARC
(9,13),-1.79036 # DEPENDENCYPART_ARC
(9,14),-1.27123 # DEPENDENCYPART_ARC
(9,15),-1.11735 # DEPENDENCYPART_ARC
(9,16),-3.40174 # DEPENDENCYPART_ARC
(9,17),-1.38369 # DEPENDENCYPART_ARC
(9,18),-4.32594 # DEPENDENCYPART_ARC
(9,19),-3.34711 # DEPENDENCYPART_ARC
(9,20),-4.07548 # DEPENDENCYPART_ARC
(9,21),-2.64969 # DEPENDENCYPART_ARC
(9,22),-4.13696 # DEPENDENCYPART_ARC
(9,23),-7.91493 # DEPENDENCYPART_ARC
(9,24),-3.20018 # DEPENDENCYPART_ARC
(9,25),-4.50967 # DEPENDENCYPART_ARC
(9,26),-4.03265 # DEPENDENCYPART_ARC
(9,27),-1.89701 # DEPENDENCYPART_ARC
(9,28),-4.04835 # DEPENDENCYPART_ARC
(9,29),-4.41874 # DEPENDENCYPART_ARC
(9,30),-4.93204 # DEPENDENCYPART_ARC
(9,31),-6.5738 # DEPENDENCYPART_ARC
(9,32),-4.74339 # DEPENDENCYPART_ARC
(9,33),-5.84492 # DEPENDENCYPART_ARC
(9,34),-3.19365 # DEPENDENCYPART_ARC
(9,35),-4.55016 # DEPENDENCYPART_ARC
(9,36),-14.7357 # DEPENDENCYPART_ARC
(9,37),-5.71151 # DEPENDENCYPART_ARC
(9,38),-16.6668 # DEPENDENCYPART_ARC
(9,39),-2.44759 # DEPENDENCYPART_ARC
(10,2),-1.36374 # DEPENDENCYPART_ARC
(10,3),-0.407056 # DEPENDENCYPART_ARC
(10,6),-0.865693 # DEPENDENCYPART_ARC
(10,7),-1.32542 # DEPENDENCYPART_ARC
(10,8),-1.57599 # DEPENDENCYPART_ARC
(10,9),1.25196 # DEPENDENCYPART_ARC
(10,11),0.158623 # DEPENDENCYPART_ARC
(10,12),-1.30701 # DEPENDENCYPART_ARC
(10,15),-2.56068 # DEPENDENCYPART_ARC
(10,16),-2.90103 # DEPENDENCYPART_ARC
(10,17),-1.60711 # DEPENDENCYPART_ARC
(10,18),-2.1754 # DEPENDENCYPART_ARC
(10,19),-1.60861 # DEPENDENCYPART_ARC
(10,21),-2.7522 # DEPENDENCYPART_ARC
(10,22),-3.69443 # DEPENDENCYPART_ARC
(10,23),-3.02083 # DEPENDENCYPART_ARC
(10,26),-3.33022 # DEPENDENCYPART_ARC
(10,27),-2.36923 # DEPENDENCYPART_ARC
(10,28),-3.86265 # DEPENDENCYPART_ARC
(10,29),-3.85822 # DEPENDENCYPART_ARC
(10,33),-4.60362 # DEPENDENCYPART_ARC
(10,34),-3.8598 # DEPENDENCYPART_ARC
(10,35),-4.92519 # DEPENDENCYPART_ARC
(10,36),-4.51586 # DEPENDENCYPART_ARC
(10,37),-3.45154 # DEPENDENCYPART_ARC
(11,1),-0.9013 # DEPENDENCYPART_ARC
(11,2),0.673045 # DEPENDENCYPART_ARC
(11,3),0.946573 # DEPENDENCYPART_ARC
(11,4),-1.00609 # DEPENDENCYPART_ARC
(11,5),-0.289528 # DEPENDENCYPART_ARC
(11,6),-0.53904 # DEPENDENCYPART_ARC
(11,7),-1.45692 # DEPENDENCYPART_ARC
(11,8),0.164999 # DEPENDENCYPART_ARC
(11,9),1.32853 # DEPENDENCYPART_ARC
(11,10),1.62738 # DEPENDENCYPART_ARC
(11,12),2.52917 # DEPENDENCYPART_ARC
(11,13),1.80579 # DEPENDENCYPART_ARC
(11,14),0.159392 # DEPENDENCYPART_ARC
(11,15),0.21363 # DEPENDENCYPART_ARC
(11,16),-1.02038 # DEPENDENCYPART_ARC
(11,17),-1.81325 # DEPENDENCYPART_ARC
(11,18),-1.64548 # DEPENDENCYPART_ARC
(11,19),-1.69982 # DEPENDENCYPART_ARC
(11,20),-2.83236 # DEPENDENCYPART_ARC
(11,21),-0.585783 # DEPENDENCYPART_ARC
(11,22),-4.57247 # DEPENDENCYPART_ARC
(11,23),-1.16658 # DEPENDENCYPART_ARC
(11,24),-0.152269 # DEPENDENCYPART_ARC
(11,25),-2.6644 # DEPENDENCYPART_ARC
(11,26),0.0432823 # DEPENDENCYPART_ARC
(11,27),-2.9455 # DEPENDENCYPART_ARC
(11,28),-4.29862 # DEPENDENCYPART_ARC
(11,30),-0.617385 # DEPENDENCYPART_ARC
(11,31),-3.30143 # DEPENDENCYPART_ARC
(11,32),-1.35729 # DEPENDENCYPART_ARC
(11,33),-3.24231 # DEPENDENCYPART_ARC
(11,34),-1.43649 # DEPENDENCYPART_ARC
(11,36),-3.81255 # DEPENDENCYPART_ARC
(11,37),-2.72017 # DEPENDENCYPART_ARC
(11,38),-3.67401 # DEPENDENCYPART_ARC
(11,39),5.25298 # DEPENDENCYPART_ARC
(12,1),1.27936 # DEPENDENCYPART_ARC
(12,2),2.2318 # DEPENDENCYPART_ARC
(12,3),2.58915 # DEPENDENCYPART_ARC
(12,4),0.254981 # DEPENDENCYPART_ARC
(12,5),1.11159 # DEPENDENCYPART_ARC
(12,6),2.48789 # DEPENDENCYPART_ARC
(12,7),0.73988 # DEPENDENCYPART_ARC
(12,8),1.01359 # DEPENDENCYPART_ARC
(12,9),2.91539 # DEPENDENCYPART_ARC
(12,10),2.59679 # DEPENDENCYPART_ARC
(12,11),5.69871 # DEPENDENCYPART_ARC
(12,13),3.55314 # DEPENDENCYPART_ARC
(12,14),0.370112 # DEPENDENCYPART_ARC
(12,15),1.83616 # DEPENDENCYPART_ARC
(12,16),-0.0114862 # DEPENDENCYPART_ARC
(12,17),-0.168487 # DEPENDENCYPART_ARC
(12,18),-0.290012 # DEPENDENCYPART_ARC
(12,19),-0.518338 # DEPENDENCYPART_ARC
(12,20),-1.2628 # DEPENDENCYPART_ARC
(12,21),0.481868 # DEPENDENCYPART_ARC
(12,22),-3.42576 # DEPENDENCYPART_ARC
(12,23),-0.562836 # DEPENDENCYPART_ARC
(12,24),-0.36067 # DEPENDENCYPART_ARC
(12,25),-0.904471 # DEPENDENCYPART_ARC
(12,26),0.636863 # DEPENDENCYPART_ARC
(12,27),-2.35128 # DEPENDENCYPART_ARC
(12,28),-3.65005 # DEPENDENCYPART_ARC
(12,30),-0.22694 # DEPENDENCYPART_ARC
(12,31),-1.09068 # DEPENDENCYPART_ARC
(12,32),-0.459902 # DEPENDENCYPART_ARC
(12,33),-2.77079 # DEPENDENCYPART_ARC
(12,34),-1.17715 # DEPENDENCYPART_ARC
(12,36),-3.35075 # DEPENDENCYPART_ARC
(12,37),-2.68706 # DEPENDENCYPART_ARC
(12,38),-3.64952 # DEPENDENCYPART_ARC
(12,39),6.21787 # DEPENDENCYPART_ARC
(13,1),-3.00817 # DEPENDENCYPART_ARC
(13,2),-2.62474 # DEPENDENCYPART_ARC
(13,3),-1.33478 # DEPENDENCYPART_ARC
(13,4),-2.84539 # DEPENDENCYPART_ARC
(13,5),-2.87812 # DEPENDENCYPART_ARC
(13,6),-3.24552 # DEPENDENCYPART_ARC
(13,7),-3.12431 # DEPENDENCYPART_ARC
(13,8),-2.73994 # DEPENDENCYPART_ARC
(13,9),-0.768171 # DEPENDENCYPART_ARC
(13,10),-1.13387 # DEPENDENCYPART_ARC
(13,11),-1.98344 # DEPENDENCYPART_ARC
(13,12),-0.578088 # DEPENDENCYPART_ARC
(13,14),0.019005 # DEPENDENCYPART_ARC
(13,15),-0.638305 # DEPENDENCYPART_ARC
(13,16),0.383183 # DEPENDENCYPART_ARC
(13,17),-0.300677 # DEPENDENCYPART_ARC
(13,18),-0.132623 # DEPENDENCYPART_ARC
(13,19),0.254262 # DEPENDENCYPART_ARC
(13,20),-2.01721 # DEPENDENCYPART_ARC
(13,21),0.783355 # DEPENDENCYPART_ARC
(13,22),-2.69412 # DEPENDENCYPART_ARC
(13,23),-1.59152 # DEPENDENCYPART_ARC
(13,24),-1.55525 # DEPENDENCYPART_ARC
(13,25),-2.22297 # DEPENDENCYPART_ARC
(13,26),0.315072 # DEPENDENCYPART_ARC
(13,27),-3.63246 # DEPENDENCYPART_ARC
(13,28),-4.55536 # DEPENDENCYPART_ARC
(13,29),-3.50779 # DEPENDENCYPART_ARC
(13,30),-2.86142 # DEPENDENCYPART_ARC
(13,31),-3.05769 # DEPENDENCYPART_ARC
(13,32),-1.14391 # DEPENDENCYPART_ARC
(13,33),-5.28715 # DEPENDENCYPART_ARC
(13,34),-0.892208 # DEPENDENCYPART_ARC
(13,35),-3.97281 # DEPENDENCYPART_ARC
(13,36),-3.33788 # DEPENDENCYPART_ARC
(13,37),-2.90752 # DEPENDENCYPART_ARC
(13,38),-4.30234 # DEPENDENCYPART_ARC
(13,39),0.914921 # DEPENDENCYPART_ARC
(14,8),-3.13728 # DEPENDENCYPART_ARC
(14,16),-0.641808 # DEPENDENCYPART_ARC
(14,18),-1.31349 # DEPENDENCYPART_ARC
(14,19),-1.19887 # DEPENDENCYPART_ARC
(14,23),-1.97076 # DEPENDENCYPART_ARC
(14,24),-1.194 # DEPENDENCYPART_ARC
(14,36),-2.22786 # DEPENDENCYPART_ARC
(14,37),-2.35723 # DEPENDENCYPART_ARC
(15,1),-1.85622 # DEPENDENCYPART_ARC
(15,2),-1.51391 # DEPENDENCYPART_ARC
(15,3),-2.26301 # DEPENDENCYPART_ARC
(15,4),-3.35574 # DEPENDENCYPART_ARC
(15,5),-2.76437 # DEPENDENCYPART_ARC
(15,6),-3.24063 # DEPENDENCYPART_ARC
(15,7),-2.15745 # DEPENDENCYPART_ARC
(15,8),-2.85894 # DEPENDENCYPART_ARC
(15,9),-1.24236 # DEPENDENCYPART_ARC
(15,10),-2.41293 # DEPENDENCYPART_ARC
(15,11),-1.86085 # DEPENDENCYPART_ARC
(15,12),-0.367048 # DEPENDENCYPART_ARC
(15,13),-1.15057 # DEPENDENCYPART_ARC
(15,14),2.13971 # DEPENDENCYPART_ARC
(15,16),3.60133 # DEPENDENCYPART_ARC
(15,17),0.0238366 # DEPENDENCYPART_ARC
(15,18),0.266398 # DEPENDENCYPART_ARC
(15,19),-3.27986 # DEPENDENCYPART_ARC
(15,20),-5.12356 # DEPENDENCYPART_ARC
(15,21),-0.79639 # DEPENDENCYPART_ARC
(15,22),-3.61479 # DEPENDENCYPART_ARC
(15,23),-4.89279 # DEPENDENCYPART_ARC
(15,24),0.368464 # DEPENDENCYPART_ARC
(15,25),-4.36624 # DEPENDENCYPART_ARC
(15,26),-2.41438 # DEPENDENCYPART_ARC
(15,27),-0.849823 # DEPENDENCYPART_ARC
(15,28),-2.89254 # DEPENDENCYPART_ARC
(15,29),-3.54362 # DEPENDENCYPART_ARC
(15,30),-3.90191 # DEPENDENCYPART_ARC
(15,31),-9.63222 # DEPENDENCYPART_ARC
(15,32),-3.11031 # DEPENDENCYPART_ARC
(15,33),-4.59404 # DEPENDENCYPART_ARC
(15,34),-2.74725 # DEPENDENCYPART_ARC
(15,35),-3.5425 # DEPENDENCYPART_ARC
(15,36),-10.6794 # DEPENDENCYPART_ARC
(15,37),-4.94072 # DEPENDENCYPART_ARC
(15,38),-12.1734 # DEPENDENCYPART_ARC
(15,39),-0.34567 # DEPENDENCYPART_ARC
(16,1),-3.98632 # DEPENDENCYPART_ARC
(16,2),-3.57966 # DEPENDENCYPART_ARC
(16,3),-2.81487 # DEPENDENCYPART_ARC
(16,4),-4.66299 # DEPENDENCYPART_ARC
(16,5),-3.44034 # DEPENDENCYPART_ARC
(16,6),-5.79173 # DEPENDENCYPART_ARC
(16,7),-4.36916 # DEPENDENCYPART_ARC
(16,8),-3.9762 # DEPENDENCYPART_ARC
(16,9),-2.45555 # DEPENDENCYPART_ARC
(16,10),-3.28908 # DEPENDENCYPART_ARC
(16,11),-3.72133 # DEPENDENCYPART_ARC
(16,12),-3.29198 # DEPENDENCYPART_ARC
(16,13),-2.74383 # DEPENDENCYPART_ARC
(16,14),-1.06368 # DEPENDENCYPART_ARC
(16,15),-0.54058 # DEPENDENCYPART_ARC
(16,17),3.12288 # DEPENDENCYPART_ARC
(16,18),0.928546 # DEPENDENCYPART_ARC
(16,19),0.596661 # DEPENDENCYPART_ARC
(16,20),-2.2635 # DEPENDENCYPART_ARC
(16,21),2.29759 # DEPENDENCYPART_ARC
(16,22),-2.45646 # DEPENDENCYPART_ARC
(16,23),-1.0716 # DEPENDENCYPART_ARC
(16,24),-1.07847 # DEPENDENCYPART_ARC
(16,25),-1.29879 # DEPENDENCYPART_ARC
(16,26),1.43293 # DEPENDENCYPART_ARC
