# _root_ " El conseller de Medi_Ambient , Felip_Puig , va insistir que el projecte " no està tancat .
#goldHeads=10,3,10,3,4,7,3,7,10,0,16,13,16,16,16,10,16,10,
#predictedHeads=10,3,10,3,4,7,3,7,10,0,16,13,16,16,16,10,16,10,
(12,8),-1.26403 # DEPENDENCYPART_ARC
(12,9),-2.07305 # DEPENDENCYPART_ARC
(12,10),-1.19538 # DEPENDENCYPART_ARC
(12,11),0.427011 # DEPENDENCYPART_ARC
(12,13),-0.555878 # DEPENDENCYPART_ARC
(12,14),-1.49093 # DEPENDENCYPART_ARC
(12,15),-1.68814 # DEPENDENCYPART_ARC
(12,16),-2.65104 # DEPENDENCYPART_ARC
(12,17),-3.36037 # DEPENDENCYPART_ARC
(12,18),-2.78927 # DEPENDENCYPART_ARC
(13,1),-2.01754 # DEPENDENCYPART_ARC
(13,2),-3.88384 # DEPENDENCYPART_ARC
(13,3),-1.9401 # DEPENDENCYPART_ARC
(13,4),-1.19445 # DEPENDENCYPART_ARC
(13,5),-1.02092 # DEPENDENCYPART_ARC
(13,6),-0.48097 # DEPENDENCYPART_ARC
(13,7),-1.41897 # DEPENDENCYPART_ARC
(13,8),-0.201737 # DEPENDENCYPART_ARC
(13,9),-0.216535 # DEPENDENCYPART_ARC
(13,10),-0.428374 # DEPENDENCYPART_ARC
(13,11),1.75231 # DEPENDENCYPART_ARC
(13,12),4.50613 # DEPENDENCYPART_ARC
(13,14),1.63649 # DEPENDENCYPART_ARC
(13,15),0.421835 # DEPENDENCYPART_ARC
(13,16),1.98305 # DEPENDENCYPART_ARC
(13,17),1.28857 # DEPENDENCYPART_ARC
(13,18),0.761585 # DEPENDENCYPART_ARC
(14,1),-2.3865 # DEPENDENCYPART_ARC
(14,2),-3.00734 # DEPENDENCYPART_ARC
(14,3),-3.10692 # DEPENDENCYPART_ARC
(14,4),-2.1584 # DEPENDENCYPART_ARC
(14,5),-2.99186 # DEPENDENCYPART_ARC
(14,6),-2.00278 # DEPENDENCYPART_ARC
(14,7),-2.79715 # DEPENDENCYPART_ARC
(14,8),-1.85991 # DEPENDENCYPART_ARC
(14,9),-2.46744 # DEPENDENCYPART_ARC
(14,10),-2.08534 # DEPENDENCYPART_ARC
(14,11),-1.11148 # DEPENDENCYPART_ARC
(14,12),-0.633875 # DEPENDENCYPART_ARC
(14,13),-0.802936 # DEPENDENCYPART_ARC
(14,15),-0.719183 # DEPENDENCYPART_ARC
(14,16),-0.856316 # DEPENDENCYPART_ARC
(14,17),-1.61993 # DEPENDENCYPART_ARC
(14,18),-1.26272 # DEPENDENCYPART_ARC
(15,1),-2.66375 # DEPENDENCYPART_ARC
(15,2),-2.93314 # DEPENDENCYPART_ARC
(15,3),-3.82298 # DEPENDENCYPART_ARC
(15,4),-2.73293 # DEPENDENCYPART_ARC
(15,5),-3.44359 # DEPENDENCYPART_ARC
(15,6),-2.44632 # DEPENDENCYPART_ARC
(15,7),-3.11083 # DEPENDENCYPART_ARC
(15,8),-2.1668 # DEPENDENCYPART_ARC
(15,9),-2.27067 # DEPENDENCYPART_ARC
(15,10),-2.05545 # DEPENDENCYPART_ARC
(15,11),-0.468282 # DEPENDENCYPART_ARC
(15,12),-1.10418 # DEPENDENCYPART_ARC
(15,13),-1.47698 # DEPENDENCYPART_ARC
(15,14),0.0997461 # DEPENDENCYPART_ARC
(15,16),0.513023 # DEPENDENCYPART_ARC
(15,17),-0.657797 # DEPENDENCYPART_ARC
(15,18),-0.827928 # DEPENDENCYPART_ARC
(16,1),0.909451 # DEPENDENCYPART_ARC
(16,2),-2.76738 # DEPENDENCYPART_ARC
(16,3),0.398265 # DEPENDENCYPART_ARC
(16,4),-2.47605 # DEPENDENCYPART_ARC
(16,5),-0.570584 # DEPENDENCYPART_ARC
(16,6),-1.50948 # DEPENDENCYPART_ARC
(16,7),-0.448618 # DEPENDENCYPART_ARC
(16,8),-1.2326 # DEPENDENCYPART_ARC
(16,9),1.65932 # DEPENDENCYPART_ARC
(16,10),-0.883488 # DEPENDENCYPART_ARC
(16,11),3.74687 # DEPENDENCYPART_ARC
(16,12),0.348378 # DEPENDENCYPART_ARC
(16,13),1.90879 # DEPENDENCYPART_ARC
(16,14),2.57468 # DEPENDENCYPART_ARC
(16,15),4.25059 # DEPENDENCYPART_ARC
(16,17),4.11927 # DEPENDENCYPART_ARC
(16,18),3.30755 # DEPENDENCYPART_ARC
(17,1),-2.45673 # DEPENDENCYPART_ARC
(17,2),-1.65626 # DEPENDENCYPART_ARC
(17,3),-2.50518 # DEPENDENCYPART_ARC
(17,4),-1.66503 # DEPENDENCYPART_ARC
(17,5),-2.37281 # DEPENDENCYPART_ARC
(17,6),-2.32657 # DEPENDENCYPART_ARC
(17,7),-2.16354 # DEPENDENCYPART_ARC
(17,8),-1.7939 # DEPENDENCYPART_ARC
(17,9),-2.07338 # DEPENDENCYPART_ARC
(17,10),-2.42058 # DEPENDENCYPART_ARC
(17,11),-0.184906 # DEPENDENCYPART_ARC
(17,12),-0.0436826 # DEPENDENCYPART_ARC
(17,13),-0.88659 # DEPENDENCYPART_ARC
(17,14),0.79406 # DEPENDENCYPART_ARC
(17,15),1.26507 # DEPENDENCYPART_ARC
(17,16),0.610751 # DEPENDENCYPART_ARC
(17,18),-0.027359 # DEPENDENCYPART_ARC
(18,1),-3.51044 # DEPENDENCYPART_ARC
(18,2),-4.22093 # DEPENDENCYPART_ARC
(18,3),-4.15012 # DEPENDENCYPART_ARC
(18,4),-3.4694 # DEPENDENCYPART_ARC
(18,5),-4.14969 # DEPENDENCYPART_ARC
(18,6),-3.24613 # DEPENDENCYPART_ARC
(18,7),-4.0669 # DEPENDENCYPART_ARC
(18,8),-3.09514 # DEPENDENCYPART_ARC
(18,9),-3.86625 # DEPENDENCYPART_ARC
(18,10),-3.73133 # DEPENDENCYPART_ARC
(18,11),-2.8375 # DEPENDENCYPART_ARC
(18,12),-3.50095 # DEPENDENCYPART_ARC
(18,13),-3.46085 # DEPENDENCYPART_ARC
(18,14),-2.50277 # DEPENDENCYPART_ARC
(18,15),-2.70297 # DEPENDENCYPART_ARC
(18,16),-2.20568 # DEPENDENCYPART_ARC
(18,17),-1.16917 # DEPENDENCYPART_ARC
