# _root_ Per_tant , els que se sentin posseïts per aquesta tendència es mereixen tota la comprensió i el respecte , però l' han de dominar i no exercir -la en actes concrets .
#goldHeads=12,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
#predictedHeads=6,1,6,6,6,12,6,7,10,8,12,0,14,15,12,15,18,15,12,12,24,24,24,12,24,27,24,27,27,29,30,12,
(7,30),-1.32394 # DEPENDENCYPART_ARC
(7,31),-2.62338 # DEPENDENCYPART_ARC
(7,32),0.276055 # DEPENDENCYPART_ARC
(8,1),-1.3545 # DEPENDENCYPART_ARC
(8,2),-1.46157 # DEPENDENCYPART_ARC
(8,3),-0.719786 # DEPENDENCYPART_ARC
(8,4),-1.37325 # DEPENDENCYPART_ARC
(8,5),-0.959764 # DEPENDENCYPART_ARC
(8,6),-0.232393 # DEPENDENCYPART_ARC
(8,7),0.507079 # DEPENDENCYPART_ARC
(8,10),4.81294 # DEPENDENCYPART_ARC
(8,11),-0.925246 # DEPENDENCYPART_ARC
(8,12),1.00882 # DEPENDENCYPART_ARC
(8,13),-2.39568 # DEPENDENCYPART_ARC
(8,14),-2.45443 # DEPENDENCYPART_ARC
(8,15),-2.09114 # DEPENDENCYPART_ARC
(8,16),-0.25681 # DEPENDENCYPART_ARC
(8,17),-2.43659 # DEPENDENCYPART_ARC
(8,18),-4.54672 # DEPENDENCYPART_ARC
(8,19),-1.0356 # DEPENDENCYPART_ARC
(8,20),-1.69941 # DEPENDENCYPART_ARC
(8,21),-3.48864 # DEPENDENCYPART_ARC
(8,22),-1.93935 # DEPENDENCYPART_ARC
(8,23),-3.48187 # DEPENDENCYPART_ARC
(8,24),-2.83823 # DEPENDENCYPART_ARC
(8,25),-1.67718 # DEPENDENCYPART_ARC
(8,26),-1.68293 # DEPENDENCYPART_ARC
(8,27),-3.51364 # DEPENDENCYPART_ARC
(8,28),-4.35242 # DEPENDENCYPART_ARC
(8,29),-4.45927 # DEPENDENCYPART_ARC
(8,30),-9.58055 # DEPENDENCYPART_ARC
(8,31),-3.23299 # DEPENDENCYPART_ARC
(8,32),1.73745 # DEPENDENCYPART_ARC
(9,1),-3.5381 # DEPENDENCYPART_ARC
(9,7),-2.72892 # DEPENDENCYPART_ARC
(9,13),-1.59116 # DEPENDENCYPART_ARC
(9,16),-2.19135 # DEPENDENCYPART_ARC
(9,20),-2.62296 # DEPENDENCYPART_ARC
(9,25),-2.78601 # DEPENDENCYPART_ARC
(9,31),-5.06445 # DEPENDENCYPART_ARC
(10,1),-2.20151 # DEPENDENCYPART_ARC
(10,2),-1.86062 # DEPENDENCYPART_ARC
(10,3),-3.57957 # DEPENDENCYPART_ARC
(10,4),-1.74408 # DEPENDENCYPART_ARC
(10,6),-2.40496 # DEPENDENCYPART_ARC
(10,7),-1.88966 # DEPENDENCYPART_ARC
(10,8),-0.238772 # DEPENDENCYPART_ARC
(10,9),3.63585 # DEPENDENCYPART_ARC
(10,12),0.261799 # DEPENDENCYPART_ARC
(10,13),-3.18004 # DEPENDENCYPART_ARC
(10,14),-3.57816 # DEPENDENCYPART_ARC
(10,15),-2.51242 # DEPENDENCYPART_ARC
(10,16),-1.37382 # DEPENDENCYPART_ARC
(10,17),-4.60134 # DEPENDENCYPART_ARC
(10,18),-2.24164 # DEPENDENCYPART_ARC
(10,19),-2.56726 # DEPENDENCYPART_ARC
(10,20),-3.08486 # DEPENDENCYPART_ARC
(10,21),-4.80572 # DEPENDENCYPART_ARC
(10,22),-3.68697 # DEPENDENCYPART_ARC
(10,23),-3.77798 # DEPENDENCYPART_ARC
(10,24),-3.23053 # DEPENDENCYPART_ARC
(10,25),-4.42346 # DEPENDENCYPART_ARC
(10,26),-4.65134 # DEPENDENCYPART_ARC
(10,27),-4.68554 # DEPENDENCYPART_ARC
(10,28),-5.49699 # DEPENDENCYPART_ARC
(10,29),-4.67216 # DEPENDENCYPART_ARC
(10,30),-5.21759 # DEPENDENCYPART_ARC
(10,31),-6.1629 # DEPENDENCYPART_ARC
(10,32),0.979804 # DEPENDENCYPART_ARC
(12,1),0.987766 # DEPENDENCYPART_ARC
(12,2),0.620874 # DEPENDENCYPART_ARC
(12,3),0.454891 # DEPENDENCYPART_ARC
(12,4),2.01287 # DEPENDENCYPART_ARC
(12,5),1.37602 # DEPENDENCYPART_ARC
(12,6),1.18464 # DEPENDENCYPART_ARC
(12,7),1.1404 # DEPENDENCYPART_ARC
(12,8),1.81364 # DEPENDENCYPART_ARC
(12,9),0.273468 # DEPENDENCYPART_ARC
(12,10),1.80987 # DEPENDENCYPART_ARC
(12,11),4.60572 # DEPENDENCYPART_ARC
(12,14),-1.54734 # DEPENDENCYPART_ARC
(12,15),2.23621 # DEPENDENCYPART_ARC
(12,16),1.81208 # DEPENDENCYPART_ARC
(12,17),-2.56463 # DEPENDENCYPART_ARC
(12,18),0.812507 # DEPENDENCYPART_ARC
(12,19),1.6544 # DEPENDENCYPART_ARC
(12,20),3.2115 # DEPENDENCYPART_ARC
(12,21),-0.971946 # DEPENDENCYPART_ARC
(12,22),2.19896 # DEPENDENCYPART_ARC
(12,23),-0.0522853 # DEPENDENCYPART_ARC
(12,24),1.22466 # DEPENDENCYPART_ARC
(12,25),1.78503 # DEPENDENCYPART_ARC
(12,26),-1.47803 # DEPENDENCYPART_ARC
(12,27),1.02244 # DEPENDENCYPART_ARC
(12,28),0.150985 # DEPENDENCYPART_ARC
(12,29),-0.914077 # DEPENDENCYPART_ARC
(12,30),-2.74985 # DEPENDENCYPART_ARC
(12,31),0.313928 # DEPENDENCYPART_ARC
(12,32),7.23428 # DEPENDENCYPART_ARC
(13,1),-3.4095 # DEPENDENCYPART_ARC
(13,7),-3.48738 # DEPENDENCYPART_ARC
(13,8),-2.78282 # DEPENDENCYPART_ARC
(13,10),-2.44728 # DEPENDENCYPART_ARC
(13,15),1.16965 # DEPENDENCYPART_ARC
(13,16),0.507854 # DEPENDENCYPART_ARC
(13,18),-1.26364 # DEPENDENCYPART_ARC
(13,20),-0.34865 # DEPENDENCYPART_ARC
(13,23),-1.76657 # DEPENDENCYPART_ARC
(13,25),-1.06496 # DEPENDENCYPART_ARC
(13,29),-2.70069 # DEPENDENCYPART_ARC
(13,30),-3.31853 # DEPENDENCYPART_ARC
(13,31),-3.48813 # DEPENDENCYPART_ARC
(14,1),-2.04984 # DEPENDENCYPART_ARC
(14,3),-2.50634 # DEPENDENCYPART_ARC
(14,4),-2.17964 # DEPENDENCYPART_ARC
(14,7),-2.02206 # DEPENDENCYPART_ARC
(14,8),-1.40719 # DEPENDENCYPART_ARC
(14,9),0.369055 # DEPENDENCYPART_ARC
(14,10),-1.13854 # DEPENDENCYPART_ARC
(14,13),3.97832 # DEPENDENCYPART_ARC
(14,15),0.210386 # DEPENDENCYPART_ARC
(14,16),-1.26435 # DEPENDENCYPART_ARC
(14,17),-1.46728 # DEPENDENCYPART_ARC
(14,18),-2.94164 # DEPENDENCYPART_ARC
(14,20),-2.55218 # DEPENDENCYPART_ARC
(14,23),-3.21327 # DEPENDENCYPART_ARC
(14,25),-3.33677 # DEPENDENCYPART_ARC
(14,29),-4.57122 # DEPENDENCYPART_ARC
(14,30),-5.30802 # DEPENDENCYPART_ARC
(14,31),-5.50508 # DEPENDENCYPART_ARC
(15,1),-1.72092 # DEPENDENCYPART_ARC
(15,2),-1.91313 # DEPENDENCYPART_ARC
(15,3),-4.77345 # DEPENDENCYPART_ARC
(15,4),-0.991657 # DEPENDENCYPART_ARC
(15,6),-2.24825 # DEPENDENCYPART_ARC
(15,7),-2.6537 # DEPENDENCYPART_ARC
(15,8),-0.6901 # DEPENDENCYPART_ARC
(15,9),-1.19153 # DEPENDENCYPART_ARC
(15,10),-1.24785 # DEPENDENCYPART_ARC
(15,12),-0.673857 # DEPENDENCYPART_ARC
(15,13),2.31861 # DEPENDENCYPART_ARC
(15,14),3.60364 # DEPENDENCYPART_ARC
(15,16),2.91388 # DEPENDENCYPART_ARC
(15,17),-0.478653 # DEPENDENCYPART_ARC
(15,18),2.20763 # DEPENDENCYPART_ARC
(15,19),0.546019 # DEPENDENCYPART_ARC
(15,20),0.797765 # DEPENDENCYPART_ARC
(15,21),-0.649396 # DEPENDENCYPART_ARC
(15,22),0.683318 # DEPENDENCYPART_ARC
(15,23),-0.532459 # DEPENDENCYPART_ARC
(15,24),0.6247 # DEPENDENCYPART_ARC
(15,25),-1.33857 # DEPENDENCYPART_ARC
(15,26),-1.15993 # DEPENDENCYPART_ARC
(15,27),-1.39509 # DEPENDENCYPART_ARC
(15,28),-2.16339 # DEPENDENCYPART_ARC
(15,29),-1.31963 # DEPENDENCYPART_ARC
(15,30),-2.19632 # DEPENDENCYPART_ARC
(15,31),-2.69361 # DEPENDENCYPART_ARC
(15,32),3.14394 # DEPENDENCYPART_ARC
(16,2),-3.67231 # DEPENDENCYPART_ARC
(16,19),-1.02789 # DEPENDENCYPART_ARC
(17,1),-3.05679 # DEPENDENCYPART_ARC
(17,3),-3.66953 # DEPENDENCYPART_ARC
(17,4),-3.47001 # DEPENDENCYPART_ARC
(17,7),-3.06796 # DEPENDENCYPART_ARC
(17,8),-2.16658 # DEPENDENCYPART_ARC
(17,9),-2.10728 # DEPENDENCYPART_ARC
(17,10),-2.82507 # DEPENDENCYPART_ARC
(17,13),-0.233428 # DEPENDENCYPART_ARC
(17,14),-0.717742 # DEPENDENCYPART_ARC
(17,15),-1.33002 # DEPENDENCYPART_ARC
(17,16),0.101062 # DEPENDENCYPART_ARC
(17,18),-1.0666 # DEPENDENCYPART_ARC
(17,20),-2.12607 # DEPENDENCYPART_ARC
(17,23),-3.53178 # DEPENDENCYPART_ARC
(17,25),-3.25296 # DEPENDENCYPART_ARC
(17,29),-4.26664 # DEPENDENCYPART_ARC
(17,30),-5.31287 # DEPENDENCYPART_ARC
(17,31),-4.56009 # DEPENDENCYPART_ARC
(18,1),-1.86171 # DEPENDENCYPART_ARC
(18,2),-1.4956 # DEPENDENCYPART_ARC
(18,3),-5.36291 # DEPENDENCYPART_ARC
(18,4),-1.13724 # DEPENDENCYPART_ARC
(18,6),-2.93848 # DEPENDENCYPART_ARC
(18,7),-2.61957 # DEPENDENCYPART_ARC
(18,8),-0.841761 # DEPENDENCYPART_ARC
(18,9),-2.11 # DEPENDENCYPART_ARC
(18,10),-2.20521 # DEPENDENCYPART_ARC
(18,12),-1.18997 # DEPENDENCYPART_ARC
(18,13),-0.00210151 # DEPENDENCYPART_ARC
(18,14),0.628022 # DEPENDENCYPART_ARC
(18,15),-1.04847 # DEPENDENCYPART_ARC
(18,16),0.560475 # DEPENDENCYPART_ARC
(18,17),3.74479 # DEPENDENCYPART_ARC
(18,19),1.06484 # DEPENDENCYPART_ARC
(18,20),0.619231 # DEPENDENCYPART_ARC
(18,21),-0.524209 # DEPENDENCYPART_ARC
(18,22),0.418891 # DEPENDENCYPART_ARC
(18,23),-0.469282 # DEPENDENCYPART_ARC
(18,24),-0.0254304 # DEPENDENCYPART_ARC
(18,25),-1.40711 # DEPENDENCYPART_ARC
(18,26),-1.65195 # DEPENDENCYPART_ARC
(18,27),-1.81051 # DEPENDENCYPART_ARC
(18,28),-2.55724 # DEPENDENCYPART_ARC
(18,29),-1.69093 # DEPENDENCYPART_ARC
(18,30),-1.96191 # DEPENDENCYPART_ARC
(18,31),-1.7865 # DEPENDENCYPART_ARC
(18,32),2.42982 # DEPENDENCYPART_ARC
(19,2),-2.04838 # DEPENDENCYPART_ARC
(19,7),-2.50238 # DEPENDENCYPART_ARC
(19,10),-3.18184 # DEPENDENCYPART_ARC
(19,15),-2.4203 # DEPENDENCYPART_ARC
(19,18),-1.37243 # DEPENDENCYPART_ARC
(19,30),-1.6094 # DEPENDENCYPART_ARC
(19,31),-1.67048 # DEPENDENCYPART_ARC
(20,2),-3.37454 # DEPENDENCYPART_ARC
(20,19),-0.438935 # DEPENDENCYPART_ARC
(21,1),-3.02857 # DEPENDENCYPART_ARC
(21,2),-2.19234 # DEPENDENCYPART_ARC
(21,6),-2.29096 # DEPENDENCYPART_ARC
(21,7),-3.45608 # DEPENDENCYPART_ARC
(21,8),-1.94533 # DEPENDENCYPART_ARC
(21,10),-3.72474 # DEPENDENCYPART_ARC
(21,12),-1.51616 # DEPENDENCYPART_ARC
(21,13),-2.626 # DEPENDENCYPART_ARC
(21,15),-3.1425 # DEPENDENCYPART_ARC
(21,16),-1.61856 # DEPENDENCYPART_ARC
(21,18),-2.88352 # DEPENDENCYPART_ARC
(21,19),-0.726247 # DEPENDENCYPART_ARC
(21,20),0.013972 # DEPENDENCYPART_ARC
(21,23),-1.33383 # DEPENDENCYPART_ARC
(21,24),-1.39295 # DEPENDENCYPART_ARC
(21,25),-1.63017 # DEPENDENCYPART_ARC
(21,26),-1.89997 # DEPENDENCYPART_ARC
(21,27),-3.11368 # DEPENDENCYPART_ARC
(21,29),-3.32948 # DEPENDENCYPART_ARC
(21,30),-2.08057 # DEPENDENCYPART_ARC
(21,31),-3.35854 # DEPENDENCYPART_ARC
(21,32),-0.784915 # DEPENDENCYPART_ARC
(22,1),-4.04175 # DEPENDENCYPART_ARC
(22,2),-3.84736 # DEPENDENCYPART_ARC
(22,3),-3.67957 # DEPENDENCYPART_ARC
(22,4),-3.46007 # DEPENDENCYPART_ARC
(22,5),-4.14554 # DEPENDENCYPART_ARC
(22,6),-3.68813 # DEPENDENCYPART_ARC
(22,7),-2.99067 # DEPENDENCYPART_ARC
(22,8),-2.98018 # DEPENDENCYPART_ARC
(22,10),-4.05027 # DEPENDENCYPART_ARC
(22,11),-3.06969 # DEPENDENCYPART_ARC
(22,12),-3.03262 # DEPENDENCYPART_ARC
(22,13),-3.9069 # DEPENDENCYPART_ARC
(22,14),-4.0294 # DEPENDENCYPART_ARC
(22,15),-3.31856 # DEPENDENCYPART_ARC
(22,16),-3.09065 # DEPENDENCYPART_ARC
(22,17),-3.47531 # DEPENDENCYPART_ARC
(22,18),-3.34587 # DEPENDENCYPART_ARC
(22,19),-2.30184 # DEPENDENCYPART_ARC
(22,20),-1.01867 # DEPENDENCYPART_ARC
(22,21),0.725886 # DEPENDENCYPART_ARC
(22,23),0.460945 # DEPENDENCYPART_ARC
(22,24),-1.208 # DEPENDENCYPART_ARC
(22,25),-0.651092 # DEPENDENCYPART_ARC
(22,26),-2.85658 # DEPENDENCYPART_ARC
(22,27),-1.58373 # DEPENDENCYPART_ARC
(22,28),-1.81353 # DEPENDENCYPART_ARC
(22,29),-1.61222 # DEPENDENCYPART_ARC
(22,30),-2.73858 # DEPENDENCYPART_ARC
(22,31),-2.39377 # DEPENDENCYPART_ARC
(22,32),0.902269 # DEPENDENCYPART_ARC
(23,1),-3.25937 # DEPENDENCYPART_ARC
(23,2),-4.80436 # DEPENDENCYPART_ARC
(23,3),-2.77382 # DEPENDENCYPART_ARC
(23,4),-2.72622 # DEPENDENCYPART_ARC
(23,5),-2.63734 # DEPENDENCYPART_ARC
(23,6),-3.49705 # DEPENDENCYPART_ARC
(23,7),-2.8348 # DEPENDENCYPART_ARC
(23,8),-2.68959 # DEPENDENCYPART_ARC
(23,10),-2.62244 # DEPENDENCYPART_ARC
(23,11),-2.23528 # DEPENDENCYPART_ARC
(23,12),-2.30941 # DEPENDENCYPART_ARC
(23,13),-1.95499 # DEPENDENCYPART_ARC
(23,14),-1.91956 # DEPENDENCYPART_ARC
(23,15),-2.28163 # DEPENDENCYPART_ARC
(23,16),-1.916 # DEPENDENCYPART_ARC
(23,17),-2.13244 # DEPENDENCYPART_ARC
(23,18),-2.54814 # DEPENDENCYPART_ARC
(23,19),-2.19275 # DEPENDENCYPART_ARC
(23,20),-0.897573 # DEPENDENCYPART_ARC
(23,21),-2.03748 # DEPENDENCYPART_ARC
(23,22),0.0732738 # DEPENDENCYPART_ARC
(23,24),3.05903 # DEPENDENCYPART_ARC
(23,25),0.788588 # DEPENDENCYPART_ARC
(23,26),-1.04628 # DEPENDENCYPART_ARC
(23,27),0.38732 # DEPENDENCYPART_ARC
(23,28),-1.60356 # DEPENDENCYPART_ARC
(23,29),-1.0468 # DEPENDENCYPART_ARC
(23,30),-0.417122 # DEPENDENCYPART_ARC
(23,31),-1.28788 # DEPENDENCYPART_ARC
(23,32),0.611006 # DEPENDENCYPART_ARC
(24,1),-0.615421 # DEPENDENCYPART_ARC
(24,2),-0.517022 # DEPENDENCYPART_ARC
(24,3),-0.523173 # DEPENDENCYPART_ARC
(24,4),-0.402687 # DEPENDENCYPART_ARC
(24,5),-0.817597 # DEPENDENCYPART_ARC
(24,6),0.178426 # DEPENDENCYPART_ARC
(24,7),0.576547 # DEPENDENCYPART_ARC
(24,8),0.337693 # DEPENDENCYPART_ARC
(24,9),-0.538373 # DEPENDENCYPART_ARC
(24,10),-0.446938 # DEPENDENCYPART_ARC
(24,11),1.12329 # DEPENDENCYPART_ARC
(24,12),0.731735 # DEPENDENCYPART_ARC
(24,14),0.265672 # DEPENDENCYPART_ARC
(24,15),0.411153 # DEPENDENCYPART_ARC
(24,16),0.094704 # DEPENDENCYPART_ARC
(24,17),0.141537 # DEPENDENCYPART_ARC
(24,18),0.95241 # DEPENDENCYPART_ARC
(24,19),0.585895 # DEPENDENCYPART_ARC
(24,20),1.51954 # DEPENDENCYPART_ARC
(24,21),3.26519 # DEPENDENCYPART_ARC
(24,22),5.11996 # DEPENDENCYPART_ARC
(24,23),4.15596 # DEPENDENCYPART_ARC
(24,25),2.44135 # DEPENDENCYPART_ARC
(24,26),0.590096 # DEPENDENCYPART_ARC
(24,27),3.41742 # DEPENDENCYPART_ARC
(24,28),1.70232 # DEPENDENCYPART_ARC
(24,29),1.74481 # DEPENDENCYPART_ARC
(24,30),0.485399 # DEPENDENCYPART_ARC
(24,31),-0.162957 # DEPENDENCYPART_ARC
(24,32),3.8139 # DEPENDENCYPART_ARC
(25,2),-4.76628 # DEPENDENCYPART_ARC
(25,19),-3.79522 # DEPENDENCYPART_ARC
(26,2),-4.40229 # DEPENDENCYPART_ARC
(26,7),-2.7258 # DEPENDENCYPART_ARC
(26,8),-2.86274 # DEPENDENCYPART_ARC
(26,13),-2.92629 # DEPENDENCYPART_ARC
(26,19),-2.79371 # DEPENDENCYPART_ARC
(26,23),-0.629398 # DEPENDENCYPART_ARC
(26,29),-2.48332 # DEPENDENCYPART_ARC
(26,31),-1.90585 # DEPENDENCYPART_ARC
(26,32),-1.71526 # DEPENDENCYPART_ARC
(27,1),-2.75837 # DEPENDENCYPART_ARC
(27,2),-1.88198 # DEPENDENCYPART_ARC
(27,3),-2.15544 # DEPENDENCYPART_ARC
(27,4),-2.06177 # DEPENDENCYPART_ARC
(27,5),-3.30157 # DEPENDENCYPART_ARC
(27,6),-2.20309 # DEPENDENCYPART_ARC
(27,7),-1.32234 # DEPENDENCYPART_ARC
(27,8),-2.08847 # DEPENDENCYPART_ARC
(27,9),-2.57093 # DEPENDENCYPART_ARC
(27,10),-2.97739 # DEPENDENCYPART_ARC
(27,11),-1.81889 # DEPENDENCYPART_ARC
(27,12),-1.81148 # DEPENDENCYPART_ARC
(27,14),-1.73039 # DEPENDENCYPART_ARC
(27,15),-2.2726 # DEPENDENCYPART_ARC
(27,16),-1.22325 # DEPENDENCYPART_ARC
(27,17),-1.645 # DEPENDENCYPART_ARC
(27,18),-1.16235 # DEPENDENCYPART_ARC
(27,19),-0.233311 # DEPENDENCYPART_ARC
(27,20),-0.556942 # DEPENDENCYPART_ARC
(27,21),-0.0388332 # DEPENDENCYPART_ARC
(27,22),1.38559 # DEPENDENCYPART_ARC
(27,23),-0.333132 # DEPENDENCYPART_ARC
(27,24),-0.0943426 # DEPENDENCYPART_ARC
