# _root_ La manca d' aigua potable i d' electricitat que han provocat aquestes inundacions , accentuen la possibilitat d' aparició d' epidèmies , sobretot de còlera i de malària .
#goldHeads=2,15,2,3,4,3,3,7,11,11,2,13,11,2,0,17,15,17,18,19,20,24,24,21,24,24,24,27,15,
#predictedHeads=2,15,2,3,4,3,3,7,11,11,8,13,11,11,0,17,15,17,18,19,20,24,24,19,24,24,24,27,11,
(2,26),-1.85713 # DEPENDENCYPART_ARC
(2,27),-7.62052 # DEPENDENCYPART_ARC
(2,28),-1.74322 # DEPENDENCYPART_ARC
(2,29),1.47829 # DEPENDENCYPART_ARC
(3,1),1.39814 # DEPENDENCYPART_ARC
(3,2),0.844435 # DEPENDENCYPART_ARC
(3,4),4.43403 # DEPENDENCYPART_ARC
(3,5),0.439663 # DEPENDENCYPART_ARC
(3,6),2.07011 # DEPENDENCYPART_ARC
(3,7),1.81227 # DEPENDENCYPART_ARC
(3,8),0.93268 # DEPENDENCYPART_ARC
(3,9),-2.13835 # DEPENDENCYPART_ARC
(3,10),-1.03532 # DEPENDENCYPART_ARC
(3,11),-1.13086 # DEPENDENCYPART_ARC
(3,12),-2.70984 # DEPENDENCYPART_ARC
(3,13),-3.48694 # DEPENDENCYPART_ARC
(3,14),-1.64516 # DEPENDENCYPART_ARC
(3,15),-3.54668 # DEPENDENCYPART_ARC
(3,16),-3.01233 # DEPENDENCYPART_ARC
(3,17),-7.11455 # DEPENDENCYPART_ARC
(3,18),-1.78668 # DEPENDENCYPART_ARC
(3,19),-7.62532 # DEPENDENCYPART_ARC
(3,20),-1.60213 # DEPENDENCYPART_ARC
(3,21),-7.84889 # DEPENDENCYPART_ARC
(3,22),-3.28239 # DEPENDENCYPART_ARC
(3,23),-2.41536 # DEPENDENCYPART_ARC
(3,24),-2.06657 # DEPENDENCYPART_ARC
(3,25),-9.82668 # DEPENDENCYPART_ARC
(3,26),-0.280059 # DEPENDENCYPART_ARC
(3,27),-1.57292 # DEPENDENCYPART_ARC
(3,28),-10.7508 # DEPENDENCYPART_ARC
(3,29),-0.119287 # DEPENDENCYPART_ARC
(4,1),2.6304 # DEPENDENCYPART_ARC
(4,2),0.263522 # DEPENDENCYPART_ARC
(4,3),1.30803 # DEPENDENCYPART_ARC
(4,5),2.8099 # DEPENDENCYPART_ARC
(4,6),-0.56188 # DEPENDENCYPART_ARC
(4,7),-0.574945 # DEPENDENCYPART_ARC
(4,8),0.27858 # DEPENDENCYPART_ARC
(4,9),-3.0613 # DEPENDENCYPART_ARC
(4,10),-1.01971 # DEPENDENCYPART_ARC
(4,11),-0.774097 # DEPENDENCYPART_ARC
(4,12),-2.66034 # DEPENDENCYPART_ARC
(4,13),-0.963871 # DEPENDENCYPART_ARC
(4,14),-1.77587 # DEPENDENCYPART_ARC
(4,15),-3.45577 # DEPENDENCYPART_ARC
(4,16),-2.61596 # DEPENDENCYPART_ARC
(4,17),-1.56217 # DEPENDENCYPART_ARC
(4,18),-2.48808 # DEPENDENCYPART_ARC
(4,19),-0.948371 # DEPENDENCYPART_ARC
(4,20),-2.99767 # DEPENDENCYPART_ARC
(4,21),-0.655439 # DEPENDENCYPART_ARC
(4,22),-1.99825 # DEPENDENCYPART_ARC
(4,23),-2.8796 # DEPENDENCYPART_ARC
(4,24),-4.93678 # DEPENDENCYPART_ARC
(4,25),-0.93517 # DEPENDENCYPART_ARC
(4,26),-2.10885 # DEPENDENCYPART_ARC
(4,27),-7.19702 # DEPENDENCYPART_ARC
(4,28),-1.62256 # DEPENDENCYPART_ARC
(4,29),-0.127205 # DEPENDENCYPART_ARC
(5,1),0.265882 # DEPENDENCYPART_ARC
(5,2),-1.19668 # DEPENDENCYPART_ARC
(5,3),0.539837 # DEPENDENCYPART_ARC
(5,4),0.216318 # DEPENDENCYPART_ARC
(5,6),1.60467 # DEPENDENCYPART_ARC
(5,7),1.04457 # DEPENDENCYPART_ARC
(5,8),-0.248143 # DEPENDENCYPART_ARC
(5,9),-1.80792 # DEPENDENCYPART_ARC
(5,10),0.520772 # DEPENDENCYPART_ARC
(5,11),-0.17417 # DEPENDENCYPART_ARC
(5,12),-2.03997 # DEPENDENCYPART_ARC
(5,13),-1.43651 # DEPENDENCYPART_ARC
(5,14),-0.617979 # DEPENDENCYPART_ARC
(5,15),-1.72914 # DEPENDENCYPART_ARC
(5,16),-2.40288 # DEPENDENCYPART_ARC
(5,17),-2.09171 # DEPENDENCYPART_ARC
(5,18),-3.25143 # DEPENDENCYPART_ARC
(5,19),-1.96562 # DEPENDENCYPART_ARC
(5,20),-3.77549 # DEPENDENCYPART_ARC
(5,21),-1.87215 # DEPENDENCYPART_ARC
(5,22),-1.6736 # DEPENDENCYPART_ARC
(5,23),-1.81334 # DEPENDENCYPART_ARC
(5,24),-4.32259 # DEPENDENCYPART_ARC
(5,25),-2.48869 # DEPENDENCYPART_ARC
(5,26),-1.80134 # DEPENDENCYPART_ARC
(5,27),-4.27203 # DEPENDENCYPART_ARC
(5,28),-2.25866 # DEPENDENCYPART_ARC
(5,29),-2.12565 # DEPENDENCYPART_ARC
(6,1),-2.5847 # DEPENDENCYPART_ARC
(6,2),-2.89055 # DEPENDENCYPART_ARC
(6,3),-1.64219 # DEPENDENCYPART_ARC
(6,4),-2.12025 # DEPENDENCYPART_ARC
(6,5),-1.29405 # DEPENDENCYPART_ARC
(6,7),-1.38968 # DEPENDENCYPART_ARC
(6,8),-1.13641 # DEPENDENCYPART_ARC
(6,9),-2.14309 # DEPENDENCYPART_ARC
(6,10),-1.37269 # DEPENDENCYPART_ARC
(6,11),-2.33928 # DEPENDENCYPART_ARC
(6,12),-3.93505 # DEPENDENCYPART_ARC
(6,13),-3.63021 # DEPENDENCYPART_ARC
(6,14),-2.34019 # DEPENDENCYPART_ARC
(6,15),-2.95003 # DEPENDENCYPART_ARC
(6,16),-4.27662 # DEPENDENCYPART_ARC
(6,17),-4.44842 # DEPENDENCYPART_ARC
(6,18),-3.64515 # DEPENDENCYPART_ARC
(6,19),-4.6751 # DEPENDENCYPART_ARC
(6,20),-3.74451 # DEPENDENCYPART_ARC
(6,21),-4.90419 # DEPENDENCYPART_ARC
(6,22),-2.6365 # DEPENDENCYPART_ARC
(6,23),-4.00178 # DEPENDENCYPART_ARC
(6,24),-4.43369 # DEPENDENCYPART_ARC
(6,25),-5.3699 # DEPENDENCYPART_ARC
(6,26),-2.11399 # DEPENDENCYPART_ARC
(6,27),-4.85521 # DEPENDENCYPART_ARC
(6,28),-5.71476 # DEPENDENCYPART_ARC
(6,29),-2.42468 # DEPENDENCYPART_ARC
(7,1),-0.351088 # DEPENDENCYPART_ARC
(7,2),-0.976804 # DEPENDENCYPART_ARC
(7,3),-0.577947 # DEPENDENCYPART_ARC
(7,4),-0.359224 # DEPENDENCYPART_ARC
(7,5),0.133263 # DEPENDENCYPART_ARC
(7,6),0.624629 # DEPENDENCYPART_ARC
(7,8),4.72349 # DEPENDENCYPART_ARC
(7,9),0.864213 # DEPENDENCYPART_ARC
(7,10),0.210432 # DEPENDENCYPART_ARC
(7,11),0.011952 # DEPENDENCYPART_ARC
(7,12),-2.52162 # DEPENDENCYPART_ARC
(7,13),-2.29898 # DEPENDENCYPART_ARC
(7,14),-0.784272 # DEPENDENCYPART_ARC
(7,15),-3.04205 # DEPENDENCYPART_ARC
(7,16),-3.11658 # DEPENDENCYPART_ARC
(7,17),-6.38899 # DEPENDENCYPART_ARC
(7,18),-1.81677 # DEPENDENCYPART_ARC
(7,19),-6.58089 # DEPENDENCYPART_ARC
(7,20),-1.70808 # DEPENDENCYPART_ARC
(7,21),-6.40444 # DEPENDENCYPART_ARC
(7,22),-2.85447 # DEPENDENCYPART_ARC
(7,23),-2.15112 # DEPENDENCYPART_ARC
(7,24),-2.15618 # DEPENDENCYPART_ARC
(7,25),-8.63168 # DEPENDENCYPART_ARC
(7,26),-0.328609 # DEPENDENCYPART_ARC
(7,27),-1.31603 # DEPENDENCYPART_ARC
(7,28),-9.23503 # DEPENDENCYPART_ARC
(7,29),0.0355887 # DEPENDENCYPART_ARC
(8,1),1.09193 # DEPENDENCYPART_ARC
(8,2),-0.822081 # DEPENDENCYPART_ARC
(8,3),-0.576304 # DEPENDENCYPART_ARC
(8,4),0.0412785 # DEPENDENCYPART_ARC
(8,5),0.732592 # DEPENDENCYPART_ARC
(8,6),0.570227 # DEPENDENCYPART_ARC
(8,7),1.36424 # DEPENDENCYPART_ARC
(8,9),-0.442095 # DEPENDENCYPART_ARC
(8,10),1.59924 # DEPENDENCYPART_ARC
(8,11),1.88544 # DEPENDENCYPART_ARC
(8,12),-1.21214 # DEPENDENCYPART_ARC
(8,13),-0.138944 # DEPENDENCYPART_ARC
(8,14),-0.245035 # DEPENDENCYPART_ARC
(8,15),-0.414108 # DEPENDENCYPART_ARC
(8,16),-1.3436 # DEPENDENCYPART_ARC
(8,17),-0.860958 # DEPENDENCYPART_ARC
(8,18),-0.584213 # DEPENDENCYPART_ARC
(8,19),-0.444493 # DEPENDENCYPART_ARC
(8,20),-1.20389 # DEPENDENCYPART_ARC
(8,21),-0.178043 # DEPENDENCYPART_ARC
(8,22),-0.616506 # DEPENDENCYPART_ARC
(8,23),-1.46394 # DEPENDENCYPART_ARC
(8,24),-2.78111 # DEPENDENCYPART_ARC
(8,25),-0.591814 # DEPENDENCYPART_ARC
(8,26),-0.898632 # DEPENDENCYPART_ARC
(8,27),-4.04622 # DEPENDENCYPART_ARC
(8,28),-0.268225 # DEPENDENCYPART_ARC
(8,29),0.777854 # DEPENDENCYPART_ARC
(9,1),-3.65337 # DEPENDENCYPART_ARC
(9,2),-3.55923 # DEPENDENCYPART_ARC
(9,3),-1.80843 # DEPENDENCYPART_ARC
(9,4),-3.34643 # DEPENDENCYPART_ARC
(9,5),-3.12498 # DEPENDENCYPART_ARC
(9,6),-1.65344 # DEPENDENCYPART_ARC
(9,7),-0.968165 # DEPENDENCYPART_ARC
(9,8),-1.79923 # DEPENDENCYPART_ARC
(9,10),1.05779 # DEPENDENCYPART_ARC
(9,11),-1.03906 # DEPENDENCYPART_ARC
(9,12),-1.54489 # DEPENDENCYPART_ARC
(9,13),-1.29623 # DEPENDENCYPART_ARC
(9,14),-1.91719 # DEPENDENCYPART_ARC
(9,15),-1.31576 # DEPENDENCYPART_ARC
(9,16),-2.75223 # DEPENDENCYPART_ARC
(9,17),-3.01826 # DEPENDENCYPART_ARC
(9,18),-1.41628 # DEPENDENCYPART_ARC
(9,19),-3.1726 # DEPENDENCYPART_ARC
(9,20),-1.78783 # DEPENDENCYPART_ARC
(9,21),-2.49014 # DEPENDENCYPART_ARC
(9,22),-3.34146 # DEPENDENCYPART_ARC
(9,23),-3.41833 # DEPENDENCYPART_ARC
(9,24),-2.66203 # DEPENDENCYPART_ARC
(9,25),-3.73835 # DEPENDENCYPART_ARC
(9,26),-2.39237 # DEPENDENCYPART_ARC
(9,27),-2.86112 # DEPENDENCYPART_ARC
(9,28),-3.57502 # DEPENDENCYPART_ARC
(9,29),-1.40404 # DEPENDENCYPART_ARC
(10,1),-4.84217 # DEPENDENCYPART_ARC
(10,2),-3.53886 # DEPENDENCYPART_ARC
(10,3),-3.67625 # DEPENDENCYPART_ARC
(10,4),-3.67111 # DEPENDENCYPART_ARC
(10,5),-4.49773 # DEPENDENCYPART_ARC
(10,6),-3.43902 # DEPENDENCYPART_ARC
(10,7),-1.94004 # DEPENDENCYPART_ARC
(10,8),-2.78734 # DEPENDENCYPART_ARC
(10,9),1.59371 # DEPENDENCYPART_ARC
(10,11),0.695704 # DEPENDENCYPART_ARC
(10,12),-4.36893 # DEPENDENCYPART_ARC
(10,13),-0.89185 # DEPENDENCYPART_ARC
(10,14),-1.39077 # DEPENDENCYPART_ARC
(10,15),-1.53032 # DEPENDENCYPART_ARC
(10,16),-6.31219 # DEPENDENCYPART_ARC
(10,17),-2.63397 # DEPENDENCYPART_ARC
(10,18),-3.54936 # DEPENDENCYPART_ARC
(10,19),-3.66173 # DEPENDENCYPART_ARC
(10,20),-3.69254 # DEPENDENCYPART_ARC
(10,21),-2.91795 # DEPENDENCYPART_ARC
(10,22),-2.82818 # DEPENDENCYPART_ARC
(10,23),-4.14848 # DEPENDENCYPART_ARC
(10,24),-5.11828 # DEPENDENCYPART_ARC
(10,25),-4.05357 # DEPENDENCYPART_ARC
(10,26),-2.30402 # DEPENDENCYPART_ARC
(10,27),-5.4505 # DEPENDENCYPART_ARC
(10,28),-4.60408 # DEPENDENCYPART_ARC
(10,29),-0.313412 # DEPENDENCYPART_ARC
(11,1),-0.705468 # DEPENDENCYPART_ARC
(11,2),0.805241 # DEPENDENCYPART_ARC
(11,3),-1.11701 # DEPENDENCYPART_ARC
(11,4),0.366548 # DEPENDENCYPART_ARC
(11,5),0.0939142 # DEPENDENCYPART_ARC
(11,6),-0.255252 # DEPENDENCYPART_ARC
(11,7),0.927211 # DEPENDENCYPART_ARC
(11,8),0.985739 # DEPENDENCYPART_ARC
(11,9),4.42046 # DEPENDENCYPART_ARC
(11,10),6.2846 # DEPENDENCYPART_ARC
(11,12),-0.779387 # DEPENDENCYPART_ARC
(11,13),3.80119 # DEPENDENCYPART_ARC
(11,14),1.82603 # DEPENDENCYPART_ARC
(11,15),1.61823 # DEPENDENCYPART_ARC
(11,16),-2.94907 # DEPENDENCYPART_ARC
(11,17),0.858049 # DEPENDENCYPART_ARC
(11,18),0.110447 # DEPENDENCYPART_ARC
(11,19),-0.121657 # DEPENDENCYPART_ARC
(11,20),-0.00492423 # DEPENDENCYPART_ARC
(11,21),0.291679 # DEPENDENCYPART_ARC
(11,22),-0.213143 # DEPENDENCYPART_ARC
(11,23),-0.553778 # DEPENDENCYPART_ARC
(11,24),-1.30234 # DEPENDENCYPART_ARC
(11,25),-0.592772 # DEPENDENCYPART_ARC
(11,26),-0.642066 # DEPENDENCYPART_ARC
(11,27),-2.1009 # DEPENDENCYPART_ARC
(11,28),-0.972266 # DEPENDENCYPART_ARC
(11,29),5.16371 # DEPENDENCYPART_ARC
(12,1),-2.63495 # DEPENDENCYPART_ARC
(12,2),-3.13745 # DEPENDENCYPART_ARC
(12,3),-2.5015 # DEPENDENCYPART_ARC
(12,4),-3.00914 # DEPENDENCYPART_ARC
(12,5),-3.42725 # DEPENDENCYPART_ARC
(12,6),-2.26191 # DEPENDENCYPART_ARC
(12,7),-2.09736 # DEPENDENCYPART_ARC
(12,8),-2.56578 # DEPENDENCYPART_ARC
(12,9),-2.26783 # DEPENDENCYPART_ARC
(12,10),-0.50284 # DEPENDENCYPART_ARC
(12,11),-0.905153 # DEPENDENCYPART_ARC
(12,13),0.989002 # DEPENDENCYPART_ARC
(12,14),-0.567799 # DEPENDENCYPART_ARC
(12,15),-0.745608 # DEPENDENCYPART_ARC
(12,16),-1.73545 # DEPENDENCYPART_ARC
(12,17),-1.44302 # DEPENDENCYPART_ARC
(12,18),-1.9594 # DEPENDENCYPART_ARC
(12,19),-2.5441 # DEPENDENCYPART_ARC
(12,20),-2.42182 # DEPENDENCYPART_ARC
(12,21),-3.11071 # DEPENDENCYPART_ARC
(12,22),-2.70036 # DEPENDENCYPART_ARC
(12,23),-2.04132 # DEPENDENCYPART_ARC
(12,24),-2.68721 # DEPENDENCYPART_ARC
(12,25),-3.69059 # DEPENDENCYPART_ARC
(12,26),-2.68345 # DEPENDENCYPART_ARC
(12,27),-3.17261 # DEPENDENCYPART_ARC
(12,28),-3.93679 # DEPENDENCYPART_ARC
(12,29),-2.83152 # DEPENDENCYPART_ARC
(13,1),-1.88217 # DEPENDENCYPART_ARC
(13,2),-2.21754 # DEPENDENCYPART_ARC
(13,3),-0.850367 # DEPENDENCYPART_ARC
(13,4),-1.08191 # DEPENDENCYPART_ARC
(13,5),-2.07027 # DEPENDENCYPART_ARC
(13,6),-0.572603 # DEPENDENCYPART_ARC
(13,7),-0.253652 # DEPENDENCYPART_ARC
(13,8),-0.620779 # DEPENDENCYPART_ARC
(13,9),1.47563 # DEPENDENCYPART_ARC
(13,10),0.604177 # DEPENDENCYPART_ARC
(13,11),0.507985 # DEPENDENCYPART_ARC
(13,12),5.09328 # DEPENDENCYPART_ARC
(13,14),0.0735996 # DEPENDENCYPART_ARC
(13,15),1.46737 # DEPENDENCYPART_ARC
(13,16),-2.27483 # DEPENDENCYPART_ARC
(13,17),-0.839083 # DEPENDENCYPART_ARC
(13,18),-0.166197 # DEPENDENCYPART_ARC
(13,19),-1.15374 # DEPENDENCYPART_ARC
(13,20),-0.688622 # DEPENDENCYPART_ARC
(13,21),-0.262322 # DEPENDENCYPART_ARC
(13,22),-1.10889 # DEPENDENCYPART_ARC
(13,23),-1.94999 # DEPENDENCYPART_ARC
(13,24),-2.42566 # DEPENDENCYPART_ARC
(13,25),-1.35882 # DEPENDENCYPART_ARC
(13,26),-1.5956 # DEPENDENCYPART_ARC
(13,27),-3.8602 # DEPENDENCYPART_ARC
(13,28),-1.23312 # DEPENDENCYPART_ARC
(13,29),1.56272 # DEPENDENCYPART_ARC
(14,1),-3.68614 # DEPENDENCYPART_ARC
(14,2),-3.82161 # DEPENDENCYPART_ARC
(14,3),-2.95985 # DEPENDENCYPART_ARC
(14,4),-3.49584 # DEPENDENCYPART_ARC
(14,5),-2.90967 # DEPENDENCYPART_ARC
(14,6),-2.84142 # DEPENDENCYPART_ARC
(14,7),-2.78505 # DEPENDENCYPART_ARC
(14,8),-3.48134 # DEPENDENCYPART_ARC
(14,9),-2.88599 # DEPENDENCYPART_ARC
(14,10),-3.05051 # DEPENDENCYPART_ARC
(14,11),-2.6346 # DEPENDENCYPART_ARC
(14,12),-1.41463 # DEPENDENCYPART_ARC
(14,13),-1.66857 # DEPENDENCYPART_ARC
(14,15),-0.739178 # DEPENDENCYPART_ARC
(14,16),-2.25673 # DEPENDENCYPART_ARC
(14,17),-1.99677 # DEPENDENCYPART_ARC
(14,18),-2.26187 # DEPENDENCYPART_ARC
(14,19),-2.3409 # DEPENDENCYPART_ARC
(14,20),-2.23025 # DEPENDENCYPART_ARC
(14,21),-2.52795 # DEPENDENCYPART_ARC
(14,22),-2.16504 # DEPENDENCYPART_ARC
(14,23),-2.58622 # DEPENDENCYPART_ARC
(14,24),-2.34907 # DEPENDENCYPART_ARC
(14,25),-2.62061 # DEPENDENCYPART_ARC
(14,26),-1.45163 # DEPENDENCYPART_ARC
(14,27),-2.2006 # DEPENDENCYPART_ARC
(14,28),-2.60667 # DEPENDENCYPART_ARC
(14,29),-1.97299 # DEPENDENCYPART_ARC
(15,1),-2.40688 # DEPENDENCYPART_ARC
(15,2),-0.192647 # DEPENDENCYPART_ARC
(15,3),-1.88098 # DEPENDENCYPART_ARC
(15,4),-0.46941 # DEPENDENCYPART_ARC
(15,5),-1.29369 # DEPENDENCYPART_ARC
(15,6),-1.00853 # DEPENDENCYPART_ARC
(15,7),-0.273561 # DEPENDENCYPART_ARC
(15,8),-0.0690392 # DEPENDENCYPART_ARC
(15,9),2.701 # DEPENDENCYPART_ARC
(15,10),2.66383 # DEPENDENCYPART_ARC
(15,11),0.511517 # DEPENDENCYPART_ARC
(15,12),1.21213 # DEPENDENCYPART_ARC
(15,13),2.61948 # DEPENDENCYPART_ARC
(15,14),1.17096 # DEPENDENCYPART_ARC
(15,16),-1.26531 # DEPENDENCYPART_ARC
(15,17),3.63177 # DEPENDENCYPART_ARC
(15,18),1.31124 # DEPENDENCYPART_ARC
(15,19),1.38038 # DEPENDENCYPART_ARC
(15,20),0.901862 # DEPENDENCYPART_ARC
(15,21),1.45966 # DEPENDENCYPART_ARC
(15,22),1.16953 # DEPENDENCYPART_ARC
(15,23),0.0775735 # DEPENDENCYPART_ARC
(15,24),-0.881268 # DEPENDENCYPART_ARC
(15,25),0.0970584 # DEPENDENCYPART_ARC
(15,26),1.17768 # DEPENDENCYPART_ARC
(15,27),-1.21899 # DEPENDENCYPART_ARC
(15,28),-0.1427 # DEPENDENCYPART_ARC
(15,29),5.01435 # DEPENDENCYPART_ARC
(16,1),-3.32498 # DEPENDENCYPART_ARC
(16,2),-3.83763 # DEPENDENCYPART_ARC
(16,3),-3.20742 # DEPENDENCYPART_ARC
(16,4),-3.70236 # DEPENDENCYPART_ARC
(16,5),-3.66175 # DEPENDENCYPART_ARC
(16,6),-2.75164 # DEPENDENCYPART_ARC
(16,7),-3.08942 # DEPENDENCYPART_ARC
(16,8),-3.47146 # DEPENDENCYPART_ARC
(16,9),-3.33337 # DEPENDENCYPART_ARC
(16,10),-3.48701 # DEPENDENCYPART_ARC
(16,11),-3.86114 # DEPENDENCYPART_ARC
(16,12),-1.39245 # DEPENDENCYPART_ARC
(16,13),-2.68468 # DEPENDENCYPART_ARC
(16,14),-1.35062 # DEPENDENCYPART_ARC
(16,15),-1.10116 # DEPENDENCYPART_ARC
(16,17),2.64601 # DEPENDENCYPART_ARC
(16,18),0.736644 # DEPENDENCYPART_ARC
(16,19),-0.248303 # DEPENDENCYPART_ARC
(16,20),-0.691559 # DEPENDENCYPART_ARC
(16,21),-1.97567 # DEPENDENCYPART_ARC
(16,22),-2.43902 # DEPENDENCYPART_ARC
(16,23),-1.74211 # DEPENDENCYPART_ARC
(16,24),-1.26997 # DEPENDENCYPART_ARC
(16,25),-2.38136 # DEPENDENCYPART_ARC
(16,26),-2.60713 # DEPENDENCYPART_ARC
(16,27),-1.84235 # DEPENDENCYPART_ARC
(16,28),-2.8393 # DEPENDENCYPART_ARC
(16,29),-2.85897 # DEPENDENCYPART_ARC
(17,1),-3.55417 # DEPENDENCYPART_ARC
(17,2),-1.90738 # DEPENDENCYPART_ARC
(17,3),-1.75116 # DEPENDENCYPART_ARC
(17,4),-1.39359 # DEPENDENCYPART_ARC
(17,5),-1.71082 # DEPENDENCYPART_ARC
(17,6),-0.888886 # DEPENDENCYPART_ARC
(17,7),-0.98127 # DEPENDENCYPART_ARC
(17,8),-1.06549 # DEPENDENCYPART_ARC
(17,9),0.240713 # DEPENDENCYPART_ARC
(17,10),-1.79104 # DEPENDENCYPART_ARC
(17,11),-1.7395 # DEPENDENCYPART_ARC
(17,12),-0.523831 # DEPENDENCYPART_ARC
(17,13),-1.00065 # DEPENDENCYPART_ARC
(17,14),0.268199 # DEPENDENCYPART_ARC
(17,15),0.796067 # DEPENDENCYPART_ARC
(17,16),5.0357 # DEPENDENCYPART_ARC
(17,18),3.5493 # DEPENDENCYPART_ARC
(17,19),1.20112 # DEPENDENCYPART_ARC
(17,20),2.04106 # DEPENDENCYPART_ARC
(17,21),0.814413 # DEPENDENCYPART_ARC
(17,22),0.128121 # DEPENDENCYPART_ARC
(17,23),-0.0202875 # DEPENDENCYPART_ARC
(17,24),-0.216917 # DEPENDENCYPART_ARC
(17,25),0.191649 # DEPENDENCYPART_ARC
(17,26),-0.236358 # DEPENDENCYPART_ARC
(17,27),-1.78012 # DEPENDENCYPART_ARC
(17,28),0.182742 # DEPENDENCYPART_ARC
(17,29),1.56924 # DEPENDENCYPART_ARC
(18,1),-1.60806 # DEPENDENCYPART_ARC
