# _root_ La majoria dels treballs presentats són de centres de la comarca d' Osona -Fpa- 39 -Fpt- , seguits dels 18 de La_Selva i La_Garrotxa , dels 15 del Bages i de 7 del Vallès_Oriental .
#goldHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,2,15,18,2,18,19,20,21,22,22,19,19,26,27,28,19,19,31,32,33,6,
#predictedHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,6,15,18,8,18,19,20,21,22,22,18,32,26,27,28,6,32,6,32,33,6,
(1,31),-5.29671 # DEPENDENCYPART_ARC
(1,32),-4.90768 # DEPENDENCYPART_ARC
(1,33),-5.60201 # DEPENDENCYPART_ARC
(1,34),-5.52312 # DEPENDENCYPART_ARC
(1,35),-4.82059 # DEPENDENCYPART_ARC
(2,1),4.99278 # DEPENDENCYPART_ARC
(2,3),3.72149 # DEPENDENCYPART_ARC
(2,4),1.2087 # DEPENDENCYPART_ARC
(2,5),-0.401682 # DEPENDENCYPART_ARC
(2,6),1.50971 # DEPENDENCYPART_ARC
(2,7),0.181734 # DEPENDENCYPART_ARC
(2,8),-0.892241 # DEPENDENCYPART_ARC
(2,9),-0.110817 # DEPENDENCYPART_ARC
(2,10),-1.62693 # DEPENDENCYPART_ARC
(2,11),0.00241045 # DEPENDENCYPART_ARC
(2,12),-0.682685 # DEPENDENCYPART_ARC
(2,13),-0.94347 # DEPENDENCYPART_ARC
(2,14),0.0497839 # DEPENDENCYPART_ARC
(2,15),0.481277 # DEPENDENCYPART_ARC
(2,16),-0.403019 # DEPENDENCYPART_ARC
(2,17),-0.509923 # DEPENDENCYPART_ARC
(2,18),-2.02154 # DEPENDENCYPART_ARC
(2,19),-2.127 # DEPENDENCYPART_ARC
(2,20),-0.548191 # DEPENDENCYPART_ARC
(2,21),-3.55923 # DEPENDENCYPART_ARC
(2,22),-1.68358 # DEPENDENCYPART_ARC
(2,23),0.520796 # DEPENDENCYPART_ARC
(2,24),-0.616724 # DEPENDENCYPART_ARC
(2,25),-1.50113 # DEPENDENCYPART_ARC
(2,26),-4.42166 # DEPENDENCYPART_ARC
(2,27),-1.25602 # DEPENDENCYPART_ARC
(2,28),-4.72991 # DEPENDENCYPART_ARC
(2,29),-2.2972 # DEPENDENCYPART_ARC
(2,30),-1.41212 # DEPENDENCYPART_ARC
(2,31),-8.32216 # DEPENDENCYPART_ARC
(2,32),-0.776282 # DEPENDENCYPART_ARC
(2,33),-6.23965 # DEPENDENCYPART_ARC
(2,34),-4.84216 # DEPENDENCYPART_ARC
(2,35),0.316001 # DEPENDENCYPART_ARC
(3,1),1.62122 # DEPENDENCYPART_ARC
(3,2),0.850119 # DEPENDENCYPART_ARC
(3,4),5.01254 # DEPENDENCYPART_ARC
(3,5),1.20317 # DEPENDENCYPART_ARC
(3,6),0.74489 # DEPENDENCYPART_ARC
(3,7),-0.485664 # DEPENDENCYPART_ARC
(3,8),0.372769 # DEPENDENCYPART_ARC
(3,9),-0.753783 # DEPENDENCYPART_ARC
(3,10),-4.19347 # DEPENDENCYPART_ARC
(3,11),-3.42089 # DEPENDENCYPART_ARC
(3,12),-1.58399 # DEPENDENCYPART_ARC
(3,13),-3.80075 # DEPENDENCYPART_ARC
(3,14),-1.42114 # DEPENDENCYPART_ARC
(3,15),-3.26221 # DEPENDENCYPART_ARC
(3,16),-1.53172 # DEPENDENCYPART_ARC
(3,17),-0.974744 # DEPENDENCYPART_ARC
(3,18),-2.65142 # DEPENDENCYPART_ARC
(3,19),-1.95303 # DEPENDENCYPART_ARC
(3,20),-3.89238 # DEPENDENCYPART_ARC
(3,21),-1.36396 # DEPENDENCYPART_ARC
(3,22),-6.75008 # DEPENDENCYPART_ARC
(3,23),-0.709469 # DEPENDENCYPART_ARC
(3,24),-8.64339 # DEPENDENCYPART_ARC
(3,25),-0.223416 # DEPENDENCYPART_ARC
(3,26),-1.28152 # DEPENDENCYPART_ARC
(3,27),-5.33502 # DEPENDENCYPART_ARC
(3,28),-1.95759 # DEPENDENCYPART_ARC
(3,29),-9.76841 # DEPENDENCYPART_ARC
(3,30),0.319088 # DEPENDENCYPART_ARC
(3,31),-0.679996 # DEPENDENCYPART_ARC
(3,32),-5.50397 # DEPENDENCYPART_ARC
(3,33),-2.27302 # DEPENDENCYPART_ARC
(3,34),-10.6909 # DEPENDENCYPART_ARC
(3,35),-0.517831 # DEPENDENCYPART_ARC
(4,1),1.33516 # DEPENDENCYPART_ARC
(4,2),-1.60902 # DEPENDENCYPART_ARC
(4,3),0.507292 # DEPENDENCYPART_ARC
(4,5),4.64422 # DEPENDENCYPART_ARC
(4,6),1.37011 # DEPENDENCYPART_ARC
(4,7),0.0219884 # DEPENDENCYPART_ARC
(4,8),-0.656466 # DEPENDENCYPART_ARC
(4,9),-0.324963 # DEPENDENCYPART_ARC
(4,10),-3.31363 # DEPENDENCYPART_ARC
(4,11),-2.23056 # DEPENDENCYPART_ARC
(4,12),-0.397937 # DEPENDENCYPART_ARC
(4,13),-1.48271 # DEPENDENCYPART_ARC
(4,14),-1.50801 # DEPENDENCYPART_ARC
(4,15),-1.3667 # DEPENDENCYPART_ARC
(4,16),-1.80662 # DEPENDENCYPART_ARC
(4,17),-1.93844 # DEPENDENCYPART_ARC
(4,18),1.04941 # DEPENDENCYPART_ARC
(4,19),-2.40285 # DEPENDENCYPART_ARC
(4,20),-2.49722 # DEPENDENCYPART_ARC
(4,21),-3.2738 # DEPENDENCYPART_ARC
(4,22),-2.62452 # DEPENDENCYPART_ARC
(4,23),-0.913181 # DEPENDENCYPART_ARC
(4,24),-1.40912 # DEPENDENCYPART_ARC
(4,25),-2.92727 # DEPENDENCYPART_ARC
(4,26),-4.1066 # DEPENDENCYPART_ARC
(4,27),-3.50636 # DEPENDENCYPART_ARC
(4,28),-3.82053 # DEPENDENCYPART_ARC
(4,29),-3.47974 # DEPENDENCYPART_ARC
(4,30),-4.11334 # DEPENDENCYPART_ARC
(4,31),-8.07518 # DEPENDENCYPART_ARC
(4,32),-3.43723 # DEPENDENCYPART_ARC
(4,33),-4.71973 # DEPENDENCYPART_ARC
(4,34),-5.99967 # DEPENDENCYPART_ARC
(4,35),-1.19808 # DEPENDENCYPART_ARC
(5,1),0.278878 # DEPENDENCYPART_ARC
(5,2),-0.184002 # DEPENDENCYPART_ARC
(5,3),-0.377397 # DEPENDENCYPART_ARC
(5,4),0.572487 # DEPENDENCYPART_ARC
(5,6),0.456147 # DEPENDENCYPART_ARC
(5,7),0.44506 # DEPENDENCYPART_ARC
(5,8),0.00472375 # DEPENDENCYPART_ARC
(5,9),-0.609228 # DEPENDENCYPART_ARC
(5,10),-3.9432 # DEPENDENCYPART_ARC
(5,11),-1.25021 # DEPENDENCYPART_ARC
(5,12),-1.11219 # DEPENDENCYPART_ARC
(5,13),-1.07046 # DEPENDENCYPART_ARC
(5,14),-1.99973 # DEPENDENCYPART_ARC
(5,15),-2.09562 # DEPENDENCYPART_ARC
(5,16),-1.78226 # DEPENDENCYPART_ARC
(5,17),-1.3667 # DEPENDENCYPART_ARC
(5,18),-1.31948 # DEPENDENCYPART_ARC
(5,19),-3.32676 # DEPENDENCYPART_ARC
(5,20),-2.55276 # DEPENDENCYPART_ARC
(5,21),-3.1146 # DEPENDENCYPART_ARC
(5,22),-2.03162 # DEPENDENCYPART_ARC
(5,23),-1.11898 # DEPENDENCYPART_ARC
(5,24),-2.14384 # DEPENDENCYPART_ARC
(5,25),-2.62969 # DEPENDENCYPART_ARC
(5,26),-5.26588 # DEPENDENCYPART_ARC
(5,27),-3.01021 # DEPENDENCYPART_ARC
(5,28),-4.38275 # DEPENDENCYPART_ARC
(5,29),-2.82569 # DEPENDENCYPART_ARC
(5,30),-1.87255 # DEPENDENCYPART_ARC
(5,31),-5.19598 # DEPENDENCYPART_ARC
(5,32),-3.26598 # DEPENDENCYPART_ARC
(5,33),-5.3042 # DEPENDENCYPART_ARC
(5,34),-2.77143 # DEPENDENCYPART_ARC
(5,35),-3.75479 # DEPENDENCYPART_ARC
(6,1),-1.00435 # DEPENDENCYPART_ARC
(6,2),1.6687 # DEPENDENCYPART_ARC
(6,3),-0.472431 # DEPENDENCYPART_ARC
(6,4),1.7976 # DEPENDENCYPART_ARC
(6,5),1.95131 # DEPENDENCYPART_ARC
(6,7),2.25351 # DEPENDENCYPART_ARC
(6,8),3.05171 # DEPENDENCYPART_ARC
(6,9),1.07621 # DEPENDENCYPART_ARC
(6,10),-2.55831 # DEPENDENCYPART_ARC
(6,11),1.79259 # DEPENDENCYPART_ARC
(6,12),0.612352 # DEPENDENCYPART_ARC
(6,13),0.1083 # DEPENDENCYPART_ARC
(6,14),0.800843 # DEPENDENCYPART_ARC
(6,15),1.31503 # DEPENDENCYPART_ARC
(6,16),1.21356 # DEPENDENCYPART_ARC
(6,17),1.44934 # DEPENDENCYPART_ARC
(6,18),1.14969 # DEPENDENCYPART_ARC
(6,19),-0.873655 # DEPENDENCYPART_ARC
(6,20),0.616598 # DEPENDENCYPART_ARC
(6,21),-0.829336 # DEPENDENCYPART_ARC
(6,22),-0.900702 # DEPENDENCYPART_ARC
(6,23),2.38302 # DEPENDENCYPART_ARC
(6,24),-0.865723 # DEPENDENCYPART_ARC
(6,25),0.794027 # DEPENDENCYPART_ARC
(6,26),-1.25479 # DEPENDENCYPART_ARC
(6,27),0.403872 # DEPENDENCYPART_ARC
(6,28),-2.58204 # DEPENDENCYPART_ARC
(6,29),-1.70581 # DEPENDENCYPART_ARC
(6,30),2.22552 # DEPENDENCYPART_ARC
(6,31),-1.23017 # DEPENDENCYPART_ARC
(6,32),2.42935 # DEPENDENCYPART_ARC
(6,33),-3.05026 # DEPENDENCYPART_ARC
(6,34),-3.19196 # DEPENDENCYPART_ARC
(6,35),7.7108 # DEPENDENCYPART_ARC
(7,1),-1.02342 # DEPENDENCYPART_ARC
(7,2),-1.551 # DEPENDENCYPART_ARC
(7,3),-1.3924 # DEPENDENCYPART_ARC
(7,4),-1.35804 # DEPENDENCYPART_ARC
(7,5),-0.782901 # DEPENDENCYPART_ARC
(7,6),1.00289 # DEPENDENCYPART_ARC
(7,8),5.28122 # DEPENDENCYPART_ARC
(7,9),0.895765 # DEPENDENCYPART_ARC
(7,10),-1.89647 # DEPENDENCYPART_ARC
(7,11),0.660248 # DEPENDENCYPART_ARC
(7,12),0.0845874 # DEPENDENCYPART_ARC
(7,13),-0.623224 # DEPENDENCYPART_ARC
(7,14),-0.654733 # DEPENDENCYPART_ARC
(7,15),-1.56156 # DEPENDENCYPART_ARC
(7,16),-0.820521 # DEPENDENCYPART_ARC
(7,17),-0.213946 # DEPENDENCYPART_ARC
(7,18),-1.89655 # DEPENDENCYPART_ARC
(7,19),-0.849694 # DEPENDENCYPART_ARC
(7,20),-2.47854 # DEPENDENCYPART_ARC
(7,21),-0.213556 # DEPENDENCYPART_ARC
(7,22),-3.37271 # DEPENDENCYPART_ARC
(7,23),0.179818 # DEPENDENCYPART_ARC
(7,24),-5.73826 # DEPENDENCYPART_ARC
(7,25),-0.0981564 # DEPENDENCYPART_ARC
(7,26),-0.453797 # DEPENDENCYPART_ARC
(7,27),-3.88016 # DEPENDENCYPART_ARC
(7,28),-0.627263 # DEPENDENCYPART_ARC
(7,29),-6.43212 # DEPENDENCYPART_ARC
(7,30),1.22857 # DEPENDENCYPART_ARC
(7,31),-0.250318 # DEPENDENCYPART_ARC
(7,32),-4.10849 # DEPENDENCYPART_ARC
(7,33),-1.1917 # DEPENDENCYPART_ARC
(7,34),-7.61535 # DEPENDENCYPART_ARC
(7,35),-1.00001 # DEPENDENCYPART_ARC
(8,1),-0.893675 # DEPENDENCYPART_ARC
(8,2),-2.43135 # DEPENDENCYPART_ARC
(8,3),-1.39479 # DEPENDENCYPART_ARC
(8,4),-0.82456 # DEPENDENCYPART_ARC
(8,5),-0.772922 # DEPENDENCYPART_ARC
(8,6),0.675673 # DEPENDENCYPART_ARC
(8,7),1.11655 # DEPENDENCYPART_ARC
(8,9),3.15018 # DEPENDENCYPART_ARC
(8,10),-1.51583 # DEPENDENCYPART_ARC
(8,11),0.524186 # DEPENDENCYPART_ARC
(8,12),2.0882 # DEPENDENCYPART_ARC
(8,13),0.432202 # DEPENDENCYPART_ARC
(8,14),-0.052572 # DEPENDENCYPART_ARC
(8,15),0.256618 # DEPENDENCYPART_ARC
(8,16),-0.411389 # DEPENDENCYPART_ARC
(8,17),-0.240548 # DEPENDENCYPART_ARC
(8,18),1.87691 # DEPENDENCYPART_ARC
(8,19),-0.137609 # DEPENDENCYPART_ARC
(8,20),-1.14017 # DEPENDENCYPART_ARC
(8,21),-0.303133 # DEPENDENCYPART_ARC
(8,22),-1.03762 # DEPENDENCYPART_ARC
(8,23),1.1346 # DEPENDENCYPART_ARC
(8,24),0.137919 # DEPENDENCYPART_ARC
(8,25),-1.04575 # DEPENDENCYPART_ARC
(8,26),-1.94789 # DEPENDENCYPART_ARC
(8,27),-1.83167 # DEPENDENCYPART_ARC
(8,28),-1.12483 # DEPENDENCYPART_ARC
(8,29),-1.90463 # DEPENDENCYPART_ARC
(8,30),-1.88641 # DEPENDENCYPART_ARC
(8,31),-4.5189 # DEPENDENCYPART_ARC
(8,32),-2.10203 # DEPENDENCYPART_ARC
(8,33),-2.32415 # DEPENDENCYPART_ARC
(8,34),-4.23453 # DEPENDENCYPART_ARC
(8,35),-0.145484 # DEPENDENCYPART_ARC
(9,1),-1.22738 # DEPENDENCYPART_ARC
(9,2),-1.9252 # DEPENDENCYPART_ARC
(9,3),-1.76797 # DEPENDENCYPART_ARC
(9,4),-1.69642 # DEPENDENCYPART_ARC
(9,5),-1.38339 # DEPENDENCYPART_ARC
(9,6),0.0478445 # DEPENDENCYPART_ARC
(9,7),0.188452 # DEPENDENCYPART_ARC
(9,8),0.329075 # DEPENDENCYPART_ARC
(9,10),0.149073 # DEPENDENCYPART_ARC
(9,11),4.74204 # DEPENDENCYPART_ARC
(9,12),0.123801 # DEPENDENCYPART_ARC
(9,13),1.07229 # DEPENDENCYPART_ARC
(9,14),-0.669705 # DEPENDENCYPART_ARC
(9,15),-0.471883 # DEPENDENCYPART_ARC
(9,16),-0.701052 # DEPENDENCYPART_ARC
(9,17),-0.232988 # DEPENDENCYPART_ARC
(9,18),-0.9165 # DEPENDENCYPART_ARC
(9,19),-0.798477 # DEPENDENCYPART_ARC
(9,20),-1.61249 # DEPENDENCYPART_ARC
(9,21),-0.529014 # DEPENDENCYPART_ARC
(9,22),-2.24163 # DEPENDENCYPART_ARC
(9,23),0.401841 # DEPENDENCYPART_ARC
(9,24),-4.11361 # DEPENDENCYPART_ARC
(9,25),-0.035528 # DEPENDENCYPART_ARC
(9,26),-0.146868 # DEPENDENCYPART_ARC
(9,27),-2.96928 # DEPENDENCYPART_ARC
(9,28),-0.756666 # DEPENDENCYPART_ARC
(9,29),-5.46598 # DEPENDENCYPART_ARC
(9,30),1.53116 # DEPENDENCYPART_ARC
(9,31),0.0823145 # DEPENDENCYPART_ARC
(9,32),-3.17422 # DEPENDENCYPART_ARC
(9,33),-1.36306 # DEPENDENCYPART_ARC
(9,34),-6.39155 # DEPENDENCYPART_ARC
(9,35),-1.29059 # DEPENDENCYPART_ARC
(10,1),-2.16614 # DEPENDENCYPART_ARC
(10,2),-2.21644 # DEPENDENCYPART_ARC
(10,3),-1.38673 # DEPENDENCYPART_ARC
(10,4),-2.27167 # DEPENDENCYPART_ARC
(10,5),-1.91993 # DEPENDENCYPART_ARC
(10,6),-1.53808 # DEPENDENCYPART_ARC
(10,7),-0.67414 # DEPENDENCYPART_ARC
(10,8),-0.810188 # DEPENDENCYPART_ARC
(10,9),0.632058 # DEPENDENCYPART_ARC
(10,11),3.08456 # DEPENDENCYPART_ARC
(10,12),0.43945 # DEPENDENCYPART_ARC
(10,13),-1.60366 # DEPENDENCYPART_ARC
(10,14),-1.57128 # DEPENDENCYPART_ARC
(10,15),-1.10469 # DEPENDENCYPART_ARC
(10,16),-1.92043 # DEPENDENCYPART_ARC
(10,17),-2.23038 # DEPENDENCYPART_ARC
(10,18),-5.05055 # DEPENDENCYPART_ARC
(10,19),-1.7992 # DEPENDENCYPART_ARC
(10,20),-1.83372 # DEPENDENCYPART_ARC
(10,21),-2.67272 # DEPENDENCYPART_ARC
(10,22),-3.24648 # DEPENDENCYPART_ARC
(10,23),-2.73272 # DEPENDENCYPART_ARC
(10,24),-3.52359 # DEPENDENCYPART_ARC
(10,25),-3.20403 # DEPENDENCYPART_ARC
(10,26),-2.70536 # DEPENDENCYPART_ARC
(10,27),-3.07771 # DEPENDENCYPART_ARC
(10,28),-3.68069 # DEPENDENCYPART_ARC
(10,29),-3.87089 # DEPENDENCYPART_ARC
(10,30),-3.49246 # DEPENDENCYPART_ARC
(10,31),-4.15677 # DEPENDENCYPART_ARC
(10,32),-4.00321 # DEPENDENCYPART_ARC
(10,33),-4.40871 # DEPENDENCYPART_ARC
(10,34),-4.47075 # DEPENDENCYPART_ARC
(10,35),-3.88333 # DEPENDENCYPART_ARC
(11,1),-1.60783 # DEPENDENCYPART_ARC
(11,2),-1.90546 # DEPENDENCYPART_ARC
(11,3),-1.91663 # DEPENDENCYPART_ARC
(11,4),-1.76392 # DEPENDENCYPART_ARC
(11,5),-2.70871 # DEPENDENCYPART_ARC
(11,6),-1.43958 # DEPENDENCYPART_ARC
(11,7),-1.27178 # DEPENDENCYPART_ARC
(11,8),-0.669347 # DEPENDENCYPART_ARC
(11,9),0.141118 # DEPENDENCYPART_ARC
(11,10),4.67934 # DEPENDENCYPART_ARC
(11,12),3.0125 # DEPENDENCYPART_ARC
(11,13),0.865447 # DEPENDENCYPART_ARC
(11,14),0.19922 # DEPENDENCYPART_ARC
(11,15),0.39408 # DEPENDENCYPART_ARC
(11,16),0.262753 # DEPENDENCYPART_ARC
(11,17),0.125429 # DEPENDENCYPART_ARC
(11,18),-1.14511 # DEPENDENCYPART_ARC
(11,19),0.206624 # DEPENDENCYPART_ARC
(11,20),-1.20465 # DEPENDENCYPART_ARC
(11,21),-0.439579 # DEPENDENCYPART_ARC
(11,22),-1.04458 # DEPENDENCYPART_ARC
(11,23),0.394479 # DEPENDENCYPART_ARC
(11,24),-0.145813 # DEPENDENCYPART_ARC
(11,25),-0.513795 # DEPENDENCYPART_ARC
(11,26),-1.72834 # DEPENDENCYPART_ARC
(11,27),-1.93548 # DEPENDENCYPART_ARC
(11,28),-1.35753 # DEPENDENCYPART_ARC
(11,29),-1.50356 # DEPENDENCYPART_ARC
(11,30),-1.84793 # DEPENDENCYPART_ARC
(11,31),-4.66025 # DEPENDENCYPART_ARC
(11,32),-2.2428 # DEPENDENCYPART_ARC
(11,33),-2.74626 # DEPENDENCYPART_ARC
(11,34),-3.67046 # DEPENDENCYPART_ARC
(11,35),0.748487 # DEPENDENCYPART_ARC
(12,1),-1.35424 # DEPENDENCYPART_ARC
(12,2),-1.91625 # DEPENDENCYPART_ARC
(12,3),-2.75267 # DEPENDENCYPART_ARC
(12,4),-1.98652 # DEPENDENCYPART_ARC
(12,5),-1.69527 # DEPENDENCYPART_ARC
(12,6),-0.649421 # DEPENDENCYPART_ARC
(12,7),-1.38787 # DEPENDENCYPART_ARC
(12,8),-1.16732 # DEPENDENCYPART_ARC
(12,9),-0.546828 # DEPENDENCYPART_ARC
(12,10),1.36895 # DEPENDENCYPART_ARC
(12,11),0.712677 # DEPENDENCYPART_ARC
(12,13),3.52086 # DEPENDENCYPART_ARC
(12,14),-0.124756 # DEPENDENCYPART_ARC
(12,15),-0.521172 # DEPENDENCYPART_ARC
(12,16),-0.80843 # DEPENDENCYPART_ARC
(12,17),-1.14365 # DEPENDENCYPART_ARC
(12,18),-1.28018 # DEPENDENCYPART_ARC
(12,19),-1.41486 # DEPENDENCYPART_ARC
(12,20),-1.9816 # DEPENDENCYPART_ARC
(12,21),-1.04943 # DEPENDENCYPART_ARC
(12,22),-1.91678 # DEPENDENCYPART_ARC
(12,23),-0.187976 # DEPENDENCYPART_ARC
(12,24),-3.73968 # DEPENDENCYPART_ARC
(12,25),-1.4403 # DEPENDENCYPART_ARC
(12,26),-0.478823 # DEPENDENCYPART_ARC
(12,27),-3.3982 # DEPENDENCYPART_ARC
(12,28),-1.36563 # DEPENDENCYPART_ARC
(12,29),-4.52772 # DEPENDENCYPART_ARC
(12,30),1.35168 # DEPENDENCYPART_ARC
(12,31),-0.973487 # DEPENDENCYPART_ARC
(12,32),-3.26591 # DEPENDENCYPART_ARC
(12,33),-1.84229 # DEPENDENCYPART_ARC
(12,34),-4.80522 # DEPENDENCYPART_ARC
(12,35),-1.19225 # DEPENDENCYPART_ARC
(13,1),-2.09789 # DEPENDENCYPART_ARC
(13,2),-2.03685 # DEPENDENCYPART_ARC
(13,3),-0.849655 # DEPENDENCYPART_ARC
(13,4),-0.91533 # DEPENDENCYPART_ARC
(13,5),-2.28152 # DEPENDENCYPART_ARC
(13,6),-1.0526 # DEPENDENCYPART_ARC
(13,7),-0.48795 # DEPENDENCYPART_ARC
(13,8),-0.228082 # DEPENDENCYPART_ARC
(13,9),0.42859 # DEPENDENCYPART_ARC
(13,10),2.41691 # DEPENDENCYPART_ARC
(13,11),0.180175 # DEPENDENCYPART_ARC
(13,12),2.27918 # DEPENDENCYPART_ARC
(13,14),-0.244102 # DEPENDENCYPART_ARC
(13,15),0.850205 # DEPENDENCYPART_ARC
(13,16),0.343597 # DEPENDENCYPART_ARC
(13,17),0.272548 # DEPENDENCYPART_ARC
(13,18),0.50754 # DEPENDENCYPART_ARC
(13,19),-0.795697 # DEPENDENCYPART_ARC
(13,20),-1.23644 # DEPENDENCYPART_ARC
(13,21),-0.66232 # DEPENDENCYPART_ARC
(13,22),0.346127 # DEPENDENCYPART_ARC
(13,23),2.36385 # DEPENDENCYPART_ARC
(13,24),1.84037 # DEPENDENCYPART_ARC
(13,25),-0.435321 # DEPENDENCYPART_ARC
(13,26),-2.21184 # DEPENDENCYPART_ARC
(13,27),-1.98422 # DEPENDENCYPART_ARC
(13,28),-2.21196 # DEPENDENCYPART_ARC
(13,29),-0.0944398 # DEPENDENCYPART_ARC
(13,30),-0.579795 # DEPENDENCYPART_ARC
(13,31),-4.81351 # DEPENDENCYPART_ARC
(13,32),-2.05191 # DEPENDENCYPART_ARC
(13,33),-3.1411 # DEPENDENCYPART_ARC
(13,34),-2.19645 # DEPENDENCYPART_ARC
(13,35),0.720571 # DEPENDENCYPART_ARC
(14,1),-3.6091 # DEPENDENCYPART_ARC
(14,2),-3.70183 # DEPENDENCYPART_ARC
(14,3),-2.78353 # DEPENDENCYPART_ARC
(14,4),-3.39609 # DEPENDENCYPART_ARC
(14,5),-2.93225 # DEPENDENCYPART_ARC
(14,6),-3.14335 # DEPENDENCYPART_ARC
(14,7),-2.31926 # DEPENDENCYPART_ARC
(14,8),-3.03038 # DEPENDENCYPART_ARC
(14,9),-2.1028 # DEPENDENCYPART_ARC
(14,10),-2.23444 # DEPENDENCYPART_ARC
(14,11),-2.55192 # DEPENDENCYPART_ARC
(14,12),-1.37517 # DEPENDENCYPART_ARC
(14,13),-1.33994 # DEPENDENCYPART_ARC
(14,15),-0.0389428 # DEPENDENCYPART_ARC
(14,16),-0.796074 # DEPENDENCYPART_ARC
(14,17),-0.411723 # DEPENDENCYPART_ARC
(14,18),-1.38592 # DEPENDENCYPART_ARC
(14,19),-1.48637 # DEPENDENCYPART_ARC
(14,20),-0.990319 # DEPENDENCYPART_ARC
(14,21),-1.38477 # DEPENDENCYPART_ARC
(14,22),-1.66436 # DEPENDENCYPART_ARC
(14,23),0.0614986 # DEPENDENCYPART_ARC
(14,24),-1.56886 # DEPENDENCYPART_ARC
(14,25),-0.229461 # DEPENDENCYPART_ARC
(14,26),-1.34352 # DEPENDENCYPART_ARC
(14,27),-0.860383 # DEPENDENCYPART_ARC
