# _root_ Al_llarg_dels anys , a_més_del vessant agrícola , el mercat ha incorporat altres sectors econòmics i socioculturals .
#goldHeads=11,1,1,11,4,5,4,9,11,11,0,13,11,13,14,14,11,
#predictedHeads=11,1,1,11,4,5,4,9,11,11,0,13,11,13,14,14,11,
(4,8),-2.35158 # DEPENDENCYPART_ARC
(4,9),-1.4925 # DEPENDENCYPART_ARC
(4,10),-2.50758 # DEPENDENCYPART_ARC
(4,11),-1.45216 # DEPENDENCYPART_ARC
(4,12),-2.32647 # DEPENDENCYPART_ARC
(4,13),-5.62374 # DEPENDENCYPART_ARC
(4,14),-3.46848 # DEPENDENCYPART_ARC
(4,15),-0.93874 # DEPENDENCYPART_ARC
(4,16),-2.91435 # DEPENDENCYPART_ARC
(4,17),0.408584 # DEPENDENCYPART_ARC
(5,1),-1.54231 # DEPENDENCYPART_ARC
(5,2),-1.64462 # DEPENDENCYPART_ARC
(5,3),-0.249486 # DEPENDENCYPART_ARC
(5,4),0.937025 # DEPENDENCYPART_ARC
(5,6),4.38488 # DEPENDENCYPART_ARC
(5,7),1.34624 # DEPENDENCYPART_ARC
(5,8),-0.264507 # DEPENDENCYPART_ARC
(5,9),1.19227 # DEPENDENCYPART_ARC
(5,10),0.946585 # DEPENDENCYPART_ARC
(5,11),0.683492 # DEPENDENCYPART_ARC
(5,12),-1.21397 # DEPENDENCYPART_ARC
(5,13),-0.0749373 # DEPENDENCYPART_ARC
(5,14),-1.02589 # DEPENDENCYPART_ARC
(5,15),0.662143 # DEPENDENCYPART_ARC
(5,16),-1.73892 # DEPENDENCYPART_ARC
(5,17),0.710321 # DEPENDENCYPART_ARC
(6,1),-1.55568 # DEPENDENCYPART_ARC
(6,2),-2.41267 # DEPENDENCYPART_ARC
(6,3),0.800184 # DEPENDENCYPART_ARC
(6,4),0.614003 # DEPENDENCYPART_ARC
(6,5),-0.00527483 # DEPENDENCYPART_ARC
(6,7),0.0630183 # DEPENDENCYPART_ARC
(6,8),-1.40454 # DEPENDENCYPART_ARC
(6,9),-0.441685 # DEPENDENCYPART_ARC
(6,10),-0.658632 # DEPENDENCYPART_ARC
(6,11),-1.09018 # DEPENDENCYPART_ARC
(6,12),-2.58951 # DEPENDENCYPART_ARC
(6,13),-1.76482 # DEPENDENCYPART_ARC
(6,14),-2.02924 # DEPENDENCYPART_ARC
(6,15),1.49741 # DEPENDENCYPART_ARC
(6,16),-0.329102 # DEPENDENCYPART_ARC
(6,17),-0.458106 # DEPENDENCYPART_ARC
(7,1),-1.65724 # DEPENDENCYPART_ARC
(7,2),-2.41155 # DEPENDENCYPART_ARC
(7,3),-1.00028 # DEPENDENCYPART_ARC
(7,4),-1.05682 # DEPENDENCYPART_ARC
(7,5),-1.39269 # DEPENDENCYPART_ARC
(7,6),-0.0798458 # DEPENDENCYPART_ARC
(7,8),-1.0709 # DEPENDENCYPART_ARC
(7,9),-0.982537 # DEPENDENCYPART_ARC
(7,10),-1.08651 # DEPENDENCYPART_ARC
(7,11),-1.69557 # DEPENDENCYPART_ARC
(7,12),-2.69994 # DEPENDENCYPART_ARC
(7,13),-2.11578 # DEPENDENCYPART_ARC
(7,14),-2.24286 # DEPENDENCYPART_ARC
(7,15),-1.15281 # DEPENDENCYPART_ARC
(7,16),-2.17637 # DEPENDENCYPART_ARC
(7,17),-1.61792 # DEPENDENCYPART_ARC
(8,1),-2.08956 # DEPENDENCYPART_ARC
(8,2),-3.12124 # DEPENDENCYPART_ARC
(8,3),-1.85366 # DEPENDENCYPART_ARC
(8,4),-1.35673 # DEPENDENCYPART_ARC
(8,5),-2.62393 # DEPENDENCYPART_ARC
(8,6),-1.71106 # DEPENDENCYPART_ARC
(8,7),-0.108415 # DEPENDENCYPART_ARC
(8,9),-0.126094 # DEPENDENCYPART_ARC
(8,10),-1.74355 # DEPENDENCYPART_ARC
(8,11),-2.56194 # DEPENDENCYPART_ARC
(8,12),-1.24998 # DEPENDENCYPART_ARC
(8,13),-3.77711 # DEPENDENCYPART_ARC
(8,14),-3.84789 # DEPENDENCYPART_ARC
(8,15),-2.79965 # DEPENDENCYPART_ARC
(8,16),-4.15106 # DEPENDENCYPART_ARC
(8,17),-2.91319 # DEPENDENCYPART_ARC
(9,1),-1.3187 # DEPENDENCYPART_ARC
(9,2),-1.73589 # DEPENDENCYPART_ARC
(9,3),-0.520279 # DEPENDENCYPART_ARC
(9,4),-0.186049 # DEPENDENCYPART_ARC
(9,5),-0.684697 # DEPENDENCYPART_ARC
(9,6),-0.232981 # DEPENDENCYPART_ARC
(9,7),0.657011 # DEPENDENCYPART_ARC
(9,8),4.48078 # DEPENDENCYPART_ARC
(9,10),-0.126258 # DEPENDENCYPART_ARC
(9,11),-0.527187 # DEPENDENCYPART_ARC
(9,12),-2.67579 # DEPENDENCYPART_ARC
(9,13),-1.5442 # DEPENDENCYPART_ARC
(9,14),-2.10219 # DEPENDENCYPART_ARC
(9,15),-1.3346 # DEPENDENCYPART_ARC
(9,16),-3.16486 # DEPENDENCYPART_ARC
(9,17),-0.228895 # DEPENDENCYPART_ARC
(10,1),-0.585207 # DEPENDENCYPART_ARC
(10,2),-2.84018 # DEPENDENCYPART_ARC
(10,3),-1.42634 # DEPENDENCYPART_ARC
(10,4),-0.145874 # DEPENDENCYPART_ARC
(10,5),-1.44744 # DEPENDENCYPART_ARC
(10,6),-1.68788 # DEPENDENCYPART_ARC
(10,7),-0.94027 # DEPENDENCYPART_ARC
(10,8),-0.831647 # DEPENDENCYPART_ARC
(10,9),0.449588 # DEPENDENCYPART_ARC
(10,11),1.15006 # DEPENDENCYPART_ARC
(10,12),-2.32522 # DEPENDENCYPART_ARC
(10,13),0.217999 # DEPENDENCYPART_ARC
(10,14),-1.24696 # DEPENDENCYPART_ARC
(10,15),-0.248766 # DEPENDENCYPART_ARC
(10,16),-1.22717 # DEPENDENCYPART_ARC
(10,17),3.44266 # DEPENDENCYPART_ARC
(11,1),1.79062 # DEPENDENCYPART_ARC
(11,2),0.267639 # DEPENDENCYPART_ARC
(11,3),0.912093 # DEPENDENCYPART_ARC
(11,4),1.80436 # DEPENDENCYPART_ARC
(11,5),1.85564 # DEPENDENCYPART_ARC
(11,6),0.353154 # DEPENDENCYPART_ARC
(11,7),1.12728 # DEPENDENCYPART_ARC
(11,8),1.58336 # DEPENDENCYPART_ARC
(11,9),3.00188 # DEPENDENCYPART_ARC
(11,10),6.83747 # DEPENDENCYPART_ARC
(11,12),0.101481 # DEPENDENCYPART_ARC
(11,13),4.07243 # DEPENDENCYPART_ARC
(11,14),1.50845 # DEPENDENCYPART_ARC
(11,15),1.06007 # DEPENDENCYPART_ARC
(11,16),0.923057 # DEPENDENCYPART_ARC
(11,17),4.65312 # DEPENDENCYPART_ARC
(12,1),-4.03474 # DEPENDENCYPART_ARC
(12,2),-3.37785 # DEPENDENCYPART_ARC
(12,3),-3.35424 # DEPENDENCYPART_ARC
(12,4),-2.59559 # DEPENDENCYPART_ARC
(12,5),-4.23309 # DEPENDENCYPART_ARC
(12,6),-3.89671 # DEPENDENCYPART_ARC
(12,7),-2.9293 # DEPENDENCYPART_ARC
(12,8),-1.08357 # DEPENDENCYPART_ARC
(12,9),-2.57841 # DEPENDENCYPART_ARC
(12,10),-0.206533 # DEPENDENCYPART_ARC
(12,11),-0.948116 # DEPENDENCYPART_ARC
(12,13),0.740915 # DEPENDENCYPART_ARC
(12,14),0.549935 # DEPENDENCYPART_ARC
(12,15),-0.72045 # DEPENDENCYPART_ARC
(12,16),-0.468411 # DEPENDENCYPART_ARC
(12,17),-1.11663 # DEPENDENCYPART_ARC
(13,1),-2.23437 # DEPENDENCYPART_ARC
(13,2),-2.08491 # DEPENDENCYPART_ARC
(13,3),-1.36466 # DEPENDENCYPART_ARC
(13,4),-1.08879 # DEPENDENCYPART_ARC
(13,5),-2.3101 # DEPENDENCYPART_ARC
(13,6),-3.04284 # DEPENDENCYPART_ARC
(13,7),-1.1965 # DEPENDENCYPART_ARC
(13,8),0.252251 # DEPENDENCYPART_ARC
(13,9),-1.91926 # DEPENDENCYPART_ARC
(13,10),-0.169924 # DEPENDENCYPART_ARC
(13,11),-0.74383 # DEPENDENCYPART_ARC
(13,12),3.66936 # DEPENDENCYPART_ARC
(13,14),4.24804 # DEPENDENCYPART_ARC
(13,15),1.43754 # DEPENDENCYPART_ARC
(13,16),1.88514 # DEPENDENCYPART_ARC
(13,17),1.56376 # DEPENDENCYPART_ARC
(14,1),-3.64847 # DEPENDENCYPART_ARC
(14,2),-3.46934 # DEPENDENCYPART_ARC
(14,3),-2.74893 # DEPENDENCYPART_ARC
(14,4),-1.81743 # DEPENDENCYPART_ARC
(14,5),-3.29021 # DEPENDENCYPART_ARC
(14,6),-3.71827 # DEPENDENCYPART_ARC
(14,7),-2.66446 # DEPENDENCYPART_ARC
(14,8),-1.15123 # DEPENDENCYPART_ARC
(14,9),-1.99283 # DEPENDENCYPART_ARC
(14,10),-1.48326 # DEPENDENCYPART_ARC
(14,11),-1.82849 # DEPENDENCYPART_ARC
(14,12),-0.114474 # DEPENDENCYPART_ARC
(14,13),0.122741 # DEPENDENCYPART_ARC
(14,15),3.79905 # DEPENDENCYPART_ARC
(14,16),4.01248 # DEPENDENCYPART_ARC
(14,17),0.978054 # DEPENDENCYPART_ARC
(15,1),-3.05435 # DEPENDENCYPART_ARC
(15,2),-3.88408 # DEPENDENCYPART_ARC
(15,3),-3.34686 # DEPENDENCYPART_ARC
(15,4),-2.85991 # DEPENDENCYPART_ARC
(15,5),-3.56775 # DEPENDENCYPART_ARC
(15,6),-3.49834 # DEPENDENCYPART_ARC
(15,7),-2.9953 # DEPENDENCYPART_ARC
(15,8),-3.28716 # DEPENDENCYPART_ARC
(15,9),-3.27147 # DEPENDENCYPART_ARC
(15,10),-3.04749 # DEPENDENCYPART_ARC
(15,11),-2.65189 # DEPENDENCYPART_ARC
(15,12),-1.94488 # DEPENDENCYPART_ARC
(15,13),-1.9729 # DEPENDENCYPART_ARC
(15,14),-1.11534 # DEPENDENCYPART_ARC
(15,16),-1.21459 # DEPENDENCYPART_ARC
(15,17),-1.55911 # DEPENDENCYPART_ARC
(16,1),-2.54408 # DEPENDENCYPART_ARC
(16,2),-2.62608 # DEPENDENCYPART_ARC
(16,3),-1.54743 # DEPENDENCYPART_ARC
(16,4),-0.471894 # DEPENDENCYPART_ARC
(16,5),-2.70444 # DEPENDENCYPART_ARC
(16,6),-2.45646 # DEPENDENCYPART_ARC
(16,7),-2.06967 # DEPENDENCYPART_ARC
(16,8),-0.647164 # DEPENDENCYPART_ARC
(16,9),-1.71841 # DEPENDENCYPART_ARC
(16,10),-1.22039 # DEPENDENCYPART_ARC
(16,11),-1.39442 # DEPENDENCYPART_ARC
(16,12),-0.0293661 # DEPENDENCYPART_ARC
(16,13),-0.367919 # DEPENDENCYPART_ARC
(16,14),2.07224 # DEPENDENCYPART_ARC
(16,15),1.65963 # DEPENDENCYPART_ARC
(16,17),-0.425226 # DEPENDENCYPART_ARC
(17,1),-3.25 # DEPENDENCYPART_ARC
(17,2),-3.89015 # DEPENDENCYPART_ARC
(17,3),-2.88757 # DEPENDENCYPART_ARC
(17,4),-3.15611 # DEPENDENCYPART_ARC
(17,5),-3.69531 # DEPENDENCYPART_ARC
(17,6),-3.41991 # DEPENDENCYPART_ARC
(17,7),-2.71223 # DEPENDENCYPART_ARC
(17,8),-3.73641 # DEPENDENCYPART_ARC
(17,9),-3.55649 # DEPENDENCYPART_ARC
(17,10),-3.54485 # DEPENDENCYPART_ARC
(17,11),-3.29746 # DEPENDENCYPART_ARC
(17,12),-2.72139 # DEPENDENCYPART_ARC
(17,13),-2.81566 # DEPENDENCYPART_ARC
(17,14),-2.23827 # DEPENDENCYPART_ARC
(17,15),-1.69617 # DEPENDENCYPART_ARC
(17,16),-1.33362 # DEPENDENCYPART_ARC
