# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,19,17,19,14,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(1,2),1.74468 # DEPENDENCYPART_ARC
(1,3),-0.0718552 # DEPENDENCYPART_ARC
(1,4),-1.77407 # DEPENDENCYPART_ARC
(1,5),-1.65582 # DEPENDENCYPART_ARC
(1,6),-0.674385 # DEPENDENCYPART_ARC
(1,7),-2.81744 # DEPENDENCYPART_ARC
(1,8),-2.53907 # DEPENDENCYPART_ARC
(1,9),-2.50607 # DEPENDENCYPART_ARC
(1,10),-3.02946 # DEPENDENCYPART_ARC
(1,11),-2.81589 # DEPENDENCYPART_ARC
(1,12),-3.14623 # DEPENDENCYPART_ARC
(1,13),-3.80362 # DEPENDENCYPART_ARC
(1,14),-3.01943 # DEPENDENCYPART_ARC
(1,15),-2.43573 # DEPENDENCYPART_ARC
(1,16),-3.2776 # DEPENDENCYPART_ARC
(1,17),-3.90001 # DEPENDENCYPART_ARC
(1,18),-3.51274 # DEPENDENCYPART_ARC
(1,19),-3.53935 # DEPENDENCYPART_ARC
(1,20),-4.96557 # DEPENDENCYPART_ARC
(1,21),-3.84768 # DEPENDENCYPART_ARC
(1,22),-4.61699 # DEPENDENCYPART_ARC
(1,23),-4.94435 # DEPENDENCYPART_ARC
(1,24),-3.30609 # DEPENDENCYPART_ARC
(1,25),-6.17763 # DEPENDENCYPART_ARC
(1,26),-4.88492 # DEPENDENCYPART_ARC
(1,27),-3.60685 # DEPENDENCYPART_ARC
(1,28),-4.16207 # DEPENDENCYPART_ARC
(1,29),-3.86757 # DEPENDENCYPART_ARC
(1,30),-4.3162 # DEPENDENCYPART_ARC
(1,31),-5.71668 # DEPENDENCYPART_ARC
(1,32),-3.62697 # DEPENDENCYPART_ARC
(1,33),-6.18954 # DEPENDENCYPART_ARC
(1,34),-6.45148 # DEPENDENCYPART_ARC
(1,35),-6.49891 # DEPENDENCYPART_ARC
(1,36),-5.00905 # DEPENDENCYPART_ARC
(2,1),4.49169 # DEPENDENCYPART_ARC
(2,3),4.63483 # DEPENDENCYPART_ARC
(2,4),2.10781 # DEPENDENCYPART_ARC
(2,5),1.92918 # DEPENDENCYPART_ARC
(2,6),-0.296728 # DEPENDENCYPART_ARC
(2,7),1.90284 # DEPENDENCYPART_ARC
(2,8),-1.30366 # DEPENDENCYPART_ARC
(2,9),3.18008 # DEPENDENCYPART_ARC
(2,10),1.22487 # DEPENDENCYPART_ARC
(2,11),-0.987026 # DEPENDENCYPART_ARC
(2,12),0.906899 # DEPENDENCYPART_ARC
(2,13),1.51221 # DEPENDENCYPART_ARC
(2,14),0.527641 # DEPENDENCYPART_ARC
(2,15),-0.290392 # DEPENDENCYPART_ARC
(2,16),-1.33109 # DEPENDENCYPART_ARC
(2,17),-0.0699496 # DEPENDENCYPART_ARC
(2,18),0.323655 # DEPENDENCYPART_ARC
(2,19),0.953854 # DEPENDENCYPART_ARC
(2,20),-1.41858 # DEPENDENCYPART_ARC
(2,21),-0.148202 # DEPENDENCYPART_ARC
(2,22),-0.624354 # DEPENDENCYPART_ARC
(2,23),-0.961802 # DEPENDENCYPART_ARC
(2,24),-1.46182 # DEPENDENCYPART_ARC
(2,25),-2.13929 # DEPENDENCYPART_ARC
(2,26),-0.670099 # DEPENDENCYPART_ARC
(2,27),-0.162048 # DEPENDENCYPART_ARC
(2,28),-1.81162 # DEPENDENCYPART_ARC
(2,29),-2.15505 # DEPENDENCYPART_ARC
(2,30),-2.99846 # DEPENDENCYPART_ARC
(2,31),-1.84727 # DEPENDENCYPART_ARC
(2,32),-0.447281 # DEPENDENCYPART_ARC
(2,33),-4.2743 # DEPENDENCYPART_ARC
(2,34),-2.99356 # DEPENDENCYPART_ARC
(2,35),-1.81987 # DEPENDENCYPART_ARC
(2,36),1.39411 # DEPENDENCYPART_ARC
(3,1),0.506828 # DEPENDENCYPART_ARC
(3,2),0.666925 # DEPENDENCYPART_ARC
(3,4),4.17187 # DEPENDENCYPART_ARC
(3,5),0.202914 # DEPENDENCYPART_ARC
(3,6),-1.82331 # DEPENDENCYPART_ARC
(3,7),-0.306818 # DEPENDENCYPART_ARC
(3,8),-5.39557 # DEPENDENCYPART_ARC
(3,9),-0.397067 # DEPENDENCYPART_ARC
(3,10),-1.25533 # DEPENDENCYPART_ARC
(3,11),-3.30701 # DEPENDENCYPART_ARC
(3,12),-5.65737 # DEPENDENCYPART_ARC
(3,13),-3.32543 # DEPENDENCYPART_ARC
(3,14),-2.86398 # DEPENDENCYPART_ARC
(3,15),-2.10693 # DEPENDENCYPART_ARC
(3,16),-1.98359 # DEPENDENCYPART_ARC
(3,17),-8.45886 # DEPENDENCYPART_ARC
(3,18),-1.85469 # DEPENDENCYPART_ARC
(3,19),-2.61853 # DEPENDENCYPART_ARC
(3,20),-3.18244 # DEPENDENCYPART_ARC
(3,21),-11.7966 # DEPENDENCYPART_ARC
(3,22),-3.01279 # DEPENDENCYPART_ARC
(3,23),-12.6315 # DEPENDENCYPART_ARC
(3,24),-4.10852 # DEPENDENCYPART_ARC
(3,25),-3.17975 # DEPENDENCYPART_ARC
(3,26),-15.6746 # DEPENDENCYPART_ARC
(3,27),-5.88511 # DEPENDENCYPART_ARC
(3,28),-6.1986 # DEPENDENCYPART_ARC
(3,29),-7.06999 # DEPENDENCYPART_ARC
(3,30),-7.21267 # DEPENDENCYPART_ARC
(3,31),-18.562 # DEPENDENCYPART_ARC
(3,32),-3.58585 # DEPENDENCYPART_ARC
(3,33),-4.23533 # DEPENDENCYPART_ARC
(3,34),-2.6941 # DEPENDENCYPART_ARC
(3,35),-19.2212 # DEPENDENCYPART_ARC
(3,36),0.00970064 # DEPENDENCYPART_ARC
(4,1),1.18836 # DEPENDENCYPART_ARC
(4,2),-0.52565 # DEPENDENCYPART_ARC
(4,3),1.14793 # DEPENDENCYPART_ARC
(4,5),0.786937 # DEPENDENCYPART_ARC
(4,6),-0.0395326 # DEPENDENCYPART_ARC
(4,7),0.812539 # DEPENDENCYPART_ARC
(4,8),-1.02121 # DEPENDENCYPART_ARC
(4,9),1.67391 # DEPENDENCYPART_ARC
(4,10),-0.885907 # DEPENDENCYPART_ARC
(4,11),-1.88655 # DEPENDENCYPART_ARC
(4,12),-0.557131 # DEPENDENCYPART_ARC
(4,13),0.152623 # DEPENDENCYPART_ARC
(4,14),-0.856865 # DEPENDENCYPART_ARC
(4,15),-1.49522 # DEPENDENCYPART_ARC
(4,16),-2.09354 # DEPENDENCYPART_ARC
(4,17),-1.23902 # DEPENDENCYPART_ARC
(4,18),-1.25173 # DEPENDENCYPART_ARC
(4,19),-0.480767 # DEPENDENCYPART_ARC
(4,20),-2.38719 # DEPENDENCYPART_ARC
(4,21),-1.82082 # DEPENDENCYPART_ARC
(4,22),-3.0936 # DEPENDENCYPART_ARC
(4,23),-1.16038 # DEPENDENCYPART_ARC
(4,24),-1.9006 # DEPENDENCYPART_ARC
(4,25),-3.09732 # DEPENDENCYPART_ARC
(4,26),-2.10157 # DEPENDENCYPART_ARC
(4,27),-1.57794 # DEPENDENCYPART_ARC
(4,28),-2.76234 # DEPENDENCYPART_ARC
(4,29),-3.17132 # DEPENDENCYPART_ARC
(4,30),-3.11691 # DEPENDENCYPART_ARC
(4,31),-3.36709 # DEPENDENCYPART_ARC
(4,32),-2.05047 # DEPENDENCYPART_ARC
(4,33),-6.76933 # DEPENDENCYPART_ARC
(4,34),-3.48556 # DEPENDENCYPART_ARC
(4,35),-2.77402 # DEPENDENCYPART_ARC
(4,36),0.343726 # DEPENDENCYPART_ARC
(5,1),-2.27072 # DEPENDENCYPART_ARC
(5,2),-2.64499 # DEPENDENCYPART_ARC
(5,3),-1.41856 # DEPENDENCYPART_ARC
(5,4),-1.43671 # DEPENDENCYPART_ARC
(5,6),-1.04712 # DEPENDENCYPART_ARC
(5,7),-1.05093 # DEPENDENCYPART_ARC
(5,8),-1.76464 # DEPENDENCYPART_ARC
(5,9),-1.31792 # DEPENDENCYPART_ARC
(5,10),-2.14734 # DEPENDENCYPART_ARC
(5,11),-2.65459 # DEPENDENCYPART_ARC
(5,12),-2.19827 # DEPENDENCYPART_ARC
(5,13),-2.23697 # DEPENDENCYPART_ARC
(5,14),-2.24065 # DEPENDENCYPART_ARC
(5,15),-1.10318 # DEPENDENCYPART_ARC
(5,16),-2.78169 # DEPENDENCYPART_ARC
(5,17),-2.41116 # DEPENDENCYPART_ARC
(5,18),-2.16951 # DEPENDENCYPART_ARC
(5,19),-2.07826 # DEPENDENCYPART_ARC
(5,20),-2.9835 # DEPENDENCYPART_ARC
(5,21),-2.43981 # DEPENDENCYPART_ARC
(5,22),-2.40618 # DEPENDENCYPART_ARC
(5,23),-2.58213 # DEPENDENCYPART_ARC
(5,24),-1.45722 # DEPENDENCYPART_ARC
(5,25),-3.09456 # DEPENDENCYPART_ARC
(5,26),-2.68453 # DEPENDENCYPART_ARC
(5,27),-2.70344 # DEPENDENCYPART_ARC
(5,28),-2.40741 # DEPENDENCYPART_ARC
(5,29),-2.57937 # DEPENDENCYPART_ARC
(5,30),-2.86192 # DEPENDENCYPART_ARC
(5,31),-2.84491 # DEPENDENCYPART_ARC
(5,32),-3.02945 # DEPENDENCYPART_ARC
(5,33),-2.95634 # DEPENDENCYPART_ARC
(5,34),-3.56435 # DEPENDENCYPART_ARC
(5,35),-3.03354 # DEPENDENCYPART_ARC
(5,36),-3.25089 # DEPENDENCYPART_ARC
(6,1),-3.09286 # DEPENDENCYPART_ARC
(6,2),-2.58484 # DEPENDENCYPART_ARC
(6,3),-1.09975 # DEPENDENCYPART_ARC
(6,4),-1.29408 # DEPENDENCYPART_ARC
(6,5),-0.183968 # DEPENDENCYPART_ARC
(6,7),0.686003 # DEPENDENCYPART_ARC
(6,8),-0.922607 # DEPENDENCYPART_ARC
(6,9),-1.43985 # DEPENDENCYPART_ARC
(6,10),-0.978646 # DEPENDENCYPART_ARC
(6,11),-1.01853 # DEPENDENCYPART_ARC
(6,12),-2.68778 # DEPENDENCYPART_ARC
(6,13),-4.27904 # DEPENDENCYPART_ARC
(6,14),-2.9875 # DEPENDENCYPART_ARC
(6,15),-2.33094 # DEPENDENCYPART_ARC
(6,16),-2.45203 # DEPENDENCYPART_ARC
(6,17),-3.78375 # DEPENDENCYPART_ARC
(6,18),-3.51562 # DEPENDENCYPART_ARC
(6,19),-3.28967 # DEPENDENCYPART_ARC
(6,20),-3.90304 # DEPENDENCYPART_ARC
(6,21),-3.7467 # DEPENDENCYPART_ARC
(6,22),-4.741 # DEPENDENCYPART_ARC
(6,23),-4.32623 # DEPENDENCYPART_ARC
(6,24),-3.30881 # DEPENDENCYPART_ARC
(6,25),-4.94514 # DEPENDENCYPART_ARC
(6,26),-4.99478 # DEPENDENCYPART_ARC
(6,27),-4.56782 # DEPENDENCYPART_ARC
(6,28),-3.83754 # DEPENDENCYPART_ARC
(6,29),-3.30428 # DEPENDENCYPART_ARC
(6,30),-5.4427 # DEPENDENCYPART_ARC
(6,31),-5.95624 # DEPENDENCYPART_ARC
(6,32),-3.43578 # DEPENDENCYPART_ARC
(6,33),-6.18702 # DEPENDENCYPART_ARC
(6,34),-5.39116 # DEPENDENCYPART_ARC
(6,35),-6.41525 # DEPENDENCYPART_ARC
(6,36),-5.79411 # DEPENDENCYPART_ARC
(7,1),0.622776 # DEPENDENCYPART_ARC
(7,2),-0.359039 # DEPENDENCYPART_ARC
(7,3),0.237871 # DEPENDENCYPART_ARC
(7,4),0.435389 # DEPENDENCYPART_ARC
(7,5),2.5162 # DEPENDENCYPART_ARC
(7,6),5.46848 # DEPENDENCYPART_ARC
(7,8),1.10232 # DEPENDENCYPART_ARC
(7,9),4.21794 # DEPENDENCYPART_ARC
(7,10),1.60991 # DEPENDENCYPART_ARC
(7,11),-0.744311 # DEPENDENCYPART_ARC
(7,12),0.450854 # DEPENDENCYPART_ARC
(7,13),0.333344 # DEPENDENCYPART_ARC
(7,14),0.954273 # DEPENDENCYPART_ARC
(7,15),-0.274592 # DEPENDENCYPART_ARC
(7,16),-0.708117 # DEPENDENCYPART_ARC
(7,17),-0.156263 # DEPENDENCYPART_ARC
(7,18),0.551565 # DEPENDENCYPART_ARC
(7,19),1.88879 # DEPENDENCYPART_ARC
(7,20),-1.49558 # DEPENDENCYPART_ARC
(7,21),-0.799705 # DEPENDENCYPART_ARC
(7,22),-1.00139 # DEPENDENCYPART_ARC
(7,23),-0.794801 # DEPENDENCYPART_ARC
(7,24),-1.01629 # DEPENDENCYPART_ARC
(7,25),-1.96863 # DEPENDENCYPART_ARC
(7,26),-1.28616 # DEPENDENCYPART_ARC
(7,27),-1.28145 # DEPENDENCYPART_ARC
(7,28),-0.721343 # DEPENDENCYPART_ARC
(7,29),-1.00282 # DEPENDENCYPART_ARC
(7,30),-4.44146 # DEPENDENCYPART_ARC
(7,31),-2.36261 # DEPENDENCYPART_ARC
(7,32),-0.472611 # DEPENDENCYPART_ARC
(7,33),-4.60523 # DEPENDENCYPART_ARC
(7,34),-2.16435 # DEPENDENCYPART_ARC
(7,35),-1.82555 # DEPENDENCYPART_ARC
(7,36),2.57661 # DEPENDENCYPART_ARC
(8,1),-3.94695 # DEPENDENCYPART_ARC
(8,2),-3.85631 # DEPENDENCYPART_ARC
(8,3),-2.87177 # DEPENDENCYPART_ARC
(8,4),-3.0704 # DEPENDENCYPART_ARC
(8,5),-1.80008 # DEPENDENCYPART_ARC
(8,6),-1.94824 # DEPENDENCYPART_ARC
(8,7),-2.29332 # DEPENDENCYPART_ARC
(8,9),0.839367 # DEPENDENCYPART_ARC
(8,10),-0.420937 # DEPENDENCYPART_ARC
(8,11),-1.82626 # DEPENDENCYPART_ARC
(8,12),-2.01954 # DEPENDENCYPART_ARC
(8,13),-0.537614 # DEPENDENCYPART_ARC
(8,14),-1.63109 # DEPENDENCYPART_ARC
(8,15),-0.906914 # DEPENDENCYPART_ARC
(8,16),-2.64015 # DEPENDENCYPART_ARC
(8,17),-2.54675 # DEPENDENCYPART_ARC
(8,18),-1.74728 # DEPENDENCYPART_ARC
(8,19),-1.60113 # DEPENDENCYPART_ARC
(8,20),-2.93357 # DEPENDENCYPART_ARC
(8,21),-3.2649 # DEPENDENCYPART_ARC
(8,22),-2.94274 # DEPENDENCYPART_ARC
(8,23),-3.88942 # DEPENDENCYPART_ARC
(8,24),-1.55693 # DEPENDENCYPART_ARC
(8,25),-3.18499 # DEPENDENCYPART_ARC
(8,26),-3.53647 # DEPENDENCYPART_ARC
(8,27),-1.88747 # DEPENDENCYPART_ARC
(8,28),-3.15289 # DEPENDENCYPART_ARC
(8,29),-3.87404 # DEPENDENCYPART_ARC
(8,30),-1.73782 # DEPENDENCYPART_ARC
(8,31),-3.12005 # DEPENDENCYPART_ARC
(8,32),-3.80524 # DEPENDENCYPART_ARC
(8,33),-3.4623 # DEPENDENCYPART_ARC
(8,34),-3.78442 # DEPENDENCYPART_ARC
(8,35),-4.22412 # DEPENDENCYPART_ARC
(8,36),-1.22149 # DEPENDENCYPART_ARC
(9,1),-1.64526 # DEPENDENCYPART_ARC
(9,2),1.01743 # DEPENDENCYPART_ARC
(9,3),-0.996535 # DEPENDENCYPART_ARC
(9,4),-0.342973 # DEPENDENCYPART_ARC
(9,5),0.713732 # DEPENDENCYPART_ARC
(9,6),-0.387359 # DEPENDENCYPART_ARC
(9,7),1.67246 # DEPENDENCYPART_ARC
(9,8),5.23803 # DEPENDENCYPART_ARC
(9,10),1.89136 # DEPENDENCYPART_ARC
(9,11),-1.56831 # DEPENDENCYPART_ARC
(9,12),2.02001 # DEPENDENCYPART_ARC
(9,13),1.06295 # DEPENDENCYPART_ARC
(9,14),0.655636 # DEPENDENCYPART_ARC
(9,15),-0.998141 # DEPENDENCYPART_ARC
(9,16),-2.08768 # DEPENDENCYPART_ARC
(9,17),-0.459555 # DEPENDENCYPART_ARC
(9,18),1.13843 # DEPENDENCYPART_ARC
(9,19),1.22321 # DEPENDENCYPART_ARC
(9,20),-3.3655 # DEPENDENCYPART_ARC
(9,21),-1.09557 # DEPENDENCYPART_ARC
(9,22),-3.2626 # DEPENDENCYPART_ARC
(9,23),-1.62954 # DEPENDENCYPART_ARC
(9,24),-2.6196 # DEPENDENCYPART_ARC
(9,25),-3.45613 # DEPENDENCYPART_ARC
(9,26),-2.78355 # DEPENDENCYPART_ARC
(9,27),-1.27997 # DEPENDENCYPART_ARC
(9,28),-1.04238 # DEPENDENCYPART_ARC
(9,29),-0.528275 # DEPENDENCYPART_ARC
(9,30),-1.95502 # DEPENDENCYPART_ARC
(9,31),-3.52028 # DEPENDENCYPART_ARC
(9,32),-0.938048 # DEPENDENCYPART_ARC
(9,33),-5.24382 # DEPENDENCYPART_ARC
(9,34),-3.20747 # DEPENDENCYPART_ARC
(9,35),-3.65993 # DEPENDENCYPART_ARC
(9,36),5.72645 # DEPENDENCYPART_ARC
(10,1),-2.46288 # DEPENDENCYPART_ARC
(10,2),-2.95351 # DEPENDENCYPART_ARC
(10,3),-2.2402 # DEPENDENCYPART_ARC
(10,4),-2.945 # DEPENDENCYPART_ARC
(10,5),-2.10345 # DEPENDENCYPART_ARC
(10,6),-1.25659 # DEPENDENCYPART_ARC
(10,7),-2.09918 # DEPENDENCYPART_ARC
(10,8),-0.579523 # DEPENDENCYPART_ARC
(10,9),-0.000514395 # DEPENDENCYPART_ARC
(10,11),0.540302 # DEPENDENCYPART_ARC
(10,12),4.92834 # DEPENDENCYPART_ARC
(10,13),1.14033 # DEPENDENCYPART_ARC
(10,14),0.875638 # DEPENDENCYPART_ARC
(10,15),-0.903077 # DEPENDENCYPART_ARC
(10,16),-0.746478 # DEPENDENCYPART_ARC
(10,17),-0.217176 # DEPENDENCYPART_ARC
(10,18),-0.320661 # DEPENDENCYPART_ARC
(10,19),-1.1409 # DEPENDENCYPART_ARC
(10,20),-1.93104 # DEPENDENCYPART_ARC
(10,21),-4.16752 # DEPENDENCYPART_ARC
(10,22),-1.37766 # DEPENDENCYPART_ARC
(10,23),-5.83194 # DEPENDENCYPART_ARC
(10,24),-2.81356 # DEPENDENCYPART_ARC
(10,25),-1.96407 # DEPENDENCYPART_ARC
(10,26),-7.97392 # DEPENDENCYPART_ARC
(10,27),-2.42284 # DEPENDENCYPART_ARC
(10,28),-3.22018 # DEPENDENCYPART_ARC
(10,29),-3.92738 # DEPENDENCYPART_ARC
(10,30),-3.05878 # DEPENDENCYPART_ARC
(10,31),-10.1551 # DEPENDENCYPART_ARC
(10,32),-2.01959 # DEPENDENCYPART_ARC
(10,33),-2.3303 # DEPENDENCYPART_ARC
(10,34),-1.98177 # DEPENDENCYPART_ARC
(10,35),-12.3826 # DEPENDENCYPART_ARC
(10,36),0.137011 # DEPENDENCYPART_ARC
(11,1),-3.1623 # DEPENDENCYPART_ARC
(11,2),-2.41143 # DEPENDENCYPART_ARC
(11,3),-1.57719 # DEPENDENCYPART_ARC
(11,4),-1.86946 # DEPENDENCYPART_ARC
(11,5),-1.43043 # DEPENDENCYPART_ARC
(11,6),-0.870951 # DEPENDENCYPART_ARC
(11,7),-1.80969 # DEPENDENCYPART_ARC
(11,8),-1.32929 # DEPENDENCYPART_ARC
(11,9),-0.650092 # DEPENDENCYPART_ARC
(11,10),0.568034 # DEPENDENCYPART_ARC
(11,12),1.1768 # DEPENDENCYPART_ARC
(11,13),-1.60663 # DEPENDENCYPART_ARC
(11,14),-2.33012 # DEPENDENCYPART_ARC
(11,15),-1.29695 # DEPENDENCYPART_ARC
(11,16),-0.159327 # DEPENDENCYPART_ARC
(11,17),-2.64545 # DEPENDENCYPART_ARC
(11,18),-2.75445 # DEPENDENCYPART_ARC
(11,19),-3.16428 # DEPENDENCYPART_ARC
(11,20),-2.50715 # DEPENDENCYPART_ARC
(11,21),-2.55218 # DEPENDENCYPART_ARC
(11,22),-3.28598 # DEPENDENCYPART_ARC
(11,23),-4.65362 # DEPENDENCYPART_ARC
(11,24),-3.29862 # DEPENDENCYPART_ARC
(11,25),-3.20638 # DEPENDENCYPART_ARC
(11,26),-4.34256 # DEPENDENCYPART_ARC
(11,27),-3.62466 # DEPENDENCYPART_ARC
(11,28),-4.23204 # DEPENDENCYPART_ARC
(11,29),-3.72457 # DEPENDENCYPART_ARC
(11,30),-4.28102 # DEPENDENCYPART_ARC
(11,31),-5.47986 # DEPENDENCYPART_ARC
(11,32),-3.87459 # DEPENDENCYPART_ARC
(11,33),-4.7276 # DEPENDENCYPART_ARC
(11,34),-3.87722 # DEPENDENCYPART_ARC
(11,35),-6.42978 # DEPENDENCYPART_ARC
(11,36),-4.94317 # DEPENDENCYPART_ARC
(12,1),-3.76185 # DEPENDENCYPART_ARC
(12,2),-2.03233 # DEPENDENCYPART_ARC
(12,3),-1.92354 # DEPENDENCYPART_ARC
(12,4),-2.06282 # DEPENDENCYPART_ARC
(12,5),-1.08291 # DEPENDENCYPART_ARC
(12,6),-1.53806 # DEPENDENCYPART_ARC
(12,7),-2.1092 # DEPENDENCYPART_ARC
(12,8),0.29181 # DEPENDENCYPART_ARC
(12,9),-1.19662 # DEPENDENCYPART_ARC
(12,10),0.751367 # DEPENDENCYPART_ARC
(12,11),4.79451 # DEPENDENCYPART_ARC
(12,13),4.57408 # DEPENDENCYPART_ARC
(12,14),2.58252 # DEPENDENCYPART_ARC
(12,15),0.440368 # DEPENDENCYPART_ARC
(12,16),-0.577027 # DEPENDENCYPART_ARC
(12,17),0.596603 # DEPENDENCYPART_ARC
(12,18),0.336493 # DEPENDENCYPART_ARC
(12,19),0.799457 # DEPENDENCYPART_ARC
(12,20),-1.27411 # DEPENDENCYPART_ARC
(12,21),-0.774246 # DEPENDENCYPART_ARC
(12,22),-0.648493 # DEPENDENCYPART_ARC
(12,23),-1.33021 # DEPENDENCYPART_ARC
(12,24),-1.44197 # DEPENDENCYPART_ARC
(12,25),-1.79383 # DEPENDENCYPART_ARC
(12,26),-1.15756 # DEPENDENCYPART_ARC
(12,27),0.342814 # DEPENDENCYPART_ARC
(12,28),-2.10316 # DEPENDENCYPART_ARC
(12,29),-2.25316 # DEPENDENCYPART_ARC
(12,30),-2.66357 # DEPENDENCYPART_ARC
(12,31),-1.84463 # DEPENDENCYPART_ARC
(12,32),-0.958135 # DEPENDENCYPART_ARC
(12,33),-4.6169 # DEPENDENCYPART_ARC
(12,34),-2.67683 # DEPENDENCYPART_ARC
(12,35),-2.31258 # DEPENDENCYPART_ARC
(12,36),0.73419 # DEPENDENCYPART_ARC
(13,1),-2.7478 # DEPENDENCYPART_ARC
(13,2),-2.72036 # DEPENDENCYPART_ARC
(13,3),-2.36355 # DEPENDENCYPART_ARC
(13,4),-2.84665 # DEPENDENCYPART_ARC
(13,5),-1.72862 # DEPENDENCYPART_ARC
(13,6),-2.16858 # DEPENDENCYPART_ARC
(13,7),-2.3365 # DEPENDENCYPART_ARC
(13,8),-0.584941 # DEPENDENCYPART_ARC
(13,9),-1.64715 # DEPENDENCYPART_ARC
(13,10),0.0964783 # DEPENDENCYPART_ARC
(13,11),0.948981 # DEPENDENCYPART_ARC
(13,12),0.674415 # DEPENDENCYPART_ARC
(13,14),1.08978 # DEPENDENCYPART_ARC
(13,15),-0.0536389 # DEPENDENCYPART_ARC
(13,16),-1.81639 # DEPENDENCYPART_ARC
(13,17),0.0575588 # DEPENDENCYPART_ARC
(13,18),-0.15715 # DEPENDENCYPART_ARC
(13,19),0.128758 # DEPENDENCYPART_ARC
(13,20),-2.59221 # DEPENDENCYPART_ARC
(13,21),-1.11647 # DEPENDENCYPART_ARC
(13,22),-0.691247 # DEPENDENCYPART_ARC
(13,23),-0.599372 # DEPENDENCYPART_ARC
(13,24),-1.49201 # DEPENDENCYPART_ARC
(13,25),-2.94045 # DEPENDENCYPART_ARC
(13,26),-1.38207 # DEPENDENCYPART_ARC
(13,27),-1.84004 # DEPENDENCYPART_ARC
(13,28),-0.814209 # DEPENDENCYPART_ARC
(13,29),-0.816917 # DEPENDENCYPART_ARC
(13,30),-2.89517 # DEPENDENCYPART_ARC
(13,31),-1.68637 # DEPENDENCYPART_ARC
(13,32),-0.979939 # DEPENDENCYPART_ARC
(13,33),-3.60881 # DEPENDENCYPART_ARC
(13,34),-3.60657 # DEPENDENCYPART_ARC
(13,35),-1.46655 # DEPENDENCYPART_ARC
(13,36),-1.13399 # DEPENDENCYPART_ARC
(14,1),-1.3635 # DEPENDENCYPART_ARC
(14,2),-2.38469 # DEPENDENCYPART_ARC
(14,3),-2.06017 # DEPENDENCYPART_ARC
(14,4),-2.02574 # DEPENDENCYPART_ARC
(14,5),-0.750191 # DEPENDENCYPART_ARC
(14,6),-1.52115 # DEPENDENCYPART_ARC
(14,7),-1.94574 # DEPENDENCYPART_ARC
(14,8),-0.0244018 # DEPENDENCYPART_ARC
(14,9),-1.27364 # DEPENDENCYPART_ARC
(14,10),0.658037 # DEPENDENCYPART_ARC
(14,11),1.1256 # DEPENDENCYPART_ARC
(14,12),0.158486 # DEPENDENCYPART_ARC
