# _root_ El president , que ha fet el_seu discurs en castellà i català , ha recordat un discurs que va fer a Cadaqués l' any_1980 i on exaltava la figura de Salvador_Dalí .
#goldHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
#predictedHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,15,27,20,29,27,29,30,15,
(1,22),-4.94594 # DEPENDENCYPART_ARC
(1,23),-7.56696 # DEPENDENCYPART_ARC
(1,24),-3.37799 # DEPENDENCYPART_ARC
(1,25),-4.19099 # DEPENDENCYPART_ARC
(1,26),-3.87932 # DEPENDENCYPART_ARC
(1,28),-8.77862 # DEPENDENCYPART_ARC
(1,29),-5.09024 # DEPENDENCYPART_ARC
(1,30),-5.28404 # DEPENDENCYPART_ARC
(1,31),-5.98128 # DEPENDENCYPART_ARC
(2,1),4.24012 # DEPENDENCYPART_ARC
(2,3),0.807321 # DEPENDENCYPART_ARC
(2,4),-0.200051 # DEPENDENCYPART_ARC
(2,5),2.60646 # DEPENDENCYPART_ARC
(2,6),2.21039 # DEPENDENCYPART_ARC
(2,7),0.903011 # DEPENDENCYPART_ARC
(2,8),0.872307 # DEPENDENCYPART_ARC
(2,9),0.697602 # DEPENDENCYPART_ARC
(2,10),0.723392 # DEPENDENCYPART_ARC
(2,11),1.87081 # DEPENDENCYPART_ARC
(2,12),1.39304 # DEPENDENCYPART_ARC
(2,13),-0.241064 # DEPENDENCYPART_ARC
(2,14),-1.7888 # DEPENDENCYPART_ARC
(2,15),-0.762385 # DEPENDENCYPART_ARC
(2,16),-1.29182 # DEPENDENCYPART_ARC
(2,17),-0.118683 # DEPENDENCYPART_ARC
(2,18),-3.64969 # DEPENDENCYPART_ARC
(2,19),-2.93601 # DEPENDENCYPART_ARC
(2,20),-1.98067 # DEPENDENCYPART_ARC
(2,21),-2.39573 # DEPENDENCYPART_ARC
(2,22),-1.20066 # DEPENDENCYPART_ARC
(2,23),-1.82865 # DEPENDENCYPART_ARC
(2,24),-0.418393 # DEPENDENCYPART_ARC
(2,25),-2.17162 # DEPENDENCYPART_ARC
(2,26),-2.40556 # DEPENDENCYPART_ARC
(2,27),-2.93433 # DEPENDENCYPART_ARC
(2,28),-2.98934 # DEPENDENCYPART_ARC
(2,29),-2.46202 # DEPENDENCYPART_ARC
(2,30),-5.28233 # DEPENDENCYPART_ARC
(2,31),-3.0257 # DEPENDENCYPART_ARC
(2,32),1.35493 # DEPENDENCYPART_ARC
(3,2),-1.10913 # DEPENDENCYPART_ARC
(3,8),-0.764851 # DEPENDENCYPART_ARC
(3,10),-0.874005 # DEPENDENCYPART_ARC
(3,12),-0.824957 # DEPENDENCYPART_ARC
(3,13),-0.297189 # DEPENDENCYPART_ARC
(3,17),-0.866619 # DEPENDENCYPART_ARC
(3,29),-1.11597 # DEPENDENCYPART_ARC
(4,1),-2.90195 # DEPENDENCYPART_ARC
(4,2),-2.30959 # DEPENDENCYPART_ARC
(4,6),-1.28056 # DEPENDENCYPART_ARC
(4,8),-2.81847 # DEPENDENCYPART_ARC
(4,9),-2.17146 # DEPENDENCYPART_ARC
(4,10),-3.25924 # DEPENDENCYPART_ARC
(4,12),-3.17867 # DEPENDENCYPART_ARC
(4,15),-3.81701 # DEPENDENCYPART_ARC
(4,16),-3.90676 # DEPENDENCYPART_ARC
(4,17),-4.10826 # DEPENDENCYPART_ARC
(4,20),-4.32971 # DEPENDENCYPART_ARC
(4,21),-3.42831 # DEPENDENCYPART_ARC
(4,23),-4.17001 # DEPENDENCYPART_ARC
(4,27),-4.78025 # DEPENDENCYPART_ARC
(4,28),-4.35529 # DEPENDENCYPART_ARC
(4,29),-4.70918 # DEPENDENCYPART_ARC
(4,30),-3.84496 # DEPENDENCYPART_ARC
(5,1),-2.38432 # DEPENDENCYPART_ARC
(5,2),-1.75474 # DEPENDENCYPART_ARC
(5,3),-0.625509 # DEPENDENCYPART_ARC
(5,4),1.29972 # DEPENDENCYPART_ARC
(5,6),1.19318 # DEPENDENCYPART_ARC
(5,8),0.0641403 # DEPENDENCYPART_ARC
(5,9),0.11336 # DEPENDENCYPART_ARC
(5,10),-1.22472 # DEPENDENCYPART_ARC
(5,11),-0.440976 # DEPENDENCYPART_ARC
(5,12),-2.21638 # DEPENDENCYPART_ARC
(5,13),0.0274182 # DEPENDENCYPART_ARC
(5,14),-1.08363 # DEPENDENCYPART_ARC
(5,15),-1.04111 # DEPENDENCYPART_ARC
(5,16),-4.74701 # DEPENDENCYPART_ARC
(5,17),-1.82362 # DEPENDENCYPART_ARC
(5,18),-4.25031 # DEPENDENCYPART_ARC
(5,19),-2.43902 # DEPENDENCYPART_ARC
(5,20),-1.57496 # DEPENDENCYPART_ARC
(5,21),-1.67885 # DEPENDENCYPART_ARC
(5,22),-3.27438 # DEPENDENCYPART_ARC
(5,23),-3.73595 # DEPENDENCYPART_ARC
(5,24),-1.80503 # DEPENDENCYPART_ARC
(5,25),-0.0280232 # DEPENDENCYPART_ARC
(5,26),-4.47937 # DEPENDENCYPART_ARC
(5,27),-1.86457 # DEPENDENCYPART_ARC
(5,28),-5.26975 # DEPENDENCYPART_ARC
(5,29),-4.32482 # DEPENDENCYPART_ARC
(5,30),-4.32354 # DEPENDENCYPART_ARC
(5,31),-4.74972 # DEPENDENCYPART_ARC
(5,32),3.46443 # DEPENDENCYPART_ARC
(6,1),0.401528 # DEPENDENCYPART_ARC
(6,2),0.711185 # DEPENDENCYPART_ARC
(6,3),1.84136 # DEPENDENCYPART_ARC
(6,4),4.67901 # DEPENDENCYPART_ARC
(6,5),6.59134 # DEPENDENCYPART_ARC
(6,8),2.95648 # DEPENDENCYPART_ARC
(6,9),2.06555 # DEPENDENCYPART_ARC
(6,10),0.624121 # DEPENDENCYPART_ARC
(6,11),0.570381 # DEPENDENCYPART_ARC
(6,12),-0.393917 # DEPENDENCYPART_ARC
(6,13),1.48784 # DEPENDENCYPART_ARC
(6,14),1.18195 # DEPENDENCYPART_ARC
(6,15),1.22242 # DEPENDENCYPART_ARC
(6,17),-0.10606 # DEPENDENCYPART_ARC
(6,18),-3.18185 # DEPENDENCYPART_ARC
(6,19),-0.652821 # DEPENDENCYPART_ARC
(6,20),-0.0439149 # DEPENDENCYPART_ARC
(6,21),-1.50639 # DEPENDENCYPART_ARC
(6,22),-1.33877 # DEPENDENCYPART_ARC
(6,23),-2.74926 # DEPENDENCYPART_ARC
(6,24),-0.196239 # DEPENDENCYPART_ARC
(6,25),1.1474 # DEPENDENCYPART_ARC
(6,26),-4.10659 # DEPENDENCYPART_ARC
(6,27),0.031991 # DEPENDENCYPART_ARC
(6,28),-4.07623 # DEPENDENCYPART_ARC
(6,29),-2.33178 # DEPENDENCYPART_ARC
(6,30),-3.57692 # DEPENDENCYPART_ARC
(6,31),-2.70119 # DEPENDENCYPART_ARC
(6,32),6.24389 # DEPENDENCYPART_ARC
(7,16),-2.82809 # DEPENDENCYPART_ARC
(8,1),-2.41954 # DEPENDENCYPART_ARC
(8,2),-1.91847 # DEPENDENCYPART_ARC
(8,3),-0.95429 # DEPENDENCYPART_ARC
(8,4),0.0442206 # DEPENDENCYPART_ARC
(8,5),-1.29888 # DEPENDENCYPART_ARC
(8,6),-0.974344 # DEPENDENCYPART_ARC
(8,7),3.94745 # DEPENDENCYPART_ARC
(8,9),2.00995 # DEPENDENCYPART_ARC
(8,10),0.774252 # DEPENDENCYPART_ARC
(8,11),1.53369 # DEPENDENCYPART_ARC
(8,12),1.08327 # DEPENDENCYPART_ARC
(8,13),-0.390537 # DEPENDENCYPART_ARC
(8,14),-1.25036 # DEPENDENCYPART_ARC
(8,15),-0.466847 # DEPENDENCYPART_ARC
(8,16),-2.13947 # DEPENDENCYPART_ARC
(8,17),-0.4968 # DEPENDENCYPART_ARC
(8,18),-3.68297 # DEPENDENCYPART_ARC
(8,19),-2.67177 # DEPENDENCYPART_ARC
(8,20),-2.36365 # DEPENDENCYPART_ARC
(8,21),-1.29352 # DEPENDENCYPART_ARC
(8,22),-1.48063 # DEPENDENCYPART_ARC
(8,23),-2.67318 # DEPENDENCYPART_ARC
(8,24),-1.15093 # DEPENDENCYPART_ARC
(8,25),-1.66785 # DEPENDENCYPART_ARC
(8,26),-2.04598 # DEPENDENCYPART_ARC
(8,27),-2.53699 # DEPENDENCYPART_ARC
(8,28),-3.71011 # DEPENDENCYPART_ARC
(8,29),-2.12015 # DEPENDENCYPART_ARC
(8,30),-2.09849 # DEPENDENCYPART_ARC
(8,31),-3.06629 # DEPENDENCYPART_ARC
(8,32),0.757845 # DEPENDENCYPART_ARC
(9,1),-2.55268 # DEPENDENCYPART_ARC
(9,2),-2.59156 # DEPENDENCYPART_ARC
(9,3),-1.45796 # DEPENDENCYPART_ARC
(9,4),-1.78507 # DEPENDENCYPART_ARC
(9,5),-1.30679 # DEPENDENCYPART_ARC
(9,6),-1.6521 # DEPENDENCYPART_ARC
(9,8),0.0208885 # DEPENDENCYPART_ARC
(9,10),4.46467 # DEPENDENCYPART_ARC
(9,11),1.10248 # DEPENDENCYPART_ARC
(9,12),0.000403608 # DEPENDENCYPART_ARC
(9,13),0.231378 # DEPENDENCYPART_ARC
(9,14),-1.92817 # DEPENDENCYPART_ARC
(9,15),-1.64874 # DEPENDENCYPART_ARC
(9,16),-3.26768 # DEPENDENCYPART_ARC
(9,17),-5.42585 # DEPENDENCYPART_ARC
(9,18),-3.87659 # DEPENDENCYPART_ARC
(9,19),-4.44404 # DEPENDENCYPART_ARC
(9,20),-4.44616 # DEPENDENCYPART_ARC
(9,21),-1.75667 # DEPENDENCYPART_ARC
(9,22),-8.60481 # DEPENDENCYPART_ARC
(9,23),-2.74104 # DEPENDENCYPART_ARC
(9,24),-3.78541 # DEPENDENCYPART_ARC
(9,25),-2.31786 # DEPENDENCYPART_ARC
(9,26),-4.99946 # DEPENDENCYPART_ARC
(9,27),-5.46121 # DEPENDENCYPART_ARC
(9,28),-3.39365 # DEPENDENCYPART_ARC
(9,29),-14.6827 # DEPENDENCYPART_ARC
(9,30),-5.33678 # DEPENDENCYPART_ARC
(9,31),-16.257 # DEPENDENCYPART_ARC
(9,32),-1.57764 # DEPENDENCYPART_ARC
(10,1),-5.33559 # DEPENDENCYPART_ARC
(10,2),-3.98208 # DEPENDENCYPART_ARC
(10,3),-3.57313 # DEPENDENCYPART_ARC
(10,4),-2.48283 # DEPENDENCYPART_ARC
(10,5),-3.62677 # DEPENDENCYPART_ARC
(10,6),-3.72533 # DEPENDENCYPART_ARC
(10,7),-0.126671 # DEPENDENCYPART_ARC
(10,8),-1.80234 # DEPENDENCYPART_ARC
(10,9),0.327117 # DEPENDENCYPART_ARC
(10,11),3.46849 # DEPENDENCYPART_ARC
(10,12),3.34113 # DEPENDENCYPART_ARC
(10,13),-0.328482 # DEPENDENCYPART_ARC
(10,14),-0.322516 # DEPENDENCYPART_ARC
(10,15),-0.288715 # DEPENDENCYPART_ARC
(10,16),-1.50341 # DEPENDENCYPART_ARC
(10,17),-0.331053 # DEPENDENCYPART_ARC
(10,18),-3.4493 # DEPENDENCYPART_ARC
(10,19),-2.46002 # DEPENDENCYPART_ARC
(10,20),-2.05348 # DEPENDENCYPART_ARC
(10,21),-1.91464 # DEPENDENCYPART_ARC
(10,22),-0.730719 # DEPENDENCYPART_ARC
(10,23),-2.16928 # DEPENDENCYPART_ARC
(10,24),-1.58016 # DEPENDENCYPART_ARC
(10,25),-1.36576 # DEPENDENCYPART_ARC
(10,26),-1.85299 # DEPENDENCYPART_ARC
(10,27),-2.91709 # DEPENDENCYPART_ARC
(10,28),-3.21199 # DEPENDENCYPART_ARC
(10,29),-2.15593 # DEPENDENCYPART_ARC
(10,30),-2.58227 # DEPENDENCYPART_ARC
(10,31),-1.87548 # DEPENDENCYPART_ARC
(10,32),0.60661 # DEPENDENCYPART_ARC
(11,3),-3.07792 # DEPENDENCYPART_ARC
(11,13),-1.04726 # DEPENDENCYPART_ARC
(11,22),-3.75683 # DEPENDENCYPART_ARC
(11,31),-4.8646 # DEPENDENCYPART_ARC
(12,1),-4.27331 # DEPENDENCYPART_ARC
(12,2),-1.94041 # DEPENDENCYPART_ARC
(12,3),-1.14555 # DEPENDENCYPART_ARC
(12,4),-0.349631 # DEPENDENCYPART_ARC
(12,5),-1.35137 # DEPENDENCYPART_ARC
(12,6),-1.31814 # DEPENDENCYPART_ARC
(12,7),0.793694 # DEPENDENCYPART_ARC
(12,8),-0.730132 # DEPENDENCYPART_ARC
(12,9),0.465358 # DEPENDENCYPART_ARC
(12,10),1.07936 # DEPENDENCYPART_ARC
(12,11),1.373 # DEPENDENCYPART_ARC
(12,13),-0.461076 # DEPENDENCYPART_ARC
(12,14),-1.04226 # DEPENDENCYPART_ARC
(12,15),-1.09844 # DEPENDENCYPART_ARC
(12,16),-2.51141 # DEPENDENCYPART_ARC
(12,17),-1.7819 # DEPENDENCYPART_ARC
(12,18),-4.69506 # DEPENDENCYPART_ARC
(12,19),-3.32277 # DEPENDENCYPART_ARC
(12,20),-3.3314 # DEPENDENCYPART_ARC
(12,21),-3.19073 # DEPENDENCYPART_ARC
(12,22),-2.37042 # DEPENDENCYPART_ARC
(12,23),-3.3864 # DEPENDENCYPART_ARC
(12,24),-2.73274 # DEPENDENCYPART_ARC
(12,25),-2.3103 # DEPENDENCYPART_ARC
(12,26),-3.07542 # DEPENDENCYPART_ARC
(12,27),-4.76859 # DEPENDENCYPART_ARC
(12,28),-4.38295 # DEPENDENCYPART_ARC
(12,29),-2.16388 # DEPENDENCYPART_ARC
(12,30),-4.20976 # DEPENDENCYPART_ARC
(12,31),-2.52892 # DEPENDENCYPART_ARC
(12,32),0.17256 # DEPENDENCYPART_ARC
(13,2),-3.93289 # DEPENDENCYPART_ARC
(13,3),-2.19543 # DEPENDENCYPART_ARC
(13,8),-3.06821 # DEPENDENCYPART_ARC
(13,10),-2.43011 # DEPENDENCYPART_ARC
(13,12),-1.51169 # DEPENDENCYPART_ARC
(13,17),-2.7974 # DEPENDENCYPART_ARC
(13,29),-3.08238 # DEPENDENCYPART_ARC
(14,1),-4.49171 # DEPENDENCYPART_ARC
(14,2),-2.11639 # DEPENDENCYPART_ARC
(14,3),-4.16638 # DEPENDENCYPART_ARC
(14,4),-1.02049 # DEPENDENCYPART_ARC
(14,5),-1.52838 # DEPENDENCYPART_ARC
(14,6),-2.77732 # DEPENDENCYPART_ARC
(14,8),-1.47227 # DEPENDENCYPART_ARC
(14,9),-1.57221 # DEPENDENCYPART_ARC
(14,10),-1.31113 # DEPENDENCYPART_ARC
(14,11),-1.80036 # DEPENDENCYPART_ARC
(14,12),-0.722954 # DEPENDENCYPART_ARC
(14,13),-1.43471 # DEPENDENCYPART_ARC
(14,15),0.728022 # DEPENDENCYPART_ARC
(14,16),-3.45936 # DEPENDENCYPART_ARC
(14,17),0.111168 # DEPENDENCYPART_ARC
(14,18),-3.21893 # DEPENDENCYPART_ARC
(14,19),-1.7188 # DEPENDENCYPART_ARC
(14,20),-1.32862 # DEPENDENCYPART_ARC
(14,21),-0.793668 # DEPENDENCYPART_ARC
(14,22),-2.10442 # DEPENDENCYPART_ARC
(14,23),-3.78585 # DEPENDENCYPART_ARC
(14,24),-1.29615 # DEPENDENCYPART_ARC
(14,25),0.361086 # DEPENDENCYPART_ARC
(14,26),-3.44985 # DEPENDENCYPART_ARC
(14,27),-1.70551 # DEPENDENCYPART_ARC
(14,28),-5.04501 # DEPENDENCYPART_ARC
(14,29),-2.07227 # DEPENDENCYPART_ARC
(14,30),-3.19814 # DEPENDENCYPART_ARC
(14,31),-2.72749 # DEPENDENCYPART_ARC
(14,32),4.18984 # DEPENDENCYPART_ARC
(15,1),-1.97468 # DEPENDENCYPART_ARC
(15,2),-0.34539 # DEPENDENCYPART_ARC
(15,3),-2.12869 # DEPENDENCYPART_ARC
(15,4),0.839982 # DEPENDENCYPART_ARC
(15,5),1.57495 # DEPENDENCYPART_ARC
(15,6),-0.289579 # DEPENDENCYPART_ARC
(15,8),1.1513 # DEPENDENCYPART_ARC
(15,9),0.225732 # DEPENDENCYPART_ARC
(15,10),0.591334 # DEPENDENCYPART_ARC
(15,11),-0.0215675 # DEPENDENCYPART_ARC
(15,12),0.972162 # DEPENDENCYPART_ARC
(15,13),0.304698 # DEPENDENCYPART_ARC
(15,14),6.79878 # DEPENDENCYPART_ARC
(15,17),3.62116 # DEPENDENCYPART_ARC
(15,18),-1.03254 # DEPENDENCYPART_ARC
(15,19),1.25858 # DEPENDENCYPART_ARC
(15,20),1.13447 # DEPENDENCYPART_ARC
(15,21),1.36435 # DEPENDENCYPART_ARC
(15,22),0.0657229 # DEPENDENCYPART_ARC
(15,23),-2.13894 # DEPENDENCYPART_ARC
(15,24),0.749132 # DEPENDENCYPART_ARC
(15,25),2.4921 # DEPENDENCYPART_ARC
(15,26),-2.09841 # DEPENDENCYPART_ARC
(15,27),1.07728 # DEPENDENCYPART_ARC
(15,28),-3.25421 # DEPENDENCYPART_ARC
(15,29),-0.435625 # DEPENDENCYPART_ARC
(15,30),-0.398352 # DEPENDENCYPART_ARC
(15,31),-0.913212 # DEPENDENCYPART_ARC
(15,32),7.02889 # DEPENDENCYPART_ARC
(16,2),-3.95759 # DEPENDENCYPART_ARC
(16,8),-3.20848 # DEPENDENCYPART_ARC
(16,9),-2.44772 # DEPENDENCYPART_ARC
(16,10),-3.04903 # DEPENDENCYPART_ARC
(16,11),-2.29785 # DEPENDENCYPART_ARC
(16,12),-2.8325 # DEPENDENCYPART_ARC
(16,17),1.49472 # DEPENDENCYPART_ARC
(16,21),-1.5779 # DEPENDENCYPART_ARC
(16,25),-2.53317 # DEPENDENCYPART_ARC
(16,29),-2.49022 # DEPENDENCYPART_ARC
(16,30),-3.44916 # DEPENDENCYPART_ARC
(17,1),-5.51304 # DEPENDENCYPART_ARC
(17,2),-1.55518 # DEPENDENCYPART_ARC
(17,3),-1.37547 # DEPENDENCYPART_ARC
(17,4),-0.360183 # DEPENDENCYPART_ARC
(17,5),-1.62997 # DEPENDENCYPART_ARC
(17,6),-1.72591 # DEPENDENCYPART_ARC
(17,7),-1.59537 # DEPENDENCYPART_ARC
(17,8),-0.10709 # DEPENDENCYPART_ARC
(17,9),0.197818 # DEPENDENCYPART_ARC
(17,10),-0.437879 # DEPENDENCYPART_ARC
(17,11),-0.172447 # DEPENDENCYPART_ARC
(17,12),-0.78047 # DEPENDENCYPART_ARC
(17,13),0.272559 # DEPENDENCYPART_ARC
(17,14),-0.209327 # DEPENDENCYPART_ARC
(17,15),-0.0343406 # DEPENDENCYPART_ARC
(17,16),4.83949 # DEPENDENCYPART_ARC
(17,18),0.401139 # DEPENDENCYPART_ARC
(17,19),2.84013 # DEPENDENCYPART_ARC
(17,20),2.93587 # DEPENDENCYPART_ARC
(17,21),0.290993 # DEPENDENCYPART_ARC
(17,22),-0.272701 # DEPENDENCYPART_ARC
(17,23),-0.89723 # DEPENDENCYPART_ARC
(17,24),0.245617 # DEPENDENCYPART_ARC
(17,25),0.132372 # DEPENDENCYPART_ARC
(17,26),-0.319235 # DEPENDENCYPART_ARC
(17,27),0.99477 # DEPENDENCYPART_ARC
(17,28),-2.0458 # DEPENDENCYPART_ARC
(17,29),-0.371416 # DEPENDENCYPART_ARC
(17,30),0.218541 # DEPENDENCYPART_ARC
(17,31),-0.445548 # DEPENDENCYPART_ARC
(17,32),2.56696 # DEPENDENCYPART_ARC
(18,1),-6.21968 # DEPENDENCYPART_ARC
(18,2),-4.17896 # DEPENDENCYPART_ARC
(18,6),-3.62297 # DEPENDENCYPART_ARC
(18,8),-3.68218 # DEPENDENCYPART_ARC
(18,9),-2.2014 # DEPENDENCYPART_ARC
(18,10),-3.54853 # DEPENDENCYPART_ARC
(18,12),-3.58942 # DEPENDENCYPART_ARC
(18,15),-2.37284 # DEPENDENCYPART_ARC
(18,16),-2.08758 # DEPENDENCYPART_ARC
(18,17),-1.53212 # DEPENDENCYPART_ARC
(18,20),-0.729526 # DEPENDENCYPART_ARC
(18,21),-0.862651 # DEPENDENCYPART_ARC
(18,23),-2.72041 # DEPENDENCYPART_ARC
(18,27),-2.34137 # DEPENDENCYPART_ARC
(18,28),-3.10908 # DEPENDENCYPART_ARC
(18,29),-3.24083 # DEPENDENCYPART_ARC
(18,30),-2.38122 # DEPENDENCYPART_ARC
(19,1),-6.89975 # DEPENDENCYPART_ARC
(19,2),-4.2552 # DEPENDENCYPART_ARC
(19,3),-6.02132 # DEPENDENCYPART_ARC
(19,4),-3.66609 # DEPENDENCYPART_ARC
(19,5),-2.86223 # DEPENDENCYPART_ARC
(19,6),-4.35564 # DEPENDENCYPART_ARC
(19,8),-2.64681 # DEPENDENCYPART_ARC
(19,9),-3.33972 # DEPENDENCYPART_ARC
(19,10),-2.73756 # DEPENDENCYPART_ARC
(19,11),-4.18857 # DEPENDENCYPART_ARC
(19,12),-2.77793 # DEPENDENCYPART_ARC
(19,13),-3.74029 # DEPENDENCYPART_ARC
(19,14),-0.880277 # DEPENDENCYPART_ARC
(19,15),-3.05841 # DEPENDENCYPART_ARC
(19,16),-2.84836 # DEPENDENCYPART_ARC
(19,17),-1.60339 # DEPENDENCYPART_ARC
(19,18),1.34227 # DEPENDENCYPART_ARC
(19,20),0.786311 # DEPENDENCYPART_ARC
(19,21),0.708117 # DEPENDENCYPART_ARC
(19,22),-1.53441 # DEPENDENCYPART_ARC
(19,23),-3.81216 # DEPENDENCYPART_ARC
(19,24),-1.13006 # DEPENDENCYPART_ARC
(19,25),0.100071 # DEPENDENCYPART_ARC
(19,26),-3.75108 # DEPENDENCYPART_ARC
(19,27),-1.84816 # DEPENDENCYPART_ARC
(19,28),-5.52205 # DEPENDENCYPART_ARC
(19,29),-2.59727 # DEPENDENCYPART_ARC
(19,30),-2.26988 # DEPENDENCYPART_ARC
(19,31),-3.04998 # DEPENDENCYPART_ARC
(19,32),1.85439 # DEPENDENCYPART_ARC
(20,1),-3.05634 # DEPENDENCYPART_ARC
(20,2),-1.85815 # DEPENDENCYPART_ARC
(20,3),-3.37582 # DEPENDENCYPART_ARC
(20,4),0.526549 # DEPENDENCYPART_ARC
(20,5),-0.656824 # DEPENDENCYPART_ARC
(20,6),-2.27239 # DEPENDENCYPART_ARC
(20,8),-0.205817 # DEPENDENCYPART_ARC
(20,9),-0.643386 # DEPENDENCYPART_ARC
(20,10),-0.611267 # DEPENDENCYPART_ARC
(20,11),-1.62455 # DEPENDENCYPART_ARC
(20,12),-0.502987 # DEPENDENCYPART_ARC
(20,13),-1.79266 # DEPENDENCYPART_ARC
(20,14),1.68171 # DEPENDENCYPART_ARC
(20,15),-0.701865 # DEPENDENCYPART_ARC
(20,17),1.64674 # DEPENDENCYPART_ARC
(20,18),4.57107 # DEPENDENCYPART_ARC
(20,19),5.43305 # DEPENDENCYPART_ARC
(20,21),4.02943 # DEPENDENCYPART_ARC
(20,22),2.07252 # DEPENDENCYPART_ARC
(20,23),-1.63252 # DEPENDENCYPART_ARC
(20,24),1.90494 # DEPENDENCYPART_ARC
(20,25),2.3137 # DEPENDENCYPART_ARC
(20,26),-1.66042 # DEPENDENCYPART_ARC
(20,27),1.8462 # DEPENDENCYPART_ARC
(20,28),-2.82122 # DEPENDENCYPART_ARC
(20,29),0.690536 # DEPENDENCYPART_ARC
(20,30),0.0145827 # DEPENDENCYPART_ARC
(20,31),-1.06338 # DEPENDENCYPART_ARC
(20,32),4.83706 # DEPENDENCYPART_ARC
(21,1),-2.1165 # DEPENDENCYPART_ARC
(21,2),-2.44685 # DEPENDENCYPART_ARC
(21,3),-3.9836 # DEPENDENCYPART_ARC
(21,4),-1.7412 # DEPENDENCYPART_ARC
(21,5),-1.12958 # DEPENDENCYPART_ARC
(21,6),-1.86281 # DEPENDENCYPART_ARC
(21,8),-1.91046 # DEPENDENCYPART_ARC
(21,9),-2.04798 # DEPENDENCYPART_ARC
(21,10),-1.61917 # DEPENDENCYPART_ARC
(21,11),-0.681211 # DEPENDENCYPART_ARC
(21,12),-1.98913 # DEPENDENCYPART_ARC
(21,13),-2.04579 # DEPENDENCYPART_ARC
(21,14),-0.823032 # DEPENDENCYPART_ARC
(21,15),-1.51525 # DEPENDENCYPART_ARC
(21,16),-0.596468 # DEPENDENCYPART_ARC
(21,17),-0.925709 # DEPENDENCYPART_ARC
(21,18),-0.340818 # DEPENDENCYPART_ARC
(21,19),0.375172 # DEPENDENCYPART_ARC
(21,20),1.14879 # DEPENDENCYPART_ARC
(21,22),5.00091 # DEPENDENCYPART_ARC
(21,23),-0.916745 # DEPENDENCYPART_ARC
(21,24),0.05228 # DEPENDENCYPART_ARC
(21,25),-0.229462 # DEPENDENCYPART_ARC
(21,26),-2.21429 # DEPENDENCYPART_ARC
(21,27),-1.31683 # DEPENDENCYPART_ARC
(21,28),-3.4183 # DEPENDENCYPART_ARC
(21,29),-4.96664 # DEPENDENCYPART_ARC
(21,30),-2.776 # DEPENDENCYPART_ARC
(21,31),-5.57264 # DEPENDENCYPART_ARC
(21,32),-0.942272 # DEPENDENCYPART_ARC
(22,1),-9.48191 # DEPENDENCYPART_ARC
(22,2),-3.85587 # DEPENDENCYPART_ARC
(22,3),-3.67777 # DEPENDENCYPART_ARC
(22,4),-2.18557 # DEPENDENCYPART_ARC
(22,5),-4.00793 # DEPENDENCYPART_ARC
(22,6),-3.11982 # DEPENDENCYPART_ARC
(22,7),-5.15339 # DEPENDENCYPART_ARC
(22,8),-2.75432 # DEPENDENCYPART_ARC
(22,9),-2.74193 # DEPENDENCYPART_ARC
