# _root_ S' esperen precipitacions al litoral i al Prelitoral nord , així_com al Pirineu i Prepirineu_Oriental a_partir_de la tarda , i seran en forma de neu o calabruix a qualsevol cota i localment d' intensitat moderada .
#goldHeads=2,0,2,2,4,4,4,7,8,4,4,4,12,13,13,12,18,16,12,2,2,21,22,23,24,25,25,22,30,28,22,33,22,33,34,2,
#predictedHeads=2,0,2,2,4,4,4,7,8,2,12,4,12,13,13,2,18,16,2,2,2,21,22,23,24,25,25,21,30,28,21,33,30,33,34,2,
(8,17),-1.2523 # DEPENDENCYPART_ARC
(8,18),0.666895 # DEPENDENCYPART_ARC
(8,19),0.176735 # DEPENDENCYPART_ARC
(8,20),-0.373029 # DEPENDENCYPART_ARC
(8,21),-1.41441 # DEPENDENCYPART_ARC
(8,22),-2.25207 # DEPENDENCYPART_ARC
(8,23),-1.07724 # DEPENDENCYPART_ARC
(8,24),-2.77372 # DEPENDENCYPART_ARC
(8,25),-0.696214 # DEPENDENCYPART_ARC
(8,26),0.14427 # DEPENDENCYPART_ARC
(8,27),-1.05234 # DEPENDENCYPART_ARC
(8,28),-2.34805 # DEPENDENCYPART_ARC
(8,29),-2.5373 # DEPENDENCYPART_ARC
(8,30),-1.81064 # DEPENDENCYPART_ARC
(8,31),-2.256 # DEPENDENCYPART_ARC
(8,32),-2.34465 # DEPENDENCYPART_ARC
(8,33),-5.62264 # DEPENDENCYPART_ARC
(8,34),-3.03448 # DEPENDENCYPART_ARC
(8,35),-1.85318 # DEPENDENCYPART_ARC
(8,36),1.5531 # DEPENDENCYPART_ARC
(9,1),-1.73907 # DEPENDENCYPART_ARC
(9,2),-2.05086 # DEPENDENCYPART_ARC
(9,3),-2.42937 # DEPENDENCYPART_ARC
(9,4),-1.29706 # DEPENDENCYPART_ARC
(9,5),-1.93888 # DEPENDENCYPART_ARC
(9,6),-0.658626 # DEPENDENCYPART_ARC
(9,7),-0.903738 # DEPENDENCYPART_ARC
(9,8),-0.103334 # DEPENDENCYPART_ARC
(9,10),0.314597 # DEPENDENCYPART_ARC
(9,11),-0.310873 # DEPENDENCYPART_ARC
(9,12),-1.16135 # DEPENDENCYPART_ARC
(9,13),-0.758157 # DEPENDENCYPART_ARC
(9,14),0.307281 # DEPENDENCYPART_ARC
(9,15),-1.32156 # DEPENDENCYPART_ARC
(9,16),-1.85038 # DEPENDENCYPART_ARC
(9,17),-2.25172 # DEPENDENCYPART_ARC
(9,18),-1.91595 # DEPENDENCYPART_ARC
(9,19),-0.775671 # DEPENDENCYPART_ARC
(9,20),-0.866533 # DEPENDENCYPART_ARC
(9,21),-1.59993 # DEPENDENCYPART_ARC
(9,22),-2.69634 # DEPENDENCYPART_ARC
(9,23),-2.56565 # DEPENDENCYPART_ARC
(9,24),-4.02509 # DEPENDENCYPART_ARC
(9,25),-2.69062 # DEPENDENCYPART_ARC
(9,26),-1.76095 # DEPENDENCYPART_ARC
(9,27),-2.74064 # DEPENDENCYPART_ARC
(9,28),-3.89339 # DEPENDENCYPART_ARC
(9,29),-2.98187 # DEPENDENCYPART_ARC
(9,30),-3.04444 # DEPENDENCYPART_ARC
(9,31),-1.93288 # DEPENDENCYPART_ARC
(9,32),-2.17938 # DEPENDENCYPART_ARC
(9,33),-6.93058 # DEPENDENCYPART_ARC
(9,34),-3.29596 # DEPENDENCYPART_ARC
(9,35),-3.03736 # DEPENDENCYPART_ARC
(9,36),-2.27599 # DEPENDENCYPART_ARC
(10,1),-2.11605 # DEPENDENCYPART_ARC
(10,2),-2.16546 # DEPENDENCYPART_ARC
(10,3),-2.02768 # DEPENDENCYPART_ARC
(10,4),-1.22768 # DEPENDENCYPART_ARC
(10,5),-1.82961 # DEPENDENCYPART_ARC
(10,6),-1.16035 # DEPENDENCYPART_ARC
(10,7),-0.781275 # DEPENDENCYPART_ARC
(10,8),-1.02511 # DEPENDENCYPART_ARC
(10,9),0.411148 # DEPENDENCYPART_ARC
(10,11),-0.907778 # DEPENDENCYPART_ARC
(10,12),-1.48012 # DEPENDENCYPART_ARC
(10,13),-1.42973 # DEPENDENCYPART_ARC
(10,14),-0.742167 # DEPENDENCYPART_ARC
(10,15),-1.52622 # DEPENDENCYPART_ARC
(10,16),-1.3969 # DEPENDENCYPART_ARC
(10,17),-2.11732 # DEPENDENCYPART_ARC
(10,18),-1.71773 # DEPENDENCYPART_ARC
(10,19),-1.27333 # DEPENDENCYPART_ARC
(10,20),-0.610328 # DEPENDENCYPART_ARC
(10,21),-1.23675 # DEPENDENCYPART_ARC
(10,22),-1.66636 # DEPENDENCYPART_ARC
(10,23),-2.02108 # DEPENDENCYPART_ARC
(10,24),-1.90532 # DEPENDENCYPART_ARC
(10,25),-2.18811 # DEPENDENCYPART_ARC
(10,26),-1.12803 # DEPENDENCYPART_ARC
(10,27),-2.01868 # DEPENDENCYPART_ARC
(10,28),-1.89955 # DEPENDENCYPART_ARC
(10,29),-2.52988 # DEPENDENCYPART_ARC
(10,30),-2.1838 # DEPENDENCYPART_ARC
(10,31),-1.34127 # DEPENDENCYPART_ARC
(10,32),-2.51263 # DEPENDENCYPART_ARC
(10,33),-2.17113 # DEPENDENCYPART_ARC
(10,34),-2.58267 # DEPENDENCYPART_ARC
(10,35),-2.55181 # DEPENDENCYPART_ARC
(10,36),-2.37062 # DEPENDENCYPART_ARC
(11,1),-1.69465 # DEPENDENCYPART_ARC
(11,2),-1.87602 # DEPENDENCYPART_ARC
(11,3),-1.94816 # DEPENDENCYPART_ARC
(11,4),-0.448494 # DEPENDENCYPART_ARC
(11,5),-1.63734 # DEPENDENCYPART_ARC
(11,6),-0.742219 # DEPENDENCYPART_ARC
(11,7),-0.646034 # DEPENDENCYPART_ARC
(11,8),-1.25849 # DEPENDENCYPART_ARC
(11,9),0.114637 # DEPENDENCYPART_ARC
(11,10),1.34009 # DEPENDENCYPART_ARC
(11,12),1.02053 # DEPENDENCYPART_ARC
(11,13),0.347692 # DEPENDENCYPART_ARC
(11,14),0.446791 # DEPENDENCYPART_ARC
(11,15),-0.475709 # DEPENDENCYPART_ARC
(11,16),-0.392334 # DEPENDENCYPART_ARC
(11,17),-1.22929 # DEPENDENCYPART_ARC
(11,18),-0.595412 # DEPENDENCYPART_ARC
(11,19),0.399316 # DEPENDENCYPART_ARC
(11,20),0.128202 # DEPENDENCYPART_ARC
(11,21),-0.0165248 # DEPENDENCYPART_ARC
(11,22),-2.05845 # DEPENDENCYPART_ARC
(11,23),-1.42917 # DEPENDENCYPART_ARC
(11,24),-2.16048 # DEPENDENCYPART_ARC
(11,25),-1.42529 # DEPENDENCYPART_ARC
(11,26),-0.456853 # DEPENDENCYPART_ARC
(11,27),-1.28169 # DEPENDENCYPART_ARC
(11,28),-1.60113 # DEPENDENCYPART_ARC
(11,29),-1.65592 # DEPENDENCYPART_ARC
(11,30),-1.36915 # DEPENDENCYPART_ARC
(11,31),-0.583125 # DEPENDENCYPART_ARC
(11,32),-1.28982 # DEPENDENCYPART_ARC
(11,33),-2.33459 # DEPENDENCYPART_ARC
(11,34),-1.64996 # DEPENDENCYPART_ARC
(11,35),-1.62101 # DEPENDENCYPART_ARC
(11,36),-0.145402 # DEPENDENCYPART_ARC
(12,1),-1.7623 # DEPENDENCYPART_ARC
(12,2),-2.52754 # DEPENDENCYPART_ARC
(12,3),-2.80673 # DEPENDENCYPART_ARC
(12,4),-2.29624 # DEPENDENCYPART_ARC
(12,5),-2.21694 # DEPENDENCYPART_ARC
(12,6),-0.948408 # DEPENDENCYPART_ARC
(12,7),-1.94131 # DEPENDENCYPART_ARC
(12,8),-1.6709 # DEPENDENCYPART_ARC
(12,9),-0.865804 # DEPENDENCYPART_ARC
(12,10),1.42151 # DEPENDENCYPART_ARC
(12,11),1.51481 # DEPENDENCYPART_ARC
(12,13),4.36501 # DEPENDENCYPART_ARC
(12,14),1.60399 # DEPENDENCYPART_ARC
(12,15),-0.286969 # DEPENDENCYPART_ARC
(12,16),0.0605176 # DEPENDENCYPART_ARC
(12,17),-1.76341 # DEPENDENCYPART_ARC
(12,18),-2.26848 # DEPENDENCYPART_ARC
(12,19),1.2972 # DEPENDENCYPART_ARC
(12,20),0.302232 # DEPENDENCYPART_ARC
(12,21),-1.23919 # DEPENDENCYPART_ARC
(12,22),-1.55428 # DEPENDENCYPART_ARC
(12,23),-5.71521 # DEPENDENCYPART_ARC
(12,24),-1.86231 # DEPENDENCYPART_ARC
(12,25),-6.54182 # DEPENDENCYPART_ARC
(12,26),-0.106827 # DEPENDENCYPART_ARC
(12,27),-8.39465 # DEPENDENCYPART_ARC
(12,28),-0.209677 # DEPENDENCYPART_ARC
(12,29),-1.17019 # DEPENDENCYPART_ARC
(12,30),-10.5031 # DEPENDENCYPART_ARC
(12,31),-0.464372 # DEPENDENCYPART_ARC
(12,32),-1.79688 # DEPENDENCYPART_ARC
(12,33),-2.38173 # DEPENDENCYPART_ARC
(12,34),-11.7734 # DEPENDENCYPART_ARC
(12,35),-4.54418 # DEPENDENCYPART_ARC
(12,36),2.20617 # DEPENDENCYPART_ARC
(13,1),-3.37873 # DEPENDENCYPART_ARC
(13,2),-3.29674 # DEPENDENCYPART_ARC
(13,3),-3.10719 # DEPENDENCYPART_ARC
(13,4),-2.76988 # DEPENDENCYPART_ARC
(13,5),-2.61962 # DEPENDENCYPART_ARC
(13,6),-2.22665 # DEPENDENCYPART_ARC
(13,7),-2.36358 # DEPENDENCYPART_ARC
(13,8),-2.3828 # DEPENDENCYPART_ARC
(13,9),-2.87249 # DEPENDENCYPART_ARC
(13,10),-1.73543 # DEPENDENCYPART_ARC
(13,11),-0.972645 # DEPENDENCYPART_ARC
(13,12),-0.0189024 # DEPENDENCYPART_ARC
(13,14),3.83558 # DEPENDENCYPART_ARC
(13,15),2.98704 # DEPENDENCYPART_ARC
(13,16),0.809307 # DEPENDENCYPART_ARC
(13,17),-0.730694 # DEPENDENCYPART_ARC
(13,18),1.42499 # DEPENDENCYPART_ARC
(13,19),0.142563 # DEPENDENCYPART_ARC
(13,20),-0.02879 # DEPENDENCYPART_ARC
(13,21),-0.0610248 # DEPENDENCYPART_ARC
(13,22),-1.58644 # DEPENDENCYPART_ARC
(13,23),-0.739236 # DEPENDENCYPART_ARC
(13,24),-1.36189 # DEPENDENCYPART_ARC
(13,25),-0.394902 # DEPENDENCYPART_ARC
(13,26),0.370271 # DEPENDENCYPART_ARC
(13,27),-0.301578 # DEPENDENCYPART_ARC
(13,28),-1.59768 # DEPENDENCYPART_ARC
(13,29),-2.04352 # DEPENDENCYPART_ARC
(13,30),-1.20653 # DEPENDENCYPART_ARC
(13,31),-1.90694 # DEPENDENCYPART_ARC
(13,32),-1.59247 # DEPENDENCYPART_ARC
(13,33),-4.08037 # DEPENDENCYPART_ARC
(13,34),-2.7875 # DEPENDENCYPART_ARC
(13,35),-1.04514 # DEPENDENCYPART_ARC
(13,36),1.5802 # DEPENDENCYPART_ARC
(14,1),-3.36052 # DEPENDENCYPART_ARC
(14,2),-3.54111 # DEPENDENCYPART_ARC
(14,3),-3.70542 # DEPENDENCYPART_ARC
(14,4),-2.65742 # DEPENDENCYPART_ARC
(14,5),-3.58584 # DEPENDENCYPART_ARC
(14,6),-2.68496 # DEPENDENCYPART_ARC
(14,7),-2.549 # DEPENDENCYPART_ARC
(14,8),-3.40314 # DEPENDENCYPART_ARC
(14,9),-3.21578 # DEPENDENCYPART_ARC
(14,10),-2.34955 # DEPENDENCYPART_ARC
(14,11),-2.23797 # DEPENDENCYPART_ARC
