# _root_ ' La política ha de ser un projecte ètic i moral , un conjunt de principis i de normes presidida pel sentit comú ' , ha dit .
#goldHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,14,20,21,22,6,6,27,0,27,
#predictedHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,19,20,21,22,14,6,27,0,27,
(6,20),0.606171 # DEPENDENCYPART_ARC
(6,21),0.313739 # DEPENDENCYPART_ARC
(6,22),-1.21785 # DEPENDENCYPART_ARC
(6,23),-0.712273 # DEPENDENCYPART_ARC
(6,24),1.57983 # DEPENDENCYPART_ARC
(6,25),0.986557 # DEPENDENCYPART_ARC
(6,26),0.630922 # DEPENDENCYPART_ARC
(6,27),0.657567 # DEPENDENCYPART_ARC
(6,28),3.72137 # DEPENDENCYPART_ARC
(7,1),-1.62537 # DEPENDENCYPART_ARC
(7,2),-2.1183 # DEPENDENCYPART_ARC
(7,3),-2.46218 # DEPENDENCYPART_ARC
(7,4),-2.37714 # DEPENDENCYPART_ARC
(7,5),-0.601151 # DEPENDENCYPART_ARC
(7,6),-0.708682 # DEPENDENCYPART_ARC
(7,8),1.22804 # DEPENDENCYPART_ARC
(7,9),-0.211017 # DEPENDENCYPART_ARC
(7,10),-1.36551 # DEPENDENCYPART_ARC
(7,11),-1.66065 # DEPENDENCYPART_ARC
(7,12),-1.54861 # DEPENDENCYPART_ARC
(7,13),-1.00822 # DEPENDENCYPART_ARC
(7,14),-1.6031 # DEPENDENCYPART_ARC
(7,15),-1.47906 # DEPENDENCYPART_ARC
(7,16),-3.18768 # DEPENDENCYPART_ARC
(7,17),-2.41687 # DEPENDENCYPART_ARC
(7,18),-2.27074 # DEPENDENCYPART_ARC
(7,19),-3.57397 # DEPENDENCYPART_ARC
(7,20),-4.16869 # DEPENDENCYPART_ARC
(7,21),-3.70541 # DEPENDENCYPART_ARC
(7,22),-3.38979 # DEPENDENCYPART_ARC
(7,23),-2.80202 # DEPENDENCYPART_ARC
(7,24),-3.5331 # DEPENDENCYPART_ARC
(7,25),-3.54315 # DEPENDENCYPART_ARC
(7,26),-3.23302 # DEPENDENCYPART_ARC
(7,27),-3.30737 # DEPENDENCYPART_ARC
(7,28),-4.29782 # DEPENDENCYPART_ARC
(8,1),-0.689685 # DEPENDENCYPART_ARC
(8,2),-0.53223 # DEPENDENCYPART_ARC
(8,3),-1.64268 # DEPENDENCYPART_ARC
(8,4),-1.33851 # DEPENDENCYPART_ARC
(8,5),0.398796 # DEPENDENCYPART_ARC
(8,6),0.50931 # DEPENDENCYPART_ARC
(8,7),4.32165 # DEPENDENCYPART_ARC
(8,9),4.283 # DEPENDENCYPART_ARC
(8,10),1.57556 # DEPENDENCYPART_ARC
(8,11),1.69453 # DEPENDENCYPART_ARC
(8,12),0.977589 # DEPENDENCYPART_ARC
(8,13),0.33244 # DEPENDENCYPART_ARC
(8,14),1.56515 # DEPENDENCYPART_ARC
(8,15),1.88798 # DEPENDENCYPART_ARC
(8,16),1.19541 # DEPENDENCYPART_ARC
(8,17),0.133728 # DEPENDENCYPART_ARC
(8,18),-1.13162 # DEPENDENCYPART_ARC
(8,19),0.27981 # DEPENDENCYPART_ARC
(8,20),0.719961 # DEPENDENCYPART_ARC
(8,21),0.342819 # DEPENDENCYPART_ARC
(8,22),0.474847 # DEPENDENCYPART_ARC
(8,23),1.43271 # DEPENDENCYPART_ARC
(8,24),1.35529 # DEPENDENCYPART_ARC
(8,25),-0.486508 # DEPENDENCYPART_ARC
(8,26),-0.487109 # DEPENDENCYPART_ARC
(8,27),-0.660541 # DEPENDENCYPART_ARC
(8,28),0.791239 # DEPENDENCYPART_ARC
(9,1),-1.73326 # DEPENDENCYPART_ARC
(9,2),-1.21925 # DEPENDENCYPART_ARC
(9,3),-1.94007 # DEPENDENCYPART_ARC
(9,4),-1.6955 # DEPENDENCYPART_ARC
(9,5),-0.180511 # DEPENDENCYPART_ARC
(9,6),-1.33735 # DEPENDENCYPART_ARC
(9,7),0.802777 # DEPENDENCYPART_ARC
(9,8),0.480415 # DEPENDENCYPART_ARC
(9,10),3.66227 # DEPENDENCYPART_ARC
(9,11),3.8936 # DEPENDENCYPART_ARC
(9,12),0.646006 # DEPENDENCYPART_ARC
(9,13),-1.22222 # DEPENDENCYPART_ARC
(9,14),-0.514834 # DEPENDENCYPART_ARC
(9,15),-0.693295 # DEPENDENCYPART_ARC
(9,16),-1.02081 # DEPENDENCYPART_ARC
(9,17),0.658645 # DEPENDENCYPART_ARC
(9,18),-0.805655 # DEPENDENCYPART_ARC
(9,19),-1.02481 # DEPENDENCYPART_ARC
(9,20),-0.264632 # DEPENDENCYPART_ARC
(9,21),-0.231809 # DEPENDENCYPART_ARC
(9,22),-0.970815 # DEPENDENCYPART_ARC
(9,23),0.420687 # DEPENDENCYPART_ARC
(9,24),-0.21021 # DEPENDENCYPART_ARC
(9,25),-0.690608 # DEPENDENCYPART_ARC
(9,26),-1.06468 # DEPENDENCYPART_ARC
(9,27),-1.37897 # DEPENDENCYPART_ARC
(9,28),-1.27936 # DEPENDENCYPART_ARC
(10,1),-3.27827 # DEPENDENCYPART_ARC
(10,2),-3.47933 # DEPENDENCYPART_ARC
(10,3),-3.50497 # DEPENDENCYPART_ARC
(10,4),-3.31041 # DEPENDENCYPART_ARC
(10,5),-2.27924 # DEPENDENCYPART_ARC
(10,6),-2.76308 # DEPENDENCYPART_ARC
(10,7),-2.09369 # DEPENDENCYPART_ARC
(10,8),-2.10226 # DEPENDENCYPART_ARC
(10,9),-1.2447 # DEPENDENCYPART_ARC
(10,11),-1.02164 # DEPENDENCYPART_ARC
(10,12),-1.32547 # DEPENDENCYPART_ARC
(10,13),-2.84165 # DEPENDENCYPART_ARC
(10,14),-2.23581 # DEPENDENCYPART_ARC
(10,15),-2.42342 # DEPENDENCYPART_ARC
(10,16),-2.81185 # DEPENDENCYPART_ARC
(10,17),-1.25085 # DEPENDENCYPART_ARC
(10,18),-2.83394 # DEPENDENCYPART_ARC
(10,19),-3.1818 # DEPENDENCYPART_ARC
(10,20),-2.59043 # DEPENDENCYPART_ARC
(10,21),-2.67108 # DEPENDENCYPART_ARC
(10,22),-3.49344 # DEPENDENCYPART_ARC
(10,23),-2.85127 # DEPENDENCYPART_ARC
(10,24),-1.7453 # DEPENDENCYPART_ARC
(10,25),-1.86847 # DEPENDENCYPART_ARC
(10,26),-2.92 # DEPENDENCYPART_ARC
(10,27),-3.57924 # DEPENDENCYPART_ARC
(10,28),-2.38724 # DEPENDENCYPART_ARC
(11,1),-0.997248 # DEPENDENCYPART_ARC
(11,2),-0.466638 # DEPENDENCYPART_ARC
(11,3),-1.37356 # DEPENDENCYPART_ARC
(11,4),-1.39519 # DEPENDENCYPART_ARC
(11,5),0.826551 # DEPENDENCYPART_ARC
(11,6),-0.781125 # DEPENDENCYPART_ARC
(11,7),0.197938 # DEPENDENCYPART_ARC
(11,8),-0.324716 # DEPENDENCYPART_ARC
(11,9),1.95886 # DEPENDENCYPART_ARC
(11,10),2.06551 # DEPENDENCYPART_ARC
(11,12),0.376339 # DEPENDENCYPART_ARC
(11,13),-1.77903 # DEPENDENCYPART_ARC
(11,14),-0.695892 # DEPENDENCYPART_ARC
(11,15),-1.28755 # DEPENDENCYPART_ARC
(11,16),-1.22017 # DEPENDENCYPART_ARC
(11,17),0.319524 # DEPENDENCYPART_ARC
(11,18),-1.9129 # DEPENDENCYPART_ARC
(11,19),-1.74147 # DEPENDENCYPART_ARC
(11,20),-0.797716 # DEPENDENCYPART_ARC
(11,21),-1.48034 # DEPENDENCYPART_ARC
(11,22),-1.85656 # DEPENDENCYPART_ARC
(11,23),-0.520093 # DEPENDENCYPART_ARC
(11,24),-0.716638 # DEPENDENCYPART_ARC
(11,25),-1.05344 # DEPENDENCYPART_ARC
(11,26),-2.55722 # DEPENDENCYPART_ARC
(11,27),-2.43104 # DEPENDENCYPART_ARC
(11,28),-2.01793 # DEPENDENCYPART_ARC
(12,1),-2.09443 # DEPENDENCYPART_ARC
(12,2),-2.84593 # DEPENDENCYPART_ARC
(12,3),-2.87869 # DEPENDENCYPART_ARC
(12,4),-2.76165 # DEPENDENCYPART_ARC
(12,5),-2.03125 # DEPENDENCYPART_ARC
(12,6),-2.41324 # DEPENDENCYPART_ARC
(12,7),-1.8746 # DEPENDENCYPART_ARC
(12,8),-1.99002 # DEPENDENCYPART_ARC
(12,9),-1.2671 # DEPENDENCYPART_ARC
(12,10),-0.896631 # DEPENDENCYPART_ARC
(12,11),-0.374234 # DEPENDENCYPART_ARC
(12,13),-0.826279 # DEPENDENCYPART_ARC
(12,14),-0.724306 # DEPENDENCYPART_ARC
(12,15),-1.32126 # DEPENDENCYPART_ARC
(12,16),-1.45098 # DEPENDENCYPART_ARC
(12,17),-0.625994 # DEPENDENCYPART_ARC
(12,18),-1.25887 # DEPENDENCYPART_ARC
(12,19),-1.53697 # DEPENDENCYPART_ARC
(12,20),-1.52646 # DEPENDENCYPART_ARC
(12,21),-1.32509 # DEPENDENCYPART_ARC
(12,22),-1.71658 # DEPENDENCYPART_ARC
(12,23),-1.54754 # DEPENDENCYPART_ARC
(12,24),-0.817047 # DEPENDENCYPART_ARC
(12,25),-1.54964 # DEPENDENCYPART_ARC
(12,26),-1.30903 # DEPENDENCYPART_ARC
(12,27),-1.74368 # DEPENDENCYPART_ARC
(12,28),-1.69426 # DEPENDENCYPART_ARC
(13,1),-1.88911 # DEPENDENCYPART_ARC
(13,2),-3.28889 # DEPENDENCYPART_ARC
(13,3),-3.09593 # DEPENDENCYPART_ARC
(13,4),-3.35569 # DEPENDENCYPART_ARC
(13,5),-1.61414 # DEPENDENCYPART_ARC
(13,6),-2.86013 # DEPENDENCYPART_ARC
(13,7),-1.75749 # DEPENDENCYPART_ARC
(13,8),-2.23912 # DEPENDENCYPART_ARC
(13,9),-1.54283 # DEPENDENCYPART_ARC
(13,10),-0.901529 # DEPENDENCYPART_ARC
(13,11),-1.44131 # DEPENDENCYPART_ARC
(13,12),0.259089 # DEPENDENCYPART_ARC
(13,14),2.00574 # DEPENDENCYPART_ARC
(13,15),1.70823 # DEPENDENCYPART_ARC
(13,16),-1.1573 # DEPENDENCYPART_ARC
(13,17),-1.1564 # DEPENDENCYPART_ARC
(13,18),-0.134916 # DEPENDENCYPART_ARC
(13,19),-2.30175 # DEPENDENCYPART_ARC
(13,20),-3.3979 # DEPENDENCYPART_ARC
(13,21),-2.28922 # DEPENDENCYPART_ARC
(13,22),-2.18636 # DEPENDENCYPART_ARC
(13,23),-2.04288 # DEPENDENCYPART_ARC
(13,24),-2.57494 # DEPENDENCYPART_ARC
(13,25),-2.63312 # DEPENDENCYPART_ARC
(13,26),-2.50023 # DEPENDENCYPART_ARC
(13,27),-2.5838 # DEPENDENCYPART_ARC
(13,28),-3.22467 # DEPENDENCYPART_ARC
(14,1),-0.346189 # DEPENDENCYPART_ARC
(14,2),-1.62471 # DEPENDENCYPART_ARC
(14,3),-1.69522 # DEPENDENCYPART_ARC
(14,4),-0.817791 # DEPENDENCYPART_ARC
(14,5),-0.231208 # DEPENDENCYPART_ARC
(14,6),0.225964 # DEPENDENCYPART_ARC
(14,7),0.704142 # DEPENDENCYPART_ARC
(14,8),-0.774773 # DEPENDENCYPART_ARC
(14,9),0.629396 # DEPENDENCYPART_ARC
(14,10),0.832623 # DEPENDENCYPART_ARC
(14,11),0.564246 # DEPENDENCYPART_ARC
(14,12),1.7561 # DEPENDENCYPART_ARC
(14,13),5.05147 # DEPENDENCYPART_ARC
(14,15),4.08044 # DEPENDENCYPART_ARC
(14,16),1.53514 # DEPENDENCYPART_ARC
(14,17),1.00597 # DEPENDENCYPART_ARC
(14,18),0.72011 # DEPENDENCYPART_ARC
(14,19),0.937837 # DEPENDENCYPART_ARC
(14,20),1.44811 # DEPENDENCYPART_ARC
(14,21),0.993926 # DEPENDENCYPART_ARC
(14,22),0.855868 # DEPENDENCYPART_ARC
(14,23),2.24805 # DEPENDENCYPART_ARC
(14,24),1.73169 # DEPENDENCYPART_ARC
(14,25),-0.156215 # DEPENDENCYPART_ARC
(14,26),-0.936834 # DEPENDENCYPART_ARC
(14,27),-0.780166 # DEPENDENCYPART_ARC
(14,28),0.83055 # DEPENDENCYPART_ARC
(15,1),-2.00856 # DEPENDENCYPART_ARC
(15,2),-1.70372 # DEPENDENCYPART_ARC
(15,3),-2.1363 # DEPENDENCYPART_ARC
(15,4),-1.65735 # DEPENDENCYPART_ARC
(15,5),-1.93194 # DEPENDENCYPART_ARC
(15,6),-1.11346 # DEPENDENCYPART_ARC
(15,7),-1.47768 # DEPENDENCYPART_ARC
(15,8),-1.69556 # DEPENDENCYPART_ARC
(15,9),-1.35741 # DEPENDENCYPART_ARC
(15,10),-1.16107 # DEPENDENCYPART_ARC
(15,11),-1.26582 # DEPENDENCYPART_ARC
(15,12),-0.141711 # DEPENDENCYPART_ARC
(15,13),0.552711 # DEPENDENCYPART_ARC
(15,14),0.315378 # DEPENDENCYPART_ARC
(15,16),4.55152 # DEPENDENCYPART_ARC
(15,17),2.34295 # DEPENDENCYPART_ARC
(15,18),2.43555 # DEPENDENCYPART_ARC
(15,19),1.18929 # DEPENDENCYPART_ARC
(15,20),-0.879901 # DEPENDENCYPART_ARC
(15,21),-0.170744 # DEPENDENCYPART_ARC
(15,22),-1.16196 # DEPENDENCYPART_ARC
(15,23),-2.4991 # DEPENDENCYPART_ARC
(15,24),0.572354 # DEPENDENCYPART_ARC
(15,25),-0.231804 # DEPENDENCYPART_ARC
(15,26),-2.2075 # DEPENDENCYPART_ARC
(15,27),-1.49239 # DEPENDENCYPART_ARC
(15,28),-0.568767 # DEPENDENCYPART_ARC
(16,1),-2.45131 # DEPENDENCYPART_ARC
(16,2),-3.11822 # DEPENDENCYPART_ARC
(16,3),-2.97318 # DEPENDENCYPART_ARC
(16,4),-0.619346 # DEPENDENCYPART_ARC
(16,5),-1.16734 # DEPENDENCYPART_ARC
(16,6),-0.954082 # DEPENDENCYPART_ARC
(16,7),0.128907 # DEPENDENCYPART_ARC
(16,8),-1.92254 # DEPENDENCYPART_ARC
(16,9),-1.37788 # DEPENDENCYPART_ARC
(16,10),-0.48737 # DEPENDENCYPART_ARC
(16,11),-1.69362 # DEPENDENCYPART_ARC
(16,12),-0.698429 # DEPENDENCYPART_ARC
(16,13),2.32097 # DEPENDENCYPART_ARC
(16,14),-0.337169 # DEPENDENCYPART_ARC
(16,15),2.08532 # DEPENDENCYPART_ARC
(16,17),0.0811624 # DEPENDENCYPART_ARC
(16,18),0.426202 # DEPENDENCYPART_ARC
(16,19),1.04531 # DEPENDENCYPART_ARC
(16,20),-0.740552 # DEPENDENCYPART_ARC
(16,21),0.112691 # DEPENDENCYPART_ARC
(16,22),-0.0674227 # DEPENDENCYPART_ARC
(16,23),0.109395 # DEPENDENCYPART_ARC
(16,24),0.122331 # DEPENDENCYPART_ARC
(16,25),-1.48835 # DEPENDENCYPART_ARC
(16,26),-0.866459 # DEPENDENCYPART_ARC
(16,27),-0.939822 # DEPENDENCYPART_ARC
(16,28),-1.05973 # DEPENDENCYPART_ARC
(17,1),-3.90431 # DEPENDENCYPART_ARC
(17,2),-3.93124 # DEPENDENCYPART_ARC
(17,3),-4.17848 # DEPENDENCYPART_ARC
(17,4),-3.85389 # DEPENDENCYPART_ARC
(17,5),-3.12672 # DEPENDENCYPART_ARC
(17,6),-3.58443 # DEPENDENCYPART_ARC
(17,7),-3.43046 # DEPENDENCYPART_ARC
(17,8),-3.6489 # DEPENDENCYPART_ARC
(17,9),-3.37335 # DEPENDENCYPART_ARC
(17,10),-2.68837 # DEPENDENCYPART_ARC
(17,11),-3.35571 # DEPENDENCYPART_ARC
(17,12),-2.92374 # DEPENDENCYPART_ARC
(17,13),-2.62988 # DEPENDENCYPART_ARC
(17,14),-2.8912 # DEPENDENCYPART_ARC
(17,15),-1.55254 # DEPENDENCYPART_ARC
(17,16),-1.5537 # DEPENDENCYPART_ARC
(17,18),-1.69876 # DEPENDENCYPART_ARC
(17,19),-0.830844 # DEPENDENCYPART_ARC
(17,20),-1.84568 # DEPENDENCYPART_ARC
(17,21),-2.273 # DEPENDENCYPART_ARC
(17,22),-2.11659 # DEPENDENCYPART_ARC
(17,23),-2.5577 # DEPENDENCYPART_ARC
(17,24),-1.68079 # DEPENDENCYPART_ARC
(17,25),-1.76396 # DEPENDENCYPART_ARC
(17,26),-2.39933 # DEPENDENCYPART_ARC
(17,27),-3.08842 # DEPENDENCYPART_ARC
(17,28),-2.35419 # DEPENDENCYPART_ARC
(18,1),-1.31557 # DEPENDENCYPART_ARC
(18,2),-1.22071 # DEPENDENCYPART_ARC
(18,3),-1.62195 # DEPENDENCYPART_ARC
(18,4),-1.25983 # DEPENDENCYPART_ARC
(18,5),-1.54977 # DEPENDENCYPART_ARC
(18,6),-0.806995 # DEPENDENCYPART_ARC
(18,7),-1.14306 # DEPENDENCYPART_ARC
(18,8),-1.26856 # DEPENDENCYPART_ARC
(18,9),-1.07907 # DEPENDENCYPART_ARC
(18,10),-0.916902 # DEPENDENCYPART_ARC
(18,11),-0.988379 # DEPENDENCYPART_ARC
(18,12),-0.593288 # DEPENDENCYPART_ARC
(18,13),-0.176394 # DEPENDENCYPART_ARC
(18,14),-0.675072 # DEPENDENCYPART_ARC
(18,15),0.459614 # DEPENDENCYPART_ARC
(18,16),0.209272 # DEPENDENCYPART_ARC
(18,17),1.01081 # DEPENDENCYPART_ARC
(18,19),4.96805 # DEPENDENCYPART_ARC
(18,20),1.27065 # DEPENDENCYPART_ARC
(18,21),0.0524588 # DEPENDENCYPART_ARC
(18,22),0.907979 # DEPENDENCYPART_ARC
(18,23),-1.64047 # DEPENDENCYPART_ARC
