# _root_ Una persona va morir a Barcelona i una altra a Tarragona , sense que hagi transcendit en quin hospital , perquè encara no s' ha formalitzat la denúncia .
#goldHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
#predictedHeads=2,4,4,0,4,5,6,9,6,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,13,28,26,4,
(2,22),-3.2074 # DEPENDENCYPART_ARC
(2,23),-2.69807 # DEPENDENCYPART_ARC
(2,24),-2.77428 # DEPENDENCYPART_ARC
(2,25),-6.35266 # DEPENDENCYPART_ARC
(2,26),-5.96617 # DEPENDENCYPART_ARC
(2,27),-3.60553 # DEPENDENCYPART_ARC
(2,28),-3.45876 # DEPENDENCYPART_ARC
(2,29),2.1705 # DEPENDENCYPART_ARC
(3,1),-1.12585 # DEPENDENCYPART_ARC
(3,2),0.537385 # DEPENDENCYPART_ARC
(3,4),0.728581 # DEPENDENCYPART_ARC
(3,5),1.21934 # DEPENDENCYPART_ARC
(3,6),-0.795454 # DEPENDENCYPART_ARC
(3,7),-0.22218 # DEPENDENCYPART_ARC
(3,8),-3.95127 # DEPENDENCYPART_ARC
(3,9),-0.932484 # DEPENDENCYPART_ARC
(3,10),-0.325318 # DEPENDENCYPART_ARC
(3,11),-2.43174 # DEPENDENCYPART_ARC
(3,12),-0.923319 # DEPENDENCYPART_ARC
(3,13),-0.234482 # DEPENDENCYPART_ARC
(3,14),-1.98938 # DEPENDENCYPART_ARC
(3,15),-1.26294 # DEPENDENCYPART_ARC
(3,16),-1.41599 # DEPENDENCYPART_ARC
(3,17),-2.31209 # DEPENDENCYPART_ARC
(3,18),-4.92731 # DEPENDENCYPART_ARC
(3,19),-3.78706 # DEPENDENCYPART_ARC
(3,20),-0.425822 # DEPENDENCYPART_ARC
(3,21),-3.64109 # DEPENDENCYPART_ARC
(3,22),-4.7659 # DEPENDENCYPART_ARC
(3,23),-3.98584 # DEPENDENCYPART_ARC
(3,24),-2.86975 # DEPENDENCYPART_ARC
(3,25),-1.9117 # DEPENDENCYPART_ARC
(3,26),-1.89014 # DEPENDENCYPART_ARC
(3,27),-5.10969 # DEPENDENCYPART_ARC
(3,28),-4.92383 # DEPENDENCYPART_ARC
(3,29),4.3071 # DEPENDENCYPART_ARC
(4,1),0.895116 # DEPENDENCYPART_ARC
(4,2),2.76599 # DEPENDENCYPART_ARC
(4,3),5.54833 # DEPENDENCYPART_ARC
(4,5),4.24719 # DEPENDENCYPART_ARC
(4,6),2.2865 # DEPENDENCYPART_ARC
(4,7),1.7251 # DEPENDENCYPART_ARC
(4,8),-1.22873 # DEPENDENCYPART_ARC
(4,9),0.515059 # DEPENDENCYPART_ARC
(4,10),1.62866 # DEPENDENCYPART_ARC
(4,11),-0.771569 # DEPENDENCYPART_ARC
(4,12),1.18559 # DEPENDENCYPART_ARC
(4,13),1.65975 # DEPENDENCYPART_ARC
(4,14),0.115125 # DEPENDENCYPART_ARC
(4,15),2.06004 # DEPENDENCYPART_ARC
(4,16),1.64799 # DEPENDENCYPART_ARC
(4,17),-0.286078 # DEPENDENCYPART_ARC
(4,18),-2.37768 # DEPENDENCYPART_ARC
(4,19),-1.36813 # DEPENDENCYPART_ARC
(4,20),1.97033 # DEPENDENCYPART_ARC
(4,21),-2.10256 # DEPENDENCYPART_ARC
(4,22),-2.57069 # DEPENDENCYPART_ARC
(4,23),-1.61983 # DEPENDENCYPART_ARC
(4,24),-1.60783 # DEPENDENCYPART_ARC
(4,25),1.14426 # DEPENDENCYPART_ARC
(4,26),1.01574 # DEPENDENCYPART_ARC
(4,27),-2.73337 # DEPENDENCYPART_ARC
(4,28),-2.633 # DEPENDENCYPART_ARC
(4,29),7.73252 # DEPENDENCYPART_ARC
(5,1),-1.29252 # DEPENDENCYPART_ARC
(5,2),-1.8896 # DEPENDENCYPART_ARC
(5,3),-0.768158 # DEPENDENCYPART_ARC
(5,4),-0.0309 # DEPENDENCYPART_ARC
(5,6),4.94415 # DEPENDENCYPART_ARC
(5,7),0.743769 # DEPENDENCYPART_ARC
(5,8),-1.76131 # DEPENDENCYPART_ARC
(5,9),-1.02007 # DEPENDENCYPART_ARC
(5,10),1.12499 # DEPENDENCYPART_ARC
(5,11),-0.828075 # DEPENDENCYPART_ARC
(5,12),0.345252 # DEPENDENCYPART_ARC
(5,13),-0.302214 # DEPENDENCYPART_ARC
(5,14),-1.81662 # DEPENDENCYPART_ARC
(5,15),-1.19402 # DEPENDENCYPART_ARC
(5,16),-0.918451 # DEPENDENCYPART_ARC
(5,17),-2.514 # DEPENDENCYPART_ARC
(5,18),-3.25149 # DEPENDENCYPART_ARC
(5,19),-4.82126 # DEPENDENCYPART_ARC
(5,20),-1.6441 # DEPENDENCYPART_ARC
(5,21),-1.36783 # DEPENDENCYPART_ARC
(5,22),-2.0078 # DEPENDENCYPART_ARC
(5,23),-2.24158 # DEPENDENCYPART_ARC
(5,24),-5.88025 # DEPENDENCYPART_ARC
(5,25),-4.04744 # DEPENDENCYPART_ARC
(5,26),-3.18162 # DEPENDENCYPART_ARC
(5,27),-3.19804 # DEPENDENCYPART_ARC
(5,28),-9.71549 # DEPENDENCYPART_ARC
(5,29),-0.389554 # DEPENDENCYPART_ARC
(6,1),-1.1351 # DEPENDENCYPART_ARC
(6,2),-2.13243 # DEPENDENCYPART_ARC
(6,3),-2.05643 # DEPENDENCYPART_ARC
(6,4),-0.837628 # DEPENDENCYPART_ARC
(6,5),0.54514 # DEPENDENCYPART_ARC
(6,7),1.87602 # DEPENDENCYPART_ARC
(6,8),-0.107267 # DEPENDENCYPART_ARC
(6,9),0.598747 # DEPENDENCYPART_ARC
(6,10),0.127704 # DEPENDENCYPART_ARC
(6,11),1.04226 # DEPENDENCYPART_ARC
(6,12),-0.449226 # DEPENDENCYPART_ARC
(6,13),-0.521588 # DEPENDENCYPART_ARC
(6,14),-2.34904 # DEPENDENCYPART_ARC
(6,15),-0.421634 # DEPENDENCYPART_ARC
(6,16),-0.693386 # DEPENDENCYPART_ARC
(6,17),-2.2753 # DEPENDENCYPART_ARC
(6,18),-2.29358 # DEPENDENCYPART_ARC
(6,19),-1.7074 # DEPENDENCYPART_ARC
(6,20),-2.2808 # DEPENDENCYPART_ARC
(6,21),-2.97358 # DEPENDENCYPART_ARC
(6,22),-2.39596 # DEPENDENCYPART_ARC
(6,23),-1.59005 # DEPENDENCYPART_ARC
(6,24),-1.83556 # DEPENDENCYPART_ARC
(6,25),-4.23034 # DEPENDENCYPART_ARC
(6,26),-3.40532 # DEPENDENCYPART_ARC
(6,27),-3.11112 # DEPENDENCYPART_ARC
(6,28),-2.87661 # DEPENDENCYPART_ARC
(6,29),1.2605 # DEPENDENCYPART_ARC
(7,1),-3.50782 # DEPENDENCYPART_ARC
(7,2),-3.47459 # DEPENDENCYPART_ARC
(7,3),-3.08272 # DEPENDENCYPART_ARC
(7,4),-2.65884 # DEPENDENCYPART_ARC
(7,5),-1.3981 # DEPENDENCYPART_ARC
(7,6),-1.4248 # DEPENDENCYPART_ARC
(7,8),-1.78234 # DEPENDENCYPART_ARC
(7,9),-1.0743 # DEPENDENCYPART_ARC
(7,10),-1.32814 # DEPENDENCYPART_ARC
(7,11),-1.64561 # DEPENDENCYPART_ARC
(7,12),-1.4555 # DEPENDENCYPART_ARC
(7,13),-2.13538 # DEPENDENCYPART_ARC
(7,14),-1.25022 # DEPENDENCYPART_ARC
(7,15),-1.64327 # DEPENDENCYPART_ARC
(7,16),-2.20913 # DEPENDENCYPART_ARC
(7,17),-2.69462 # DEPENDENCYPART_ARC
(7,18),-3.93262 # DEPENDENCYPART_ARC
(7,19),-3.6852 # DEPENDENCYPART_ARC
(7,20),-2.5661 # DEPENDENCYPART_ARC
(7,21),-1.97835 # DEPENDENCYPART_ARC
(7,22),-3.62515 # DEPENDENCYPART_ARC
(7,23),-3.51537 # DEPENDENCYPART_ARC
(7,24),-3.11795 # DEPENDENCYPART_ARC
(7,25),-3.14753 # DEPENDENCYPART_ARC
(7,26),-3.31444 # DEPENDENCYPART_ARC
(7,27),-4.23903 # DEPENDENCYPART_ARC
(7,28),-4.64014 # DEPENDENCYPART_ARC
(7,29),-2.1778 # DEPENDENCYPART_ARC
(8,1),-2.24241 # DEPENDENCYPART_ARC
(8,2),-2.74531 # DEPENDENCYPART_ARC
(8,3),-2.66883 # DEPENDENCYPART_ARC
(8,4),-2.11402 # DEPENDENCYPART_ARC
(8,5),-1.02807 # DEPENDENCYPART_ARC
(8,6),-0.934333 # DEPENDENCYPART_ARC
(8,7),-0.0277794 # DEPENDENCYPART_ARC
(8,9),1.67243 # DEPENDENCYPART_ARC
(8,10),-0.201039 # DEPENDENCYPART_ARC
(8,11),-1.61639 # DEPENDENCYPART_ARC
(8,12),-1.48882 # DEPENDENCYPART_ARC
(8,13),-2.01407 # DEPENDENCYPART_ARC
(8,14),-1.27956 # DEPENDENCYPART_ARC
(8,15),-2.19916 # DEPENDENCYPART_ARC
(8,16),-2.80779 # DEPENDENCYPART_ARC
(8,17),-4.16662 # DEPENDENCYPART_ARC
(8,18),-3.21175 # DEPENDENCYPART_ARC
(8,19),-4.04583 # DEPENDENCYPART_ARC
(8,20),-2.77255 # DEPENDENCYPART_ARC
(8,21),-2.36901 # DEPENDENCYPART_ARC
(8,22),-2.64616 # DEPENDENCYPART_ARC
(8,23),-2.71968 # DEPENDENCYPART_ARC
(8,24),-2.95046 # DEPENDENCYPART_ARC
(8,25),-3.4097 # DEPENDENCYPART_ARC
(8,26),-3.56176 # DEPENDENCYPART_ARC
(8,27),-4.32817 # DEPENDENCYPART_ARC
(8,28),-4.20348 # DEPENDENCYPART_ARC
(8,29),-3.30879 # DEPENDENCYPART_ARC
(9,1),0.0637786 # DEPENDENCYPART_ARC
(9,2),-1.15494 # DEPENDENCYPART_ARC
(9,3),-0.466351 # DEPENDENCYPART_ARC
(9,4),-0.421318 # DEPENDENCYPART_ARC
(9,5),0.205044 # DEPENDENCYPART_ARC
(9,6),-0.103599 # DEPENDENCYPART_ARC
(9,7),0.975947 # DEPENDENCYPART_ARC
(9,8),4.1142 # DEPENDENCYPART_ARC
(9,10),2.97534 # DEPENDENCYPART_ARC
(9,11),2.36342 # DEPENDENCYPART_ARC
(9,12),1.55966 # DEPENDENCYPART_ARC
(9,13),1.38575 # DEPENDENCYPART_ARC
(9,14),0.981495 # DEPENDENCYPART_ARC
(9,15),1.96247 # DEPENDENCYPART_ARC
(9,16),0.269785 # DEPENDENCYPART_ARC
(9,17),-0.262916 # DEPENDENCYPART_ARC
(9,18),-0.862331 # DEPENDENCYPART_ARC
(9,19),0.438272 # DEPENDENCYPART_ARC
(9,20),0.418319 # DEPENDENCYPART_ARC
(9,21),0.0715858 # DEPENDENCYPART_ARC
(9,22),-0.738046 # DEPENDENCYPART_ARC
(9,23),-0.771956 # DEPENDENCYPART_ARC
(9,24),-0.79494 # DEPENDENCYPART_ARC
(9,25),-1.26931 # DEPENDENCYPART_ARC
(9,26),-1.6883 # DEPENDENCYPART_ARC
(9,27),-1.18923 # DEPENDENCYPART_ARC
(9,28),-0.212298 # DEPENDENCYPART_ARC
(9,29),2.41658 # DEPENDENCYPART_ARC
(10,1),-1.66269 # DEPENDENCYPART_ARC
(10,2),-1.78071 # DEPENDENCYPART_ARC
(10,3),-0.665287 # DEPENDENCYPART_ARC
(10,4),-0.739138 # DEPENDENCYPART_ARC
(10,5),-1.28126 # DEPENDENCYPART_ARC
(10,6),-1.16725 # DEPENDENCYPART_ARC
(10,7),-0.725826 # DEPENDENCYPART_ARC
(10,8),0.885833 # DEPENDENCYPART_ARC
(10,9),0.130528 # DEPENDENCYPART_ARC
(10,11),4.89023 # DEPENDENCYPART_ARC
(10,12),1.19358 # DEPENDENCYPART_ARC
(10,13),0.251179 # DEPENDENCYPART_ARC
(10,14),-0.816917 # DEPENDENCYPART_ARC
(10,15),0.0904037 # DEPENDENCYPART_ARC
(10,16),-0.172721 # DEPENDENCYPART_ARC
(10,17),-1.81244 # DEPENDENCYPART_ARC
(10,18),-2.96108 # DEPENDENCYPART_ARC
(10,19),-1.63411 # DEPENDENCYPART_ARC
(10,20),-1.05618 # DEPENDENCYPART_ARC
(10,21),-0.842095 # DEPENDENCYPART_ARC
(10,22),-1.39873 # DEPENDENCYPART_ARC
(10,23),-1.71885 # DEPENDENCYPART_ARC
(10,24),-4.13476 # DEPENDENCYPART_ARC
(10,25),-3.18948 # DEPENDENCYPART_ARC
(10,26),-2.65693 # DEPENDENCYPART_ARC
(10,27),-2.96589 # DEPENDENCYPART_ARC
(10,28),-6.57514 # DEPENDENCYPART_ARC
(10,29),-0.571001 # DEPENDENCYPART_ARC
(11,1),-2.34391 # DEPENDENCYPART_ARC
(11,2),-2.67167 # DEPENDENCYPART_ARC
(11,3),-1.84373 # DEPENDENCYPART_ARC
(11,4),-1.36187 # DEPENDENCYPART_ARC
(11,5),-1.16551 # DEPENDENCYPART_ARC
(11,6),-0.966087 # DEPENDENCYPART_ARC
(11,7),-0.848072 # DEPENDENCYPART_ARC
(11,8),0.4967 # DEPENDENCYPART_ARC
(11,9),-0.243656 # DEPENDENCYPART_ARC
(11,10),0.651059 # DEPENDENCYPART_ARC
(11,12),0.264607 # DEPENDENCYPART_ARC
(11,13),-0.561347 # DEPENDENCYPART_ARC
(11,14),-1.81621 # DEPENDENCYPART_ARC
(11,15),-0.540013 # DEPENDENCYPART_ARC
(11,16),-1.01152 # DEPENDENCYPART_ARC
(11,17),-2.6516 # DEPENDENCYPART_ARC
(11,18),-2.38544 # DEPENDENCYPART_ARC
(11,19),-2.16878 # DEPENDENCYPART_ARC
(11,20),-1.73627 # DEPENDENCYPART_ARC
(11,21),-2.72047 # DEPENDENCYPART_ARC
(11,22),-2.58622 # DEPENDENCYPART_ARC
(11,23),-1.90159 # DEPENDENCYPART_ARC
(11,24),-2.56798 # DEPENDENCYPART_ARC
(11,25),-4.06811 # DEPENDENCYPART_ARC
(11,26),-3.37724 # DEPENDENCYPART_ARC
(11,27),-3.04988 # DEPENDENCYPART_ARC
(11,28),-3.38883 # DEPENDENCYPART_ARC
(11,29),0.91459 # DEPENDENCYPART_ARC
(12,1),-3.22489 # DEPENDENCYPART_ARC
(12,2),-3.26758 # DEPENDENCYPART_ARC
(12,3),-3.08857 # DEPENDENCYPART_ARC
(12,4),-2.80888 # DEPENDENCYPART_ARC
(12,5),-1.9433 # DEPENDENCYPART_ARC
(12,6),-2.68422 # DEPENDENCYPART_ARC
(12,7),-1.96912 # DEPENDENCYPART_ARC
(12,8),-2.01268 # DEPENDENCYPART_ARC
(12,9),-1.76864 # DEPENDENCYPART_ARC
(12,10),-1.17686 # DEPENDENCYPART_ARC
(12,11),-1.19023 # DEPENDENCYPART_ARC
(12,13),-0.939471 # DEPENDENCYPART_ARC
(12,14),-1.0744 # DEPENDENCYPART_ARC
(12,15),-1.23193 # DEPENDENCYPART_ARC
(12,16),-1.8339 # DEPENDENCYPART_ARC
(12,17),-2.2438 # DEPENDENCYPART_ARC
(12,18),-2.78187 # DEPENDENCYPART_ARC
(12,19),-2.42145 # DEPENDENCYPART_ARC
(12,20),-1.83066 # DEPENDENCYPART_ARC
(12,21),-1.35143 # DEPENDENCYPART_ARC
(12,22),-2.49516 # DEPENDENCYPART_ARC
(12,23),-2.48691 # DEPENDENCYPART_ARC
(12,24),-2.69729 # DEPENDENCYPART_ARC
(12,25),-2.22763 # DEPENDENCYPART_ARC
(12,26),-2.33736 # DEPENDENCYPART_ARC
(12,27),-3.07602 # DEPENDENCYPART_ARC
(12,28),-2.58907 # DEPENDENCYPART_ARC
(12,29),-2.03302 # DEPENDENCYPART_ARC
(13,1),-1.31252 # DEPENDENCYPART_ARC
(13,2),-1.8357 # DEPENDENCYPART_ARC
(13,3),-0.447667 # DEPENDENCYPART_ARC
(13,4),-0.78625 # DEPENDENCYPART_ARC
(13,5),-1.17008 # DEPENDENCYPART_ARC
(13,6),-1.33918 # DEPENDENCYPART_ARC
(13,7),-0.577611 # DEPENDENCYPART_ARC
(13,8),0.0839068 # DEPENDENCYPART_ARC
(13,9),-0.841025 # DEPENDENCYPART_ARC
(13,10),-0.16019 # DEPENDENCYPART_ARC
(13,11),-0.603694 # DEPENDENCYPART_ARC
(13,12),2.91883 # DEPENDENCYPART_ARC
(13,14),0.909273 # DEPENDENCYPART_ARC
(13,15),3.60583 # DEPENDENCYPART_ARC
(13,16),3.27988 # DEPENDENCYPART_ARC
(13,17),-0.763638 # DEPENDENCYPART_ARC
(13,18),-1.9253 # DEPENDENCYPART_ARC
(13,19),-0.606084 # DEPENDENCYPART_ARC
(13,20),1.65104 # DEPENDENCYPART_ARC
(13,21),-0.00700684 # DEPENDENCYPART_ARC
(13,22),-0.540253 # DEPENDENCYPART_ARC
(13,23),-0.919487 # DEPENDENCYPART_ARC
(13,24),-2.27498 # DEPENDENCYPART_ARC
(13,25),0.0758144 # DEPENDENCYPART_ARC
(13,26),1.43924 # DEPENDENCYPART_ARC
(13,27),-2.18444 # DEPENDENCYPART_ARC
(13,28),-5.13585 # DEPENDENCYPART_ARC
(13,29),3.44022 # DEPENDENCYPART_ARC
(14,1),-5.43345 # DEPENDENCYPART_ARC
(14,2),-5.35982 # DEPENDENCYPART_ARC
(14,3),-5.20206 # DEPENDENCYPART_ARC
(14,4),-4.91378 # DEPENDENCYPART_ARC
(14,5),-4.11754 # DEPENDENCYPART_ARC
(14,6),-4.81791 # DEPENDENCYPART_ARC
(14,7),-4.08042 # DEPENDENCYPART_ARC
(14,8),-4.80318 # DEPENDENCYPART_ARC
(14,9),-4.18101 # DEPENDENCYPART_ARC
(14,10),-3.50508 # DEPENDENCYPART_ARC
(14,11),-4.23147 # DEPENDENCYPART_ARC
(14,12),-3.03293 # DEPENDENCYPART_ARC
(14,13),-1.91586 # DEPENDENCYPART_ARC
(14,15),0.129945 # DEPENDENCYPART_ARC
(14,16),-1.16293 # DEPENDENCYPART_ARC
(14,17),-1.49827 # DEPENDENCYPART_ARC
(14,18),-3.36812 # DEPENDENCYPART_ARC
(14,19),-2.90435 # DEPENDENCYPART_ARC
(14,20),-1.79433 # DEPENDENCYPART_ARC
(14,21),-1.61386 # DEPENDENCYPART_ARC
(14,22),-3.54239 # DEPENDENCYPART_ARC
(14,23),-3.46467 # DEPENDENCYPART_ARC
(14,24),-3.25319 # DEPENDENCYPART_ARC
(14,25),-2.44933 # DEPENDENCYPART_ARC
(14,26),-2.6335 # DEPENDENCYPART_ARC
(14,27),-4.10016 # DEPENDENCYPART_ARC
(14,28),-4.37948 # DEPENDENCYPART_ARC
(14,29),-1.71416 # DEPENDENCYPART_ARC
(15,1),-4.81375 # DEPENDENCYPART_ARC
(15,2),-3.20445 # DEPENDENCYPART_ARC
(15,3),-3.20317 # DEPENDENCYPART_ARC
(15,4),-4.27864 # DEPENDENCYPART_ARC
(15,5),-3.12266 # DEPENDENCYPART_ARC
(15,6),-3.92061 # DEPENDENCYPART_ARC
(15,7),-3.28572 # DEPENDENCYPART_ARC
(15,8),-2.41262 # DEPENDENCYPART_ARC
(15,9),-2.15144 # DEPENDENCYPART_ARC
(15,10),-1.65558 # DEPENDENCYPART_ARC
(15,11),-2.94332 # DEPENDENCYPART_ARC
(15,12),-0.583465 # DEPENDENCYPART_ARC
(15,13),-1.65825 # DEPENDENCYPART_ARC
(15,14),2.38537 # DEPENDENCYPART_ARC
(15,16),1.08776 # DEPENDENCYPART_ARC
(15,17),0.322403 # DEPENDENCYPART_ARC
(15,18),-4.23057 # DEPENDENCYPART_ARC
(15,19),-0.691274 # DEPENDENCYPART_ARC
(15,20),-0.380268 # DEPENDENCYPART_ARC
(15,21),-1.65231 # DEPENDENCYPART_ARC
(15,22),-2.8167 # DEPENDENCYPART_ARC
(15,23),-2.48167 # DEPENDENCYPART_ARC
(15,24),-2.57148 # DEPENDENCYPART_ARC
(15,25),-1.29514 # DEPENDENCYPART_ARC
(15,26),-1.40318 # DEPENDENCYPART_ARC
(15,27),-4.98916 # DEPENDENCYPART_ARC
(15,28),-3.11184 # DEPENDENCYPART_ARC
(15,29),1.54005 # DEPENDENCYPART_ARC
(16,1),-2.78827 # DEPENDENCYPART_ARC
(16,2),-0.381061 # DEPENDENCYPART_ARC
(16,3),0.184004 # DEPENDENCYPART_ARC
(16,4),-1.50593 # DEPENDENCYPART_ARC
(16,5),-1.18185 # DEPENDENCYPART_ARC
(16,6),-1.15007 # DEPENDENCYPART_ARC
(16,7),-0.81062 # DEPENDENCYPART_ARC
(16,8),-0.293904 # DEPENDENCYPART_ARC
(16,9),0.0246971 # DEPENDENCYPART_ARC
(16,10),0.044326 # DEPENDENCYPART_ARC
(16,11),-0.808725 # DEPENDENCYPART_ARC
(16,12),0.848392 # DEPENDENCYPART_ARC
(16,13),0.353875 # DEPENDENCYPART_ARC
(16,14),4.29503 # DEPENDENCYPART_ARC
(16,15),4.84013 # DEPENDENCYPART_ARC
(16,17),3.89475 # DEPENDENCYPART_ARC
(16,18),-0.95245 # DEPENDENCYPART_ARC
(16,19),2.42245 # DEPENDENCYPART_ARC
(16,20),2.16469 # DEPENDENCYPART_ARC
(16,21),0.599911 # DEPENDENCYPART_ARC
(16,22),-0.554627 # DEPENDENCYPART_ARC
(16,23),0.0915151 # DEPENDENCYPART_ARC
(16,24),-0.69524 # DEPENDENCYPART_ARC
(16,25),1.70574 # DEPENDENCYPART_ARC
(16,26),1.29852 # DEPENDENCYPART_ARC
(16,27),-2.83673 # DEPENDENCYPART_ARC
(16,28),-0.0667765 # DEPENDENCYPART_ARC
(16,29),5.84608 # DEPENDENCYPART_ARC
(17,1),-2.5533 # DEPENDENCYPART_ARC
(17,2),-3.1708 # DEPENDENCYPART_ARC
(17,3),-2.51478 # DEPENDENCYPART_ARC
(17,4),-3.05964 # DEPENDENCYPART_ARC
(17,5),-2.98647 # DEPENDENCYPART_ARC
(17,6),-2.99636 # DEPENDENCYPART_ARC
(17,7),-2.01868 # DEPENDENCYPART_ARC
(17,8),-1.95382 # DEPENDENCYPART_ARC
(17,9),-2.63349 # DEPENDENCYPART_ARC
(17,10),-2.46584 # DEPENDENCYPART_ARC
(17,11),-2.95011 # DEPENDENCYPART_ARC
(17,12),-1.38732 # DEPENDENCYPART_ARC
(17,13),-1.36545 # DEPENDENCYPART_ARC
(17,14),0.124708 # DEPENDENCYPART_ARC
(17,15),-0.87619 # DEPENDENCYPART_ARC
(17,16),-0.966991 # DEPENDENCYPART_ARC
(17,18),0.429782 # DEPENDENCYPART_ARC
(17,19),5.1029 # DEPENDENCYPART_ARC
(17,20),1.23668 # DEPENDENCYPART_ARC
(17,21),0.657234 # DEPENDENCYPART_ARC
(17,22),-0.401384 # DEPENDENCYPART_ARC
(17,23),-1.02759 # DEPENDENCYPART_ARC
(17,24),-1.40472 # DEPENDENCYPART_ARC
(17,25),-0.170333 # DEPENDENCYPART_ARC
(17,26),-0.0995843 # DEPENDENCYPART_ARC
(17,27),-2.11704 # DEPENDENCYPART_ARC
(17,28),-3.41494 # DEPENDENCYPART_ARC
(17,29),-0.086515 # DEPENDENCYPART_ARC
(18,1),-4.7779 # DEPENDENCYPART_ARC
