# _root_ La construcció d' un edifici de Presidència a les cases Moxó i Morell , de les quals només es conservaran les façanes , haurà de respectar in_situ les restes .
#goldHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,22,17,15,20,20,10,22,20,20,26,26,0,26,29,26,26,
#predictedHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,5,17,15,20,20,26,22,20,20,26,26,0,26,29,26,26,
(1,19),-2.36377 # DEPENDENCYPART_ARC
(1,20),-3.47604 # DEPENDENCYPART_ARC
(1,21),-2.28479 # DEPENDENCYPART_ARC
(1,22),-5.11872 # DEPENDENCYPART_ARC
(1,23),-4.29909 # DEPENDENCYPART_ARC
(1,24),-3.85234 # DEPENDENCYPART_ARC
(1,25),-4.5446 # DEPENDENCYPART_ARC
(1,26),-3.59648 # DEPENDENCYPART_ARC
(1,27),-3.40666 # DEPENDENCYPART_ARC
(1,28),-3.20275 # DEPENDENCYPART_ARC
(1,29),-6.02725 # DEPENDENCYPART_ARC
(1,30),-4.50937 # DEPENDENCYPART_ARC
(2,1),5.46281 # DEPENDENCYPART_ARC
(2,3),3.39769 # DEPENDENCYPART_ARC
(2,4),-0.287537 # DEPENDENCYPART_ARC
(2,5),1.67028 # DEPENDENCYPART_ARC
(2,6),2.62176 # DEPENDENCYPART_ARC
(2,7),1.03435 # DEPENDENCYPART_ARC
(2,8),2.3883 # DEPENDENCYPART_ARC
(2,9),-1.42632 # DEPENDENCYPART_ARC
(2,10),1.77976 # DEPENDENCYPART_ARC
(2,11),2.4385 # DEPENDENCYPART_ARC
(2,12),2.85694 # DEPENDENCYPART_ARC
(2,13),2.25552 # DEPENDENCYPART_ARC
(2,14),1.59394 # DEPENDENCYPART_ARC
(2,15),0.383026 # DEPENDENCYPART_ARC
(2,16),-1.9059 # DEPENDENCYPART_ARC
(2,17),0.54602 # DEPENDENCYPART_ARC
(2,18),-0.554692 # DEPENDENCYPART_ARC
(2,19),0.339177 # DEPENDENCYPART_ARC
(2,20),2.41158 # DEPENDENCYPART_ARC
(2,21),-2.51873 # DEPENDENCYPART_ARC
(2,22),1.42242 # DEPENDENCYPART_ARC
(2,23),1.22558 # DEPENDENCYPART_ARC
(2,24),-1.27298 # DEPENDENCYPART_ARC
(2,25),-2.79295 # DEPENDENCYPART_ARC
(2,26),-1.2805 # DEPENDENCYPART_ARC
(2,27),-1.3394 # DEPENDENCYPART_ARC
(2,28),-3.25796 # DEPENDENCYPART_ARC
(2,29),1.03052 # DEPENDENCYPART_ARC
(2,30),1.48486 # DEPENDENCYPART_ARC
(3,1),1.23275 # DEPENDENCYPART_ARC
(3,2),0.0792236 # DEPENDENCYPART_ARC
(3,4),0.267688 # DEPENDENCYPART_ARC
(3,5),4.64966 # DEPENDENCYPART_ARC
(3,6),0.165979 # DEPENDENCYPART_ARC
(3,7),1.60724 # DEPENDENCYPART_ARC
(3,8),-0.548801 # DEPENDENCYPART_ARC
(3,9),-1.93726 # DEPENDENCYPART_ARC
(3,10),1.01208 # DEPENDENCYPART_ARC
(3,11),-2.02006 # DEPENDENCYPART_ARC
(3,12),0.324854 # DEPENDENCYPART_ARC
(3,13),-3.44553 # DEPENDENCYPART_ARC
(3,14),0.349592 # DEPENDENCYPART_ARC
(3,15),0.598902 # DEPENDENCYPART_ARC
(3,16),-2.11002 # DEPENDENCYPART_ARC
(3,17),-1.17758 # DEPENDENCYPART_ARC
(3,18),-0.736807 # DEPENDENCYPART_ARC
(3,19),-3.91034 # DEPENDENCYPART_ARC
(3,20),-1.62787 # DEPENDENCYPART_ARC
(3,21),-1.95738 # DEPENDENCYPART_ARC
(3,22),-7.45637 # DEPENDENCYPART_ARC
(3,23),-2.36064 # DEPENDENCYPART_ARC
(3,24),-3.74533 # DEPENDENCYPART_ARC
(3,25),-2.30087 # DEPENDENCYPART_ARC
(3,26),-3.04153 # DEPENDENCYPART_ARC
(3,27),-2.35737 # DEPENDENCYPART_ARC
(3,28),-2.1698 # DEPENDENCYPART_ARC
(3,29),-10.1388 # DEPENDENCYPART_ARC
(3,30),-0.488581 # DEPENDENCYPART_ARC
(4,1),-1.08747 # DEPENDENCYPART_ARC
(4,2),-0.95987 # DEPENDENCYPART_ARC
(4,3),1.44458 # DEPENDENCYPART_ARC
(4,5),3.63066 # DEPENDENCYPART_ARC
(4,6),1.73594 # DEPENDENCYPART_ARC
(4,7),0.0330128 # DEPENDENCYPART_ARC
(4,8),-1.22698 # DEPENDENCYPART_ARC
(4,9),0.879831 # DEPENDENCYPART_ARC
(4,10),-1.92887 # DEPENDENCYPART_ARC
(4,11),-2.12479 # DEPENDENCYPART_ARC
(4,12),-1.88713 # DEPENDENCYPART_ARC
(4,13),-2.48518 # DEPENDENCYPART_ARC
(4,14),-3.09416 # DEPENDENCYPART_ARC
(4,15),-2.69119 # DEPENDENCYPART_ARC
(4,16),-2.18179 # DEPENDENCYPART_ARC
(4,17),-2.07065 # DEPENDENCYPART_ARC
(4,18),-1.79019 # DEPENDENCYPART_ARC
(4,19),-2.05662 # DEPENDENCYPART_ARC
(4,20),-2.68892 # DEPENDENCYPART_ARC
(4,21),-2.97919 # DEPENDENCYPART_ARC
(4,22),-4.0693 # DEPENDENCYPART_ARC
(4,23),-4.31573 # DEPENDENCYPART_ARC
(4,24),-3.15962 # DEPENDENCYPART_ARC
(4,25),-5.66419 # DEPENDENCYPART_ARC
(4,26),-2.63547 # DEPENDENCYPART_ARC
(4,27),-2.70611 # DEPENDENCYPART_ARC
(4,28),-4.04034 # DEPENDENCYPART_ARC
(4,29),-4.93928 # DEPENDENCYPART_ARC
(4,30),-4.90469 # DEPENDENCYPART_ARC
(5,1),1.72787 # DEPENDENCYPART_ARC
(5,2),-0.890373 # DEPENDENCYPART_ARC
(5,3),1.02346 # DEPENDENCYPART_ARC
(5,4),4.20331 # DEPENDENCYPART_ARC
(5,6),4.09543 # DEPENDENCYPART_ARC
(5,7),1.09138 # DEPENDENCYPART_ARC
(5,8),2.15223 # DEPENDENCYPART_ARC
(5,9),-1.99552 # DEPENDENCYPART_ARC
(5,10),1.02377 # DEPENDENCYPART_ARC
(5,11),1.89698 # DEPENDENCYPART_ARC
(5,12),2.12322 # DEPENDENCYPART_ARC
(5,13),1.73556 # DEPENDENCYPART_ARC
(5,14),0.504326 # DEPENDENCYPART_ARC
(5,15),2.12222 # DEPENDENCYPART_ARC
(5,16),-2.66965 # DEPENDENCYPART_ARC
(5,17),0.454425 # DEPENDENCYPART_ARC
(5,18),-1.05611 # DEPENDENCYPART_ARC
(5,19),0.0373682 # DEPENDENCYPART_ARC
(5,20),2.11136 # DEPENDENCYPART_ARC
(5,21),-3.26239 # DEPENDENCYPART_ARC
(5,22),0.419564 # DEPENDENCYPART_ARC
(5,23),0.0878486 # DEPENDENCYPART_ARC
(5,24),-1.35643 # DEPENDENCYPART_ARC
(5,25),0.0885267 # DEPENDENCYPART_ARC
(5,26),-1.49346 # DEPENDENCYPART_ARC
(5,27),-1.83071 # DEPENDENCYPART_ARC
(5,28),-4.01566 # DEPENDENCYPART_ARC
(5,29),-0.111861 # DEPENDENCYPART_ARC
(5,30),2.11823 # DEPENDENCYPART_ARC
(6,1),-0.525609 # DEPENDENCYPART_ARC
(6,2),-1.24726 # DEPENDENCYPART_ARC
(6,3),-0.45604 # DEPENDENCYPART_ARC
(6,4),0.569223 # DEPENDENCYPART_ARC
(6,5),0.260508 # DEPENDENCYPART_ARC
(6,7),3.79731 # DEPENDENCYPART_ARC
(6,8),-0.310448 # DEPENDENCYPART_ARC
(6,9),-2.17159 # DEPENDENCYPART_ARC
(6,10),0.767934 # DEPENDENCYPART_ARC
(6,11),-2.41762 # DEPENDENCYPART_ARC
(6,12),-0.034953 # DEPENDENCYPART_ARC
(6,13),-4.17288 # DEPENDENCYPART_ARC
(6,14),0.0256037 # DEPENDENCYPART_ARC
(6,15),0.486623 # DEPENDENCYPART_ARC
(6,16),-2.69677 # DEPENDENCYPART_ARC
(6,17),-2.23591 # DEPENDENCYPART_ARC
(6,18),-2.01842 # DEPENDENCYPART_ARC
(6,19),-4.91442 # DEPENDENCYPART_ARC
(6,20),-0.663201 # DEPENDENCYPART_ARC
(6,21),-2.83944 # DEPENDENCYPART_ARC
(6,22),-8.8696 # DEPENDENCYPART_ARC
(6,23),-1.52124 # DEPENDENCYPART_ARC
(6,24),-3.04468 # DEPENDENCYPART_ARC
(6,25),-1.78948 # DEPENDENCYPART_ARC
(6,26),-2.41263 # DEPENDENCYPART_ARC
(6,27),-3.02508 # DEPENDENCYPART_ARC
(6,28),-2.95913 # DEPENDENCYPART_ARC
(6,29),-11.4276 # DEPENDENCYPART_ARC
(6,30),-0.823161 # DEPENDENCYPART_ARC
(7,1),0.33675 # DEPENDENCYPART_ARC
(7,2),-1.17545 # DEPENDENCYPART_ARC
(7,3),0.273291 # DEPENDENCYPART_ARC
(7,4),1.8305 # DEPENDENCYPART_ARC
(7,5),0.169464 # DEPENDENCYPART_ARC
(7,6),1.60334 # DEPENDENCYPART_ARC
(7,8),0.571548 # DEPENDENCYPART_ARC
(7,9),-1.07968 # DEPENDENCYPART_ARC
(7,10),0.249821 # DEPENDENCYPART_ARC
(7,11),1.02363 # DEPENDENCYPART_ARC
(7,12),1.73459 # DEPENDENCYPART_ARC
(7,13),1.2373 # DEPENDENCYPART_ARC
(7,14),-0.511136 # DEPENDENCYPART_ARC
(7,15),-1.36354 # DEPENDENCYPART_ARC
(7,16),-2.28235 # DEPENDENCYPART_ARC
(7,17),-0.77946 # DEPENDENCYPART_ARC
(7,18),-1.79286 # DEPENDENCYPART_ARC
(7,19),-1.11169 # DEPENDENCYPART_ARC
(7,20),0.853476 # DEPENDENCYPART_ARC
(7,21),-2.92816 # DEPENDENCYPART_ARC
(7,22),-1.14358 # DEPENDENCYPART_ARC
(7,23),-1.37292 # DEPENDENCYPART_ARC
(7,24),-2.65876 # DEPENDENCYPART_ARC
(7,25),-4.70598 # DEPENDENCYPART_ARC
(7,26),-2.46711 # DEPENDENCYPART_ARC
(7,27),-2.29637 # DEPENDENCYPART_ARC
(7,28),-3.69764 # DEPENDENCYPART_ARC
(7,29),-1.7471 # DEPENDENCYPART_ARC
(7,30),0.300935 # DEPENDENCYPART_ARC
(8,1),-1.2129 # DEPENDENCYPART_ARC
(8,2),-1.81408 # DEPENDENCYPART_ARC
(8,3),-1.06492 # DEPENDENCYPART_ARC
(8,4),-0.702523 # DEPENDENCYPART_ARC
(8,5),-1.40088 # DEPENDENCYPART_ARC
(8,6),-0.00890432 # DEPENDENCYPART_ARC
(8,7),0.209063 # DEPENDENCYPART_ARC
(8,9),0.24422 # DEPENDENCYPART_ARC
(8,10),5.00192 # DEPENDENCYPART_ARC
(8,11),0.36906 # DEPENDENCYPART_ARC
(8,12),0.638286 # DEPENDENCYPART_ARC
(8,13),-1.67289 # DEPENDENCYPART_ARC
(8,14),0.56038 # DEPENDENCYPART_ARC
(8,15),-0.608836 # DEPENDENCYPART_ARC
(8,16),-2.2319 # DEPENDENCYPART_ARC
(8,17),0.0315971 # DEPENDENCYPART_ARC
(8,18),-0.931885 # DEPENDENCYPART_ARC
(8,19),-2.62707 # DEPENDENCYPART_ARC
(8,20),-0.853354 # DEPENDENCYPART_ARC
(8,21),-2.10873 # DEPENDENCYPART_ARC
(8,22),-6.39267 # DEPENDENCYPART_ARC
(8,23),-2.17428 # DEPENDENCYPART_ARC
(8,24),-3.30667 # DEPENDENCYPART_ARC
(8,25),-3.77288 # DEPENDENCYPART_ARC
(8,26),-2.70092 # DEPENDENCYPART_ARC
(8,27),-2.01765 # DEPENDENCYPART_ARC
(8,28),-2.3232 # DEPENDENCYPART_ARC
(8,29),-9.22852 # DEPENDENCYPART_ARC
(8,30),-1.40014 # DEPENDENCYPART_ARC
(9,1),-2.31218 # DEPENDENCYPART_ARC
(9,2),-2.69863 # DEPENDENCYPART_ARC
(9,3),-1.96704 # DEPENDENCYPART_ARC
(9,4),-0.923768 # DEPENDENCYPART_ARC
(9,5),-2.17223 # DEPENDENCYPART_ARC
(9,6),-1.56996 # DEPENDENCYPART_ARC
(9,7),-0.975942 # DEPENDENCYPART_ARC
(9,8),-0.238584 # DEPENDENCYPART_ARC
(9,10),1.17614 # DEPENDENCYPART_ARC
(9,11),-0.211271 # DEPENDENCYPART_ARC
(9,12),-0.81989 # DEPENDENCYPART_ARC
(9,13),-1.78111 # DEPENDENCYPART_ARC
(9,14),-1.88864 # DEPENDENCYPART_ARC
(9,15),-2.44254 # DEPENDENCYPART_ARC
(9,16),-1.66459 # DEPENDENCYPART_ARC
(9,17),-2.0164 # DEPENDENCYPART_ARC
(9,18),-2.13526 # DEPENDENCYPART_ARC
(9,19),-2.20666 # DEPENDENCYPART_ARC
(9,20),-2.31333 # DEPENDENCYPART_ARC
(9,21),-2.7954 # DEPENDENCYPART_ARC
(9,22),-3.48541 # DEPENDENCYPART_ARC
(9,23),-3.06508 # DEPENDENCYPART_ARC
(9,24),-3.71124 # DEPENDENCYPART_ARC
(9,25),-4.34088 # DEPENDENCYPART_ARC
(9,26),-2.90375 # DEPENDENCYPART_ARC
(9,27),-2.92379 # DEPENDENCYPART_ARC
(9,28),-4.15583 # DEPENDENCYPART_ARC
(9,29),-4.16134 # DEPENDENCYPART_ARC
(9,30),-3.40961 # DEPENDENCYPART_ARC
(10,1),-0.769461 # DEPENDENCYPART_ARC
(10,2),-2.32357 # DEPENDENCYPART_ARC
(10,3),-1.04241 # DEPENDENCYPART_ARC
(10,4),0.0950819 # DEPENDENCYPART_ARC
(10,5),-2.19655 # DEPENDENCYPART_ARC
(10,6),-1.03992 # DEPENDENCYPART_ARC
(10,7),-0.86384 # DEPENDENCYPART_ARC
(10,8),0.166447 # DEPENDENCYPART_ARC
(10,9),5.01722 # DEPENDENCYPART_ARC
(10,11),3.05758 # DEPENDENCYPART_ARC
(10,12),2.14909 # DEPENDENCYPART_ARC
(10,13),1.99122 # DEPENDENCYPART_ARC
(10,14),0.349276 # DEPENDENCYPART_ARC
(10,15),0.769561 # DEPENDENCYPART_ARC
(10,16),-1.19079 # DEPENDENCYPART_ARC
(10,17),0.535431 # DEPENDENCYPART_ARC
(10,18),-1.22388 # DEPENDENCYPART_ARC
(10,19),-0.296341 # DEPENDENCYPART_ARC
(10,20),2.8339 # DEPENDENCYPART_ARC
(10,21),-1.91601 # DEPENDENCYPART_ARC
(10,22),0.770493 # DEPENDENCYPART_ARC
(10,23),-0.386857 # DEPENDENCYPART_ARC
(10,24),-1.47527 # DEPENDENCYPART_ARC
(10,25),-2.54712 # DEPENDENCYPART_ARC
(10,26),-1.14564 # DEPENDENCYPART_ARC
(10,27),-1.78048 # DEPENDENCYPART_ARC
(10,28),-2.46364 # DEPENDENCYPART_ARC
(10,29),0.365491 # DEPENDENCYPART_ARC
(10,30),2.00734 # DEPENDENCYPART_ARC
(11,1),-2.04515 # DEPENDENCYPART_ARC
(11,2),-1.85693 # DEPENDENCYPART_ARC
(11,3),-0.136454 # DEPENDENCYPART_ARC
(11,4),-1.34044 # DEPENDENCYPART_ARC
(11,5),-1.43345 # DEPENDENCYPART_ARC
(11,6),-0.329607 # DEPENDENCYPART_ARC
(11,7),-0.496692 # DEPENDENCYPART_ARC
(11,8),0.511219 # DEPENDENCYPART_ARC
(11,9),2.16112 # DEPENDENCYPART_ARC
(11,10),0.819842 # DEPENDENCYPART_ARC
(11,12),3.84212 # DEPENDENCYPART_ARC
(11,13),3.63001 # DEPENDENCYPART_ARC
(11,14),0.665508 # DEPENDENCYPART_ARC
(11,15),1.11152 # DEPENDENCYPART_ARC
(11,16),-0.59356 # DEPENDENCYPART_ARC
(11,17),0.731818 # DEPENDENCYPART_ARC
(11,18),-0.294817 # DEPENDENCYPART_ARC
(11,19),0.432487 # DEPENDENCYPART_ARC
(11,20),1.75984 # DEPENDENCYPART_ARC
(11,21),-1.34071 # DEPENDENCYPART_ARC
(11,22),0.340913 # DEPENDENCYPART_ARC
(11,23),-0.161346 # DEPENDENCYPART_ARC
(11,24),-0.582665 # DEPENDENCYPART_ARC
(11,25),-2.38232 # DEPENDENCYPART_ARC
(11,26),-0.520791 # DEPENDENCYPART_ARC
(11,27),-0.995536 # DEPENDENCYPART_ARC
(11,28),-1.9043 # DEPENDENCYPART_ARC
(11,29),-0.204842 # DEPENDENCYPART_ARC
(11,30),2.04251 # DEPENDENCYPART_ARC
(12,1),-3.64473 # DEPENDENCYPART_ARC
(12,2),-3.66355 # DEPENDENCYPART_ARC
(12,3),-2.86626 # DEPENDENCYPART_ARC
(12,4),-3.40459 # DEPENDENCYPART_ARC
(12,5),-3.47761 # DEPENDENCYPART_ARC
(12,6),-2.43025 # DEPENDENCYPART_ARC
(12,7),-3.25502 # DEPENDENCYPART_ARC
(12,8),-2.01793 # DEPENDENCYPART_ARC
(12,9),-2.24394 # DEPENDENCYPART_ARC
(12,10),-2.28913 # DEPENDENCYPART_ARC
(12,11),-1.45415 # DEPENDENCYPART_ARC
(12,13),-0.208282 # DEPENDENCYPART_ARC
(12,14),-1.4062 # DEPENDENCYPART_ARC
(12,15),-2.76657 # DEPENDENCYPART_ARC
(12,16),-3.40602 # DEPENDENCYPART_ARC
(12,17),-2.62858 # DEPENDENCYPART_ARC
(12,18),-3.27293 # DEPENDENCYPART_ARC
(12,19),-2.84192 # DEPENDENCYPART_ARC
(12,20),-2.28857 # DEPENDENCYPART_ARC
(12,21),-4.25797 # DEPENDENCYPART_ARC
(12,22),-4.16605 # DEPENDENCYPART_ARC
(12,23),-2.31444 # DEPENDENCYPART_ARC
(12,24),-3.13188 # DEPENDENCYPART_ARC
(12,25),-3.99112 # DEPENDENCYPART_ARC
(12,26),-3.48349 # DEPENDENCYPART_ARC
(12,27),-4.09116 # DEPENDENCYPART_ARC
(12,28),-4.54734 # DEPENDENCYPART_ARC
(12,29),-5.03526 # DEPENDENCYPART_ARC
(12,30),-2.3199 # DEPENDENCYPART_ARC
(13,1),-2.13255 # DEPENDENCYPART_ARC
(13,2),-2.02483 # DEPENDENCYPART_ARC
(13,3),-0.359839 # DEPENDENCYPART_ARC
(13,4),-1.29608 # DEPENDENCYPART_ARC
(13,5),-1.54971 # DEPENDENCYPART_ARC
(13,6),-0.622353 # DEPENDENCYPART_ARC
(13,7),-0.388003 # DEPENDENCYPART_ARC
(13,8),-0.172024 # DEPENDENCYPART_ARC
(13,9),1.06408 # DEPENDENCYPART_ARC
(13,10),-0.617158 # DEPENDENCYPART_ARC
(13,11),0.587504 # DEPENDENCYPART_ARC
(13,12),1.25701 # DEPENDENCYPART_ARC
(13,14),-0.03058 # DEPENDENCYPART_ARC
(13,15),0.654515 # DEPENDENCYPART_ARC
(13,16),-1.39731 # DEPENDENCYPART_ARC
(13,17),-0.482041 # DEPENDENCYPART_ARC
(13,18),-1.25916 # DEPENDENCYPART_ARC
(13,19),-1.04731 # DEPENDENCYPART_ARC
(13,20),1.34908 # DEPENDENCYPART_ARC
(13,21),-2.43364 # DEPENDENCYPART_ARC
(13,22),-1.03909 # DEPENDENCYPART_ARC
(13,23),-1.08683 # DEPENDENCYPART_ARC
(13,24),-1.46328 # DEPENDENCYPART_ARC
(13,25),-3.38878 # DEPENDENCYPART_ARC
(13,26),-1.33261 # DEPENDENCYPART_ARC
(13,27),-1.98913 # DEPENDENCYPART_ARC
(13,28),-3.02208 # DEPENDENCYPART_ARC
(13,29),-1.68797 # DEPENDENCYPART_ARC
(13,30),1.14083 # DEPENDENCYPART_ARC
(14,1),-3.26216 # DEPENDENCYPART_ARC
(14,2),-3.53342 # DEPENDENCYPART_ARC
(14,3),-2.53297 # DEPENDENCYPART_ARC
(14,4),-3.01519 # DEPENDENCYPART_ARC
(14,5),-3.35703 # DEPENDENCYPART_ARC
(14,6),-2.38706 # DEPENDENCYPART_ARC
(14,7),-3.07022 # DEPENDENCYPART_ARC
(14,8),-2.09131 # DEPENDENCYPART_ARC
(14,9),-2.29426 # DEPENDENCYPART_ARC
(14,10),-2.71961 # DEPENDENCYPART_ARC
(14,11),-2.37163 # DEPENDENCYPART_ARC
(14,12),-1.32593 # DEPENDENCYPART_ARC
(14,13),-1.42009 # DEPENDENCYPART_ARC
(14,15),-0.568342 # DEPENDENCYPART_ARC
(14,16),-1.34284 # DEPENDENCYPART_ARC
(14,17),-1.47059 # DEPENDENCYPART_ARC
(14,18),-1.52164 # DEPENDENCYPART_ARC
(14,19),-1.76078 # DEPENDENCYPART_ARC
(14,20),-1.16141 # DEPENDENCYPART_ARC
(14,21),-2.41303 # DEPENDENCYPART_ARC
(14,22),-1.97303 # DEPENDENCYPART_ARC
(14,23),-1.37007 # DEPENDENCYPART_ARC
(14,24),-1.7631 # DEPENDENCYPART_ARC
(14,25),-2.12958 # DEPENDENCYPART_ARC
(14,26),-1.86097 # DEPENDENCYPART_ARC
(14,27),-2.24003 # DEPENDENCYPART_ARC
(14,28),-2.69546 # DEPENDENCYPART_ARC
(14,29),-2.19817 # DEPENDENCYPART_ARC
(14,30),-1.62288 # DEPENDENCYPART_ARC
(15,1),-2.47725 # DEPENDENCYPART_ARC
(15,2),-3.13758 # DEPENDENCYPART_ARC
(15,3),-2.58183 # DEPENDENCYPART_ARC
(15,4),-2.55228 # DEPENDENCYPART_ARC
(15,5),-3.05769 # DEPENDENCYPART_ARC
(15,6),-2.4547 # DEPENDENCYPART_ARC
(15,7),-2.82103 # DEPENDENCYPART_ARC
(15,8),-2.27146 # DEPENDENCYPART_ARC
(15,9),-1.23866 # DEPENDENCYPART_ARC
(15,10),-2.33983 # DEPENDENCYPART_ARC
(15,11),-2.20874 # DEPENDENCYPART_ARC
(15,12),-1.28514 # DEPENDENCYPART_ARC
(15,13),-1.94848 # DEPENDENCYPART_ARC
(15,14),0.992636 # DEPENDENCYPART_ARC
(15,16),0.137916 # DEPENDENCYPART_ARC
(15,17),4.19266 # DEPENDENCYPART_ARC
(15,18),-0.142352 # DEPENDENCYPART_ARC
(15,19),-0.18995 # DEPENDENCYPART_ARC
(15,20),1.58972 # DEPENDENCYPART_ARC
(15,21),-1.7703 # DEPENDENCYPART_ARC
(15,22),-0.834362 # DEPENDENCYPART_ARC
(15,23),1.86357 # DEPENDENCYPART_ARC
(15,24),-1.05453 # DEPENDENCYPART_ARC
(15,25),-0.809631 # DEPENDENCYPART_ARC
(15,26),-0.603838 # DEPENDENCYPART_ARC
(15,27),-1.32252 # DEPENDENCYPART_ARC
(15,28),-2.04161 # DEPENDENCYPART_ARC
(15,29),-3.46669 # DEPENDENCYPART_ARC
(15,30),0.647552 # DEPENDENCYPART_ARC
(16,1),-2.80522 # DEPENDENCYPART_ARC
(16,2),-3.1201 # DEPENDENCYPART_ARC
(16,3),-2.39749 # DEPENDENCYPART_ARC
(16,4),-1.97475 # DEPENDENCYPART_ARC
(16,5),-2.94323 # DEPENDENCYPART_ARC
(16,6),-2.37051 # DEPENDENCYPART_ARC
(16,7),-2.35813 # DEPENDENCYPART_ARC
(16,8),-2.16655 # DEPENDENCYPART_ARC
(16,9),-0.770552 # DEPENDENCYPART_ARC
(16,10),-1.64022 # DEPENDENCYPART_ARC
(16,11),-1.81799 # DEPENDENCYPART_ARC
(16,12),-1.15394 # DEPENDENCYPART_ARC
(16,13),-1.42704 # DEPENDENCYPART_ARC
(16,14),-0.602016 # DEPENDENCYPART_ARC
(16,15),-0.146205 # DEPENDENCYPART_ARC
(16,17),0.587216 # DEPENDENCYPART_ARC
(16,18),-0.823574 # DEPENDENCYPART_ARC
(16,19),-1.4996 # DEPENDENCYPART_ARC
(16,20),-1.61819 # DEPENDENCYPART_ARC
(16,21),-0.707613 # DEPENDENCYPART_ARC
(16,22),-3.05675 # DEPENDENCYPART_ARC
(16,23),-2.57065 # DEPENDENCYPART_ARC
(16,24),-3.62944 # DEPENDENCYPART_ARC
(16,25),-3.54256 # DEPENDENCYPART_ARC
(16,26),-2.84647 # DEPENDENCYPART_ARC
(16,27),-3.03949 # DEPENDENCYPART_ARC
(16,28),-2.78208 # DEPENDENCYPART_ARC
(16,29),-3.8894 # DEPENDENCYPART_ARC
(16,30),-2.97348 # DEPENDENCYPART_ARC
(17,1),-1.33233 # DEPENDENCYPART_ARC
(17,2),-1.93432 # DEPENDENCYPART_ARC
(17,3),0.323504 # DEPENDENCYPART_ARC
(17,4),-0.328591 # DEPENDENCYPART_ARC
(17,5),-1.92985 # DEPENDENCYPART_ARC
(17,6),0.0407495 # DEPENDENCYPART_ARC
(17,7),-1.24766 # DEPENDENCYPART_ARC
(17,8),0.394243 # DEPENDENCYPART_ARC
(17,9),1.37565 # DEPENDENCYPART_ARC
(17,10),-0.81112 # DEPENDENCYPART_ARC
(17,11),-0.982211 # DEPENDENCYPART_ARC
(17,12),-0.346719 # DEPENDENCYPART_ARC
(17,13),-0.953643 # DEPENDENCYPART_ARC
