# _root_ Que no critiquin tant els altres , no fos que s' enganxin els dits , i que siguin una_mica més constructius .
#goldHeads=3,3,0,3,6,3,9,9,3,12,12,9,14,12,9,3,18,3,21,19,18,3,
#predictedHeads=3,3,0,3,6,9,9,9,3,12,12,9,14,12,12,12,18,9,21,21,18,3,
(16,19),-2.38335 # DEPENDENCYPART_ARC
(16,20),-2.41997 # DEPENDENCYPART_ARC
(16,21),-2.19311 # DEPENDENCYPART_ARC
(16,22),-1.26978 # DEPENDENCYPART_ARC
(17,1),-3.30817 # DEPENDENCYPART_ARC
(17,2),-3.46112 # DEPENDENCYPART_ARC
(17,3),-3.9792 # DEPENDENCYPART_ARC
(17,4),-3.58229 # DEPENDENCYPART_ARC
(17,5),-3.96258 # DEPENDENCYPART_ARC
(17,6),-3.45149 # DEPENDENCYPART_ARC
(17,7),-3.27976 # DEPENDENCYPART_ARC
(17,8),-3.2589 # DEPENDENCYPART_ARC
(17,9),-3.66667 # DEPENDENCYPART_ARC
(17,10),-2.7957 # DEPENDENCYPART_ARC
(17,11),-3.07016 # DEPENDENCYPART_ARC
(17,12),-3.15391 # DEPENDENCYPART_ARC
(17,13),-2.55145 # DEPENDENCYPART_ARC
(17,14),-2.71992 # DEPENDENCYPART_ARC
(17,15),-1.67801 # DEPENDENCYPART_ARC
(17,16),-0.888033 # DEPENDENCYPART_ARC
(17,18),-0.0893559 # DEPENDENCYPART_ARC
(17,19),-2.51984 # DEPENDENCYPART_ARC
(17,20),-2.74935 # DEPENDENCYPART_ARC
(17,21),-2.38884 # DEPENDENCYPART_ARC
(17,22),-2.08652 # DEPENDENCYPART_ARC
(18,1),-0.0139064 # DEPENDENCYPART_ARC
(18,2),-1.5577 # DEPENDENCYPART_ARC
(18,3),-1.78029 # DEPENDENCYPART_ARC
(18,4),-2.28486 # DEPENDENCYPART_ARC
(18,5),-0.703812 # DEPENDENCYPART_ARC
(18,6),-2.40601 # DEPENDENCYPART_ARC
(18,7),-1.60391 # DEPENDENCYPART_ARC
(18,8),-0.155604 # DEPENDENCYPART_ARC
(18,9),-3.25606 # DEPENDENCYPART_ARC
(18,10),1.10825 # DEPENDENCYPART_ARC
(18,11),0.737797 # DEPENDENCYPART_ARC
(18,12),-0.638558 # DEPENDENCYPART_ARC
(18,13),0.270565 # DEPENDENCYPART_ARC
(18,14),0.1474 # DEPENDENCYPART_ARC
(18,15),1.27316 # DEPENDENCYPART_ARC
(18,16),0.775212 # DEPENDENCYPART_ARC
(18,17),5.17182 # DEPENDENCYPART_ARC
(18,19),1.67358 # DEPENDENCYPART_ARC
(18,20),0.531545 # DEPENDENCYPART_ARC
(18,21),1.66718 # DEPENDENCYPART_ARC
(18,22),1.68233 # DEPENDENCYPART_ARC
(19,1),-1.68882 # DEPENDENCYPART_ARC
(19,2),-2.0431 # DEPENDENCYPART_ARC
(19,3),-2.40165 # DEPENDENCYPART_ARC
(19,4),-1.75513 # DEPENDENCYPART_ARC
(19,5),-2.40458 # DEPENDENCYPART_ARC
(19,6),-2.11769 # DEPENDENCYPART_ARC
(19,7),-2.64077 # DEPENDENCYPART_ARC
(19,8),-1.94022 # DEPENDENCYPART_ARC
(19,9),-1.95184 # DEPENDENCYPART_ARC
(19,10),-1.0048 # DEPENDENCYPART_ARC
(19,11),-1.71697 # DEPENDENCYPART_ARC
(19,12),-1.81615 # DEPENDENCYPART_ARC
(19,13),-1.65672 # DEPENDENCYPART_ARC
(19,14),-1.78114 # DEPENDENCYPART_ARC
(19,15),-1.323 # DEPENDENCYPART_ARC
(19,16),-0.797017 # DEPENDENCYPART_ARC
(19,17),0.0255899 # DEPENDENCYPART_ARC
(19,18),0.513665 # DEPENDENCYPART_ARC
(19,20),2.48936 # DEPENDENCYPART_ARC
(19,21),0.984652 # DEPENDENCYPART_ARC
(19,22),-0.0503144 # DEPENDENCYPART_ARC
(20,1),-1.43254 # DEPENDENCYPART_ARC
(20,2),-1.77359 # DEPENDENCYPART_ARC
(20,3),-2.10799 # DEPENDENCYPART_ARC
(20,4),-1.49988 # DEPENDENCYPART_ARC
(20,5),-1.97045 # DEPENDENCYPART_ARC
(20,6),-1.63451 # DEPENDENCYPART_ARC
(20,7),-1.84084 # DEPENDENCYPART_ARC
(20,8),-1.32001 # DEPENDENCYPART_ARC
(20,9),-1.73302 # DEPENDENCYPART_ARC
(20,10),-0.548292 # DEPENDENCYPART_ARC
(20,11),-1.31475 # DEPENDENCYPART_ARC
(20,12),-1.48487 # DEPENDENCYPART_ARC
(20,13),-1.37915 # DEPENDENCYPART_ARC
(20,14),-1.41058 # DEPENDENCYPART_ARC
(20,15),-0.817189 # DEPENDENCYPART_ARC
(20,16),-0.627226 # DEPENDENCYPART_ARC
(20,17),0.0282379 # DEPENDENCYPART_ARC
(20,18),-0.0217312 # DEPENDENCYPART_ARC
(20,19),1.56209 # DEPENDENCYPART_ARC
(20,21),0.475016 # DEPENDENCYPART_ARC
(20,22),-0.433117 # DEPENDENCYPART_ARC
(21,1),-1.00352 # DEPENDENCYPART_ARC
(21,2),-0.958663 # DEPENDENCYPART_ARC
(21,3),-2.80864 # DEPENDENCYPART_ARC
(21,4),-0.262739 # DEPENDENCYPART_ARC
(21,5),-1.37004 # DEPENDENCYPART_ARC
(21,6),-2.37732 # DEPENDENCYPART_ARC
(21,7),-2.09115 # DEPENDENCYPART_ARC
(21,8),-0.575724 # DEPENDENCYPART_ARC
(21,9),-1.49074 # DEPENDENCYPART_ARC
(21,10),-0.639128 # DEPENDENCYPART_ARC
(21,11),-1.09362 # DEPENDENCYPART_ARC
(21,12),-2.12671 # DEPENDENCYPART_ARC
(21,13),-0.557696 # DEPENDENCYPART_ARC
(21,14),-1.31392 # DEPENDENCYPART_ARC
(21,15),-0.676699 # DEPENDENCYPART_ARC
(21,16),-0.738217 # DEPENDENCYPART_ARC
(21,17),-0.0154458 # DEPENDENCYPART_ARC
(21,18),-1.26166 # DEPENDENCYPART_ARC
(21,19),2.06028 # DEPENDENCYPART_ARC
(21,20),2.69311 # DEPENDENCYPART_ARC
(21,22),0.376833 # DEPENDENCYPART_ARC
(22,1),-3.4275 # DEPENDENCYPART_ARC
(22,2),-3.94275 # DEPENDENCYPART_ARC
(22,3),-4.21276 # DEPENDENCYPART_ARC
(22,4),-3.92563 # DEPENDENCYPART_ARC
(22,5),-4.13653 # DEPENDENCYPART_ARC
(22,6),-3.68598 # DEPENDENCYPART_ARC
(22,7),-3.16139 # DEPENDENCYPART_ARC
(22,8),-3.86599 # DEPENDENCYPART_ARC
(22,9),-3.90898 # DEPENDENCYPART_ARC
(22,10),-3.03474 # DEPENDENCYPART_ARC
(22,11),-3.39579 # DEPENDENCYPART_ARC
(22,12),-3.6704 # DEPENDENCYPART_ARC
(22,13),-3.66847 # DEPENDENCYPART_ARC
(22,14),-3.57476 # DEPENDENCYPART_ARC
(22,15),-2.64528 # DEPENDENCYPART_ARC
(22,16),-2.82219 # DEPENDENCYPART_ARC
(22,17),-2.7907 # DEPENDENCYPART_ARC
(22,18),-3.07228 # DEPENDENCYPART_ARC
(22,19),-2.52479 # DEPENDENCYPART_ARC
(22,20),-2.06835 # DEPENDENCYPART_ARC
(22,21),-1.30575 # DEPENDENCYPART_ARC
