# _root_ Els fets han passat a la B-204 , al punt quilomètric 0,5 .
#goldHeads=2,4,4,0,4,7,5,9,4,9,10,10,4,
#predictedHeads=2,4,4,0,4,7,5,9,4,9,10,10,4,
(5,3),-0.620736 # DEPENDENCYPART_ARC
(5,4),-1.0373 # DEPENDENCYPART_ARC
(5,6),-0.158151 # DEPENDENCYPART_ARC
(5,7),4.53382 # DEPENDENCYPART_ARC
(5,8),0.814742 # DEPENDENCYPART_ARC
(5,9),0.582928 # DEPENDENCYPART_ARC
(5,10),0.565626 # DEPENDENCYPART_ARC
(5,11),-1.16039 # DEPENDENCYPART_ARC
(5,12),-1.01144 # DEPENDENCYPART_ARC
(5,13),-0.691541 # DEPENDENCYPART_ARC
(6,1),-2.80851 # DEPENDENCYPART_ARC
(6,2),-2.64535 # DEPENDENCYPART_ARC
(6,5),-0.303 # DEPENDENCYPART_ARC
(6,7),0.145846 # DEPENDENCYPART_ARC
(6,9),-1.7053 # DEPENDENCYPART_ARC
(6,10),-2.46505 # DEPENDENCYPART_ARC
(6,11),-3.45874 # DEPENDENCYPART_ARC
(6,12),-2.26183 # DEPENDENCYPART_ARC
(7,1),-1.96052 # DEPENDENCYPART_ARC
(7,2),-2.03623 # DEPENDENCYPART_ARC
(7,3),-1.864 # DEPENDENCYPART_ARC
(7,4),-1.1145 # DEPENDENCYPART_ARC
(7,5),0.61124 # DEPENDENCYPART_ARC
(7,6),4.11637 # DEPENDENCYPART_ARC
(7,8),0.375347 # DEPENDENCYPART_ARC
(7,9),-0.0817088 # DEPENDENCYPART_ARC
(7,10),0.391239 # DEPENDENCYPART_ARC
(7,11),1.10683 # DEPENDENCYPART_ARC
(7,12),0.117511 # DEPENDENCYPART_ARC
(7,13),0.752248 # DEPENDENCYPART_ARC
(8,2),-3.2053 # DEPENDENCYPART_ARC
(8,10),-0.765445 # DEPENDENCYPART_ARC
(8,11),-1.03303 # DEPENDENCYPART_ARC
(9,1),-2.58541 # DEPENDENCYPART_ARC
(9,2),-3.50761 # DEPENDENCYPART_ARC
(9,3),-2.39393 # DEPENDENCYPART_ARC
(9,4),-2.83908 # DEPENDENCYPART_ARC
(9,5),-0.663347 # DEPENDENCYPART_ARC
(9,6),0.278053 # DEPENDENCYPART_ARC
(9,7),-1.07917 # DEPENDENCYPART_ARC
(9,8),2.19431 # DEPENDENCYPART_ARC
(9,10),2.99562 # DEPENDENCYPART_ARC
(9,11),-1.01964 # DEPENDENCYPART_ARC
(9,12),-0.715875 # DEPENDENCYPART_ARC
(9,13),-0.369946 # DEPENDENCYPART_ARC
(10,1),-5.42701 # DEPENDENCYPART_ARC
(10,2),-4.30585 # DEPENDENCYPART_ARC
(10,3),-4.78323 # DEPENDENCYPART_ARC
(10,4),-4.56115 # DEPENDENCYPART_ARC
(10,5),-1.98219 # DEPENDENCYPART_ARC
(10,6),-0.47037 # DEPENDENCYPART_ARC
(10,7),-2.68834 # DEPENDENCYPART_ARC
(10,8),-1.35957 # DEPENDENCYPART_ARC
(10,9),-0.242236 # DEPENDENCYPART_ARC
(10,11),4.42331 # DEPENDENCYPART_ARC
(10,12),1.6609 # DEPENDENCYPART_ARC
(10,13),0.486172 # DEPENDENCYPART_ARC
(11,1),-3.55311 # DEPENDENCYPART_ARC
(11,2),-3.82787 # DEPENDENCYPART_ARC
(11,3),-3.42244 # DEPENDENCYPART_ARC
(11,4),-3.17562 # DEPENDENCYPART_ARC
(11,5),-1.66224 # DEPENDENCYPART_ARC
(11,6),-1.10792 # DEPENDENCYPART_ARC
(11,7),-1.84496 # DEPENDENCYPART_ARC
(11,8),0.0861991 # DEPENDENCYPART_ARC
(11,9),-0.307128 # DEPENDENCYPART_ARC
(11,10),-0.067454 # DEPENDENCYPART_ARC
(11,12),-0.0882448 # DEPENDENCYPART_ARC
(11,13),-1.3844 # DEPENDENCYPART_ARC
(12,1),-1.1313 # DEPENDENCYPART_ARC
(12,2),-1.85276 # DEPENDENCYPART_ARC
(12,3),-1.7944 # DEPENDENCYPART_ARC
(12,4),-1.60247 # DEPENDENCYPART_ARC
(12,5),-0.359759 # DEPENDENCYPART_ARC
(12,6),-0.199259 # DEPENDENCYPART_ARC
(12,7),-1.20144 # DEPENDENCYPART_ARC
(12,8),-0.0825547 # DEPENDENCYPART_ARC
(12,9),0.773878 # DEPENDENCYPART_ARC
(12,10),0.201485 # DEPENDENCYPART_ARC
(12,11),2.1286 # DEPENDENCYPART_ARC
(12,13),0.521987 # DEPENDENCYPART_ARC
