# _root_ A_més_del catàleg , coincidint amb el lliurament dels premis , el dia_6_de_juny s' inaugurarà a Igualada l' exposició que reunirà les obres seleccionades .
#goldHeads=14,1,4,14,4,7,5,7,8,4,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
#predictedHeads=4,1,1,14,4,7,5,7,8,1,12,14,14,0,14,15,18,14,20,18,22,20,22,14,
(4,24),2.09203 # DEPENDENCYPART_ARC
(5,1),-1.58658 # DEPENDENCYPART_ARC
(5,2),-2.17638 # DEPENDENCYPART_ARC
(5,3),-0.204459 # DEPENDENCYPART_ARC
(5,4),0.444793 # DEPENDENCYPART_ARC
(5,6),0.243673 # DEPENDENCYPART_ARC
(5,7),5.041 # DEPENDENCYPART_ARC
(5,8),1.11578 # DEPENDENCYPART_ARC
(5,9),2.78235 # DEPENDENCYPART_ARC
(5,10),0.64935 # DEPENDENCYPART_ARC
(5,11),-1.87613 # DEPENDENCYPART_ARC
(5,12),-0.564485 # DEPENDENCYPART_ARC
(5,13),-2.01308 # DEPENDENCYPART_ARC
(5,14),-0.325801 # DEPENDENCYPART_ARC
(5,15),-0.879546 # DEPENDENCYPART_ARC
(5,16),-3.4317 # DEPENDENCYPART_ARC
(5,17),-1.53961 # DEPENDENCYPART_ARC
(5,18),-5.26839 # DEPENDENCYPART_ARC
(5,19),-4.62671 # DEPENDENCYPART_ARC
(5,20),-1.11214 # DEPENDENCYPART_ARC
(5,21),-2.10258 # DEPENDENCYPART_ARC
(5,22),-8.95227 # DEPENDENCYPART_ARC
(5,23),-2.03648 # DEPENDENCYPART_ARC
(5,24),-0.441721 # DEPENDENCYPART_ARC
(6,1),-2.2077 # DEPENDENCYPART_ARC
(6,2),-2.604 # DEPENDENCYPART_ARC
(6,3),-1.63152 # DEPENDENCYPART_ARC
(6,4),-1.39301 # DEPENDENCYPART_ARC
(6,5),-0.0472624 # DEPENDENCYPART_ARC
(6,7),2.746 # DEPENDENCYPART_ARC
(6,8),0.479998 # DEPENDENCYPART_ARC
(6,9),-1.88143 # DEPENDENCYPART_ARC
(6,10),-1.48864 # DEPENDENCYPART_ARC
(6,11),-1.20831 # DEPENDENCYPART_ARC
(6,12),-1.36155 # DEPENDENCYPART_ARC
(6,13),-1.97737 # DEPENDENCYPART_ARC
(6,14),-2.36863 # DEPENDENCYPART_ARC
(6,15),-3.00375 # DEPENDENCYPART_ARC
(6,16),-3.23083 # DEPENDENCYPART_ARC
(6,17),-3.06113 # DEPENDENCYPART_ARC
(6,18),-3.31322 # DEPENDENCYPART_ARC
(6,19),-3.65556 # DEPENDENCYPART_ARC
(6,20),-3.29283 # DEPENDENCYPART_ARC
(6,21),-3.6734 # DEPENDENCYPART_ARC
(6,22),-4.19183 # DEPENDENCYPART_ARC
(6,23),-5.15728 # DEPENDENCYPART_ARC
(6,24),-3.00737 # DEPENDENCYPART_ARC
(7,1),-1.96209 # DEPENDENCYPART_ARC
(7,2),-1.698 # DEPENDENCYPART_ARC
(7,3),-0.457793 # DEPENDENCYPART_ARC
(7,4),-0.670764 # DEPENDENCYPART_ARC
(7,5),0.830938 # DEPENDENCYPART_ARC
(7,6),4.1747 # DEPENDENCYPART_ARC
(7,8),3.31792 # DEPENDENCYPART_ARC
(7,9),1.15176 # DEPENDENCYPART_ARC
(7,10),1.04145 # DEPENDENCYPART_ARC
(7,11),-0.901889 # DEPENDENCYPART_ARC
(7,12),0.148256 # DEPENDENCYPART_ARC
(7,13),0.183393 # DEPENDENCYPART_ARC
(7,14),2.07976 # DEPENDENCYPART_ARC
(7,15),-0.268377 # DEPENDENCYPART_ARC
(7,16),-1.16124 # DEPENDENCYPART_ARC
(7,17),-1.95544 # DEPENDENCYPART_ARC
(7,18),-0.0949818 # DEPENDENCYPART_ARC
(7,19),-3.33796 # DEPENDENCYPART_ARC
(7,20),1.22871 # DEPENDENCYPART_ARC
(7,21),-3.31169 # DEPENDENCYPART_ARC
(7,22),0.0825869 # DEPENDENCYPART_ARC
(7,23),-3.41638 # DEPENDENCYPART_ARC
(7,24),1.50899 # DEPENDENCYPART_ARC
(8,1),-2.85299 # DEPENDENCYPART_ARC
(8,2),-2.7397 # DEPENDENCYPART_ARC
(8,3),-1.08061 # DEPENDENCYPART_ARC
(8,4),-0.894377 # DEPENDENCYPART_ARC
(8,5),-0.581102 # DEPENDENCYPART_ARC
(8,6),1.02668 # DEPENDENCYPART_ARC
(8,7),-0.447303 # DEPENDENCYPART_ARC
(8,9),4.87202 # DEPENDENCYPART_ARC
(8,10),0.130779 # DEPENDENCYPART_ARC
(8,11),-2.68927 # DEPENDENCYPART_ARC
(8,12),-0.904275 # DEPENDENCYPART_ARC
(8,13),-2.00005 # DEPENDENCYPART_ARC
(8,14),-1.71185 # DEPENDENCYPART_ARC
(8,15),-1.79573 # DEPENDENCYPART_ARC
(8,16),-3.85592 # DEPENDENCYPART_ARC
(8,17),-2.55463 # DEPENDENCYPART_ARC
(8,18),-6.78941 # DEPENDENCYPART_ARC
(8,19),-6.61758 # DEPENDENCYPART_ARC
(8,20),-2.57519 # DEPENDENCYPART_ARC
(8,21),-3.45258 # DEPENDENCYPART_ARC
(8,22),-9.67799 # DEPENDENCYPART_ARC
(8,23),-3.41256 # DEPENDENCYPART_ARC
(8,24),-1.48504 # DEPENDENCYPART_ARC
(9,1),-2.64485 # DEPENDENCYPART_ARC
(9,2),-2.14035 # DEPENDENCYPART_ARC
(9,3),-1.68854 # DEPENDENCYPART_ARC
(9,4),-1.95531 # DEPENDENCYPART_ARC
(9,5),-1.01949 # DEPENDENCYPART_ARC
(9,6),1.51562 # DEPENDENCYPART_ARC
(9,7),-1.22419 # DEPENDENCYPART_ARC
(9,8),0.752424 # DEPENDENCYPART_ARC
(9,10),0.791661 # DEPENDENCYPART_ARC
(9,11),-0.586019 # DEPENDENCYPART_ARC
(9,12),-0.381318 # DEPENDENCYPART_ARC
(9,13),-0.157017 # DEPENDENCYPART_ARC
(9,14),1.71768 # DEPENDENCYPART_ARC
(9,15),-0.494648 # DEPENDENCYPART_ARC
(9,16),-1.05657 # DEPENDENCYPART_ARC
(9,17),-1.89657 # DEPENDENCYPART_ARC
(9,18),-0.72257 # DEPENDENCYPART_ARC
(9,19),-3.02123 # DEPENDENCYPART_ARC
(9,20),0.887804 # DEPENDENCYPART_ARC
(9,21),-2.50646 # DEPENDENCYPART_ARC
(9,22),0.341563 # DEPENDENCYPART_ARC
(9,23),-0.760097 # DEPENDENCYPART_ARC
(9,24),0.731487 # DEPENDENCYPART_ARC
(10,1),-2.71289 # DEPENDENCYPART_ARC
(10,2),-3.56882 # DEPENDENCYPART_ARC
(10,3),-2.41591 # DEPENDENCYPART_ARC
(10,4),-2.9706 # DEPENDENCYPART_ARC
(10,5),-2.07653 # DEPENDENCYPART_ARC
(10,6),-2.22129 # DEPENDENCYPART_ARC
(10,7),-2.62087 # DEPENDENCYPART_ARC
(10,8),-1.37208 # DEPENDENCYPART_ARC
(10,9),-1.41259 # DEPENDENCYPART_ARC
(10,11),-1.33419 # DEPENDENCYPART_ARC
(10,12),-1.0059 # DEPENDENCYPART_ARC
(10,13),-2.01225 # DEPENDENCYPART_ARC
(10,14),-1.62026 # DEPENDENCYPART_ARC
(10,15),-2.45454 # DEPENDENCYPART_ARC
(10,16),-2.40199 # DEPENDENCYPART_ARC
(10,17),-3.0102 # DEPENDENCYPART_ARC
(10,18),-2.55601 # DEPENDENCYPART_ARC
(10,19),-2.84463 # DEPENDENCYPART_ARC
(10,20),-2.31149 # DEPENDENCYPART_ARC
(10,21),-3.14894 # DEPENDENCYPART_ARC
(10,22),-2.71071 # DEPENDENCYPART_ARC
(10,23),-2.71186 # DEPENDENCYPART_ARC
(10,24),-2.09988 # DEPENDENCYPART_ARC
(11,1),-2.54404 # DEPENDENCYPART_ARC
(11,2),-3.16945 # DEPENDENCYPART_ARC
(11,3),-2.10263 # DEPENDENCYPART_ARC
(11,4),-2.72476 # DEPENDENCYPART_ARC
(11,5),-1.7342 # DEPENDENCYPART_ARC
(11,6),-1.22809 # DEPENDENCYPART_ARC
(11,7),-2.17722 # DEPENDENCYPART_ARC
(11,8),-1.03193 # DEPENDENCYPART_ARC
(11,9),-1.71864 # DEPENDENCYPART_ARC
(11,10),0.0988512 # DEPENDENCYPART_ARC
(11,12),0.794613 # DEPENDENCYPART_ARC
(11,13),-0.317676 # DEPENDENCYPART_ARC
(11,14),-1.66901 # DEPENDENCYPART_ARC
(11,15),-1.99133 # DEPENDENCYPART_ARC
(11,16),-2.73839 # DEPENDENCYPART_ARC
(11,17),-2.3562 # DEPENDENCYPART_ARC
(11,18),-3.6347 # DEPENDENCYPART_ARC
(11,19),-3.85889 # DEPENDENCYPART_ARC
(11,20),-3.30588 # DEPENDENCYPART_ARC
(11,21),-3.21419 # DEPENDENCYPART_ARC
(11,22),-4.65259 # DEPENDENCYPART_ARC
(11,23),-5.45255 # DEPENDENCYPART_ARC
(11,24),-2.89387 # DEPENDENCYPART_ARC
(12,1),-1.5115 # DEPENDENCYPART_ARC
(12,2),-2.18353 # DEPENDENCYPART_ARC
(12,3),-1.03123 # DEPENDENCYPART_ARC
(12,4),-1.74817 # DEPENDENCYPART_ARC
(12,5),-0.0494187 # DEPENDENCYPART_ARC
(12,6),-0.224542 # DEPENDENCYPART_ARC
(12,7),-1.4163 # DEPENDENCYPART_ARC
(12,8),-0.0997058 # DEPENDENCYPART_ARC
(12,9),-0.838484 # DEPENDENCYPART_ARC
(12,10),1.61807 # DEPENDENCYPART_ARC
(12,11),3.77938 # DEPENDENCYPART_ARC
(12,13),-0.0666155 # DEPENDENCYPART_ARC
(12,14),0.527972 # DEPENDENCYPART_ARC
(12,15),-1.34101 # DEPENDENCYPART_ARC
(12,16),-1.13812 # DEPENDENCYPART_ARC
(12,17),-2.1001 # DEPENDENCYPART_ARC
(12,18),-1.82543 # DEPENDENCYPART_ARC
(12,19),-2.37022 # DEPENDENCYPART_ARC
(12,20),-0.55004 # DEPENDENCYPART_ARC
(12,21),-2.59809 # DEPENDENCYPART_ARC
(12,22),-1.95091 # DEPENDENCYPART_ARC
(12,23),-1.54352 # DEPENDENCYPART_ARC
(12,24),-1.30289 # DEPENDENCYPART_ARC
(13,1),-2.43597 # DEPENDENCYPART_ARC
(13,2),-3.26096 # DEPENDENCYPART_ARC
(13,3),-2.02758 # DEPENDENCYPART_ARC
(13,4),-2.49444 # DEPENDENCYPART_ARC
(13,5),-1.86654 # DEPENDENCYPART_ARC
(13,6),-2.06741 # DEPENDENCYPART_ARC
(13,7),-2.62838 # DEPENDENCYPART_ARC
(13,8),-1.43431 # DEPENDENCYPART_ARC
(13,9),-2.34167 # DEPENDENCYPART_ARC
(13,10),-0.862719 # DEPENDENCYPART_ARC
(13,11),0.0499753 # DEPENDENCYPART_ARC
(13,12),-0.62565 # DEPENDENCYPART_ARC
(13,14),0.527175 # DEPENDENCYPART_ARC
(13,15),-0.648789 # DEPENDENCYPART_ARC
(13,16),-0.541999 # DEPENDENCYPART_ARC
(13,17),-1.78594 # DEPENDENCYPART_ARC
(13,18),-0.924971 # DEPENDENCYPART_ARC
(13,19),-2.15961 # DEPENDENCYPART_ARC
(13,20),-1.17591 # DEPENDENCYPART_ARC
(13,21),-2.52344 # DEPENDENCYPART_ARC
(13,22),-1.37463 # DEPENDENCYPART_ARC
(13,23),-1.84146 # DEPENDENCYPART_ARC
(13,24),-0.174837 # DEPENDENCYPART_ARC
(14,1),0.479917 # DEPENDENCYPART_ARC
(14,2),0.217322 # DEPENDENCYPART_ARC
(14,3),-0.565139 # DEPENDENCYPART_ARC
(14,4),1.06907 # DEPENDENCYPART_ARC
(14,5),0.933002 # DEPENDENCYPART_ARC
(14,6),-0.771552 # DEPENDENCYPART_ARC
(14,7),1.58103 # DEPENDENCYPART_ARC
(14,8),-0.913747 # DEPENDENCYPART_ARC
(14,9),-0.169627 # DEPENDENCYPART_ARC
(14,10),1.31621 # DEPENDENCYPART_ARC
(14,11),1.07433 # DEPENDENCYPART_ARC
(14,12),1.81008 # DEPENDENCYPART_ARC
(14,13),5.04708 # DEPENDENCYPART_ARC
(14,15),4.45193 # DEPENDENCYPART_ARC
(14,16),2.4946 # DEPENDENCYPART_ARC
(14,17),-0.994201 # DEPENDENCYPART_ARC
(14,18),2.93566 # DEPENDENCYPART_ARC
(14,19),-1.09776 # DEPENDENCYPART_ARC
(14,20),2.49885 # DEPENDENCYPART_ARC
(14,21),-2.95093 # DEPENDENCYPART_ARC
(14,22),1.65944 # DEPENDENCYPART_ARC
(14,23),0.870283 # DEPENDENCYPART_ARC
(14,24),3.81665 # DEPENDENCYPART_ARC
(15,1),-3.79301 # DEPENDENCYPART_ARC
(15,2),-3.66124 # DEPENDENCYPART_ARC
(15,3),-2.62571 # DEPENDENCYPART_ARC
(15,4),-1.80827 # DEPENDENCYPART_ARC
(15,5),-3.07015 # DEPENDENCYPART_ARC
(15,6),-2.6382 # DEPENDENCYPART_ARC
(15,7),-2.98311 # DEPENDENCYPART_ARC
(15,8),-2.63227 # DEPENDENCYPART_ARC
(15,9),-2.85356 # DEPENDENCYPART_ARC
(15,10),-1.68413 # DEPENDENCYPART_ARC
(15,11),-1.30733 # DEPENDENCYPART_ARC
(15,12),-1.94624 # DEPENDENCYPART_ARC
(15,13),-1.04352 # DEPENDENCYPART_ARC
(15,14),-0.180088 # DEPENDENCYPART_ARC
(15,16),5.04417 # DEPENDENCYPART_ARC
(15,17),-0.396176 # DEPENDENCYPART_ARC
(15,18),0.116201 # DEPENDENCYPART_ARC
(15,19),-2.19133 # DEPENDENCYPART_ARC
(15,20),-1.07044 # DEPENDENCYPART_ARC
(15,21),-2.9126 # DEPENDENCYPART_ARC
(15,22),-4.91945 # DEPENDENCYPART_ARC
(15,23),-2.40148 # DEPENDENCYPART_ARC
(15,24),-1.09324 # DEPENDENCYPART_ARC
(16,1),-2.81845 # DEPENDENCYPART_ARC
(16,2),-2.79685 # DEPENDENCYPART_ARC
(16,3),-2.66678 # DEPENDENCYPART_ARC
(16,4),-2.93414 # DEPENDENCYPART_ARC
(16,5),-2.20095 # DEPENDENCYPART_ARC
(16,6),-4.10139 # DEPENDENCYPART_ARC
(16,7),-2.6745 # DEPENDENCYPART_ARC
(16,8),-1.24593 # DEPENDENCYPART_ARC
(16,9),-2.062 # DEPENDENCYPART_ARC
(16,10),-1.72863 # DEPENDENCYPART_ARC
(16,11),-1.5818 # DEPENDENCYPART_ARC
(16,12),-1.58206 # DEPENDENCYPART_ARC
(16,13),-0.870792 # DEPENDENCYPART_ARC
(16,14),-0.915114 # DEPENDENCYPART_ARC
(16,15),0.720151 # DEPENDENCYPART_ARC
(16,17),0.297059 # DEPENDENCYPART_ARC
(16,18),-0.178166 # DEPENDENCYPART_ARC
(16,19),-1.32279 # DEPENDENCYPART_ARC
(16,20),0.794153 # DEPENDENCYPART_ARC
(16,21),-2.03723 # DEPENDENCYPART_ARC
(16,22),-1.5446 # DEPENDENCYPART_ARC
(16,23),-0.838855 # DEPENDENCYPART_ARC
(16,24),-0.497789 # DEPENDENCYPART_ARC
(17,1),-3.44385 # DEPENDENCYPART_ARC
(17,2),-3.54434 # DEPENDENCYPART_ARC
(17,3),-2.83747 # DEPENDENCYPART_ARC
(17,4),-3.44999 # DEPENDENCYPART_ARC
(17,5),-2.76027 # DEPENDENCYPART_ARC
(17,6),-2.68799 # DEPENDENCYPART_ARC
(17,7),-3.0552 # DEPENDENCYPART_ARC
(17,8),-3.02284 # DEPENDENCYPART_ARC
(17,9),-3.5384 # DEPENDENCYPART_ARC
(17,10),-2.36498 # DEPENDENCYPART_ARC
(17,11),-1.65414 # DEPENDENCYPART_ARC
(17,12),-2.38577 # DEPENDENCYPART_ARC
(17,13),-1.84067 # DEPENDENCYPART_ARC
(17,14),-1.61702 # DEPENDENCYPART_ARC
(17,15),-1.11446 # DEPENDENCYPART_ARC
(17,16),-0.430018 # DEPENDENCYPART_ARC
(17,18),0.355782 # DEPENDENCYPART_ARC
(17,19),-0.863943 # DEPENDENCYPART_ARC
(17,20),-1.90483 # DEPENDENCYPART_ARC
(17,21),-1.13087 # DEPENDENCYPART_ARC
(17,22),-2.76518 # DEPENDENCYPART_ARC
(17,23),-4.41764 # DEPENDENCYPART_ARC
(17,24),-2.75146 # DEPENDENCYPART_ARC
(18,1),-2.46563 # DEPENDENCYPART_ARC
(18,2),-2.14683 # DEPENDENCYPART_ARC
(18,3),-1.52201 # DEPENDENCYPART_ARC
(18,4),-1.32229 # DEPENDENCYPART_ARC
(18,5),-1.57505 # DEPENDENCYPART_ARC
(18,6),-4.13468 # DEPENDENCYPART_ARC
(18,7),-1.98637 # DEPENDENCYPART_ARC
(18,8),-0.47833 # DEPENDENCYPART_ARC
(18,9),-1.52488 # DEPENDENCYPART_ARC
(18,10),-0.442263 # DEPENDENCYPART_ARC
(18,11),-2.20142 # DEPENDENCYPART_ARC
(18,12),-1.06215 # DEPENDENCYPART_ARC
(18,13),-0.288552 # DEPENDENCYPART_ARC
(18,14),-0.985334 # DEPENDENCYPART_ARC
(18,15),0.115126 # DEPENDENCYPART_ARC
(18,16),0.781031 # DEPENDENCYPART_ARC
(18,17),4.89403 # DEPENDENCYPART_ARC
(18,19),0.846946 # DEPENDENCYPART_ARC
(18,20),4.36207 # DEPENDENCYPART_ARC
(18,21),-0.141856 # DEPENDENCYPART_ARC
(18,22),0.971166 # DEPENDENCYPART_ARC
(18,23),1.12189 # DEPENDENCYPART_ARC
(18,24),2.29184 # DEPENDENCYPART_ARC
(19,1),-4.23611 # DEPENDENCYPART_ARC
(19,2),-4.94461 # DEPENDENCYPART_ARC
(19,3),-3.48548 # DEPENDENCYPART_ARC
(19,4),-3.24448 # DEPENDENCYPART_ARC
(19,5),-3.2292 # DEPENDENCYPART_ARC
(19,6),-5.34405 # DEPENDENCYPART_ARC
(19,7),-4.7474 # DEPENDENCYPART_ARC
(19,8),-2.77704 # DEPENDENCYPART_ARC
(19,9),-4.28412 # DEPENDENCYPART_ARC
(19,10),-2.94412 # DEPENDENCYPART_ARC
(19,11),-4.73977 # DEPENDENCYPART_ARC
(19,12),-3.28242 # DEPENDENCYPART_ARC
(19,13),-3.10813 # DEPENDENCYPART_ARC
(19,14),-2.42101 # DEPENDENCYPART_ARC
(19,15),-1.80283 # DEPENDENCYPART_ARC
(19,16),-2.82212 # DEPENDENCYPART_ARC
(19,17),-1.68138 # DEPENDENCYPART_ARC
(19,18),-2.13579 # DEPENDENCYPART_ARC
(19,20),-0.150621 # DEPENDENCYPART_ARC
(19,21),-1.02674 # DEPENDENCYPART_ARC
(19,22),-1.08506 # DEPENDENCYPART_ARC
(19,23),0.322508 # DEPENDENCYPART_ARC
(19,24),-0.715388 # DEPENDENCYPART_ARC
(20,1),-0.87831 # DEPENDENCYPART_ARC
(20,2),-0.726406 # DEPENDENCYPART_ARC
(20,3),-1.75607 # DEPENDENCYPART_ARC
(20,4),0.239624 # DEPENDENCYPART_ARC
(20,5),-0.157232 # DEPENDENCYPART_ARC
(20,6),-2.65059 # DEPENDENCYPART_ARC
(20,7),0.535646 # DEPENDENCYPART_ARC
(20,8),-2.24357 # DEPENDENCYPART_ARC
(20,9),-1.1464 # DEPENDENCYPART_ARC
(20,10),-0.618245 # DEPENDENCYPART_ARC
(20,11),-1.74567 # DEPENDENCYPART_ARC
(20,12),0.290713 # DEPENDENCYPART_ARC
(20,13),1.19421 # DEPENDENCYPART_ARC
(20,14),-1.45932 # DEPENDENCYPART_ARC
(20,15),0.53798 # DEPENDENCYPART_ARC
(20,16),0.0970321 # DEPENDENCYPART_ARC
(20,17),-0.182428 # DEPENDENCYPART_ARC
(20,18),1.46332 # DEPENDENCYPART_ARC
(20,19),5.0998 # DEPENDENCYPART_ARC
(20,21),-1.11812 # DEPENDENCYPART_ARC
(20,22),3.7834 # DEPENDENCYPART_ARC
(20,23),1.51783 # DEPENDENCYPART_ARC
(20,24),2.57433 # DEPENDENCYPART_ARC
(21,1),-4.37431 # DEPENDENCYPART_ARC
(21,2),-4.75538 # DEPENDENCYPART_ARC
(21,3),-3.56727 # DEPENDENCYPART_ARC
(21,4),-4.16517 # DEPENDENCYPART_ARC
(21,5),-3.91644 # DEPENDENCYPART_ARC
(21,6),-3.70145 # DEPENDENCYPART_ARC
(21,7),-4.28326 # DEPENDENCYPART_ARC
(21,8),-3.77982 # DEPENDENCYPART_ARC
(21,9),-3.48956 # DEPENDENCYPART_ARC
(21,10),-3.20336 # DEPENDENCYPART_ARC
(21,11),-2.75532 # DEPENDENCYPART_ARC
(21,12),-3.17989 # DEPENDENCYPART_ARC
(21,13),-2.96813 # DEPENDENCYPART_ARC
(21,14),-3.04393 # DEPENDENCYPART_ARC
(21,15),-3.22519 # DEPENDENCYPART_ARC
(21,16),-2.96849 # DEPENDENCYPART_ARC
(21,17),-2.98282 # DEPENDENCYPART_ARC
(21,18),-2.67315 # DEPENDENCYPART_ARC
(21,19),-2.00441 # DEPENDENCYPART_ARC
(21,20),-0.656117 # DEPENDENCYPART_ARC
(21,22),1.10631 # DEPENDENCYPART_ARC
(21,23),-0.0715137 # DEPENDENCYPART_ARC
(21,24),-0.776917 # DEPENDENCYPART_ARC
(22,1),-3.53126 # DEPENDENCYPART_ARC
