# _root_ La resolució , en_atenció_a aquestes falsedats i mala fe , imposa les costes del procediment als defensors per ' temeritat ' .
#goldHeads=2,11,4,11,6,4,6,9,6,4,0,13,11,13,14,11,16,11,20,18,20,11,
#predictedHeads=2,11,4,11,6,4,2,9,11,4,0,13,11,13,14,11,16,11,20,18,20,11,
(6,11),-0.0504332 # DEPENDENCYPART_ARC
(6,12),-2.21229 # DEPENDENCYPART_ARC
(6,13),0.17886 # DEPENDENCYPART_ARC
(6,14),-0.45269 # DEPENDENCYPART_ARC
(6,15),-1.5698 # DEPENDENCYPART_ARC
(6,16),-0.806782 # DEPENDENCYPART_ARC
(6,17),-0.958129 # DEPENDENCYPART_ARC
(6,18),-1.46223 # DEPENDENCYPART_ARC
(6,19),-1.18384 # DEPENDENCYPART_ARC
(6,20),-1.07799 # DEPENDENCYPART_ARC
(6,21),-1.94384 # DEPENDENCYPART_ARC
(6,22),-0.873329 # DEPENDENCYPART_ARC
(7,3),-2.57128 # DEPENDENCYPART_ARC
(7,10),-0.69472 # DEPENDENCYPART_ARC
(8,1),-1.21656 # DEPENDENCYPART_ARC
(8,2),-1.72731 # DEPENDENCYPART_ARC
(8,3),-0.229115 # DEPENDENCYPART_ARC
(8,4),0.223766 # DEPENDENCYPART_ARC
(8,5),-0.896459 # DEPENDENCYPART_ARC
(8,6),-0.931555 # DEPENDENCYPART_ARC
(8,7),0.897597 # DEPENDENCYPART_ARC
(8,9),0.548283 # DEPENDENCYPART_ARC
(8,10),-0.869533 # DEPENDENCYPART_ARC
(8,11),-0.974678 # DEPENDENCYPART_ARC
(8,12),-3.40342 # DEPENDENCYPART_ARC
(8,13),-2.10571 # DEPENDENCYPART_ARC
(8,14),-3.09417 # DEPENDENCYPART_ARC
(8,15),-1.85111 # DEPENDENCYPART_ARC
(8,16),-2.90939 # DEPENDENCYPART_ARC
(8,17),-2.32714 # DEPENDENCYPART_ARC
(8,18),-3.24334 # DEPENDENCYPART_ARC
(8,19),-2.05583 # DEPENDENCYPART_ARC
(8,20),-2.41568 # DEPENDENCYPART_ARC
(8,21),-2.56844 # DEPENDENCYPART_ARC
(8,22),-3.10137 # DEPENDENCYPART_ARC
(9,1),0.118944 # DEPENDENCYPART_ARC
(9,2),-0.579414 # DEPENDENCYPART_ARC
(9,3),0.140391 # DEPENDENCYPART_ARC
(9,4),0.22847 # DEPENDENCYPART_ARC
(9,5),1.40372 # DEPENDENCYPART_ARC
(9,6),0.392299 # DEPENDENCYPART_ARC
(9,7),0.974866 # DEPENDENCYPART_ARC
(9,8),3.74336 # DEPENDENCYPART_ARC
(9,10),0.348084 # DEPENDENCYPART_ARC
(9,11),0.780521 # DEPENDENCYPART_ARC
(9,12),-2.24302 # DEPENDENCYPART_ARC
(9,13),-0.642825 # DEPENDENCYPART_ARC
(9,14),-0.763081 # DEPENDENCYPART_ARC
(9,15),-1.1565 # DEPENDENCYPART_ARC
(9,16),-1.50084 # DEPENDENCYPART_ARC
(9,17),-1.32087 # DEPENDENCYPART_ARC
(9,18),-1.5728 # DEPENDENCYPART_ARC
(9,19),-0.359644 # DEPENDENCYPART_ARC
(9,20),-0.646197 # DEPENDENCYPART_ARC
(9,21),-1.49282 # DEPENDENCYPART_ARC
(9,22),-0.727876 # DEPENDENCYPART_ARC
(10,2),-3.41413 # DEPENDENCYPART_ARC
(10,3),-1.55371 # DEPENDENCYPART_ARC
(10,6),-2.75718 # DEPENDENCYPART_ARC
(10,8),-1.4283 # DEPENDENCYPART_ARC
(10,9),-1.52747 # DEPENDENCYPART_ARC
(10,13),-1.66238 # DEPENDENCYPART_ARC
(10,15),-1.96347 # DEPENDENCYPART_ARC
(10,17),-2.12234 # DEPENDENCYPART_ARC
(10,20),-2.33738 # DEPENDENCYPART_ARC
(11,1),-0.983835 # DEPENDENCYPART_ARC
(11,2),0.873054 # DEPENDENCYPART_ARC
(11,3),-1.36462 # DEPENDENCYPART_ARC
(11,4),1.26387 # DEPENDENCYPART_ARC
(11,5),-1.11219 # DEPENDENCYPART_ARC
(11,6),1.22228 # DEPENDENCYPART_ARC
(11,7),0.108673 # DEPENDENCYPART_ARC
(11,8),0.28815 # DEPENDENCYPART_ARC
(11,9),1.61925 # DEPENDENCYPART_ARC
(11,10),1.27883 # DEPENDENCYPART_ARC
(11,12),-1.25035 # DEPENDENCYPART_ARC
(11,13),3.79621 # DEPENDENCYPART_ARC
(11,14),0.921159 # DEPENDENCYPART_ARC
(11,15),1.54296 # DEPENDENCYPART_ARC
(11,16),2.47861 # DEPENDENCYPART_ARC
(11,17),0.867587 # DEPENDENCYPART_ARC
(11,18),2.39975 # DEPENDENCYPART_ARC
(11,19),0.823424 # DEPENDENCYPART_ARC
(11,20),0.726733 # DEPENDENCYPART_ARC
(11,21),1.80234 # DEPENDENCYPART_ARC
(11,22),3.20606 # DEPENDENCYPART_ARC
(12,1),-3.04034 # DEPENDENCYPART_ARC
(12,2),-3.46016 # DEPENDENCYPART_ARC
(12,4),-2.97843 # DEPENDENCYPART_ARC
(12,5),-1.65995 # DEPENDENCYPART_ARC
(12,6),-2.57228 # DEPENDENCYPART_ARC
(12,7),-2.52642 # DEPENDENCYPART_ARC
(12,8),-2.89183 # DEPENDENCYPART_ARC
(12,9),-2.59529 # DEPENDENCYPART_ARC
(12,13),2.30128 # DEPENDENCYPART_ARC
(12,14),-0.395611 # DEPENDENCYPART_ARC
(12,15),-1.45821 # DEPENDENCYPART_ARC
(12,16),-1.35248 # DEPENDENCYPART_ARC
(12,17),-1.5869 # DEPENDENCYPART_ARC
(12,18),-3.30839 # DEPENDENCYPART_ARC
(12,20),-2.97538 # DEPENDENCYPART_ARC
(13,1),-2.98111 # DEPENDENCYPART_ARC
(13,2),-2.84197 # DEPENDENCYPART_ARC
(13,3),-1.40965 # DEPENDENCYPART_ARC
(13,4),-1.33428 # DEPENDENCYPART_ARC
(13,5),-0.995645 # DEPENDENCYPART_ARC
(13,6),-1.00115 # DEPENDENCYPART_ARC
(13,7),-0.950217 # DEPENDENCYPART_ARC
(13,8),-2.21257 # DEPENDENCYPART_ARC
(13,9),-1.88963 # DEPENDENCYPART_ARC
(13,10),-0.318369 # DEPENDENCYPART_ARC
(13,11),1.59528 # DEPENDENCYPART_ARC
(13,12),4.36362 # DEPENDENCYPART_ARC
(13,14),3.30948 # DEPENDENCYPART_ARC
(13,15),0.43191 # DEPENDENCYPART_ARC
(13,16),1.35115 # DEPENDENCYPART_ARC
(13,17),0.687393 # DEPENDENCYPART_ARC
(13,18),0.896314 # DEPENDENCYPART_ARC
(13,19),0.709597 # DEPENDENCYPART_ARC
(13,20),1.07317 # DEPENDENCYPART_ARC
(13,21),0.103598 # DEPENDENCYPART_ARC
(13,22),0.19727 # DEPENDENCYPART_ARC
(14,1),-2.16623 # DEPENDENCYPART_ARC
(14,2),-2.43166 # DEPENDENCYPART_ARC
(14,3),-1.89322 # DEPENDENCYPART_ARC
(14,4),-2.029 # DEPENDENCYPART_ARC
(14,6),-2.52448 # DEPENDENCYPART_ARC
(14,7),-1.59473 # DEPENDENCYPART_ARC
(14,8),-1.85025 # DEPENDENCYPART_ARC
(14,9),-2.13676 # DEPENDENCYPART_ARC
(14,10),-1.12978 # DEPENDENCYPART_ARC
(14,11),-1.20548 # DEPENDENCYPART_ARC
(14,12),0.0291185 # DEPENDENCYPART_ARC
(14,13),-0.214838 # DEPENDENCYPART_ARC
(14,15),4.16082 # DEPENDENCYPART_ARC
(14,16),0.157766 # DEPENDENCYPART_ARC
(14,17),0.683178 # DEPENDENCYPART_ARC
(14,18),-1.39506 # DEPENDENCYPART_ARC
(14,19),-0.38906 # DEPENDENCYPART_ARC
(14,20),-1.47962 # DEPENDENCYPART_ARC
(14,21),-0.82583 # DEPENDENCYPART_ARC
(14,22),-0.761178 # DEPENDENCYPART_ARC
(15,1),-3.89664 # DEPENDENCYPART_ARC
(15,2),-3.13519 # DEPENDENCYPART_ARC
(15,3),-2.01402 # DEPENDENCYPART_ARC
(15,4),-1.56429 # DEPENDENCYPART_ARC
(15,5),-3.8843 # DEPENDENCYPART_ARC
(15,6),-2.8404 # DEPENDENCYPART_ARC
(15,7),-1.31528 # DEPENDENCYPART_ARC
(15,8),-1.94172 # DEPENDENCYPART_ARC
(15,9),-2.39775 # DEPENDENCYPART_ARC
(15,10),-1.32411 # DEPENDENCYPART_ARC
(15,11),-1.18336 # DEPENDENCYPART_ARC
(15,12),0.093114 # DEPENDENCYPART_ARC
(15,13),-0.982047 # DEPENDENCYPART_ARC
(15,14),0.668245 # DEPENDENCYPART_ARC
(15,16),1.62936 # DEPENDENCYPART_ARC
(15,17),0.688858 # DEPENDENCYPART_ARC
(15,18),0.504534 # DEPENDENCYPART_ARC
(15,19),0.944824 # DEPENDENCYPART_ARC
(15,20),0.755842 # DEPENDENCYPART_ARC
(15,21),-0.38115 # DEPENDENCYPART_ARC
(15,22),-0.699137 # DEPENDENCYPART_ARC
(16,1),-1.85914 # DEPENDENCYPART_ARC
(16,2),-2.47626 # DEPENDENCYPART_ARC
(16,3),-1.87597 # DEPENDENCYPART_ARC
(16,4),-2.28072 # DEPENDENCYPART_ARC
(16,6),-1.71542 # DEPENDENCYPART_ARC
(16,7),-1.74816 # DEPENDENCYPART_ARC
(16,8),-2.19985 # DEPENDENCYPART_ARC
(16,9),-2.28641 # DEPENDENCYPART_ARC
(16,10),-1.01149 # DEPENDENCYPART_ARC
(16,11),-0.773119 # DEPENDENCYPART_ARC
(16,12),0.0551139 # DEPENDENCYPART_ARC
(16,13),-0.778003 # DEPENDENCYPART_ARC
(16,14),-0.835837 # DEPENDENCYPART_ARC
(16,15),-0.0519329 # DEPENDENCYPART_ARC
(16,17),4.69033 # DEPENDENCYPART_ARC
(16,18),-0.422257 # DEPENDENCYPART_ARC
(16,19),-0.321918 # DEPENDENCYPART_ARC
(16,20),-0.0425699 # DEPENDENCYPART_ARC
(16,21),-1.06018 # DEPENDENCYPART_ARC
(16,22),-1.19123 # DEPENDENCYPART_ARC
(17,1),-4.73158 # DEPENDENCYPART_ARC
(17,2),-4.07086 # DEPENDENCYPART_ARC
(17,3),-2.7298 # DEPENDENCYPART_ARC
(17,4),-2.32064 # DEPENDENCYPART_ARC
(17,5),-3.96424 # DEPENDENCYPART_ARC
(17,6),-3.04727 # DEPENDENCYPART_ARC
(17,7),-2.01429 # DEPENDENCYPART_ARC
(17,8),-3.98787 # DEPENDENCYPART_ARC
(17,9),-3.50286 # DEPENDENCYPART_ARC
(17,10),-2.09018 # DEPENDENCYPART_ARC
(17,11),-0.735006 # DEPENDENCYPART_ARC
(17,12),-0.337333 # DEPENDENCYPART_ARC
(17,13),-1.98186 # DEPENDENCYPART_ARC
(17,14),-1.47162 # DEPENDENCYPART_ARC
(17,15),-0.759287 # DEPENDENCYPART_ARC
(17,16),0.110845 # DEPENDENCYPART_ARC
(17,18),1.11156 # DEPENDENCYPART_ARC
(17,19),1.12518 # DEPENDENCYPART_ARC
(17,20),1.16991 # DEPENDENCYPART_ARC
(17,21),-0.219699 # DEPENDENCYPART_ARC
(17,22),-0.659182 # DEPENDENCYPART_ARC
(18,1),-2.47849 # DEPENDENCYPART_ARC
(18,2),-2.64086 # DEPENDENCYPART_ARC
(18,3),-1.70285 # DEPENDENCYPART_ARC
(18,4),-2.56158 # DEPENDENCYPART_ARC
(18,6),-2.30192 # DEPENDENCYPART_ARC
(18,7),-1.57375 # DEPENDENCYPART_ARC
(18,8),-1.74524 # DEPENDENCYPART_ARC
(18,9),-2.49927 # DEPENDENCYPART_ARC
(18,10),-0.965392 # DEPENDENCYPART_ARC
(18,11),-0.794923 # DEPENDENCYPART_ARC
(18,12),-1.31814 # DEPENDENCYPART_ARC
(18,13),-1.73114 # DEPENDENCYPART_ARC
(18,14),-0.873905 # DEPENDENCYPART_ARC
(18,15),-1.09548 # DEPENDENCYPART_ARC
(18,16),-0.133989 # DEPENDENCYPART_ARC
(18,17),0.334866 # DEPENDENCYPART_ARC
(18,19),1.32697 # DEPENDENCYPART_ARC
(18,20),4.5521 # DEPENDENCYPART_ARC
(18,21),-0.0955907 # DEPENDENCYPART_ARC
(18,22),0.101725 # DEPENDENCYPART_ARC
(20,1),-4.50457 # DEPENDENCYPART_ARC
(20,2),-1.80885 # DEPENDENCYPART_ARC
(20,3),-1.31397 # DEPENDENCYPART_ARC
(20,4),-1.58776 # DEPENDENCYPART_ARC
(20,5),-4.14567 # DEPENDENCYPART_ARC
(20,6),-1.33761 # DEPENDENCYPART_ARC
(20,7),-0.760864 # DEPENDENCYPART_ARC
(20,8),-0.543076 # DEPENDENCYPART_ARC
(20,9),-1.08988 # DEPENDENCYPART_ARC
(20,10),-0.487029 # DEPENDENCYPART_ARC
(20,11),-0.896455 # DEPENDENCYPART_ARC
(20,12),-1.69306 # DEPENDENCYPART_ARC
(20,13),-0.417324 # DEPENDENCYPART_ARC
(20,14),-0.93569 # DEPENDENCYPART_ARC
(20,15),0.498885 # DEPENDENCYPART_ARC
(20,16),0.108333 # DEPENDENCYPART_ARC
(20,17),1.08668 # DEPENDENCYPART_ARC
(20,18),1.20607 # DEPENDENCYPART_ARC
(20,19),4.36442 # DEPENDENCYPART_ARC
(20,21),3.71564 # DEPENDENCYPART_ARC
(20,22),0.584 # DEPENDENCYPART_ARC
(22,7),-1.83024 # DEPENDENCYPART_ARC
