# _root_ El tribunal es torna a remetre als fonaments jurídics de la sentència que , en cap cas , es refereix als empleats públics autonòmics o locals .
#goldHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,15,20,12,20,21,22,22,24,24,6,
#predictedHeads=2,6,6,6,6,0,6,7,8,8,12,10,20,15,20,17,15,20,20,12,20,21,22,22,24,24,6,
(3,13),-2.57133 # DEPENDENCYPART_ARC
(3,14),-2.06076 # DEPENDENCYPART_ARC
(3,15),-3.69284 # DEPENDENCYPART_ARC
(3,16),-3.01842 # DEPENDENCYPART_ARC
(3,17),-2.10206 # DEPENDENCYPART_ARC
(3,18),-2.32114 # DEPENDENCYPART_ARC
(3,19),-2.49984 # DEPENDENCYPART_ARC
(3,20),-3.07396 # DEPENDENCYPART_ARC
(3,21),-4.04797 # DEPENDENCYPART_ARC
(3,22),-2.20712 # DEPENDENCYPART_ARC
(3,23),-3.18064 # DEPENDENCYPART_ARC
(3,24),-3.10207 # DEPENDENCYPART_ARC
(3,25),-1.74666 # DEPENDENCYPART_ARC
(3,26),-3.09635 # DEPENDENCYPART_ARC
(3,27),-0.339355 # DEPENDENCYPART_ARC
(4,1),-0.238068 # DEPENDENCYPART_ARC
(4,2),1.26384 # DEPENDENCYPART_ARC
(4,3),3.55238 # DEPENDENCYPART_ARC
(4,5),4.08897 # DEPENDENCYPART_ARC
(4,6),1.25313 # DEPENDENCYPART_ARC
(4,7),1.4044 # DEPENDENCYPART_ARC
(4,8),0.227351 # DEPENDENCYPART_ARC
(4,9),-0.765238 # DEPENDENCYPART_ARC
(4,10),-0.895163 # DEPENDENCYPART_ARC
(4,11),-3.36146 # DEPENDENCYPART_ARC
(4,12),0.795362 # DEPENDENCYPART_ARC
(4,13),-1.52221 # DEPENDENCYPART_ARC
(4,14),0.0914491 # DEPENDENCYPART_ARC
(4,15),-0.0208419 # DEPENDENCYPART_ARC
(4,16),-2.57966 # DEPENDENCYPART_ARC
(4,17),-0.170955 # DEPENDENCYPART_ARC
(4,18),0.181592 # DEPENDENCYPART_ARC
(4,19),-0.584147 # DEPENDENCYPART_ARC
(4,20),1.61272 # DEPENDENCYPART_ARC
(4,21),-1.27355 # DEPENDENCYPART_ARC
(4,22),-1.42957 # DEPENDENCYPART_ARC
(4,23),-2.0481 # DEPENDENCYPART_ARC
(4,24),-2.38338 # DEPENDENCYPART_ARC
(4,25),-1.87924 # DEPENDENCYPART_ARC
(4,26),-2.0997 # DEPENDENCYPART_ARC
(4,27),4.19564 # DEPENDENCYPART_ARC
(5,1),-1.59142 # DEPENDENCYPART_ARC
(5,2),-2.27084 # DEPENDENCYPART_ARC
(5,3),-0.943107 # DEPENDENCYPART_ARC
(5,4),0.0696695 # DEPENDENCYPART_ARC
(5,6),2.40121 # DEPENDENCYPART_ARC
(5,7),0.228793 # DEPENDENCYPART_ARC
(5,8),1.59348 # DEPENDENCYPART_ARC
(5,9),-1.51676 # DEPENDENCYPART_ARC
(5,10),-1.90646 # DEPENDENCYPART_ARC
(5,11),-3.32986 # DEPENDENCYPART_ARC
(5,12),-0.933759 # DEPENDENCYPART_ARC
(5,13),-3.53614 # DEPENDENCYPART_ARC
(5,14),-0.312941 # DEPENDENCYPART_ARC
(5,15),-1.69892 # DEPENDENCYPART_ARC
(5,16),-2.66753 # DEPENDENCYPART_ARC
(5,17),-4.20247 # DEPENDENCYPART_ARC
(5,18),-1.53357 # DEPENDENCYPART_ARC
(5,19),-4.95573 # DEPENDENCYPART_ARC
(5,20),-1.72135 # DEPENDENCYPART_ARC
(5,21),-1.8144 # DEPENDENCYPART_ARC
(5,22),-7.02423 # DEPENDENCYPART_ARC
(5,23),-4.22697 # DEPENDENCYPART_ARC
(5,24),-3.95006 # DEPENDENCYPART_ARC
(5,25),-1.68778 # DEPENDENCYPART_ARC
(5,26),-3.64972 # DEPENDENCYPART_ARC
(5,27),-0.397986 # DEPENDENCYPART_ARC
(6,1),0.660771 # DEPENDENCYPART_ARC
(6,2),1.63547 # DEPENDENCYPART_ARC
(6,3),3.70495 # DEPENDENCYPART_ARC
(6,4),4.00766 # DEPENDENCYPART_ARC
(6,5),4.54967 # DEPENDENCYPART_ARC
(6,7),4.40911 # DEPENDENCYPART_ARC
(6,8),3.5759 # DEPENDENCYPART_ARC
(6,9),1.31007 # DEPENDENCYPART_ARC
(6,10),0.89216 # DEPENDENCYPART_ARC
(6,11),-1.5543 # DEPENDENCYPART_ARC
(6,12),2.20638 # DEPENDENCYPART_ARC
(6,13),0.512749 # DEPENDENCYPART_ARC
(6,14),0.250704 # DEPENDENCYPART_ARC
(6,15),1.31297 # DEPENDENCYPART_ARC
(6,16),-1.66988 # DEPENDENCYPART_ARC
(6,17),1.56186 # DEPENDENCYPART_ARC
(6,18),0.185002 # DEPENDENCYPART_ARC
(6,19),0.991124 # DEPENDENCYPART_ARC
(6,20),1.85405 # DEPENDENCYPART_ARC
(6,21),0.150738 # DEPENDENCYPART_ARC
(6,22),0.218817 # DEPENDENCYPART_ARC
(6,23),-0.758995 # DEPENDENCYPART_ARC
(6,24),-1.19408 # DEPENDENCYPART_ARC
(6,25),-0.89287 # DEPENDENCYPART_ARC
(6,26),-1.03017 # DEPENDENCYPART_ARC
(6,27),5.05574 # DEPENDENCYPART_ARC
(7,1),-1.22476 # DEPENDENCYPART_ARC
(7,2),-2.90896 # DEPENDENCYPART_ARC
(7,3),-1.58372 # DEPENDENCYPART_ARC
(7,4),-2.04291 # DEPENDENCYPART_ARC
(7,5),-0.778882 # DEPENDENCYPART_ARC
(7,6),-0.319335 # DEPENDENCYPART_ARC
(7,8),6.28195 # DEPENDENCYPART_ARC
(7,9),0.894097 # DEPENDENCYPART_ARC
(7,10),-0.021561 # DEPENDENCYPART_ARC
(7,11),-3.12156 # DEPENDENCYPART_ARC
(7,12),-0.251472 # DEPENDENCYPART_ARC
(7,13),-4.69525 # DEPENDENCYPART_ARC
(7,14),0.881107 # DEPENDENCYPART_ARC
(7,15),0.00450531 # DEPENDENCYPART_ARC
(7,16),-1.90911 # DEPENDENCYPART_ARC
(7,17),-2.92873 # DEPENDENCYPART_ARC
(7,18),-0.527015 # DEPENDENCYPART_ARC
(7,19),-4.31876 # DEPENDENCYPART_ARC
(7,20),-1.00825 # DEPENDENCYPART_ARC
(7,21),-0.550128 # DEPENDENCYPART_ARC
(7,22),-5.30443 # DEPENDENCYPART_ARC
(7,23),-3.53745 # DEPENDENCYPART_ARC
(7,24),-3.08374 # DEPENDENCYPART_ARC
(7,25),-0.263896 # DEPENDENCYPART_ARC
(7,26),-2.51197 # DEPENDENCYPART_ARC
(7,27),0.0929666 # DEPENDENCYPART_ARC
(8,1),-2.46362 # DEPENDENCYPART_ARC
(8,2),-3.32146 # DEPENDENCYPART_ARC
(8,3),-2.2244 # DEPENDENCYPART_ARC
(8,4),-1.62147 # DEPENDENCYPART_ARC
(8,5),-1.28959 # DEPENDENCYPART_ARC
(8,6),-1.4908 # DEPENDENCYPART_ARC
(8,7),-0.0719064 # DEPENDENCYPART_ARC
(8,9),4.38163 # DEPENDENCYPART_ARC
(8,10),2.37439 # DEPENDENCYPART_ARC
(8,11),-1.43458 # DEPENDENCYPART_ARC
(8,12),0.481721 # DEPENDENCYPART_ARC
(8,13),-1.05497 # DEPENDENCYPART_ARC
(8,14),0.262187 # DEPENDENCYPART_ARC
(8,15),-0.000514813 # DEPENDENCYPART_ARC
(8,16),-1.57451 # DEPENDENCYPART_ARC
(8,17),0.339245 # DEPENDENCYPART_ARC
(8,18),0.0749772 # DEPENDENCYPART_ARC
(8,19),-0.532545 # DEPENDENCYPART_ARC
(8,20),2.14848 # DEPENDENCYPART_ARC
(8,21),-1.14853 # DEPENDENCYPART_ARC
(8,22),0.107911 # DEPENDENCYPART_ARC
(8,23),0.694521 # DEPENDENCYPART_ARC
(8,24),0.256024 # DEPENDENCYPART_ARC
(8,25),0.0300873 # DEPENDENCYPART_ARC
(8,26),-0.36272 # DEPENDENCYPART_ARC
(8,27),1.30028 # DEPENDENCYPART_ARC
(9,1),-0.907992 # DEPENDENCYPART_ARC
(9,2),-2.39723 # DEPENDENCYPART_ARC
(9,3),-1.8144 # DEPENDENCYPART_ARC
(9,4),-1.54731 # DEPENDENCYPART_ARC
(9,5),-0.210051 # DEPENDENCYPART_ARC
(9,6),-1.73654 # DEPENDENCYPART_ARC
(9,7),-0.263211 # DEPENDENCYPART_ARC
(9,8),0.18126 # DEPENDENCYPART_ARC
(9,10),0.983086 # DEPENDENCYPART_ARC
(9,11),-1.61438 # DEPENDENCYPART_ARC
(9,12),-0.0750735 # DEPENDENCYPART_ARC
(9,13),-2.06303 # DEPENDENCYPART_ARC
(9,14),0.121428 # DEPENDENCYPART_ARC
(9,15),-0.996821 # DEPENDENCYPART_ARC
(9,16),-2.1725 # DEPENDENCYPART_ARC
(9,17),-0.809161 # DEPENDENCYPART_ARC
(9,18),-0.0723741 # DEPENDENCYPART_ARC
(9,19),-1.4281 # DEPENDENCYPART_ARC
(9,20),-0.185955 # DEPENDENCYPART_ARC
(9,21),-2.57986 # DEPENDENCYPART_ARC
(9,22),-1.37344 # DEPENDENCYPART_ARC
(9,23),-1.31015 # DEPENDENCYPART_ARC
(9,24),-1.32969 # DEPENDENCYPART_ARC
(9,25),0.175184 # DEPENDENCYPART_ARC
(9,26),0.332599 # DEPENDENCYPART_ARC
(9,27),-0.478283 # DEPENDENCYPART_ARC
(10,1),-1.6098 # DEPENDENCYPART_ARC
(10,2),-2.19601 # DEPENDENCYPART_ARC
(10,3),-1.21283 # DEPENDENCYPART_ARC
(10,4),-1.13478 # DEPENDENCYPART_ARC
(10,5),-1.16942 # DEPENDENCYPART_ARC
(10,6),-0.794378 # DEPENDENCYPART_ARC
(10,7),-0.355803 # DEPENDENCYPART_ARC
(10,8),-0.542638 # DEPENDENCYPART_ARC
(10,9),0.278102 # DEPENDENCYPART_ARC
(10,11),0.237105 # DEPENDENCYPART_ARC
(10,12),4.83065 # DEPENDENCYPART_ARC
(10,13),-0.691375 # DEPENDENCYPART_ARC
(10,14),0.769664 # DEPENDENCYPART_ARC
(10,15),-0.455979 # DEPENDENCYPART_ARC
(10,16),-1.29932 # DEPENDENCYPART_ARC
(10,17),-0.382305 # DEPENDENCYPART_ARC
(10,18),-0.287552 # DEPENDENCYPART_ARC
(10,19),-2.94064 # DEPENDENCYPART_ARC
(10,20),0.593383 # DEPENDENCYPART_ARC
(10,21),-1.97237 # DEPENDENCYPART_ARC
(10,22),-4.5722 # DEPENDENCYPART_ARC
(10,23),-2.59824 # DEPENDENCYPART_ARC
(10,24),-2.36387 # DEPENDENCYPART_ARC
(10,25),-0.320313 # DEPENDENCYPART_ARC
(10,26),-2.08615 # DEPENDENCYPART_ARC
(10,27),-0.0216579 # DEPENDENCYPART_ARC
(11,1),-2.95943 # DEPENDENCYPART_ARC
(11,2),-2.75945 # DEPENDENCYPART_ARC
(11,3),-2.0508 # DEPENDENCYPART_ARC
(11,4),-2.50276 # DEPENDENCYPART_ARC
(11,5),-1.99168 # DEPENDENCYPART_ARC
(11,6),-1.77393 # DEPENDENCYPART_ARC
(11,7),-0.663294 # DEPENDENCYPART_ARC
(11,8),-1.62022 # DEPENDENCYPART_ARC
(11,9),-0.459057 # DEPENDENCYPART_ARC
(11,10),0.402634 # DEPENDENCYPART_ARC
(11,12),0.875429 # DEPENDENCYPART_ARC
(11,13),-1.46872 # DEPENDENCYPART_ARC
(11,14),-1.85113 # DEPENDENCYPART_ARC
(11,15),-2.39616 # DEPENDENCYPART_ARC
(11,16),0.274778 # DEPENDENCYPART_ARC
(11,17),-3.37546 # DEPENDENCYPART_ARC
(11,18),-2.89437 # DEPENDENCYPART_ARC
(11,19),-2.9188 # DEPENDENCYPART_ARC
(11,20),-3.41076 # DEPENDENCYPART_ARC
(11,21),-3.58131 # DEPENDENCYPART_ARC
(11,22),-4.80605 # DEPENDENCYPART_ARC
(11,23),-5.3886 # DEPENDENCYPART_ARC
(11,24),-5.42369 # DEPENDENCYPART_ARC
(11,25),-3.69084 # DEPENDENCYPART_ARC
(11,26),-4.54186 # DEPENDENCYPART_ARC
(11,27),-3.38711 # DEPENDENCYPART_ARC
(12,1),-3.70019 # DEPENDENCYPART_ARC
(12,2),-2.07366 # DEPENDENCYPART_ARC
(12,3),-1.54705 # DEPENDENCYPART_ARC
(12,4),-1.64969 # DEPENDENCYPART_ARC
(12,5),-1.2621 # DEPENDENCYPART_ARC
(12,6),-0.507758 # DEPENDENCYPART_ARC
(12,7),-0.477784 # DEPENDENCYPART_ARC
(12,8),-0.546261 # DEPENDENCYPART_ARC
(12,9),-0.872981 # DEPENDENCYPART_ARC
(12,10),0.865044 # DEPENDENCYPART_ARC
(12,11),5.37503 # DEPENDENCYPART_ARC
(12,13),-0.00460239 # DEPENDENCYPART_ARC
(12,14),0.263445 # DEPENDENCYPART_ARC
(12,15),0.401459 # DEPENDENCYPART_ARC
(12,16),-0.738527 # DEPENDENCYPART_ARC
(12,17),0.768992 # DEPENDENCYPART_ARC
(12,18),0.365029 # DEPENDENCYPART_ARC
(12,19),-0.355792 # DEPENDENCYPART_ARC
(12,20),3.6997 # DEPENDENCYPART_ARC
(12,21),-1.35038 # DEPENDENCYPART_ARC
(12,22),-1.00038 # DEPENDENCYPART_ARC
(12,23),-3.09843 # DEPENDENCYPART_ARC
(12,24),-3.44374 # DEPENDENCYPART_ARC
(12,25),-0.153325 # DEPENDENCYPART_ARC
(12,26),-2.29014 # DEPENDENCYPART_ARC
(12,27),2.0638 # DEPENDENCYPART_ARC
(13,1),-5.06099 # DEPENDENCYPART_ARC
(13,2),-4.24436 # DEPENDENCYPART_ARC
(13,3),-2.90147 # DEPENDENCYPART_ARC
(13,4),-2.24315 # DEPENDENCYPART_ARC
(13,5),-2.10131 # DEPENDENCYPART_ARC
(13,6),-2.75099 # DEPENDENCYPART_ARC
(13,7),-2.12987 # DEPENDENCYPART_ARC
(13,8),-3.30546 # DEPENDENCYPART_ARC
(13,9),-2.57587 # DEPENDENCYPART_ARC
(13,10),-0.890386 # DEPENDENCYPART_ARC
(13,11),-0.772974 # DEPENDENCYPART_ARC
(13,12),-1.57809 # DEPENDENCYPART_ARC
(13,14),-0.0964136 # DEPENDENCYPART_ARC
(13,15),-0.0758944 # DEPENDENCYPART_ARC
(13,16),-0.771948 # DEPENDENCYPART_ARC
(13,17),-1.12939 # DEPENDENCYPART_ARC
(13,18),-0.567773 # DEPENDENCYPART_ARC
(13,19),-0.972455 # DEPENDENCYPART_ARC
(13,20),0.780867 # DEPENDENCYPART_ARC
(13,21),-1.23637 # DEPENDENCYPART_ARC
(13,22),-1.83744 # DEPENDENCYPART_ARC
(13,23),-0.957728 # DEPENDENCYPART_ARC
(13,24),-1.03476 # DEPENDENCYPART_ARC
(13,25),-0.510207 # DEPENDENCYPART_ARC
(13,26),-0.770346 # DEPENDENCYPART_ARC
(13,27),0.606455 # DEPENDENCYPART_ARC
(14,1),-4.16395 # DEPENDENCYPART_ARC
(14,2),-4.20982 # DEPENDENCYPART_ARC
(14,3),-3.71973 # DEPENDENCYPART_ARC
(14,4),-3.94232 # DEPENDENCYPART_ARC
(14,5),-3.22693 # DEPENDENCYPART_ARC
(14,6),-3.6717 # DEPENDENCYPART_ARC
(14,7),-2.80564 # DEPENDENCYPART_ARC
(14,8),-3.43781 # DEPENDENCYPART_ARC
(14,9),-2.82754 # DEPENDENCYPART_ARC
(14,10),-2.44096 # DEPENDENCYPART_ARC
(14,11),-2.48495 # DEPENDENCYPART_ARC
(14,12),-2.60671 # DEPENDENCYPART_ARC
(14,13),-1.26925 # DEPENDENCYPART_ARC
(14,15),-1.07115 # DEPENDENCYPART_ARC
(14,16),-1.82954 # DEPENDENCYPART_ARC
(14,17),-1.69634 # DEPENDENCYPART_ARC
(14,18),-1.37965 # DEPENDENCYPART_ARC
(14,19),-2.25568 # DEPENDENCYPART_ARC
(14,20),-1.63254 # DEPENDENCYPART_ARC
(14,21),-2.34172 # DEPENDENCYPART_ARC
(14,22),-2.50475 # DEPENDENCYPART_ARC
(14,23),-2.47616 # DEPENDENCYPART_ARC
(14,24),-2.51192 # DEPENDENCYPART_ARC
(14,25),-1.44005 # DEPENDENCYPART_ARC
(14,26),-2.42386 # DEPENDENCYPART_ARC
(14,27),-1.81675 # DEPENDENCYPART_ARC
(15,1),-2.10341 # DEPENDENCYPART_ARC
(15,2),-2.781 # DEPENDENCYPART_ARC
(15,3),-1.4004 # DEPENDENCYPART_ARC
(15,4),-1.51037 # DEPENDENCYPART_ARC
(15,5),-1.85679 # DEPENDENCYPART_ARC
(15,6),-1.40943 # DEPENDENCYPART_ARC
(15,7),-1.39125 # DEPENDENCYPART_ARC
(15,8),-1.90974 # DEPENDENCYPART_ARC
(15,9),-1.07043 # DEPENDENCYPART_ARC
(15,10),-0.622659 # DEPENDENCYPART_ARC
(15,11),0.099883 # DEPENDENCYPART_ARC
(15,12),-1.04074 # DEPENDENCYPART_ARC
(15,13),0.483883 # DEPENDENCYPART_ARC
(15,14),3.21871 # DEPENDENCYPART_ARC
(15,16),1.48577 # DEPENDENCYPART_ARC
(15,17),4.95245 # DEPENDENCYPART_ARC
(15,18),2.85096 # DEPENDENCYPART_ARC
(15,19),0.277817 # DEPENDENCYPART_ARC
(15,20),0.869017 # DEPENDENCYPART_ARC
(15,21),-0.768038 # DEPENDENCYPART_ARC
(15,22),-2.17756 # DEPENDENCYPART_ARC
(15,23),-1.89215 # DEPENDENCYPART_ARC
(15,24),-1.58903 # DEPENDENCYPART_ARC
(15,25),0.57232 # DEPENDENCYPART_ARC
(15,26),-1.2953 # DEPENDENCYPART_ARC
(15,27),1.53527 # DEPENDENCYPART_ARC
(16,1),-4.57039 # DEPENDENCYPART_ARC
(16,2),-4.23093 # DEPENDENCYPART_ARC
(16,3),-3.67402 # DEPENDENCYPART_ARC
(16,4),-3.21645 # DEPENDENCYPART_ARC
(16,5),-3.52003 # DEPENDENCYPART_ARC
(16,6),-3.79627 # DEPENDENCYPART_ARC
(16,7),-3.29841 # DEPENDENCYPART_ARC
(16,8),-3.98587 # DEPENDENCYPART_ARC
(16,9),-2.71155 # DEPENDENCYPART_ARC
(16,10),-2.45564 # DEPENDENCYPART_ARC
(16,11),-1.95896 # DEPENDENCYPART_ARC
(16,12),-3.00089 # DEPENDENCYPART_ARC
(16,13),-2.83701 # DEPENDENCYPART_ARC
(16,14),-1.57128 # DEPENDENCYPART_ARC
(16,15),-0.304403 # DEPENDENCYPART_ARC
(16,17),0.376391 # DEPENDENCYPART_ARC
(16,18),-1.56265 # DEPENDENCYPART_ARC
(16,19),-1.72821 # DEPENDENCYPART_ARC
(16,20),-2.1731 # DEPENDENCYPART_ARC
(16,21),-2.51382 # DEPENDENCYPART_ARC
(16,22),-3.55763 # DEPENDENCYPART_ARC
(16,23),-3.93511 # DEPENDENCYPART_ARC
(16,24),-4.00234 # DEPENDENCYPART_ARC
(16,25),-2.88209 # DEPENDENCYPART_ARC
(16,26),-3.65944 # DEPENDENCYPART_ARC
(16,27),-3.06309 # DEPENDENCYPART_ARC
(17,1),-5.72771 # DEPENDENCYPART_ARC
(17,2),-2.60313 # DEPENDENCYPART_ARC
(17,3),-1.76887 # DEPENDENCYPART_ARC
(17,4),-2.15161 # DEPENDENCYPART_ARC
(17,5),-1.26512 # DEPENDENCYPART_ARC
(17,6),-1.40871 # DEPENDENCYPART_ARC
(17,7),-1.11687 # DEPENDENCYPART_ARC
(17,8),-1.45012 # DEPENDENCYPART_ARC
(17,9),-1.77796 # DEPENDENCYPART_ARC
(17,10),-0.0218882 # DEPENDENCYPART_ARC
(17,11),0.503195 # DEPENDENCYPART_ARC
(17,12),-1.3853 # DEPENDENCYPART_ARC
(17,13),0.137558 # DEPENDENCYPART_ARC
(17,14),0.783451 # DEPENDENCYPART_ARC
(17,15),1.66722 # DEPENDENCYPART_ARC
(17,16),4.75874 # DEPENDENCYPART_ARC
(17,18),-0.0747231 # DEPENDENCYPART_ARC
(17,19),0.393085 # DEPENDENCYPART_ARC
(17,20),2.22511 # DEPENDENCYPART_ARC
(17,21),-1.09537 # DEPENDENCYPART_ARC
(17,22),-1.20756 # DEPENDENCYPART_ARC
(17,23),-1.15168 # DEPENDENCYPART_ARC
(17,24),-1.63054 # DEPENDENCYPART_ARC
(17,25),-0.540732 # DEPENDENCYPART_ARC
(17,26),-2.04996 # DEPENDENCYPART_ARC
(17,27),1.8783 # DEPENDENCYPART_ARC
(18,1),-3.4196 # DEPENDENCYPART_ARC
(18,2),-3.63401 # DEPENDENCYPART_ARC
(18,3),-2.91676 # DEPENDENCYPART_ARC
(18,4),-3.32003 # DEPENDENCYPART_ARC
(18,5),-2.62321 # DEPENDENCYPART_ARC
(18,6),-3.03245 # DEPENDENCYPART_ARC
(18,7),-2.31753 # DEPENDENCYPART_ARC
(18,8),-2.93066 # DEPENDENCYPART_ARC
(18,9),-2.25365 # DEPENDENCYPART_ARC
(18,10),-2.18083 # DEPENDENCYPART_ARC
(18,11),-2.71265 # DEPENDENCYPART_ARC
(18,12),-2.81891 # DEPENDENCYPART_ARC
(18,13),-2.13952 # DEPENDENCYPART_ARC
(18,14),-1.48428 # DEPENDENCYPART_ARC
(18,15),-1.28941 # DEPENDENCYPART_ARC
(18,16),-0.908724 # DEPENDENCYPART_ARC
(18,17),-1.19349 # DEPENDENCYPART_ARC
(18,19),-2.41613 # DEPENDENCYPART_ARC
(18,20),-2.93358 # DEPENDENCYPART_ARC
(18,21),-3.58433 # DEPENDENCYPART_ARC
(18,22),-3.79333 # DEPENDENCYPART_ARC
(18,23),-3.87806 # DEPENDENCYPART_ARC
(18,24),-3.88877 # DEPENDENCYPART_ARC
(18,25),-2.89783 # DEPENDENCYPART_ARC
(18,26),-3.88644 # DEPENDENCYPART_ARC
(18,27),-3.1974 # DEPENDENCYPART_ARC
(19,1),-4.00834 # DEPENDENCYPART_ARC
(19,2),-3.30899 # DEPENDENCYPART_ARC
(19,3),-2.48828 # DEPENDENCYPART_ARC
(19,4),-2.3957 # DEPENDENCYPART_ARC
(19,5),-2.0313 # DEPENDENCYPART_ARC
(19,6),-2.27057 # DEPENDENCYPART_ARC
(19,7),-1.68845 # DEPENDENCYPART_ARC
(19,8),-2.70265 # DEPENDENCYPART_ARC
(19,9),-2.32892 # DEPENDENCYPART_ARC
(19,10),-0.964921 # DEPENDENCYPART_ARC
(19,11),-2.19505 # DEPENDENCYPART_ARC
(19,12),-2.5762 # DEPENDENCYPART_ARC
