# _root_ Com_a factor normalitzador hi ha el fet que el gruix d' atestats penals , que fan els Mossos_d'_Esquadra , entra als jutjats en llengua catalana .
#goldHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,10,18,16,16,7,20,21,20,23,24,5,
#predictedHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,7,18,16,16,7,20,21,22,23,24,5,
(6,18),-4.84393 # DEPENDENCYPART_ARC
(6,19),-3.95478 # DEPENDENCYPART_ARC
(6,20),-4.45723 # DEPENDENCYPART_ARC
(6,21),-4.71469 # DEPENDENCYPART_ARC
(6,22),-4.86998 # DEPENDENCYPART_ARC
(6,23),-5.2138 # DEPENDENCYPART_ARC
(6,24),-5.10827 # DEPENDENCYPART_ARC
(6,25),-4.7914 # DEPENDENCYPART_ARC
(6,26),-4.19685 # DEPENDENCYPART_ARC
(7,1),-0.237695 # DEPENDENCYPART_ARC
(7,2),-1.05371 # DEPENDENCYPART_ARC
(7,3),-0.540099 # DEPENDENCYPART_ARC
(7,4),1.10484 # DEPENDENCYPART_ARC
(7,5),0.719005 # DEPENDENCYPART_ARC
(7,6),4.43192 # DEPENDENCYPART_ARC
(7,8),1.35204 # DEPENDENCYPART_ARC
(7,9),0.415186 # DEPENDENCYPART_ARC
(7,10),0.935275 # DEPENDENCYPART_ARC
(7,11),2.35432 # DEPENDENCYPART_ARC
(7,12),0.151919 # DEPENDENCYPART_ARC
(7,13),0.747234 # DEPENDENCYPART_ARC
(7,14),0.78671 # DEPENDENCYPART_ARC
(7,15),-1.53714 # DEPENDENCYPART_ARC
(7,16),3.54715 # DEPENDENCYPART_ARC
(7,17),-1.49911 # DEPENDENCYPART_ARC
(7,18),-0.31051 # DEPENDENCYPART_ARC
(7,19),-0.290866 # DEPENDENCYPART_ARC
(7,20),1.81991 # DEPENDENCYPART_ARC
(7,21),-1.51902 # DEPENDENCYPART_ARC
(7,22),-1.46556 # DEPENDENCYPART_ARC
(7,23),0.0863448 # DEPENDENCYPART_ARC
(7,24),-1.97449 # DEPENDENCYPART_ARC
(7,25),-0.82017 # DEPENDENCYPART_ARC
(7,26),1.78658 # DEPENDENCYPART_ARC
(8,1),-2.24158 # DEPENDENCYPART_ARC
(8,2),-2.95757 # DEPENDENCYPART_ARC
(8,3),-2.87281 # DEPENDENCYPART_ARC
(8,4),-2.13776 # DEPENDENCYPART_ARC
(8,5),-2.16412 # DEPENDENCYPART_ARC
(8,6),-0.993798 # DEPENDENCYPART_ARC
(8,7),-0.948302 # DEPENDENCYPART_ARC
(8,9),-0.914812 # DEPENDENCYPART_ARC
(8,10),-0.226436 # DEPENDENCYPART_ARC
(8,11),-0.373004 # DEPENDENCYPART_ARC
(8,12),-1.08668 # DEPENDENCYPART_ARC
(8,13),-0.98766 # DEPENDENCYPART_ARC
(8,14),-0.523344 # DEPENDENCYPART_ARC
(8,15),-1.40176 # DEPENDENCYPART_ARC
(8,16),-0.558271 # DEPENDENCYPART_ARC
(8,17),-2.9199 # DEPENDENCYPART_ARC
(8,18),-2.88839 # DEPENDENCYPART_ARC
(8,19),-1.38222 # DEPENDENCYPART_ARC
(8,20),-1.34779 # DEPENDENCYPART_ARC
(8,21),-1.69877 # DEPENDENCYPART_ARC
(8,22),-3.57435 # DEPENDENCYPART_ARC
(8,23),-1.92881 # DEPENDENCYPART_ARC
(8,24),-3.6318 # DEPENDENCYPART_ARC
(8,25),-2.0951 # DEPENDENCYPART_ARC
(8,26),-1.17484 # DEPENDENCYPART_ARC
(9,1),-1.56643 # DEPENDENCYPART_ARC
(9,2),-2.31354 # DEPENDENCYPART_ARC
(9,3),-1.84272 # DEPENDENCYPART_ARC
(9,4),-1.52177 # DEPENDENCYPART_ARC
(9,5),-2.2167 # DEPENDENCYPART_ARC
(9,6),0.176061 # DEPENDENCYPART_ARC
(9,7),-0.920969 # DEPENDENCYPART_ARC
(9,8),0.503018 # DEPENDENCYPART_ARC
(9,10),1.04491 # DEPENDENCYPART_ARC
(9,11),0.693411 # DEPENDENCYPART_ARC
(9,12),-2.23583 # DEPENDENCYPART_ARC
(9,13),-2.40653 # DEPENDENCYPART_ARC
(9,14),-1.81352 # DEPENDENCYPART_ARC
(9,15),-3.02928 # DEPENDENCYPART_ARC
(9,16),-3.05234 # DEPENDENCYPART_ARC
(9,17),-2.96827 # DEPENDENCYPART_ARC
(9,18),-3.82845 # DEPENDENCYPART_ARC
(9,19),-2.88962 # DEPENDENCYPART_ARC
(9,20),-3.4755 # DEPENDENCYPART_ARC
(9,21),-3.49894 # DEPENDENCYPART_ARC
(9,22),-4.02241 # DEPENDENCYPART_ARC
(9,23),-3.82832 # DEPENDENCYPART_ARC
(9,24),-4.17081 # DEPENDENCYPART_ARC
(9,25),-3.94571 # DEPENDENCYPART_ARC
(9,26),-3.21715 # DEPENDENCYPART_ARC
(10,1),-1.29863 # DEPENDENCYPART_ARC
(10,2),-1.56039 # DEPENDENCYPART_ARC
(10,3),-1.63432 # DEPENDENCYPART_ARC
(10,4),-0.166717 # DEPENDENCYPART_ARC
(10,5),-0.944364 # DEPENDENCYPART_ARC
(10,6),1.06902 # DEPENDENCYPART_ARC
(10,7),-0.999648 # DEPENDENCYPART_ARC
(10,8),1.64221 # DEPENDENCYPART_ARC
(10,9),4.42346 # DEPENDENCYPART_ARC
(10,11),3.41065 # DEPENDENCYPART_ARC
(10,12),1.071 # DEPENDENCYPART_ARC
(10,13),0.560012 # DEPENDENCYPART_ARC
(10,14),0.452661 # DEPENDENCYPART_ARC
(10,15),-1.58832 # DEPENDENCYPART_ARC
(10,16),2.46938 # DEPENDENCYPART_ARC
(10,17),-1.94233 # DEPENDENCYPART_ARC
(10,18),-0.187853 # DEPENDENCYPART_ARC
(10,19),0.155422 # DEPENDENCYPART_ARC
(10,20),0.173967 # DEPENDENCYPART_ARC
(10,21),-1.0571 # DEPENDENCYPART_ARC
(10,22),-1.18457 # DEPENDENCYPART_ARC
(10,23),-0.613687 # DEPENDENCYPART_ARC
(10,24),-1.78132 # DEPENDENCYPART_ARC
(10,25),-1.90165 # DEPENDENCYPART_ARC
(10,26),0.85438 # DEPENDENCYPART_ARC
(11,1),-2.57604 # DEPENDENCYPART_ARC
(11,2),-1.92929 # DEPENDENCYPART_ARC
(11,3),-1.83946 # DEPENDENCYPART_ARC
(11,4),-1.83864 # DEPENDENCYPART_ARC
(11,5),-0.572934 # DEPENDENCYPART_ARC
(11,6),-0.679626 # DEPENDENCYPART_ARC
(11,7),-1.20016 # DEPENDENCYPART_ARC
(11,8),0.508967 # DEPENDENCYPART_ARC
(11,9),0.759032 # DEPENDENCYPART_ARC
(11,10),0.48745 # DEPENDENCYPART_ARC
(11,12),4.60583 # DEPENDENCYPART_ARC
(11,13),0.876007 # DEPENDENCYPART_ARC
(11,14),0.330619 # DEPENDENCYPART_ARC
(11,15),-0.800377 # DEPENDENCYPART_ARC
(11,16),-0.0124656 # DEPENDENCYPART_ARC
(11,17),-2.92619 # DEPENDENCYPART_ARC
(11,18),-3.51667 # DEPENDENCYPART_ARC
(11,19),-1.74173 # DEPENDENCYPART_ARC
(11,20),-2.70946 # DEPENDENCYPART_ARC
(11,21),-2.20363 # DEPENDENCYPART_ARC
(11,22),-4.89823 # DEPENDENCYPART_ARC
(11,23),-2.47996 # DEPENDENCYPART_ARC
(11,24),-5.56198 # DEPENDENCYPART_ARC
(11,25),-3.1515 # DEPENDENCYPART_ARC
(11,26),-1.51466 # DEPENDENCYPART_ARC
(12,1),-1.28328 # DEPENDENCYPART_ARC
(12,2),-2.00943 # DEPENDENCYPART_ARC
(12,3),-2.81884 # DEPENDENCYPART_ARC
(12,4),-0.954528 # DEPENDENCYPART_ARC
(12,5),-0.464282 # DEPENDENCYPART_ARC
(12,6),-0.0209032 # DEPENDENCYPART_ARC
(12,7),-1.84125 # DEPENDENCYPART_ARC
(12,8),0.532154 # DEPENDENCYPART_ARC
(12,9),2.21349 # DEPENDENCYPART_ARC
(12,10),-0.468932 # DEPENDENCYPART_ARC
(12,11),1.79243 # DEPENDENCYPART_ARC
(12,13),4.05758 # DEPENDENCYPART_ARC
(12,14),-0.0971207 # DEPENDENCYPART_ARC
(12,15),-1.30625 # DEPENDENCYPART_ARC
(12,16),2.74092 # DEPENDENCYPART_ARC
(12,17),-1.15299 # DEPENDENCYPART_ARC
(12,18),-0.507345 # DEPENDENCYPART_ARC
(12,19),-0.653314 # DEPENDENCYPART_ARC
(12,20),-0.64531 # DEPENDENCYPART_ARC
(12,21),-1.27091 # DEPENDENCYPART_ARC
(12,22),-0.263958 # DEPENDENCYPART_ARC
(12,23),-0.807708 # DEPENDENCYPART_ARC
(12,24),-1.40154 # DEPENDENCYPART_ARC
(12,25),-3.23407 # DEPENDENCYPART_ARC
(12,26),-0.295396 # DEPENDENCYPART_ARC
(13,1),-2.22597 # DEPENDENCYPART_ARC
(13,2),-3.12015 # DEPENDENCYPART_ARC
(13,3),-3.44429 # DEPENDENCYPART_ARC
(13,4),-0.900268 # DEPENDENCYPART_ARC
(13,5),-1.94743 # DEPENDENCYPART_ARC
(13,6),-0.777018 # DEPENDENCYPART_ARC
(13,7),-2.10986 # DEPENDENCYPART_ARC
(13,8),-0.177385 # DEPENDENCYPART_ARC
(13,9),0.388743 # DEPENDENCYPART_ARC
(13,10),-1.2335 # DEPENDENCYPART_ARC
(13,11),0.924764 # DEPENDENCYPART_ARC
(13,12),0.254802 # DEPENDENCYPART_ARC
(13,14),0.154499 # DEPENDENCYPART_ARC
(13,15),-1.25714 # DEPENDENCYPART_ARC
(13,16),0.296593 # DEPENDENCYPART_ARC
(13,17),-1.91154 # DEPENDENCYPART_ARC
(13,18),-0.731318 # DEPENDENCYPART_ARC
(13,19),-0.830615 # DEPENDENCYPART_ARC
(13,20),-1.93477 # DEPENDENCYPART_ARC
(13,21),-1.68217 # DEPENDENCYPART_ARC
(13,22),-1.49731 # DEPENDENCYPART_ARC
(13,23),-1.75958 # DEPENDENCYPART_ARC
(13,24),-1.89793 # DEPENDENCYPART_ARC
(13,25),-2.71081 # DEPENDENCYPART_ARC
(13,26),-1.17794 # DEPENDENCYPART_ARC
(14,1),-1.94797 # DEPENDENCYPART_ARC
(14,2),-2.4525 # DEPENDENCYPART_ARC
(14,3),-1.75574 # DEPENDENCYPART_ARC
(14,4),-2.05096 # DEPENDENCYPART_ARC
(14,5),-2.27186 # DEPENDENCYPART_ARC
(14,6),-2.08772 # DEPENDENCYPART_ARC
(14,7),-2.08545 # DEPENDENCYPART_ARC
(14,8),-1.21175 # DEPENDENCYPART_ARC
(14,9),-1.43868 # DEPENDENCYPART_ARC
(14,10),-1.70639 # DEPENDENCYPART_ARC
(14,11),-0.597855 # DEPENDENCYPART_ARC
(14,12),-0.921644 # DEPENDENCYPART_ARC
(14,13),0.401208 # DEPENDENCYPART_ARC
(14,15),0.286739 # DEPENDENCYPART_ARC
(14,16),-0.12315 # DEPENDENCYPART_ARC
(14,17),-1.27533 # DEPENDENCYPART_ARC
(14,18),-0.825663 # DEPENDENCYPART_ARC
(14,19),-0.772384 # DEPENDENCYPART_ARC
(14,20),-0.763391 # DEPENDENCYPART_ARC
(14,21),-1.1804 # DEPENDENCYPART_ARC
(14,22),-1.18799 # DEPENDENCYPART_ARC
(14,23),-1.07854 # DEPENDENCYPART_ARC
(14,24),-1.32796 # DEPENDENCYPART_ARC
(14,25),-1.29929 # DEPENDENCYPART_ARC
(14,26),-0.849654 # DEPENDENCYPART_ARC
(15,1),-2.78213 # DEPENDENCYPART_ARC
(15,2),-4.57964 # DEPENDENCYPART_ARC
(15,3),-4.45863 # DEPENDENCYPART_ARC
(15,4),-3.31313 # DEPENDENCYPART_ARC
(15,5),-2.36465 # DEPENDENCYPART_ARC
(15,6),-4.68957 # DEPENDENCYPART_ARC
(15,7),-4.17387 # DEPENDENCYPART_ARC
(15,8),-1.65365 # DEPENDENCYPART_ARC
(15,9),-4.05717 # DEPENDENCYPART_ARC
(15,10),-3.99627 # DEPENDENCYPART_ARC
(15,11),-1.88479 # DEPENDENCYPART_ARC
(15,12),-3.26139 # DEPENDENCYPART_ARC
(15,13),-2.1138 # DEPENDENCYPART_ARC
(15,14),-0.666982 # DEPENDENCYPART_ARC
(15,16),1.45651 # DEPENDENCYPART_ARC
(15,17),-0.779043 # DEPENDENCYPART_ARC
(15,18),-0.83546 # DEPENDENCYPART_ARC
(15,19),-0.504333 # DEPENDENCYPART_ARC
(15,20),-0.831481 # DEPENDENCYPART_ARC
(15,21),-1.10487 # DEPENDENCYPART_ARC
(15,22),-2.05479 # DEPENDENCYPART_ARC
(15,23),-2.12637 # DEPENDENCYPART_ARC
(15,24),-2.57188 # DEPENDENCYPART_ARC
(15,25),-1.40916 # DEPENDENCYPART_ARC
(15,26),-0.575302 # DEPENDENCYPART_ARC
(16,1),-1.17304 # DEPENDENCYPART_ARC
(16,2),-1.91354 # DEPENDENCYPART_ARC
(16,3),-2.37622 # DEPENDENCYPART_ARC
(16,4),-1.31012 # DEPENDENCYPART_ARC
(16,5),-1.52097 # DEPENDENCYPART_ARC
(16,6),-2.21073 # DEPENDENCYPART_ARC
(16,7),-1.09221 # DEPENDENCYPART_ARC
(16,8),1.79551 # DEPENDENCYPART_ARC
(16,9),-2.00577 # DEPENDENCYPART_ARC
(16,10),-0.169116 # DEPENDENCYPART_ARC
(16,11),-0.983819 # DEPENDENCYPART_ARC
(16,12),0.360595 # DEPENDENCYPART_ARC
(16,13),0.0113871 # DEPENDENCYPART_ARC
(16,14),1.6792 # DEPENDENCYPART_ARC
(16,15),5.09642 # DEPENDENCYPART_ARC
(16,17),-0.806022 # DEPENDENCYPART_ARC
(16,18),3.99225 # DEPENDENCYPART_ARC
(16,19),2.23732 # DEPENDENCYPART_ARC
(16,20),1.80884 # DEPENDENCYPART_ARC
(16,21),1.57534 # DEPENDENCYPART_ARC
(16,22),1.02624 # DEPENDENCYPART_ARC
(16,23),1.48294 # DEPENDENCYPART_ARC
(16,24),0.482217 # DEPENDENCYPART_ARC
(16,25),-0.941757 # DEPENDENCYPART_ARC
(16,26),2.76847 # DEPENDENCYPART_ARC
(17,1),-2.58527 # DEPENDENCYPART_ARC
(17,2),-2.84871 # DEPENDENCYPART_ARC
(17,3),-2.6791 # DEPENDENCYPART_ARC
(17,4),-2.54915 # DEPENDENCYPART_ARC
(17,5),-2.50969 # DEPENDENCYPART_ARC
(17,6),-1.9912 # DEPENDENCYPART_ARC
(17,7),-2.50281 # DEPENDENCYPART_ARC
(17,8),-1.82652 # DEPENDENCYPART_ARC
(17,9),-1.49423 # DEPENDENCYPART_ARC
(17,10),-2.23288 # DEPENDENCYPART_ARC
(17,11),-1.40881 # DEPENDENCYPART_ARC
(17,12),-1.43072 # DEPENDENCYPART_ARC
(17,13),-1.44474 # DEPENDENCYPART_ARC
(17,14),-0.886236 # DEPENDENCYPART_ARC
(17,15),-1.0419 # DEPENDENCYPART_ARC
(17,16),0.581329 # DEPENDENCYPART_ARC
(17,18),0.557556 # DEPENDENCYPART_ARC
(17,19),-1.05352 # DEPENDENCYPART_ARC
(17,20),-1.96359 # DEPENDENCYPART_ARC
(17,21),-2.02799 # DEPENDENCYPART_ARC
(17,22),-1.67265 # DEPENDENCYPART_ARC
(17,23),-3.03256 # DEPENDENCYPART_ARC
(17,24),-3.54761 # DEPENDENCYPART_ARC
(17,25),-4.58697 # DEPENDENCYPART_ARC
(17,26),-2.61445 # DEPENDENCYPART_ARC
(18,1),-0.930817 # DEPENDENCYPART_ARC
(18,2),-1.46622 # DEPENDENCYPART_ARC
(18,3),-3.0474 # DEPENDENCYPART_ARC
(18,4),-1.43801 # DEPENDENCYPART_ARC
(18,5),-1.96718 # DEPENDENCYPART_ARC
(18,6),-3.96966 # DEPENDENCYPART_ARC
(18,7),-2.16506 # DEPENDENCYPART_ARC
(18,8),0.284482 # DEPENDENCYPART_ARC
(18,9),-2.93048 # DEPENDENCYPART_ARC
(18,10),-1.57919 # DEPENDENCYPART_ARC
(18,11),-0.369356 # DEPENDENCYPART_ARC
(18,12),-0.495195 # DEPENDENCYPART_ARC
(18,13),-1.7988 # DEPENDENCYPART_ARC
(18,14),-0.0815483 # DEPENDENCYPART_ARC
(18,15),1.22176 # DEPENDENCYPART_ARC
(18,16),0.614004 # DEPENDENCYPART_ARC
(18,17),4.65507 # DEPENDENCYPART_ARC
(18,19),0.553526 # DEPENDENCYPART_ARC
(18,20),0.836796 # DEPENDENCYPART_ARC
(18,21),-1.60373 # DEPENDENCYPART_ARC
(18,22),-0.818379 # DEPENDENCYPART_ARC
(18,23),-1.17839 # DEPENDENCYPART_ARC
(18,24),-1.25547 # DEPENDENCYPART_ARC
(18,25),-0.441908 # DEPENDENCYPART_ARC
(18,26),0.0882056 # DEPENDENCYPART_ARC
(19,1),-3.50537 # DEPENDENCYPART_ARC
(19,2),-4.04143 # DEPENDENCYPART_ARC
(19,3),-3.1766 # DEPENDENCYPART_ARC
(19,4),-3.50291 # DEPENDENCYPART_ARC
(19,5),-3.91327 # DEPENDENCYPART_ARC
(19,6),-3.85687 # DEPENDENCYPART_ARC
(19,7),-3.97887 # DEPENDENCYPART_ARC
(19,8),-2.9884 # DEPENDENCYPART_ARC
(19,9),-3.61954 # DEPENDENCYPART_ARC
(19,10),-3.83679 # DEPENDENCYPART_ARC
(19,11),-2.85655 # DEPENDENCYPART_ARC
(19,12),-3.5136 # DEPENDENCYPART_ARC
(19,13),-2.89465 # DEPENDENCYPART_ARC
(19,14),-2.53068 # DEPENDENCYPART_ARC
(19,15),-2.69367 # DEPENDENCYPART_ARC
(19,16),-2.68006 # DEPENDENCYPART_ARC
(19,17),-1.4913 # DEPENDENCYPART_ARC
(19,18),-1.74525 # DEPENDENCYPART_ARC
(19,20),-0.685893 # DEPENDENCYPART_ARC
(19,21),-1.98257 # DEPENDENCYPART_ARC
(19,22),-1.99843 # DEPENDENCYPART_ARC
(19,23),-2.01555 # DEPENDENCYPART_ARC
(19,24),-2.37285 # DEPENDENCYPART_ARC
(19,25),-2.31234 # DEPENDENCYPART_ARC
(19,26),-1.65171 # DEPENDENCYPART_ARC
(20,1),-0.518989 # DEPENDENCYPART_ARC
(20,2),-1.39424 # DEPENDENCYPART_ARC
(20,3),-1.19323 # DEPENDENCYPART_ARC
(20,4),-0.975343 # DEPENDENCYPART_ARC
(20,5),-0.954535 # DEPENDENCYPART_ARC
(20,6),-2.13614 # DEPENDENCYPART_ARC
