# _root_ El conseller , contràriament , va defensar que l' ànim del govern català sempre ha estat " el d' ajudar el Barça " .
#goldHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,19,19,16,19,22,20,19,7,
#predictedHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,20,19,16,19,22,20,20,7,
(6,7),0.707441 # DEPENDENCYPART_ARC
(6,8),-2.00777 # DEPENDENCYPART_ARC
(6,9),-3.19351 # DEPENDENCYPART_ARC
(6,10),-2.05482 # DEPENDENCYPART_ARC
(6,11),-2.09177 # DEPENDENCYPART_ARC
(6,12),-3.39555 # DEPENDENCYPART_ARC
(6,13),-2.47128 # DEPENDENCYPART_ARC
(6,14),-2.09862 # DEPENDENCYPART_ARC
(6,15),-1.8362 # DEPENDENCYPART_ARC
(6,16),-2.5046 # DEPENDENCYPART_ARC
(6,17),-0.782536 # DEPENDENCYPART_ARC
(6,18),-5.44964 # DEPENDENCYPART_ARC
(6,19),-2.92785 # DEPENDENCYPART_ARC
(6,20),-2.99759 # DEPENDENCYPART_ARC
(6,21),-5.63154 # DEPENDENCYPART_ARC
(6,22),-3.14015 # DEPENDENCYPART_ARC
(6,23),-0.420176 # DEPENDENCYPART_ARC
(6,24),1.32821 # DEPENDENCYPART_ARC
(7,1),-0.435964 # DEPENDENCYPART_ARC
(7,2),0.909027 # DEPENDENCYPART_ARC
(7,3),-0.237273 # DEPENDENCYPART_ARC
(7,4),1.83873 # DEPENDENCYPART_ARC
(7,5),-0.0816616 # DEPENDENCYPART_ARC
(7,6),5.79695 # DEPENDENCYPART_ARC
(7,8),0.586574 # DEPENDENCYPART_ARC
(7,9),-0.703282 # DEPENDENCYPART_ARC
(7,10),0.402751 # DEPENDENCYPART_ARC
(7,11),0.109395 # DEPENDENCYPART_ARC
(7,12),-0.716949 # DEPENDENCYPART_ARC
(7,13),0.0333094 # DEPENDENCYPART_ARC
(7,14),-0.225675 # DEPENDENCYPART_ARC
(7,15),2.18186 # DEPENDENCYPART_ARC
(7,16),1.45897 # DEPENDENCYPART_ARC
(7,17),0.689806 # DEPENDENCYPART_ARC
(7,18),-3.033 # DEPENDENCYPART_ARC
(7,19),-1.62379 # DEPENDENCYPART_ARC
(7,20),1.28902 # DEPENDENCYPART_ARC
(7,21),-3.45656 # DEPENDENCYPART_ARC
(7,22),-2.03853 # DEPENDENCYPART_ARC
(7,23),0.852702 # DEPENDENCYPART_ARC
(7,24),5.15306 # DEPENDENCYPART_ARC
(8,2),-3.94448 # DEPENDENCYPART_ARC
(8,3),-2.82123 # DEPENDENCYPART_ARC
(8,4),-2.99011 # DEPENDENCYPART_ARC
(8,5),-2.37967 # DEPENDENCYPART_ARC
(8,6),-2.61572 # DEPENDENCYPART_ARC
(8,7),-1.77464 # DEPENDENCYPART_ARC
(8,10),-0.97573 # DEPENDENCYPART_ARC
(8,11),-0.723287 # DEPENDENCYPART_ARC
(8,12),-1.76289 # DEPENDENCYPART_ARC
(8,13),-1.23554 # DEPENDENCYPART_ARC
(8,14),-2.02838 # DEPENDENCYPART_ARC
(8,15),-1.09207 # DEPENDENCYPART_ARC
(8,16),-1.90117 # DEPENDENCYPART_ARC
(8,19),-1.61293 # DEPENDENCYPART_ARC
(8,20),-2.09874 # DEPENDENCYPART_ARC
(8,22),-4.29497 # DEPENDENCYPART_ARC
(8,24),-1.11357 # DEPENDENCYPART_ARC
(9,1),-1.87642 # DEPENDENCYPART_ARC
(9,2),-2.51168 # DEPENDENCYPART_ARC
(9,4),-2.0089 # DEPENDENCYPART_ARC
(9,10),1.17319 # DEPENDENCYPART_ARC
(9,11),0.0170225 # DEPENDENCYPART_ARC
(9,12),-1.62228 # DEPENDENCYPART_ARC
(9,13),-1.85146 # DEPENDENCYPART_ARC
(9,14),-1.35506 # DEPENDENCYPART_ARC
(9,17),-1.80282 # DEPENDENCYPART_ARC
(9,18),-4.01429 # DEPENDENCYPART_ARC
(9,19),-3.12349 # DEPENDENCYPART_ARC
(9,21),-4.37063 # DEPENDENCYPART_ARC
(9,22),-4.05991 # DEPENDENCYPART_ARC
(9,23),-2.26092 # DEPENDENCYPART_ARC
(10,1),-2.75277 # DEPENDENCYPART_ARC
(10,2),-2.3346 # DEPENDENCYPART_ARC
(10,3),-0.0661808 # DEPENDENCYPART_ARC
(10,4),-0.726179 # DEPENDENCYPART_ARC
(10,5),-0.509269 # DEPENDENCYPART_ARC
(10,6),-0.671293 # DEPENDENCYPART_ARC
(10,7),-0.859292 # DEPENDENCYPART_ARC
(10,8),1.27888 # DEPENDENCYPART_ARC
(10,9),4.18657 # DEPENDENCYPART_ARC
(10,11),3.66995 # DEPENDENCYPART_ARC
(10,12),1.14642 # DEPENDENCYPART_ARC
(10,13),2.55322 # DEPENDENCYPART_ARC
(10,14),0.190932 # DEPENDENCYPART_ARC
(10,15),0.74014 # DEPENDENCYPART_ARC
(10,16),0.299544 # DEPENDENCYPART_ARC
(10,17),0.845678 # DEPENDENCYPART_ARC
(10,18),-1.61985 # DEPENDENCYPART_ARC
(10,19),-0.764922 # DEPENDENCYPART_ARC
(10,20),-1.40715 # DEPENDENCYPART_ARC
(10,21),-2.1257 # DEPENDENCYPART_ARC
(10,22),-0.846977 # DEPENDENCYPART_ARC
(10,23),-0.285742 # DEPENDENCYPART_ARC
(10,24),0.317034 # DEPENDENCYPART_ARC
(11,1),-2.46045 # DEPENDENCYPART_ARC
(11,2),-3.30165 # DEPENDENCYPART_ARC
(11,3),-1.53331 # DEPENDENCYPART_ARC
(11,4),-1.71382 # DEPENDENCYPART_ARC
(11,5),-1.90218 # DEPENDENCYPART_ARC
(11,6),-2.23381 # DEPENDENCYPART_ARC
(11,7),-1.65983 # DEPENDENCYPART_ARC
(11,8),0.0598595 # DEPENDENCYPART_ARC
(11,9),-0.0999978 # DEPENDENCYPART_ARC
(11,10),-0.397573 # DEPENDENCYPART_ARC
(11,12),4.226 # DEPENDENCYPART_ARC
(11,13),-0.725336 # DEPENDENCYPART_ARC
(11,14),-0.982581 # DEPENDENCYPART_ARC
(11,15),-0.700411 # DEPENDENCYPART_ARC
(11,16),-0.790566 # DEPENDENCYPART_ARC
(11,17),-1.29613 # DEPENDENCYPART_ARC
(11,18),-3.42449 # DEPENDENCYPART_ARC
(11,19),-2.29853 # DEPENDENCYPART_ARC
(11,20),-2.5164 # DEPENDENCYPART_ARC
(11,21),-3.52806 # DEPENDENCYPART_ARC
(11,22),-3.7889 # DEPENDENCYPART_ARC
(11,23),-2.12558 # DEPENDENCYPART_ARC
(11,24),-1.13365 # DEPENDENCYPART_ARC
(12,1),-4.39354 # DEPENDENCYPART_ARC
(12,2),-3.05678 # DEPENDENCYPART_ARC
(12,3),-1.56321 # DEPENDENCYPART_ARC
(12,4),-2.0373 # DEPENDENCYPART_ARC
(12,5),-1.751 # DEPENDENCYPART_ARC
(12,6),-2.16833 # DEPENDENCYPART_ARC
(12,7),-2.35504 # DEPENDENCYPART_ARC
(12,8),-0.264634 # DEPENDENCYPART_ARC
(12,9),0.869326 # DEPENDENCYPART_ARC
(12,10),-0.785742 # DEPENDENCYPART_ARC
(12,11),0.735948 # DEPENDENCYPART_ARC
(12,13),3.60004 # DEPENDENCYPART_ARC
(12,14),-0.269932 # DEPENDENCYPART_ARC
(12,15),0.350964 # DEPENDENCYPART_ARC
(12,16),-0.515501 # DEPENDENCYPART_ARC
(12,17),-0.306098 # DEPENDENCYPART_ARC
(12,18),-1.85022 # DEPENDENCYPART_ARC
(12,19),-2.33763 # DEPENDENCYPART_ARC
(12,20),-2.24659 # DEPENDENCYPART_ARC
(12,21),-2.27304 # DEPENDENCYPART_ARC
(12,22),-1.20146 # DEPENDENCYPART_ARC
(12,23),-1.34453 # DEPENDENCYPART_ARC
(12,24),-1.44547 # DEPENDENCYPART_ARC
(13,1),-2.36737 # DEPENDENCYPART_ARC
(13,2),-3.20538 # DEPENDENCYPART_ARC
(13,3),-1.85885 # DEPENDENCYPART_ARC
(13,4),-2.2158 # DEPENDENCYPART_ARC
(13,5),-2.23961 # DEPENDENCYPART_ARC
(13,6),-2.65025 # DEPENDENCYPART_ARC
(13,7),-2.52707 # DEPENDENCYPART_ARC
(13,8),-0.638161 # DEPENDENCYPART_ARC
(13,9),-0.657833 # DEPENDENCYPART_ARC
(13,10),-1.41264 # DEPENDENCYPART_ARC
(13,11),-0.0250415 # DEPENDENCYPART_ARC
(13,12),0.0476156 # DEPENDENCYPART_ARC
(13,14),0.904563 # DEPENDENCYPART_ARC
(13,15),-0.389852 # DEPENDENCYPART_ARC
(13,16),-1.12707 # DEPENDENCYPART_ARC
(13,17),-0.644034 # DEPENDENCYPART_ARC
(13,18),-2.8961 # DEPENDENCYPART_ARC
(13,19),-2.93701 # DEPENDENCYPART_ARC
(13,20),-2.6145 # DEPENDENCYPART_ARC
(13,21),-3.39876 # DEPENDENCYPART_ARC
(13,22),-1.82739 # DEPENDENCYPART_ARC
(13,23),-1.5455 # DEPENDENCYPART_ARC
(13,24),-2.00197 # DEPENDENCYPART_ARC
(14,1),-2.80649 # DEPENDENCYPART_ARC
(14,2),-3.13603 # DEPENDENCYPART_ARC
(14,3),-2.18687 # DEPENDENCYPART_ARC
(14,4),-1.66843 # DEPENDENCYPART_ARC
(14,5),-1.81773 # DEPENDENCYPART_ARC
(14,6),-2.20687 # DEPENDENCYPART_ARC
(14,7),-1.96969 # DEPENDENCYPART_ARC
(14,8),-0.906824 # DEPENDENCYPART_ARC
(14,9),-1.43835 # DEPENDENCYPART_ARC
(14,10),-1.5596 # DEPENDENCYPART_ARC
(14,11),-0.502841 # DEPENDENCYPART_ARC
(14,12),-0.673198 # DEPENDENCYPART_ARC
(14,13),0.264674 # DEPENDENCYPART_ARC
(14,15),0.445873 # DEPENDENCYPART_ARC
(14,16),-0.852156 # DEPENDENCYPART_ARC
(14,17),-1.13109 # DEPENDENCYPART_ARC
(14,18),-2.36856 # DEPENDENCYPART_ARC
(14,19),-2.37208 # DEPENDENCYPART_ARC
(14,20),-2.11705 # DEPENDENCYPART_ARC
(14,21),-2.56389 # DEPENDENCYPART_ARC
(14,22),-2.11416 # DEPENDENCYPART_ARC
(14,23),-2.18628 # DEPENDENCYPART_ARC
(14,24),-1.62697 # DEPENDENCYPART_ARC
(15,1),-5.31129 # DEPENDENCYPART_ARC
(15,2),-3.27151 # DEPENDENCYPART_ARC
(15,3),-4.21428 # DEPENDENCYPART_ARC
(15,4),-1.00624 # DEPENDENCYPART_ARC
(15,5),-4.3608 # DEPENDENCYPART_ARC
(15,6),-1.34336 # DEPENDENCYPART_ARC
(15,7),-3.61104 # DEPENDENCYPART_ARC
(15,8),0.941177 # DEPENDENCYPART_ARC
(15,9),-3.38361 # DEPENDENCYPART_ARC
(15,10),-1.24245 # DEPENDENCYPART_ARC
(15,11),-2.1998 # DEPENDENCYPART_ARC
(15,12),-1.08978 # DEPENDENCYPART_ARC
(15,13),-1.49252 # DEPENDENCYPART_ARC
(15,14),0.13083 # DEPENDENCYPART_ARC
(15,16),0.0115131 # DEPENDENCYPART_ARC
(15,17),-0.977366 # DEPENDENCYPART_ARC
(15,18),-4.54662 # DEPENDENCYPART_ARC
(15,19),-2.21634 # DEPENDENCYPART_ARC
(15,20),-1.74587 # DEPENDENCYPART_ARC
(15,21),-5.3013 # DEPENDENCYPART_ARC
(15,22),-1.56482 # DEPENDENCYPART_ARC
(15,23),-1.22944 # DEPENDENCYPART_ARC
(15,24),0.255917 # DEPENDENCYPART_ARC
(16,1),-2.11546 # DEPENDENCYPART_ARC
(16,2),-0.823001 # DEPENDENCYPART_ARC
(16,3),-1.69177 # DEPENDENCYPART_ARC
(16,4),0.90372 # DEPENDENCYPART_ARC
(16,5),-1.21476 # DEPENDENCYPART_ARC
(16,6),1.23096 # DEPENDENCYPART_ARC
(16,7),-1.07671 # DEPENDENCYPART_ARC
(16,8),3.55302 # DEPENDENCYPART_ARC
(16,9),-0.479262 # DEPENDENCYPART_ARC
(16,10),1.84096 # DEPENDENCYPART_ARC
(16,11),-0.596823 # DEPENDENCYPART_ARC
(16,12),1.3173 # DEPENDENCYPART_ARC
(16,13),0.418518 # DEPENDENCYPART_ARC
(16,14),3.04824 # DEPENDENCYPART_ARC
(16,15),5.8368 # DEPENDENCYPART_ARC
(16,17),0.839168 # DEPENDENCYPART_ARC
(16,18),-1.28353 # DEPENDENCYPART_ARC
(16,19),0.832304 # DEPENDENCYPART_ARC
(16,20),0.549993 # DEPENDENCYPART_ARC
(16,21),-2.95067 # DEPENDENCYPART_ARC
(16,22),0.287495 # DEPENDENCYPART_ARC
(16,23),0.672889 # DEPENDENCYPART_ARC
(16,24),2.94082 # DEPENDENCYPART_ARC
(18,1),-3.50342 # DEPENDENCYPART_ARC
(18,2),-3.31998 # DEPENDENCYPART_ARC
(18,4),-2.97398 # DEPENDENCYPART_ARC
(18,9),-3.51894 # DEPENDENCYPART_ARC
(18,10),-2.53433 # DEPENDENCYPART_ARC
(18,11),-1.99889 # DEPENDENCYPART_ARC
(18,12),-2.35851 # DEPENDENCYPART_ARC
(18,13),-1.9582 # DEPENDENCYPART_ARC
(18,14),-1.41121 # DEPENDENCYPART_ARC
(18,17),0.491218 # DEPENDENCYPART_ARC
(18,19),0.689919 # DEPENDENCYPART_ARC
(18,21),-0.600145 # DEPENDENCYPART_ARC
(18,22),-2.73111 # DEPENDENCYPART_ARC
(18,23),-1.42753 # DEPENDENCYPART_ARC
(19,1),-1.58507 # DEPENDENCYPART_ARC
(19,2),-2.46568 # DEPENDENCYPART_ARC
(19,3),-2.44505 # DEPENDENCYPART_ARC
(19,4),-1.1822 # DEPENDENCYPART_ARC
(19,5),-2.65759 # DEPENDENCYPART_ARC
(19,6),-1.42118 # DEPENDENCYPART_ARC
(19,7),-1.69486 # DEPENDENCYPART_ARC
(19,8),0.169342 # DEPENDENCYPART_ARC
(19,9),-1.1666 # DEPENDENCYPART_ARC
(19,10),-1.72343 # DEPENDENCYPART_ARC
(19,11),-1.50544 # DEPENDENCYPART_ARC
(19,12),-1.36172 # DEPENDENCYPART_ARC
(19,13),-1.18051 # DEPENDENCYPART_ARC
(19,14),-0.568394 # DEPENDENCYPART_ARC
(19,15),-0.0405741 # DEPENDENCYPART_ARC
(19,16),-0.702065 # DEPENDENCYPART_ARC
(19,17),0.990659 # DEPENDENCYPART_ARC
(19,18),2.80208 # DEPENDENCYPART_ARC
(19,20),5.09176 # DEPENDENCYPART_ARC
(19,21),0.0268033 # DEPENDENCYPART_ARC
(19,22),1.96707 # DEPENDENCYPART_ARC
(19,23),0.848588 # DEPENDENCYPART_ARC
(19,24),0.876372 # DEPENDENCYPART_ARC
(20,1),-3.68754 # DEPENDENCYPART_ARC
(20,2),-2.51074 # DEPENDENCYPART_ARC
(20,3),-3.79192 # DEPENDENCYPART_ARC
(20,4),-0.2961 # DEPENDENCYPART_ARC
(20,5),-3.91956 # DEPENDENCYPART_ARC
(20,6),1.82171 # DEPENDENCYPART_ARC
(20,7),-1.46639 # DEPENDENCYPART_ARC
(20,8),2.12661 # DEPENDENCYPART_ARC
(20,9),-2.23664 # DEPENDENCYPART_ARC
(20,10),-0.261732 # DEPENDENCYPART_ARC
(20,11),-2.16579 # DEPENDENCYPART_ARC
(20,12),-0.367844 # DEPENDENCYPART_ARC
(20,13),-0.658456 # DEPENDENCYPART_ARC
(20,14),0.561718 # DEPENDENCYPART_ARC
(20,15),3.63918 # DEPENDENCYPART_ARC
(20,16),0.585406 # DEPENDENCYPART_ARC
(20,17),1.36604 # DEPENDENCYPART_ARC
(20,18),1.74626 # DEPENDENCYPART_ARC
(20,19),2.32223 # DEPENDENCYPART_ARC
(20,21),-0.906402 # DEPENDENCYPART_ARC
(20,22),3.32853 # DEPENDENCYPART_ARC
(20,23),1.60065 # DEPENDENCYPART_ARC
(20,24),2.04081 # DEPENDENCYPART_ARC
(21,1),-5.00366 # DEPENDENCYPART_ARC
(21,2),-4.49544 # DEPENDENCYPART_ARC
(21,4),-4.06348 # DEPENDENCYPART_ARC
(21,9),-5.26855 # DEPENDENCYPART_ARC
(21,10),-4.04107 # DEPENDENCYPART_ARC
(21,11),-3.51501 # DEPENDENCYPART_ARC
(21,12),-3.88253 # DEPENDENCYPART_ARC
(21,13),-3.54827 # DEPENDENCYPART_ARC
(21,14),-3.19744 # DEPENDENCYPART_ARC
(21,17),-2.34797 # DEPENDENCYPART_ARC
(21,18),-1.77097 # DEPENDENCYPART_ARC
(21,19),-1.61186 # DEPENDENCYPART_ARC
(21,22),-0.394992 # DEPENDENCYPART_ARC
(21,23),-1.22467 # DEPENDENCYPART_ARC
(22,1),-7.73943 # DEPENDENCYPART_ARC
(22,2),-3.1908 # DEPENDENCYPART_ARC
(22,3),-1.16939 # DEPENDENCYPART_ARC
(22,4),-1.84273 # DEPENDENCYPART_ARC
(22,5),-1.17819 # DEPENDENCYPART_ARC
(22,6),-2.58814 # DEPENDENCYPART_ARC
(22,7),-2.73589 # DEPENDENCYPART_ARC
(22,8),-0.337645 # DEPENDENCYPART_ARC
(22,9),-4.04449 # DEPENDENCYPART_ARC
(22,10),-2.64655 # DEPENDENCYPART_ARC
(22,11),-1.66325 # DEPENDENCYPART_ARC
(22,12),-1.4796 # DEPENDENCYPART_ARC
(22,13),-3.32145 # DEPENDENCYPART_ARC
(22,14),-0.713464 # DEPENDENCYPART_ARC
(22,15),-2.24008 # DEPENDENCYPART_ARC
(22,16),-1.50049 # DEPENDENCYPART_ARC
(22,17),0.130649 # DEPENDENCYPART_ARC
(22,18),-1.06556 # DEPENDENCYPART_ARC
(22,19),-0.391082 # DEPENDENCYPART_ARC
(22,20),0.925025 # DEPENDENCYPART_ARC
(22,21),3.68582 # DEPENDENCYPART_ARC
(22,23),0.597732 # DEPENDENCYPART_ARC
(22,24),0.223817 # DEPENDENCYPART_ARC
