# _root_ Manolo_Quijano , líder del grup Café_Quijano , ressalta que " la gent té pànic al desconegut " .
#goldHeads=8,3,1,3,4,5,3,0,13,13,12,13,8,13,14,15,13,8,
#predictedHeads=8,3,1,3,4,5,3,0,13,13,12,13,8,13,13,15,13,8,
(4,9),-2.0265 # DEPENDENCYPART_ARC
(4,10),-2.34648 # DEPENDENCYPART_ARC
(4,11),-3.74644 # DEPENDENCYPART_ARC
(4,12),-5.31979 # DEPENDENCYPART_ARC
(4,13),-3.44824 # DEPENDENCYPART_ARC
(4,14),-7.63436 # DEPENDENCYPART_ARC
(4,15),-4.89172 # DEPENDENCYPART_ARC
(4,16),-3.39837 # DEPENDENCYPART_ARC
(4,17),-2.64119 # DEPENDENCYPART_ARC
(4,18),-1.01195 # DEPENDENCYPART_ARC
(5,1),-0.90094 # DEPENDENCYPART_ARC
(5,2),-0.0422091 # DEPENDENCYPART_ARC
(5,3),-0.0552418 # DEPENDENCYPART_ARC
(5,4),1.44478 # DEPENDENCYPART_ARC
(5,6),3.29175 # DEPENDENCYPART_ARC
(5,7),0.101405 # DEPENDENCYPART_ARC
(5,8),1.14577 # DEPENDENCYPART_ARC
(5,9),-2.09148 # DEPENDENCYPART_ARC
(5,10),-0.349628 # DEPENDENCYPART_ARC
(5,11),-2.46011 # DEPENDENCYPART_ARC
(5,12),-1.68241 # DEPENDENCYPART_ARC
(5,13),-1.26756 # DEPENDENCYPART_ARC
(5,14),-1.32584 # DEPENDENCYPART_ARC
(5,15),-2.39114 # DEPENDENCYPART_ARC
(5,16),-0.821315 # DEPENDENCYPART_ARC
(5,17),-1.05867 # DEPENDENCYPART_ARC
(5,18),-0.232464 # DEPENDENCYPART_ARC
(6,1),-0.768922 # DEPENDENCYPART_ARC
(6,2),0.373804 # DEPENDENCYPART_ARC
(6,3),-0.25295 # DEPENDENCYPART_ARC
(6,4),0.964081 # DEPENDENCYPART_ARC
(6,5),2.15507 # DEPENDENCYPART_ARC
(6,7),0.19834 # DEPENDENCYPART_ARC
(6,8),0.0736413 # DEPENDENCYPART_ARC
(6,9),-1.85411 # DEPENDENCYPART_ARC
(6,10),-0.975866 # DEPENDENCYPART_ARC
(6,11),-2.58517 # DEPENDENCYPART_ARC
(6,12),-2.13647 # DEPENDENCYPART_ARC
(6,13),-2.30686 # DEPENDENCYPART_ARC
(6,14),-2.09123 # DEPENDENCYPART_ARC
(6,15),-3.44223 # DEPENDENCYPART_ARC
(6,16),-2.35773 # DEPENDENCYPART_ARC
(6,17),-1.24781 # DEPENDENCYPART_ARC
(6,18),-0.421433 # DEPENDENCYPART_ARC
(7,2),-1.62688 # DEPENDENCYPART_ARC
(7,3),-2.9352 # DEPENDENCYPART_ARC
(7,5),-2.25026 # DEPENDENCYPART_ARC
(7,12),-2.12897 # DEPENDENCYPART_ARC
(7,14),-2.31894 # DEPENDENCYPART_ARC
(7,16),-2.35269 # DEPENDENCYPART_ARC
(8,1),1.54711 # DEPENDENCYPART_ARC
(8,2),-1.00055 # DEPENDENCYPART_ARC
(8,3),0.894875 # DEPENDENCYPART_ARC
(8,4),-0.850925 # DEPENDENCYPART_ARC
(8,5),1.29845 # DEPENDENCYPART_ARC
(8,6),1.21956 # DEPENDENCYPART_ARC
(8,7),1.04212 # DEPENDENCYPART_ARC
(8,9),0.327287 # DEPENDENCYPART_ARC
(8,10),0.35714 # DEPENDENCYPART_ARC
(8,11),-2.60509 # DEPENDENCYPART_ARC
(8,12),-0.675509 # DEPENDENCYPART_ARC
(8,13),3.41201 # DEPENDENCYPART_ARC
(8,14),-0.970427 # DEPENDENCYPART_ARC
(8,15),0.0813686 # DEPENDENCYPART_ARC
(8,16),-0.770625 # DEPENDENCYPART_ARC
(8,17),1.43469 # DEPENDENCYPART_ARC
(8,18),4.55011 # DEPENDENCYPART_ARC
(9,1),-3.80469 # DEPENDENCYPART_ARC
(9,2),-2.85304 # DEPENDENCYPART_ARC
(9,3),-3.56937 # DEPENDENCYPART_ARC
(9,4),-2.62278 # DEPENDENCYPART_ARC
(9,5),-3.25761 # DEPENDENCYPART_ARC
(9,6),-3.03317 # DEPENDENCYPART_ARC
(9,7),-1.61716 # DEPENDENCYPART_ARC
(9,8),-1.49015 # DEPENDENCYPART_ARC
(9,12),-1.44651 # DEPENDENCYPART_ARC
(9,13),0.309209 # DEPENDENCYPART_ARC
(9,14),-2.22723 # DEPENDENCYPART_ARC
(9,15),-1.22416 # DEPENDENCYPART_ARC
(9,16),-1.70446 # DEPENDENCYPART_ARC
(9,18),-0.899951 # DEPENDENCYPART_ARC
(11,1),-2.3417 # DEPENDENCYPART_ARC
(11,3),-2.88766 # DEPENDENCYPART_ARC
(11,4),-1.63114 # DEPENDENCYPART_ARC
(11,5),-2.26095 # DEPENDENCYPART_ARC
(11,6),-1.90361 # DEPENDENCYPART_ARC
(11,10),0.776849 # DEPENDENCYPART_ARC
(11,12),0.880982 # DEPENDENCYPART_ARC
(11,14),-1.9016 # DEPENDENCYPART_ARC
(11,15),-2.27804 # DEPENDENCYPART_ARC
(11,16),-4.72033 # DEPENDENCYPART_ARC
(11,17),-2.06421 # DEPENDENCYPART_ARC
(12,1),-2.09883 # DEPENDENCYPART_ARC
(12,2),-1.7415 # DEPENDENCYPART_ARC
(12,3),-1.78611 # DEPENDENCYPART_ARC
(12,4),-1.88695 # DEPENDENCYPART_ARC
(12,5),-1.38379 # DEPENDENCYPART_ARC
(12,6),-1.64845 # DEPENDENCYPART_ARC
(12,7),-0.820154 # DEPENDENCYPART_ARC
(12,8),-0.74092 # DEPENDENCYPART_ARC
(12,9),0.694866 # DEPENDENCYPART_ARC
(12,10),1.76293 # DEPENDENCYPART_ARC
(12,11),4.80949 # DEPENDENCYPART_ARC
(12,13),1.06511 # DEPENDENCYPART_ARC
(12,14),-0.600393 # DEPENDENCYPART_ARC
(12,15),-1.11409 # DEPENDENCYPART_ARC
(12,16),-1.96434 # DEPENDENCYPART_ARC
(12,17),-0.374534 # DEPENDENCYPART_ARC
(12,18),-0.965355 # DEPENDENCYPART_ARC
(13,1),-0.733553 # DEPENDENCYPART_ARC
(13,2),-2.24809 # DEPENDENCYPART_ARC
(13,3),0.0485926 # DEPENDENCYPART_ARC
(13,4),-2.99777 # DEPENDENCYPART_ARC
(13,5),-0.923138 # DEPENDENCYPART_ARC
(13,6),-1.25544 # DEPENDENCYPART_ARC
(13,7),-0.731857 # DEPENDENCYPART_ARC
(13,8),0.310925 # DEPENDENCYPART_ARC
(13,9),4.08811 # DEPENDENCYPART_ARC
(13,10),2.86819 # DEPENDENCYPART_ARC
(13,11),0.877996 # DEPENDENCYPART_ARC
(13,12),3.06801 # DEPENDENCYPART_ARC
(13,14),4.56022 # DEPENDENCYPART_ARC
(13,15),2.94856 # DEPENDENCYPART_ARC
(13,16),1.24017 # DEPENDENCYPART_ARC
(13,17),2.47562 # DEPENDENCYPART_ARC
(13,18),3.68601 # DEPENDENCYPART_ARC
(14,1),-2.949 # DEPENDENCYPART_ARC
(14,2),-1.82906 # DEPENDENCYPART_ARC
(14,3),-3.03062 # DEPENDENCYPART_ARC
(14,4),-2.39097 # DEPENDENCYPART_ARC
(14,5),-2.07013 # DEPENDENCYPART_ARC
(14,6),-2.3814 # DEPENDENCYPART_ARC
(14,7),-1.18846 # DEPENDENCYPART_ARC
(14,8),-1.93551 # DEPENDENCYPART_ARC
(14,9),-0.397904 # DEPENDENCYPART_ARC
(14,10),-0.351871 # DEPENDENCYPART_ARC
(14,11),0.106032 # DEPENDENCYPART_ARC
(14,12),-0.756308 # DEPENDENCYPART_ARC
(14,13),0.183106 # DEPENDENCYPART_ARC
(14,15),1.26794 # DEPENDENCYPART_ARC
(14,16),1.65338 # DEPENDENCYPART_ARC
(14,17),1.01181 # DEPENDENCYPART_ARC
(14,18),0.189286 # DEPENDENCYPART_ARC
(15,1),-3.50943 # DEPENDENCYPART_ARC
(15,2),-2.68187 # DEPENDENCYPART_ARC
(15,3),-3.60107 # DEPENDENCYPART_ARC
(15,4),-3.56081 # DEPENDENCYPART_ARC
(15,5),-3.19812 # DEPENDENCYPART_ARC
(15,6),-2.98411 # DEPENDENCYPART_ARC
(15,7),-1.96306 # DEPENDENCYPART_ARC
(15,8),-2.23192 # DEPENDENCYPART_ARC
(15,9),-0.284639 # DEPENDENCYPART_ARC
(15,10),-1.46097 # DEPENDENCYPART_ARC
(15,11),-0.883059 # DEPENDENCYPART_ARC
(15,12),-1.39228 # DEPENDENCYPART_ARC
(15,13),-0.683487 # DEPENDENCYPART_ARC
(15,14),-0.692064 # DEPENDENCYPART_ARC
(15,16),3.05565 # DEPENDENCYPART_ARC
(15,17),0.346195 # DEPENDENCYPART_ARC
(15,18),0.0254571 # DEPENDENCYPART_ARC
(16,1),-3.94262 # DEPENDENCYPART_ARC
(16,2),-3.64567 # DEPENDENCYPART_ARC
(16,3),-4.11825 # DEPENDENCYPART_ARC
(16,4),-3.57516 # DEPENDENCYPART_ARC
(16,5),-3.41862 # DEPENDENCYPART_ARC
(16,6),-3.32427 # DEPENDENCYPART_ARC
(16,7),-2.6695 # DEPENDENCYPART_ARC
(16,8),-3.26295 # DEPENDENCYPART_ARC
(16,9),-1.62055 # DEPENDENCYPART_ARC
(16,10),-2.04769 # DEPENDENCYPART_ARC
(16,11),-1.76704 # DEPENDENCYPART_ARC
(16,12),-1.87133 # DEPENDENCYPART_ARC
(16,13),-2.14221 # DEPENDENCYPART_ARC
(16,14),-1.01188 # DEPENDENCYPART_ARC
(16,15),-0.121281 # DEPENDENCYPART_ARC
(16,17),1.69997 # DEPENDENCYPART_ARC
(16,18),0.0394624 # DEPENDENCYPART_ARC
