# _root_ He de reconèixer que és difícil , amb un nacionalisme espanyol tan excloent com el que està fent el PP , mantenir aquesta política de pactes perquè de_vegades fan trontollar .
#goldHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,8,5,24,22,24,25,29,29,5,29,3,
#predictedHeads=3,3,0,5,3,5,8,18,10,8,10,13,10,18,18,18,18,3,20,18,18,18,24,22,24,25,30,30,30,22,3,
(5,13),0.0840382 # DEPENDENCYPART_ARC
(5,14),-1.39125 # DEPENDENCYPART_ARC
(5,15),-3.60079 # DEPENDENCYPART_ARC
(5,16),-1.46172 # DEPENDENCYPART_ARC
(5,17),1.3177 # DEPENDENCYPART_ARC
(5,18),0.922495 # DEPENDENCYPART_ARC
(5,19),-4.16221 # DEPENDENCYPART_ARC
(5,20),-2.44783 # DEPENDENCYPART_ARC
(5,21),0.641421 # DEPENDENCYPART_ARC
(5,22),0.241064 # DEPENDENCYPART_ARC
(5,24),-2.54734 # DEPENDENCYPART_ARC
(5,25),-3.21027 # DEPENDENCYPART_ARC
(5,26),-3.09432 # DEPENDENCYPART_ARC
(5,27),-3.98719 # DEPENDENCYPART_ARC
(5,28),-3.13774 # DEPENDENCYPART_ARC
(5,29),-0.454854 # DEPENDENCYPART_ARC
(5,30),-0.472675 # DEPENDENCYPART_ARC
(5,31),4.23632 # DEPENDENCYPART_ARC
(6,1),-3.35025 # DEPENDENCYPART_ARC
(6,2),-0.763669 # DEPENDENCYPART_ARC
(6,3),-2.66735 # DEPENDENCYPART_ARC
(6,4),-0.591146 # DEPENDENCYPART_ARC
(6,5),-1.20123 # DEPENDENCYPART_ARC
(6,7),0.403098 # DEPENDENCYPART_ARC
(6,8),-0.0219463 # DEPENDENCYPART_ARC
(6,9),-2.26859 # DEPENDENCYPART_ARC
(6,10),-0.774067 # DEPENDENCYPART_ARC
(6,11),0.118476 # DEPENDENCYPART_ARC
(6,12),-0.502621 # DEPENDENCYPART_ARC
(6,13),0.645037 # DEPENDENCYPART_ARC
(6,14),-0.408712 # DEPENDENCYPART_ARC
(6,15),-2.9894 # DEPENDENCYPART_ARC
(6,16),-2.71498 # DEPENDENCYPART_ARC
(6,17),-0.259654 # DEPENDENCYPART_ARC
(6,18),-0.852671 # DEPENDENCYPART_ARC
(6,19),-3.65997 # DEPENDENCYPART_ARC
(6,20),-1.94775 # DEPENDENCYPART_ARC
(6,21),-1.37384 # DEPENDENCYPART_ARC
(6,22),-1.87445 # DEPENDENCYPART_ARC
(6,23),-3.50619 # DEPENDENCYPART_ARC
(6,24),-2.63797 # DEPENDENCYPART_ARC
(6,25),-3.66519 # DEPENDENCYPART_ARC
(6,26),-2.73428 # DEPENDENCYPART_ARC
(6,27),-2.16391 # DEPENDENCYPART_ARC
(6,28),-2.28794 # DEPENDENCYPART_ARC
(6,29),-2.70329 # DEPENDENCYPART_ARC
(6,30),-2.72647 # DEPENDENCYPART_ARC
(6,31),-1.41898 # DEPENDENCYPART_ARC
(7,6),-0.0283714 # DEPENDENCYPART_ARC
(7,10),-1.01137 # DEPENDENCYPART_ARC
(7,11),-1.09903 # DEPENDENCYPART_ARC
(7,13),-1.28897 # DEPENDENCYPART_ARC
(7,21),-1.39874 # DEPENDENCYPART_ARC
(7,24),-1.99402 # DEPENDENCYPART_ARC
(7,26),-2.12701 # DEPENDENCYPART_ARC
(8,1),-1.26846 # DEPENDENCYPART_ARC
(8,2),-1.05228 # DEPENDENCYPART_ARC
(8,3),-1.14326 # DEPENDENCYPART_ARC
(8,4),0.277909 # DEPENDENCYPART_ARC
(8,5),0.230355 # DEPENDENCYPART_ARC
(8,6),-0.184525 # DEPENDENCYPART_ARC
(8,7),2.09151 # DEPENDENCYPART_ARC
(8,9),-0.370752 # DEPENDENCYPART_ARC
(8,10),4.11238 # DEPENDENCYPART_ARC
(8,11),-0.38998 # DEPENDENCYPART_ARC
(8,12),-0.951784 # DEPENDENCYPART_ARC
(8,13),0.00805948 # DEPENDENCYPART_ARC
(8,14),-0.366681 # DEPENDENCYPART_ARC
(8,15),-2.75438 # DEPENDENCYPART_ARC
(8,16),-0.684928 # DEPENDENCYPART_ARC
(8,17),-0.425971 # DEPENDENCYPART_ARC
(8,18),-0.841839 # DEPENDENCYPART_ARC
(8,19),-3.03474 # DEPENDENCYPART_ARC
(8,20),-4.05006 # DEPENDENCYPART_ARC
(8,21),0.293407 # DEPENDENCYPART_ARC
(8,22),-1.89244 # DEPENDENCYPART_ARC
(8,24),-7.19233 # DEPENDENCYPART_ARC
(8,25),-4.98914 # DEPENDENCYPART_ARC
(8,26),-8.70538 # DEPENDENCYPART_ARC
(8,27),-1.67025 # DEPENDENCYPART_ARC
(8,28),-2.72504 # DEPENDENCYPART_ARC
(8,29),-3.16291 # DEPENDENCYPART_ARC
(8,30),-2.95605 # DEPENDENCYPART_ARC
(8,31),0.746444 # DEPENDENCYPART_ARC
(9,2),-2.42916 # DEPENDENCYPART_ARC
(9,6),-2.46787 # DEPENDENCYPART_ARC
(9,8),0.200397 # DEPENDENCYPART_ARC
(9,10),1.5016 # DEPENDENCYPART_ARC
(9,11),-0.116381 # DEPENDENCYPART_ARC
(9,12),-1.06308 # DEPENDENCYPART_ARC
(9,13),-1.94335 # DEPENDENCYPART_ARC
(9,24),-3.0931 # DEPENDENCYPART_ARC
(9,25),-4.22947 # DEPENDENCYPART_ARC
(9,26),-4.86575 # DEPENDENCYPART_ARC
(9,28),-3.35639 # DEPENDENCYPART_ARC
(10,1),-2.71443 # DEPENDENCYPART_ARC
(10,2),-1.04384 # DEPENDENCYPART_ARC
(10,3),-1.9994 # DEPENDENCYPART_ARC
(10,4),0.0131203 # DEPENDENCYPART_ARC
(10,5),-1.30605 # DEPENDENCYPART_ARC
(10,6),-0.342038 # DEPENDENCYPART_ARC
(10,7),-0.229786 # DEPENDENCYPART_ARC
(10,8),0.928727 # DEPENDENCYPART_ARC
(10,9),4.01025 # DEPENDENCYPART_ARC
(10,11),3.6541 # DEPENDENCYPART_ARC
(10,12),0.275521 # DEPENDENCYPART_ARC
(10,13),1.42866 # DEPENDENCYPART_ARC
(10,14),1.52332 # DEPENDENCYPART_ARC
(10,15),-0.98796 # DEPENDENCYPART_ARC
(10,16),-2.12627 # DEPENDENCYPART_ARC
(10,17),0.698898 # DEPENDENCYPART_ARC
(10,18),-0.316303 # DEPENDENCYPART_ARC
(10,19),-1.72143 # DEPENDENCYPART_ARC
(10,20),-1.01646 # DEPENDENCYPART_ARC
(10,21),-0.571712 # DEPENDENCYPART_ARC
(10,22),-1.99355 # DEPENDENCYPART_ARC
(10,23),-2.73032 # DEPENDENCYPART_ARC
(10,24),-1.33157 # DEPENDENCYPART_ARC
(10,25),-2.02611 # DEPENDENCYPART_ARC
(10,26),-1.63765 # DEPENDENCYPART_ARC
(10,27),-2.19794 # DEPENDENCYPART_ARC
(10,28),-2.01838 # DEPENDENCYPART_ARC
(10,29),-4.13582 # DEPENDENCYPART_ARC
(10,30),-4.07763 # DEPENDENCYPART_ARC
(10,31),1.08156 # DEPENDENCYPART_ARC
(11,1),-2.69792 # DEPENDENCYPART_ARC
(11,2),-1.30283 # DEPENDENCYPART_ARC
(11,3),-2.51291 # DEPENDENCYPART_ARC
(11,4),-0.783531 # DEPENDENCYPART_ARC
(11,5),-2.12299 # DEPENDENCYPART_ARC
(11,6),-1.83308 # DEPENDENCYPART_ARC
(11,7),0.162391 # DEPENDENCYPART_ARC
(11,8),0.360804 # DEPENDENCYPART_ARC
(11,9),0.640323 # DEPENDENCYPART_ARC
(11,10),0.453612 # DEPENDENCYPART_ARC
(11,12),0.39591 # DEPENDENCYPART_ARC
(11,13),0.924678 # DEPENDENCYPART_ARC
(11,14),-0.411194 # DEPENDENCYPART_ARC
(11,15),-2.59084 # DEPENDENCYPART_ARC
(11,16),-3.26614 # DEPENDENCYPART_ARC
(11,17),-0.348091 # DEPENDENCYPART_ARC
(11,18),-1.12415 # DEPENDENCYPART_ARC
(11,19),-3.51264 # DEPENDENCYPART_ARC
(11,20),-2.05553 # DEPENDENCYPART_ARC
(11,21),-1.13509 # DEPENDENCYPART_ARC
(11,22),-2.3539 # DEPENDENCYPART_ARC
(11,23),-3.93833 # DEPENDENCYPART_ARC
(11,24),-2.79427 # DEPENDENCYPART_ARC
(11,25),-3.68609 # DEPENDENCYPART_ARC
(11,26),-3.04982 # DEPENDENCYPART_ARC
(11,27),-2.21931 # DEPENDENCYPART_ARC
(11,28),-2.23203 # DEPENDENCYPART_ARC
(11,29),-3.17099 # DEPENDENCYPART_ARC
(11,30),-3.18854 # DEPENDENCYPART_ARC
(11,31),-1.09751 # DEPENDENCYPART_ARC
(12,1),-2.54281 # DEPENDENCYPART_ARC
(12,2),-1.86672 # DEPENDENCYPART_ARC
(12,3),-2.36141 # DEPENDENCYPART_ARC
(12,4),-1.22507 # DEPENDENCYPART_ARC
(12,5),-1.99638 # DEPENDENCYPART_ARC
(12,6),-1.32681 # DEPENDENCYPART_ARC
(12,7),-0.678009 # DEPENDENCYPART_ARC
(12,8),-0.773145 # DEPENDENCYPART_ARC
(12,9),-0.970387 # DEPENDENCYPART_ARC
(12,10),-0.755643 # DEPENDENCYPART_ARC
(12,11),0.212619 # DEPENDENCYPART_ARC
(12,13),0.928522 # DEPENDENCYPART_ARC
(12,14),-0.272307 # DEPENDENCYPART_ARC
(12,15),-1.13651 # DEPENDENCYPART_ARC
(12,17),0.222461 # DEPENDENCYPART_ARC
(12,18),-0.489255 # DEPENDENCYPART_ARC
(12,19),-1.86154 # DEPENDENCYPART_ARC
(12,20),-1.17884 # DEPENDENCYPART_ARC
(12,21),-0.740551 # DEPENDENCYPART_ARC
(12,22),-1.18382 # DEPENDENCYPART_ARC
(12,24),-1.76931 # DEPENDENCYPART_ARC
(12,25),-2.91689 # DEPENDENCYPART_ARC
(12,26),-1.75882 # DEPENDENCYPART_ARC
(12,27),-1.2977 # DEPENDENCYPART_ARC
(12,28),-1.84311 # DEPENDENCYPART_ARC
(12,29),-1.74177 # DEPENDENCYPART_ARC
(12,30),-1.98646 # DEPENDENCYPART_ARC
(12,31),0.730853 # DEPENDENCYPART_ARC
(13,1),-2.38064 # DEPENDENCYPART_ARC
(13,2),-1.00586 # DEPENDENCYPART_ARC
(13,3),-1.93995 # DEPENDENCYPART_ARC
(13,4),-0.179312 # DEPENDENCYPART_ARC
(13,5),-1.86557 # DEPENDENCYPART_ARC
(13,6),-1.7457 # DEPENDENCYPART_ARC
(13,7),0.247916 # DEPENDENCYPART_ARC
(13,8),0.543486 # DEPENDENCYPART_ARC
(13,9),-0.0273889 # DEPENDENCYPART_ARC
(13,10),-0.374537 # DEPENDENCYPART_ARC
(13,11),0.545385 # DEPENDENCYPART_ARC
(13,12),3.51977 # DEPENDENCYPART_ARC
(13,14),0.60956 # DEPENDENCYPART_ARC
(13,15),-1.00973 # DEPENDENCYPART_ARC
(13,16),-0.901002 # DEPENDENCYPART_ARC
(13,17),1.49897 # DEPENDENCYPART_ARC
(13,18),0.742826 # DEPENDENCYPART_ARC
(13,19),-2.42712 # DEPENDENCYPART_ARC
(13,20),0.19628 # DEPENDENCYPART_ARC
(13,21),0.407459 # DEPENDENCYPART_ARC
(13,22),-0.334014 # DEPENDENCYPART_ARC
(13,23),-2.38895 # DEPENDENCYPART_ARC
(13,24),-0.85064 # DEPENDENCYPART_ARC
(13,25),-2.1593 # DEPENDENCYPART_ARC
(13,26),-1.18168 # DEPENDENCYPART_ARC
(13,27),-0.782992 # DEPENDENCYPART_ARC
(13,28),-0.928671 # DEPENDENCYPART_ARC
(13,29),-1.031 # DEPENDENCYPART_ARC
(13,30),-0.986551 # DEPENDENCYPART_ARC
(13,31),0.216063 # DEPENDENCYPART_ARC
(14,1),-2.39274 # DEPENDENCYPART_ARC
(14,2),-1.58786 # DEPENDENCYPART_ARC
(14,3),-2.32163 # DEPENDENCYPART_ARC
(14,4),-1.29157 # DEPENDENCYPART_ARC
(14,5),-2.02291 # DEPENDENCYPART_ARC
(14,6),-1.92904 # DEPENDENCYPART_ARC
(14,7),-0.0131223 # DEPENDENCYPART_ARC
(14,8),-0.775528 # DEPENDENCYPART_ARC
(14,9),-0.911033 # DEPENDENCYPART_ARC
(14,10),-1.55509 # DEPENDENCYPART_ARC
(14,11),-1.21847 # DEPENDENCYPART_ARC
(14,12),-0.0755552 # DEPENDENCYPART_ARC
(14,13),0.0161116 # DEPENDENCYPART_ARC
(14,17),2.11075 # DEPENDENCYPART_ARC
(14,18),0.898827 # DEPENDENCYPART_ARC
(14,20),-0.060274 # DEPENDENCYPART_ARC
(14,21),-0.383019 # DEPENDENCYPART_ARC
(14,22),-0.200178 # DEPENDENCYPART_ARC
(14,24),-1.08335 # DEPENDENCYPART_ARC
(14,25),-0.974001 # DEPENDENCYPART_ARC
(14,26),-1.32676 # DEPENDENCYPART_ARC
(14,27),0.159648 # DEPENDENCYPART_ARC
(14,28),-1.69312 # DEPENDENCYPART_ARC
(14,29),-1.413 # DEPENDENCYPART_ARC
(14,30),-1.55441 # DEPENDENCYPART_ARC
(14,31),1.8262 # DEPENDENCYPART_ARC
(15,2),-2.07866 # DEPENDENCYPART_ARC
(15,6),-2.33113 # DEPENDENCYPART_ARC
(15,8),-1.01747 # DEPENDENCYPART_ARC
(15,9),-0.697594 # DEPENDENCYPART_ARC
(15,10),-1.47859 # DEPENDENCYPART_ARC
(15,11),-1.02321 # DEPENDENCYPART_ARC
(15,12),-0.471789 # DEPENDENCYPART_ARC
(15,13),-0.80349 # DEPENDENCYPART_ARC
(15,16),0.465529 # DEPENDENCYPART_ARC
(15,19),-0.0511487 # DEPENDENCYPART_ARC
(15,20),-1.96311 # DEPENDENCYPART_ARC
(15,23),-2.39364 # DEPENDENCYPART_ARC
(15,24),-2.79227 # DEPENDENCYPART_ARC
(15,25),-1.67561 # DEPENDENCYPART_ARC
(15,26),-3.69741 # DEPENDENCYPART_ARC
(15,28),-1.93923 # DEPENDENCYPART_ARC
(16,2),-2.45376 # DEPENDENCYPART_ARC
(16,3),-3.21737 # DEPENDENCYPART_ARC
(16,4),-1.566 # DEPENDENCYPART_ARC
(16,5),-2.04743 # DEPENDENCYPART_ARC
(16,6),-3.06365 # DEPENDENCYPART_ARC
(16,8),-1.73704 # DEPENDENCYPART_ARC
(16,9),-3.58158 # DEPENDENCYPART_ARC
(16,10),-3.26538 # DEPENDENCYPART_ARC
(16,11),-3.00791 # DEPENDENCYPART_ARC
(16,13),-2.29109 # DEPENDENCYPART_ARC
(16,14),-0.544887 # DEPENDENCYPART_ARC
(16,15),-0.61142 # DEPENDENCYPART_ARC
(16,17),0.235626 # DEPENDENCYPART_ARC
(16,18),-1.14184 # DEPENDENCYPART_ARC
(16,19),-2.28181 # DEPENDENCYPART_ARC
(16,22),-2.26053 # DEPENDENCYPART_ARC
(16,24),-2.93648 # DEPENDENCYPART_ARC
(16,25),-1.77949 # DEPENDENCYPART_ARC
(16,26),-2.72444 # DEPENDENCYPART_ARC
(16,27),-1.78731 # DEPENDENCYPART_ARC
(16,29),-3.08526 # DEPENDENCYPART_ARC
(16,30),-3.71472 # DEPENDENCYPART_ARC
(17,1),-3.82552 # DEPENDENCYPART_ARC
(17,2),-3.36148 # DEPENDENCYPART_ARC
(17,3),-3.83637 # DEPENDENCYPART_ARC
(17,4),-0.0853779 # DEPENDENCYPART_ARC
(17,5),-1.35702 # DEPENDENCYPART_ARC
(17,6),-1.93343 # DEPENDENCYPART_ARC
(17,7),-0.0624852 # DEPENDENCYPART_ARC
(17,8),-0.82096 # DEPENDENCYPART_ARC
(17,10),-1.78409 # DEPENDENCYPART_ARC
(17,11),-1.90993 # DEPENDENCYPART_ARC
(17,12),-1.16419 # DEPENDENCYPART_ARC
(17,13),-1.70124 # DEPENDENCYPART_ARC
(17,14),-0.294101 # DEPENDENCYPART_ARC
(17,15),0.599151 # DEPENDENCYPART_ARC
(17,16),2.25545 # DEPENDENCYPART_ARC
(17,18),2.22987 # DEPENDENCYPART_ARC
(17,19),-3.28094 # DEPENDENCYPART_ARC
(17,20),0.144559 # DEPENDENCYPART_ARC
(17,21),0.457998 # DEPENDENCYPART_ARC
(17,22),-1.18902 # DEPENDENCYPART_ARC
(17,23),-4.58859 # DEPENDENCYPART_ARC
(17,24),-0.975114 # DEPENDENCYPART_ARC
(17,25),-2.12407 # DEPENDENCYPART_ARC
(17,26),-1.82109 # DEPENDENCYPART_ARC
(17,27),-2.71246 # DEPENDENCYPART_ARC
(17,28),-2.06754 # DEPENDENCYPART_ARC
(17,29),-1.6968 # DEPENDENCYPART_ARC
(17,30),-1.43608 # DEPENDENCYPART_ARC
(17,31),1.95126 # DEPENDENCYPART_ARC
(18,1),-0.202382 # DEPENDENCYPART_ARC
(18,2),-1.1056 # DEPENDENCYPART_ARC
(18,3),-2.33652 # DEPENDENCYPART_ARC
(18,4),2.43606 # DEPENDENCYPART_ARC
(18,5),1.0574 # DEPENDENCYPART_ARC
(18,6),-0.166942 # DEPENDENCYPART_ARC
(18,7),1.70242 # DEPENDENCYPART_ARC
(18,8),1.33395 # DEPENDENCYPART_ARC
(18,10),0.085091 # DEPENDENCYPART_ARC
(18,11),0.0317359 # DEPENDENCYPART_ARC
(18,12),0.365415 # DEPENDENCYPART_ARC
(18,13),0.282341 # DEPENDENCYPART_ARC
(18,14),1.90128 # DEPENDENCYPART_ARC
(18,15),2.44814 # DEPENDENCYPART_ARC
(18,16),4.14827 # DEPENDENCYPART_ARC
(18,17),5.69567 # DEPENDENCYPART_ARC
(18,19),-0.763291 # DEPENDENCYPART_ARC
(18,20),2.79207 # DEPENDENCYPART_ARC
(18,21),1.71062 # DEPENDENCYPART_ARC
(18,22),0.984148 # DEPENDENCYPART_ARC
(18,23),-2.72455 # DEPENDENCYPART_ARC
(18,24),0.565462 # DEPENDENCYPART_ARC
(18,25),-0.465417 # DEPENDENCYPART_ARC
(18,26),-0.0191024 # DEPENDENCYPART_ARC
(18,27),-1.11114 # DEPENDENCYPART_ARC
(18,28),-1.55975 # DEPENDENCYPART_ARC
(18,29),0.963938 # DEPENDENCYPART_ARC
(18,30),0.00831919 # DEPENDENCYPART_ARC
(18,31),2.45094 # DEPENDENCYPART_ARC
(19,2),-2.98704 # DEPENDENCYPART_ARC
(19,6),-3.27838 # DEPENDENCYPART_ARC
(19,8),-2.22472 # DEPENDENCYPART_ARC
(19,9),-2.10316 # DEPENDENCYPART_ARC
(19,10),-2.66588 # DEPENDENCYPART_ARC
(19,11),-2.27219 # DEPENDENCYPART_ARC
(19,12),-1.95932 # DEPENDENCYPART_ARC
(19,13),-2.79087 # DEPENDENCYPART_ARC
(19,15),-0.932814 # DEPENDENCYPART_ARC
(19,16),-2.11381 # DEPENDENCYPART_ARC
(19,20),-0.449995 # DEPENDENCYPART_ARC
(19,23),-2.45177 # DEPENDENCYPART_ARC
(19,24),-2.45732 # DEPENDENCYPART_ARC
(19,25),-2.64883 # DEPENDENCYPART_ARC
(19,26),-4.62805 # DEPENDENCYPART_ARC
(19,28),-3.14306 # DEPENDENCYPART_ARC
(20,1),-2.30572 # DEPENDENCYPART_ARC
(20,2),-1.68855 # DEPENDENCYPART_ARC
(20,3),-2.15583 # DEPENDENCYPART_ARC
(20,4),0.0986636 # DEPENDENCYPART_ARC
(20,5),-1.91791 # DEPENDENCYPART_ARC
(20,6),-2.98285 # DEPENDENCYPART_ARC
(20,7),-0.520476 # DEPENDENCYPART_ARC
