# _root_ Boff va ser condemnat pel Vaticà , l' any_1985 , a un any de silenci i va tornar a ser amonestat posteriorment pel contingut dels seus escrits .
#goldHeads=4,4,4,0,4,5,9,9,4,9,4,13,11,13,14,4,21,21,21,21,4,21,21,23,24,27,25,4,
#predictedHeads=4,4,4,0,4,5,9,9,4,11,4,13,11,13,14,4,21,20,21,21,4,21,21,23,24,27,25,4,
(1,16),-1.67949 # DEPENDENCYPART_ARC
(1,17),-5.61957 # DEPENDENCYPART_ARC
(1,18),-5.21274 # DEPENDENCYPART_ARC
(1,19),-3.04616 # DEPENDENCYPART_ARC
(1,20),-5.66642 # DEPENDENCYPART_ARC
(1,21),-6.80153 # DEPENDENCYPART_ARC
(1,22),-2.17089 # DEPENDENCYPART_ARC
(1,23),-3.97808 # DEPENDENCYPART_ARC
(1,24),-3.26496 # DEPENDENCYPART_ARC
(1,25),-6.15557 # DEPENDENCYPART_ARC
(1,26),-3.45263 # DEPENDENCYPART_ARC
(1,27),-3.30355 # DEPENDENCYPART_ARC
(1,28),0.923636 # DEPENDENCYPART_ARC
(2,1),0.124236 # DEPENDENCYPART_ARC
(2,3),-0.0705714 # DEPENDENCYPART_ARC
(2,4),-0.819553 # DEPENDENCYPART_ARC
(2,5),-0.0400293 # DEPENDENCYPART_ARC
(2,6),-1.0095 # DEPENDENCYPART_ARC
(2,7),-0.818743 # DEPENDENCYPART_ARC
(2,8),-3.74853 # DEPENDENCYPART_ARC
(2,9),-1.12036 # DEPENDENCYPART_ARC
(2,10),-1.61609 # DEPENDENCYPART_ARC
(2,11),-0.681146 # DEPENDENCYPART_ARC
(2,12),-4.86236 # DEPENDENCYPART_ARC
(2,13),-2.41108 # DEPENDENCYPART_ARC
(2,14),-2.17215 # DEPENDENCYPART_ARC
(2,15),-1.90899 # DEPENDENCYPART_ARC
(2,16),-0.388247 # DEPENDENCYPART_ARC
(2,17),-2.80032 # DEPENDENCYPART_ARC
(2,18),-2.98721 # DEPENDENCYPART_ARC
(2,19),-1.84865 # DEPENDENCYPART_ARC
(2,20),-2.72227 # DEPENDENCYPART_ARC
(2,21),-2.9481 # DEPENDENCYPART_ARC
(2,22),-3.19768 # DEPENDENCYPART_ARC
(2,23),-3.10233 # DEPENDENCYPART_ARC
(2,24),-2.25916 # DEPENDENCYPART_ARC
(2,25),-5.25436 # DEPENDENCYPART_ARC
(2,26),-4.66599 # DEPENDENCYPART_ARC
(2,27),-2.16342 # DEPENDENCYPART_ARC
(2,28),0.520673 # DEPENDENCYPART_ARC
(3,1),1.72083 # DEPENDENCYPART_ARC
(3,2),3.91818 # DEPENDENCYPART_ARC
(3,4),1.9855 # DEPENDENCYPART_ARC
(3,5),1.15788 # DEPENDENCYPART_ARC
(3,6),-0.186252 # DEPENDENCYPART_ARC
(3,7),0.0209297 # DEPENDENCYPART_ARC
(3,8),-2.6689 # DEPENDENCYPART_ARC
(3,9),0.200882 # DEPENDENCYPART_ARC
(3,10),-0.673529 # DEPENDENCYPART_ARC
(3,11),-0.038472 # DEPENDENCYPART_ARC
(3,12),-3.14042 # DEPENDENCYPART_ARC
(3,13),-1.1623 # DEPENDENCYPART_ARC
(3,14),-1.60737 # DEPENDENCYPART_ARC
(3,15),-0.457184 # DEPENDENCYPART_ARC
(3,16),1.22194 # DEPENDENCYPART_ARC
(3,17),-1.12982 # DEPENDENCYPART_ARC
(3,18),-0.88723 # DEPENDENCYPART_ARC
(3,19),-0.699609 # DEPENDENCYPART_ARC
(3,20),0.0731178 # DEPENDENCYPART_ARC
(3,21),-0.770273 # DEPENDENCYPART_ARC
(3,22),-1.96216 # DEPENDENCYPART_ARC
(3,23),-1.19764 # DEPENDENCYPART_ARC
(3,24),-1.32826 # DEPENDENCYPART_ARC
(3,25),-3.34155 # DEPENDENCYPART_ARC
(3,26),-3.07108 # DEPENDENCYPART_ARC
(3,27),-0.73169 # DEPENDENCYPART_ARC
(3,28),3.31221 # DEPENDENCYPART_ARC
(4,1),3.29427 # DEPENDENCYPART_ARC
(4,2),6.36576 # DEPENDENCYPART_ARC
(4,3),5.55872 # DEPENDENCYPART_ARC
(4,5),3.75979 # DEPENDENCYPART_ARC
(4,6),2.67027 # DEPENDENCYPART_ARC
(4,7),0.793819 # DEPENDENCYPART_ARC
(4,8),-1.38584 # DEPENDENCYPART_ARC
(4,9),2.06051 # DEPENDENCYPART_ARC
(4,10),0.279922 # DEPENDENCYPART_ARC
(4,11),1.69562 # DEPENDENCYPART_ARC
(4,12),-2.30167 # DEPENDENCYPART_ARC
(4,13),0.502729 # DEPENDENCYPART_ARC
(4,14),0.243536 # DEPENDENCYPART_ARC
(4,15),0.813121 # DEPENDENCYPART_ARC
(4,16),2.44146 # DEPENDENCYPART_ARC
(4,17),0.685625 # DEPENDENCYPART_ARC
(4,18),0.128894 # DEPENDENCYPART_ARC
(4,19),0.731486 # DEPENDENCYPART_ARC
(4,20),-0.259254 # DEPENDENCYPART_ARC
(4,21),0.678855 # DEPENDENCYPART_ARC
(4,22),-1.01912 # DEPENDENCYPART_ARC
(4,23),0.107474 # DEPENDENCYPART_ARC
(4,24),-0.0139673 # DEPENDENCYPART_ARC
(4,25),-2.52262 # DEPENDENCYPART_ARC
(4,26),-1.98262 # DEPENDENCYPART_ARC
(4,27),1.58864 # DEPENDENCYPART_ARC
(4,28),6.02672 # DEPENDENCYPART_ARC
(5,1),-2.39379 # DEPENDENCYPART_ARC
(5,2),-2.47714 # DEPENDENCYPART_ARC
(5,3),-1.20143 # DEPENDENCYPART_ARC
(5,4),-1.56025 # DEPENDENCYPART_ARC
(5,6),5.17944 # DEPENDENCYPART_ARC
(5,7),0.421105 # DEPENDENCYPART_ARC
(5,8),-0.797027 # DEPENDENCYPART_ARC
(5,9),-0.1719 # DEPENDENCYPART_ARC
(5,10),0.343521 # DEPENDENCYPART_ARC
(5,11),-0.76804 # DEPENDENCYPART_ARC
(5,12),-2.44191 # DEPENDENCYPART_ARC
(5,13),-2.85198 # DEPENDENCYPART_ARC
(5,14),-1.44811 # DEPENDENCYPART_ARC
(5,15),-2.79055 # DEPENDENCYPART_ARC
(5,16),-0.250013 # DEPENDENCYPART_ARC
(5,17),-1.86825 # DEPENDENCYPART_ARC
(5,18),-1.94336 # DEPENDENCYPART_ARC
(5,19),-2.36252 # DEPENDENCYPART_ARC
(5,20),-2.83729 # DEPENDENCYPART_ARC
(5,21),-3.19726 # DEPENDENCYPART_ARC
(5,22),-1.32324 # DEPENDENCYPART_ARC
(5,23),0.401868 # DEPENDENCYPART_ARC
(5,24),-5.60016 # DEPENDENCYPART_ARC
(5,25),-2.17253 # DEPENDENCYPART_ARC
(5,26),-3.27847 # DEPENDENCYPART_ARC
(5,27),-7.52258 # DEPENDENCYPART_ARC
(5,28),0.222498 # DEPENDENCYPART_ARC
(6,1),-2.87499 # DEPENDENCYPART_ARC
(6,2),-3.02259 # DEPENDENCYPART_ARC
(6,3),-2.56704 # DEPENDENCYPART_ARC
(6,4),-1.38771 # DEPENDENCYPART_ARC
(6,5),0.0775247 # DEPENDENCYPART_ARC
(6,7),1.1624 # DEPENDENCYPART_ARC
(6,8),0.288739 # DEPENDENCYPART_ARC
(6,9),0.221896 # DEPENDENCYPART_ARC
(6,10),0.545209 # DEPENDENCYPART_ARC
(6,11),0.422817 # DEPENDENCYPART_ARC
(6,12),-0.527989 # DEPENDENCYPART_ARC
(6,13),-0.0374745 # DEPENDENCYPART_ARC
(6,14),0.584221 # DEPENDENCYPART_ARC
(6,15),0.608486 # DEPENDENCYPART_ARC
(6,16),0.897548 # DEPENDENCYPART_ARC
(6,17),-0.978038 # DEPENDENCYPART_ARC
(6,18),-1.08352 # DEPENDENCYPART_ARC
(6,19),-1.87255 # DEPENDENCYPART_ARC
(6,20),-2.13628 # DEPENDENCYPART_ARC
(6,21),-3.47435 # DEPENDENCYPART_ARC
(6,22),-1.22861 # DEPENDENCYPART_ARC
(6,23),-2.43334 # DEPENDENCYPART_ARC
(6,24),-1.53831 # DEPENDENCYPART_ARC
(6,25),-3.58049 # DEPENDENCYPART_ARC
(6,26),-2.34087 # DEPENDENCYPART_ARC
(6,27),-1.50856 # DEPENDENCYPART_ARC
(6,28),0.710742 # DEPENDENCYPART_ARC
(7,1),-3.51769 # DEPENDENCYPART_ARC
(7,2),-3.17719 # DEPENDENCYPART_ARC
(7,3),-2.93478 # DEPENDENCYPART_ARC
(7,4),-2.48611 # DEPENDENCYPART_ARC
(7,5),-1.43996 # DEPENDENCYPART_ARC
(7,6),-1.48048 # DEPENDENCYPART_ARC
(7,8),-0.980073 # DEPENDENCYPART_ARC
(7,9),-0.715715 # DEPENDENCYPART_ARC
(7,10),-0.683952 # DEPENDENCYPART_ARC
(7,11),-1.66269 # DEPENDENCYPART_ARC
(7,12),-2.25626 # DEPENDENCYPART_ARC
(7,13),-1.69403 # DEPENDENCYPART_ARC
(7,14),-1.68782 # DEPENDENCYPART_ARC
(7,15),-1.91349 # DEPENDENCYPART_ARC
(7,16),-0.39204 # DEPENDENCYPART_ARC
(7,17),-1.39531 # DEPENDENCYPART_ARC
(7,18),-1.78707 # DEPENDENCYPART_ARC
(7,19),-2.17131 # DEPENDENCYPART_ARC
(7,20),-1.93599 # DEPENDENCYPART_ARC
(7,21),-2.02664 # DEPENDENCYPART_ARC
(7,22),-2.30755 # DEPENDENCYPART_ARC
(7,23),-2.12576 # DEPENDENCYPART_ARC
(7,24),-2.27853 # DEPENDENCYPART_ARC
(7,25),-2.17242 # DEPENDENCYPART_ARC
(7,26),-2.92468 # DEPENDENCYPART_ARC
(7,27),-2.49701 # DEPENDENCYPART_ARC
(7,28),-1.98451 # DEPENDENCYPART_ARC
(8,1),-2.90335 # DEPENDENCYPART_ARC
(8,2),-2.05752 # DEPENDENCYPART_ARC
(8,3),-2.87318 # DEPENDENCYPART_ARC
(8,4),-2.41829 # DEPENDENCYPART_ARC
(8,5),-1.31557 # DEPENDENCYPART_ARC
(8,6),-1.29811 # DEPENDENCYPART_ARC
(8,7),-0.122136 # DEPENDENCYPART_ARC
(8,9),0.860872 # DEPENDENCYPART_ARC
(8,10),-0.758083 # DEPENDENCYPART_ARC
(8,11),-1.66176 # DEPENDENCYPART_ARC
(8,12),-0.0147377 # DEPENDENCYPART_ARC
(8,13),-2.24457 # DEPENDENCYPART_ARC
(8,14),-2.02971 # DEPENDENCYPART_ARC
(8,15),-3.15226 # DEPENDENCYPART_ARC
(8,16),-1.92056 # DEPENDENCYPART_ARC
(8,17),-2.54152 # DEPENDENCYPART_ARC
(8,18),-2.51008 # DEPENDENCYPART_ARC
(8,19),-4.14771 # DEPENDENCYPART_ARC
(8,20),-2.79238 # DEPENDENCYPART_ARC
(8,21),-2.98818 # DEPENDENCYPART_ARC
(8,22),-2.64405 # DEPENDENCYPART_ARC
(8,23),-4.38935 # DEPENDENCYPART_ARC
(8,24),-3.78459 # DEPENDENCYPART_ARC
(8,25),-4.43014 # DEPENDENCYPART_ARC
(8,26),-3.8681 # DEPENDENCYPART_ARC
(8,27),-5.11799 # DEPENDENCYPART_ARC
(8,28),-3.22373 # DEPENDENCYPART_ARC
(9,1),-1.67702 # DEPENDENCYPART_ARC
(9,2),-1.40389 # DEPENDENCYPART_ARC
(9,3),-1.35452 # DEPENDENCYPART_ARC
(9,4),-0.937509 # DEPENDENCYPART_ARC
(9,5),0.749915 # DEPENDENCYPART_ARC
(9,6),-0.432449 # DEPENDENCYPART_ARC
(9,7),2.41152 # DEPENDENCYPART_ARC
(9,8),4.17065 # DEPENDENCYPART_ARC
(9,10),1.47193 # DEPENDENCYPART_ARC
(9,11),0.318074 # DEPENDENCYPART_ARC
(9,12),-0.23799 # DEPENDENCYPART_ARC
(9,13),0.738097 # DEPENDENCYPART_ARC
(9,14),-0.319587 # DEPENDENCYPART_ARC
(9,15),-0.318737 # DEPENDENCYPART_ARC
(9,16),0.315685 # DEPENDENCYPART_ARC
(9,17),-0.103564 # DEPENDENCYPART_ARC
(9,18),-0.6084 # DEPENDENCYPART_ARC
(9,19),-1.09193 # DEPENDENCYPART_ARC
(9,20),-0.942154 # DEPENDENCYPART_ARC
(9,21),-0.912054 # DEPENDENCYPART_ARC
(9,22),-1.2863 # DEPENDENCYPART_ARC
(9,23),-1.29462 # DEPENDENCYPART_ARC
(9,24),-0.389266 # DEPENDENCYPART_ARC
(9,25),-1.4333 # DEPENDENCYPART_ARC
(9,26),-1.46663 # DEPENDENCYPART_ARC
(9,27),-1.06973 # DEPENDENCYPART_ARC
(9,28),-0.480963 # DEPENDENCYPART_ARC
(10,1),-3.48406 # DEPENDENCYPART_ARC
(10,2),-3.21059 # DEPENDENCYPART_ARC
(10,3),-3.12757 # DEPENDENCYPART_ARC
(10,4),-2.83731 # DEPENDENCYPART_ARC
(10,5),-1.89836 # DEPENDENCYPART_ARC
(10,6),-2.56957 # DEPENDENCYPART_ARC
(10,7),-1.41117 # DEPENDENCYPART_ARC
(10,8),-1.03136 # DEPENDENCYPART_ARC
(10,9),-0.760866 # DEPENDENCYPART_ARC
(10,11),-0.820936 # DEPENDENCYPART_ARC
(10,12),-1.51302 # DEPENDENCYPART_ARC
(10,13),-1.33904 # DEPENDENCYPART_ARC
(10,14),-1.58123 # DEPENDENCYPART_ARC
(10,15),-1.72821 # DEPENDENCYPART_ARC
(10,16),-0.352982 # DEPENDENCYPART_ARC
(10,17),-1.19102 # DEPENDENCYPART_ARC
(10,18),-1.67967 # DEPENDENCYPART_ARC
(10,19),-1.99819 # DEPENDENCYPART_ARC
(10,20),-1.7825 # DEPENDENCYPART_ARC
(10,21),-1.83273 # DEPENDENCYPART_ARC
(10,22),-2.16178 # DEPENDENCYPART_ARC
(10,23),-2.0475 # DEPENDENCYPART_ARC
(10,24),-2.23884 # DEPENDENCYPART_ARC
(10,25),-2.09243 # DEPENDENCYPART_ARC
(10,26),-2.69402 # DEPENDENCYPART_ARC
(10,27),-2.3179 # DEPENDENCYPART_ARC
(10,28),-1.7786 # DEPENDENCYPART_ARC
(11,1),-2.88884 # DEPENDENCYPART_ARC
(11,2),-1.21539 # DEPENDENCYPART_ARC
(11,3),-1.36486 # DEPENDENCYPART_ARC
(11,4),-1.83112 # DEPENDENCYPART_ARC
(11,5),-1.08004 # DEPENDENCYPART_ARC
(11,6),-2.16783 # DEPENDENCYPART_ARC
(11,7),0.162916 # DEPENDENCYPART_ARC
(11,8),-0.271981 # DEPENDENCYPART_ARC
(11,9),-0.212727 # DEPENDENCYPART_ARC
(11,10),2.08911 # DEPENDENCYPART_ARC
(11,12),0.337133 # DEPENDENCYPART_ARC
(11,13),4.11309 # DEPENDENCYPART_ARC
(11,14),-0.315113 # DEPENDENCYPART_ARC
(11,15),1.22838 # DEPENDENCYPART_ARC
(11,16),0.65651 # DEPENDENCYPART_ARC
(11,17),-0.95145 # DEPENDENCYPART_ARC
(11,18),-1.00724 # DEPENDENCYPART_ARC
(11,19),0.578585 # DEPENDENCYPART_ARC
(11,20),-1.94234 # DEPENDENCYPART_ARC
(11,21),-2.10252 # DEPENDENCYPART_ARC
(11,22),-0.658559 # DEPENDENCYPART_ARC
(11,23),-0.106574 # DEPENDENCYPART_ARC
(11,24),-2.28737 # DEPENDENCYPART_ARC
(11,25),-1.03389 # DEPENDENCYPART_ARC
(11,26),-2.30524 # DEPENDENCYPART_ARC
(11,27),-2.7471 # DEPENDENCYPART_ARC
(11,28),1.21617 # DEPENDENCYPART_ARC
(12,1),-2.73549 # DEPENDENCYPART_ARC
(12,2),-3.25007 # DEPENDENCYPART_ARC
(12,3),-3.10252 # DEPENDENCYPART_ARC
(12,4),-3.51818 # DEPENDENCYPART_ARC
(12,5),-1.48207 # DEPENDENCYPART_ARC
(12,6),-1.90656 # DEPENDENCYPART_ARC
(12,7),-1.23519 # DEPENDENCYPART_ARC
(12,8),-2.04948 # DEPENDENCYPART_ARC
(12,9),-1.16954 # DEPENDENCYPART_ARC
(12,10),-0.290671 # DEPENDENCYPART_ARC
(12,11),0.763819 # DEPENDENCYPART_ARC
(12,13),3.34008 # DEPENDENCYPART_ARC
(12,14),1.46192 # DEPENDENCYPART_ARC
(12,15),-0.606443 # DEPENDENCYPART_ARC
(12,16),-1.28602 # DEPENDENCYPART_ARC
(12,17),-1.72193 # DEPENDENCYPART_ARC
(12,18),-1.92762 # DEPENDENCYPART_ARC
(12,19),-3.08593 # DEPENDENCYPART_ARC
(12,20),-2.28223 # DEPENDENCYPART_ARC
(12,21),-2.60518 # DEPENDENCYPART_ARC
(12,22),-1.86715 # DEPENDENCYPART_ARC
(12,23),-2.94103 # DEPENDENCYPART_ARC
(12,24),-1.98418 # DEPENDENCYPART_ARC
(12,25),-4.04127 # DEPENDENCYPART_ARC
(12,26),-1.76452 # DEPENDENCYPART_ARC
(12,27),-3.6704 # DEPENDENCYPART_ARC
(12,28),-3.86824 # DEPENDENCYPART_ARC
(13,1),-2.12325 # DEPENDENCYPART_ARC
(13,2),-1.26009 # DEPENDENCYPART_ARC
(13,3),-1.13793 # DEPENDENCYPART_ARC
(13,4),-1.40553 # DEPENDENCYPART_ARC
(13,5),-1.16837 # DEPENDENCYPART_ARC
(13,6),-1.02047 # DEPENDENCYPART_ARC
(13,7),0.433915 # DEPENDENCYPART_ARC
(13,8),0.921642 # DEPENDENCYPART_ARC
(13,9),-0.60767 # DEPENDENCYPART_ARC
(13,10),0.858373 # DEPENDENCYPART_ARC
(13,11),1.55514 # DEPENDENCYPART_ARC
(13,12),4.50609 # DEPENDENCYPART_ARC
(13,14),3.16714 # DEPENDENCYPART_ARC
(13,15),0.710455 # DEPENDENCYPART_ARC
(13,16),0.882388 # DEPENDENCYPART_ARC
(13,17),-0.479708 # DEPENDENCYPART_ARC
(13,18),-0.78135 # DEPENDENCYPART_ARC
(13,19),-0.886269 # DEPENDENCYPART_ARC
(13,20),-2.33433 # DEPENDENCYPART_ARC
(13,21),-2.81575 # DEPENDENCYPART_ARC
(13,22),-0.375616 # DEPENDENCYPART_ARC
(13,23),-2.11969 # DEPENDENCYPART_ARC
(13,24),-1.89887 # DEPENDENCYPART_ARC
(13,25),-1.92156 # DEPENDENCYPART_ARC
(13,26),-1.24842 # DEPENDENCYPART_ARC
(13,27),-1.55228 # DEPENDENCYPART_ARC
(13,28),1.52116 # DEPENDENCYPART_ARC
(14,1),-2.85387 # DEPENDENCYPART_ARC
(14,2),-1.76743 # DEPENDENCYPART_ARC
(14,3),-1.8762 # DEPENDENCYPART_ARC
(14,4),-2.26643 # DEPENDENCYPART_ARC
(14,5),-1.41418 # DEPENDENCYPART_ARC
(14,6),-1.92184 # DEPENDENCYPART_ARC
(14,7),-0.0631707 # DEPENDENCYPART_ARC
(14,8),-1.02142 # DEPENDENCYPART_ARC
(14,9),-1.05365 # DEPENDENCYPART_ARC
(14,10),0.173821 # DEPENDENCYPART_ARC
(14,11),-0.352956 # DEPENDENCYPART_ARC
(14,12),0.872346 # DEPENDENCYPART_ARC
(14,13),0.549477 # DEPENDENCYPART_ARC
(14,15),3.92094 # DEPENDENCYPART_ARC
(14,16),0.120184 # DEPENDENCYPART_ARC
(14,17),-1.35541 # DEPENDENCYPART_ARC
(14,18),-1.39054 # DEPENDENCYPART_ARC
(14,19),-1.81243 # DEPENDENCYPART_ARC
(14,20),-2.49712 # DEPENDENCYPART_ARC
(14,21),-3.21186 # DEPENDENCYPART_ARC
(14,22),-1.50026 # DEPENDENCYPART_ARC
(14,23),-0.658164 # DEPENDENCYPART_ARC
(14,24),-1.96622 # DEPENDENCYPART_ARC
(14,25),-1.92112 # DEPENDENCYPART_ARC
(14,26),-3.31167 # DEPENDENCYPART_ARC
(14,27),-3.0544 # DEPENDENCYPART_ARC
(14,28),-0.560627 # DEPENDENCYPART_ARC
(15,1),-2.7016 # DEPENDENCYPART_ARC
(15,2),-2.66687 # DEPENDENCYPART_ARC
(15,3),-2.85748 # DEPENDENCYPART_ARC
(15,4),-3.18138 # DEPENDENCYPART_ARC
(15,5),-1.77117 # DEPENDENCYPART_ARC
(15,6),-1.67006 # DEPENDENCYPART_ARC
(15,7),-1.4242 # DEPENDENCYPART_ARC
(15,8),-1.43685 # DEPENDENCYPART_ARC
(15,9),-1.42214 # DEPENDENCYPART_ARC
(15,10),-1.2028 # DEPENDENCYPART_ARC
(15,11),0.0824749 # DEPENDENCYPART_ARC
(15,12),1.55866 # DEPENDENCYPART_ARC
(15,13),-0.286205 # DEPENDENCYPART_ARC
(15,14),1.82725 # DEPENDENCYPART_ARC
(15,16),-0.144675 # DEPENDENCYPART_ARC
(15,17),-0.131082 # DEPENDENCYPART_ARC
(15,18),-0.70004 # DEPENDENCYPART_ARC
(15,19),-1.85531 # DEPENDENCYPART_ARC
(15,20),-1.92171 # DEPENDENCYPART_ARC
(15,21),-2.88023 # DEPENDENCYPART_ARC
(15,22),-1.4393 # DEPENDENCYPART_ARC
(15,23),-2.67239 # DEPENDENCYPART_ARC
(15,24),-2.06045 # DEPENDENCYPART_ARC
(15,25),-2.12344 # DEPENDENCYPART_ARC
(15,26),-1.56241 # DEPENDENCYPART_ARC
(15,27),-2.06973 # DEPENDENCYPART_ARC
(15,28),1.22559 # DEPENDENCYPART_ARC
(16,1),-4.74787 # DEPENDENCYPART_ARC
(16,2),-4.42391 # DEPENDENCYPART_ARC
(16,3),-4.35086 # DEPENDENCYPART_ARC
(16,4),-4.09812 # DEPENDENCYPART_ARC
(16,5),-3.30334 # DEPENDENCYPART_ARC
(16,6),-4.097 # DEPENDENCYPART_ARC
(16,7),-3.63237 # DEPENDENCYPART_ARC
(16,8),-3.78894 # DEPENDENCYPART_ARC
(16,9),-3.30929 # DEPENDENCYPART_ARC
(16,10),-3.30212 # DEPENDENCYPART_ARC
(16,11),-2.67721 # DEPENDENCYPART_ARC
(16,12),-2.94405 # DEPENDENCYPART_ARC
(16,13),-3.19672 # DEPENDENCYPART_ARC
(16,14),-1.87359 # DEPENDENCYPART_ARC
(16,15),-1.86164 # DEPENDENCYPART_ARC
(16,17),-0.637218 # DEPENDENCYPART_ARC
(16,18),-1.84692 # DEPENDENCYPART_ARC
(16,19),-2.49939 # DEPENDENCYPART_ARC
(16,20),-2.53083 # DEPENDENCYPART_ARC
(16,21),-2.88759 # DEPENDENCYPART_ARC
(16,22),-3.78284 # DEPENDENCYPART_ARC
(16,23),-3.14144 # DEPENDENCYPART_ARC
(16,24),-3.58522 # DEPENDENCYPART_ARC
(16,25),-3.43658 # DEPENDENCYPART_ARC
(16,26),-4.50205 # DEPENDENCYPART_ARC
(16,27),-4.007 # DEPENDENCYPART_ARC
(16,28),-2.45082 # DEPENDENCYPART_ARC
(17,1),-3.35207 # DEPENDENCYPART_ARC
(17,2),-3.07078 # DEPENDENCYPART_ARC
(17,3),-3.22931 # DEPENDENCYPART_ARC
(17,4),-4.63096 # DEPENDENCYPART_ARC
(17,5),-3.48303 # DEPENDENCYPART_ARC
(17,6),-3.3856 # DEPENDENCYPART_ARC
(17,7),-3.74925 # DEPENDENCYPART_ARC
(17,8),-4.10421 # DEPENDENCYPART_ARC
(17,9),-2.87481 # DEPENDENCYPART_ARC
(17,10),-3.03975 # DEPENDENCYPART_ARC
(17,11),-2.23568 # DEPENDENCYPART_ARC
(17,12),-3.86617 # DEPENDENCYPART_ARC
(17,13),-2.36185 # DEPENDENCYPART_ARC
(17,14),-2.48849 # DEPENDENCYPART_ARC
(17,15),-1.88829 # DEPENDENCYPART_ARC
(17,16),-1.57419 # DEPENDENCYPART_ARC
(17,18),0.295741 # DEPENDENCYPART_ARC
(17,19),1.29035 # DEPENDENCYPART_ARC
(17,20),-2.02013 # DEPENDENCYPART_ARC
(17,21),-2.05536 # DEPENDENCYPART_ARC
(17,22),-1.6638 # DEPENDENCYPART_ARC
(17,23),-1.22881 # DEPENDENCYPART_ARC
(17,24),-2.15627 # DEPENDENCYPART_ARC
(17,25),-2.55671 # DEPENDENCYPART_ARC
(17,26),-4.7878 # DEPENDENCYPART_ARC
(17,27),-1.94106 # DEPENDENCYPART_ARC
(17,28),-0.484482 # DEPENDENCYPART_ARC
(18,1),-1.53885 # DEPENDENCYPART_ARC
(18,2),-0.848205 # DEPENDENCYPART_ARC
(18,3),-1.44482 # DEPENDENCYPART_ARC
(18,4),-2.88928 # DEPENDENCYPART_ARC
(18,5),-2.0575 # DEPENDENCYPART_ARC
(18,6),-2.00212 # DEPENDENCYPART_ARC
(18,7),-3.19243 # DEPENDENCYPART_ARC
(18,8),-2.46521 # DEPENDENCYPART_ARC
(18,9),-1.45398 # DEPENDENCYPART_ARC
(18,10),-2.38455 # DEPENDENCYPART_ARC
(18,11),-0.927284 # DEPENDENCYPART_ARC
(18,12),-2.61791 # DEPENDENCYPART_ARC
(18,13),-0.867559 # DEPENDENCYPART_ARC
(18,14),-1.95006 # DEPENDENCYPART_ARC
(18,15),-0.870888 # DEPENDENCYPART_ARC
(18,16),-0.0457027 # DEPENDENCYPART_ARC
(18,17),4.1995 # DEPENDENCYPART_ARC
(18,19),2.86577 # DEPENDENCYPART_ARC
(18,20),0.600149 # DEPENDENCYPART_ARC
