# _root_ Aquesta primera edició de la Fira tindrà com_a escenari el municipi de l' Estany , però com en el cas de la Festa serà itinerant pels 10 municipis del Moianès , i se celebrarà sempre el primer cap de setmana de juny .
#goldHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,11,7,24,17,20,18,20,23,21,7,24,24,28,26,28,29,26,24,34,24,34,38,38,34,38,39,38,41,7,
#predictedHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,7,7,24,24,20,18,20,23,21,7,24,25,28,26,28,29,24,7,34,24,34,38,38,34,38,39,38,41,7,
(8,4),-1.58545 # DEPENDENCYPART_ARC
(8,5),-0.405975 # DEPENDENCYPART_ARC
(8,6),-1.44201 # DEPENDENCYPART_ARC
(8,7),0.297103 # DEPENDENCYPART_ARC
(8,9),5.15264 # DEPENDENCYPART_ARC
(8,10),-1.22995 # DEPENDENCYPART_ARC
(8,11),-0.308483 # DEPENDENCYPART_ARC
(8,12),-1.12536 # DEPENDENCYPART_ARC
(8,13),-1.92966 # DEPENDENCYPART_ARC
(8,14),-2.51542 # DEPENDENCYPART_ARC
(8,15),-0.39128 # DEPENDENCYPART_ARC
(8,16),-0.679817 # DEPENDENCYPART_ARC
(8,17),0.289072 # DEPENDENCYPART_ARC
(8,18),-0.697827 # DEPENDENCYPART_ARC
(8,19),-2.87536 # DEPENDENCYPART_ARC
(8,20),-5.77411 # DEPENDENCYPART_ARC
(8,21),-2.28912 # DEPENDENCYPART_ARC
(8,22),-2.8102 # DEPENDENCYPART_ARC
(8,23),-7.34479 # DEPENDENCYPART_ARC
(8,24),-3.87307 # DEPENDENCYPART_ARC
(8,25),-3.62186 # DEPENDENCYPART_ARC
(8,26),-2.50068 # DEPENDENCYPART_ARC
(8,27),-4.79298 # DEPENDENCYPART_ARC
(8,28),-9.3083 # DEPENDENCYPART_ARC
(8,29),-2.75778 # DEPENDENCYPART_ARC
(8,30),-10.2379 # DEPENDENCYPART_ARC
(8,31),-2.50389 # DEPENDENCYPART_ARC
(8,32),-2.80236 # DEPENDENCYPART_ARC
(8,33),-7.34262 # DEPENDENCYPART_ARC
(8,34),-3.75269 # DEPENDENCYPART_ARC
(8,35),-2.82447 # DEPENDENCYPART_ARC
(8,36),-3.4181 # DEPENDENCYPART_ARC
(8,37),-5.88668 # DEPENDENCYPART_ARC
(8,38),-15.2578 # DEPENDENCYPART_ARC
(8,39),-5.74539 # DEPENDENCYPART_ARC
(8,40),-15.7314 # DEPENDENCYPART_ARC
(8,41),-6.30403 # DEPENDENCYPART_ARC
(8,42),-7.7341 # DEPENDENCYPART_ARC
(8,43),-0.302649 # DEPENDENCYPART_ARC
(9,1),-3.16252 # DEPENDENCYPART_ARC
(9,2),-2.58028 # DEPENDENCYPART_ARC
(9,3),-3.02874 # DEPENDENCYPART_ARC
(9,4),-1.71842 # DEPENDENCYPART_ARC
(9,5),-0.353621 # DEPENDENCYPART_ARC
(9,6),-2.30693 # DEPENDENCYPART_ARC
(9,7),-1.60887 # DEPENDENCYPART_ARC
(9,8),0.260603 # DEPENDENCYPART_ARC
(9,10),0.192518 # DEPENDENCYPART_ARC
(9,11),-0.716366 # DEPENDENCYPART_ARC
(9,12),0.907395 # DEPENDENCYPART_ARC
(9,13),-1.84198 # DEPENDENCYPART_ARC
(9,14),-0.905697 # DEPENDENCYPART_ARC
(9,15),-0.703598 # DEPENDENCYPART_ARC
(9,16),-1.25739 # DEPENDENCYPART_ARC
(9,17),-1.67458 # DEPENDENCYPART_ARC
(9,18),-2.38562 # DEPENDENCYPART_ARC
(9,19),-2.48382 # DEPENDENCYPART_ARC
(9,20),-2.67995 # DEPENDENCYPART_ARC
(9,21),-2.02971 # DEPENDENCYPART_ARC
(9,22),-3.27724 # DEPENDENCYPART_ARC
(9,23),-2.53911 # DEPENDENCYPART_ARC
(9,24),-2.4184 # DEPENDENCYPART_ARC
(9,25),-2.26238 # DEPENDENCYPART_ARC
(9,26),-2.87795 # DEPENDENCYPART_ARC
(9,27),-2.57643 # DEPENDENCYPART_ARC
(9,28),-4.44495 # DEPENDENCYPART_ARC
(9,29),-3.87645 # DEPENDENCYPART_ARC
(9,30),-3.30185 # DEPENDENCYPART_ARC
(9,31),-3.01646 # DEPENDENCYPART_ARC
(9,32),-3.71817 # DEPENDENCYPART_ARC
(9,33),-2.79114 # DEPENDENCYPART_ARC
(9,34),-3.72865 # DEPENDENCYPART_ARC
(9,35),-3.81106 # DEPENDENCYPART_ARC
(9,36),-4.20811 # DEPENDENCYPART_ARC
(9,37),-3.30943 # DEPENDENCYPART_ARC
(9,38),-5.83557 # DEPENDENCYPART_ARC
(9,39),-7.03527 # DEPENDENCYPART_ARC
(9,40),-5.9438 # DEPENDENCYPART_ARC
(9,41),-8.25398 # DEPENDENCYPART_ARC
(9,42),-3.1825 # DEPENDENCYPART_ARC
(9,43),-0.015877 # DEPENDENCYPART_ARC
(10,1),-2.18978 # DEPENDENCYPART_ARC
(10,2),-2.69129 # DEPENDENCYPART_ARC
(10,3),-2.68805 # DEPENDENCYPART_ARC
(10,4),-1.79841 # DEPENDENCYPART_ARC
(10,5),-1.14368 # DEPENDENCYPART_ARC
(10,6),-1.68665 # DEPENDENCYPART_ARC
(10,7),-2.23966 # DEPENDENCYPART_ARC
(10,8),-0.447712 # DEPENDENCYPART_ARC
(10,9),-0.221822 # DEPENDENCYPART_ARC
(10,11),1.23588 # DEPENDENCYPART_ARC
(10,12),0.494127 # DEPENDENCYPART_ARC
(10,13),0.318723 # DEPENDENCYPART_ARC
(10,14),-2.23361 # DEPENDENCYPART_ARC
(10,15),-1.85445 # DEPENDENCYPART_ARC
(10,16),-1.57128 # DEPENDENCYPART_ARC
(10,17),-1.61466 # DEPENDENCYPART_ARC
(10,18),-2.78412 # DEPENDENCYPART_ARC
(10,19),-1.83505 # DEPENDENCYPART_ARC
(10,20),-2.58644 # DEPENDENCYPART_ARC
(10,21),-2.41633 # DEPENDENCYPART_ARC
(10,22),-2.71892 # DEPENDENCYPART_ARC
(10,23),-3.52033 # DEPENDENCYPART_ARC
(10,24),-2.7992 # DEPENDENCYPART_ARC
(10,25),-2.79749 # DEPENDENCYPART_ARC
(10,26),-3.57189 # DEPENDENCYPART_ARC
(10,27),-1.96809 # DEPENDENCYPART_ARC
(10,28),-4.40197 # DEPENDENCYPART_ARC
(10,29),-3.7165 # DEPENDENCYPART_ARC
(10,30),-4.88172 # DEPENDENCYPART_ARC
(10,31),-3.91902 # DEPENDENCYPART_ARC
(10,32),-3.56726 # DEPENDENCYPART_ARC
(10,33),-3.16355 # DEPENDENCYPART_ARC
(10,34),-3.72564 # DEPENDENCYPART_ARC
(10,35),-2.77059 # DEPENDENCYPART_ARC
(10,36),-6.78781 # DEPENDENCYPART_ARC
(10,37),-3.07791 # DEPENDENCYPART_ARC
(10,38),-4.69598 # DEPENDENCYPART_ARC
(10,39),-4.90167 # DEPENDENCYPART_ARC
(10,40),-4.87715 # DEPENDENCYPART_ARC
(10,41),-5.72906 # DEPENDENCYPART_ARC
(10,42),-3.4212 # DEPENDENCYPART_ARC
(10,43),-4.1917 # DEPENDENCYPART_ARC
(11,1),-2.20043 # DEPENDENCYPART_ARC
(11,2),-1.35694 # DEPENDENCYPART_ARC
(11,3),-1.5879 # DEPENDENCYPART_ARC
(11,4),-0.390219 # DEPENDENCYPART_ARC
(11,5),-0.223342 # DEPENDENCYPART_ARC
(11,6),-1.2422 # DEPENDENCYPART_ARC
(11,7),-0.794729 # DEPENDENCYPART_ARC
(11,8),0.601045 # DEPENDENCYPART_ARC
(11,9),0.677876 # DEPENDENCYPART_ARC
(11,10),4.87944 # DEPENDENCYPART_ARC
(11,12),3.18598 # DEPENDENCYPART_ARC
(11,13),-0.311585 # DEPENDENCYPART_ARC
(11,14),1.3074 # DEPENDENCYPART_ARC
(11,15),0.937012 # DEPENDENCYPART_ARC
(11,16),0.272404 # DEPENDENCYPART_ARC
(11,17),-0.387917 # DEPENDENCYPART_ARC
(11,18),-1.09665 # DEPENDENCYPART_ARC
(11,19),-1.51963 # DEPENDENCYPART_ARC
(11,20),0.218281 # DEPENDENCYPART_ARC
(11,21),0.191119 # DEPENDENCYPART_ARC
(11,22),-2.29358 # DEPENDENCYPART_ARC
(11,23),-0.044376 # DEPENDENCYPART_ARC
(11,24),-0.957069 # DEPENDENCYPART_ARC
(11,25),-0.944719 # DEPENDENCYPART_ARC
(11,26),-0.851719 # DEPENDENCYPART_ARC
(11,27),-1.578 # DEPENDENCYPART_ARC
(11,28),-1.84924 # DEPENDENCYPART_ARC
(11,29),-1.86205 # DEPENDENCYPART_ARC
(11,30),-1.81432 # DEPENDENCYPART_ARC
(11,31),-0.943408 # DEPENDENCYPART_ARC
(11,32),-2.65063 # DEPENDENCYPART_ARC
(11,33),-1.07677 # DEPENDENCYPART_ARC
(11,34),-1.63929 # DEPENDENCYPART_ARC
(11,35),-2.48387 # DEPENDENCYPART_ARC
(11,36),-3.17781 # DEPENDENCYPART_ARC
(11,37),-2.13837 # DEPENDENCYPART_ARC
