# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,8,16,16,3,16,17,18,19,3,
(7,3),-2.54164 # DEPENDENCYPART_ARC
(7,4),-1.82756 # DEPENDENCYPART_ARC
(7,5),-1.0597 # DEPENDENCYPART_ARC
(7,6),-1.35195 # DEPENDENCYPART_ARC
(7,8),-0.757459 # DEPENDENCYPART_ARC
(7,9),-0.997077 # DEPENDENCYPART_ARC
(7,10),-0.584074 # DEPENDENCYPART_ARC
(7,11),-1.29657 # DEPENDENCYPART_ARC
(7,12),-1.70622 # DEPENDENCYPART_ARC
(7,13),-0.800277 # DEPENDENCYPART_ARC
(7,14),-1.95785 # DEPENDENCYPART_ARC
(7,15),-1.74893 # DEPENDENCYPART_ARC
(7,16),-1.39049 # DEPENDENCYPART_ARC
(7,17),-1.94451 # DEPENDENCYPART_ARC
(7,18),-2.20545 # DEPENDENCYPART_ARC
(7,19),-2.17263 # DEPENDENCYPART_ARC
(7,20),-2.24608 # DEPENDENCYPART_ARC
(7,21),-1.53015 # DEPENDENCYPART_ARC
(8,1),-1.986 # DEPENDENCYPART_ARC
(8,2),-1.22644 # DEPENDENCYPART_ARC
(8,3),-1.32212 # DEPENDENCYPART_ARC
(8,4),-0.292433 # DEPENDENCYPART_ARC
(8,5),-0.0194777 # DEPENDENCYPART_ARC
(8,6),-1.19065 # DEPENDENCYPART_ARC
(8,7),2.32677 # DEPENDENCYPART_ARC
(8,9),2.27204 # DEPENDENCYPART_ARC
(8,10),2.30532 # DEPENDENCYPART_ARC
(8,11),1.93162 # DEPENDENCYPART_ARC
(8,12),2.43809 # DEPENDENCYPART_ARC
(8,13),2.743 # DEPENDENCYPART_ARC
(8,14),-0.925987 # DEPENDENCYPART_ARC
(8,15),-1.38949 # DEPENDENCYPART_ARC
(8,16),0.434762 # DEPENDENCYPART_ARC
(8,17),-0.996325 # DEPENDENCYPART_ARC
(8,18),-3.12642 # DEPENDENCYPART_ARC
(8,19),-1.48247 # DEPENDENCYPART_ARC
(8,20),-1.35833 # DEPENDENCYPART_ARC
(8,21),2.00793 # DEPENDENCYPART_ARC
(9,1),-2.58562 # DEPENDENCYPART_ARC
(9,2),-4.09645 # DEPENDENCYPART_ARC
(9,3),-3.4057 # DEPENDENCYPART_ARC
(9,4),-2.53179 # DEPENDENCYPART_ARC
(9,5),-2.16781 # DEPENDENCYPART_ARC
(9,6),-3.23559 # DEPENDENCYPART_ARC
(9,7),0.369204 # DEPENDENCYPART_ARC
(9,8),0.386965 # DEPENDENCYPART_ARC
(9,10),2.05602 # DEPENDENCYPART_ARC
(9,11),1.09459 # DEPENDENCYPART_ARC
(9,12),0.935628 # DEPENDENCYPART_ARC
(9,13),1.04259 # DEPENDENCYPART_ARC
(9,14),-1.62411 # DEPENDENCYPART_ARC
(9,15),0.0108165 # DEPENDENCYPART_ARC
(9,16),0.734926 # DEPENDENCYPART_ARC
(9,17),-1.74179 # DEPENDENCYPART_ARC
(9,18),-0.625059 # DEPENDENCYPART_ARC
(9,19),0.208365 # DEPENDENCYPART_ARC
(9,20),-0.522799 # DEPENDENCYPART_ARC
(9,21),0.413529 # DEPENDENCYPART_ARC
(10,1),-2.91811 # DEPENDENCYPART_ARC
(10,2),-3.13632 # DEPENDENCYPART_ARC
(10,3),-2.89401 # DEPENDENCYPART_ARC
(10,4),-2.72765 # DEPENDENCYPART_ARC
(10,5),-2.21446 # DEPENDENCYPART_ARC
(10,6),-2.55275 # DEPENDENCYPART_ARC
(10,7),-1.4986 # DEPENDENCYPART_ARC
(10,8),-0.815426 # DEPENDENCYPART_ARC
(10,9),-0.892712 # DEPENDENCYPART_ARC
(10,11),-0.943772 # DEPENDENCYPART_ARC
(10,12),-0.581996 # DEPENDENCYPART_ARC
(10,13),-0.941979 # DEPENDENCYPART_ARC
(10,14),-1.87297 # DEPENDENCYPART_ARC
(10,15),-2.54995 # DEPENDENCYPART_ARC
(10,16),-1.43115 # DEPENDENCYPART_ARC
(10,17),-2.79566 # DEPENDENCYPART_ARC
(10,18),-2.98151 # DEPENDENCYPART_ARC
(10,19),-2.82857 # DEPENDENCYPART_ARC
(10,20),-3.07803 # DEPENDENCYPART_ARC
(10,21),-1.75829 # DEPENDENCYPART_ARC
(11,1),-2.18727 # DEPENDENCYPART_ARC
(11,2),-1.54716 # DEPENDENCYPART_ARC
(11,3),-1.32426 # DEPENDENCYPART_ARC
(11,4),-1.12199 # DEPENDENCYPART_ARC
(11,5),-0.917642 # DEPENDENCYPART_ARC
(11,6),-1.74711 # DEPENDENCYPART_ARC
(11,7),0.086289 # DEPENDENCYPART_ARC
(11,8),-0.0798972 # DEPENDENCYPART_ARC
(11,9),0.107177 # DEPENDENCYPART_ARC
(11,10),0.81837 # DEPENDENCYPART_ARC
(11,12),5.09124 # DEPENDENCYPART_ARC
(11,13),1.0381 # DEPENDENCYPART_ARC
(11,14),-0.747206 # DEPENDENCYPART_ARC
(11,15),-1.3969 # DEPENDENCYPART_ARC
(11,16),0.64116 # DEPENDENCYPART_ARC
(11,17),-0.881549 # DEPENDENCYPART_ARC
(11,18),-2.35419 # DEPENDENCYPART_ARC
(11,19),-2.19072 # DEPENDENCYPART_ARC
(11,20),-1.62114 # DEPENDENCYPART_ARC
(11,21),0.239977 # DEPENDENCYPART_ARC
(12,1),-1.49826 # DEPENDENCYPART_ARC
(12,2),-3.31539 # DEPENDENCYPART_ARC
(12,3),-2.27043 # DEPENDENCYPART_ARC
(12,4),-3.88416 # DEPENDENCYPART_ARC
(12,5),-2.79461 # DEPENDENCYPART_ARC
(12,6),-3.11453 # DEPENDENCYPART_ARC
(12,7),-1.96764 # DEPENDENCYPART_ARC
(12,8),-1.50342 # DEPENDENCYPART_ARC
(12,9),-0.818881 # DEPENDENCYPART_ARC
(12,10),-0.842575 # DEPENDENCYPART_ARC
(12,11),-0.207334 # DEPENDENCYPART_ARC
(12,13),-0.21046 # DEPENDENCYPART_ARC
(12,14),-1.79507 # DEPENDENCYPART_ARC
(12,15),-0.405508 # DEPENDENCYPART_ARC
(12,16),2.11134 # DEPENDENCYPART_ARC
(12,17),-0.256941 # DEPENDENCYPART_ARC
(12,18),-0.456549 # DEPENDENCYPART_ARC
(12,19),1.28771 # DEPENDENCYPART_ARC
(12,20),-0.887077 # DEPENDENCYPART_ARC
(12,21),0.296006 # DEPENDENCYPART_ARC
(13,1),-2.56564 # DEPENDENCYPART_ARC
(13,2),-2.88391 # DEPENDENCYPART_ARC
(13,3),-2.61727 # DEPENDENCYPART_ARC
(13,4),-2.57481 # DEPENDENCYPART_ARC
(13,5),-2.44339 # DEPENDENCYPART_ARC
(13,6),-2.67645 # DEPENDENCYPART_ARC
(13,7),-1.26887 # DEPENDENCYPART_ARC
(13,8),-1.45494 # DEPENDENCYPART_ARC
(13,9),-1.51351 # DEPENDENCYPART_ARC
(13,10),-1.24605 # DEPENDENCYPART_ARC
(13,11),-0.924671 # DEPENDENCYPART_ARC
(13,12),-0.924465 # DEPENDENCYPART_ARC
(13,14),0.376901 # DEPENDENCYPART_ARC
(13,15),-0.416218 # DEPENDENCYPART_ARC
(13,16),-0.0800979 # DEPENDENCYPART_ARC
(13,17),-0.959923 # DEPENDENCYPART_ARC
(13,18),-1.06134 # DEPENDENCYPART_ARC
(13,19),-1.05014 # DEPENDENCYPART_ARC
(13,20),-1.19307 # DEPENDENCYPART_ARC
(13,21),-0.454806 # DEPENDENCYPART_ARC
(14,1),-2.88048 # DEPENDENCYPART_ARC
(14,2),-2.05785 # DEPENDENCYPART_ARC
(14,3),-2.92193 # DEPENDENCYPART_ARC
(14,4),-3.89078 # DEPENDENCYPART_ARC
(14,5),-4.14014 # DEPENDENCYPART_ARC
(14,6),-3.48954 # DEPENDENCYPART_ARC
(14,7),-2.03476 # DEPENDENCYPART_ARC
(14,8),-1.44916 # DEPENDENCYPART_ARC
(14,9),-3.09464 # DEPENDENCYPART_ARC
(14,10),-1.58884 # DEPENDENCYPART_ARC
(14,11),-1.05178 # DEPENDENCYPART_ARC
(14,12),-2.44159 # DEPENDENCYPART_ARC
(14,13),0.045089 # DEPENDENCYPART_ARC
(14,15),0.241844 # DEPENDENCYPART_ARC
(14,16),1.57634 # DEPENDENCYPART_ARC
(14,17),-0.369392 # DEPENDENCYPART_ARC
(14,18),-1.61263 # DEPENDENCYPART_ARC
(14,19),0.006001 # DEPENDENCYPART_ARC
(14,20),-1.58011 # DEPENDENCYPART_ARC
(14,21),0.0682569 # DEPENDENCYPART_ARC
(15,1),-3.38697 # DEPENDENCYPART_ARC
(15,2),-3.561 # DEPENDENCYPART_ARC
(15,3),-3.35665 # DEPENDENCYPART_ARC
(15,4),-3.23453 # DEPENDENCYPART_ARC
(15,5),-3.03364 # DEPENDENCYPART_ARC
(15,6),-3.50563 # DEPENDENCYPART_ARC
(15,7),-2.53627 # DEPENDENCYPART_ARC
(15,8),-1.52451 # DEPENDENCYPART_ARC
(15,9),-2.26578 # DEPENDENCYPART_ARC
(15,10),-2.05023 # DEPENDENCYPART_ARC
(15,11),-1.80747 # DEPENDENCYPART_ARC
(15,12),-2.52741 # DEPENDENCYPART_ARC
(15,13),-1.20379 # DEPENDENCYPART_ARC
(15,14),-0.684166 # DEPENDENCYPART_ARC
(15,16),0.225899 # DEPENDENCYPART_ARC
(15,17),-1.32956 # DEPENDENCYPART_ARC
(15,18),-1.63603 # DEPENDENCYPART_ARC
(15,19),-1.95339 # DEPENDENCYPART_ARC
(15,20),-2.07412 # DEPENDENCYPART_ARC
(15,21),-1.69413 # DEPENDENCYPART_ARC
(16,1),-0.607226 # DEPENDENCYPART_ARC
(16,2),0.665027 # DEPENDENCYPART_ARC
(16,3),-1.21973 # DEPENDENCYPART_ARC
(16,4),-0.703455 # DEPENDENCYPART_ARC
(16,5),-0.769854 # DEPENDENCYPART_ARC
(16,6),0.444363 # DEPENDENCYPART_ARC
(16,7),-0.965098 # DEPENDENCYPART_ARC
(16,8),0.695116 # DEPENDENCYPART_ARC
(16,9),-1.04 # DEPENDENCYPART_ARC
(16,10),-0.404135 # DEPENDENCYPART_ARC
(16,11),1.35588 # DEPENDENCYPART_ARC
(16,12),0.032709 # DEPENDENCYPART_ARC
(16,13),2.37177 # DEPENDENCYPART_ARC
(16,14),5.36525 # DEPENDENCYPART_ARC
(16,15),4.10931 # DEPENDENCYPART_ARC
(16,17),2.68622 # DEPENDENCYPART_ARC
(16,18),2.47649 # DEPENDENCYPART_ARC
(16,19),0.432236 # DEPENDENCYPART_ARC
(16,20),1.15265 # DEPENDENCYPART_ARC
(16,21),2.73907 # DEPENDENCYPART_ARC
(17,1),-3.0781 # DEPENDENCYPART_ARC
(17,2),-2.48877 # DEPENDENCYPART_ARC
(17,3),-2.55944 # DEPENDENCYPART_ARC
(17,4),-1.94675 # DEPENDENCYPART_ARC
(17,5),-1.79979 # DEPENDENCYPART_ARC
(17,6),-3.16727 # DEPENDENCYPART_ARC
(17,7),-2.66983 # DEPENDENCYPART_ARC
(17,8),-2.45378 # DEPENDENCYPART_ARC
(17,9),-2.09175 # DEPENDENCYPART_ARC
(17,10),-1.31291 # DEPENDENCYPART_ARC
(17,11),-2.34439 # DEPENDENCYPART_ARC
(17,12),-2.25138 # DEPENDENCYPART_ARC
(17,13),-1.6562 # DEPENDENCYPART_ARC
(17,14),-1.17152 # DEPENDENCYPART_ARC
(17,15),-0.469103 # DEPENDENCYPART_ARC
(17,16),0.138654 # DEPENDENCYPART_ARC
(17,18),5.91615 # DEPENDENCYPART_ARC
(17,19),1.74688 # DEPENDENCYPART_ARC
(17,20),0.479206 # DEPENDENCYPART_ARC
(17,21),0.748647 # DEPENDENCYPART_ARC
(18,1),-1.02896 # DEPENDENCYPART_ARC
(18,2),-2.90449 # DEPENDENCYPART_ARC
(18,3),-2.23308 # DEPENDENCYPART_ARC
(18,4),-5.3161 # DEPENDENCYPART_ARC
(18,5),-4.2198 # DEPENDENCYPART_ARC
(18,6),-2.74091 # DEPENDENCYPART_ARC
(18,7),-1.70141 # DEPENDENCYPART_ARC
(18,8),-1.2564 # DEPENDENCYPART_ARC
(18,9),-1.15666 # DEPENDENCYPART_ARC
(18,10),-1.16439 # DEPENDENCYPART_ARC
(18,11),-1.40184 # DEPENDENCYPART_ARC
(18,12),-1.10968 # DEPENDENCYPART_ARC
(18,13),-0.989841 # DEPENDENCYPART_ARC
(18,14),-0.124287 # DEPENDENCYPART_ARC
(18,15),0.171057 # DEPENDENCYPART_ARC
(18,16),-0.810301 # DEPENDENCYPART_ARC
(18,17),0.912704 # DEPENDENCYPART_ARC
(18,19),4.08765 # DEPENDENCYPART_ARC
(18,20),0.177376 # DEPENDENCYPART_ARC
(18,21),0.13399 # DEPENDENCYPART_ARC
(19,1),-1.77808 # DEPENDENCYPART_ARC
(19,2),-3.0394 # DEPENDENCYPART_ARC
(19,3),-2.67751 # DEPENDENCYPART_ARC
(19,4),-3.06502 # DEPENDENCYPART_ARC
(19,5),-3.17339 # DEPENDENCYPART_ARC
(19,6),-3.94356 # DEPENDENCYPART_ARC
(19,7),-1.71905 # DEPENDENCYPART_ARC
(19,8),-1.30147 # DEPENDENCYPART_ARC
(19,9),-3.61226 # DEPENDENCYPART_ARC
(19,10),-1.4673 # DEPENDENCYPART_ARC
(19,11),-1.18209 # DEPENDENCYPART_ARC
(19,12),-2.035 # DEPENDENCYPART_ARC
(19,13),-1.08074 # DEPENDENCYPART_ARC
(19,14),-0.830569 # DEPENDENCYPART_ARC
(19,15),-0.679091 # DEPENDENCYPART_ARC
(19,16),-2.01045 # DEPENDENCYPART_ARC
(19,17),0.370415 # DEPENDENCYPART_ARC
(19,18),0.649421 # DEPENDENCYPART_ARC
(19,20),2.05658 # DEPENDENCYPART_ARC
(19,21),0.553855 # DEPENDENCYPART_ARC
(20,1),-1.87946 # DEPENDENCYPART_ARC
(20,2),-2.14056 # DEPENDENCYPART_ARC
(20,3),-2.05718 # DEPENDENCYPART_ARC
(20,4),-1.8714 # DEPENDENCYPART_ARC
(20,5),-1.82996 # DEPENDENCYPART_ARC
(20,6),-2.69834 # DEPENDENCYPART_ARC
(20,7),-0.928832 # DEPENDENCYPART_ARC
(20,8),-0.490359 # DEPENDENCYPART_ARC
(20,9),-1.30976 # DEPENDENCYPART_ARC
(20,10),-0.865645 # DEPENDENCYPART_ARC
(20,11),-0.90751 # DEPENDENCYPART_ARC
(20,12),-1.96682 # DEPENDENCYPART_ARC
(20,13),-0.260199 # DEPENDENCYPART_ARC
(20,14),-1.14746 # DEPENDENCYPART_ARC
(20,15),-0.762574 # DEPENDENCYPART_ARC
(20,16),-0.895695 # DEPENDENCYPART_ARC
(20,17),0.150065 # DEPENDENCYPART_ARC
(20,18),-0.230148 # DEPENDENCYPART_ARC
(20,19),0.901646 # DEPENDENCYPART_ARC
(20,21),-0.150075 # DEPENDENCYPART_ARC
(21,1),-3.90358 # DEPENDENCYPART_ARC
(21,2),-4.24978 # DEPENDENCYPART_ARC
(21,3),-4.25528 # DEPENDENCYPART_ARC
(21,4),-4.12807 # DEPENDENCYPART_ARC
(21,5),-4.10829 # DEPENDENCYPART_ARC
(21,6),-4.09116 # DEPENDENCYPART_ARC
(21,7),-3.16782 # DEPENDENCYPART_ARC
(21,8),-3.24506 # DEPENDENCYPART_ARC
(21,9),-3.54051 # DEPENDENCYPART_ARC
(21,10),-3.28097 # DEPENDENCYPART_ARC
(21,11),-3.17361 # DEPENDENCYPART_ARC
(21,12),-4.03757 # DEPENDENCYPART_ARC
(21,13),-3.05078 # DEPENDENCYPART_ARC
(21,14),-3.45395 # DEPENDENCYPART_ARC
(21,15),-3.63297 # DEPENDENCYPART_ARC
(21,16),-3.48132 # DEPENDENCYPART_ARC
(21,17),-2.38857 # DEPENDENCYPART_ARC
(21,18),-2.93636 # DEPENDENCYPART_ARC
(21,19),-2.11938 # DEPENDENCYPART_ARC
(21,20),-1.62928 # DEPENDENCYPART_ARC
