# _root_ La d' aquest any serà la tercera edició del Festival_de_Cinema_Negre_de_Manresa , la cinquena si no es té_en_compte l' especialització , que el converteix en l' únic certamen de l' Estat dedicat a aquest gènere .
#goldHeads=2,5,4,2,0,8,8,5,8,9,5,13,5,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
#predictedHeads=2,5,4,2,0,8,8,5,8,9,17,13,8,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
(1,12),-3.46243 # DEPENDENCYPART_ARC
(1,13),-3.05874 # DEPENDENCYPART_ARC
(1,18),-3.74638 # DEPENDENCYPART_ARC
(1,19),-4.64972 # DEPENDENCYPART_ARC
(1,21),-4.22975 # DEPENDENCYPART_ARC
(1,24),-5.97857 # DEPENDENCYPART_ARC
(1,25),-5.53334 # DEPENDENCYPART_ARC
(1,26),-5.04516 # DEPENDENCYPART_ARC
(1,27),-5.97169 # DEPENDENCYPART_ARC
(1,28),-5.65395 # DEPENDENCYPART_ARC
(1,29),-5.97606 # DEPENDENCYPART_ARC
(1,30),-6.75016 # DEPENDENCYPART_ARC
(1,31),-5.96764 # DEPENDENCYPART_ARC
(1,32),-7.8775 # DEPENDENCYPART_ARC
(1,33),-8.34631 # DEPENDENCYPART_ARC
(1,34),-7.44308 # DEPENDENCYPART_ARC
(2,1),3.3098 # DEPENDENCYPART_ARC
(2,4),5.35281 # DEPENDENCYPART_ARC
(2,5),-0.0806637 # DEPENDENCYPART_ARC
(2,6),-1.71224 # DEPENDENCYPART_ARC
(2,7),-0.0195924 # DEPENDENCYPART_ARC
(2,8),0.333405 # DEPENDENCYPART_ARC
(2,9),-1.00299 # DEPENDENCYPART_ARC
(2,10),-1.47484 # DEPENDENCYPART_ARC
(2,11),-0.255751 # DEPENDENCYPART_ARC
(2,12),-2.21129 # DEPENDENCYPART_ARC
(2,13),-1.097 # DEPENDENCYPART_ARC
(2,14),0.052524 # DEPENDENCYPART_ARC
(2,15),-1.27808 # DEPENDENCYPART_ARC
(2,16),-3.19729 # DEPENDENCYPART_ARC
(2,17),-1.2555 # DEPENDENCYPART_ARC
(2,18),-1.73397 # DEPENDENCYPART_ARC
(2,19),-5.97084 # DEPENDENCYPART_ARC
(2,20),-2.10188 # DEPENDENCYPART_ARC
(2,21),-5.39593 # DEPENDENCYPART_ARC
(2,22),-4.19549 # DEPENDENCYPART_ARC
(2,23),-2.10059 # DEPENDENCYPART_ARC
(2,24),-3.03702 # DEPENDENCYPART_ARC
(2,25),-2.44726 # DEPENDENCYPART_ARC
(2,26),-3.5611 # DEPENDENCYPART_ARC
(2,27),-10.2766 # DEPENDENCYPART_ARC
(2,28),-3.69568 # DEPENDENCYPART_ARC
(2,29),-2.43829 # DEPENDENCYPART_ARC
(2,30),-11.3844 # DEPENDENCYPART_ARC
(2,31),-4.04685 # DEPENDENCYPART_ARC
(2,32),-3.23033 # DEPENDENCYPART_ARC
(2,34),-13.1585 # DEPENDENCYPART_ARC
(2,35),-0.28413 # DEPENDENCYPART_ARC
(3,7),-2.99131 # DEPENDENCYPART_ARC
(3,13),-3.89622 # DEPENDENCYPART_ARC
(3,26),-3.68331 # DEPENDENCYPART_ARC
(3,31),-4.75765 # DEPENDENCYPART_ARC
(4,1),1.16426 # DEPENDENCYPART_ARC
(4,2),0.610512 # DEPENDENCYPART_ARC
(4,3),4.0701 # DEPENDENCYPART_ARC
(4,5),-0.554502 # DEPENDENCYPART_ARC
(4,6),-3.30152 # DEPENDENCYPART_ARC
(4,7),-3.12916 # DEPENDENCYPART_ARC
(4,8),-3.00092 # DEPENDENCYPART_ARC
(4,9),-2.3769 # DEPENDENCYPART_ARC
(4,10),-3.05666 # DEPENDENCYPART_ARC
(4,11),-2.07058 # DEPENDENCYPART_ARC
(4,12),-4.65432 # DEPENDENCYPART_ARC
(4,13),-4.40419 # DEPENDENCYPART_ARC
(4,14),-3.22565 # DEPENDENCYPART_ARC
(4,15),-3.31301 # DEPENDENCYPART_ARC
(4,17),-3.02104 # DEPENDENCYPART_ARC
(4,18),-4.37057 # DEPENDENCYPART_ARC
(4,19),-4.49035 # DEPENDENCYPART_ARC
(4,20),-3.5935 # DEPENDENCYPART_ARC
(4,21),-6.05623 # DEPENDENCYPART_ARC
(4,22),-5.23408 # DEPENDENCYPART_ARC
(4,23),-2.72781 # DEPENDENCYPART_ARC
(4,24),-5.65589 # DEPENDENCYPART_ARC
(4,25),-5.13108 # DEPENDENCYPART_ARC
(4,26),-4.32612 # DEPENDENCYPART_ARC
(4,27),-5.83347 # DEPENDENCYPART_ARC
(4,28),-6.40838 # DEPENDENCYPART_ARC
(4,29),-5.48674 # DEPENDENCYPART_ARC
(4,30),-6.57145 # DEPENDENCYPART_ARC
(4,31),-3.58878 # DEPENDENCYPART_ARC
(4,32),-5.95655 # DEPENDENCYPART_ARC
(4,33),-5.86427 # DEPENDENCYPART_ARC
(4,34),-5.86143 # DEPENDENCYPART_ARC
(4,35),0.0523555 # DEPENDENCYPART_ARC
(5,1),-0.226898 # DEPENDENCYPART_ARC
(5,2),1.56647 # DEPENDENCYPART_ARC
(5,4),2.88848 # DEPENDENCYPART_ARC
(5,6),-1.59983 # DEPENDENCYPART_ARC
(5,7),1.04787 # DEPENDENCYPART_ARC
(5,8),2.09455 # DEPENDENCYPART_ARC
(5,9),-0.292732 # DEPENDENCYPART_ARC
(5,10),0.784515 # DEPENDENCYPART_ARC
(5,11),0.650182 # DEPENDENCYPART_ARC
(5,12),-3.51233 # DEPENDENCYPART_ARC
(5,13),-0.834501 # DEPENDENCYPART_ARC
(5,14),-1.04235 # DEPENDENCYPART_ARC
(5,15),-1.09191 # DEPENDENCYPART_ARC
(5,16),-1.48882 # DEPENDENCYPART_ARC
(5,17),1.10596 # DEPENDENCYPART_ARC
(5,18),-2.88213 # DEPENDENCYPART_ARC
(5,19),-1.76468 # DEPENDENCYPART_ARC
(5,20),-0.0695677 # DEPENDENCYPART_ARC
(5,21),-3.00942 # DEPENDENCYPART_ARC
(5,22),-2.19841 # DEPENDENCYPART_ARC
(5,23),-0.362856 # DEPENDENCYPART_ARC
(5,24),-1.56586 # DEPENDENCYPART_ARC
(5,25),-2.89928 # DEPENDENCYPART_ARC
(5,26),-2.43086 # DEPENDENCYPART_ARC
(5,27),-2.72052 # DEPENDENCYPART_ARC
(5,28),-2.36938 # DEPENDENCYPART_ARC
(5,29),-3.12058 # DEPENDENCYPART_ARC
(5,30),-3.66753 # DEPENDENCYPART_ARC
(5,31),-1.41771 # DEPENDENCYPART_ARC
(5,32),-1.86069 # DEPENDENCYPART_ARC
(5,34),-4.0335 # DEPENDENCYPART_ARC
(5,35),6.94185 # DEPENDENCYPART_ARC
(6,1),-1.91567 # DEPENDENCYPART_ARC
(6,2),-2.42676 # DEPENDENCYPART_ARC
(6,3),-1.46324 # DEPENDENCYPART_ARC
(6,4),-2.08188 # DEPENDENCYPART_ARC
(6,7),0.385787 # DEPENDENCYPART_ARC
(6,8),0.446091 # DEPENDENCYPART_ARC
(6,9),-0.790929 # DEPENDENCYPART_ARC
(6,10),-1.93578 # DEPENDENCYPART_ARC
(6,12),-1.57901 # DEPENDENCYPART_ARC
(6,13),-2.41355 # DEPENDENCYPART_ARC
(6,18),-2.97978 # DEPENDENCYPART_ARC
(6,19),-3.72822 # DEPENDENCYPART_ARC
(6,21),-4.05964 # DEPENDENCYPART_ARC
(6,24),-5.08741 # DEPENDENCYPART_ARC
(6,25),-4.68825 # DEPENDENCYPART_ARC
(6,26),-4.66416 # DEPENDENCYPART_ARC
(6,27),-5.04325 # DEPENDENCYPART_ARC
(6,28),-4.96496 # DEPENDENCYPART_ARC
(6,29),-4.94851 # DEPENDENCYPART_ARC
(6,30),-5.67845 # DEPENDENCYPART_ARC
(6,31),-5.75705 # DEPENDENCYPART_ARC
(6,32),-6.79302 # DEPENDENCYPART_ARC
(6,33),-7.08611 # DEPENDENCYPART_ARC
(6,34),-6.50396 # DEPENDENCYPART_ARC
(7,1),-1.36449 # DEPENDENCYPART_ARC
(7,2),-1.23646 # DEPENDENCYPART_ARC
(7,3),-1.30184 # DEPENDENCYPART_ARC
(7,4),-1.83189 # DEPENDENCYPART_ARC
(7,5),-1.19601 # DEPENDENCYPART_ARC
(7,6),1.78506 # DEPENDENCYPART_ARC
(7,8),1.1269 # DEPENDENCYPART_ARC
(7,9),-0.339523 # DEPENDENCYPART_ARC
(7,10),0.254722 # DEPENDENCYPART_ARC
(7,11),-0.619326 # DEPENDENCYPART_ARC
(7,12),-2.19138 # DEPENDENCYPART_ARC
(7,13),-0.309387 # DEPENDENCYPART_ARC
(7,14),-0.399547 # DEPENDENCYPART_ARC
(7,15),-1.33531 # DEPENDENCYPART_ARC
(7,17),0.497747 # DEPENDENCYPART_ARC
(7,18),-3.25772 # DEPENDENCYPART_ARC
(7,19),-1.71294 # DEPENDENCYPART_ARC
(7,20),-0.871781 # DEPENDENCYPART_ARC
(7,23),0.130781 # DEPENDENCYPART_ARC
(7,24),-3.455 # DEPENDENCYPART_ARC
(7,25),-3.54842 # DEPENDENCYPART_ARC
(7,26),-3.36945 # DEPENDENCYPART_ARC
(7,27),-2.36912 # DEPENDENCYPART_ARC
(7,28),-5.60483 # DEPENDENCYPART_ARC
(7,29),-3.77621 # DEPENDENCYPART_ARC
(7,30),-2.78268 # DEPENDENCYPART_ARC
(7,31),-3.97589 # DEPENDENCYPART_ARC
(7,32),-3.67074 # DEPENDENCYPART_ARC
(7,33),-4.31903 # DEPENDENCYPART_ARC
(7,34),-2.58441 # DEPENDENCYPART_ARC
(7,35),-0.998717 # DEPENDENCYPART_ARC
(8,1),-0.694724 # DEPENDENCYPART_ARC
(8,2),-0.507273 # DEPENDENCYPART_ARC
(8,3),-0.104896 # DEPENDENCYPART_ARC
(8,4),-0.835347 # DEPENDENCYPART_ARC
(8,5),-0.798155 # DEPENDENCYPART_ARC
(8,6),4.846 # DEPENDENCYPART_ARC
(8,7),5.0674 # DEPENDENCYPART_ARC
(8,9),3.50268 # DEPENDENCYPART_ARC
(8,10),1.13432 # DEPENDENCYPART_ARC
(8,11),0.534725 # DEPENDENCYPART_ARC
(8,12),-0.893976 # DEPENDENCYPART_ARC
(8,13),1.42631 # DEPENDENCYPART_ARC
(8,14),0.212147 # DEPENDENCYPART_ARC
(8,15),-0.632654 # DEPENDENCYPART_ARC
(8,17),1.8025 # DEPENDENCYPART_ARC
(8,18),-1.82662 # DEPENDENCYPART_ARC
(8,19),-0.985433 # DEPENDENCYPART_ARC
(8,20),-0.563286 # DEPENDENCYPART_ARC
(8,21),-4.08121 # DEPENDENCYPART_ARC
(8,22),-3.30249 # DEPENDENCYPART_ARC
(8,23),1.76331 # DEPENDENCYPART_ARC
(8,24),-0.932138 # DEPENDENCYPART_ARC
(8,25),-2.46209 # DEPENDENCYPART_ARC
(8,26),-2.71583 # DEPENDENCYPART_ARC
(8,27),-1.83038 # DEPENDENCYPART_ARC
(8,28),-2.41417 # DEPENDENCYPART_ARC
(8,29),-2.97843 # DEPENDENCYPART_ARC
(8,30),-2.32611 # DEPENDENCYPART_ARC
(8,31),-1.73287 # DEPENDENCYPART_ARC
(8,32),-2.07062 # DEPENDENCYPART_ARC
(8,33),-3.8713 # DEPENDENCYPART_ARC
(8,34),-1.79689 # DEPENDENCYPART_ARC
(8,35),2.5115 # DEPENDENCYPART_ARC
(9,1),-1.18138 # DEPENDENCYPART_ARC
(9,2),-1.95856 # DEPENDENCYPART_ARC
(9,4),-2.57804 # DEPENDENCYPART_ARC
(9,5),-1.81777 # DEPENDENCYPART_ARC
(9,6),-0.0586762 # DEPENDENCYPART_ARC
(9,7),-0.474584 # DEPENDENCYPART_ARC
(9,8),0.160012 # DEPENDENCYPART_ARC
(9,10),3.7107 # DEPENDENCYPART_ARC
(9,11),-0.35118 # DEPENDENCYPART_ARC
(9,12),-2.77546 # DEPENDENCYPART_ARC
(9,13),-1.98419 # DEPENDENCYPART_ARC
(9,14),-0.187239 # DEPENDENCYPART_ARC
(9,15),-1.95999 # DEPENDENCYPART_ARC
(9,16),-3.11463 # DEPENDENCYPART_ARC
(9,17),-0.787699 # DEPENDENCYPART_ARC
(9,18),-2.67984 # DEPENDENCYPART_ARC
(9,19),-5.3147 # DEPENDENCYPART_ARC
(9,20),-1.89864 # DEPENDENCYPART_ARC
(9,21),-8.30926 # DEPENDENCYPART_ARC
(9,22),-5.96729 # DEPENDENCYPART_ARC
(9,23),-1.44896 # DEPENDENCYPART_ARC
(9,24),-4.32473 # DEPENDENCYPART_ARC
(9,25),-3.17144 # DEPENDENCYPART_ARC
(9,26),-4.3767 # DEPENDENCYPART_ARC
(9,27),-9.31784 # DEPENDENCYPART_ARC
(9,28),-3.19571 # DEPENDENCYPART_ARC
(9,29),-3.17234 # DEPENDENCYPART_ARC
(9,30),-11.1885 # DEPENDENCYPART_ARC
(9,31),-4.57478 # DEPENDENCYPART_ARC
(9,32),-5.31946 # DEPENDENCYPART_ARC
(9,34),-13.045 # DEPENDENCYPART_ARC
(9,35),-0.510674 # DEPENDENCYPART_ARC
(10,1),-3.23145 # DEPENDENCYPART_ARC
(10,2),-1.48126 # DEPENDENCYPART_ARC
(10,3),-2.33587 # DEPENDENCYPART_ARC
(10,4),-2.30701 # DEPENDENCYPART_ARC
(10,5),-1.88198 # DEPENDENCYPART_ARC
(10,6),0.758066 # DEPENDENCYPART_ARC
(10,7),-0.57393 # DEPENDENCYPART_ARC
(10,8),-0.476254 # DEPENDENCYPART_ARC
(10,9),0.97251 # DEPENDENCYPART_ARC
(10,11),0.621721 # DEPENDENCYPART_ARC
(10,12),-0.567209 # DEPENDENCYPART_ARC
(10,13),0.329662 # DEPENDENCYPART_ARC
(10,14),-0.0116094 # DEPENDENCYPART_ARC
(10,15),-1.0409 # DEPENDENCYPART_ARC
(10,17),0.561436 # DEPENDENCYPART_ARC
(10,18),-1.99005 # DEPENDENCYPART_ARC
(10,19),-1.12433 # DEPENDENCYPART_ARC
(10,20),-1.45658 # DEPENDENCYPART_ARC
(10,21),-3.02464 # DEPENDENCYPART_ARC
(10,22),-2.3537 # DEPENDENCYPART_ARC
(10,23),0.648279 # DEPENDENCYPART_ARC
(10,24),-2.9159 # DEPENDENCYPART_ARC
(10,25),-2.55149 # DEPENDENCYPART_ARC
(10,26),-2.23583 # DEPENDENCYPART_ARC
(10,27),-2.28908 # DEPENDENCYPART_ARC
(10,28),-2.87952 # DEPENDENCYPART_ARC
(10,29),-2.88224 # DEPENDENCYPART_ARC
(10,30),-2.52975 # DEPENDENCYPART_ARC
(10,31),-1.62294 # DEPENDENCYPART_ARC
(10,32),-2.90732 # DEPENDENCYPART_ARC
(10,33),-3.40915 # DEPENDENCYPART_ARC
(10,34),-2.27576 # DEPENDENCYPART_ARC
(10,35),1.35884 # DEPENDENCYPART_ARC
(11,4),-3.4537 # DEPENDENCYPART_ARC
(11,8),-2.4719 # DEPENDENCYPART_ARC
(11,19),-2.17205 # DEPENDENCYPART_ARC
(11,20),-1.31469 # DEPENDENCYPART_ARC
(11,26),-2.35189 # DEPENDENCYPART_ARC
(11,27),-2.29208 # DEPENDENCYPART_ARC
(11,31),-2.47402 # DEPENDENCYPART_ARC
(11,34),-2.59792 # DEPENDENCYPART_ARC
(12,1),-3.41508 # DEPENDENCYPART_ARC
(12,2),-3.16719 # DEPENDENCYPART_ARC
(12,3),-3.10034 # DEPENDENCYPART_ARC
(12,4),-3.19853 # DEPENDENCYPART_ARC
(12,6),-2.07056 # DEPENDENCYPART_ARC
(12,7),-2.26662 # DEPENDENCYPART_ARC
(12,8),-2.15166 # DEPENDENCYPART_ARC
(12,9),-1.27903 # DEPENDENCYPART_ARC
(12,10),-1.34064 # DEPENDENCYPART_ARC
(12,13),0.315847 # DEPENDENCYPART_ARC
(12,18),-1.48003 # DEPENDENCYPART_ARC
(12,19),-2.94124 # DEPENDENCYPART_ARC
(12,21),-3.55559 # DEPENDENCYPART_ARC
(12,24),-3.77678 # DEPENDENCYPART_ARC
(12,25),-3.35754 # DEPENDENCYPART_ARC
(12,26),-4.46766 # DEPENDENCYPART_ARC
(12,27),-4.28825 # DEPENDENCYPART_ARC
(12,28),-3.7203 # DEPENDENCYPART_ARC
(12,29),-3.54798 # DEPENDENCYPART_ARC
(12,30),-4.96409 # DEPENDENCYPART_ARC
(12,31),-5.41959 # DEPENDENCYPART_ARC
(12,32),-5.31414 # DEPENDENCYPART_ARC
(12,33),-5.34589 # DEPENDENCYPART_ARC
(12,34),-5.73478 # DEPENDENCYPART_ARC
(13,1),-1.24828 # DEPENDENCYPART_ARC
(13,2),-1.98095 # DEPENDENCYPART_ARC
(13,3),-1.80555 # DEPENDENCYPART_ARC
(13,4),-2.31618 # DEPENDENCYPART_ARC
(13,5),-2.05989 # DEPENDENCYPART_ARC
(13,6),-0.696884 # DEPENDENCYPART_ARC
(13,7),-1.09592 # DEPENDENCYPART_ARC
(13,8),-1.02685 # DEPENDENCYPART_ARC
(13,9),-0.0878685 # DEPENDENCYPART_ARC
(13,10),-0.742769 # DEPENDENCYPART_ARC
(13,11),1.55822 # DEPENDENCYPART_ARC
(13,12),2.77525 # DEPENDENCYPART_ARC
(13,14),1.85981 # DEPENDENCYPART_ARC
(13,15),0.826004 # DEPENDENCYPART_ARC
(13,17),2.7822 # DEPENDENCYPART_ARC
(13,18),-1.24863 # DEPENDENCYPART_ARC
(13,19),0.234498 # DEPENDENCYPART_ARC
(13,20),0.851865 # DEPENDENCYPART_ARC
(13,23),2.2698 # DEPENDENCYPART_ARC
(13,24),-1.65154 # DEPENDENCYPART_ARC
(13,25),-1.96745 # DEPENDENCYPART_ARC
(13,26),-1.2497 # DEPENDENCYPART_ARC
(13,27),-0.801441 # DEPENDENCYPART_ARC
(13,28),-2.9033 # DEPENDENCYPART_ARC
(13,29),-2.05469 # DEPENDENCYPART_ARC
(13,30),-0.847213 # DEPENDENCYPART_ARC
(13,31),-1.89892 # DEPENDENCYPART_ARC
(13,32),-1.38946 # DEPENDENCYPART_ARC
(13,33),-2.54653 # DEPENDENCYPART_ARC
(13,34),-0.735524 # DEPENDENCYPART_ARC
(13,35),0.649235 # DEPENDENCYPART_ARC
(14,2),-2.23608 # DEPENDENCYPART_ARC
(14,4),-2.87531 # DEPENDENCYPART_ARC
(14,5),-2.63286 # DEPENDENCYPART_ARC
(14,8),-2.36608 # DEPENDENCYPART_ARC
(14,9),-1.25502 # DEPENDENCYPART_ARC
(14,10),-2.09087 # DEPENDENCYPART_ARC
(14,11),-1.09809 # DEPENDENCYPART_ARC
(14,15),-1.01303 # DEPENDENCYPART_ARC
(14,17),-0.241424 # DEPENDENCYPART_ARC
(14,19),-1.9333 # DEPENDENCYPART_ARC
(14,20),-1.22254 # DEPENDENCYPART_ARC
(14,22),-2.54946 # DEPENDENCYPART_ARC
(14,23),-1.63411 # DEPENDENCYPART_ARC
(14,24),-2.16544 # DEPENDENCYPART_ARC
(14,26),-2.32028 # DEPENDENCYPART_ARC
(14,27),-3.24922 # DEPENDENCYPART_ARC
(14,28),-2.77053 # DEPENDENCYPART_ARC
(14,30),-3.7408 # DEPENDENCYPART_ARC
(14,31),-2.48034 # DEPENDENCYPART_ARC
(14,32),-2.54456 # DEPENDENCYPART_ARC
(14,34),-4.37439 # DEPENDENCYPART_ARC
(14,35),-1.03186 # DEPENDENCYPART_ARC
(15,2),-2.32074 # DEPENDENCYPART_ARC
(15,9),-0.935698 # DEPENDENCYPART_ARC
(15,11),-1.03362 # DEPENDENCYPART_ARC
(15,14),1.05901 # DEPENDENCYPART_ARC
(15,20),-2.08646 # DEPENDENCYPART_ARC
(15,24),-4.70593 # DEPENDENCYPART_ARC
(15,26),-3.58568 # DEPENDENCYPART_ARC
(15,28),-5.10134 # DEPENDENCYPART_ARC
(15,31),-3.85426 # DEPENDENCYPART_ARC
(15,32),-4.82677 # DEPENDENCYPART_ARC
(15,35),-2.45187 # DEPENDENCYPART_ARC
(17,1),-2.11183 # DEPENDENCYPART_ARC
(17,2),-0.528916 # DEPENDENCYPART_ARC
(17,3),-2.04303 # DEPENDENCYPART_ARC
(17,4),-0.382116 # DEPENDENCYPART_ARC
(17,5),-0.485756 # DEPENDENCYPART_ARC
(17,6),-0.94536 # DEPENDENCYPART_ARC
(17,7),0.181042 # DEPENDENCYPART_ARC
(17,8),-0.33158 # DEPENDENCYPART_ARC
(17,9),-0.998548 # DEPENDENCYPART_ARC
(17,10),-0.769181 # DEPENDENCYPART_ARC
(17,11),1.62219 # DEPENDENCYPART_ARC
(17,12),0.074892 # DEPENDENCYPART_ARC
(17,13),0.61534 # DEPENDENCYPART_ARC
(17,14),2.86896 # DEPENDENCYPART_ARC
(17,15),4.18842 # DEPENDENCYPART_ARC
(17,16),5.23546 # DEPENDENCYPART_ARC
(17,18),0.207457 # DEPENDENCYPART_ARC
(17,19),3.85005 # DEPENDENCYPART_ARC
(17,20),1.33388 # DEPENDENCYPART_ARC
(17,21),-1.20339 # DEPENDENCYPART_ARC
(17,22),-0.567878 # DEPENDENCYPART_ARC
(17,23),1.75278 # DEPENDENCYPART_ARC
(17,24),1.05099 # DEPENDENCYPART_ARC
(17,25),-2.09482 # DEPENDENCYPART_ARC
(17,26),-1.14531 # DEPENDENCYPART_ARC
(17,27),0.285986 # DEPENDENCYPART_ARC
(17,28),-0.872935 # DEPENDENCYPART_ARC
(17,29),-2.19685 # DEPENDENCYPART_ARC
(17,30),0.000143551 # DEPENDENCYPART_ARC
(17,31),-0.0382617 # DEPENDENCYPART_ARC
(17,32),-0.00961203 # DEPENDENCYPART_ARC
(17,33),-3.03848 # DEPENDENCYPART_ARC
(17,34),-0.25199 # DEPENDENCYPART_ARC
(17,35),4.76791 # DEPENDENCYPART_ARC
(18,1),-4.02231 # DEPENDENCYPART_ARC
(18,2),-3.70841 # DEPENDENCYPART_ARC
(18,3),-3.38139 # DEPENDENCYPART_ARC
(18,4),-3.92823 # DEPENDENCYPART_ARC
(18,6),-3.24856 # DEPENDENCYPART_ARC
(18,7),-3.53187 # DEPENDENCYPART_ARC
(18,8),-3.5634 # DEPENDENCYPART_ARC
(18,9),-3.39085 # DEPENDENCYPART_ARC
(18,10),-3.43189 # DEPENDENCYPART_ARC
(18,12),-2.12516 # DEPENDENCYPART_ARC
(18,13),-2.94448 # DEPENDENCYPART_ARC
(18,19),0.346338 # DEPENDENCYPART_ARC
(18,21),-2.42399 # DEPENDENCYPART_ARC
(18,24),-3.92638 # DEPENDENCYPART_ARC
(18,25),-3.5583 # DEPENDENCYPART_ARC
(18,26),-3.74171 # DEPENDENCYPART_ARC
(18,27),-3.4333 # DEPENDENCYPART_ARC
(18,28),-4.09769 # DEPENDENCYPART_ARC
(18,29),-4.10192 # DEPENDENCYPART_ARC
(18,30),-4.25433 # DEPENDENCYPART_ARC
(18,31),-4.86392 # DEPENDENCYPART_ARC
(18,32),-5.35309 # DEPENDENCYPART_ARC
(18,33),-5.50326 # DEPENDENCYPART_ARC
(18,34),-4.90291 # DEPENDENCYPART_ARC
(19,1),-4.3855 # DEPENDENCYPART_ARC
(19,2),-1.47846 # DEPENDENCYPART_ARC
(19,3),-3.58101 # DEPENDENCYPART_ARC
(19,4),-2.60335 # DEPENDENCYPART_ARC
(19,5),-2.06331 # DEPENDENCYPART_ARC
(19,6),-2.51347 # DEPENDENCYPART_ARC
(19,7),-0.828681 # DEPENDENCYPART_ARC
(19,8),-1.68114 # DEPENDENCYPART_ARC
(19,9),-1.46682 # DEPENDENCYPART_ARC
(19,10),-1.25556 # DEPENDENCYPART_ARC
(19,11),-0.425747 # DEPENDENCYPART_ARC
(19,12),-0.64967 # DEPENDENCYPART_ARC
(19,13),-0.446204 # DEPENDENCYPART_ARC
(19,14),0.1732 # DEPENDENCYPART_ARC
(19,15),0.512818 # DEPENDENCYPART_ARC
(19,17),0.337825 # DEPENDENCYPART_ARC
(19,18),3.89115 # DEPENDENCYPART_ARC
(19,20),0.331227 # DEPENDENCYPART_ARC
(19,21),-0.867119 # DEPENDENCYPART_ARC
(19,22),-1.28645 # DEPENDENCYPART_ARC
(19,23),3.74695 # DEPENDENCYPART_ARC
(19,24),-0.564207 # DEPENDENCYPART_ARC
(19,25),-1.442 # DEPENDENCYPART_ARC
(19,26),-1.39074 # DEPENDENCYPART_ARC
(19,27),-0.449618 # DEPENDENCYPART_ARC
(19,28),0.176847 # DEPENDENCYPART_ARC
(19,29),-1.80343 # DEPENDENCYPART_ARC
(19,30),-0.505747 # DEPENDENCYPART_ARC
(19,31),-0.700293 # DEPENDENCYPART_ARC
(19,32),-0.254981 # DEPENDENCYPART_ARC
(19,33),-2.63563 # DEPENDENCYPART_ARC
(19,34),-0.277883 # DEPENDENCYPART_ARC
(19,35),1.89619 # DEPENDENCYPART_ARC
(20,4),-3.45316 # DEPENDENCYPART_ARC
(20,8),-3.0931 # DEPENDENCYPART_ARC
(20,11),-1.53339 # DEPENDENCYPART_ARC
(20,19),-1.06048 # DEPENDENCYPART_ARC
(20,26),-0.763617 # DEPENDENCYPART_ARC
(20,27),-0.881773 # DEPENDENCYPART_ARC
(20,31),-0.973288 # DEPENDENCYPART_ARC
(20,34),-1.15695 # DEPENDENCYPART_ARC
(21,1),-5.93388 # DEPENDENCYPART_ARC
(21,2),-2.52832 # DEPENDENCYPART_ARC
(21,4),-4.30624 # DEPENDENCYPART_ARC
(21,5),-2.97296 # DEPENDENCYPART_ARC
(21,6),-5.20795 # DEPENDENCYPART_ARC
(21,8),-3.99929 # DEPENDENCYPART_ARC
(21,9),-3.38224 # DEPENDENCYPART_ARC
(21,12),-4.19001 # DEPENDENCYPART_ARC
(21,14),-1.72646 # DEPENDENCYPART_ARC
