# _root_ ' El moviment denuncia l' especulació , els desallotjaments , les polítiques de criminalització i la violència policial exercida contra el moviment okupa .
#goldHeads=4,3,4,0,6,4,6,9,6,6,12,6,12,13,6,17,6,17,17,19,22,20,22,4,
#predictedHeads=4,3,4,0,6,4,6,9,6,6,12,9,12,13,6,17,6,17,17,19,22,20,22,4,
(14,17),1.18729 # DEPENDENCYPART_ARC
(14,18),2.34251 # DEPENDENCYPART_ARC
(14,19),1.98869 # DEPENDENCYPART_ARC
(14,20),1.13675 # DEPENDENCYPART_ARC
(14,21),-2.03127 # DEPENDENCYPART_ARC
(14,22),0.196423 # DEPENDENCYPART_ARC
(14,23),1.00929 # DEPENDENCYPART_ARC
(14,24),0.247151 # DEPENDENCYPART_ARC
(15,7),-3.0092 # DEPENDENCYPART_ARC
(15,10),-2.74506 # DEPENDENCYPART_ARC
(16,2),-3.82578 # DEPENDENCYPART_ARC
(16,3),-3.32178 # DEPENDENCYPART_ARC
(16,5),-3.93555 # DEPENDENCYPART_ARC
(16,6),-2.63622 # DEPENDENCYPART_ARC
(16,8),-3.10722 # DEPENDENCYPART_ARC
(16,9),-2.94205 # DEPENDENCYPART_ARC
(16,11),-1.49285 # DEPENDENCYPART_ARC
(16,12),-2.12547 # DEPENDENCYPART_ARC
(16,13),-1.17674 # DEPENDENCYPART_ARC
(16,14),-0.998926 # DEPENDENCYPART_ARC
(16,15),-0.0200191 # DEPENDENCYPART_ARC
(16,17),-0.210499 # DEPENDENCYPART_ARC
(16,18),-1.90689 # DEPENDENCYPART_ARC
(16,19),-3.35323 # DEPENDENCYPART_ARC
(16,20),-2.65468 # DEPENDENCYPART_ARC
(16,21),-2.23206 # DEPENDENCYPART_ARC
(16,22),-4.08658 # DEPENDENCYPART_ARC
(16,23),-4.38093 # DEPENDENCYPART_ARC
(17,1),-2.67002 # DEPENDENCYPART_ARC
(17,2),-6.70702 # DEPENDENCYPART_ARC
(17,3),-2.7873 # DEPENDENCYPART_ARC
(17,4),-1.52087 # DEPENDENCYPART_ARC
(17,5),-3.46207 # DEPENDENCYPART_ARC
(17,6),-2.05348 # DEPENDENCYPART_ARC
(17,7),-0.78261 # DEPENDENCYPART_ARC
(17,8),-2.74466 # DEPENDENCYPART_ARC
(17,9),-2.05932 # DEPENDENCYPART_ARC
(17,10),-0.541022 # DEPENDENCYPART_ARC
(17,11),-0.884206 # DEPENDENCYPART_ARC
(17,12),-0.876112 # DEPENDENCYPART_ARC
(17,13),-0.421702 # DEPENDENCYPART_ARC
(17,14),-0.0344323 # DEPENDENCYPART_ARC
(17,15),0.549853 # DEPENDENCYPART_ARC
(17,16),4.56622 # DEPENDENCYPART_ARC
(17,18),4.07386 # DEPENDENCYPART_ARC
(17,19),3.82924 # DEPENDENCYPART_ARC
(17,20),2.38931 # DEPENDENCYPART_ARC
(17,21),-1.28873 # DEPENDENCYPART_ARC
(17,22),0.768347 # DEPENDENCYPART_ARC
(17,23),1.36761 # DEPENDENCYPART_ARC
(17,24),0.902059 # DEPENDENCYPART_ARC
(18,1),-3.83292 # DEPENDENCYPART_ARC
(18,2),-2.76043 # DEPENDENCYPART_ARC
(18,3),-3.52425 # DEPENDENCYPART_ARC
(18,4),-2.90825 # DEPENDENCYPART_ARC
(18,5),-2.42833 # DEPENDENCYPART_ARC
(18,6),-2.9095 # DEPENDENCYPART_ARC
(18,7),-2.12729 # DEPENDENCYPART_ARC
(18,8),-2.86595 # DEPENDENCYPART_ARC
(18,9),-3.41045 # DEPENDENCYPART_ARC
(18,10),-1.34819 # DEPENDENCYPART_ARC
(18,11),-2.06967 # DEPENDENCYPART_ARC
(18,12),-2.68966 # DEPENDENCYPART_ARC
(18,13),-0.0292399 # DEPENDENCYPART_ARC
(18,14),-1.48181 # DEPENDENCYPART_ARC
(18,15),-0.590348 # DEPENDENCYPART_ARC
(18,16),0.820025 # DEPENDENCYPART_ARC
(18,17),0.153095 # DEPENDENCYPART_ARC
(18,19),1.15398 # DEPENDENCYPART_ARC
(18,20),-0.201279 # DEPENDENCYPART_ARC
(18,21),-2.55409 # DEPENDENCYPART_ARC
(18,22),-0.618006 # DEPENDENCYPART_ARC
(18,23),-0.617866 # DEPENDENCYPART_ARC
(18,24),-0.877969 # DEPENDENCYPART_ARC
(19,1),-3.06376 # DEPENDENCYPART_ARC
(19,2),-2.09899 # DEPENDENCYPART_ARC
(19,3),-2.72912 # DEPENDENCYPART_ARC
(19,4),-2.39779 # DEPENDENCYPART_ARC
(19,5),-2.42047 # DEPENDENCYPART_ARC
(19,6),-1.982 # DEPENDENCYPART_ARC
(19,7),-1.31729 # DEPENDENCYPART_ARC
(19,8),-2.64275 # DEPENDENCYPART_ARC
(19,9),-2.6508 # DEPENDENCYPART_ARC
(19,10),-0.619225 # DEPENDENCYPART_ARC
(19,11),-1.84366 # DEPENDENCYPART_ARC
(19,12),-1.90018 # DEPENDENCYPART_ARC
(19,13),0.143861 # DEPENDENCYPART_ARC
(19,14),-0.683088 # DEPENDENCYPART_ARC
(19,15),0.0255324 # DEPENDENCYPART_ARC
(19,16),0.31817 # DEPENDENCYPART_ARC
(19,17),0.315391 # DEPENDENCYPART_ARC
(19,18),-0.863916 # DEPENDENCYPART_ARC
(19,20),3.035 # DEPENDENCYPART_ARC
(19,21),-1.78962 # DEPENDENCYPART_ARC
(19,22),1.16944 # DEPENDENCYPART_ARC
(19,23),0.545946 # DEPENDENCYPART_ARC
(19,24),-0.0237177 # DEPENDENCYPART_ARC
(20,1),-1.82917 # DEPENDENCYPART_ARC
(20,2),-3.22815 # DEPENDENCYPART_ARC
(20,3),-2.85348 # DEPENDENCYPART_ARC
(20,4),-1.34377 # DEPENDENCYPART_ARC
(20,5),-2.68991 # DEPENDENCYPART_ARC
(20,6),-2.50692 # DEPENDENCYPART_ARC
(20,7),-1.72685 # DEPENDENCYPART_ARC
(20,8),-2.04256 # DEPENDENCYPART_ARC
(20,9),-2.52621 # DEPENDENCYPART_ARC
(20,10),-1.43739 # DEPENDENCYPART_ARC
(20,11),-1.58213 # DEPENDENCYPART_ARC
(20,12),-1.94472 # DEPENDENCYPART_ARC
(20,13),-1.56987 # DEPENDENCYPART_ARC
(20,14),-1.38105 # DEPENDENCYPART_ARC
(20,15),-1.19605 # DEPENDENCYPART_ARC
(20,16),-0.570223 # DEPENDENCYPART_ARC
(20,17),-1.20913 # DEPENDENCYPART_ARC
(20,18),-0.494391 # DEPENDENCYPART_ARC
(20,19),0.415494 # DEPENDENCYPART_ARC
(20,21),-0.173065 # DEPENDENCYPART_ARC
(20,22),4.42542 # DEPENDENCYPART_ARC
(20,23),0.913062 # DEPENDENCYPART_ARC
(20,24),-0.122192 # DEPENDENCYPART_ARC
(21,2),-4.79844 # DEPENDENCYPART_ARC
(21,3),-3.9908 # DEPENDENCYPART_ARC
(21,5),-5.01725 # DEPENDENCYPART_ARC
(21,6),-3.66945 # DEPENDENCYPART_ARC
(21,8),-4.36196 # DEPENDENCYPART_ARC
(21,9),-3.90539 # DEPENDENCYPART_ARC
(21,11),-3.90413 # DEPENDENCYPART_ARC
(21,12),-3.59257 # DEPENDENCYPART_ARC
(21,13),-2.59216 # DEPENDENCYPART_ARC
(21,14),-2.95605 # DEPENDENCYPART_ARC
(21,15),-2.35037 # DEPENDENCYPART_ARC
(21,16),-2.26094 # DEPENDENCYPART_ARC
(21,17),-2.65539 # DEPENDENCYPART_ARC
(21,18),-2.72312 # DEPENDENCYPART_ARC
(21,19),-2.178 # DEPENDENCYPART_ARC
(21,20),-0.396738 # DEPENDENCYPART_ARC
(21,22),0.390615 # DEPENDENCYPART_ARC
(21,23),-1.29501 # DEPENDENCYPART_ARC
(22,1),-2.71264 # DEPENDENCYPART_ARC
(22,2),-7.28872 # DEPENDENCYPART_ARC
(22,3),-2.78412 # DEPENDENCYPART_ARC
(22,4),-1.26932 # DEPENDENCYPART_ARC
(22,5),-3.81537 # DEPENDENCYPART_ARC
(22,6),-2.51716 # DEPENDENCYPART_ARC
(22,7),-0.800241 # DEPENDENCYPART_ARC
(22,8),-3.25715 # DEPENDENCYPART_ARC
(22,9),-2.77922 # DEPENDENCYPART_ARC
(22,10),-0.671008 # DEPENDENCYPART_ARC
(22,11),-2.41082 # DEPENDENCYPART_ARC
(22,12),-2.08485 # DEPENDENCYPART_ARC
(22,13),-0.46964 # DEPENDENCYPART_ARC
(22,14),-1.15378 # DEPENDENCYPART_ARC
(22,15),-0.340592 # DEPENDENCYPART_ARC
(22,16),0.601789 # DEPENDENCYPART_ARC
(22,17),-1.24303 # DEPENDENCYPART_ARC
(22,18),-0.144703 # DEPENDENCYPART_ARC
(22,19),-0.623879 # DEPENDENCYPART_ARC
(22,20),1.28394 # DEPENDENCYPART_ARC
(22,21),4.48977 # DEPENDENCYPART_ARC
(22,23),3.52021 # DEPENDENCYPART_ARC
(22,24),0.812823 # DEPENDENCYPART_ARC
(23,1),-2.53543 # DEPENDENCYPART_ARC
(23,2),-8.99018 # DEPENDENCYPART_ARC
(23,3),-2.60483 # DEPENDENCYPART_ARC
(23,4),-1.79745 # DEPENDENCYPART_ARC
(23,5),-5.03803 # DEPENDENCYPART_ARC
(23,6),-1.90893 # DEPENDENCYPART_ARC
(23,7),-0.653234 # DEPENDENCYPART_ARC
(23,8),-4.0875 # DEPENDENCYPART_ARC
(23,9),-2.24253 # DEPENDENCYPART_ARC
(23,10),-0.508824 # DEPENDENCYPART_ARC
(23,11),-2.73796 # DEPENDENCYPART_ARC
(23,12),-1.67804 # DEPENDENCYPART_ARC
(23,13),-0.351923 # DEPENDENCYPART_ARC
(23,14),-0.387891 # DEPENDENCYPART_ARC
(23,15),-0.577983 # DEPENDENCYPART_ARC
(23,16),-0.258284 # DEPENDENCYPART_ARC
(23,17),-0.898173 # DEPENDENCYPART_ARC
(23,18),-0.199524 # DEPENDENCYPART_ARC
(23,19),-0.0480676 # DEPENDENCYPART_ARC
(23,20),0.571119 # DEPENDENCYPART_ARC
(23,21),1.95976 # DEPENDENCYPART_ARC
(23,22),1.05926 # DEPENDENCYPART_ARC
(23,24),-0.349791 # DEPENDENCYPART_ARC
(24,15),-2.06612 # DEPENDENCYPART_ARC
