# _root_ ' Si fa falta un estudi , que no vingui a_canvi_de vendre l' aigua ' perquè ' aquest estudi arribarà tard ' , ha dit Castellà .
#goldHeads=10,3,10,3,6,3,3,10,10,25,10,11,14,12,10,20,20,19,20,10,20,20,10,25,0,25,25,
#predictedHeads=3,3,6,3,6,10,10,10,10,12,20,11,14,12,20,20,20,19,20,25,20,20,20,25,0,25,25,
(3,2),2.73582 # DEPENDENCYPART_ARC
(3,4),2.82419 # DEPENDENCYPART_ARC
(3,6),0.185033 # DEPENDENCYPART_ARC
(3,7),1.2132 # DEPENDENCYPART_ARC
(3,8),0.0172564 # DEPENDENCYPART_ARC
(3,9),-0.78815 # DEPENDENCYPART_ARC
(3,10),1.67537 # DEPENDENCYPART_ARC
(3,11),0.406346 # DEPENDENCYPART_ARC
(3,12),0.275071 # DEPENDENCYPART_ARC
(3,13),-2.70476 # DEPENDENCYPART_ARC
(3,14),-3.03526 # DEPENDENCYPART_ARC
(3,15),1.02984 # DEPENDENCYPART_ARC
(3,16),-1.22416 # DEPENDENCYPART_ARC
(3,17),-0.660557 # DEPENDENCYPART_ARC
(3,18),-3.55024 # DEPENDENCYPART_ARC
(3,19),-5.41588 # DEPENDENCYPART_ARC
(3,20),0.511506 # DEPENDENCYPART_ARC
(3,21),-2.15552 # DEPENDENCYPART_ARC
(3,22),0.0770379 # DEPENDENCYPART_ARC
(3,23),1.2071 # DEPENDENCYPART_ARC
(3,24),-0.0876164 # DEPENDENCYPART_ARC
(3,25),-0.254921 # DEPENDENCYPART_ARC
(3,26),-6.01132 # DEPENDENCYPART_ARC
(3,27),2.19936 # DEPENDENCYPART_ARC
(4,1),-0.0840059 # DEPENDENCYPART_ARC
(4,2),0.517476 # DEPENDENCYPART_ARC
(4,3),1.98644 # DEPENDENCYPART_ARC
(4,5),0.175461 # DEPENDENCYPART_ARC
(4,6),0.0836159 # DEPENDENCYPART_ARC
(4,7),0.103679 # DEPENDENCYPART_ARC
(4,8),-1.21197 # DEPENDENCYPART_ARC
(4,9),-1.28844 # DEPENDENCYPART_ARC
(4,10),-0.131104 # DEPENDENCYPART_ARC
(4,11),-2.24613 # DEPENDENCYPART_ARC
(4,12),-2.25593 # DEPENDENCYPART_ARC
(4,13),-2.34707 # DEPENDENCYPART_ARC
(4,14),-2.92721 # DEPENDENCYPART_ARC
(4,15),-0.829614 # DEPENDENCYPART_ARC
(4,16),-2.48295 # DEPENDENCYPART_ARC
(4,17),-1.56812 # DEPENDENCYPART_ARC
(4,18),-3.37688 # DEPENDENCYPART_ARC
(4,19),-3.49323 # DEPENDENCYPART_ARC
(4,20),-4.3989 # DEPENDENCYPART_ARC
(4,21),-2.0898 # DEPENDENCYPART_ARC
(4,22),-2.15147 # DEPENDENCYPART_ARC
(4,23),-2.21611 # DEPENDENCYPART_ARC
(4,24),-6.81216 # DEPENDENCYPART_ARC
(4,25),-6.93295 # DEPENDENCYPART_ARC
(4,26),-4.76537 # DEPENDENCYPART_ARC
(4,27),-1.45393 # DEPENDENCYPART_ARC
(5,1),-1.34701 # DEPENDENCYPART_ARC
(5,4),-0.317013 # DEPENDENCYPART_ARC
(5,6),0.682221 # DEPENDENCYPART_ARC
(5,11),-2.80999 # DEPENDENCYPART_ARC
(5,14),-3.32537 # DEPENDENCYPART_ARC
(5,15),-2.59301 # DEPENDENCYPART_ARC
(5,17),-2.72212 # DEPENDENCYPART_ARC
(5,19),-3.64159 # DEPENDENCYPART_ARC
(5,21),-3.19954 # DEPENDENCYPART_ARC
(5,22),-3.26477 # DEPENDENCYPART_ARC
(6,1),-0.496475 # DEPENDENCYPART_ARC
(6,2),0.236714 # DEPENDENCYPART_ARC
(6,3),1.44664 # DEPENDENCYPART_ARC
(6,4),0.315375 # DEPENDENCYPART_ARC
(6,5),4.47271 # DEPENDENCYPART_ARC
(6,7),0.922704 # DEPENDENCYPART_ARC
(6,8),-0.873996 # DEPENDENCYPART_ARC
(6,9),-0.799283 # DEPENDENCYPART_ARC
(6,10),0.673375 # DEPENDENCYPART_ARC
(6,11),-1.66563 # DEPENDENCYPART_ARC
(6,12),-0.818253 # DEPENDENCYPART_ARC
(6,13),-2.25102 # DEPENDENCYPART_ARC
(6,14),-1.75041 # DEPENDENCYPART_ARC
(6,15),-0.817193 # DEPENDENCYPART_ARC
(6,16),-1.98417 # DEPENDENCYPART_ARC
(6,17),-1.19683 # DEPENDENCYPART_ARC
(6,18),-2.8154 # DEPENDENCYPART_ARC
(6,19),-2.5565 # DEPENDENCYPART_ARC
(6,20),-3.39598 # DEPENDENCYPART_ARC
(6,21),-1.9746 # DEPENDENCYPART_ARC
(6,22),-1.68161 # DEPENDENCYPART_ARC
(6,23),-1.57139 # DEPENDENCYPART_ARC
(6,24),-5.77437 # DEPENDENCYPART_ARC
(6,25),-5.2266 # DEPENDENCYPART_ARC
(6,26),-4.0105 # DEPENDENCYPART_ARC
(6,27),0.518932 # DEPENDENCYPART_ARC
(7,4),-2.21778 # DEPENDENCYPART_ARC
(7,6),-1.37663 # DEPENDENCYPART_ARC
(7,14),-1.80536 # DEPENDENCYPART_ARC
(7,19),-1.90374 # DEPENDENCYPART_ARC
(7,23),-1.46816 # DEPENDENCYPART_ARC
(8,1),-2.52812 # DEPENDENCYPART_ARC
(8,2),-2.41996 # DEPENDENCYPART_ARC
(8,3),-2.957 # DEPENDENCYPART_ARC
(8,4),-2.72753 # DEPENDENCYPART_ARC
(8,5),-1.84074 # DEPENDENCYPART_ARC
(8,6),-2.04832 # DEPENDENCYPART_ARC
(8,7),-0.306811 # DEPENDENCYPART_ARC
(8,9),-0.922617 # DEPENDENCYPART_ARC
(8,10),-0.169706 # DEPENDENCYPART_ARC
(8,11),-1.36861 # DEPENDENCYPART_ARC
(8,12),-1.44873 # DEPENDENCYPART_ARC
(8,14),-2.73098 # DEPENDENCYPART_ARC
(8,15),-0.667013 # DEPENDENCYPART_ARC
(8,16),-1.17276 # DEPENDENCYPART_ARC
(8,17),-1.58986 # DEPENDENCYPART_ARC
(8,19),-4.08748 # DEPENDENCYPART_ARC
(8,20),-2.54179 # DEPENDENCYPART_ARC
(8,21),-2.94618 # DEPENDENCYPART_ARC
(8,22),-1.20041 # DEPENDENCYPART_ARC
(8,23),-1.43095 # DEPENDENCYPART_ARC
(8,24),-2.91897 # DEPENDENCYPART_ARC
(8,25),-3.00964 # DEPENDENCYPART_ARC
(8,26),-4.69893 # DEPENDENCYPART_ARC
(8,27),-0.514654 # DEPENDENCYPART_ARC
(9,2),-1.28458 # DEPENDENCYPART_ARC
(9,5),-1.34577 # DEPENDENCYPART_ARC
(9,7),-0.811235 # DEPENDENCYPART_ARC
(9,8),0.49196 # DEPENDENCYPART_ARC
(9,11),-0.949152 # DEPENDENCYPART_ARC
(9,16),-0.897107 # DEPENDENCYPART_ARC
(9,23),-1.68624 # DEPENDENCYPART_ARC
(9,27),0.407702 # DEPENDENCYPART_ARC
(10,1),1.72664 # DEPENDENCYPART_ARC
(10,2),0.463852 # DEPENDENCYPART_ARC
(10,3),-0.339831 # DEPENDENCYPART_ARC
(10,4),0.0983535 # DEPENDENCYPART_ARC
(10,6),0.235643 # DEPENDENCYPART_ARC
(10,7),2.06735 # DEPENDENCYPART_ARC
(10,8),3.61149 # DEPENDENCYPART_ARC
(10,9),3.74272 # DEPENDENCYPART_ARC
(10,11),2.46401 # DEPENDENCYPART_ARC
(10,12),0.287544 # DEPENDENCYPART_ARC
(10,13),-2.46904 # DEPENDENCYPART_ARC
(10,14),1.05526 # DEPENDENCYPART_ARC
(10,15),0.274223 # DEPENDENCYPART_ARC
(10,16),-0.75574 # DEPENDENCYPART_ARC
(10,17),-1.57168 # DEPENDENCYPART_ARC
(10,18),-3.80208 # DEPENDENCYPART_ARC
(10,19),-1.90538 # DEPENDENCYPART_ARC
(10,20),-0.819473 # DEPENDENCYPART_ARC
(10,21),-2.04004 # DEPENDENCYPART_ARC
(10,22),-0.850309 # DEPENDENCYPART_ARC
(10,23),-0.408279 # DEPENDENCYPART_ARC
(10,24),-2.0248 # DEPENDENCYPART_ARC
(10,25),-1.79385 # DEPENDENCYPART_ARC
(10,26),-2.99919 # DEPENDENCYPART_ARC
(10,27),0.89626 # DEPENDENCYPART_ARC
(11,1),-2.37915 # DEPENDENCYPART_ARC
(11,2),-1.68712 # DEPENDENCYPART_ARC
(11,3),-1.35346 # DEPENDENCYPART_ARC
(11,4),-2.739 # DEPENDENCYPART_ARC
(11,5),-2.51658 # DEPENDENCYPART_ARC
(11,6),-2.86032 # DEPENDENCYPART_ARC
(11,7),-1.72559 # DEPENDENCYPART_ARC
(11,8),-0.222614 # DEPENDENCYPART_ARC
(11,9),-0.309374 # DEPENDENCYPART_ARC
(11,10),-0.198818 # DEPENDENCYPART_ARC
(11,12),3.42022 # DEPENDENCYPART_ARC
(11,13),-0.331069 # DEPENDENCYPART_ARC
(11,14),1.14835 # DEPENDENCYPART_ARC
(11,15),0.199065 # DEPENDENCYPART_ARC
(11,16),-0.135182 # DEPENDENCYPART_ARC
(11,17),-1.25412 # DEPENDENCYPART_ARC
(11,19),-3.62449 # DEPENDENCYPART_ARC
(11,20),-2.11204 # DEPENDENCYPART_ARC
(11,21),-0.63591 # DEPENDENCYPART_ARC
(11,22),-1.71827 # DEPENDENCYPART_ARC
(11,23),-1.48095 # DEPENDENCYPART_ARC
(11,24),-3.94595 # DEPENDENCYPART_ARC
(11,25),-2.32652 # DEPENDENCYPART_ARC
(11,26),-7.50385 # DEPENDENCYPART_ARC
(11,27),-1.02518 # DEPENDENCYPART_ARC
(12,1),1.33917 # DEPENDENCYPART_ARC
(12,2),-0.49766 # DEPENDENCYPART_ARC
(12,3),-0.818368 # DEPENDENCYPART_ARC
(12,4),-0.843211 # DEPENDENCYPART_ARC
(12,6),-0.932225 # DEPENDENCYPART_ARC
(12,7),0.681816 # DEPENDENCYPART_ARC
(12,8),2.42976 # DEPENDENCYPART_ARC
(12,9),2.30493 # DEPENDENCYPART_ARC
(12,10),2.5042 # DEPENDENCYPART_ARC
(12,11),3.2738 # DEPENDENCYPART_ARC
(12,13),0.12556 # DEPENDENCYPART_ARC
(12,14),4.63729 # DEPENDENCYPART_ARC
(12,15),1.73907 # DEPENDENCYPART_ARC
(12,16),0.72465 # DEPENDENCYPART_ARC
(12,17),-0.308415 # DEPENDENCYPART_ARC
(12,18),-1.83663 # DEPENDENCYPART_ARC
(12,19),0.430107 # DEPENDENCYPART_ARC
(12,20),1.59582 # DEPENDENCYPART_ARC
(12,21),0.32269 # DEPENDENCYPART_ARC
(12,22),0.387382 # DEPENDENCYPART_ARC
(12,23),0.890669 # DEPENDENCYPART_ARC
(12,24),-0.0759755 # DEPENDENCYPART_ARC
(12,25),0.0634461 # DEPENDENCYPART_ARC
(12,26),-1.09353 # DEPENDENCYPART_ARC
(12,27),1.80147 # DEPENDENCYPART_ARC
(13,4),-3.49043 # DEPENDENCYPART_ARC
(13,5),-2.59288 # DEPENDENCYPART_ARC
(13,6),-3.193 # DEPENDENCYPART_ARC
(13,11),-1.60657 # DEPENDENCYPART_ARC
(13,14),0.126231 # DEPENDENCYPART_ARC
(13,18),-1.73812 # DEPENDENCYPART_ARC
(13,19),-3.21002 # DEPENDENCYPART_ARC
(13,21),-3.48706 # DEPENDENCYPART_ARC
(13,26),-4.81643 # DEPENDENCYPART_ARC
(14,1),-2.5343 # DEPENDENCYPART_ARC
(14,2),-0.783812 # DEPENDENCYPART_ARC
(14,3),-0.933473 # DEPENDENCYPART_ARC
(14,4),-1.55528 # DEPENDENCYPART_ARC
(14,5),-2.20438 # DEPENDENCYPART_ARC
(14,6),-2.25429 # DEPENDENCYPART_ARC
(14,7),-1.10536 # DEPENDENCYPART_ARC
(14,8),0.327712 # DEPENDENCYPART_ARC
(14,9),0.294284 # DEPENDENCYPART_ARC
(14,10),-1.30747 # DEPENDENCYPART_ARC
(14,11),-0.259317 # DEPENDENCYPART_ARC
(14,12),1.20076 # DEPENDENCYPART_ARC
(14,13),3.84041 # DEPENDENCYPART_ARC
(14,15),0.637555 # DEPENDENCYPART_ARC
(14,16),-0.539655 # DEPENDENCYPART_ARC
(14,17),-0.462862 # DEPENDENCYPART_ARC
(14,18),-2.86028 # DEPENDENCYPART_ARC
(14,19),-0.84356 # DEPENDENCYPART_ARC
(14,20),-0.541685 # DEPENDENCYPART_ARC
(14,21),-2.16373 # DEPENDENCYPART_ARC
(14,22),-1.53844 # DEPENDENCYPART_ARC
(14,23),-1.9263 # DEPENDENCYPART_ARC
(14,24),-3.27871 # DEPENDENCYPART_ARC
(14,25),-3.39041 # DEPENDENCYPART_ARC
(14,26),-2.60908 # DEPENDENCYPART_ARC
(14,27),-0.486675 # DEPENDENCYPART_ARC
(16,1),-1.7659 # DEPENDENCYPART_ARC
(16,2),-1.78693 # DEPENDENCYPART_ARC
(16,3),-2.69325 # DEPENDENCYPART_ARC
(16,4),-2.53896 # DEPENDENCYPART_ARC
(16,5),-2.14331 # DEPENDENCYPART_ARC
(16,6),-2.46775 # DEPENDENCYPART_ARC
(16,7),-1.4105 # DEPENDENCYPART_ARC
(16,8),-1.41783 # DEPENDENCYPART_ARC
(16,9),-1.53627 # DEPENDENCYPART_ARC
(16,10),-2.16205 # DEPENDENCYPART_ARC
(16,11),-0.948259 # DEPENDENCYPART_ARC
(16,12),-1.59295 # DEPENDENCYPART_ARC
(16,14),-0.879678 # DEPENDENCYPART_ARC
(16,15),1.19733 # DEPENDENCYPART_ARC
(16,17),0.947116 # DEPENDENCYPART_ARC
(16,19),-0.424057 # DEPENDENCYPART_ARC
(16,20),0.440046 # DEPENDENCYPART_ARC
(16,21),-1.23984 # DEPENDENCYPART_ARC
(16,22),0.0524005 # DEPENDENCYPART_ARC
(16,23),-0.00965265 # DEPENDENCYPART_ARC
(16,24),-0.93943 # DEPENDENCYPART_ARC
(16,25),-1.15568 # DEPENDENCYPART_ARC
(16,26),-2.2619 # DEPENDENCYPART_ARC
(16,27),0.475474 # DEPENDENCYPART_ARC
(18,5),-2.62359 # DEPENDENCYPART_ARC
(18,21),-1.67629 # DEPENDENCYPART_ARC
(19,1),-4.16562 # DEPENDENCYPART_ARC
(19,2),-1.21836 # DEPENDENCYPART_ARC
(19,3),-1.69125 # DEPENDENCYPART_ARC
(19,4),-2.93082 # DEPENDENCYPART_ARC
(19,5),-3.77553 # DEPENDENCYPART_ARC
(19,6),-3.2587 # DEPENDENCYPART_ARC
(19,7),-2.24578 # DEPENDENCYPART_ARC
(19,8),-0.338711 # DEPENDENCYPART_ARC
(19,9),-1.00216 # DEPENDENCYPART_ARC
(19,10),-2.63587 # DEPENDENCYPART_ARC
(19,11),-1.50032 # DEPENDENCYPART_ARC
(19,12),-1.37512 # DEPENDENCYPART_ARC
(19,13),-0.897305 # DEPENDENCYPART_ARC
(19,14),-1.94023 # DEPENDENCYPART_ARC
(19,15),-0.5034 # DEPENDENCYPART_ARC
(19,16),-0.285667 # DEPENDENCYPART_ARC
(19,17),1.48908 # DEPENDENCYPART_ARC
(19,18),3.78065 # DEPENDENCYPART_ARC
(19,20),0.537673 # DEPENDENCYPART_ARC
(19,21),-1.01748 # DEPENDENCYPART_ARC
(19,22),-0.658929 # DEPENDENCYPART_ARC
(19,23),-1.5984 # DEPENDENCYPART_ARC
(19,24),-2.48441 # DEPENDENCYPART_ARC
(19,25),-2.39334 # DEPENDENCYPART_ARC
(19,26),-2.1071 # DEPENDENCYPART_ARC
(19,27),-1.14535 # DEPENDENCYPART_ARC
(20,1),0.877852 # DEPENDENCYPART_ARC
(20,2),-1.84082 # DEPENDENCYPART_ARC
(20,3),-0.737298 # DEPENDENCYPART_ARC
(20,4),-0.560846 # DEPENDENCYPART_ARC
(20,6),-1.33791 # DEPENDENCYPART_ARC
(20,7),0.210325 # DEPENDENCYPART_ARC
(20,8),1.84063 # DEPENDENCYPART_ARC
(20,9),-0.564363 # DEPENDENCYPART_ARC
(20,10),0.336437 # DEPENDENCYPART_ARC
(20,11),0.548782 # DEPENDENCYPART_ARC
(20,12),-0.546958 # DEPENDENCYPART_ARC
(20,13),-1.0523 # DEPENDENCYPART_ARC
(20,14),0.738109 # DEPENDENCYPART_ARC
(20,15),2.30093 # DEPENDENCYPART_ARC
(20,16),3.40122 # DEPENDENCYPART_ARC
(20,17),3.35368 # DEPENDENCYPART_ARC
(20,18),0.471667 # DEPENDENCYPART_ARC
(20,19),3.19608 # DEPENDENCYPART_ARC
(20,21),3.35176 # DEPENDENCYPART_ARC
(20,22),2.83034 # DEPENDENCYPART_ARC
(20,23),2.89429 # DEPENDENCYPART_ARC
(20,24),2.20342 # DEPENDENCYPART_ARC
(20,25),1.35124 # DEPENDENCYPART_ARC
(20,26),1.23331 # DEPENDENCYPART_ARC
(20,27),3.22927 # DEPENDENCYPART_ARC
(21,1),-3.16902 # DEPENDENCYPART_ARC
(21,2),-1.83173 # DEPENDENCYPART_ARC
(21,3),-2.53397 # DEPENDENCYPART_ARC
(21,4),-3.20698 # DEPENDENCYPART_ARC
(21,5),-2.76427 # DEPENDENCYPART_ARC
(21,6),-3.29946 # DEPENDENCYPART_ARC
(21,7),-2.47029 # DEPENDENCYPART_ARC
(21,8),-1.71671 # DEPENDENCYPART_ARC
(21,9),-2.17156 # DEPENDENCYPART_ARC
(21,10),-2.38794 # DEPENDENCYPART_ARC
(21,11),-1.70723 # DEPENDENCYPART_ARC
(21,12),-2.1418 # DEPENDENCYPART_ARC
(21,13),-2.19637 # DEPENDENCYPART_ARC
(21,14),-2.41049 # DEPENDENCYPART_ARC
(21,15),-1.78954 # DEPENDENCYPART_ARC
(21,16),-1.31004 # DEPENDENCYPART_ARC
(21,17),-0.91114 # DEPENDENCYPART_ARC
(21,19),-0.805346 # DEPENDENCYPART_ARC
(21,20),0.297005 # DEPENDENCYPART_ARC
(21,22),-0.0169128 # DEPENDENCYPART_ARC
(21,23),-0.252925 # DEPENDENCYPART_ARC
(21,24),-0.285224 # DEPENDENCYPART_ARC
(21,25),-1.25054 # DEPENDENCYPART_ARC
(21,26),-1.17542 # DEPENDENCYPART_ARC
(21,27),-1.0172 # DEPENDENCYPART_ARC
(23,4),-3.33729 # DEPENDENCYPART_ARC
(23,6),-3.37064 # DEPENDENCYPART_ARC
(23,7),-2.23859 # DEPENDENCYPART_ARC
(23,14),-2.85386 # DEPENDENCYPART_ARC
(23,19),-2.1855 # DEPENDENCYPART_ARC
(24,1),-0.788087 # DEPENDENCYPART_ARC
(24,2),-4.80758 # DEPENDENCYPART_ARC
(24,3),-2.21685 # DEPENDENCYPART_ARC
(24,4),-3.73789 # DEPENDENCYPART_ARC
(24,5),-5.62475 # DEPENDENCYPART_ARC
(24,6),-4.74843 # DEPENDENCYPART_ARC
(24,7),-3.01907 # DEPENDENCYPART_ARC
(24,8),-0.0393543 # DEPENDENCYPART_ARC
(24,9),-3.60023 # DEPENDENCYPART_ARC
(24,10),-2.62246 # DEPENDENCYPART_ARC
(24,11),-2.6144 # DEPENDENCYPART_ARC
(24,12),-2.21659 # DEPENDENCYPART_ARC
(24,13),-3.84098 # DEPENDENCYPART_ARC
(24,14),-2.23905 # DEPENDENCYPART_ARC
(24,15),-0.802834 # DEPENDENCYPART_ARC
(24,16),0.250401 # DEPENDENCYPART_ARC
(24,17),-0.235249 # DEPENDENCYPART_ARC
(24,19),-1.69153 # DEPENDENCYPART_ARC
(24,20),-1.58583 # DEPENDENCYPART_ARC
(24,21),-1.15051 # DEPENDENCYPART_ARC
(24,22),-0.66506 # DEPENDENCYPART_ARC
(24,23),-1.46148 # DEPENDENCYPART_ARC
(24,25),0.770174 # DEPENDENCYPART_ARC
(24,26),1.37543 # DEPENDENCYPART_ARC
(24,27),1.87441 # DEPENDENCYPART_ARC
(25,1),0.967644 # DEPENDENCYPART_ARC
(25,2),-3.39468 # DEPENDENCYPART_ARC
(25,3),0.168563 # DEPENDENCYPART_ARC
(25,4),-2.91957 # DEPENDENCYPART_ARC
(25,6),-3.8169 # DEPENDENCYPART_ARC
(25,7),-0.116029 # DEPENDENCYPART_ARC
(25,8),1.17245 # DEPENDENCYPART_ARC
(25,9),-1.56245 # DEPENDENCYPART_ARC
(25,10),0.0886803 # DEPENDENCYPART_ARC
(25,11),-0.0487919 # DEPENDENCYPART_ARC
(25,12),-0.0622362 # DEPENDENCYPART_ARC
(25,13),-1.1816 # DEPENDENCYPART_ARC
(25,14),-1.37223 # DEPENDENCYPART_ARC
(25,15),1.62158 # DEPENDENCYPART_ARC
(25,16),1.83577 # DEPENDENCYPART_ARC
(25,17),1.90631 # DEPENDENCYPART_ARC
(25,18),-0.690279 # DEPENDENCYPART_ARC
(25,19),0.840607 # DEPENDENCYPART_ARC
(25,20),1.4896 # DEPENDENCYPART_ARC
(25,21),0.426801 # DEPENDENCYPART_ARC
(25,22),0.787207 # DEPENDENCYPART_ARC
(25,23),0.620765 # DEPENDENCYPART_ARC
(25,24),6.56726 # DEPENDENCYPART_ARC
(25,26),4.01153 # DEPENDENCYPART_ARC
(25,27),4.84061 # DEPENDENCYPART_ARC
(26,1),-5.84704 # DEPENDENCYPART_ARC
(26,2),-1.93567 # DEPENDENCYPART_ARC
(26,3),-4.07218 # DEPENDENCYPART_ARC
(26,4),-3.79604 # DEPENDENCYPART_ARC
(26,5),-7.05142 # DEPENDENCYPART_ARC
(26,6),-3.77476 # DEPENDENCYPART_ARC
(26,7),-2.47586 # DEPENDENCYPART_ARC
(26,8),-1.11468 # DEPENDENCYPART_ARC
(26,9),-2.09479 # DEPENDENCYPART_ARC
(26,10),-3.89834 # DEPENDENCYPART_ARC
(26,11),-2.92368 # DEPENDENCYPART_ARC
(26,12),-3.16856 # DEPENDENCYPART_ARC
(26,13),-5.34372 # DEPENDENCYPART_ARC
(26,14),-3.26828 # DEPENDENCYPART_ARC
(26,15),-2.89346 # DEPENDENCYPART_ARC
(26,16),-1.89139 # DEPENDENCYPART_ARC
(26,17),-1.69593 # DEPENDENCYPART_ARC
(26,18),-3.46448 # DEPENDENCYPART_ARC
(26,19),-2.6293 # DEPENDENCYPART_ARC
(26,20),-3.13633 # DEPENDENCYPART_ARC
(26,21),-1.17124 # DEPENDENCYPART_ARC
(26,22),-0.812415 # DEPENDENCYPART_ARC
(26,23),-0.926871 # DEPENDENCYPART_ARC
(26,24),-1.24168 # DEPENDENCYPART_ARC
(26,25),-0.103663 # DEPENDENCYPART_ARC
(26,27),0.112331 # DEPENDENCYPART_ARC
