# _root_ Paul_L._Ravelo , doctor en ciències filosòfiques per la Universitat_de_l'_Havana , impartirà a la Casa_de_Cultura de Girona el curs ' Els_mites_de_la_globalització_neoliberal ' .
#goldHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
#predictedHeads=11,3,1,3,4,5,3,9,7,3,0,11,14,12,14,15,18,11,20,18,20,11,
(4,20),-10.8816 # DEPENDENCYPART_ARC
(4,21),-2.88982 # DEPENDENCYPART_ARC
(4,22),-2.47344 # DEPENDENCYPART_ARC
(5,1),-2.68554 # DEPENDENCYPART_ARC
(5,2),-1.61106 # DEPENDENCYPART_ARC
(5,3),-1.81566 # DEPENDENCYPART_ARC
(5,4),-0.0664349 # DEPENDENCYPART_ARC
(5,6),4.22563 # DEPENDENCYPART_ARC
(5,7),1.25853 # DEPENDENCYPART_ARC
(5,8),-1.25485 # DEPENDENCYPART_ARC
(5,9),0.38067 # DEPENDENCYPART_ARC
(5,10),-0.407009 # DEPENDENCYPART_ARC
(5,11),-0.113627 # DEPENDENCYPART_ARC
(5,12),-1.1972 # DEPENDENCYPART_ARC
(5,13),-2.47225 # DEPENDENCYPART_ARC
(5,14),-1.64544 # DEPENDENCYPART_ARC
(5,15),-0.759499 # DEPENDENCYPART_ARC
(5,16),-1.42033 # DEPENDENCYPART_ARC
(5,17),-3.208 # DEPENDENCYPART_ARC
(5,18),-1.69765 # DEPENDENCYPART_ARC
(5,19),0.491488 # DEPENDENCYPART_ARC
(5,20),-0.544507 # DEPENDENCYPART_ARC
(5,21),-1.31728 # DEPENDENCYPART_ARC
(5,22),-1.39685 # DEPENDENCYPART_ARC
(6,1),-2.04917 # DEPENDENCYPART_ARC
(6,2),-0.138943 # DEPENDENCYPART_ARC
(6,3),-1.23999 # DEPENDENCYPART_ARC
(6,4),0.891936 # DEPENDENCYPART_ARC
(6,5),0.894504 # DEPENDENCYPART_ARC
(6,7),1.55039 # DEPENDENCYPART_ARC
(6,8),-1.48959 # DEPENDENCYPART_ARC
(6,9),0.139811 # DEPENDENCYPART_ARC
(6,10),-0.0201152 # DEPENDENCYPART_ARC
(6,11),-0.526661 # DEPENDENCYPART_ARC
(6,12),-1.26168 # DEPENDENCYPART_ARC
(6,13),-2.90007 # DEPENDENCYPART_ARC
(6,14),-1.21624 # DEPENDENCYPART_ARC
(6,15),-2.44225 # DEPENDENCYPART_ARC
(6,16),-0.965403 # DEPENDENCYPART_ARC
(6,17),-3.58689 # DEPENDENCYPART_ARC
(6,18),-1.35142 # DEPENDENCYPART_ARC
(6,19),-1.36572 # DEPENDENCYPART_ARC
(6,20),-1.39586 # DEPENDENCYPART_ARC
(6,21),-1.84196 # DEPENDENCYPART_ARC
(6,22),-2.08683 # DEPENDENCYPART_ARC
(7,1),-2.20549 # DEPENDENCYPART_ARC
(7,2),-0.221047 # DEPENDENCYPART_ARC
(7,3),-1.57926 # DEPENDENCYPART_ARC
(7,4),-0.0606746 # DEPENDENCYPART_ARC
(7,5),-0.393198 # DEPENDENCYPART_ARC
(7,6),0.687825 # DEPENDENCYPART_ARC
(7,8),0.136042 # DEPENDENCYPART_ARC
(7,9),4.52957 # DEPENDENCYPART_ARC
(7,10),0.448167 # DEPENDENCYPART_ARC
(7,11),-0.66401 # DEPENDENCYPART_ARC
(7,12),-0.87345 # DEPENDENCYPART_ARC
(7,13),-2.59403 # DEPENDENCYPART_ARC
(7,14),-1.44784 # DEPENDENCYPART_ARC
(7,15),-2.33712 # DEPENDENCYPART_ARC
(7,16),-2.73478 # DEPENDENCYPART_ARC
(7,17),-2.45222 # DEPENDENCYPART_ARC
(7,18),-4.08622 # DEPENDENCYPART_ARC
(7,19),-1.23086 # DEPENDENCYPART_ARC
(7,20),-6.75038 # DEPENDENCYPART_ARC
(7,21),-1.90713 # DEPENDENCYPART_ARC
(7,22),-0.911077 # DEPENDENCYPART_ARC
(8,1),-3.58016 # DEPENDENCYPART_ARC
(8,2),-3.12519 # DEPENDENCYPART_ARC
(8,3),-3.66961 # DEPENDENCYPART_ARC
(8,4),-2.87178 # DEPENDENCYPART_ARC
(8,5),-3.2282 # DEPENDENCYPART_ARC
(8,6),-1.82023 # DEPENDENCYPART_ARC
(8,7),-1.29993 # DEPENDENCYPART_ARC
(8,9),0.118517 # DEPENDENCYPART_ARC
(8,10),-1.73231 # DEPENDENCYPART_ARC
(8,11),-2.16027 # DEPENDENCYPART_ARC
(8,12),-2.99166 # DEPENDENCYPART_ARC
(8,13),-0.499362 # DEPENDENCYPART_ARC
(8,14),-2.60507 # DEPENDENCYPART_ARC
(8,15),-2.65556 # DEPENDENCYPART_ARC
(8,16),-4.02254 # DEPENDENCYPART_ARC
(8,17),-4.44623 # DEPENDENCYPART_ARC
(8,18),-4.64015 # DEPENDENCYPART_ARC
(8,19),-3.50646 # DEPENDENCYPART_ARC
(8,20),-5.04855 # DEPENDENCYPART_ARC
(8,21),-3.89846 # DEPENDENCYPART_ARC
(8,22),-3.96059 # DEPENDENCYPART_ARC
(9,1),-1.557 # DEPENDENCYPART_ARC
(9,2),-0.28061 # DEPENDENCYPART_ARC
(9,3),-1.18165 # DEPENDENCYPART_ARC
(9,4),-0.46154 # DEPENDENCYPART_ARC
(9,5),-0.241426 # DEPENDENCYPART_ARC
(9,6),-1.27482 # DEPENDENCYPART_ARC
(9,7),0.935849 # DEPENDENCYPART_ARC
(9,8),4.94873 # DEPENDENCYPART_ARC
(9,10),0.587959 # DEPENDENCYPART_ARC
(9,11),0.812595 # DEPENDENCYPART_ARC
(9,12),-1.3197 # DEPENDENCYPART_ARC
(9,13),-1.82515 # DEPENDENCYPART_ARC
(9,14),-0.634312 # DEPENDENCYPART_ARC
(9,15),-0.743583 # DEPENDENCYPART_ARC
(9,16),-1.23742 # DEPENDENCYPART_ARC
(9,17),-2.28562 # DEPENDENCYPART_ARC
(9,18),-0.332095 # DEPENDENCYPART_ARC
(9,19),0.21217 # DEPENDENCYPART_ARC
(9,20),-0.346068 # DEPENDENCYPART_ARC
(9,21),-0.986797 # DEPENDENCYPART_ARC
(9,22),-0.170702 # DEPENDENCYPART_ARC
(10,1),-3.73733 # DEPENDENCYPART_ARC
(10,2),-2.24987 # DEPENDENCYPART_ARC
(10,3),-3.42467 # DEPENDENCYPART_ARC
(10,4),-2.48483 # DEPENDENCYPART_ARC
(10,5),-3.19838 # DEPENDENCYPART_ARC
(10,6),-2.37364 # DEPENDENCYPART_ARC
(10,7),-1.89458 # DEPENDENCYPART_ARC
(10,8),-1.51092 # DEPENDENCYPART_ARC
(10,9),-1.75882 # DEPENDENCYPART_ARC
(10,11),-0.788743 # DEPENDENCYPART_ARC
(10,12),-2.11902 # DEPENDENCYPART_ARC
(10,13),-2.6229 # DEPENDENCYPART_ARC
(10,14),-2.24197 # DEPENDENCYPART_ARC
(10,15),-2.38888 # DEPENDENCYPART_ARC
(10,16),-2.44067 # DEPENDENCYPART_ARC
(10,17),-2.99689 # DEPENDENCYPART_ARC
(10,18),-2.60292 # DEPENDENCYPART_ARC
(10,19),-1.77766 # DEPENDENCYPART_ARC
(10,20),-2.70891 # DEPENDENCYPART_ARC
(10,21),-1.87978 # DEPENDENCYPART_ARC
(10,22),-2.09563 # DEPENDENCYPART_ARC
(11,1),1.45768 # DEPENDENCYPART_ARC
(11,2),-0.243193 # DEPENDENCYPART_ARC
(11,3),1.12489 # DEPENDENCYPART_ARC
(11,4),0.444836 # DEPENDENCYPART_ARC
(11,5),0.452785 # DEPENDENCYPART_ARC
(11,6),0.125808 # DEPENDENCYPART_ARC
(11,7),0.924852 # DEPENDENCYPART_ARC
(11,8),0.949893 # DEPENDENCYPART_ARC
(11,9),2.27789 # DEPENDENCYPART_ARC
(11,10),1.53592 # DEPENDENCYPART_ARC
(11,12),4.01414 # DEPENDENCYPART_ARC
(11,13),-1.02502 # DEPENDENCYPART_ARC
(11,14),2.63187 # DEPENDENCYPART_ARC
(11,15),0.88897 # DEPENDENCYPART_ARC
(11,16),0.614406 # DEPENDENCYPART_ARC
(11,17),-2.52756 # DEPENDENCYPART_ARC
(11,18),2.08616 # DEPENDENCYPART_ARC
(11,19),1.02505 # DEPENDENCYPART_ARC
(11,20),0.59187 # DEPENDENCYPART_ARC
(11,21),1.35272 # DEPENDENCYPART_ARC
(11,22),3.23422 # DEPENDENCYPART_ARC
(12,1),-3.91208 # DEPENDENCYPART_ARC
(12,2),-2.48498 # DEPENDENCYPART_ARC
(12,3),-3.44394 # DEPENDENCYPART_ARC
(12,4),-2.67553 # DEPENDENCYPART_ARC
(12,5),-2.80187 # DEPENDENCYPART_ARC
(12,6),-2.41641 # DEPENDENCYPART_ARC
(12,7),-1.52082 # DEPENDENCYPART_ARC
(12,8),-1.09021 # DEPENDENCYPART_ARC
(12,9),-2.59486 # DEPENDENCYPART_ARC
(12,10),-0.776669 # DEPENDENCYPART_ARC
(12,11),0.00845682 # DEPENDENCYPART_ARC
(12,13),0.166052 # DEPENDENCYPART_ARC
(12,14),4.32248 # DEPENDENCYPART_ARC
(12,15),-0.291218 # DEPENDENCYPART_ARC
(12,16),1.94977 # DEPENDENCYPART_ARC
(12,17),-1.68639 # DEPENDENCYPART_ARC
(12,18),-0.683267 # DEPENDENCYPART_ARC
(12,19),0.315897 # DEPENDENCYPART_ARC
(12,20),-3.42315 # DEPENDENCYPART_ARC
(12,21),-0.127612 # DEPENDENCYPART_ARC
(12,22),-0.903886 # DEPENDENCYPART_ARC
(13,1),-2.70659 # DEPENDENCYPART_ARC
(13,2),-2.20274 # DEPENDENCYPART_ARC
(13,3),-2.80606 # DEPENDENCYPART_ARC
(13,4),-2.44847 # DEPENDENCYPART_ARC
(13,5),-2.75346 # DEPENDENCYPART_ARC
(13,6),-1.85035 # DEPENDENCYPART_ARC
(13,7),-1.92512 # DEPENDENCYPART_ARC
(13,8),-1.04445 # DEPENDENCYPART_ARC
(13,9),-1.81386 # DEPENDENCYPART_ARC
(13,10),-1.20558 # DEPENDENCYPART_ARC
(13,11),-1.43487 # DEPENDENCYPART_ARC
(13,12),0.0244475 # DEPENDENCYPART_ARC
(13,14),2.80649 # DEPENDENCYPART_ARC
(13,15),1.09952 # DEPENDENCYPART_ARC
(13,16),-1.14969 # DEPENDENCYPART_ARC
(13,17),-1.06728 # DEPENDENCYPART_ARC
(13,18),-2.03349 # DEPENDENCYPART_ARC
(13,19),-1.79789 # DEPENDENCYPART_ARC
(13,20),-2.98847 # DEPENDENCYPART_ARC
(13,21),-2.24743 # DEPENDENCYPART_ARC
(13,22),-2.26371 # DEPENDENCYPART_ARC
(14,1),-2.9671 # DEPENDENCYPART_ARC
(14,2),-1.69942 # DEPENDENCYPART_ARC
(14,3),-2.5344 # DEPENDENCYPART_ARC
(14,4),-2.06786 # DEPENDENCYPART_ARC
(14,5),-1.97259 # DEPENDENCYPART_ARC
(14,6),-3.45936 # DEPENDENCYPART_ARC
(14,7),-1.06782 # DEPENDENCYPART_ARC
(14,8),-1.19631 # DEPENDENCYPART_ARC
(14,9),-2.2829 # DEPENDENCYPART_ARC
(14,10),-0.541008 # DEPENDENCYPART_ARC
(14,11),-0.653024 # DEPENDENCYPART_ARC
(14,12),0.815443 # DEPENDENCYPART_ARC
(14,13),4.16222 # DEPENDENCYPART_ARC
(14,15),2.9244 # DEPENDENCYPART_ARC
(14,16),1.04287 # DEPENDENCYPART_ARC
(14,17),-0.786118 # DEPENDENCYPART_ARC
(14,18),1.1404 # DEPENDENCYPART_ARC
(14,19),1.09566 # DEPENDENCYPART_ARC
(14,20),1.73767 # DEPENDENCYPART_ARC
(14,21),0.532618 # DEPENDENCYPART_ARC
(14,22),0.455307 # DEPENDENCYPART_ARC
(15,1),-3.40805 # DEPENDENCYPART_ARC
(15,2),-2.45332 # DEPENDENCYPART_ARC
(15,3),-2.92541 # DEPENDENCYPART_ARC
(15,4),-2.59825 # DEPENDENCYPART_ARC
(15,5),-2.26878 # DEPENDENCYPART_ARC
(15,6),-2.44547 # DEPENDENCYPART_ARC
(15,7),-1.94141 # DEPENDENCYPART_ARC
(15,8),-1.32099 # DEPENDENCYPART_ARC
(15,9),-2.47601 # DEPENDENCYPART_ARC
(15,10),-1.22926 # DEPENDENCYPART_ARC
(15,11),-0.88831 # DEPENDENCYPART_ARC
(15,12),-0.774286 # DEPENDENCYPART_ARC
(15,13),0.914379 # DEPENDENCYPART_ARC
(15,14),0.00494066 # DEPENDENCYPART_ARC
(15,16),4.18023 # DEPENDENCYPART_ARC
(15,17),-1.2833 # DEPENDENCYPART_ARC
(15,18),-0.163887 # DEPENDENCYPART_ARC
(15,19),-0.645776 # DEPENDENCYPART_ARC
(15,20),-2.2335 # DEPENDENCYPART_ARC
(15,21),-1.35736 # DEPENDENCYPART_ARC
(15,22),-1.34635 # DEPENDENCYPART_ARC
(16,1),-2.47105 # DEPENDENCYPART_ARC
(16,2),-2.3737 # DEPENDENCYPART_ARC
(16,3),-2.32901 # DEPENDENCYPART_ARC
(16,4),-2.0061 # DEPENDENCYPART_ARC
(16,5),-1.88892 # DEPENDENCYPART_ARC
(16,6),-3.21627 # DEPENDENCYPART_ARC
(16,7),-1.37602 # DEPENDENCYPART_ARC
(16,8),-1.55764 # DEPENDENCYPART_ARC
(16,9),-2.0124 # DEPENDENCYPART_ARC
(16,10),-1.29915 # DEPENDENCYPART_ARC
(16,11),-1.33923 # DEPENDENCYPART_ARC
(16,12),-0.256232 # DEPENDENCYPART_ARC
(16,13),2.18094 # DEPENDENCYPART_ARC
(16,14),-0.0295657 # DEPENDENCYPART_ARC
(16,15),1.59909 # DEPENDENCYPART_ARC
(16,17),-0.139548 # DEPENDENCYPART_ARC
(16,18),-0.283459 # DEPENDENCYPART_ARC
(16,19),0.656798 # DEPENDENCYPART_ARC
(16,20),0.287643 # DEPENDENCYPART_ARC
(16,21),-1.16669 # DEPENDENCYPART_ARC
(16,22),-1.11576 # DEPENDENCYPART_ARC
(17,1),-3.16489 # DEPENDENCYPART_ARC
(17,2),-2.45699 # DEPENDENCYPART_ARC
(17,3),-3.43669 # DEPENDENCYPART_ARC
(17,4),-2.8748 # DEPENDENCYPART_ARC
(17,5),-3.7429 # DEPENDENCYPART_ARC
(17,6),-3.14196 # DEPENDENCYPART_ARC
(17,7),-2.31075 # DEPENDENCYPART_ARC
(17,8),-2.66851 # DEPENDENCYPART_ARC
(17,9),-2.63539 # DEPENDENCYPART_ARC
(17,10),-2.0528 # DEPENDENCYPART_ARC
(17,11),-3.2874 # DEPENDENCYPART_ARC
(17,12),-1.73758 # DEPENDENCYPART_ARC
(17,13),-0.917378 # DEPENDENCYPART_ARC
(17,14),-1.44347 # DEPENDENCYPART_ARC
(17,15),-0.783047 # DEPENDENCYPART_ARC
(17,16),-0.072008 # DEPENDENCYPART_ARC
(17,18),-0.33219 # DEPENDENCYPART_ARC
(17,19),-1.36483 # DEPENDENCYPART_ARC
(17,20),-2.59665 # DEPENDENCYPART_ARC
(17,21),-2.12433 # DEPENDENCYPART_ARC
(17,22),-2.18613 # DEPENDENCYPART_ARC
(18,1),-3.42004 # DEPENDENCYPART_ARC
(18,2),-2.58323 # DEPENDENCYPART_ARC
(18,3),-3.20104 # DEPENDENCYPART_ARC
(18,4),-2.84978 # DEPENDENCYPART_ARC
(18,5),-3.0483 # DEPENDENCYPART_ARC
(18,6),-4.2895 # DEPENDENCYPART_ARC
(18,7),-2.14137 # DEPENDENCYPART_ARC
(18,8),-2.5332 # DEPENDENCYPART_ARC
(18,9),-3.13354 # DEPENDENCYPART_ARC
(18,10),-1.68294 # DEPENDENCYPART_ARC
(18,11),-1.76548 # DEPENDENCYPART_ARC
(18,12),-1.06632 # DEPENDENCYPART_ARC
(18,13),0.809579 # DEPENDENCYPART_ARC
(18,14),-1.92838 # DEPENDENCYPART_ARC
(18,15),-0.632228 # DEPENDENCYPART_ARC
(18,16),-0.0828993 # DEPENDENCYPART_ARC
(18,17),3.6786 # DEPENDENCYPART_ARC
(18,19),2.14532 # DEPENDENCYPART_ARC
(18,20),2.34815 # DEPENDENCYPART_ARC
(18,21),1.33067 # DEPENDENCYPART_ARC
(18,22),1.43664 # DEPENDENCYPART_ARC
(19,1),-4.04404 # DEPENDENCYPART_ARC
(19,2),-2.90635 # DEPENDENCYPART_ARC
(19,3),-3.82595 # DEPENDENCYPART_ARC
(19,4),-2.92184 # DEPENDENCYPART_ARC
(19,5),-3.73568 # DEPENDENCYPART_ARC
(19,6),-3.12432 # DEPENDENCYPART_ARC
(19,7),-2.86374 # DEPENDENCYPART_ARC
(19,8),-3.6104 # DEPENDENCYPART_ARC
(19,9),-3.68316 # DEPENDENCYPART_ARC
(19,10),-2.7531 # DEPENDENCYPART_ARC
(19,11),-3.23369 # DEPENDENCYPART_ARC
(19,12),-2.3228 # DEPENDENCYPART_ARC
(19,13),-3.0179 # DEPENDENCYPART_ARC
(19,14),-3.09168 # DEPENDENCYPART_ARC
(19,15),-1.93305 # DEPENDENCYPART_ARC
(19,16),-2.5232 # DEPENDENCYPART_ARC
(19,17),-1.30516 # DEPENDENCYPART_ARC
(19,18),-1.49651 # DEPENDENCYPART_ARC
(19,20),-0.96499 # DEPENDENCYPART_ARC
(19,21),-1.49251 # DEPENDENCYPART_ARC
(19,22),-1.21614 # DEPENDENCYPART_ARC
(20,1),-2.00461 # DEPENDENCYPART_ARC
(20,2),-1.11298 # DEPENDENCYPART_ARC
(20,3),-1.63428 # DEPENDENCYPART_ARC
(20,4),-1.61305 # DEPENDENCYPART_ARC
(20,5),-0.70229 # DEPENDENCYPART_ARC
(20,6),-2.85404 # DEPENDENCYPART_ARC
(20,7),-0.796274 # DEPENDENCYPART_ARC
(20,8),-3.13542 # DEPENDENCYPART_ARC
(20,9),-1.83661 # DEPENDENCYPART_ARC
(20,10),-0.419929 # DEPENDENCYPART_ARC
(20,11),-0.874598 # DEPENDENCYPART_ARC
(20,12),-0.116691 # DEPENDENCYPART_ARC
(20,13),-0.434633 # DEPENDENCYPART_ARC
(20,14),-0.772529 # DEPENDENCYPART_ARC
(20,15),0.0279492 # DEPENDENCYPART_ARC
(20,16),0.726873 # DEPENDENCYPART_ARC
(20,17),1.49251 # DEPENDENCYPART_ARC
(20,18),0.516759 # DEPENDENCYPART_ARC
(20,19),4.4487 # DEPENDENCYPART_ARC
(20,21),3.53148 # DEPENDENCYPART_ARC
(20,22),0.393558 # DEPENDENCYPART_ARC
(21,1),-3.9188 # DEPENDENCYPART_ARC
(21,2),-2.87763 # DEPENDENCYPART_ARC
(21,3),-3.81404 # DEPENDENCYPART_ARC
(21,4),-2.9052 # DEPENDENCYPART_ARC
(21,5),-3.66287 # DEPENDENCYPART_ARC
(21,6),-2.98292 # DEPENDENCYPART_ARC
(21,7),-2.84862 # DEPENDENCYPART_ARC
(21,8),-3.56965 # DEPENDENCYPART_ARC
(21,9),-3.76022 # DEPENDENCYPART_ARC
(21,10),-2.76616 # DEPENDENCYPART_ARC
(21,11),-3.23081 # DEPENDENCYPART_ARC
(21,12),-2.39691 # DEPENDENCYPART_ARC
(21,13),-3.06635 # DEPENDENCYPART_ARC
(21,14),-3.13487 # DEPENDENCYPART_ARC
(21,15),-2.15267 # DEPENDENCYPART_ARC
(21,16),-2.88179 # DEPENDENCYPART_ARC
(21,17),-2.21382 # DEPENDENCYPART_ARC
(21,18),-2.59041 # DEPENDENCYPART_ARC
(21,19),-1.36857 # DEPENDENCYPART_ARC
(21,20),-1.27929 # DEPENDENCYPART_ARC
(21,22),-0.631146 # DEPENDENCYPART_ARC
(22,1),-4.37308 # DEPENDENCYPART_ARC
(22,2),-3.26716 # DEPENDENCYPART_ARC
(22,3),-4.06458 # DEPENDENCYPART_ARC
(22,4),-3.29952 # DEPENDENCYPART_ARC
(22,5),-3.95951 # DEPENDENCYPART_ARC
(22,6),-3.38715 # DEPENDENCYPART_ARC
(22,7),-3.11452 # DEPENDENCYPART_ARC
(22,8),-3.93117 # DEPENDENCYPART_ARC
(22,9),-4.01634 # DEPENDENCYPART_ARC
(22,10),-3.16774 # DEPENDENCYPART_ARC
(22,11),-3.61914 # DEPENDENCYPART_ARC
(22,12),-2.66182 # DEPENDENCYPART_ARC
(22,13),-3.50603 # DEPENDENCYPART_ARC
(22,14),-3.43696 # DEPENDENCYPART_ARC
(22,15),-2.554 # DEPENDENCYPART_ARC
(22,16),-3.22677 # DEPENDENCYPART_ARC
(22,17),-2.74248 # DEPENDENCYPART_ARC
(22,18),-3.04426 # DEPENDENCYPART_ARC
(22,19),-2.08078 # DEPENDENCYPART_ARC
(22,20),-2.35558 # DEPENDENCYPART_ARC
(22,21),-1.04643 # DEPENDENCYPART_ARC
