# _root_ A Tampere , l' octubre_del_1999 , el Consell_Europeu va intentar precisar el contingut d' aquest nou enfocament .
#goldHeads=10,1,1,5,10,5,8,10,10,0,10,13,11,13,17,17,14,10,
#predictedHeads=10,1,1,5,10,1,8,10,10,0,10,13,11,13,17,17,14,10,
(3,13),-2.29535 # DEPENDENCYPART_ARC
(3,14),-2.44841 # DEPENDENCYPART_ARC
(3,15),-2.9534 # DEPENDENCYPART_ARC
(3,16),-2.48019 # DEPENDENCYPART_ARC
(3,17),-2.43119 # DEPENDENCYPART_ARC
(3,18),-1.90139 # DEPENDENCYPART_ARC
(4,1),-1.25628 # DEPENDENCYPART_ARC
(4,2),-1.29811 # DEPENDENCYPART_ARC
(4,3),-0.122136 # DEPENDENCYPART_ARC
(4,5),0.857713 # DEPENDENCYPART_ARC
(4,6),-0.671597 # DEPENDENCYPART_ARC
(4,7),-0.255638 # DEPENDENCYPART_ARC
(4,8),-2.23756 # DEPENDENCYPART_ARC
(4,9),-1.91383 # DEPENDENCYPART_ARC
(4,10),-2.31778 # DEPENDENCYPART_ARC
(4,11),-2.47196 # DEPENDENCYPART_ARC
(4,12),-2.95392 # DEPENDENCYPART_ARC
(4,13),-3.69642 # DEPENDENCYPART_ARC
(4,14),-3.23672 # DEPENDENCYPART_ARC
(4,15),-3.35396 # DEPENDENCYPART_ARC
(4,16),-3.54065 # DEPENDENCYPART_ARC
(4,17),-4.55375 # DEPENDENCYPART_ARC
(4,18),-2.98569 # DEPENDENCYPART_ARC
(5,1),-0.153539 # DEPENDENCYPART_ARC
(5,2),-0.421328 # DEPENDENCYPART_ARC
(5,3),2.42264 # DEPENDENCYPART_ARC
(5,4),4.18177 # DEPENDENCYPART_ARC
(5,6),1.9032 # DEPENDENCYPART_ARC
(5,7),0.424271 # DEPENDENCYPART_ARC
(5,8),0.358446 # DEPENDENCYPART_ARC
(5,9),0.990931 # DEPENDENCYPART_ARC
(5,10),0.354992 # DEPENDENCYPART_ARC
(5,11),0.0453586 # DEPENDENCYPART_ARC
(5,12),-1.20034 # DEPENDENCYPART_ARC
(5,13),-0.478845 # DEPENDENCYPART_ARC
(5,14),-0.733385 # DEPENDENCYPART_ARC
(5,15),-1.26085 # DEPENDENCYPART_ARC
(5,16),-0.448558 # DEPENDENCYPART_ARC
(5,17),-0.78416 # DEPENDENCYPART_ARC
(5,18),0.091928 # DEPENDENCYPART_ARC
(6,1),-1.9473 # DEPENDENCYPART_ARC
(6,2),-2.61617 # DEPENDENCYPART_ARC
(6,3),-1.44256 # DEPENDENCYPART_ARC
(6,4),-1.07999 # DEPENDENCYPART_ARC
(6,5),-0.751957 # DEPENDENCYPART_ARC
(6,7),-1.15106 # DEPENDENCYPART_ARC
(6,8),-1.11783 # DEPENDENCYPART_ARC
(6,9),-1.16667 # DEPENDENCYPART_ARC
(6,10),-1.75671 # DEPENDENCYPART_ARC
(6,11),-1.96177 # DEPENDENCYPART_ARC
(6,12),-2.87036 # DEPENDENCYPART_ARC
(6,13),-2.30494 # DEPENDENCYPART_ARC
(6,14),-2.45927 # DEPENDENCYPART_ARC
(6,15),-2.93278 # DEPENDENCYPART_ARC
(6,16),-2.47378 # DEPENDENCYPART_ARC
(6,17),-2.45057 # DEPENDENCYPART_ARC
(6,18),-1.9587 # DEPENDENCYPART_ARC
(7,1),-2.11475 # DEPENDENCYPART_ARC
(7,2),-2.21154 # DEPENDENCYPART_ARC
(7,3),-1.70457 # DEPENDENCYPART_ARC
(7,4),-1.31496 # DEPENDENCYPART_ARC
(7,5),-1.18793 # DEPENDENCYPART_ARC
(7,6),-0.0105212 # DEPENDENCYPART_ARC
(7,8),-0.288824 # DEPENDENCYPART_ARC
(7,9),-1.61957 # DEPENDENCYPART_ARC
(7,10),-2.04756 # DEPENDENCYPART_ARC
(7,11),-2.34007 # DEPENDENCYPART_ARC
(7,12),-1.99143 # DEPENDENCYPART_ARC
(7,13),-3.34883 # DEPENDENCYPART_ARC
(7,14),-3.16159 # DEPENDENCYPART_ARC
(7,15),-3.10968 # DEPENDENCYPART_ARC
(7,16),-3.22495 # DEPENDENCYPART_ARC
(7,17),-4.55556 # DEPENDENCYPART_ARC
(7,18),-3.42 # DEPENDENCYPART_ARC
(8,1),-1.1086 # DEPENDENCYPART_ARC
(8,2),-1.24305 # DEPENDENCYPART_ARC
(8,3),-0.701233 # DEPENDENCYPART_ARC
(8,4),0.416264 # DEPENDENCYPART_ARC
(8,5),-0.949288 # DEPENDENCYPART_ARC
(8,6),0.36339 # DEPENDENCYPART_ARC
(8,7),4.18151 # DEPENDENCYPART_ARC
(8,9),0.362675 # DEPENDENCYPART_ARC
(8,10),-0.29022 # DEPENDENCYPART_ARC
(8,11),-1.07911 # DEPENDENCYPART_ARC
(8,12),-1.97163 # DEPENDENCYPART_ARC
(8,13),-1.3065 # DEPENDENCYPART_ARC
(8,14),-1.25185 # DEPENDENCYPART_ARC
(8,15),-2.34 # DEPENDENCYPART_ARC
(8,16),-1.70518 # DEPENDENCYPART_ARC
(8,17),-1.11797 # DEPENDENCYPART_ARC
(8,18),-0.246731 # DEPENDENCYPART_ARC
(9,1),-0.918768 # DEPENDENCYPART_ARC
(9,2),-1.83413 # DEPENDENCYPART_ARC
(9,3),-1.53643 # DEPENDENCYPART_ARC
(9,4),-2.26018 # DEPENDENCYPART_ARC
(9,5),-1.46744 # DEPENDENCYPART_ARC
(9,6),-0.794043 # DEPENDENCYPART_ARC
(9,7),-1.19498 # DEPENDENCYPART_ARC
(9,8),0.253354 # DEPENDENCYPART_ARC
(9,10),0.211677 # DEPENDENCYPART_ARC
(9,11),-0.352617 # DEPENDENCYPART_ARC
(9,12),-4.4073 # DEPENDENCYPART_ARC
(9,13),-0.372048 # DEPENDENCYPART_ARC
(9,14),-1.34285 # DEPENDENCYPART_ARC
(9,15),-4.52236 # DEPENDENCYPART_ARC
(9,16),-2.09677 # DEPENDENCYPART_ARC
(9,17),-1.41151 # DEPENDENCYPART_ARC
(9,18),1.6527 # DEPENDENCYPART_ARC
(10,1),1.82858 # DEPENDENCYPART_ARC
(10,2),0.859205 # DEPENDENCYPART_ARC
(10,3),0.201397 # DEPENDENCYPART_ARC
(10,4),0.122165 # DEPENDENCYPART_ARC
(10,5),0.80969 # DEPENDENCYPART_ARC
(10,6),0.648256 # DEPENDENCYPART_ARC
(10,7),1.26803 # DEPENDENCYPART_ARC
(10,8),2.54628 # DEPENDENCYPART_ARC
(10,9),5.02664 # DEPENDENCYPART_ARC
(10,11),4.27759 # DEPENDENCYPART_ARC
(10,12),-0.828946 # DEPENDENCYPART_ARC
(10,13),1.82827 # DEPENDENCYPART_ARC
(10,14),1.09 # DEPENDENCYPART_ARC
(10,15),-1.47551 # DEPENDENCYPART_ARC
(10,16),-0.168716 # DEPENDENCYPART_ARC
(10,17),0.526858 # DEPENDENCYPART_ARC
(10,18),3.99582 # DEPENDENCYPART_ARC
(11,1),-1.10824 # DEPENDENCYPART_ARC
(11,2),-1.84862 # DEPENDENCYPART_ARC
(11,3),-2.47835 # DEPENDENCYPART_ARC
(11,4),-2.59586 # DEPENDENCYPART_ARC
(11,5),-1.32379 # DEPENDENCYPART_ARC
(11,6),-2.24509 # DEPENDENCYPART_ARC
(11,7),-1.73231 # DEPENDENCYPART_ARC
(11,8),0.711598 # DEPENDENCYPART_ARC
(11,9),3.0045 # DEPENDENCYPART_ARC
(11,10),1.71689 # DEPENDENCYPART_ARC
(11,12),-1.00041 # DEPENDENCYPART_ARC
(11,13),3.32972 # DEPENDENCYPART_ARC
(11,14),0.990662 # DEPENDENCYPART_ARC
(11,15),-2.02188 # DEPENDENCYPART_ARC
(11,16),-0.490647 # DEPENDENCYPART_ARC
(11,17),1.12972 # DEPENDENCYPART_ARC
(11,18),3.97036 # DEPENDENCYPART_ARC
(12,1),-3.52553 # DEPENDENCYPART_ARC
(12,2),-3.30333 # DEPENDENCYPART_ARC
(12,3),-2.91233 # DEPENDENCYPART_ARC
(12,4),-3.4289 # DEPENDENCYPART_ARC
(12,5),-2.91292 # DEPENDENCYPART_ARC
(12,6),-2.56591 # DEPENDENCYPART_ARC
(12,7),-1.95904 # DEPENDENCYPART_ARC
(12,8),-2.57672 # DEPENDENCYPART_ARC
(12,9),-3.01479 # DEPENDENCYPART_ARC
(12,10),-2.24029 # DEPENDENCYPART_ARC
(12,11),-1.37674 # DEPENDENCYPART_ARC
(12,13),2.01586 # DEPENDENCYPART_ARC
(12,14),-0.0205947 # DEPENDENCYPART_ARC
(12,15),-0.0270711 # DEPENDENCYPART_ARC
(12,16),-1.05338 # DEPENDENCYPART_ARC
(12,17),-2.10771 # DEPENDENCYPART_ARC
(12,18),-1.83403 # DEPENDENCYPART_ARC
(13,1),-2.11511 # DEPENDENCYPART_ARC
(13,2),-2.2409 # DEPENDENCYPART_ARC
(13,3),-1.09747 # DEPENDENCYPART_ARC
(13,4),-2.64927 # DEPENDENCYPART_ARC
(13,5),-1.96905 # DEPENDENCYPART_ARC
(13,6),-1.10548 # DEPENDENCYPART_ARC
(13,7),-1.51255 # DEPENDENCYPART_ARC
(13,8),-1.67926 # DEPENDENCYPART_ARC
(13,9),-1.30984 # DEPENDENCYPART_ARC
(13,10),-1.00887 # DEPENDENCYPART_ARC
(13,11),0.256501 # DEPENDENCYPART_ARC
(13,12),4.30441 # DEPENDENCYPART_ARC
(13,14),2.81983 # DEPENDENCYPART_ARC
(13,15),-0.129768 # DEPENDENCYPART_ARC
(13,16),1.3587 # DEPENDENCYPART_ARC
(13,17),1.21767 # DEPENDENCYPART_ARC
(13,18),0.884583 # DEPENDENCYPART_ARC
(14,1),-3.54794 # DEPENDENCYPART_ARC
(14,2),-3.12163 # DEPENDENCYPART_ARC
(14,3),-2.67712 # DEPENDENCYPART_ARC
(14,4),-1.94561 # DEPENDENCYPART_ARC
(14,5),-1.83086 # DEPENDENCYPART_ARC
(14,6),-2.36242 # DEPENDENCYPART_ARC
(14,7),-1.68585 # DEPENDENCYPART_ARC
(14,8),-2.43027 # DEPENDENCYPART_ARC
(14,9),-1.06811 # DEPENDENCYPART_ARC
(14,10),-1.21241 # DEPENDENCYPART_ARC
(14,11),-0.590565 # DEPENDENCYPART_ARC
(14,12),0.47789 # DEPENDENCYPART_ARC
(14,13),-0.226522 # DEPENDENCYPART_ARC
(14,15),0.144042 # DEPENDENCYPART_ARC
(14,16),1.57694 # DEPENDENCYPART_ARC
(14,17),3.60241 # DEPENDENCYPART_ARC
(14,18),0.134034 # DEPENDENCYPART_ARC
(15,1),-2.81151 # DEPENDENCYPART_ARC
(15,2),-2.70064 # DEPENDENCYPART_ARC
(15,3),-2.11953 # DEPENDENCYPART_ARC
(15,4),-3.38711 # DEPENDENCYPART_ARC
(15,5),-2.05858 # DEPENDENCYPART_ARC
(15,6),-1.91494 # DEPENDENCYPART_ARC
(15,7),-2.4057 # DEPENDENCYPART_ARC
(15,8),-2.15506 # DEPENDENCYPART_ARC
(15,9),-2.751 # DEPENDENCYPART_ARC
(15,10),-2.34037 # DEPENDENCYPART_ARC
(15,11),-1.97345 # DEPENDENCYPART_ARC
(15,12),-0.486859 # DEPENDENCYPART_ARC
(15,13),-0.869468 # DEPENDENCYPART_ARC
(15,14),0.428842 # DEPENDENCYPART_ARC
(15,16),0.671722 # DEPENDENCYPART_ARC
(15,17),-0.00733061 # DEPENDENCYPART_ARC
(15,18),-1.05988 # DEPENDENCYPART_ARC
(16,1),-4.04104 # DEPENDENCYPART_ARC
(16,2),-3.98665 # DEPENDENCYPART_ARC
(16,3),-3.83974 # DEPENDENCYPART_ARC
(16,4),-2.71379 # DEPENDENCYPART_ARC
(16,5),-2.71448 # DEPENDENCYPART_ARC
(16,6),-3.14837 # DEPENDENCYPART_ARC
(16,7),-2.27811 # DEPENDENCYPART_ARC
(16,8),-3.13065 # DEPENDENCYPART_ARC
(16,9),-2.78833 # DEPENDENCYPART_ARC
(16,10),-2.86461 # DEPENDENCYPART_ARC
(16,11),-2.35994 # DEPENDENCYPART_ARC
(16,12),-0.549909 # DEPENDENCYPART_ARC
(16,13),-1.57635 # DEPENDENCYPART_ARC
(16,14),-0.00635446 # DEPENDENCYPART_ARC
(16,15),1.57113 # DEPENDENCYPART_ARC
(16,17),0.905297 # DEPENDENCYPART_ARC
(16,18),-1.4713 # DEPENDENCYPART_ARC
(17,1),-1.84858 # DEPENDENCYPART_ARC
(17,2),-1.4639 # DEPENDENCYPART_ARC
(17,3),-0.396847 # DEPENDENCYPART_ARC
(17,4),-3.2674 # DEPENDENCYPART_ARC
(17,5),-1.85587 # DEPENDENCYPART_ARC
(17,6),-0.354037 # DEPENDENCYPART_ARC
(17,7),-2.84057 # DEPENDENCYPART_ARC
(17,8),-1.80666 # DEPENDENCYPART_ARC
(17,9),-1.2225 # DEPENDENCYPART_ARC
(17,10),-1.24703 # DEPENDENCYPART_ARC
(17,11),-0.65535 # DEPENDENCYPART_ARC
(17,12),1.12613 # DEPENDENCYPART_ARC
(17,13),-0.736731 # DEPENDENCYPART_ARC
(17,14),1.06675 # DEPENDENCYPART_ARC
(17,15),4.40052 # DEPENDENCYPART_ARC
(17,16),5.23636 # DEPENDENCYPART_ARC
(17,18),1.05127 # DEPENDENCYPART_ARC
(18,1),-3.91798 # DEPENDENCYPART_ARC
(18,2),-4.81389 # DEPENDENCYPART_ARC
(18,3),-3.7952 # DEPENDENCYPART_ARC
(18,4),-4.61756 # DEPENDENCYPART_ARC
(18,5),-4.14932 # DEPENDENCYPART_ARC
(18,6),-3.68247 # DEPENDENCYPART_ARC
(18,7),-4.52088 # DEPENDENCYPART_ARC
(18,8),-4.43843 # DEPENDENCYPART_ARC
(18,9),-4.29912 # DEPENDENCYPART_ARC
(18,10),-4.16496 # DEPENDENCYPART_ARC
(18,11),-3.90752 # DEPENDENCYPART_ARC
(18,12),-3.7328 # DEPENDENCYPART_ARC
(18,13),-3.769 # DEPENDENCYPART_ARC
(18,14),-2.57573 # DEPENDENCYPART_ARC
(18,15),-2.77706 # DEPENDENCYPART_ARC
(18,16),-2.2771 # DEPENDENCYPART_ARC
(18,17),-2.13024 # DEPENDENCYPART_ARC
