# _root_ Řešení by se však hledat mělo , protože oba festivaly měly jednak vysokou úroveň , jednak lákaly do Prahy řadu turistů .
#goldHeads=6,6,6,6,6,0,8,6,10,16,16,16,14,11,16,8,16,17,18,17,20,0,
#predictedHeads=6,6,6,0,6,4,8,6,10,11,8,16,14,11,16,11,16,17,18,17,20,0,
(9,7),-1.23976 # DEPENDENCYPART_ARC
(9,8),-0.0449469 # DEPENDENCYPART_ARC
(9,10),-0.0228427 # DEPENDENCYPART_ARC
(10,3),-5.17659 # DEPENDENCYPART_ARC
(10,7),-0.514521 # DEPENDENCYPART_ARC
(10,8),-0.0131356 # DEPENDENCYPART_ARC
(10,9),4.34654 # DEPENDENCYPART_ARC
(10,12),-0.697171 # DEPENDENCYPART_ARC
(10,13),-5.7073 # DEPENDENCYPART_ARC
(10,14),-4.0464 # DEPENDENCYPART_ARC
(11,1),-0.429288 # DEPENDENCYPART_ARC
(11,2),1.14943 # DEPENDENCYPART_ARC
(11,3),0.365239 # DEPENDENCYPART_ARC
(11,4),1.16989 # DEPENDENCYPART_ARC
(11,5),-0.0318216 # DEPENDENCYPART_ARC
(11,6),-1.80572 # DEPENDENCYPART_ARC
(11,7),0.266283 # DEPENDENCYPART_ARC
(11,8),1.04734 # DEPENDENCYPART_ARC
(11,9),1.7522 # DEPENDENCYPART_ARC
(11,10),2.95253 # DEPENDENCYPART_ARC
(11,12),1.01288 # DEPENDENCYPART_ARC
(11,13),-1.9228 # DEPENDENCYPART_ARC
(11,14),2.00251 # DEPENDENCYPART_ARC
(11,15),0.362471 # DEPENDENCYPART_ARC
(11,16),1.12195 # DEPENDENCYPART_ARC
(11,17),-2.10076 # DEPENDENCYPART_ARC
(11,18),0.51418 # DEPENDENCYPART_ARC
(11,19),-4.44808 # DEPENDENCYPART_ARC
(11,20),-0.503636 # DEPENDENCYPART_ARC
(11,21),-2.66298 # DEPENDENCYPART_ARC
(12,1),-1.28368 # DEPENDENCYPART_ARC
(12,2),-0.881498 # DEPENDENCYPART_ARC
(12,3),-0.316124 # DEPENDENCYPART_ARC
(12,4),0.869141 # DEPENDENCYPART_ARC
(12,5),-0.525905 # DEPENDENCYPART_ARC
(12,6),-0.606774 # DEPENDENCYPART_ARC
(12,7),1.23484 # DEPENDENCYPART_ARC
(12,8),1.06428 # DEPENDENCYPART_ARC
(12,9),1.03964 # DEPENDENCYPART_ARC
(12,10),0.243789 # DEPENDENCYPART_ARC
(12,11),1.38118 # DEPENDENCYPART_ARC
(12,13),0.556662 # DEPENDENCYPART_ARC
(12,14),0.319422 # DEPENDENCYPART_ARC
(12,15),-0.272268 # DEPENDENCYPART_ARC
(12,16),-0.239728 # DEPENDENCYPART_ARC
(12,17),-0.369022 # DEPENDENCYPART_ARC
(12,18),-1.48205 # DEPENDENCYPART_ARC
(12,20),-2.11004 # DEPENDENCYPART_ARC
(12,21),-2.35171 # DEPENDENCYPART_ARC
(13,12),-0.260313 # DEPENDENCYPART_ARC
(13,14),-1.07975 # DEPENDENCYPART_ARC
(13,17),-2.11566 # DEPENDENCYPART_ARC
(14,9),-2.91638 # DEPENDENCYPART_ARC
(14,10),-5.14445 # DEPENDENCYPART_ARC
(14,12),1.43912 # DEPENDENCYPART_ARC
(14,13),4.37641 # DEPENDENCYPART_ARC
(14,15),-0.0900654 # DEPENDENCYPART_ARC
(14,16),0.411476 # DEPENDENCYPART_ARC
(14,17),-1.04931 # DEPENDENCYPART_ARC
(14,18),-1.75359 # DEPENDENCYPART_ARC
(14,19),-0.878773 # DEPENDENCYPART_ARC
(14,20),-3.2005 # DEPENDENCYPART_ARC
(14,21),-1.93331 # DEPENDENCYPART_ARC
(15,1),-3.06675 # DEPENDENCYPART_ARC
(15,5),-0.828909 # DEPENDENCYPART_ARC
(15,6),-1.5258 # DEPENDENCYPART_ARC
(15,10),-1.11125 # DEPENDENCYPART_ARC
(15,11),-0.0945654 # DEPENDENCYPART_ARC
(15,12),-0.384116 # DEPENDENCYPART_ARC
(15,13),-0.718664 # DEPENDENCYPART_ARC
(15,14),-0.64917 # DEPENDENCYPART_ARC
(15,16),0.166098 # DEPENDENCYPART_ARC
(15,17),-0.0431657 # DEPENDENCYPART_ARC
(15,18),-0.828699 # DEPENDENCYPART_ARC
(15,19),-1.24294 # DEPENDENCYPART_ARC
(15,20),-1.38925 # DEPENDENCYPART_ARC
(15,21),-1.4588 # DEPENDENCYPART_ARC
(16,1),0.41349 # DEPENDENCYPART_ARC
(16,2),0.478807 # DEPENDENCYPART_ARC
(16,3),-0.856062 # DEPENDENCYPART_ARC
(16,4),1.06161 # DEPENDENCYPART_ARC
(16,5),0.18479 # DEPENDENCYPART_ARC
(16,6),0.392308 # DEPENDENCYPART_ARC
(16,7),0.0790842 # DEPENDENCYPART_ARC
(16,8),1.0862 # DEPENDENCYPART_ARC
(16,9),-0.624058 # DEPENDENCYPART_ARC
(16,10),0.703619 # DEPENDENCYPART_ARC
(16,11),1.84552 # DEPENDENCYPART_ARC
(16,12),1.73776 # DEPENDENCYPART_ARC
(16,13),0.343512 # DEPENDENCYPART_ARC
(16,14),0.0553071 # DEPENDENCYPART_ARC
(16,15),2.37685 # DEPENDENCYPART_ARC
(16,17),1.26082 # DEPENDENCYPART_ARC
(16,18),-0.680646 # DEPENDENCYPART_ARC
(16,19),-1.07127 # DEPENDENCYPART_ARC
(16,20),-1.17116 # DEPENDENCYPART_ARC
(16,21),-1.52697 # DEPENDENCYPART_ARC
(16,22),-0.738913 # DEPENDENCYPART_ARC
(17,1),-1.57899 # DEPENDENCYPART_ARC
(17,2),-0.302969 # DEPENDENCYPART_ARC
(17,3),-1.93644 # DEPENDENCYPART_ARC
(17,4),-0.0681161 # DEPENDENCYPART_ARC
(17,5),-1.79296 # DEPENDENCYPART_ARC
(17,8),-0.144563 # DEPENDENCYPART_ARC
(17,9),-0.388003 # DEPENDENCYPART_ARC
(17,10),0.270553 # DEPENDENCYPART_ARC
(17,11),-1.96238 # DEPENDENCYPART_ARC
(17,12),-0.647983 # DEPENDENCYPART_ARC
(17,13),-3.33243 # DEPENDENCYPART_ARC
(17,14),-0.594779 # DEPENDENCYPART_ARC
(17,15),0.446164 # DEPENDENCYPART_ARC
(17,16),0.835895 # DEPENDENCYPART_ARC
(17,18),2.64033 # DEPENDENCYPART_ARC
(17,19),-2.2562 # DEPENDENCYPART_ARC
(17,20),2.02736 # DEPENDENCYPART_ARC
(17,21),-0.354763 # DEPENDENCYPART_ARC
(18,19),4.15924 # DEPENDENCYPART_ARC
(18,20),-1.23548 # DEPENDENCYPART_ARC
(18,21),-1.57269 # DEPENDENCYPART_ARC
(19,18),0.339796 # DEPENDENCYPART_ARC
(19,20),-2.66024 # DEPENDENCYPART_ARC
(19,21),-0.743973 # DEPENDENCYPART_ARC
(20,18),0.132217 # DEPENDENCYPART_ARC
(20,19),-0.129509 # DEPENDENCYPART_ARC
(20,21),3.61392 # DEPENDENCYPART_ARC
(20,22),-0.0927645 # DEPENDENCYPART_ARC
(21,14),-7.69976 # DEPENDENCYPART_ARC
(21,18),-0.168294 # DEPENDENCYPART_ARC
(21,19),-1.62851 # DEPENDENCYPART_ARC
(21,20),-2.59322 # DEPENDENCYPART_ARC
(21,22),0.137596 # DEPENDENCYPART_ARC
