# _root_ Celý film připomíná spíš několik samostatných , volně řazených epizod , v nichž se vždycky jedna z hrdinek octne v nesnázích a zbývající tři ji společně zachraňují .
#goldHeads=2,3,0,3,3,7,10,9,7,5,22,22,12,19,19,19,16,17,22,19,20,10,27,27,27,27,22,0,
#predictedHeads=2,3,0,5,3,5,10,9,10,4,27,27,12,19,19,19,16,17,10,19,20,20,27,27,27,27,22,0,
(5,4),1.78923 # DEPENDENCYPART_ARC
(5,6),1.2582 # DEPENDENCYPART_ARC
(6,1),-4.78568 # DEPENDENCYPART_ARC
(6,2),-3.36696 # DEPENDENCYPART_ARC
(6,3),-2.3008 # DEPENDENCYPART_ARC
(6,4),0.05922 # DEPENDENCYPART_ARC
(6,5),-0.123561 # DEPENDENCYPART_ARC
(6,7),-0.0764396 # DEPENDENCYPART_ARC
(6,8),-0.0107357 # DEPENDENCYPART_ARC
(6,9),-2.63622 # DEPENDENCYPART_ARC
(6,10),-2.36154 # DEPENDENCYPART_ARC
(7,1),-0.294517 # DEPENDENCYPART_ARC
(7,2),-0.747964 # DEPENDENCYPART_ARC
(7,3),0.743905 # DEPENDENCYPART_ARC
(7,4),0.604098 # DEPENDENCYPART_ARC
(7,5),0.0220278 # DEPENDENCYPART_ARC
(7,6),0.96746 # DEPENDENCYPART_ARC
(7,8),0.239213 # DEPENDENCYPART_ARC
(7,9),2.84181 # DEPENDENCYPART_ARC
(7,10),-0.0202161 # DEPENDENCYPART_ARC
(7,11),-0.257491 # DEPENDENCYPART_ARC
(7,12),-0.717016 # DEPENDENCYPART_ARC
(7,19),-0.484544 # DEPENDENCYPART_ARC
(7,22),-0.194415 # DEPENDENCYPART_ARC
(7,27),-1.29079 # DEPENDENCYPART_ARC
(8,2),-1.58566 # DEPENDENCYPART_ARC
(8,3),-1.38895 # DEPENDENCYPART_ARC
(8,6),0.0462317 # DEPENDENCYPART_ARC
(8,7),0.437334 # DEPENDENCYPART_ARC
(8,9),0.534413 # DEPENDENCYPART_ARC
(8,10),1.43075 # DEPENDENCYPART_ARC
(8,11),0.0567705 # DEPENDENCYPART_ARC
(8,12),-0.40211 # DEPENDENCYPART_ARC
(8,15),-0.692194 # DEPENDENCYPART_ARC
(9,4),-0.7217 # DEPENDENCYPART_ARC
(9,6),-2.80439 # DEPENDENCYPART_ARC
(9,7),0.366054 # DEPENDENCYPART_ARC
(9,8),1.94245 # DEPENDENCYPART_ARC
(9,10),-0.436884 # DEPENDENCYPART_ARC
(10,1),-4.40871 # DEPENDENCYPART_ARC
(10,4),-0.695676 # DEPENDENCYPART_ARC
(10,6),0.792333 # DEPENDENCYPART_ARC
(10,7),1.10201 # DEPENDENCYPART_ARC
(10,8),0.249652 # DEPENDENCYPART_ARC
(10,9),3.50061 # DEPENDENCYPART_ARC
(10,11),-0.531087 # DEPENDENCYPART_ARC
(10,12),-0.703187 # DEPENDENCYPART_ARC
(10,15),-0.379109 # DEPENDENCYPART_ARC
(10,16),-1.91135 # DEPENDENCYPART_ARC
(10,17),-0.940434 # DEPENDENCYPART_ARC
(10,19),0.736433 # DEPENDENCYPART_ARC
(10,22),-0.312544 # DEPENDENCYPART_ARC
(10,23),-3.07263 # DEPENDENCYPART_ARC
(10,27),-0.509651 # DEPENDENCYPART_ARC
(11,1),-1.07731 # DEPENDENCYPART_ARC
(11,3),-0.168551 # DEPENDENCYPART_ARC
(11,4),-0.304567 # DEPENDENCYPART_ARC
(11,6),-0.568072 # DEPENDENCYPART_ARC
(11,7),-0.0522149 # DEPENDENCYPART_ARC
(11,8),-0.0443034 # DEPENDENCYPART_ARC
(11,9),-0.558302 # DEPENDENCYPART_ARC
(11,10),-0.727363 # DEPENDENCYPART_ARC
(11,12),0.182906 # DEPENDENCYPART_ARC
(11,15),-0.218091 # DEPENDENCYPART_ARC
(11,17),-0.769194 # DEPENDENCYPART_ARC
(11,19),0.157955 # DEPENDENCYPART_ARC
(11,20),-1.46643 # DEPENDENCYPART_ARC
(11,22),-0.922705 # DEPENDENCYPART_ARC
(11,26),-1.00548 # DEPENDENCYPART_ARC
(11,27),-1.35004 # DEPENDENCYPART_ARC
(12,11),-0.844847 # DEPENDENCYPART_ARC
(12,13),1.74812 # DEPENDENCYPART_ARC
(12,16),-2.84224 # DEPENDENCYPART_ARC
(12,18),-1.54089 # DEPENDENCYPART_ARC
(15,12),-0.894999 # DEPENDENCYPART_ARC
(15,16),-0.752255 # DEPENDENCYPART_ARC
(15,17),-1.32759 # DEPENDENCYPART_ARC
(15,23),-2.0684 # DEPENDENCYPART_ARC
(16,12),0.379337 # DEPENDENCYPART_ARC
(16,15),1.29164 # DEPENDENCYPART_ARC
(16,17),2.61303 # DEPENDENCYPART_ARC
(16,18),1.59674 # DEPENDENCYPART_ARC
(16,20),0.269054 # DEPENDENCYPART_ARC
(17,11),-0.273609 # DEPENDENCYPART_ARC
(17,15),-0.839284 # DEPENDENCYPART_ARC
(17,18),4.66854 # DEPENDENCYPART_ARC
(17,19),-1.17594 # DEPENDENCYPART_ARC
(17,21),-1.527 # DEPENDENCYPART_ARC
(17,22),-0.538669 # DEPENDENCYPART_ARC
(18,14),-2.85501 # DEPENDENCYPART_ARC
(18,15),-0.360597 # DEPENDENCYPART_ARC
(18,16),-1.0344 # DEPENDENCYPART_ARC
(18,17),0.474475 # DEPENDENCYPART_ARC
(18,19),-1.14285 # DEPENDENCYPART_ARC
(18,20),-1.09855 # DEPENDENCYPART_ARC
(18,21),-2.2871 # DEPENDENCYPART_ARC
(18,23),-2.25065 # DEPENDENCYPART_ARC
(18,24),-2.36885 # DEPENDENCYPART_ARC
(18,27),-2.60294 # DEPENDENCYPART_ARC
(19,2),0.562006 # DEPENDENCYPART_ARC
(19,3),-1.76213 # DEPENDENCYPART_ARC
(19,4),-0.025695 # DEPENDENCYPART_ARC
(19,7),0.839708 # DEPENDENCYPART_ARC
(19,8),0.26525 # DEPENDENCYPART_ARC
(19,9),-3.85586 # DEPENDENCYPART_ARC
(19,10),-3.33743 # DEPENDENCYPART_ARC
(19,11),1.38246 # DEPENDENCYPART_ARC
(19,12),1.89737 # DEPENDENCYPART_ARC
(19,14),2.84403 # DEPENDENCYPART_ARC
(19,15),1.78578 # DEPENDENCYPART_ARC
(19,16),1.86361 # DEPENDENCYPART_ARC
(19,17),0.558193 # DEPENDENCYPART_ARC
(19,18),-0.981674 # DEPENDENCYPART_ARC
(19,20),2.56627 # DEPENDENCYPART_ARC
(19,21),0.0520504 # DEPENDENCYPART_ARC
(19,22),0.714847 # DEPENDENCYPART_ARC
(19,23),-0.872102 # DEPENDENCYPART_ARC
(19,24),-1.14886 # DEPENDENCYPART_ARC
(19,25),-1.0995 # DEPENDENCYPART_ARC
(19,26),-0.0495712 # DEPENDENCYPART_ARC
(19,27),-1.54433 # DEPENDENCYPART_ARC
(20,21),4.05861 # DEPENDENCYPART_ARC
(20,22),0.992379 # DEPENDENCYPART_ARC
(20,23),-3.22209 # DEPENDENCYPART_ARC
(20,24),-2.83487 # DEPENDENCYPART_ARC
(21,16),-3.39607 # DEPENDENCYPART_ARC
(21,17),-0.967058 # DEPENDENCYPART_ARC
(21,20),0.3858 # DEPENDENCYPART_ARC
(21,23),-2.08675 # DEPENDENCYPART_ARC
(21,24),-2.83954 # DEPENDENCYPART_ARC
(21,25),-3.41843 # DEPENDENCYPART_ARC
(22,2),-2.30423 # DEPENDENCYPART_ARC
(22,3),-1.48358 # DEPENDENCYPART_ARC
(22,4),-0.119462 # DEPENDENCYPART_ARC
(22,5),-0.949044 # DEPENDENCYPART_ARC
(22,6),-0.6706 # DEPENDENCYPART_ARC
(22,7),-0.0940644 # DEPENDENCYPART_ARC
(22,8),-0.154041 # DEPENDENCYPART_ARC
(22,9),-1.46806 # DEPENDENCYPART_ARC
(22,10),0.358317 # DEPENDENCYPART_ARC
(22,11),-0.0599198 # DEPENDENCYPART_ARC
(22,12),-0.508642 # DEPENDENCYPART_ARC
(22,14),-0.245097 # DEPENDENCYPART_ARC
(22,15),0.195577 # DEPENDENCYPART_ARC
(22,16),-0.716279 # DEPENDENCYPART_ARC
(22,17),-0.583567 # DEPENDENCYPART_ARC
(22,18),1.1298 # DEPENDENCYPART_ARC
(22,19),1.34402 # DEPENDENCYPART_ARC
(22,20),0.612198 # DEPENDENCYPART_ARC
(22,21),3.7647 # DEPENDENCYPART_ARC
(22,23),0.479836 # DEPENDENCYPART_ARC
(22,24),0.393337 # DEPENDENCYPART_ARC
(22,26),-0.25767 # DEPENDENCYPART_ARC
(22,27),1.09715 # DEPENDENCYPART_ARC
(22,28),0.0654368 # DEPENDENCYPART_ARC
(23,20),-0.775488 # DEPENDENCYPART_ARC
(23,21),-2.51164 # DEPENDENCYPART_ARC
(23,26),0.596503 # DEPENDENCYPART_ARC
(23,27),-1.05918 # DEPENDENCYPART_ARC
(23,28),0.078787 # DEPENDENCYPART_ARC
(24,21),-1.57844 # DEPENDENCYPART_ARC
(24,22),-0.255365 # DEPENDENCYPART_ARC
(24,28),-0.116458 # DEPENDENCYPART_ARC
(25,21),-0.788624 # DEPENDENCYPART_ARC
(25,26),0.849948 # DEPENDENCYPART_ARC
(26,20),-1.60331 # DEPENDENCYPART_ARC
(26,25),-1.28012 # DEPENDENCYPART_ARC
(27,2),-0.0718599 # DEPENDENCYPART_ARC
(27,3),-1.69839 # DEPENDENCYPART_ARC
(27,7),0.760855 # DEPENDENCYPART_ARC
(27,8),0.225806 # DEPENDENCYPART_ARC
(27,10),-1.94109 # DEPENDENCYPART_ARC
(27,11),1.40656 # DEPENDENCYPART_ARC
(27,12),1.99688 # DEPENDENCYPART_ARC
(27,14),2.46547 # DEPENDENCYPART_ARC
(27,15),1.45101 # DEPENDENCYPART_ARC
(27,16),0.304992 # DEPENDENCYPART_ARC
(27,17),-0.136782 # DEPENDENCYPART_ARC
(27,18),-0.638913 # DEPENDENCYPART_ARC
(27,19),-1.09927 # DEPENDENCYPART_ARC
(27,20),1.30707 # DEPENDENCYPART_ARC
(27,21),0.532051 # DEPENDENCYPART_ARC
(27,22),0.538373 # DEPENDENCYPART_ARC
(27,23),1.42577 # DEPENDENCYPART_ARC
(27,24),1.24484 # DEPENDENCYPART_ARC
(27,25),3.05941 # DEPENDENCYPART_ARC
(27,26),3.33202 # DEPENDENCYPART_ARC
(27,28),-0.0280832 # DEPENDENCYPART_ARC
(28,23),-3.63839 # DEPENDENCYPART_ARC
(28,24),-3.11272 # DEPENDENCYPART_ARC
