# _root_ Tento počet zahrnuje vedle dětí osvojených i děti , pro něž měli otevřenou náruč , a hlavně srdce pěstouni .
#goldHeads=2,3,0,3,4,5,8,3,12,12,10,8,14,16,16,12,18,16,12,0,
#predictedHeads=2,3,16,3,4,5,8,3,12,12,10,16,14,12,16,0,18,16,16,0,
(8,13),-1.56263 # DEPENDENCYPART_ARC
(8,15),-0.000502616 # DEPENDENCYPART_ARC
(8,16),-0.13423 # DEPENDENCYPART_ARC
(8,17),-1.49961 # DEPENDENCYPART_ARC
(9,1),-0.932185 # DEPENDENCYPART_ARC
(9,2),-1.09936 # DEPENDENCYPART_ARC
(9,3),0.187835 # DEPENDENCYPART_ARC
(9,4),0.389015 # DEPENDENCYPART_ARC
(9,5),0.160731 # DEPENDENCYPART_ARC
(9,6),-0.272316 # DEPENDENCYPART_ARC
(9,7),-0.28659 # DEPENDENCYPART_ARC
(9,8),-0.328732 # DEPENDENCYPART_ARC
(9,10),0.570065 # DEPENDENCYPART_ARC
(9,12),0.797985 # DEPENDENCYPART_ARC
(9,13),-0.692341 # DEPENDENCYPART_ARC
(9,14),-0.438172 # DEPENDENCYPART_ARC
(9,15),0.103714 # DEPENDENCYPART_ARC
(9,16),-0.208748 # DEPENDENCYPART_ARC
(9,17),-0.537279 # DEPENDENCYPART_ARC
(9,18),-1.51272 # DEPENDENCYPART_ARC
(9,19),-1.28348 # DEPENDENCYPART_ARC
(10,8),-3.52932 # DEPENDENCYPART_ARC
(10,9),-0.740344 # DEPENDENCYPART_ARC
(10,11),3.54211 # DEPENDENCYPART_ARC
(10,13),-0.364596 # DEPENDENCYPART_ARC
(10,14),0.406119 # DEPENDENCYPART_ARC
(10,15),-0.758194 # DEPENDENCYPART_ARC
(10,16),-1.25922 # DEPENDENCYPART_ARC
(10,18),-1.97169 # DEPENDENCYPART_ARC
(12,1),-1.95895 # DEPENDENCYPART_ARC
(12,2),-0.188885 # DEPENDENCYPART_ARC
(12,3),-2.62986 # DEPENDENCYPART_ARC
(12,4),0.771356 # DEPENDENCYPART_ARC
(12,5),-2.60335 # DEPENDENCYPART_ARC
(12,6),-3.48408 # DEPENDENCYPART_ARC
(12,7),-0.13835 # DEPENDENCYPART_ARC
(12,8),0.245243 # DEPENDENCYPART_ARC
(12,9),1.96126 # DEPENDENCYPART_ARC
(12,10),2.54523 # DEPENDENCYPART_ARC
(12,13),-1.92611 # DEPENDENCYPART_ARC
(12,14),2.88975 # DEPENDENCYPART_ARC
(12,15),0.682648 # DEPENDENCYPART_ARC
(12,16),0.601842 # DEPENDENCYPART_ARC
(12,17),-0.484035 # DEPENDENCYPART_ARC
(12,18),0.24577 # DEPENDENCYPART_ARC
(12,19),0.375771 # DEPENDENCYPART_ARC
(12,20),-0.277187 # DEPENDENCYPART_ARC
(13,10),-0.27569 # DEPENDENCYPART_ARC
(13,14),-1.02826 # DEPENDENCYPART_ARC
(13,18),-3.34253 # DEPENDENCYPART_ARC
(14,6),-4.81881 # DEPENDENCYPART_ARC
(14,7),0.212551 # DEPENDENCYPART_ARC
(14,10),-0.138094 # DEPENDENCYPART_ARC
(14,13),4.83348 # DEPENDENCYPART_ARC
(14,15),-0.292243 # DEPENDENCYPART_ARC
(14,16),0.270105 # DEPENDENCYPART_ARC
(14,17),-1.49238 # DEPENDENCYPART_ARC
(14,18),-2.76637 # DEPENDENCYPART_ARC
(14,19),-2.24966 # DEPENDENCYPART_ARC
(15,3),-0.924127 # DEPENDENCYPART_ARC
(15,9),-0.0342952 # DEPENDENCYPART_ARC
(15,12),-0.200166 # DEPENDENCYPART_ARC
(15,13),-0.292894 # DEPENDENCYPART_ARC
(15,14),-0.449411 # DEPENDENCYPART_ARC
(15,17),-0.988238 # DEPENDENCYPART_ARC
(15,18),-1.28162 # DEPENDENCYPART_ARC
(15,19),-1.17109 # DEPENDENCYPART_ARC
(16,1),-0.341018 # DEPENDENCYPART_ARC
(16,2),0.861439 # DEPENDENCYPART_ARC
(16,3),0.956393 # DEPENDENCYPART_ARC
(16,4),-0.363842 # DEPENDENCYPART_ARC
(16,5),0.00451172 # DEPENDENCYPART_ARC
(16,6),-0.292713 # DEPENDENCYPART_ARC
(16,7),-0.00718446 # DEPENDENCYPART_ARC
(16,8),0.0402847 # DEPENDENCYPART_ARC
(16,9),0.79144 # DEPENDENCYPART_ARC
(16,10),0.628691 # DEPENDENCYPART_ARC
(16,12),1.49719 # DEPENDENCYPART_ARC
(16,13),1.16916 # DEPENDENCYPART_ARC
(16,14),1.12977 # DEPENDENCYPART_ARC
(16,15),1.86644 # DEPENDENCYPART_ARC
(16,17),0.645301 # DEPENDENCYPART_ARC
(16,18),1.79962 # DEPENDENCYPART_ARC
(16,19),1.15345 # DEPENDENCYPART_ARC
(16,20),0.0682466 # DEPENDENCYPART_ARC
(17,15),-1.2615 # DEPENDENCYPART_ARC
(17,18),-0.49233 # DEPENDENCYPART_ARC
(17,19),-2.32976 # DEPENDENCYPART_ARC
(17,20),-0.957604 # DEPENDENCYPART_ARC
(18,13),-1.02828 # DEPENDENCYPART_ARC
(18,15),0.538068 # DEPENDENCYPART_ARC
(18,16),0.363042 # DEPENDENCYPART_ARC
(18,17),1.57929 # DEPENDENCYPART_ARC
(18,19),0.989753 # DEPENDENCYPART_ARC
(18,20),-0.12479 # DEPENDENCYPART_ARC
(19,14),-7.12289 # DEPENDENCYPART_ARC
(19,17),0.710987 # DEPENDENCYPART_ARC
(19,18),-1.63726 # DEPENDENCYPART_ARC
(19,20),0.0768314 # DEPENDENCYPART_ARC
(20,19),-3.43252 # DEPENDENCYPART_ARC
