# _root_ Je to ale otázka úhlu pohledu : nejde o žádné zničení - jde o směr , směřování , které se - je - li upřímné a zásadní - brzy ztratí z dohledu .
#goldHeads=7,1,0,1,4,5,3,12,8,11,9,7,12,13,16,14,16,30,30,30,24,24,24,30,26,22,26,24,30,17,30,31,0,
#predictedHeads=7,1,0,1,4,5,16,3,8,11,9,8,16,13,14,8,16,24,22,22,24,24,24,30,26,17,26,24,30,26,30,31,0,
(4,2),-1.07929 # DEPENDENCYPART_ARC
(4,3),0.326477 # DEPENDENCYPART_ARC
(4,5),3.25885 # DEPENDENCYPART_ARC
(4,6),2.46545 # DEPENDENCYPART_ARC
(4,7),-0.0981568 # DEPENDENCYPART_ARC
(4,8),-1.04361 # DEPENDENCYPART_ARC
(4,26),-0.311271 # DEPENDENCYPART_ARC
(5,2),-2.95025 # DEPENDENCYPART_ARC
(5,3),-0.176064 # DEPENDENCYPART_ARC
(5,4),-2.14322 # DEPENDENCYPART_ARC
(5,6),4.06278 # DEPENDENCYPART_ARC
(5,7),-0.224884 # DEPENDENCYPART_ARC
(5,8),-1.6208 # DEPENDENCYPART_ARC
(5,9),-0.785462 # DEPENDENCYPART_ARC
(6,2),-2.46967 # DEPENDENCYPART_ARC
(6,3),-0.00869917 # DEPENDENCYPART_ARC
(6,4),-1.84075 # DEPENDENCYPART_ARC
(6,5),1.12072 # DEPENDENCYPART_ARC
(6,8),-2.0862 # DEPENDENCYPART_ARC
(7,1),1.8799 # DEPENDENCYPART_ARC
(7,2),-0.0766922 # DEPENDENCYPART_ARC
(7,3),-0.0899191 # DEPENDENCYPART_ARC
(7,4),1.13977 # DEPENDENCYPART_ARC
(7,5),0.546675 # DEPENDENCYPART_ARC
(7,6),0.226222 # DEPENDENCYPART_ARC
(7,8),0.192136 # DEPENDENCYPART_ARC
(7,9),-0.627885 # DEPENDENCYPART_ARC
(7,10),-0.932089 # DEPENDENCYPART_ARC
(7,12),-0.119922 # DEPENDENCYPART_ARC
(7,16),0.288796 # DEPENDENCYPART_ARC
(7,18),0.141704 # DEPENDENCYPART_ARC
(7,26),-0.987712 # DEPENDENCYPART_ARC
(8,1),-0.315613 # DEPENDENCYPART_ARC
(8,2),0.115066 # DEPENDENCYPART_ARC
(8,3),-0.00858455 # DEPENDENCYPART_ARC
(8,4),1.82024 # DEPENDENCYPART_ARC
(8,5),-1.41606 # DEPENDENCYPART_ARC
(8,6),-1.57072 # DEPENDENCYPART_ARC
(8,7),-0.0875214 # DEPENDENCYPART_ARC
(8,9),2.15831 # DEPENDENCYPART_ARC
(8,10),-0.142877 # DEPENDENCYPART_ARC
(8,11),1.47881 # DEPENDENCYPART_ARC
(8,12),0.614722 # DEPENDENCYPART_ARC
(8,13),-1.4722 # DEPENDENCYPART_ARC
(8,14),-0.26704 # DEPENDENCYPART_ARC
(8,15),-1.97145 # DEPENDENCYPART_ARC
(8,16),0.463238 # DEPENDENCYPART_ARC
(8,17),-1.77829 # DEPENDENCYPART_ARC
(8,18),0.265151 # DEPENDENCYPART_ARC
(8,21),-0.703635 # DEPENDENCYPART_ARC
(8,24),0.903346 # DEPENDENCYPART_ARC
(8,29),-2.01969 # DEPENDENCYPART_ARC
(9,10),2.75276 # DEPENDENCYPART_ARC
(9,11),3.28476 # DEPENDENCYPART_ARC
(9,12),-0.180587 # DEPENDENCYPART_ARC
(10,9),0.0237285 # DEPENDENCYPART_ARC
(10,13),-1.24971 # DEPENDENCYPART_ARC
(11,9),0.315468 # DEPENDENCYPART_ARC
(11,10),4.93739 # DEPENDENCYPART_ARC
(11,12),-0.285662 # DEPENDENCYPART_ARC
(11,13),-1.31439 # DEPENDENCYPART_ARC
(11,14),-0.868255 # DEPENDENCYPART_ARC
(11,30),-2.3314 # DEPENDENCYPART_ARC
(12,1),-0.446192 # DEPENDENCYPART_ARC
(12,2),-0.720172 # DEPENDENCYPART_ARC
(12,5),-0.636153 # DEPENDENCYPART_ARC
(12,7),-0.215414 # DEPENDENCYPART_ARC
(12,8),0.960196 # DEPENDENCYPART_ARC
(12,9),-0.309098 # DEPENDENCYPART_ARC
(12,10),-0.0190456 # DEPENDENCYPART_ARC
(12,11),0.449468 # DEPENDENCYPART_ARC
(12,13),0.0531252 # DEPENDENCYPART_ARC
(12,14),-0.889598 # DEPENDENCYPART_ARC
(12,15),-0.142478 # DEPENDENCYPART_ARC
(13,1),-1.04951 # DEPENDENCYPART_ARC
(13,2),-0.745644 # DEPENDENCYPART_ARC
(13,3),0.468224 # DEPENDENCYPART_ARC
(13,4),1.01662 # DEPENDENCYPART_ARC
(13,5),-2.55989 # DEPENDENCYPART_ARC
(13,6),-2.78755 # DEPENDENCYPART_ARC
(13,7),-0.53482 # DEPENDENCYPART_ARC
(13,8),0.136678 # DEPENDENCYPART_ARC
(13,9),0.0239671 # DEPENDENCYPART_ARC
(13,10),-0.0888597 # DEPENDENCYPART_ARC
(13,11),0.66475 # DEPENDENCYPART_ARC
(13,12),-0.215939 # DEPENDENCYPART_ARC
(13,14),2.27656 # DEPENDENCYPART_ARC
(13,15),0.326403 # DEPENDENCYPART_ARC
(13,16),0.394557 # DEPENDENCYPART_ARC
(13,17),0.148504 # DEPENDENCYPART_ARC
(13,18),-0.150054 # DEPENDENCYPART_ARC
(13,21),-0.589551 # DEPENDENCYPART_ARC
(13,24),0.782939 # DEPENDENCYPART_ARC
(14,15),3.41463 # DEPENDENCYPART_ARC
(14,16),0.571784 # DEPENDENCYPART_ARC
(14,17),0.306596 # DEPENDENCYPART_ARC
(14,26),-0.756116 # DEPENDENCYPART_ARC
(15,10),-0.546701 # DEPENDENCYPART_ARC
(15,14),0.14855 # DEPENDENCYPART_ARC
(15,16),-0.126923 # DEPENDENCYPART_ARC
(15,17),0.32831 # DEPENDENCYPART_ARC
(15,22),-0.0384415 # DEPENDENCYPART_ARC
(15,24),-0.449531 # DEPENDENCYPART_ARC
(15,26),-0.670138 # DEPENDENCYPART_ARC
(15,30),-0.916498 # DEPENDENCYPART_ARC
(16,1),-0.68431 # DEPENDENCYPART_ARC
(16,4),-0.508232 # DEPENDENCYPART_ARC
(16,5),0.0655132 # DEPENDENCYPART_ARC
(16,6),0.450149 # DEPENDENCYPART_ARC
(16,7),0.501784 # DEPENDENCYPART_ARC
(16,8),0.7359 # DEPENDENCYPART_ARC
(16,9),0.102553 # DEPENDENCYPART_ARC
(16,11),0.91999 # DEPENDENCYPART_ARC
(16,12),-0.272188 # DEPENDENCYPART_ARC
(16,13),0.924209 # DEPENDENCYPART_ARC
(16,14),0.419637 # DEPENDENCYPART_ARC
(16,15),2.40943 # DEPENDENCYPART_ARC
(16,17),1.55808 # DEPENDENCYPART_ARC
(16,18),0.442689 # DEPENDENCYPART_ARC
(16,21),0.132479 # DEPENDENCYPART_ARC
(16,22),-0.630314 # DEPENDENCYPART_ARC
(16,23),-0.525519 # DEPENDENCYPART_ARC
(17,9),-0.29619 # DEPENDENCYPART_ARC
(17,14),-0.146059 # DEPENDENCYPART_ARC
(17,15),-0.527586 # DEPENDENCYPART_ARC
(17,16),0.722438 # DEPENDENCYPART_ARC
(17,18),0.382574 # DEPENDENCYPART_ARC
(17,19),-1.90611 # DEPENDENCYPART_ARC
(17,21),0.172077 # DEPENDENCYPART_ARC
(17,22),0.850794 # DEPENDENCYPART_ARC
(17,23),0.0612881 # DEPENDENCYPART_ARC
(17,24),0.380885 # DEPENDENCYPART_ARC
(17,25),-1.58691 # DEPENDENCYPART_ARC
(17,26),0.510537 # DEPENDENCYPART_ARC
(17,27),-2.22346 # DEPENDENCYPART_ARC
(17,29),-0.937195 # DEPENDENCYPART_ARC
(17,30),-0.33334 # DEPENDENCYPART_ARC
(18,1),-2.0636 # DEPENDENCYPART_ARC
(18,13),-0.428455 # DEPENDENCYPART_ARC
(18,14),-1.36596 # DEPENDENCYPART_ARC
(18,15),-0.167937 # DEPENDENCYPART_ARC
(18,16),-0.498263 # DEPENDENCYPART_ARC
(18,17),-0.849347 # DEPENDENCYPART_ARC
(18,21),-0.548793 # DEPENDENCYPART_ARC
(21,1),-1.6037 # DEPENDENCYPART_ARC
(21,13),0.617746 # DEPENDENCYPART_ARC
(21,17),0.0251462 # DEPENDENCYPART_ARC
(21,19),0.0235553 # DEPENDENCYPART_ARC
(21,20),0.22069 # DEPENDENCYPART_ARC
(21,22),0.422719 # DEPENDENCYPART_ARC
(21,23),-0.267688 # DEPENDENCYPART_ARC
(21,25),-0.443736 # DEPENDENCYPART_ARC
(21,28),-0.291599 # DEPENDENCYPART_ARC
(21,31),-1.87696 # DEPENDENCYPART_ARC
(22,2),-1.38291 # DEPENDENCYPART_ARC
(22,3),-1.11937 # DEPENDENCYPART_ARC
(22,4),1.65444 # DEPENDENCYPART_ARC
(22,5),-2.93947 # DEPENDENCYPART_ARC
(22,6),-3.27299 # DEPENDENCYPART_ARC
(22,11),-1.02262 # DEPENDENCYPART_ARC
(22,14),-3.52619 # DEPENDENCYPART_ARC
(22,15),-1.28279 # DEPENDENCYPART_ARC
(22,16),-0.641594 # DEPENDENCYPART_ARC
(22,17),-1.05856 # DEPENDENCYPART_ARC
(22,18),0.570982 # DEPENDENCYPART_ARC
(22,19),1.32756 # DEPENDENCYPART_ARC
(22,20),1.36812 # DEPENDENCYPART_ARC
(22,21),0.295048 # DEPENDENCYPART_ARC
(22,23),0.998439 # DEPENDENCYPART_ARC
(22,24),0.997813 # DEPENDENCYPART_ARC
(22,25),2.20598 # DEPENDENCYPART_ARC
(22,26),0.44178 # DEPENDENCYPART_ARC
(22,27),1.42767 # DEPENDENCYPART_ARC
(22,28),-0.228161 # DEPENDENCYPART_ARC
(22,29),-0.49401 # DEPENDENCYPART_ARC
(22,30),-0.821763 # DEPENDENCYPART_ARC
(22,31),-0.102878 # DEPENDENCYPART_ARC
(22,32),-2.96752 # DEPENDENCYPART_ARC
(22,33),-0.448548 # DEPENDENCYPART_ARC
(23,19),-0.320287 # DEPENDENCYPART_ARC
(23,20),-0.273845 # DEPENDENCYPART_ARC
(23,21),-0.0581404 # DEPENDENCYPART_ARC
(23,22),0.281161 # DEPENDENCYPART_ARC
(23,24),-0.0940237 # DEPENDENCYPART_ARC
(23,25),0.0429968 # DEPENDENCYPART_ARC
(23,26),0.142792 # DEPENDENCYPART_ARC
(23,27),-0.535613 # DEPENDENCYPART_ARC
(23,28),-0.16869 # DEPENDENCYPART_ARC
(23,29),-1.30986 # DEPENDENCYPART_ARC
(23,30),-0.949535 # DEPENDENCYPART_ARC
(23,31),-1.62073 # DEPENDENCYPART_ARC
(23,32),-1.62997 # DEPENDENCYPART_ARC
(24,11),-0.478314 # DEPENDENCYPART_ARC
(24,15),-0.0882607 # DEPENDENCYPART_ARC
(24,17),0.0171601 # DEPENDENCYPART_ARC
(24,18),1.73366 # DEPENDENCYPART_ARC
(24,21),1.82501 # DEPENDENCYPART_ARC
(24,22),3.42516 # DEPENDENCYPART_ARC
(24,23),3.05375 # DEPENDENCYPART_ARC
(24,25),1.01086 # DEPENDENCYPART_ARC
(24,26),0.384775 # DEPENDENCYPART_ARC
(24,27),-0.0198575 # DEPENDENCYPART_ARC
(24,28),1.10663 # DEPENDENCYPART_ARC
(24,29),-0.0653325 # DEPENDENCYPART_ARC
(24,30),0.0872717 # DEPENDENCYPART_ARC
(24,33),0.219095 # DEPENDENCYPART_ARC
(25,20),-2.72511 # DEPENDENCYPART_ARC
(25,23),-0.958431 # DEPENDENCYPART_ARC
(25,24),-0.0364728 # DEPENDENCYPART_ARC
(25,31),-1.97851 # DEPENDENCYPART_ARC
(26,6),-1.68481 # DEPENDENCYPART_ARC
(26,7),0.0385652 # DEPENDENCYPART_ARC
(26,9),-1.18879 # DEPENDENCYPART_ARC
(26,11),-0.746469 # DEPENDENCYPART_ARC
(26,14),-0.906543 # DEPENDENCYPART_ARC
(26,15),0.546927 # DEPENDENCYPART_ARC
(26,16),0.38748 # DEPENDENCYPART_ARC
(26,17),0.119631 # DEPENDENCYPART_ARC
(26,18),0.180675 # DEPENDENCYPART_ARC
(26,19),0.107238 # DEPENDENCYPART_ARC
(26,20),-0.390188 # DEPENDENCYPART_ARC
(26,21),-0.259172 # DEPENDENCYPART_ARC
(26,22),0.671283 # DEPENDENCYPART_ARC
(26,23),0.306118 # DEPENDENCYPART_ARC
(26,24),0.297499 # DEPENDENCYPART_ARC
(26,25),3.68775 # DEPENDENCYPART_ARC
(26,27),4.26653 # DEPENDENCYPART_ARC
(26,28),0.231402 # DEPENDENCYPART_ARC
(26,29),-0.0996177 # DEPENDENCYPART_ARC
(26,30),0.256329 # DEPENDENCYPART_ARC
(26,31),-0.738594 # DEPENDENCYPART_ARC
(26,32),-1.14221 # DEPENDENCYPART_ARC
(26,33),-0.589549 # DEPENDENCYPART_ARC
(27,25),-1.81915 # DEPENDENCYPART_ARC
(27,28),0.192148 # DEPENDENCYPART_ARC
(27,29),-0.535822 # DEPENDENCYPART_ARC
(27,30),-1.81059 # DEPENDENCYPART_ARC
(27,31),-0.734654 # DEPENDENCYPART_ARC
(27,32),-2.25164 # DEPENDENCYPART_ARC
(28,1),-1.95651 # DEPENDENCYPART_ARC
(28,12),-1.17061 # DEPENDENCYPART_ARC
(28,13),0.255124 # DEPENDENCYPART_ARC
(28,18),0.513277 # DEPENDENCYPART_ARC
(28,19),0.202923 # DEPENDENCYPART_ARC
(28,21),0.239533 # DEPENDENCYPART_ARC
(28,22),0.830809 # DEPENDENCYPART_ARC
(28,23),0.458784 # DEPENDENCYPART_ARC
(28,24),0.21808 # DEPENDENCYPART_ARC
(28,25),0.628483 # DEPENDENCYPART_ARC
(28,26),0.0690069 # DEPENDENCYPART_ARC
(28,27),1.15714 # DEPENDENCYPART_ARC
(28,29),-0.168711 # DEPENDENCYPART_ARC
(28,30),0.577646 # DEPENDENCYPART_ARC
(28,31),-0.582 # DEPENDENCYPART_ARC
(28,32),-0.418673 # DEPENDENCYPART_ARC
(28,33),-0.747015 # DEPENDENCYPART_ARC
(29,19),-0.872421 # DEPENDENCYPART_ARC
(29,27),-0.80443 # DEPENDENCYPART_ARC
(29,28),0.282816 # DEPENDENCYPART_ARC
(29,31),-0.471144 # DEPENDENCYPART_ARC
(29,32),-0.306802 # DEPENDENCYPART_ARC
(29,33),-0.447676 # DEPENDENCYPART_ARC
(30,11),-2.26353 # DEPENDENCYPART_ARC
(30,18),-0.122848 # DEPENDENCYPART_ARC
(30,19),0.858007 # DEPENDENCYPART_ARC
(30,20),0.0556449 # DEPENDENCYPART_ARC
(30,23),-0.177473 # DEPENDENCYPART_ARC
(30,24),1.25544 # DEPENDENCYPART_ARC
(30,25),0.0684245 # DEPENDENCYPART_ARC
(30,26),-0.516703 # DEPENDENCYPART_ARC
(30,27),0.46387 # DEPENDENCYPART_ARC
(30,28),0.600476 # DEPENDENCYPART_ARC
(30,29),2.53942 # DEPENDENCYPART_ARC
(30,31),2.15922 # DEPENDENCYPART_ARC
(30,32),-0.693249 # DEPENDENCYPART_ARC
(30,33),-0.00183469 # DEPENDENCYPART_ARC
(31,28),-0.369626 # DEPENDENCYPART_ARC
(31,32),3.63643 # DEPENDENCYPART_ARC
(31,33),-0.120592 # DEPENDENCYPART_ARC
(32,20),-4.19447 # DEPENDENCYPART_ARC
(32,27),-4.82883 # DEPENDENCYPART_ARC
(32,29),-1.07643 # DEPENDENCYPART_ARC
(32,31),0.284409 # DEPENDENCYPART_ARC
(32,33),0.257535 # DEPENDENCYPART_ARC
