# _root_ Na to , jaké právní prostředky nápravy bude nutno v konkrétním případě předem vyčerpat , mohou vznikat nejrůznější názory .
#goldHeads=19,1,8,6,6,14,6,2,8,8,12,10,14,8,8,0,16,19,16,0,
#predictedHeads=14,1,8,6,6,14,6,14,8,14,12,10,14,16,14,0,16,19,16,0,
(14,5),-1.08422 # DEPENDENCYPART_ARC
(14,6),2.06106 # DEPENDENCYPART_ARC
(14,7),-0.2873 # DEPENDENCYPART_ARC
(14,8),1.60086 # DEPENDENCYPART_ARC
(14,10),1.18594 # DEPENDENCYPART_ARC
(14,11),-1.42576 # DEPENDENCYPART_ARC
(14,12),1.81307 # DEPENDENCYPART_ARC
(14,13),2.2655 # DEPENDENCYPART_ARC
(14,15),0.887444 # DEPENDENCYPART_ARC
(14,16),-0.724007 # DEPENDENCYPART_ARC
(14,17),-0.386888 # DEPENDENCYPART_ARC
(14,18),-2.99814 # DEPENDENCYPART_ARC
(14,19),-2.4776 # DEPENDENCYPART_ARC
(15,8),0.382587 # DEPENDENCYPART_ARC
(15,9),-0.973337 # DEPENDENCYPART_ARC
(15,10),-0.161739 # DEPENDENCYPART_ARC
(15,12),-0.223168 # DEPENDENCYPART_ARC
(15,13),-0.154588 # DEPENDENCYPART_ARC
(15,14),0.400742 # DEPENDENCYPART_ARC
(15,16),-0.28576 # DEPENDENCYPART_ARC
(15,17),-1.03313 # DEPENDENCYPART_ARC
(15,18),-1.48989 # DEPENDENCYPART_ARC
(15,19),-2.2386 # DEPENDENCYPART_ARC
(16,1),1.23091 # DEPENDENCYPART_ARC
(16,2),-2.27513 # DEPENDENCYPART_ARC
(16,3),0.210232 # DEPENDENCYPART_ARC
(16,4),-1.65973 # DEPENDENCYPART_ARC
(16,5),-4.16097 # DEPENDENCYPART_ARC
(16,6),0.979839 # DEPENDENCYPART_ARC
(16,7),-2.98195 # DEPENDENCYPART_ARC
(16,8),-1.12267 # DEPENDENCYPART_ARC
(16,9),-1.28391 # DEPENDENCYPART_ARC
(16,10),0.0182104 # DEPENDENCYPART_ARC
(16,11),-4.92668 # DEPENDENCYPART_ARC
(16,12),-0.971354 # DEPENDENCYPART_ARC
(16,13),0.880214 # DEPENDENCYPART_ARC
(16,14),0.903622 # DEPENDENCYPART_ARC
(16,15),0.188825 # DEPENDENCYPART_ARC
(16,17),4.16904 # DEPENDENCYPART_ARC
(16,18),-2.48184 # DEPENDENCYPART_ARC
(16,19),2.37822 # DEPENDENCYPART_ARC
(16,20),0.0637596 # DEPENDENCYPART_ARC
(17,1),0.236753 # DEPENDENCYPART_ARC
(17,2),-0.959895 # DEPENDENCYPART_ARC
(17,3),-0.75649 # DEPENDENCYPART_ARC
(17,4),-0.168458 # DEPENDENCYPART_ARC
(17,6),0.796876 # DEPENDENCYPART_ARC
(17,7),-1.96684 # DEPENDENCYPART_ARC
(17,8),-0.908164 # DEPENDENCYPART_ARC
(17,10),-1.08766 # DEPENDENCYPART_ARC
(17,12),-0.310298 # DEPENDENCYPART_ARC
(17,13),-0.269232 # DEPENDENCYPART_ARC
(17,14),-1.53117 # DEPENDENCYPART_ARC
(17,15),-1.01006 # DEPENDENCYPART_ARC
(17,16),0.150682 # DEPENDENCYPART_ARC
(17,18),0.353857 # DEPENDENCYPART_ARC
(17,19),0.588534 # DEPENDENCYPART_ARC
(17,20),-0.654692 # DEPENDENCYPART_ARC
(18,13),-1.41265 # DEPENDENCYPART_ARC
(18,19),-0.63301 # DEPENDENCYPART_ARC
(19,1),0.137716 # DEPENDENCYPART_ARC
(19,11),-2.79612 # DEPENDENCYPART_ARC
(19,13),-1.69057 # DEPENDENCYPART_ARC
(19,14),-0.991577 # DEPENDENCYPART_ARC
(19,15),-1.80551 # DEPENDENCYPART_ARC
(19,17),-0.785937 # DEPENDENCYPART_ARC
(19,18),3.70808 # DEPENDENCYPART_ARC
(19,20),0.202973 # DEPENDENCYPART_ARC
(20,16),-3.5961 # DEPENDENCYPART_ARC
(20,19),-3.77235 # DEPENDENCYPART_ARC
