# _root_ Víme ale , co nás čeká , musíme si dát velký pozor na střelce .
#goldHeads=2,0,6,6,6,7,1,7,10,8,12,10,12,13,0,
#predictedHeads=2,0,6,6,6,2,6,7,10,8,12,10,12,13,0,
(6,5),3.05208 # DEPENDENCYPART_ARC
(6,7),1.22668 # DEPENDENCYPART_ARC
(6,8),-0.287179 # DEPENDENCYPART_ARC
(6,9),-0.796374 # DEPENDENCYPART_ARC
(6,10),0.909217 # DEPENDENCYPART_ARC
(6,11),-4.66044 # DEPENDENCYPART_ARC
(6,12),-1.02603 # DEPENDENCYPART_ARC
(6,13),-1.01445 # DEPENDENCYPART_ARC
(6,14),-3.14595 # DEPENDENCYPART_ARC
(7,1),-0.0548364 # DEPENDENCYPART_ARC
(7,2),0.514584 # DEPENDENCYPART_ARC
(7,3),0.43204 # DEPENDENCYPART_ARC
(7,4),0.480381 # DEPENDENCYPART_ARC
(7,5),0.46645 # DEPENDENCYPART_ARC
(7,6),0.467825 # DEPENDENCYPART_ARC
(7,8),0.354057 # DEPENDENCYPART_ARC
(7,10),-0.710748 # DEPENDENCYPART_ARC
(7,11),-1.13148 # DEPENDENCYPART_ARC
(7,12),-2.40695 # DEPENDENCYPART_ARC
(7,13),-1.76218 # DEPENDENCYPART_ARC
(8,1),-1.92918 # DEPENDENCYPART_ARC
(8,2),0.62018 # DEPENDENCYPART_ARC
(8,3),1.18293 # DEPENDENCYPART_ARC
(8,4),0.0655563 # DEPENDENCYPART_ARC
(8,5),-0.055651 # DEPENDENCYPART_ARC
(8,6),-1.22423 # DEPENDENCYPART_ARC
(8,7),0.373126 # DEPENDENCYPART_ARC
(8,9),1.49816 # DEPENDENCYPART_ARC
(8,10),2.62521 # DEPENDENCYPART_ARC
(8,11),-3.43833 # DEPENDENCYPART_ARC
(8,12),1.31292 # DEPENDENCYPART_ARC
(8,13),-0.0832397 # DEPENDENCYPART_ARC
(8,14),-0.91331 # DEPENDENCYPART_ARC
(8,15),-0.477275 # DEPENDENCYPART_ARC
(10,1),-2.76816 # DEPENDENCYPART_ARC
(10,2),-0.502536 # DEPENDENCYPART_ARC
(10,3),0.677362 # DEPENDENCYPART_ARC
(10,4),0.00109321 # DEPENDENCYPART_ARC
(10,5),1.02137 # DEPENDENCYPART_ARC
(10,6),-2.49028 # DEPENDENCYPART_ARC
(10,7),-0.820009 # DEPENDENCYPART_ARC
(10,8),0.198184 # DEPENDENCYPART_ARC
(10,9),3.54264 # DEPENDENCYPART_ARC
(10,11),-0.586639 # DEPENDENCYPART_ARC
(10,12),3.70438 # DEPENDENCYPART_ARC
(10,13),1.56315 # DEPENDENCYPART_ARC
(10,14),0.929022 # DEPENDENCYPART_ARC
(10,15),-0.328554 # DEPENDENCYPART_ARC
(11,5),-2.22123 # DEPENDENCYPART_ARC
(11,6),-4.02448 # DEPENDENCYPART_ARC
(11,9),-0.174489 # DEPENDENCYPART_ARC
(11,10),0.0759094 # DEPENDENCYPART_ARC
(11,12),-0.34476 # DEPENDENCYPART_ARC
(11,13),0.0290041 # DEPENDENCYPART_ARC
(11,14),-2.49621 # DEPENDENCYPART_ARC
(12,1),-2.578 # DEPENDENCYPART_ARC
(12,2),-1.99239 # DEPENDENCYPART_ARC
(12,5),-3.40274 # DEPENDENCYPART_ARC
(12,6),-1.64796 # DEPENDENCYPART_ARC
(12,7),-1.23257 # DEPENDENCYPART_ARC
(12,8),-2.04987 # DEPENDENCYPART_ARC
(12,9),-2.4726 # DEPENDENCYPART_ARC
(12,10),0.158222 # DEPENDENCYPART_ARC
(12,11),5.51799 # DEPENDENCYPART_ARC
(12,13),1.99292 # DEPENDENCYPART_ARC
(12,14),-1.32759 # DEPENDENCYPART_ARC
(12,15),-0.350018 # DEPENDENCYPART_ARC
(13,7),-1.47006 # DEPENDENCYPART_ARC
(13,12),-1.04055 # DEPENDENCYPART_ARC
(13,14),3.77836 # DEPENDENCYPART_ARC
(13,15),0.019269 # DEPENDENCYPART_ARC
(14,2),-3.25391 # DEPENDENCYPART_ARC
(14,9),-3.9529 # DEPENDENCYPART_ARC
(14,11),-1.00014 # DEPENDENCYPART_ARC
(14,12),-2.06615 # DEPENDENCYPART_ARC
(14,13),-0.501802 # DEPENDENCYPART_ARC
(14,15),0.317726 # DEPENDENCYPART_ARC
(15,2),-3.84642 # DEPENDENCYPART_ARC
(15,8),-3.6904 # DEPENDENCYPART_ARC
(15,10),-4.07192 # DEPENDENCYPART_ARC
