# _root_ Nepřispěje - li sponzor , nezbude škole než využít možností , které jí dává zákonodárce .
#goldHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
#predictedHeads=3,3,6,1,3,0,6,6,8,9,14,14,14,10,14,0,
(6,1),-0.765305 # DEPENDENCYPART_ARC
(6,2),0.241279 # DEPENDENCYPART_ARC
(6,3),2.05119 # DEPENDENCYPART_ARC
(6,4),0.551284 # DEPENDENCYPART_ARC
(6,5),-0.0575859 # DEPENDENCYPART_ARC
(6,7),2.60214 # DEPENDENCYPART_ARC
(6,8),0.695225 # DEPENDENCYPART_ARC
(6,9),1.32024 # DEPENDENCYPART_ARC
(6,10),-2.21934 # DEPENDENCYPART_ARC
(6,11),0.326454 # DEPENDENCYPART_ARC
(6,13),-1.76008 # DEPENDENCYPART_ARC
(6,14),-2.72754 # DEPENDENCYPART_ARC
(6,15),-2.12829 # DEPENDENCYPART_ARC
(6,16),-0.175639 # DEPENDENCYPART_ARC
(7,3),-0.971618 # DEPENDENCYPART_ARC
(7,4),-2.92354 # DEPENDENCYPART_ARC
(7,5),-0.882743 # DEPENDENCYPART_ARC
(7,8),0.684172 # DEPENDENCYPART_ARC
(7,9),-0.310016 # DEPENDENCYPART_ARC
(7,10),0.848739 # DEPENDENCYPART_ARC
(7,14),-2.08641 # DEPENDENCYPART_ARC
(7,15),-3.26187 # DEPENDENCYPART_ARC
(8,1),-1.946 # DEPENDENCYPART_ARC
(8,2),-0.520328 # DEPENDENCYPART_ARC
(8,4),-0.891989 # DEPENDENCYPART_ARC
(8,5),1.54845 # DEPENDENCYPART_ARC
(8,6),0.905997 # DEPENDENCYPART_ARC
(8,7),-0.983719 # DEPENDENCYPART_ARC
(8,9),2.80158 # DEPENDENCYPART_ARC
(8,10),1.72162 # DEPENDENCYPART_ARC
(8,11),1.07965 # DEPENDENCYPART_ARC
(8,14),0.146964 # DEPENDENCYPART_ARC
(8,15),-0.894001 # DEPENDENCYPART_ARC
(8,16),-0.416926 # DEPENDENCYPART_ARC
(9,1),-4.17351 # DEPENDENCYPART_ARC
(9,2),-1.11281 # DEPENDENCYPART_ARC
(9,3),-0.206662 # DEPENDENCYPART_ARC
(9,4),-2.37703 # DEPENDENCYPART_ARC
(9,6),-2.6786 # DEPENDENCYPART_ARC
(9,7),-0.0520279 # DEPENDENCYPART_ARC
(9,8),-0.00629967 # DEPENDENCYPART_ARC
(9,10),1.8611 # DEPENDENCYPART_ARC
(9,11),0.0658582 # DEPENDENCYPART_ARC
(9,14),-0.68818 # DEPENDENCYPART_ARC
(9,15),-2.03188 # DEPENDENCYPART_ARC
(9,16),-0.916074 # DEPENDENCYPART_ARC
(10,7),-3.7724 # DEPENDENCYPART_ARC
(10,8),-1.08392 # DEPENDENCYPART_ARC
(10,9),0.0169023 # DEPENDENCYPART_ARC
(10,11),-0.213236 # DEPENDENCYPART_ARC
(10,12),-1.83723 # DEPENDENCYPART_ARC
(10,13),-2.12011 # DEPENDENCYPART_ARC
(10,14),1.1995 # DEPENDENCYPART_ARC
(10,15),-2.85583 # DEPENDENCYPART_ARC
(10,16),-0.685708 # DEPENDENCYPART_ARC
(11,1),-2.14919 # DEPENDENCYPART_ARC
(11,2),-1.86361 # DEPENDENCYPART_ARC
(11,3),-1.43201 # DEPENDENCYPART_ARC
(11,5),-1.38701 # DEPENDENCYPART_ARC
(11,6),-1.07982 # DEPENDENCYPART_ARC
(11,7),-1.7459 # DEPENDENCYPART_ARC
(11,9),-0.9146 # DEPENDENCYPART_ARC
(11,10),-1.00853 # DEPENDENCYPART_ARC
(11,13),-0.818856 # DEPENDENCYPART_ARC
(11,14),0.118229 # DEPENDENCYPART_ARC
(11,15),-1.38354 # DEPENDENCYPART_ARC
(11,16),-0.815511 # DEPENDENCYPART_ARC
(12,11),-0.150321 # DEPENDENCYPART_ARC
(12,15),-0.623795 # DEPENDENCYPART_ARC
(12,16),-0.312585 # DEPENDENCYPART_ARC
(13,10),-1.09489 # DEPENDENCYPART_ARC
(13,14),-1.94014 # DEPENDENCYPART_ARC
(13,15),-1.16715 # DEPENDENCYPART_ARC
(14,1),-3.61295 # DEPENDENCYPART_ARC
(14,2),-1.10631 # DEPENDENCYPART_ARC
(14,3),0.739503 # DEPENDENCYPART_ARC
(14,4),-1.89316 # DEPENDENCYPART_ARC
(14,5),-1.71501 # DEPENDENCYPART_ARC
(14,6),-2.81019 # DEPENDENCYPART_ARC
(14,7),-1.53033 # DEPENDENCYPART_ARC
(14,8),0.112175 # DEPENDENCYPART_ARC
(14,9),0.996473 # DEPENDENCYPART_ARC
(14,10),-3.73479 # DEPENDENCYPART_ARC
(14,11),2.04689 # DEPENDENCYPART_ARC
(14,12),1.42122 # DEPENDENCYPART_ARC
(14,13),2.94832 # DEPENDENCYPART_ARC
(14,15),3.5265 # DEPENDENCYPART_ARC
(14,16),-0.0574234 # DEPENDENCYPART_ARC
(15,12),-4.81405 # DEPENDENCYPART_ARC
(15,13),-2.91077 # DEPENDENCYPART_ARC
(15,16),0.30628 # DEPENDENCYPART_ARC
