# _root_ Na jídelním lístku je stále nejméně 20 hotových jídel , dále několik jídel z ryb , ale i jídla bezmasá a na objednávku .
#goldHeads=4,3,1,0,4,7,17,9,7,17,17,17,12,13,14,17,4,19,17,21,19,21,22,0,
#predictedHeads=4,3,1,17,4,7,4,9,7,17,12,17,11,13,14,17,0,19,17,19,19,21,22,0,
(17,20),0.445837 # DEPENDENCYPART_ARC
(17,21),0.929764 # DEPENDENCYPART_ARC
(17,22),0.401905 # DEPENDENCYPART_ARC
(17,23),0.34244 # DEPENDENCYPART_ARC
(17,24),0.353408 # DEPENDENCYPART_ARC
(18,7),-2.15682 # DEPENDENCYPART_ARC
(18,8),-1.34192 # DEPENDENCYPART_ARC
(18,9),-0.708488 # DEPENDENCYPART_ARC
(18,10),-0.551086 # DEPENDENCYPART_ARC
(18,11),-1.27599 # DEPENDENCYPART_ARC
(18,12),-1.68022 # DEPENDENCYPART_ARC
(18,13),-0.63384 # DEPENDENCYPART_ARC
(18,15),1.22593 # DEPENDENCYPART_ARC
(18,16),0.458791 # DEPENDENCYPART_ARC
(18,17),0.00531052 # DEPENDENCYPART_ARC
(18,19),1.04048 # DEPENDENCYPART_ARC
(18,20),-0.00201589 # DEPENDENCYPART_ARC
(18,21),-0.553454 # DEPENDENCYPART_ARC
(18,22),-0.863905 # DEPENDENCYPART_ARC
(18,23),-0.773592 # DEPENDENCYPART_ARC
(18,24),-0.456307 # DEPENDENCYPART_ARC
(19,14),-1.06094 # DEPENDENCYPART_ARC
(19,17),-0.029332 # DEPENDENCYPART_ARC
(19,18),1.85317 # DEPENDENCYPART_ARC
(19,20),2.12184 # DEPENDENCYPART_ARC
(19,21),0.962322 # DEPENDENCYPART_ARC
(19,22),0.812468 # DEPENDENCYPART_ARC
(19,23),-2.96859 # DEPENDENCYPART_ARC
(19,24),-0.157373 # DEPENDENCYPART_ARC
(20,16),0.116251 # DEPENDENCYPART_ARC
(20,18),0.67638 # DEPENDENCYPART_ARC
(20,19),-0.33185 # DEPENDENCYPART_ARC
(20,21),-0.0904953 # DEPENDENCYPART_ARC
(20,22),0.00119789 # DEPENDENCYPART_ARC
(20,23),-2.56041 # DEPENDENCYPART_ARC
(21,1),-0.419011 # DEPENDENCYPART_ARC
(21,4),1.20144 # DEPENDENCYPART_ARC
(21,5),-0.574847 # DEPENDENCYPART_ARC
(21,6),-0.263592 # DEPENDENCYPART_ARC
(21,7),-0.446055 # DEPENDENCYPART_ARC
(21,8),-1.29647 # DEPENDENCYPART_ARC
(21,10),0.23309 # DEPENDENCYPART_ARC
(21,11),0.397738 # DEPENDENCYPART_ARC
(21,12),-0.487651 # DEPENDENCYPART_ARC
(21,13),-0.740601 # DEPENDENCYPART_ARC
(21,14),0.555744 # DEPENDENCYPART_ARC
(21,15),0.327042 # DEPENDENCYPART_ARC
(21,16),0.539675 # DEPENDENCYPART_ARC
(21,17),-0.167124 # DEPENDENCYPART_ARC
(21,18),1.08202 # DEPENDENCYPART_ARC
(21,19),0.8077 # DEPENDENCYPART_ARC
(21,20),1.39427 # DEPENDENCYPART_ARC
(21,22),1.18036 # DEPENDENCYPART_ARC
(21,23),0.779304 # DEPENDENCYPART_ARC
(21,24),0.229049 # DEPENDENCYPART_ARC
(22,23),3.82019 # DEPENDENCYPART_ARC
(22,24),0.19016 # DEPENDENCYPART_ARC
(23,18),-0.174341 # DEPENDENCYPART_ARC
(23,20),-6.52314 # DEPENDENCYPART_ARC
(23,21),0.657457 # DEPENDENCYPART_ARC
(23,22),-0.128695 # DEPENDENCYPART_ARC
(23,24),0.458348 # DEPENDENCYPART_ARC
(24,23),-2.84626 # DEPENDENCYPART_ARC
