# _root_ Přestože je chemická struktura molekuly známa již od let sedmdesátých , nenašli chemici levný způsob , jak tuto molekulu syntetizovat .
#goldHeads=12,1,4,2,4,2,9,2,8,9,1,0,12,15,12,20,20,19,20,15,0,
#predictedHeads=12,1,4,2,4,2,9,12,8,9,1,0,12,15,12,1,20,19,20,15,0,
(4,14),-3.29562 # DEPENDENCYPART_ARC
(4,20),-1.43256 # DEPENDENCYPART_ARC
(5,1),-1.08279 # DEPENDENCYPART_ARC
(5,3),0.440089 # DEPENDENCYPART_ARC
(5,4),-1.54158 # DEPENDENCYPART_ARC
(5,6),0.738202 # DEPENDENCYPART_ARC
(5,7),0.122947 # DEPENDENCYPART_ARC
(5,8),0.196703 # DEPENDENCYPART_ARC
(5,9),0.805815 # DEPENDENCYPART_ARC
(5,10),-0.0919395 # DEPENDENCYPART_ARC
(5,11),-0.133247 # DEPENDENCYPART_ARC
(5,12),-1.09606 # DEPENDENCYPART_ARC
(5,15),-3.72934 # DEPENDENCYPART_ARC
(6,4),0.876709 # DEPENDENCYPART_ARC
(6,5),1.09614 # DEPENDENCYPART_ARC
(6,7),1.31729 # DEPENDENCYPART_ARC
(6,8),0.31442 # DEPENDENCYPART_ARC
(6,9),1.53377 # DEPENDENCYPART_ARC
(6,11),0.487072 # DEPENDENCYPART_ARC
(6,16),-0.0699239 # DEPENDENCYPART_ARC
(6,20),1.27606 # DEPENDENCYPART_ARC
(6,21),-1.92219 # DEPENDENCYPART_ARC
(7,2),-1.65658 # DEPENDENCYPART_ARC
(7,4),-1.63834 # DEPENDENCYPART_ARC
(7,5),-1.33635 # DEPENDENCYPART_ARC
(7,8),-0.087991 # DEPENDENCYPART_ARC
(7,9),-0.888319 # DEPENDENCYPART_ARC
(8,7),0.0774927 # DEPENDENCYPART_ARC
(8,9),3.84621 # DEPENDENCYPART_ARC
(8,10),-0.112329 # DEPENDENCYPART_ARC
(8,11),-0.0642831 # DEPENDENCYPART_ARC
(8,13),-4.53929 # DEPENDENCYPART_ARC
(9,1),-2.25525 # DEPENDENCYPART_ARC
(9,6),-4.18274 # DEPENDENCYPART_ARC
(9,7),1.67016 # DEPENDENCYPART_ARC
(9,8),0.139334 # DEPENDENCYPART_ARC
(9,10),2.46271 # DEPENDENCYPART_ARC
(9,12),-1.23679 # DEPENDENCYPART_ARC
(9,13),-3.4429 # DEPENDENCYPART_ARC
(9,14),-3.71013 # DEPENDENCYPART_ARC
(9,15),-4.22795 # DEPENDENCYPART_ARC
(9,17),-0.699584 # DEPENDENCYPART_ARC
(9,19),-5.1589 # DEPENDENCYPART_ARC
(10,8),0.0163127 # DEPENDENCYPART_ARC
(10,9),-0.227941 # DEPENDENCYPART_ARC
(10,11),-0.672417 # DEPENDENCYPART_ARC
(10,12),-1.49724 # DEPENDENCYPART_ARC
(11,1),-0.196738 # DEPENDENCYPART_ARC
(11,2),0.0858435 # DEPENDENCYPART_ARC
(11,3),-0.642489 # DEPENDENCYPART_ARC
(11,4),-0.236748 # DEPENDENCYPART_ARC
(11,5),-0.551871 # DEPENDENCYPART_ARC
(11,6),-0.787798 # DEPENDENCYPART_ARC
(11,7),-0.181259 # DEPENDENCYPART_ARC
(11,8),-0.293327 # DEPENDENCYPART_ARC
(11,9),0.380523 # DEPENDENCYPART_ARC
(11,10),-0.520363 # DEPENDENCYPART_ARC
(11,12),-0.135563 # DEPENDENCYPART_ARC
(11,13),-1.24175 # DEPENDENCYPART_ARC
(11,14),-1.05904 # DEPENDENCYPART_ARC
(11,15),-1.68472 # DEPENDENCYPART_ARC
(11,16),-0.831307 # DEPENDENCYPART_ARC
(12,1),2.83738 # DEPENDENCYPART_ARC
(12,2),-2.14472 # DEPENDENCYPART_ARC
(12,3),-3.09577 # DEPENDENCYPART_ARC
(12,4),-0.559256 # DEPENDENCYPART_ARC
(12,5),-2.76947 # DEPENDENCYPART_ARC
(12,6),-2.43339 # DEPENDENCYPART_ARC
(12,7),0.175142 # DEPENDENCYPART_ARC
(12,8),1.33858 # DEPENDENCYPART_ARC
(12,9),-1.73369 # DEPENDENCYPART_ARC
(12,10),-2.0959 # DEPENDENCYPART_ARC
(12,11),0.264592 # DEPENDENCYPART_ARC
(12,13),2.88252 # DEPENDENCYPART_ARC
(12,14),-1.0784 # DEPENDENCYPART_ARC
(12,15),2.08061 # DEPENDENCYPART_ARC
(12,16),0.61267 # DEPENDENCYPART_ARC
(12,17),0.0101958 # DEPENDENCYPART_ARC
(12,18),-1.84476 # DEPENDENCYPART_ARC
(12,19),0.118647 # DEPENDENCYPART_ARC
(12,20),2.00334 # DEPENDENCYPART_ARC
(12,21),-0.147591 # DEPENDENCYPART_ARC
(13,10),-1.07163 # DEPENDENCYPART_ARC
(13,14),-2.02066 # DEPENDENCYPART_ARC
(13,15),-0.901273 # DEPENDENCYPART_ARC
(13,16),-0.140199 # DEPENDENCYPART_ARC
(13,17),-0.0801252 # DEPENDENCYPART_ARC
(13,18),-2.38306 # DEPENDENCYPART_ARC
(13,19),-3.31312 # DEPENDENCYPART_ARC
(13,20),-0.370548 # DEPENDENCYPART_ARC
(14,13),-1.75073 # DEPENDENCYPART_ARC
(14,15),0.637487 # DEPENDENCYPART_ARC
(14,17),-0.591946 # DEPENDENCYPART_ARC
(14,18),-2.97752 # DEPENDENCYPART_ARC
(14,19),-2.09032 # DEPENDENCYPART_ARC
(15,7),-0.264499 # DEPENDENCYPART_ARC
(15,10),-0.993172 # DEPENDENCYPART_ARC
(15,13),-1.71059 # DEPENDENCYPART_ARC
(15,14),5.67529 # DEPENDENCYPART_ARC
(15,16),-0.177992 # DEPENDENCYPART_ARC
(15,17),0.0663361 # DEPENDENCYPART_ARC
(15,18),-0.571805 # DEPENDENCYPART_ARC
(15,19),-0.778531 # DEPENDENCYPART_ARC
(15,20),3.28318 # DEPENDENCYPART_ARC
(15,21),-0.792029 # DEPENDENCYPART_ARC
(16,1),-1.03131 # DEPENDENCYPART_ARC
(16,2),-1.24726 # DEPENDENCYPART_ARC
(16,4),-1.21102 # DEPENDENCYPART_ARC
(16,5),-1.71858 # DEPENDENCYPART_ARC
(16,7),-0.676742 # DEPENDENCYPART_ARC
(16,11),-0.632708 # DEPENDENCYPART_ARC
(16,12),0.0615951 # DEPENDENCYPART_ARC
(16,13),-0.0501502 # DEPENDENCYPART_ARC
(16,14),-0.354099 # DEPENDENCYPART_ARC
(16,15),-0.386473 # DEPENDENCYPART_ARC
(16,17),-0.362088 # DEPENDENCYPART_ARC
(16,18),-0.346354 # DEPENDENCYPART_ARC
(16,19),-0.331272 # DEPENDENCYPART_ARC
(16,20),0.0795309 # DEPENDENCYPART_ARC
(16,21),-0.319033 # DEPENDENCYPART_ARC
(17,2),-2.13609 # DEPENDENCYPART_ARC
(17,13),-0.442369 # DEPENDENCYPART_ARC
(17,14),-0.566454 # DEPENDENCYPART_ARC
(17,15),-0.199474 # DEPENDENCYPART_ARC
(17,16),0.174011 # DEPENDENCYPART_ARC
(17,18),0.48581 # DEPENDENCYPART_ARC
(17,19),0.179523 # DEPENDENCYPART_ARC
(17,21),0.364186 # DEPENDENCYPART_ARC
(18,17),-0.216024 # DEPENDENCYPART_ARC
(18,19),0.342885 # DEPENDENCYPART_ARC
(18,21),-0.744805 # DEPENDENCYPART_ARC
(19,10),-2.27414 # DEPENDENCYPART_ARC
(19,14),0.289315 # DEPENDENCYPART_ARC
(19,17),0.312863 # DEPENDENCYPART_ARC
(19,18),4.86534 # DEPENDENCYPART_ARC
(19,20),0.594634 # DEPENDENCYPART_ARC
(19,21),-0.604071 # DEPENDENCYPART_ARC
(20,1),1.85568 # DEPENDENCYPART_ARC
(20,2),-2.45076 # DEPENDENCYPART_ARC
(20,4),-0.987949 # DEPENDENCYPART_ARC
(20,5),-1.37154 # DEPENDENCYPART_ARC
(20,8),0.757031 # DEPENDENCYPART_ARC
(20,9),-1.47898 # DEPENDENCYPART_ARC
(20,11),-1.33185 # DEPENDENCYPART_ARC
(20,12),-1.81386 # DEPENDENCYPART_ARC
(20,13),-0.115173 # DEPENDENCYPART_ARC
(20,15),0.773078 # DEPENDENCYPART_ARC
(20,16),1.13016 # DEPENDENCYPART_ARC
(20,17),1.74543 # DEPENDENCYPART_ARC
(20,18),3.00043 # DEPENDENCYPART_ARC
(20,19),3.98787 # DEPENDENCYPART_ARC
(20,21),-0.426474 # DEPENDENCYPART_ARC
